,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coffee,comb,cookie,couch,cracker,crayon,crib,cup,deer,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,firetruck,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pig,pillow,plant,plate,pony,pumpkin,purse,radio,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,swing,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window,zebra
cracker,0.9689245,1.0789676,1.1726116,1.005431,1.1884614,1.1730851,1.1547511,0.9421216,1.0044577,1.0119879,1.0602856,0.9580601,0.93674874,1.0100342,0.96399707,0.9967851,0.9538402,1.1077256,1.1135275,0.9472151,1.0776513,0.9601474,1.0609977,1.090852,1.0551203,1.0269347,0.89041924,0.81748664,0.9812914,1.0846902,1.1211469,1.011192,0.7052579,0.9909445,1.0748906,0.0,1.0228382,0.8769393,1.0785547,1.095364,1.007926,0.9732447,0.9985373,1.0038391,0.9666658,1.0452002,1.163883,0.76584274,1.1663239,1.0440671,1.0236518,1.1399977,1.0929438,0.9474905,0.8768457,1.0343288,0.9561118,1.0705496,0.9910619,0.8921459,1.1194034,1.143268,0.93050444,1.1651757,0.9842974,0.7588134,1.0290779,1.0465002,1.0322304,0.78066766,0.94882685,1.0306928,1.000274,1.0412004,0.96067077,0.9161746,1.1736596,0.955738,1.1154889,1.1600288,1.0511848,0.8564042,1.042616,1.0529894,1.0625769,0.9945956,0.99426055,1.018266,1.0395113,0.9869861,0.9392467,1.0980376,0.95754135,1.0830493,1.15525,0.95253825,1.1332214,1.0103444,1.0383557,0.96710026,1.1164396,0.9794647,1.01478,0.8772444,0.8036946,0.98834693,0.9583599,1.0423108,0.8416094,1.0571643,1.0427397,0.8748353,1.1554507,0.97098994,0.9880046,1.0923009,1.013217,0.9104597,1.107469,0.9404725,0.996036,0.9127371,0.9241656,1.0447595,1.1348093,0.97185224,0.7268659,1.0625491,0.90817577,0.8950806,0.8629078,1.0226359,0.86454475,1.1475476,0.9909597,1.0403214
crayon,1.3809898,0.79451287,0.45041704,1.4741434,0.547535,0.46295142,0.44637442,1.0723741,1.501481,1.5706761,0.69625866,1.4635553,1.5009708,0.68503875,1.5201092,1.0942338,1.0648632,0.31213617,0.7940385,1.3141029,0.43198335,0.7547303,0.974469,0.63634866,0.8063163,0.9398287,0.9191621,1.1074849,1.4022098,0.40226734,1.4421391,1.4149543,1.059351,1.0018755,1.5133662,1.0228382,0.0,1.5020473,0.39623737,0.71861756,1.2830474,1.2144376,1.2032704,1.2104458,1.3724415,0.9706622,1.0105902,0.9900076,1.300874,0.8427811,1.1439729,0.42043686,0.5946096,0.9522725,0.48958993,0.92416966,1.4664102,0.29352152,1.242301,0.7705349,1.2691599,0.71180016,1.3396024,0.42207766,1.0718396,1.0475727,1.3947619,1.0877314,1.4304963,1.1099284,1.2358291,0.52735,0.7615104,1.3172328,1.0901198,1.5401418,1.1293612,0.9288931,1.1550971,0.2804684,0.6930124,0.7117878,0.8222265,0.8026278,1.4540466,1.1595074,1.4843342,1.3783975,1.2765326,0.13633299,0.12045658,0.7296387,0.9763466,1.0821797,0.64109266,0.9562669,0.5237886,0.8959078,1.063167,1.4293432,0.8975111,1.4024715,1.0060128,1.3821156,1.1123463,1.4146405,1.1698573,1.4449546,1.0297526,1.4425516,1.3949931,1.4735198,0.3934527,0.7411889,1.1955738,0.82178026,0.65086275,0.5452984,0.73212934,1.2058405,1.3618934,1.3509305,1.535624,0.7790074,0.6321184,0.57553,1.2284738,0.61992705,0.8780345,1.3551697,1.0959169,1.0599343,0.9541232,0.25282562,1.2058811,1.253916
crib,0.8794119,1.3638201,1.3470508,0.71724755,1.4209628,1.376676,1.3988936,0.57862407,0.48150826,0.313479,1.3538179,0.40286255,0.7879243,1.2756529,0.6360305,0.89644456,0.74472475,1.3345695,1.1155552,0.45205182,1.35867,0.9699875,0.8402754,1.2811823,0.87334543,0.7897644,1.168182,0.9890965,0.2774948,1.3122909,0.28932148,0.5595951,0.9169752,1.1645569,0.4508493,0.8769393,1.5020473,0.0,1.3026046,1.3906441,1.0131634,0.92256206,0.5204025,0.6169684,0.8650373,1.3319186,1.2574515,1.0308245,0.9033732,1.4057696,0.97661114,1.4727767,1.1979275,1.2390691,1.3186252,1.17285,0.67309064,1.5050006,1.1052228,1.0972846,0.9522925,1.1713345,0.9962658,1.4845455,1.1268559,0.9547418,0.8503274,0.8703579,0.9145183,0.94225895,0.29685485,1.1665624,1.3048315,1.035764,0.7946564,0.87573415,0.75779086,1.2492318,1.0495872,1.4739769,1.2169976,1.4381564,1.3461981,1.3493097,0.5190136,0.8832129,0.79606545,0.95765835,0.7170566,1.4640356,1.4261342,1.3281927,1.0042658,1.1651099,1.2517077,0.8911494,1.3400705,1.2777199,1.0166422,0.77227163,1.113059,0.41117162,1.1176205,0.8032912,0.8114736,0.880985,0.9875292,0.936817,0.9881768,0.4049083,0.6349561,0.3437884,1.5243276,1.2602158,1.0874301,1.1898196,1.2843226,1.1952951,1.289424,0.4396091,0.921294,0.6343404,0.3568545,1.2162476,1.5393525,1.3854411,0.7651945,1.2183598,0.8456785,0.49761796,1.0165561,0.9938071,0.62103117,1.5428331,0.5751806,0.8730529
cup,1.457974,0.93267846,0.41869032,1.4456568,0.49110484,0.4764794,0.66025937,0.8965571,1.2145786,1.4589018,0.94287676,1.431547,1.5125773,0.81062806,1.5185336,1.0858938,1.0965779,0.18564785,0.3634076,1.1110364,0.4138435,0.72493505,0.485219,0.7493071,0.6045364,1.0319967,1.1640943,1.1500405,1.1978803,0.37424105,1.1822305,1.1884297,1.100525,0.8772365,1.4214542,1.0785547,0.39623737,1.3026046,0.0,0.80539393,1.2334604,1.1590111,1.0377514,1.1386697,1.3967876,1.0882298,0.8949699,0.99863636,1.2207412,1.059373,1.2322111,0.69336486,0.494653,0.9878409,0.74820346,1.0623035,1.2106549,0.56911546,1.1450518,0.9415768,1.242973,0.8037539,1.3875962,0.56659573,1.0829954,1.1848114,1.4063631,0.6889361,1.535206,1.2471812,1.1730516,0.4260441,0.8429222,1.3044338,0.7454835,1.4951377,1.0846529,1.0602417,1.145981,0.37956464,0.770432,1.0167475,0.9278836,0.9594718,1.3344703,1.0713029,1.5207561,1.4959916,1.2463555,0.49802864,0.52222276,0.7838882,1.0643984,1.0556595,0.7226103,0.8784907,0.39067358,0.9429249,1.0968567,1.4023125,0.73380756,1.2054466,1.0601302,1.3800988,1.3065357,1.3953757,1.259493,1.5024126,0.99167645,1.349611,1.1613245,1.3555001,0.59280574,0.6455331,1.256842,0.73488104,0.6940536,0.7307825,0.8274021,1.0528694,1.3776416,1.3119199,1.2826188,0.4195792,0.8381442,0.77889264,1.4159248,0.68159616,0.757024,1.1388028,1.098471,1.1496495,0.93917257,0.4406234,1.0997932,1.3031265
deer,1.1406896,0.6065415,0.8444935,1.3253554,0.7211945,0.7429626,0.77266157,1.1845152,1.4708769,1.5207973,0.7103329,1.4106014,1.3410002,0.6970837,1.4410949,1.1007125,1.2731731,0.7685703,1.0207229,1.2908012,0.73760283,0.82709634,1.1264006,0.67146665,0.874734,1.0804011,0.9263741,1.0936375,1.2518107,0.7009278,1.355412,1.2756771,1.138465,0.89755535,1.3834996,1.095364,0.71861756,1.3906441,0.80539393,0.0,0.8519946,1.0037636,0.9972419,1.0095181,1.1628298,0.8143642,0.93981004,1.0988913,1.1783091,0.8023082,1.0534203,0.82711756,0.820064,0.7767407,0.8573158,0.81026477,1.3693869,0.7128944,0.9893385,1.0933225,1.122619,0.808722,1.1711335,0.5936913,0.53670204,1.0522426,1.2269777,0.95936465,1.254235,1.2536116,1.2030691,0.76520634,0.89428276,1.2378936,1.0360334,1.2837579,1.1662316,1.0184528,0.92985904,0.7633921,0.67799646,0.68698764,0.8968118,0.9082198,1.3699474,1.0937032,1.3017868,1.2029152,1.3546672,0.80708003,0.7357478,0.47602654,1.1132324,0.5175604,0.7393054,1.0295011,0.8769682,0.3126812,1.1610744,1.268999,0.91966164,1.3348426,0.7196423,1.2010567,1.2253604,1.2274246,1.2163837,1.2027409,1.061205,1.2983625,1.3618246,1.5332887,0.65787566,0.9481933,1.0901705,0.91062105,0.8720014,0.7533755,0.5226888,1.1445519,1.2113222,1.3185848,1.5416821,0.9261692,0.6583878,0.77461475,1.430847,0.7318984,1.0410178,1.4138192,1.1325055,0.81711864,1.0052179,0.6512345,1.2718081,1.0311408
dog,0.38558042,1.181522,1.1270409,0.95025456,1.1387695,1.1113579,1.1603144,1.0153298,0.98818445,0.8615895,1.2079203,1.0489187,0.8299022,0.66892314,0.8037869,1.109875,0.81472266,1.1958607,1.1793756,0.9505599,1.1262124,1.0891526,1.1793427,0.91431856,1.2841566,1.0848434,1.0701227,0.84558964,1.0985221,1.21809,1.0667392,1.0307915,1.0977514,0.99994826,0.91198915,1.007926,1.2830474,1.0131634,1.2334604,0.8519946,0.0,0.6302922,1.181939,1.1251019,0.9040324,1.2224534,1.0752319,0.885625,0.96142113,1.2401093,0.9669218,1.2030301,1.081454,1.118036,1.2453687,0.4900242,1.0426863,1.2028785,0.5757578,1.0666609,1.005883,0.97225845,1.0332499,1.110854,0.3710636,1.0717653,0.99369186,1.1484127,0.9540375,1.1136894,1.1404237,1.2056538,1.0330204,1.00584,1.1105949,0.7427871,1.026896,1.1326629,0.87774694,1.2013175,1.1603028,1.2209129,1.1517425,1.0777175,1.0051713,0.6277264,0.96688926,0.989831,0.79705876,1.2100152,1.2301052,1.0206442,1.0817049,0.44897473,1.1424654,1.0044442,1.2332174,0.45127785,0.99320966,0.9012862,1.0012358,1.0856755,0.52499926,0.9949537,0.8926436,1.013235,1.0046688,0.9634675,1.017732,0.96363765,1.020146,0.9145259,1.2330275,1.0201454,1.0608848,1.1482096,1.1441993,1.1479249,1.1928532,0.99135983,1.0418104,0.9394403,0.85520124,1.1157854,1.2544775,1.2127908,1.0478917,1.1704831,0.89463145,0.96210134,0.833312,0.931842,1.1714289,1.2288867,1.0952897,0.6183445
doll,0.67024297,1.1144681,1.0809968,0.9970588,1.0927346,1.093095,1.1681445,0.9640283,1.0774783,0.85222584,1.2520504,1.1823748,0.8317919,0.9313363,0.9208792,1.0418665,0.59200394,1.1420274,1.1125605,0.82140225,1.1574733,0.96145856,1.0799885,0.93427414,1.2356066,0.9889612,1.1454954,1.2047606,1.0655358,1.0803276,1.0297238,1.0551301,1.2466224,0.928305,0.9396106,0.9732447,1.2144376,0.92256206,1.1590111,1.0037636,0.6302922,0.0,1.0737871,1.146275,0.9552593,1.1234381,0.92052007,1.1624608,0.81074595,1.143827,1.0136378,1.2186084,1.0235709,1.0635142,1.229222,0.50427806,1.0650147,1.160193,0.8079592,0.8751522,0.8483472,0.82756466,0.98874414,0.99076647,0.6891271,1.0951476,1.04481,0.9873187,1.0894588,1.2318643,1.0484409,1.1362267,1.126036,0.98035127,1.1185122,0.8870962,0.9902054,1.0806485,0.8558092,1.2071091,1.0777607,1.1335012,1.081739,1.1298201,1.1251453,0.68036216,0.98032093,1.080327,0.769663,1.1748755,1.1585976,1.0375175,1.0225545,0.74639404,1.2300737,0.8512589,1.1906004,0.7641419,0.9909969,0.90173334,1.0580148,1.1695449,0.5043261,1.0791433,0.9033565,1.0210775,0.95558643,1.051804,0.911609,1.078754,1.1285999,0.9427712,1.1363525,1.0166785,0.9809235,1.0705918,1.0932916,1.1339357,1.0887917,0.8222351,1.0770895,1.0244348,0.8772342,0.97691435,1.1753857,1.22999,1.0977218,1.1376517,0.6498591,0.85627586,1.0476075,0.872297,1.0041214,1.2428515,1.0859718,0.895847
door,1.243931,1.1238066,1.1538553,1.0594578,1.1696092,1.1598337,1.2521526,0.8772113,0.8670069,0.7878619,1.1094078,0.6150255,1.2335436,1.1302768,1.0072057,0.85727715,1.0788999,1.0526091,1.1466104,0.8308251,1.0943304,0.7554765,0.9186643,1.1415341,0.52457285,0.7573298,1.1696715,0.95464784,0.44100106,0.96753633,0.41119587,0.68647444,0.9303218,1.0986785,0.6753654,0.9985373,1.2032704,0.5204025,1.0377514,0.9972419,1.181939,1.0737871,0.0,0.3808385,1.0649471,0.9914508,1.2336147,1.0116161,1.03045,1.2077274,1.005971,1.2120088,0.9604049,1.0738122,1.0643346,1.3085458,0.97462416,1.2101595,1.160428,1.254343,1.01305,1.1618534,1.1259526,1.1842821,1.058626,0.9860996,0.9503757,0.8710035,1.1321759,0.989904,0.42985797,0.7806879,1.1580124,1.2427833,0.6904227,1.2063048,0.82749736,1.1448623,1.0285741,1.2004408,0.7706983,1.1312734,1.125904,1.3398974,0.6864024,1.0437971,1.0496811,1.1234192,0.99919605,1.1937885,1.1378412,0.9200485,1.0704644,1.019236,0.8116809,0.84321856,1.1199481,1.0744212,1.0531763,1.1251677,0.9748066,0.3207724,1.1418662,0.97694886,1.1107136,1.0150961,1.3038497,1.1052684,0.9788194,0.65780306,0.77504164,0.97536,1.2865427,1.1388196,1.1630229,1.0126752,1.0948071,0.9482754,0.9815202,0.8764164,1.056769,0.8753555,0.8859689,1.1226106,1.2359487,1.1530128,1.1407189,0.7706788,1.1717066,1.0808649,1.1044503,1.0280857,0.5399314,1.2148148,0.45796722,1.1396389
drawer,1.1294969,0.99573183,1.272551,0.9475087,1.3209392,1.3232934,1.264755,0.8081759,0.7400263,0.8594634,0.90186286,0.45111394,1.125206,1.1098073,0.9769564,0.8112695,0.9774903,1.2212158,1.0661309,0.6369411,1.1701143,0.981963,0.91605145,1.19656,0.6089132,0.7078955,0.98544,0.9732974,0.4709705,1.1258504,0.5350055,0.6392869,0.8127387,1.0704631,0.6997687,1.0038391,1.2104458,0.6169684,1.1386697,1.0095181,1.1251019,1.146275,0.3808385,0.0,1.1015031,1.0005268,1.3182529,1.0398487,1.0961684,1.0707216,0.89373106,1.183972,1.1578897,1.0246454,0.93439996,1.2479334,1.0542233,1.1424646,1.0938083,1.148828,1.074229,1.1913726,0.9844126,1.1958412,0.998991,0.9037821,0.9781517,0.96348345,0.9780966,0.7626456,0.5208373,1.0254642,1.1941818,1.184585,0.78015363,1.0977464,0.8504061,1.0727581,1.0736485,1.2704992,0.85835147,1.0234901,1.0524452,1.2811664,0.4949193,1.1197662,1.0006701,0.988034,0.90247095,1.1464717,1.1240419,1.1016035,1.0785197,0.97304165,0.8556713,1.0221908,1.1093719,1.067969,1.1101514,0.9366605,0.8779703,0.5069559,1.1304277,0.9112555,0.95918983,1.0752956,1.100141,0.98238647,1.0274701,0.79555225,0.6685383,0.9481678,1.1722194,1.2320833,1.0200863,1.0814775,1.1342068,1.0418136,1.0071113,0.9798334,1.0662984,0.95500845,0.82673264,1.1432147,1.1508468,1.0800774,0.93284965,0.8917348,1.2593946,1.0461178,1.0956391,0.8747714,0.74771875,1.1972476,0.7339401,1.0976981
dress,0.8597617,1.019552,1.2942427,0.65993416,1.3415754,1.3116503,1.2393684,1.2122867,0.77992535,0.62063307,1.0211836,0.67625296,0.5863395,1.2917334,0.5944058,1.1936095,1.1137474,1.3205255,1.3477911,1.0522261,1.3107935,1.1628019,1.2886661,1.2316327,1.220283,1.054326,0.99535984,0.7095209,0.94465846,1.3958714,0.88934606,0.86866796,0.9660356,1.1939521,0.6830588,0.9666658,1.3724415,0.8650373,1.3967876,1.1628298,0.9040324,0.9552593,1.0649471,1.1015031,0.0,1.0894599,1.1711752,0.8806147,0.7384656,1.0319915,0.8417695,1.1259073,1.2652354,1.0266508,1.3581592,1.1744169,0.81154144,1.2333561,1.0948519,1.2033126,0.7417333,1.135472,0.8434739,1.2174045,1.0509886,1.0427285,0.34918094,1.2568554,0.35677052,0.9131844,0.95326924,1.408864,1.2484521,0.8776114,1.1314359,0.7175758,0.89974606,1.0648288,1.0621506,1.2106907,1.1411631,0.9438546,1.0910714,1.0881804,0.74066573,0.95666367,0.28345156,0.28844404,0.9534931,1.4040945,1.3419433,1.1052018,1.0692954,1.0097344,1.1942852,1.1829458,1.3758788,1.1120765,1.0586942,0.633919,1.3210013,0.8279378,1.0902883,0.5302684,1.0459086,0.20690799,0.8243369,0.34236598,1.3180246,0.6808485,1.0205429,0.8093214,1.3115166,1.3155721,0.89281553,1.2844576,1.35092,1.1182659,1.1922356,1.0393426,0.22611272,0.81467503,0.76194155,1.3420049,1.0972391,1.1141057,0.87589777,1.2044117,1.277765,0.9545706,0.9442613,0.9369056,1.1197708,1.2374406,0.953461,0.8213929
ear,1.2686241,0.6085845,0.99158967,1.0195513,0.95136905,1.0394143,1.0407591,1.3363413,1.3461578,1.3362175,0.7034645,1.2939644,0.96979165,1.0464866,1.216621,1.0959275,1.2399898,1.0424951,1.1812218,1.310387,0.85946596,1.157691,1.2319802,1.036472,1.0554907,1.1429486,0.89630955,1.015745,1.2899824,1.03256,1.2312642,1.2083184,0.9869975,0.99285424,1.2416071,1.0452002,0.9706622,1.3319186,1.0882298,0.8143642,1.2224534,1.1234381,0.9914508,1.0005268,1.0894599,0.0,0.85032535,1.0839343,0.8544674,0.36756086,1.0047064,0.8090759,1.0642469,0.7273574,0.8396696,1.2151604,0.99286085,0.75501764,0.9452292,1.0540732,0.75009215,1.0944852,0.6650588,0.8214972,1.0691985,0.87771153,1.026631,1.0735307,1.0369805,1.1202551,1.2490183,0.9804065,0.8617891,0.9400059,1.0292141,1.021586,1.1954901,0.48017973,0.93627733,0.8118601,0.9087508,0.37865722,0.34843504,0.8571303,1.2242537,1.1948538,1.0018706,0.964059,1.1897545,0.9917843,1.023419,0.87472874,1.1092681,0.94638366,0.95815104,1.1049486,1.0746228,1.0228266,0.8868035,1.2341466,1.0967011,1.1772605,1.1041108,0.99825,1.2308321,0.90153646,1.0394269,0.96500593,0.9263226,1.2205386,1.2564819,1.375558,0.811506,1.0784479,0.8328695,0.99895835,1.024059,1.0498317,0.72518855,1.2402394,0.8564072,1.2198985,1.391983,1.0873537,0.33569312,0.66617584,1.1305251,0.94340295,1.2856958,1.298053,1.1781716,1.127443,1.1602707,0.8278859,1.1310129,1.1237053
egg,1.0428371,0.991347,0.6827936,1.0943059,0.4666208,0.7454198,0.8192744,1.1437361,1.1114781,1.228614,1.0074041,1.3363154,0.9655162,1.0635926,1.2336463,0.8821317,1.0625198,1.0508413,0.7820079,1.1105978,0.88910246,1.1979198,0.9474564,1.0341935,1.2487274,1.1978402,0.6936797,1.280007,1.3325286,1.0276042,1.1953678,1.0745858,1.1815827,0.6742064,1.2163312,1.163883,1.0105902,1.2574515,0.8949699,0.93981004,1.0752319,0.92052007,1.2336147,1.3182529,1.1711752,0.85032535,0.0,1.204459,0.9897649,0.76314145,1.0642024,0.9266622,1.079939,1.0606291,1.1851506,0.8282828,0.77862465,1.0774834,0.9423365,0.67643094,1.0197157,0.96775323,0.91154724,1.0053884,1.0199759,1.1008441,1.1695253,0.65900195,1.1049858,1.1900371,1.3062587,1.0717891,0.82369745,0.63831437,1.1910611,0.8959454,1.1144055,0.88030386,0.82563627,0.9231008,1.1080905,1.0202365,0.8685108,0.47385448,1.2488189,1.098346,1.1485068,1.0927962,1.0968149,1.1245195,1.0711691,0.9799931,0.74785554,1.0023433,1.2174942,1.1382179,0.7365165,0.9951351,0.9876594,1.0974503,1.0360482,1.3239417,0.9689348,1.2050403,1.1089902,1.1428148,0.9995274,1.0301987,0.8208898,1.1665659,1.0742489,1.104676,0.88205206,0.7986524,0.9600197,0.6263504,0.851318,1.187478,0.74828184,1.0012962,1.1590556,1.2304968,1.1494153,0.72607505,0.7574655,1.0005426,1.0333414,1.1870152,0.75909364,0.8603678,1.1004883,0.9864544,1.3547527,0.9785609,1.2746363,0.99982435
elephant,0.96269983,1.1792493,0.9909006,1.0473334,1.0759615,1.0683682,0.9647968,1.0863372,0.8786698,0.92286223,0.9931718,0.85585344,1.0291969,0.9579159,0.8051476,1.108459,1.1320624,1.0418967,1.0529082,1.1311284,0.9674965,0.9688485,1.1110128,1.0637907,1.0053667,1.1354003,0.93138534,0.26639247,1.0998951,1.0010237,1.0897036,1.1922277,0.71963775,1.127236,1.042089,0.76584274,0.9900076,1.0308245,0.99863636,1.0988913,0.885625,1.1624608,1.0116161,1.0398487,0.8806147,1.0839343,1.204459,0.0,1.0740858,1.1617498,0.9252994,0.9554967,1.0758389,1.0672872,0.8628093,1.121964,1.0329716,0.91477835,1.0501466,1.2146475,1.0656115,1.0939308,1.0604823,1.0513564,1.1014223,0.8642784,0.93292046,1.1676841,0.9058196,0.8195673,1.0728267,0.9451287,1.0212713,0.99440426,0.9993319,0.99559724,1.0264068,1.0590484,1.1719438,0.9877412,1.0716386,1.0015082,0.98685247,1.028207,1.0343957,0.7580426,0.95954835,0.9838452,1.1183939,0.9358939,0.96911377,1.0382776,1.0381005,1.1375555,0.9759151,0.9864248,1.0037467,1.0516019,0.8884169,1.0760974,1.0832745,0.87624264,1.1260386,0.88473564,0.97085327,0.90050924,1.0533129,0.9880907,1.2432786,0.9626356,1.0083241,0.9900068,1.1254461,0.9406811,1.1429999,1.0323452,1.1085507,0.7725564,1.0824015,1.2261378,0.8600022,0.8469676,1.010857,1.0891075,1.124793,1.0199782,0.976085,1.0434963,1.2490132,1.0533398,0.3990271,1.251738,1.100348,1.0113113,0.84382343,1.0925995
face,0.9728067,1.0698646,1.08871,0.72183967,1.1537724,1.2019752,1.1965309,1.2298803,0.9540022,0.7258496,1.0822015,0.8968853,0.7766748,1.2108022,0.88144624,1.1995156,1.029355,1.2011465,1.2283449,1.0509901,1.0741932,1.2198138,1.2637981,1.1720207,1.333771,1.101998,1.0815761,0.9859623,1.0756487,1.2540324,0.84621733,0.9331779,1.1241137,1.1175151,0.7690007,1.1663239,1.300874,0.9033732,1.2207412,1.1783091,0.96142113,0.81074595,1.03045,1.0961684,0.7384656,0.8544674,0.9897649,1.0740858,0.0,0.900154,0.90133667,1.1219801,1.1988591,1.1513191,1.3448538,1.0709342,0.78073716,1.0109991,1.0838894,1.1023235,0.07910007,0.87815183,0.7717906,1.0118287,1.0685302,1.0812428,0.91453195,1.1666917,0.8059256,1.0065794,0.93520904,1.275953,1.1883122,0.9326716,1.074765,0.8729274,0.89496624,0.75798345,0.8055988,1.0360441,1.3805956,1.0398334,0.71246505,1.0368316,0.8845055,0.89220375,0.71554595,0.83456105,0.89229155,1.2966936,1.2339648,1.2718652,1.1160772,0.9782973,1.2588873,1.1085365,1.2791575,1.1954744,1.1243807,0.9968245,1.2120782,0.93456423,1.0277374,0.72232777,1.094802,0.60028315,0.98682,0.7904704,1.1196507,0.7545397,1.0647601,0.86859167,1.1891121,1.2297616,1.0291773,1.1457385,1.3199353,1.2115115,1.1220852,1.0382328,0.60998285,0.9122999,0.8186426,1.1918749,0.8780174,0.9548038,0.94775945,1.3582401,1.157157,0.96093696,1.1158596,1.0432068,1.2106414,1.152277,0.94394064,0.9632021
finger,1.2166994,0.47204232,1.0057639,0.7963429,0.97729176,1.092671,0.971574,1.4122789,1.3044972,1.3458606,0.5931692,1.2248857,0.96694124,1.1175021,1.2689972,1.089251,1.2407764,1.0748711,1.1263704,1.3263073,0.8765233,1.2148755,1.2775564,1.071906,1.17427,1.1836917,0.7007955,1.1460031,1.3493652,1.1020131,1.3432313,1.1834259,0.99155474,0.99564916,1.2338156,1.0440671,0.8427811,1.4057696,1.059373,0.8023082,1.2401093,1.143827,1.2077274,1.0707216,1.0319915,0.36756086,0.76314145,1.1617498,0.900154,0.0,1.0095314,0.67799157,1.1513089,0.6655879,0.9021565,1.1618594,1.1218991,0.71367157,0.92049176,0.8739703,0.82958186,1.1256037,0.3561113,0.82889247,1.0853084,0.9866356,1.049996,1.1235026,0.887326,1.0109268,1.2975069,1.1540271,0.77192307,0.87033534,1.1899147,0.91418946,1.238629,0.52053416,1.0452782,0.769079,1.0308496,0.44162,0.42899215,0.6970805,1.1777365,1.289764,0.9313095,0.78029233,1.1895351,0.9283165,0.891183,0.9707854,1.0036725,0.9813984,0.9827479,1.2367454,0.9887575,1.0297159,1.0552263,1.1506567,1.1168286,1.3073344,1.1444893,1.024816,1.2419393,0.921546,0.9879324,0.78634375,0.9012249,1.2167395,1.2798257,1.3398949,0.7004397,1.0746543,0.6925597,0.9895971,1.0587786,1.1107711,0.797673,1.2694753,0.8635672,1.2325408,1.3383906,1.0420508,0.15085793,0.54245746,0.94771975,1.0953861,1.2413268,1.2668351,1.2399133,0.9701521,1.3107312,0.72993106,1.2928138,1.0713563
firetruck,0.88579214,1.0662502,1.0880469,0.9036943,1.2278696,1.1976956,1.0164862,1.2332424,0.9785461,0.9773398,0.8757614,0.82062477,0.81769353,1.1393572,0.91356754,0.97644943,1.103541,1.1589398,1.2429073,1.0347226,1.1064446,1.2041816,1.1803825,1.1821363,1.1177708,0.7754698,0.6983959,0.84470296,1.0134387,1.1990858,0.98592013,0.8445411,0.79100543,1.1138972,0.89521843,1.0236518,1.1439729,0.97661114,1.2322111,1.0534203,0.9669218,1.0136378,1.005971,0.89373106,0.8417695,1.0047064,1.0642024,0.9252994,0.90133667,1.0095314,0.0,0.9825551,1.1675926,1.1447209,1.0855935,1.0429583,0.8636658,1.0831819,1.0394498,0.93023336,0.8677142,0.96433264,0.8448029,1.1496162,0.9462332,1.0744134,0.97003555,1.1815095,0.8479553,0.861776,0.9890559,1.2544048,1.175576,0.88403237,1.0872964,0.79299235,0.9356195,0.89442664,1.0227625,1.0229505,1.1003515,1.0267465,0.9828082,0.94980025,0.8772782,0.9289379,0.82313526,0.86726654,0.98843825,1.1772054,1.1915872,1.1600101,0.953462,0.97167003,1.0446662,1.1572869,1.0947889,0.9967082,1.1140164,0.9341797,1.1831484,0.920536,0.9771455,0.83432436,1.026413,0.9203166,0.92938864,0.8520349,1.1505911,0.88225895,0.9722006,1.0155807,1.1243756,1.2955431,0.98526603,0.98502535,1.1633034,1.1451496,0.9528172,1.1109581,0.92354155,0.9768874,0.99029297,1.3085558,1.0129557,0.9594028,0.75660557,1.130709,1.2554795,1.0835932,0.87814397,0.97447973,1.1303376,1.0435184,0.94540113,0.8382599
