,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,cookie,couch,cracker,crayon,crib,cup,deer,dog,doll,door,drawer,dress,duck,ear,egg,elephant,eye,face,finger,firetruck,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,melon,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pastry,pen,pencil,penguin,pickle,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rock,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
cracker,1.0072907,0.7353366,0.94231725,1.1059644,0.958228,1.1686912,0.704973,1.0193647,1.3101625,1.3253443,1.0215608,1.2619708,1.1260421,1.0228925,1.2634826,1.1393638,1.2063155,1.0740381,1.0042741,1.1652089,0.51114726,1.1133423,1.1547949,1.0632855,1.2725656,1.0875201,0.897397,1.0797199,1.3545281,1.0429596,1.2447062,1.1067193,1.1050411,0.902381,0.9379398,1.2471728,0.0,0.96527773,1.2960885,1.1249374,1.0373106,1.0306993,0.91269505,1.2471606,1.0360987,0.9992399,1.0899564,0.73276854,0.7323141,1.0246383,0.67468923,0.9621487,0.65968883,0.9536826,0.9529749,1.0909702,1.089751,0.9340478,0.8898342,1.1420255,0.68670285,0.8363148,0.7231575,0.89252007,0.88543665,0.7379793,0.79397655,0.97220564,1.0227597,1.1807745,1.1512324,1.1450185,0.87185204,1.2159171,1.1216729,0.9878778,0.88002354,0.81917405,1.1279376,0.7164098,0.6556808,0.91378224,1.1148801,0.81413966,0.62275666,0.8632745,1.2230855,0.91461647,1.170658,1.1616912,1.1778774,1.0235294,1.0829153,0.9965884,0.9569165,0.80058455,1.1428062,0.92514956,1.1189988,0.9675486,0.96652377,0.9375601,1.0426346,1.1135862,0.73719525,1.2838006,1.0495397,1.0213928,0.865831,0.9309537,1.0896055,1.1113771,0.8853627,1.079134,1.1795042,1.2885687,1.2289872,0.9842999,1.1441809,0.6880314,1.1441622,1.0797883,0.992001,0.9639332,0.8345444,1.1818395,1.0936788,1.3403124,0.9181763,0.7109149,0.6697517,0.89688885,1.1623487,0.96319276,1.0851257,1.1289449,1.1649992,1.1669471,0.95741177,1.2775329
crayon,1.1728189,0.73600674,0.38120854,1.5133615,0.33312446,0.660182,0.87688595,1.2049694,1.5285535,1.5647879,0.51805866,1.5208507,1.5594447,1.2595305,1.542033,0.9295501,1.149261,0.3027128,0.45226508,1.273445,0.5551057,0.548942,0.58351994,1.1687934,0.89407307,0.71146697,0.95075464,1.1074173,1.3913798,0.48001128,1.1711484,1.2129645,1.2912614,0.9664904,0.82059675,1.5131022,0.96527773,0.0,1.4590497,0.3501777,1.0273614,1.2819186,1.1476854,1.2430742,0.928853,1.415522,0.54456145,0.9849837,0.9637904,1.395392,0.8260399,1.3145827,0.7250506,0.94532865,0.4947672,0.3119732,1.1049913,0.6704445,1.021316,1.4628531,0.45511645,1.1305745,1.0343248,1.2725221,1.2472652,1.2961614,0.6292223,1.0155237,0.83282846,1.3462598,1.3205663,1.5021925,0.8072751,1.01465,0.51638883,1.1645672,1.020927,1.4566426,1.2423251,1.0424393,0.8055037,0.23709846,0.67268,0.47736865,1.0243038,0.5089827,1.2863235,1.1356063,1.5736601,1.5376166,1.4098958,1.2420927,0.19222426,0.17889905,1.0927787,0.8800673,0.75966877,0.33876038,0.9927932,0.6198062,1.032323,0.9773583,1.1954937,0.61736834,1.0058576,1.3988385,1.3178849,1.1963,1.2902693,0.8248561,1.4132771,1.3061819,1.2673749,1.1093589,1.0927536,1.0334724,1.3911576,0.12973112,1.0561885,1.0306766,1.1490571,0.5353316,0.86138135,1.2505658,0.78189456,1.4805279,1.4348052,1.5783151,0.49487394,0.527337,0.72848713,1.0969324,0.7651653,0.9020152,1.1850057,1.047631,1.0852648,0.60755026,0.143013,1.2917521
crib,1.0543973,1.3377383,1.4635944,0.70296097,1.452295,1.2451963,1.1922371,0.5164003,0.48087877,0.31212652,1.3641058,0.36429673,0.69236654,0.93658763,0.5594578,0.76516855,0.6502603,1.2538266,1.3325139,0.51217747,1.4682169,1.0460399,0.9850339,0.9439143,0.7822726,0.9974757,1.1459173,1.0814898,0.37377,1.2114528,0.56158555,0.90302175,0.77155197,0.92104214,1.1810436,0.46075922,1.2960885,1.4590497,0.0,1.220486,1.0762196,0.97287565,0.87643844,0.49485385,0.8455289,0.88805175,1.2670844,1.2335699,1.3166198,0.87823975,1.301427,0.925684,1.4696295,0.9964719,1.4059045,1.1941423,0.9185522,1.1034428,1.1477647,0.51958233,1.5003985,1.133539,0.9226434,0.9891787,1.0021824,1.0988715,1.3956884,1.1114442,1.0220598,0.78438914,0.81459254,0.79479825,1.1419604,0.39204538,1.0564082,0.97576815,1.1466705,0.9437061,0.87924665,1.1885916,1.2706283,1.4665359,1.0893053,1.5115793,1.2634317,1.391451,0.6443894,1.0132753,0.6962985,0.74229366,0.6625942,0.90888023,1.3416967,1.3248193,1.080082,1.2303865,1.1511656,1.2349247,0.8415636,1.2695923,1.1082249,1.1667814,0.9804597,1.1285571,1.2139128,0.46099752,0.9772611,0.9632091,0.98424834,1.0993353,0.90379465,0.89752144,1.1183755,0.6556171,0.87290174,0.8814171,0.43629193,1.5100868,0.998987,1.1349969,0.8604529,1.1726112,1.2050653,0.9110821,1.3636086,0.52175826,0.8731372,0.30018902,1.3853725,1.5341645,1.3518784,0.8715765,0.9944215,0.78033525,0.6209779,0.86363304,0.837299,0.90955174,1.4930296,0.51324403
cup,1.2626861,1.0259117,0.5576645,1.3732803,0.44614232,0.56846404,1.0702499,1.0829635,1.1968577,1.3077912,0.62824845,1.2877672,1.3731091,1.1908387,1.3299091,0.9309039,1.1095144,0.16703403,0.33725095,1.0853288,0.87173307,0.7640606,0.3701198,1.1950566,0.6638221,0.74012107,1.0232589,1.0277944,1.126223,0.5190115,0.9345662,1.1345525,1.0537219,1.1526918,0.9224653,1.2654234,1.1249374,0.3501777,1.220486,0.0,1.0368953,1.2270474,1.1211338,0.99907184,1.0280436,1.3524765,0.60331136,1.1398705,1.0118152,1.2752742,1.1617459,1.1930772,1.0997936,1.0976676,0.69849443,0.2022872,0.9815627,0.84569746,1.1777151,1.1573894,0.7947796,1.2014879,1.062729,1.2093728,1.305402,1.3768928,0.79422235,1.0582472,1.048841,1.2276578,0.945764,1.4160324,1.0193162,1.0654896,0.48487645,1.1585957,1.112023,1.421694,1.1468639,1.1642201,0.9886525,0.36161137,0.74476993,0.7655547,1.1670468,0.7037928,1.0012441,1.1086223,1.3927038,1.4252598,1.3067567,1.1615655,0.31507725,0.35398,1.1496464,1.0656788,0.78884554,0.44098526,0.9579533,0.64822733,1.0670536,1.0619875,1.2330294,0.71869594,1.0702982,1.0943363,1.2972066,1.2390465,1.3065476,0.9494902,1.2995553,1.2073365,1.3465282,1.0444795,0.97014356,0.72837734,1.2142706,0.31027138,1.0081904,1.2346435,1.0788449,0.51861024,0.8333788,1.1026543,0.98406315,1.3309352,1.3197708,1.21781,0.52058357,0.84960324,1.0526866,1.1690007,0.80806255,0.8297707,1.0760152,1.060131,0.99330044,0.6755971,0.28857315,1.0407999
deer,0.67973214,1.1317809,0.93691957,1.2333684,0.97578293,0.9726445,1.1557596,1.0865304,1.2138132,1.2127492,1.1277864,1.2160512,1.2151082,0.75100124,1.2249352,0.8834485,0.9295989,1.0013819,0.98026544,1.0059245,0.94049656,0.9846425,1.0103776,0.618205,0.99154437,0.82987624,1.1148148,1.0376604,1.1557039,0.93299836,0.9971285,0.9834535,1.1125791,1.1948797,0.85448766,1.1467932,1.0373106,1.0273614,1.0762196,1.0368953,0.0,0.596948,0.8639827,1.0467302,1.1272166,1.0930606,0.86462736,1.0532526,1.0225596,1.1275976,1.1166296,1.0856265,1.1270547,0.9171131,0.8532913,0.94618267,1.0045737,0.9589542,0.70188034,1.1171395,1.078543,1.1003417,1.1480561,1.0866836,1.04157,1.1843547,1.0780401,0.47396427,1.016142,1.0821552,1.0572134,1.2872062,1.1018705,1.0273309,0.89511305,1.01001,1.0605745,1.2312601,1.0298522,1.0720301,0.99392384,1.0329512,1.0064603,1.1331422,1.0602503,0.9593664,1.0712962,1.0948739,1.2575115,1.2210406,1.063502,0.81261927,1.0486946,1.0451376,0.86541647,0.97922605,0.9551237,0.9906503,0.86137944,0.9979847,0.4510157,0.8815703,1.1355544,0.8634988,0.8995434,1.0944163,1.0566119,0.5840565,1.1234127,1.1103636,1.1648681,1.1477861,1.2263446,1.0817181,1.136359,1.0681366,1.171757,1.054197,1.0472294,1.1157513,1.162925,0.9868279,0.9874843,1.0173535,0.95519,1.1010661,1.1551371,1.1274067,0.95936733,1.0938118,1.0983379,1.2454869,1.0408125,1.0030332,1.0153432,0.9135116,0.9552473,0.96227646,1.04507,1.0565274
dog,0.27688658,1.2536352,1.1353978,1.1310734,1.1529844,1.1329418,1.0687926,1.0556,1.0355179,0.99027205,1.2337602,1.0731939,0.9604546,0.6272173,0.970754,0.9164834,0.75442636,1.143951,1.1906898,0.9579894,1.0727189,1.252965,1.2322035,0.511608,1.2078246,0.9424602,1.0649952,0.83597064,1.1030474,1.1743393,0.99091417,0.9846946,0.9450891,1.2524662,0.828135,0.9622214,1.0306993,1.2819186,0.97287565,1.2270474,0.596948,0.0,0.63085705,1.0899721,1.2006185,0.99002665,1.061577,1.0697505,1.0270414,0.8331697,1.2535481,0.9766475,1.3298454,0.94791216,0.95218796,1.139874,1.0331457,1.1865697,0.30631137,1.0356729,1.27527,0.9084676,1.0589933,1.0041366,0.8450952,1.1886141,1.1786847,0.48875773,1.155332,1.0325263,0.9446705,1.033663,1.2269326,1.1134946,1.1168947,1.0514832,1.179548,0.88335377,0.79489136,1.1769925,0.99951106,1.2600803,1.1212196,1.3838601,1.1838238,1.0899706,1.078695,0.9146229,1.0143106,0.93922937,0.74856067,0.6312993,1.23682,1.2831516,0.7588742,1.1063459,1.0636587,1.1950302,0.90791905,1.0131869,0.42052424,0.8370789,1.0078042,1.0921319,1.0051355,1.1472391,0.71333516,0.39595652,1.0162601,1.0015699,1.0680442,0.95844984,1.2151614,1.1949557,1.205222,1.1224649,1.019508,1.2318823,1.0460396,1.0787078,1.1137815,1.168498,1.1449735,0.9527709,1.1687284,0.94940764,1.0497302,0.9067614,1.0348365,1.3222747,1.1849529,1.1541233,1.134238,0.9044497,0.9408785,1.0512704,0.84287405,1.1565781,1.2310151,1.076525
doll,0.76808,1.12199,1.0854455,1.1163772,1.0709366,1.2403153,0.95201105,0.99149823,1.1875445,1.0557561,1.2089792,1.1519057,0.8943753,0.9048897,1.0542208,0.84843993,0.61393213,1.0154817,1.1065017,0.8591068,0.9572635,1.1650195,1.0993618,0.6540802,1.1730032,0.83984625,1.0687295,1.1709188,1.1571661,1.0710473,0.93154573,0.9468992,0.99936056,1.1340218,0.8734976,1.1029031,0.91269505,1.1476854,0.87643844,1.1211338,0.8639827,0.63085705,0.0,1.0714419,1.2135477,1.1234401,1.1132157,0.9451414,1.0569801,0.8404913,1.1790926,0.8812305,1.1547257,0.93380976,1.1650624,1.0443732,0.9865824,1.1189773,0.56777817,1.1025788,1.121187,1.0266243,0.95495486,0.8692145,0.89433634,1.0320483,0.899945,0.76160157,1.0781189,1.0324036,0.94799024,1.0733068,1.2458916,1.0154463,1.0640652,1.0629284,1.1908332,0.9463521,0.8208229,1.1126485,0.9588646,1.1302457,1.1674557,1.2326688,0.99618244,0.9542442,1.1801088,0.86386645,1.0049268,0.99163437,0.80232847,0.79913646,1.1838955,1.139861,0.844921,1.1484394,1.2549953,1.0370238,0.9302318,0.8837024,0.73738086,0.8370509,1.0346785,1.107596,1.0634573,1.2275203,1.0741704,0.667925,1.0935802,0.9549037,1.0788479,0.9542209,1.1899998,1.1377677,1.245732,1.2232134,1.0054824,1.1556178,1.1689029,1.0883415,1.1139534,1.0710425,1.1760737,1.063294,1.0718081,0.91631186,1.0697806,0.96828073,0.9932551,1.1462345,1.1706972,1.0422841,1.1668158,0.53294396,0.7124702,0.96809953,0.68391913,1.0593963,1.1826763,1.133013
door,1.2407817,1.2161642,1.2313262,0.96222675,1.2027515,0.98084337,1.2686101,0.96241987,0.74828744,0.70730835,1.141821,0.6198849,1.0467131,1.1335789,0.8344178,0.98810023,1.0504032,1.0366898,1.0966588,0.68512905,1.3116267,0.73587316,0.85953045,1.0155536,0.5479365,0.9642675,1.0848393,0.962632,0.4820652,0.89866555,0.10424864,0.869381,0.9542232,0.9473171,1.1273161,0.58565,1.2471606,1.2430742,0.49485385,0.99907184,1.0467302,1.0899721,1.0714419,0.0,0.7693782,1.0201746,1.0332427,1.2053246,1.2439026,1.1244073,1.2091931,0.9811297,1.2943168,1.0372431,1.2905682,1.023032,0.8280618,0.9329731,1.2833667,0.7823081,1.2679588,1.2307442,1.1700537,0.97615635,1.2590781,1.1312389,1.1458642,1.0931683,0.99140525,0.99456626,0.9901598,1.023693,0.9528168,0.59990555,0.7695354,0.96889883,1.0584238,1.247259,1.1142496,1.1116972,1.1487765,1.201765,0.79958445,1.1992633,1.14943,1.1679859,0.391886,1.2167715,1.0291022,1.0096345,1.0540121,1.0966533,1.1474339,1.1305602,1.1054212,1.1530279,0.9003305,1.0908129,0.7856783,1.2229955,1.0910513,1.0763196,0.99552864,0.95694333,0.9700244,0.30317175,1.0984908,1.0881021,0.85768586,1.2419122,1.0467582,1.0241959,1.1279708,0.85636044,0.7085901,0.7630092,0.82435983,1.2235491,0.874987,1.2015457,0.9258389,1.0044986,0.9257993,0.87485415,1.2056274,0.7751144,1.0346187,0.6671943,1.2239451,1.2569038,1.3324956,1.0996237,0.7249931,1.0717897,0.96488017,0.850394,0.93648905,0.6577947,1.186973,0.49042082
drawer,1.0949123,0.8493825,1.1125011,1.0467147,1.1140735,0.8718865,1.133349,0.971758,0.8707865,0.98333156,0.8049748,0.6737025,1.1721976,1.1722755,1.0959371,0.9810762,0.895667,1.115768,0.9290535,0.48400456,0.9866023,0.7139094,0.78371006,1.181076,0.68329144,0.93031454,1.1141579,1.1241596,0.75903904,0.96909887,0.8968562,1.161684,0.8139225,0.7368285,0.9307346,0.8305466,1.0360987,0.928853,0.8455289,1.0280436,1.1272166,1.2006185,1.2135477,0.7693782,0.0,1.0328366,0.96811026,1.0287646,0.98858255,1.1368717,0.83329636,1.079733,0.91404736,1.0015622,1.0266552,1.1257291,1.1427996,0.81815374,1.1784414,1.0746354,0.9217504,1.0934577,1.0357095,1.0887203,1.1829282,1.037203,0.9946768,1.1840875,0.8123776,1.1246616,1.1152819,1.0494454,0.73886013,0.7786168,0.99451554,0.9871055,1.021461,1.1582452,1.0982078,1.0579911,1.0523688,1.0753925,0.87168515,0.87671894,1.0977937,0.85881346,0.59824485,1.2333299,1.1545188,1.0493476,1.0274987,1.181153,0.8872871,0.87760735,1.0044577,1.0156652,0.84164244,1.0917704,1.0768738,0.86236733,1.1872432,1.1127435,0.964464,0.68408215,1.0708117,0.7828538,1.0903021,1.1796529,1.0551777,1.128232,1.1289437,1.0936394,1.0265636,1.0467671,0.9938866,0.73662746,1.1282845,0.92294794,1.0217764,0.7678278,0.960906,0.9927614,1.0972985,0.9220944,0.96913964,0.98003024,1.1146206,0.8478842,1.026738,0.9327569,1.0440749,1.0555756,0.88863254,1.1234801,0.77264667,1.0243443,1.0462115,0.9072673,0.94242066,1.00717
dress,0.9961086,1.0836443,1.3520975,0.4669448,1.3501289,1.1632502,1.0766419,0.9382258,0.69683653,0.59929293,1.1042625,0.63881767,0.5558534,0.9218511,0.67815226,1.1467702,1.0736309,1.386085,1.3942106,1.0303861,1.2106199,1.1349717,1.2822207,1.1291641,1.1263374,1.2897627,0.8985601,0.7740524,0.72326195,1.3802819,1.1064299,0.52984613,0.9743928,1.0543864,1.2006581,0.6454387,0.9992399,1.415522,0.88805175,1.3524765,1.0930606,0.99002665,1.1234401,1.0201746,1.0328366,0.0,1.2729418,1.0055866,1.049041,0.7945546,1.0266254,0.7968612,1.0677905,1.0891185,1.1852202,1.3028935,1.1276875,1.2798963,1.1844537,0.75982153,1.1842469,0.8918046,1.0680901,0.810782,0.91059536,0.80697984,1.1565003,1.0895364,1.0534676,0.44267035,1.0085994,0.5557219,1.0385201,1.00411,1.3923795,0.944926,1.0033053,0.7250733,0.9462357,1.0267022,1.1546805,1.3125141,1.2090536,1.1907829,1.1330734,1.309808,0.84694445,0.9472705,0.48649353,0.40392208,0.8549273,0.9890431,1.3535545,1.3916992,1.010444,1.0561943,1.0508171,1.3248277,1.1608872,1.3921893,1.1023866,1.276263,0.6998735,1.2474196,1.0498911,0.7687432,0.90140283,1.079016,0.59591544,1.106491,0.37455213,0.9269974,0.5375113,0.7501226,0.8376403,1.1210892,0.8454966,1.388504,0.93589574,0.89807975,1.001813,1.2705314,1.0860554,0.9842292,1.1565852,0.64493096,0.35556173,0.7259513,1.4153326,1.1510831,0.97710884,0.9386415,1.1418053,1.2607456,1.036734,1.0652345,1.0753021,1.2222438,1.3164036,0.86099195
duck,1.036863,0.89150035,0.62190616,1.4038402,0.61169034,0.5971244,1.1483693,1.2497965,1.4205829,1.3837421,0.6075553,1.4018866,1.4301816,1.1058567,1.3462956,0.9202385,1.2089137,0.6464089,0.58360064,1.1655295,0.81649685,0.6625054,0.70367,1.1113142,0.79175735,0.6980097,1.1026931,0.91738033,1.1246499,0.6163669,1.0052912,1.1147822,1.1632963,1.2202594,0.92542875,1.2821691,1.0899564,0.54456145,1.2670844,0.60331136,0.86462736,1.061577,1.1132157,1.0332427,0.96811026,1.2729418,0.0,1.0115505,1.0402011,1.2399992,1.0044659,1.233729,0.92036647,0.94519967,0.5047937,0.59543777,0.95477134,0.8498988,1.0486177,1.3659837,0.73141015,0.99632704,1.2542379,1.1958929,1.2995287,1.269244,0.7653373,0.88196963,0.89548826,1.2931597,1.2460425,1.4290662,1.0212331,1.0624332,0.5376711,1.1043491,0.97589946,1.3809345,1.0981461,1.1565512,0.84500635,0.6275035,0.6541136,0.73662895,1.0622572,0.75952935,1.0423843,1.1802459,1.478686,1.4201081,1.4020941,1.1558771,0.5805893,0.6311972,0.960075,0.79160154,0.45087707,0.6587472,0.8941741,0.75995386,0.90617704,1.0195435,1.0399418,0.5253956,0.84229827,1.1388633,1.1521635,1.1694359,1.1487802,1.1214259,1.3721006,1.2813036,1.2398729,1.1460233,1.0052,0.8931159,1.3896072,0.51212364,0.9273013,1.1683832,1.0526282,0.62501323,0.83631456,1.0542718,0.8340905,1.2324798,1.3768775,1.4326674,0.69084066,0.7620052,0.9301782,1.3877888,0.72595197,1.0346085,1.2283853,0.8834012,1.015741,0.64198947,0.5340301,1.0189638
ear,1.0226156,0.7900809,0.9925241,0.9221071,1.0264959,1.1766175,0.7882954,1.1193008,1.2784438,1.2552274,1.0021287,1.2546694,1.1224431,1.0611485,1.1894393,1.1720444,1.0624593,1.1300385,1.0278063,1.1427238,0.6932906,1.0818645,1.1637402,1.0463973,1.1951569,1.0296196,0.9225364,1.104787,1.2602463,1.1420159,1.2056075,1.1342875,1.0111057,0.82231855,1.0357674,1.2134315,0.73276854,0.9849837,1.2335699,1.1398705,1.0532526,1.0697505,0.9451414,1.2053246,1.0287646,1.0055866,1.0115505,0.0,0.9798653,1.0230294,0.7845292,0.9619302,0.42751354,0.8776454,0.96993023,1.1393871,0.8989847,0.93934083,0.92666733,1.1239009,0.7584799,0.81981313,0.90980285,0.90202117,0.7135102,0.3805709,0.8233377,0.97272956,0.963025,1.2090018,1.1637896,1.020896,0.783566,1.2494245,1.1974918,0.8001302,1.0563865,0.8747963,1.0828282,0.8387374,0.8583612,0.9585422,1.112949,0.81149393,0.7288543,0.99376476,1.148356,0.97290736,1.0719137,1.085185,1.0846211,1.0886294,1.0258827,0.9689743,0.92178935,0.9669099,1.0648667,0.98526657,1.07631,0.92677075,0.981204,1.0090452,1.0030237,1.0126137,0.93973935,1.2405188,1.0312335,1.0605165,0.930064,1.0444007,1.0880766,0.9442598,0.8189468,1.1457243,1.1642339,1.1945598,1.2849908,0.94484013,1.1440041,0.9467134,0.94815934,1.0987816,0.9380638,1.104413,0.88809085,1.066463,1.1134405,1.2741086,1.0181154,0.5949269,0.76505935,0.93334943,1.1490854,1.0653635,1.0935385,1.1318331,1.0358993,1.1179298,0.99337995,1.2637007
egg,1.0568571,0.85338277,0.601212,1.1650654,0.6536415,0.6952802,0.66349626,1.1468248,1.1174201,1.2223716,1.0060744,1.253643,1.1773952,1.0358702,1.2255024,1.1138333,1.1416591,1.0555755,0.8047521,1.1411825,0.7061709,1.2111104,1.0698432,1.0759032,1.1996584,1.1127416,0.90921617,1.1901962,1.3378583,1.0177414,1.1676725,1.1891663,0.8647095,1.1481055,0.78349674,1.1573925,0.7323141,0.9637904,1.3166198,1.0118152,1.0225596,1.0270414,1.0569801,1.2439026,0.98858255,1.049041,1.0402011,0.9798653,0.0,1.1123104,0.8279294,1.0064859,0.75920427,1.0666932,0.88197416,1.016881,1.2262679,1.0372797,0.9689989,1.0143925,0.87758625,0.93055886,0.83970857,0.98113376,0.98919153,0.93119913,0.94646114,1.0029256,1.037355,1.2040001,1.0619992,1.1295699,1.0378811,1.2610867,1.0726367,0.90694416,0.8218528,0.91316676,1.0375482,0.9022469,0.7388345,0.8140596,1.1502085,0.91265845,0.83591056,0.632317,1.1627793,0.960681,1.1483592,1.1531543,1.1410282,0.86585236,1.0699563,1.0428809,0.9288881,0.7360655,1.0031315,0.98136324,1.1811981,0.7203227,1.0174494,0.7637649,1.1745229,1.0040826,0.66855013,1.2955467,1.1080273,1.010633,1.2136033,0.9831106,1.0994208,1.1365556,1.0505862,1.1951941,1.2520499,1.0552856,1.1346297,0.9822427,1.1458548,0.43712413,1.1957269,1.1502458,1.0119352,0.82688683,0.6209152,1.2860029,1.1065006,1.2002054,0.76035494,0.7257595,0.870036,1.0110502,1.2244601,0.9547897,1.0196776,1.2030462,1.1256163,1.3131037,0.9689179,1.2620773
elephant,0.8393178,1.1304191,1.3210995,0.7085145,1.3259263,1.1546856,0.9949977,0.97326946,0.7487819,0.6979544,1.1540797,0.7430067,0.5603415,0.905447,0.60123456,1.1051822,0.84197235,1.2949517,1.3227398,1.0197684,1.2512469,1.298503,1.2532014,0.9315367,1.2164843,1.2118095,0.9694829,0.7904279,0.90950245,1.3218095,1.1744542,0.8721367,0.9295243,1.0544106,1.1290327,0.8233169,1.0246383,1.395392,0.87823975,1.2752742,1.1275976,0.8331697,0.8404913,1.1244073,1.1368717,0.7945546,1.2399992,1.0230294,1.1123104,0.0,1.0617405,0.9115463,1.1074209,1.0642722,1.190125,1.3279936,0.9588374,1.2719579,0.87892824,0.8599802,1.2112154,0.843,0.95678115,0.98433137,0.7418125,0.86367637,1.1911423,1.1252509,1.1458336,0.72722864,0.8596902,0.5806207,1.1802286,1.1263571,1.3863115,1.06683,0.9491123,0.61942315,0.82962114,0.98984647,1.1405536,1.2878009,1.1658431,1.2296216,0.97595286,1.2523543,1.0500447,0.7324417,0.53201556,0.62092924,0.72091657,0.92629194,1.3106422,1.3480392,0.97699213,1.0919527,1.1699326,1.2852714,1.1793817,1.1449186,1.0856619,1.0883526,0.95261294,1.2854565,1.0748959,0.9662068,0.63325185,0.88017714,0.8391341,0.9356503,0.7358645,0.82313025,0.77797776,0.9611306,0.86105126,1.1411281,0.7329033,1.3173645,0.85199714,1.0821451,0.891099,1.2281896,1.2077081,1.0987641,1.0173907,0.83860636,0.7156143,0.73702025,1.2171009,1.1994512,0.99743056,0.88592243,1.099341,0.99468195,0.9623589,1.014379,0.9701891,1.3276875,1.34183,0.95444417
eye,1.161731,0.37004334,0.897544,1.0118006,0.9537587,0.9922305,1.0150582,1.2363169,1.2022166,1.190668,0.7878853,1.1542248,1.0994169,1.1459745,1.2126017,1.2613895,1.1831115,1.155785,1.043511,1.2246692,0.71657073,0.9457996,1.2316098,1.2185405,1.2271627,1.2169061,1.0240896,1.0016748,1.2569672,1.0262468,1.2504103,1.1346605,1.0631913,0.80273867,1.0234392,1.154045,0.67468923,0.8260399,1.301427,1.1617459,1.1166296,1.2535481,1.1790926,1.2091931,0.83329636,1.0266254,1.0044659,0.7845292,0.8279294,1.0617405,0.0,0.9216447,0.4106897,1.1000544,0.8898349,1.1383033,1.1718336,0.87377393,1.1514949,1.1309932,0.33566797,1.0652909,1.0815594,0.8355909,1.056566,0.7421537,0.6334177,1.1647533,0.940501,1.193374,1.1240367,1.0667195,0.7794086,1.1585348,1.1372123,1.1005787,0.90516007,1.0907435,1.1748531,0.49348426,0.890258,0.79105735,1.0791968,0.44015497,0.32767618,0.90635276,1.1478812,1.0884705,1.1479607,1.1034527,1.1089598,1.1543177,0.89310735,0.8564514,1.1055582,0.90708566,1.0257995,0.8737193,1.2437994,1.0054874,1.1725484,1.0833353,0.9876953,1.0350368,0.838768,1.1987238,1.0899917,1.1913192,0.93425256,1.046196,1.0461338,1.1639366,0.8069036,1.0532422,1.0537475,1.168921,1.2299182,0.8284477,1.0297513,0.7153748,1.0755125,0.9773768,0.9624133,1.0541995,0.80159783,1.2122649,1.0571789,1.299365,1.0047538,0.45491385,0.4363731,0.9409468,1.0939738,1.3044844,1.2030394,1.1728134,1.1783414,1.1323196,0.8357531,1.2184923
face,1.0300903,0.86370206,1.1641325,0.7163606,1.175712,1.201767,1.1323681,0.9910055,0.88087755,0.7607728,1.1479449,0.90708184,0.77475995,0.89246947,0.91708255,1.1155623,0.98990494,1.201939,1.306589,1.001127,1.1327301,1.2737848,1.2564932,1.0527179,1.1848227,1.180263,1.0495492,0.96869785,1.0009937,1.2825096,1.0029634,0.8200012,1.048983,1.1009531,1.0467874,0.7898325,0.9621487,1.3145827,0.925684,1.1930772,1.0856265,0.9766475,0.8812305,0.9811297,1.079733,0.7968612,1.233729,0.9619302,1.0064859,0.9115463,0.9216447,0.0,0.9843706,1.1446002,1.2291489,1.161072,1.1017805,1.2605317,1.0557035,0.74648225,0.96976316,1.1550523,1.1017795,0.08517271,0.98046094,0.823547,0.6845725,1.067366,1.1715373,0.77932787,0.87961257,0.8604734,1.2671945,1.0767591,1.2339238,1.0318713,1.1100539,0.9478392,1.0040231,0.75597644,1.089766,1.1054753,1.3947973,1.04914,0.7167027,1.1626577,1.0555372,0.7951134,0.7559799,0.8253006,0.8283855,0.8953657,1.2143958,1.2133566,1.0477831,1.186923,1.2239623,1.154246,1.0886858,1.2966775,1.0824684,1.0767521,1.1119947,1.1980969,1.1197091,0.9067438,0.96879816,1.0010453,0.9799004,1.1495731,0.6500412,0.9806247,1.0071968,0.93666,1.0181675,1.1449177,0.8873898,1.2427305,0.9910157,0.9822292,1.169815,1.1154479,1.1129116,0.95054835,1.067153,0.9284957,0.6509607,0.8587023,1.1940637,0.9707375,1.0357841,1.0251762,1.3395417,1.0969297,0.9954314,1.0962878,1.0193776,1.2946509,1.2024249,0.9185647
