,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,cat,chair,clock,closet,coffee,comb,cookie,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,egg,elephant,eye,face,finger,firetruck,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,melon,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pig,pillow,plant,plate,pony,pumpkin,purse,radio,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stroller,sweater,swing,table,tape,toe,tooth,toothbrush,towel,toy,tray,truck,vacuum,watch,window
alligator,0.0,1.3158443,1.0685774,0.63583785,1.3916686,1.4591819,0.77924746,1.1641967,0.6714701,0.4966514,1.3202616,0.5674483,0.516273,1.0081856,0.46903455,1.2088732,0.6866759,1.4799526,1.3393459,0.9872409,0.9806872,1.2824523,1.2809814,1.2630012,1.3618374,1.2386967,0.97688854,0.97419965,1.5527142,0.9102987,0.92742044,0.77134067,0.92715526,0.6989741,0.93874127,1.533978,0.669361,1.5152506,0.9814233,0.71784097,0.6594402,1.0736428,1.0498044,1.1897604,0.8728172,1.1056002,0.7659031,1.1930959,0.77359414,1.3389908,1.4141527,1.0337152,1.163336,0.7691496,0.776052,1.5206032,0.6826475,1.1745211,0.83313257,0.75693655,1.4273666,0.8232365,0.7945851,0.7071938,1.0995823,0.5098881,1.2640526,1.3416195,1.4769258,0.7124736,0.37743783,1.2768183,1.0429412,1.0992129,1.4382282,1.3380007,1.563704,1.1521264,1.3716195,1.0662076,0.9009945,0.4988743,0.65473485,0.53847,1.4078127,1.4588783,1.2406765,0.90839744,0.92555535,1.3877137,1.1358875,1.1375438,0.9131348,1.3225982,0.86357296,1.3362732,1.0307775,1.0227661,0.7190608,0.6028593,0.74032044,1.0195119,0.8914439,1.2459224,1.0302353,0.70042145,1.5079179,0.9650137,1.2234479,0.8133944,1.0492284,1.4406327,1.0362681,1.1234586,0.6620741,0.82042336,0.4229653,1.3071921,1.3226539,0.7950512,0.49824905,1.157398,0.8655527,0.56986594,0.921449,1.2650722,1.5129521,0.9736297
ankle,1.3158443,0.0,1.0743349,0.89704216,0.8612551,0.8199202,1.08274,1.1714826,1.30628,1.3508168,0.73961747,1.3466486,1.1907182,1.0338728,1.122799,1.0140903,1.3040011,0.7925329,0.94774044,1.2255213,0.9739631,0.9438505,1.0179386,0.8371589,0.8933152,1.0264221,0.9010492,1.1373881,0.7595614,1.257641,1.1919672,1.2559417,1.1232362,1.2849659,0.886307,0.6491263,1.4328239,0.85924804,1.2056854,0.9662637,1.1062438,1.1995165,1.1729589,0.9740213,0.8415718,0.92548573,1.2441484,0.734151,1.1749233,0.816458,0.86241174,0.7178804,0.8943851,1.0753537,1.2657835,0.62469965,0.8664395,0.9496885,1.214434,1.0309273,0.6725775,1.0239632,1.2808459,0.9735756,1.1496909,0.961098,0.87183636,0.8075539,0.8034768,1.1541903,1.1166842,0.8155565,0.968681,0.9151354,0.7312283,0.67036635,0.425534,0.9666614,0.89628005,1.1543986,1.0777236,1.0826101,0.8590123,1.349815,0.7347139,0.70643467,0.8071935,1.098168,0.8725883,0.66015226,1.079158,1.1512878,0.8987909,0.7886857,0.95715386,0.88706154,1.1516967,0.94182247,1.1655611,1.397275,0.93713,0.86852884,0.7583219,0.8407609,1.1843046,1.24551,0.583633,1.0071322,0.81703293,0.80880445,1.0535755,0.74456906,0.9888479,0.84411323,1.0738643,1.168191,1.5173638,0.9612618,0.623802,1.082857,1.2965329,0.85470474,1.1575959,1.3603592,1.1151667,1.020592,0.6846518,1.2506944
apple,1.0685774,1.0743349,0.0,1.074898,0.55222666,0.72458977,0.6863109,1.1643343,1.2178476,1.2884305,1.0711646,1.2757448,1.0929298,0.96254283,1.240624,1.0208042,1.005478,0.98437285,0.92282325,1.0865176,0.83180714,1.1466666,0.99358344,0.92017317,1.1958693,1.0550724,1.1793516,1.3095839,0.91363394,1.1678351,1.006141,1.1428324,0.83787256,1.2608047,1.1017387,0.9723112,1.2029526,0.86959535,0.9939753,0.96385664,0.8723176,1.1612906,1.198601,0.33434588,1.2562646,0.9418175,1.0052314,0.80205685,1.0625575,0.821379,0.9507144,1.1117445,1.0654665,0.8316413,0.95567447,1.0072124,1.0337889,0.64299804,1.0085857,0.8765838,0.9698446,0.89092207,1.150615,1.1935985,0.96671706,1.2257903,1.1023067,1.2307119,0.99515325,0.5261905,0.9152874,0.99968296,0.8705384,0.6929758,0.81402916,1.135388,0.99771523,0.9296236,0.39949787,1.1838202,0.9744346,1.2104685,1.1777655,1.0832332,1.1062973,1.1038635,1.0381513,0.84933805,0.8726393,1.1357447,1.0087079,0.8693243,0.90358675,0.6326994,1.2422872,1.149374,1.2486744,0.9308249,1.1096789,0.97245514,1.1661146,1.0727211,1.1672442,0.9725108,1.0993212,1.0372155,0.98191774,1.2477739,0.98937875,1.1312951,1.1296934,0.8836403,0.9989653,1.1213883,1.1637875,1.1113267,1.1885158,0.81655777,0.77382845,0.780797,1.0140982,1.1590737,0.7825259,0.9591948,1.006792,1.2600625,0.9752443,1.110513
arm,0.63583785,0.89704216,1.074898,0.0,1.4321724,1.4688835,1.0107044,1.2825153,0.7785434,0.6469388,1.2603517,0.68004817,0.5650754,1.1998135,0.5259401,1.3029915,1.0078102,1.4425457,1.3577976,1.0887156,1.0390573,1.2818258,1.288629,1.2924601,1.2046062,1.363354,0.9333818,1.0092115,1.5539902,0.9961071,0.99081194,0.7288406,1.121433,0.77504253,0.84465176,1.3725574,0.8693258,1.4393587,1.1060767,1.1815393,0.92615235,1.0688754,1.0488253,1.2530773,0.7707913,0.9328856,0.6095693,0.7001147,1.0134743,1.3686626,1.4708816,0.84424824,1.1268951,1.2174289,0.8426535,1.2964302,0.60563534,1.252426,0.66156834,0.35617483,1.2130294,1.2194345,1.0189568,0.552941,1.2966115,0.3358041,1.1572516,1.3227425,1.4800143,0.8597195,0.6169529,1.3096867,0.8419085,1.1894999,1.2265,1.2565217,1.1373458,0.8754535,1.2796968,1.0578315,1.1549124,0.40116322,0.4043485,0.80717945,1.3019378,1.2486902,1.2991024,0.98279834,0.82571197,1.1415198,1.2746999,1.2772505,1.2713683,1.1207409,0.9081943,1.3770595,0.9482893,1.1055127,0.5922559,0.93952084,0.45299053,1.101075,0.52717197,0.9738257,1.0553813,0.8797139,1.3279169,0.8009677,1.0718225,0.7309159,1.0360006,1.4129285,1.0392325,1.1623945,0.5018543,0.93653476,0.7386251,1.2997262,0.8553542,0.7847922,0.6403662,1.2112811,1.3727441,0.85906905,1.0925016,1.2896278,1.2654009,1.0187083
ball,1.3916686,0.8612551,0.55222666,1.4321724,0.0,0.21139753,0.8266383,1.0027274,1.4819667,1.4945683,0.6936362,1.5039937,1.3873639,0.9840883,1.4657578,0.77559865,1.1719602,0.25922102,0.685346,1.1795439,0.9697673,1.038557,0.8320327,0.7534373,1.0229403,0.84923613,1.0937399,1.386569,0.39901733,1.2230763,1.1454237,1.3359659,0.85107005,1.4245403,1.2204427,0.37539768,1.4097533,0.41529047,1.010572,0.897715,1.109974,1.2067091,1.2354139,0.35407358,1.1961868,1.0521561,1.2167926,0.8887228,1.198122,0.5698004,0.38489223,1.0849501,0.83369577,0.90815675,1.1399956,0.5526353,1.335166,0.5137742,1.2054378,1.3012351,0.47028506,1.0049057,1.2757982,1.3410183,0.8803036,1.4919426,0.92391706,0.99794406,0.61031777,0.9577148,1.3373268,0.6547808,1.0727367,0.7515578,0.28216052,0.9434632,0.653746,1.0544971,0.33657563,1.2471155,0.9488003,1.4305453,1.4148159,1.3621032,0.5387018,0.59390277,0.770688,1.0586219,1.1057447,0.8794992,0.9351096,0.8022021,0.8400794,0.6390159,1.2776704,0.80358887,1.3100202,1.0314947,1.364933,1.1617026,1.3471941,1.0301623,1.2840117,1.0657924,1.2352684,1.1573677,0.40975338,1.2017725,0.922446,1.2982755,1.1198014,0.5545358,0.93970114,1.1334534,1.352246,1.1956239,1.4473584,0.66975546,0.70844465,1.0322328,1.3065616,1.0544147,0.60735905,1.2087052,1.0788764,1.0122254,0.42488408,1.1581957
balloon,1.4591819,0.8199202,0.72458977,1.4688835,0.21139753,0.0,0.9518259,0.9361749,1.4364071,1.5142462,0.62224233,1.4887934,1.4266179,0.9287189,1.5178556,0.6809006,1.182714,0.29922462,0.67194307,1.1448754,1.017252,0.90608126,0.69480014,0.71288896,0.87202954,0.72295785,1.1357371,1.1982005,0.400725,1.214034,1.1855373,1.3048688,0.8978419,1.426006,1.2478368,0.41487074,1.3834918,0.4207245,1.1040964,0.86607325,1.1251363,1.1591474,1.2025921,0.5081316,1.189067,1.1469321,1.2829738,0.98558193,1.1316365,0.5389966,0.45742804,1.0440005,0.90036535,0.90215814,1.165557,0.6076481,1.2957857,0.6004133,1.2534847,1.3581121,0.48268437,0.99001443,1.1399212,1.3705308,0.84708744,1.5262146,0.8856124,0.78496563,0.5909575,1.074957,1.338135,0.60070145,1.1055355,0.80733025,0.47640324,0.8172827,0.6433913,1.148172,0.4404691,1.2083176,1.0072662,1.4817307,1.4479501,1.4025328,0.62991047,0.6383908,0.52025473,1.0949569,1.1153611,0.82888067,0.87390697,0.8564397,0.81051743,0.65786886,1.2185178,0.6837636,1.2175261,1.0341259,1.3100741,1.090091,1.370333,0.95093703,1.2735789,1.0808513,1.1468608,1.1075401,0.45596611,1.2345719,0.90971464,1.206527,1.0873518,0.5340216,0.8214224,0.9673497,1.3663352,1.1403421,1.4755983,0.6583448,0.8088143,1.1339546,1.3404304,0.9424177,0.56582415,1.2494597,1.0239909,0.83851314,0.53246015,1.154618
banana,0.77924746,1.08274,0.6863109,1.0107044,0.8266383,0.9518259,0.0,1.0818814,1.113947,1.1303656,0.97524,1.0792735,0.8106941,0.9984965,1.0237659,1.0023769,1.0727172,1.0587457,0.9933015,1.1734987,0.75169224,1.1799346,1.0512903,1.006372,1.2925274,1.0577104,1.1428634,1.1937536,1.1322905,1.2398046,1.0830169,1.1744996,0.82475764,1.1420145,1.0307872,0.9208771,1.1750381,0.9784731,1.0322608,0.879763,0.8949403,1.2833295,1.1317291,0.6448434,1.1185308,1.0912879,1.1202108,0.94985807,1.0570059,0.8633981,1.0361491,1.0686591,0.9725676,0.6140953,0.90171987,1.0351212,0.7444369,0.6517809,1.13726,0.9425232,1.0633769,0.99369854,1.0104351,1.1069059,1.0409994,1.0314461,1.0999722,1.2149485,1.1832466,0.6193867,0.6861913,1.1254017,1.0438397,0.8157726,0.99788094,1.0486228,1.0542054,1.1056073,0.8662283,1.2564917,1.0225232,1.0650256,1.0713574,1.0855956,1.0076426,0.9807235,1.0356485,0.6747553,0.85022366,1.1136978,1.0437024,0.85533154,1.021857,0.97067225,1.1070602,0.95523363,1.278913,0.9412901,1.106427,0.7855365,1.1395411,1.0404488,1.0462983,1.1139207,1.0260471,0.8738955,0.9501359,1.1175812,0.7684448,0.9722346,1.0181826,0.97191006,0.92094904,1.0820513,1.1101116,1.0362895,1.0442909,0.9013003,0.9695822,0.861779,0.69831824,1.1168162,0.6597752,0.868274,1.0367908,1.2006843,1.0409346,1.2220395
basket,1.1641967,1.1714826,1.1643343,1.2825153,1.0027274,0.9361749,1.0818814,0.0,0.84068245,0.96526515,0.90744483,0.81621015,1.1490321,0.92153287,1.1420248,0.7329341,0.8400152,0.8249272,0.81910706,0.66686946,1.0999223,0.714149,0.70595205,1.0376122,0.7243602,0.66978264,1.2121457,0.6040906,0.9011627,0.867892,0.9810057,0.84805006,0.946793,0.92113924,1.0800153,0.88924694,0.7245457,0.85368,0.99778473,1.0772293,1.1245617,0.8030006,0.5985851,1.1512337,1.1851778,1.2512201,1.1840997,1.2492583,0.9043189,1.1155438,0.8042624,1.0811793,1.0712523,1.1514705,1.060243,1.0379106,1.1331972,0.900997,1.1397483,1.2385365,1.0328065,1.096322,0.86322695,1.26558,0.8575781,1.2357228,0.74523884,0.6274067,0.8557985,1.2111945,1.1529528,0.85825336,1.146152,1.1054986,1.0830795,0.7897022,1.1378056,1.1662794,1.1058443,0.73884046,0.99343675,1.2164705,1.2943776,0.99008983,0.88219553,0.8619132,0.91385794,1.0500404,1.0597641,0.88826317,0.79543316,0.8355472,1.0946121,1.164399,0.9473443,0.64294195,0.7724167,1.1374936,1.2267759,0.94803387,1.3099489,0.8831737,1.3226203,1.1881399,0.7083291,1.024446,0.94038105,1.0708035,1.1416483,1.0267258,0.86805785,0.97476715,0.9436044,0.9608954,1.2675697,0.92183137,0.87128615,0.92560184,1.272356,1.23321,1.1415976,0.7739433,0.8848039,0.9674527,0.97340316,0.6233198,1.0165049,0.9124348
bathtub,0.6714701,1.30628,1.2178476,0.7785434,1.4819667,1.4364071,1.113947,0.84068245,0.0,0.34189516,1.1914057,0.23489541,0.52980244,1.2056899,0.39762545,1.1606704,0.7918279,1.4557049,0.93820655,0.65906996,1.1152973,1.0587397,0.6742356,1.4194977,0.7797657,1.2214372,0.8980615,0.5579844,1.4053175,0.68594474,0.69856876,0.81044275,1.0178876,0.45726597,1.0674343,1.5849057,0.5112184,1.2009144,0.83452696,1.2431664,1.1526589,0.70855814,0.6032869,1.3331549,0.81544626,1.171966,0.8667378,1.3833234,0.8465475,1.495377,1.460795,1.193045,1.1466238,1.3611498,0.689932,1.6312268,0.98720765,1.3641046,0.9733417,0.9612097,1.5528061,1.2020972,0.66544026,0.7209865,0.9156214,0.54588103,1.1322982,1.1409132,1.2859015,0.74022764,0.8124325,1.3395486,1.1051667,1.370925,1.4924858,0.99165887,1.5518286,1.2241038,1.4201524,0.65952104,1.1278805,0.5671005,0.680574,0.5502167,1.3467373,1.3924114,1.2661153,1.0287706,1.0689867,1.1070068,1.1216031,0.86949515,1.3721113,1.3333969,0.7264723,1.2436033,0.5805407,1.3365352,0.8110539,0.7282045,0.74497926,1.2202326,0.8956537,1.1738863,0.48966765,0.67241925,1.5948036,0.77734387,1.2115558,0.9749683,0.99131787,1.4156814,0.9163132,1.0755595,0.70701337,0.73041385,0.34825188,1.1154342,1.4886509,1.1101619,0.67705625,0.8551652,1.2430084,0.6014314,1.0569985,0.98901874,1.5387988,0.75298345
bed,0.4966514,1.3508168,1.2884305,0.6469388,1.4945683,1.5142462,1.1303656,0.96526515,0.34189516,0.0,1.2627008,0.15727073,0.5523679,1.203809,0.21465772,1.2506232,0.74950063,1.4706827,1.3497121,0.8291997,1.1948439,1.0968044,1.2075953,1.3933787,1.1020727,1.2162216,0.8288423,0.5185964,1.4808187,0.50859064,0.7841071,0.68511254,1.0547572,0.23377079,1.0862113,1.6031113,0.21489954,1.5226856,0.99117464,1.1283746,1.0384517,0.660432,0.7306371,1.4008147,0.7151561,1.1096689,0.6323308,1.323516,0.8907974,1.5400629,1.4059411,1.1646314,1.153324,1.3015697,0.68672824,1.6175774,1.0507963,1.4860921,0.7222361,0.9287406,1.480876,1.2106605,0.6363886,0.5308273,1.1210446,0.3882379,1.3286419,1.1158087,1.3501441,0.88160473,0.8917179,1.3094838,1.0746244,1.3897538,1.4554551,1.2481658,1.5779915,1.182081,1.4789855,0.77054846,1.1051786,0.38041598,0.5622886,0.5190937,1.4333279,1.4482975,1.3642828,1.0250177,1.0302616,1.1352886,1.0575172,1.198491,1.2926152,1.4449582,0.875691,1.3435388,0.609792,1.2891885,0.6723865,0.7548797,0.57641923,1.2395601,0.76527417,1.216655,0.875173,0.56151587,1.638207,0.68072265,1.1935835,0.97496444,1.0115718,1.5521915,1.0425007,1.2230443,0.49942183,0.6561581,0.2437005,1.3774616,1.4336724,1.0451391,0.7193613,1.0258836,1.2488384,0.6463208,1.0172131,1.0024134,1.5222577,0.5853045
