,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,cookie,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,melon,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pastry,pen,pencil,pickle,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rooster,scarf,scissors,shirt,shoe,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,tricycle,truck,vacuum,watch,window,zebra
coffee,0.8707744,1.0968971,1.2598329,0.85799444,1.1287639,1.0442895,1.1315677,0.84216213,0.47347718,1.0198783,0.525644,1.1615422,0.6759258,0.9509456,0.9890385,0.78820145,0.84861875,1.0422733,1.1521572,0.87804914,0.7075949,1.107709,1.0963079,0.91947186,1.1550837,0.83139634,1.069154,1.195291,0.8902176,0.63300455,1.1969329,0.67873305,0.8088259,0.0,1.0759517,1.1592712,0.49674582,1.1358706,1.2917677,0.61041725,1.0983015,0.9091779,1.1086483,0.7094853,0.52403414,0.8915073,1.2388959,1.2574698,0.8816093,1.2533116,0.9830432,1.3142672,1.2303838,1.1965935,1.1279368,1.2778819,1.1180943,0.7748059,1.3383329,1.0758809,1.0907427,1.1866813,1.0014651,1.1018504,1.2777736,1.0805559,0.82312375,0.84120566,0.9902899,0.76130086,0.9237557,0.67341006,1.19599,1.1693108,0.953664,1.0706406,0.92673814,1.1975931,1.0957025,1.3067735,1.1437857,1.3424151,1.3157641,1.186626,0.6692305,1.0334555,0.8643435,0.74023205,0.9541383,1.1108974,1.2861145,1.3670592,1.1793907,1.1141102,0.98114777,0.9182345,1.1260805,1.128374,1.0528657,1.2555343,0.8250207,1.1041487,0.5594205,0.88080585,0.9485694,0.9316986,0.90134645,1.1828973,0.648319,0.74421036,0.7535333,0.81977123,1.287368,0.8698592,0.8286467,1.1085498,0.9561713,1.2317485,1.0285244,1.2179525,0.73322064,0.81897616,0.48211324,1.1464142,1.2754835,1.3442326,1.0793269,1.1512905,1.0940381,0.8050081,1.0419302,1.0949553,0.8346802,0.68979883,1.3098689,0.83497983,0.96530074
comb,1.0064797,0.9572325,1.2378432,0.9629818,1.0975479,1.084704,1.043302,0.8806972,0.8964795,1.090625,1.0317814,0.9211247,0.8166693,0.9433985,1.1267016,0.97106016,1.0723346,0.9745034,1.2181215,1.0302547,0.88771313,0.95087373,0.8184605,1.1246498,1.1434101,0.93062913,1.2359306,1.0109962,0.9790768,1.0029001,1.0646996,1.0618247,1.074736,1.0759517,0.0,0.8837808,1.0890144,0.92637247,0.96518534,0.9558264,1.1650674,1.1171552,1.1060855,1.0305344,0.8132324,0.96060896,1.0187106,1.0551066,0.9291763,1.1763403,1.0844079,0.87627965,1.1646641,1.2421685,0.81589365,0.84706765,1.2105983,1.0257349,0.9830002,0.9058929,0.9446456,1.0194136,1.0257322,0.8338768,1.1112744,1.2023472,0.69828296,1.1100138,1.0596886,0.94084406,0.49721515,0.9784541,1.1147735,0.8030803,0.9523636,0.8506253,1.1782894,0.83094156,0.90241957,1.1600962,1.0235438,0.90564144,0.921847,1.1310425,0.9198935,0.9343632,0.9233233,1.015388,0.9038613,1.055141,0.90509444,0.96361804,1.1049464,1.0482947,1.221117,1.0030961,1.1012998,1.0438383,1.243207,1.1278837,0.91888237,1.1103541,0.973345,1.1348131,1.002499,0.7911056,1.0656452,0.7099656,0.9349428,0.9146661,0.9034204,1.023711,1.0578351,0.8564687,1.2860861,0.8060174,1.0053267,0.9486394,0.9732388,1.0159551,1.0788211,1.0974101,1.0245118,1.0463191,0.9636691,0.8690613,0.6188569,1.0559171,1.242264,0.9953686,1.0502305,1.1566955,0.9866893,0.7747174,1.080723,1.0974892,1.007007
cookie,1.1242584,0.98919797,0.86768955,1.244782,0.7531409,0.7958143,0.8026811,0.9442409,1.2759256,1.0467566,1.2761136,0.9773301,1.0770333,1.1704679,1.1664286,1.1849395,1.037905,1.0302827,0.99718183,0.8687885,1.0123789,0.8793756,1.0392,0.95047545,1.0733399,1.0789683,1.0397629,0.6732907,1.1004422,1.1487541,0.88494253,0.99175704,1.1761464,1.1592712,0.8837808,0.0,1.2180245,0.62242246,0.9834533,1.1360664,0.92156464,0.99073553,1.007431,1.0489681,1.084897,1.1626778,0.9674508,0.7710674,1.2318745,0.931458,1.0864966,0.9344208,1.0027039,1.0391641,0.9089739,1.0157969,0.8688191,1.0363543,1.0234467,1.0095371,1.026756,0.6785226,1.0627497,1.0262848,0.8696466,0.9202494,1.0230188,1.2008153,1.017207,1.2570412,1.0918568,1.1366451,0.9539237,0.9710844,0.88594854,0.9496928,1.0821556,0.90692955,0.8642991,0.8975646,0.9374282,0.95290196,0.8779765,0.7135714,1.1452072,1.0320007,1.2529898,1.2473172,1.0654805,0.41788507,1.0628754,1.0272048,0.89235693,0.8681384,1.1479237,1.1326865,1.086251,0.89097273,0.8951671,0.84678113,1.1191711,0.9116539,1.2148516,1.161657,1.1487879,1.1328465,1.2267057,0.92606217,1.2116946,1.2677413,1.050765,1.1403918,0.95488393,1.1192029,1.0771127,0.95772684,0.8268064,1.066834,1.0077152,0.95826906,1.1372586,1.201133,1.1718608,0.60632205,0.9306516,0.90206504,1.0592324,0.9430223,0.76524544,0.8906089,1.0491817,0.95874846,1.1019306,1.1575618,0.99660975,1.1907423,1.19268
couch,0.64092994,1.1829991,1.4441249,0.60818136,1.2619047,1.0691851,1.1813848,0.8601986,0.47420657,0.8962389,0.27967846,1.2608403,0.5158983,0.7253581,0.99509144,0.43314582,1.0155872,1.0765997,1.3658423,1.17507,0.7232178,1.0954349,1.0739222,1.2545419,1.3226737,1.010047,1.1570517,1.197127,0.72255766,0.5620951,1.3378286,0.6354927,0.6050264,0.49674582,1.0890144,1.2180245,0.0,1.1547418,1.4363537,0.5109036,1.3958479,0.8187775,1.0229955,0.65251744,0.5548018,0.7554928,1.2059035,1.3779705,0.71419597,1.3637034,0.86141384,1.2630718,1.3471966,1.3182535,1.0007391,1.2743124,1.1358676,0.860821,1.353349,0.9124174,0.9947129,1.3288502,0.86993223,0.99750435,1.3266068,1.1631697,0.90666413,0.6892252,1.2326522,0.55350506,0.90607953,0.6686634,1.2611917,1.2613366,1.0803794,0.9160135,1.0072284,1.1787498,1.0060754,1.4084222,1.0833437,1.2256824,1.1752709,1.3806169,0.8416807,0.8574542,0.5855578,0.6094579,0.8812263,1.2290403,1.3568954,1.446114,1.2903543,1.1879373,0.8465694,0.90440094,1.0798128,1.325719,1.1530437,1.419863,0.8005404,1.2475917,0.5649112,0.82201254,0.7386817,0.9640078,0.7299242,1.1010504,0.7259995,0.66039133,0.8866925,0.65317714,1.3924809,0.8534806,1.1007681,0.9921316,1.0854844,1.2551184,1.0620121,1.2280446,0.67985,0.6630792,0.5017569,1.4298575,1.2612964,1.4053212,0.9729718,1.0430117,1.2170856,0.88046086,0.9404121,1.1558526,0.72434604,0.73416007,1.4004731,0.72087336,0.831063
cracker,1.0163437,1.2494031,0.6785594,1.1983937,0.9896201,1.0543267,0.44611692,1.0337337,1.2168167,1.0918541,1.2430794,0.87329656,1.0309565,0.96150196,1.0476995,1.1459732,1.1915364,1.0599303,1.0407921,0.96046066,1.0227375,0.519725,1.1322483,1.0592387,1.1597779,1.1529367,0.96443146,0.8124373,0.83589506,1.2886,0.96995795,1.1530079,1.1543235,1.1358706,0.92637247,0.62242246,1.1547418,0.0,0.8821016,1.1512532,0.9973225,0.87009335,1.0542692,1.14386,0.9364015,0.94693583,0.9554956,0.73943764,1.1509342,0.94305575,1.0639002,0.87187564,0.85087705,0.92820776,0.94063604,0.72761786,0.9039749,1.052143,0.9188808,0.9595228,0.9759038,0.7381648,1.0073326,0.92611,1.0479649,1.0720156,1.1352054,1.2058151,1.1165836,1.1672455,0.957661,1.1718102,0.9320106,0.9153141,0.6478242,0.88790804,1.1530669,0.8823869,0.8029538,0.8483187,0.90805674,0.8319224,0.8679787,0.75613,1.180418,1.0822456,1.18246,1.1267211,1.0526074,0.91278523,0.9468997,0.92817044,0.6002085,0.8986268,0.97985196,0.86273795,1.0290018,0.88572025,1.0458846,0.91899174,1.1872065,0.96845394,1.2439694,1.03547,1.1157342,1.1589787,1.1443882,1.0085782,1.1698269,1.1096308,1.1089873,1.138088,0.83506906,1.0059494,1.2065955,1.0672247,0.68207747,0.77131295,1.0974888,1.0444669,1.2317632,1.187321,1.1923628,0.97486395,0.85808754,0.8315293,1.0008225,0.9676296,1.0160505,0.8582494,1.1114897,0.89103794,1.1526353,1.2819421,0.93477654,1.1934049,1.2714453
crayon,1.5427308,0.989509,0.31676245,1.4412435,0.87672675,1.0790687,0.95253396,1.3573328,1.5267632,1.1984072,1.6158595,0.28328598,1.3488147,1.3905389,1.2197615,1.5809904,0.9665786,0.95139295,0.37530792,0.70878637,1.3610213,1.0034487,0.7358385,0.67869806,0.77066433,0.62579954,0.77833855,0.75633657,1.4144965,1.2725521,0.3578983,1.2611576,1.4970951,1.2917677,0.96518534,0.9834533,1.4363537,0.8821016,0.0,1.5326169,0.33671844,1.3998272,1.2213452,1.2102356,1.1989121,1.3565258,0.64666283,0.3873613,1.4038452,0.4032418,1.2720162,0.6290699,0.38798028,0.44591618,1.1381205,0.31672478,1.1571912,1.499145,0.2069236,1.1209813,1.0684452,0.75101376,1.2309594,1.2382156,0.6722193,1.0884534,1.2227783,1.4239976,0.635703,1.4581418,1.0914954,1.2943182,0.4936368,0.5622175,0.8808374,1.3472946,1.2140694,0.7954402,1.1394309,0.2315017,0.6142135,0.43293148,0.8634459,0.34162027,1.019177,1.4148555,1.5525792,1.3590419,1.2187899,1.0604461,0.16614437,0.13356143,0.6493616,1.0331479,0.60589397,1.2845272,0.80672765,0.29428482,1.0575871,0.6757419,1.4450395,0.7237363,1.2997192,1.3515786,1.4154469,1.2010918,1.4340644,1.0479783,1.3840969,1.304573,1.0570446,1.4409811,0.12364566,1.1252514,0.8522302,1.0846624,1.1675851,0.48857135,1.2893208,0.69394755,1.3998861,1.4628726,1.6092871,0.5988958,0.49497622,0.13957393,1.1700294,0.7111974,0.91959965,1.3558412,1.132877,0.91469365,1.2383308,1.2577968,0.17791206,1.236392,1.3029622
crib,0.71100765,1.1412513,1.5035663,0.69578797,1.2258441,1.0381254,1.1526455,0.3794924,0.3955959,1.0372325,0.25861454,1.5256034,0.22781801,0.93007624,0.8530437,0.6339639,0.86068875,0.7729184,1.3455651,1.1396531,0.3489408,1.0421385,0.9601595,1.1285974,1.2208927,1.0344405,1.0345293,1.1974165,0.81481683,0.50848466,1.4249262,0.59114784,0.72775066,0.61041725,0.9558264,1.1360664,0.5109036,1.1512532,1.5326169,0.0,1.4446795,0.8316199,0.8428201,0.62996536,0.5728476,0.957139,1.4149063,1.4502861,0.78319687,1.4368837,0.89999646,1.438116,1.490871,1.2826715,1.1038762,1.416205,0.94907963,0.5140268,1.5494305,1.1424358,0.98012364,1.0596678,0.9745004,1.039877,1.3151007,1.0518527,0.77892244,0.7988112,1.2001798,0.8657558,0.814382,0.4059189,1.2712998,1.2151468,1.061335,1.0574545,0.8258934,1.2710388,1.0351611,1.5329893,1.2506173,1.5188215,1.2889843,1.481628,0.8255145,0.77327645,0.734882,0.93119276,0.6853056,1.0740792,1.430867,1.467702,1.4277128,1.1553867,1.3446261,0.9686699,0.978241,1.41803,1.0744152,1.3735424,0.7321595,1.2108917,0.4947899,0.8859066,0.886186,0.7619458,0.8401334,1.1587192,0.70755994,0.46798658,0.8257586,0.42047316,1.6185629,0.8789499,1.1177825,1.1437633,1.0765699,1.3260064,0.83271694,1.3533589,0.53925407,0.8159672,0.37198156,1.3466012,1.5514495,1.4630414,0.7288978,1.193564,0.8837861,0.46432078,0.8515567,0.8992997,0.8614914,0.6225612,1.5828317,0.669059,0.83080316
cup,1.5865237,0.8307587,0.38682258,1.528743,0.6767964,0.8720404,0.99282956,1.1429632,1.45966,1.2529279,1.6240182,0.5159012,1.3312292,1.5135673,1.1395649,1.6318932,0.8609129,1.0059538,0.12723541,0.37231743,1.1908901,1.0958152,0.75584507,0.26131356,0.70156145,0.4130776,0.69321895,0.80585337,1.4787579,1.0415937,0.27459413,1.0300534,1.4917308,1.0983015,1.1650674,0.92156464,1.3958479,0.9973225,0.33671844,1.4446795,0.0,1.3665822,1.1268587,0.99329954,1.2248411,1.4372456,0.84951836,0.46967393,1.4914781,0.43375266,1.2643497,0.87481797,0.5790498,0.33026445,1.1370422,0.6826398,1.1352925,1.3304461,0.43299854,1.0937022,1.1411791,0.7111569,1.2813549,1.3760862,0.6138697,0.99663943,1.2959211,1.4626408,0.39110935,1.6025224,1.4064455,1.2246244,0.39968187,0.8399636,0.98505765,1.3608558,1.0331867,1.0451041,1.2419001,0.31036997,0.59878266,0.741918,1.0122468,0.41018426,0.92531765,1.3925557,1.6234083,1.4856279,1.2702215,0.8881068,0.44718647,0.38443273,0.7812688,0.97294325,0.630898,1.3183775,0.75671846,0.2888171,0.93262184,0.61814,1.34206,0.5378528,1.1198014,1.3064437,1.4985015,1.3561502,1.4857705,1.1136551,1.2880075,1.3464502,0.84424543,1.4430373,0.29448164,1.2779963,0.45420122,1.0315529,1.0762324,0.8270759,1.0126026,0.87140465,1.1971027,1.5008805,1.4999301,0.34111416,0.71955615,0.4071151,1.4049726,0.628762,0.73058724,1.1674322,1.1202085,0.85201454,1.1383923,1.2082479,0.3301276,1.1849854,1.3598936
dog,0.37737882,1.1102263,1.2227702,0.8415718,1.0650578,1.0025461,0.93541944,0.94314075,0.86712396,0.8683169,0.7633856,1.3402436,1.0041701,0.8218447,0.6301437,0.68043137,1.0117967,0.93235266,1.2986374,1.2125623,0.9657226,0.8170291,1.2587291,1.2955753,1.0120374,1.3721874,1.1363821,1.0799736,0.28173786,1.0668436,1.3513484,1.0173125,0.85100996,0.9091779,1.1171552,0.99073553,0.8187775,0.87009335,1.3998272,0.8316199,1.3665822,0.0,0.6217984,1.1247113,1.0537423,0.85323644,1.2264735,1.277139,0.9036759,1.0589503,0.8715298,1.274158,1.0780145,1.1460028,0.98932064,1.3081918,0.4574377,0.80851305,1.378737,0.89135367,1.1093804,1.0360897,0.88472974,0.97957486,1.1287719,0.7069101,0.90940124,0.91408265,1.2972031,0.8870554,1.090414,1.0122095,1.296933,1.1872033,0.94815904,0.77342725,0.93776345,1.1380202,0.6924257,1.3024155,1.2892503,1.3225073,1.1272104,1.2416707,1.1597229,0.50742996,0.8501797,0.9918072,0.9424739,0.9538164,1.3477256,1.3701317,1.1643388,0.84499663,1.1533668,0.87903917,1.066633,1.3071417,0.57971567,1.1516376,0.8699556,1.1345824,1.0926666,0.62320423,0.95130956,0.95879644,0.9947897,1.0036935,0.9089846,0.9877569,1.1526313,0.8487977,1.3497233,1.0007724,1.1134949,1.0358266,0.8763989,1.1990689,0.92612916,1.1810076,0.9084321,0.89684135,0.7384033,1.1991124,1.2829025,1.4016964,1.0023777,1.2121358,0.9199544,0.8024785,0.97849905,1.1133425,0.95698637,1.0153264,1.3565657,1.0727452,1.0078655
doll,0.8325338,0.974269,1.1231626,0.92773825,1.0376132,1.0270323,0.95524836,0.8693065,1.0955136,1.1246357,0.95788103,1.2774868,1.0562953,1.0300922,0.9367089,0.9602577,0.90155184,0.7007779,1.0612271,1.0694339,0.8753885,1.0347325,1.1385057,1.0971222,0.8518911,1.1720023,0.8717156,1.0347581,0.9302118,0.954262,1.1452849,0.9456852,0.99984497,1.1086483,1.1060855,1.007431,1.0229955,1.0542692,1.2213452,0.8428201,1.1268587,0.6217984,0.0,1.0516618,1.1254715,0.99310815,1.0734248,1.1773696,1.1362796,1.101463,0.86047256,1.1496105,1.084147,1.0097451,1.0283518,1.1919209,0.5432215,0.9133437,1.188873,0.97614574,1.0726979,0.92134327,0.84275013,0.9993629,0.81952894,0.59612966,0.98492026,0.9804065,1.0526261,1.1248785,1.1863394,0.8808424,1.0975299,1.182344,0.9908993,1.0066338,0.7937269,1.1082672,0.9271415,1.1676342,1.1465516,1.1666425,1.0130883,1.1593908,1.1790292,0.85372084,0.9665419,1.1591997,0.9053096,0.9060813,1.246525,1.1900823,1.1040279,0.94430035,1.2169313,0.9328017,0.93075484,1.207491,0.69512343,1.0348182,0.902969,0.91609216,1.1429178,0.7545951,1.0610791,0.9636266,1.0709158,0.9737877,1.0849512,1.1446675,1.1813897,0.80310696,1.2104065,1.1255215,1.0738312,1.0470951,1.0219923,1.1611322,0.9225502,1.1078253,0.7416439,0.992292,0.9282422,1.0114146,1.2084825,1.2411234,1.0634995,1.0836831,0.5880028,0.7570264,0.94925433,0.8728907,0.9290956,1.006955,1.1766047,1.0609899,1.0567594
door,1.1708906,1.0557185,1.247421,1.054189,1.0896599,0.9813628,1.1844382,0.97426814,0.76594275,1.1308591,0.78095406,1.0952182,0.6069852,1.2412577,1.1919533,1.0691321,0.91217726,1.0954292,0.97972107,1.0718869,0.7669194,1.1273065,0.57281685,0.997186,1.114223,0.5576618,0.9307877,1.0389277,1.0282327,0.5820622,0.91850156,0.10941541,0.9803236,0.7094853,1.0305344,1.0489681,0.65251744,1.14386,1.2102356,0.62996536,0.99329954,1.1247113,1.0516618,0.0,0.506403,1.079974,1.2736094,1.0713903,1.1584117,1.1415471,1.0282161,1.1647586,1.3579099,0.98037404,0.9099934,1.1782895,1.2912711,0.96158093,1.1411021,1.0906476,0.8999694,1.2061967,1.0333114,1.1478896,1.0890114,1.0146146,0.9598105,1.0607202,0.84028167,1.1214733,1.0052338,0.5550302,0.7541203,1.1143883,1.1306987,1.1896973,1.0983049,1.204461,1.066694,1.1988032,0.8206477,1.2085536,1.1520473,1.1934859,0.58911866,1.1515745,1.0814635,1.0102181,1.0207063,1.0901749,1.1154679,1.17705,1.2702906,1.0779703,0.93278354,1.0216694,0.779344,1.1242989,1.1151536,1.2412863,1.0277123,0.9874815,0.29552388,1.0420431,1.0680747,1.1779449,1.0571667,1.1317488,1.0264772,0.67300504,0.75319374,0.977154,1.1873822,0.916457,0.820509,0.9880821,1.0453742,1.3280249,0.98968923,1.1155368,0.81419134,1.0640547,0.8694296,1.117913,1.2046871,1.0638293,1.103088,0.8111656,1.1437379,0.93746495,0.822054,1.0118854,0.78372777,0.7098332,1.1960697,0.4771371,1.1368265
drawer,0.9648642,1.1692398,1.3363507,0.87546813,1.2391754,1.1184049,1.1156867,0.8451947,0.5262292,1.1791496,0.64123833,1.0318794,0.3760426,0.89990973,1.2235732,0.8798679,0.9741203,0.96738553,1.3009735,0.99076915,0.54660624,0.92317307,0.87233114,1.0620755,1.2376639,0.7505309,1.0364714,1.1677381,0.98761904,0.5728986,1.1999139,0.5857712,0.92810917,0.52403414,0.8132324,1.084897,0.5548018,0.9364015,1.1989121,0.5728476,1.2248411,1.0537423,1.1254715,0.506403,0.0,0.8608422,1.1482391,1.1799016,1.0147492,1.2541151,1.0753978,1.1036053,1.2950392,1.2941242,1.0183904,0.985926,1.2358936,0.9688382,1.2123425,0.9225961,0.998753,1.179911,1.0375025,0.9357686,1.2755215,1.2051167,0.90812004,1.0121182,1.1430157,0.8384131,0.7151172,0.6176274,1.1102332,1.0052593,0.9142456,0.9727762,1.1893618,1.0805886,0.97524583,1.3204964,0.94094974,1.1066016,1.141709,1.2576731,0.5394849,1.0969683,0.858503,0.8353621,0.8309234,1.1587774,1.1347679,1.2273655,1.0837367,1.1208457,0.94766235,0.86954695,1.0564779,1.1484654,1.2271249,1.3059704,0.83142745,1.1110147,0.45443964,0.93570626,0.9621502,1.0444298,1.0130655,1.010886,0.9179121,0.76052284,0.6873677,0.94789964,1.193024,0.793062,1.1296427,0.98084486,0.91896003,1.101165,1.0273292,1.1475325,0.82760525,0.9792283,0.6589142,1.2759767,1.1053671,1.1204185,0.89023954,0.98836374,1.3027349,0.8230563,1.0078201,1.1600554,0.72428787,0.7493646,1.2726203,0.83937687,1.0925896
dress,0.66047573,1.2252606,1.3352723,0.5805602,1.2703803,1.1811924,0.9972556,1.0837128,0.78072053,0.832296,0.7197919,1.1344187,0.9211368,0.3649518,1.0212892,0.5952416,1.2556181,1.1890897,1.4000378,1.2884758,1.0062405,0.81002957,1.2698517,1.3346691,1.2653844,1.2279097,1.1579955,1.2564917,0.6381722,1.0322627,1.3648942,1.1320609,0.47684622,0.8915073,0.96060896,1.1626778,0.7554928,0.94693583,1.3565258,0.957139,1.4372456,0.85323644,0.99310815,1.079974,0.8608422,0.0,0.9532775,1.3173659,0.6005855,1.2599475,0.88749385,1.0663469,1.20756,1.3556601,0.9967371,1.1249956,1.1281557,0.8890862,1.2437773,0.8934977,0.8573539,1.3313606,0.8098824,0.7236235,1.3113515,1.2127849,1.0037465,0.53995943,1.2633619,0.42813897,0.79942936,0.99730885,1.4178383,1.1426641,0.95340633,0.74833643,1.0717326,1.0308608,0.7500324,1.3151388,1.1795129,1.0390948,0.9846751,1.3067334,1.075093,0.8017198,0.3773558,0.41231287,0.9802845,1.1935186,1.3292733,1.3375893,0.9819793,1.165924,1.0557705,0.49383003,1.2264696,1.3563516,1.1854186,1.1282645,0.8592289,1.2191263,0.93786156,0.7966606,0.4154148,1.0429105,0.51381373,1.0600644,0.80403996,0.8670896,1.1409457,0.8789679,1.2919685,0.857025,1.2906852,1.0217873,0.84931374,1.0233109,1.078758,1.214434,0.94738436,0.47320616,0.79319793,1.4501843,1.1143036,1.365725,0.91586363,1.1750582,1.3948683,1.1085037,1.175715,1.1563196,0.7957207,1.0515785,1.297848,1.0054953,0.7849432
ear,1.2610214,1.0531406,0.7595315,1.1948029,1.038334,1.1238974,0.94378436,1.2641181,1.4037504,0.9988725,1.3374316,0.73983103,1.2996604,0.89296246,1.2818406,1.2653813,1.1230716,1.1012206,0.9042259,0.93299985,1.2668073,0.98318166,1.0765597,0.90674484,1.0210136,0.9561071,0.9038514,0.88743496,1.2148292,1.1719246,0.86266327,1.2969939,1.1145191,1.2388959,1.0187106,0.9674508,1.2059035,0.9554956,0.64666283,1.4149063,0.84951836,1.2264735,1.0734248,1.2736094,1.1482391,0.9532775,0.0,0.8294612,1.108196,0.7916175,1.0433483,0.43410087,0.75832075,1.0015552,1.0160956,0.60028404,1.1729965,1.3609993,0.5962861,0.91353256,1.0766754,0.9092843,0.92915505,0.7514483,0.79180455,1.0897746,1.2611507,1.0814971,0.92910916,1.0540848,1.1078582,1.2058018,0.9928948,0.83886015,0.94571775,0.9607126,1.1537987,0.6086103,1.0179367,0.653179,0.91269684,0.33669287,0.588979,0.69401765,1.1650232,1.1692235,1.1053733,0.9457964,1.1465622,1.002195,0.8776987,0.7399789,0.57658285,1.0123776,0.8409413,0.8750587,0.993646,0.89764345,1.0742098,0.77136254,1.2003887,0.9081435,1.3005064,1.081965,0.9790745,1.2579224,1.0521058,0.9720035,1.2330352,1.3161812,1.2600825,1.2986357,0.60262793,1.1248155,1.0771102,0.9868066,1.0719429,0.6081474,1.2697469,0.7483871,1.1782036,1.0377338,1.3839465,0.953236,0.37732816,0.71096873,1.1131343,0.98812777,1.0945253,1.374607,1.2554361,1.0144922,1.0502495,1.2713643,0.5662171,1.2896175,1.1195328
egg,1.4897223,1.0288832,0.35874176,1.4726827,0.65957737,0.8146712,0.9477033,1.3064742,1.4599996,1.070045,1.5319712,0.51675516,1.307946,1.3492495,1.0770175,1.4523723,1.0145518,1.0053254,0.5531403,0.7760091,1.293634,0.89741814,0.8876952,0.7314936,0.9666014,0.78776217,0.8027562,0.69984305,1.2283444,1.2882107,0.43595648,1.1349142,1.4286118,1.2574698,1.0551066,0.7710674,1.3779705,0.73943764,0.3873613,1.4502861,0.46967393,1.277139,1.1773696,1.0713903,1.1799016,1.3173659,0.8294612,0.0,1.3872824,0.45790803,1.1932911,0.7165153,0.5156213,0.6003859,1.076919,0.56462175,1.1227949,1.3005245,0.4802609,1.1258948,1.0279568,0.6266735,1.166804,1.2048637,0.75136864,0.99223787,1.3069715,1.3476753,0.7966039,1.4400201,1.1932229,1.3041854,0.5165305,0.64377576,0.90605706,1.2528514,1.2416034,0.9335876,1.1244568,0.32985884,0.69428396,0.6434062,0.8079344,0.3817948,1.0100403,1.302604,1.4791839,1.3595905,1.1824248,1.0145999,0.4843822,0.46695083,0.7210164,1.057091,0.64219487,1.2842627,0.9472931,0.43002278,1.0054789,0.7110321,1.4680462,0.8313423,1.2635584,1.3315239,1.35424,1.3515311,1.2946053,1.0614945,1.3769656,1.2753321,1.0390139,1.4103882,0.3803774,1.0701687,0.8551498,1.0486242,0.93443316,0.6927756,1.1539344,0.684818,1.34742,1.3718776,1.5103387,0.54950154,0.52788216,0.34662277,1.2133287,0.76168585,0.90519166,1.1919663,1.0550187,0.8099011,1.1716049,1.432687,0.49134588,1.1062754,1.2398595
elephant,0.5555629,1.0690045,1.393773,0.42216456,1.325965,1.2213537,1.1251322,0.90747803,0.5849631,0.5918758,0.48181176,1.2567497,0.8713201,0.4685129,0.8400482,0.37750947,1.1822375,1.0485765,1.3980004,1.3500259,0.9605088,1.0168136,1.1821998,1.4027812,1.2173698,1.303819,1.3921574,1.266983,0.563022,0.9770543,1.4144177,1.1904427,0.4913584,0.8816093,0.9291763,1.2318745,0.71419597,1.1509342,1.4038452,0.78319687,1.4914781,0.9036759,1.1362796,1.1584117,1.0147492,0.6005855,1.108196,1.3872824,0.0,1.3964931,0.87275934,1.1900086,1.2581646,1.3141181,0.96473974,1.2369049,1.0674322,0.74457896,1.3205621,0.9809015,0.791707,1.3249438,0.9464985,0.87495035,1.4137411,1.173666,0.9380171,0.48640585,1.2786416,0.41341984,0.7472233,1.0304192,1.3751934,1.2055697,1.1532879,0.80024254,1.0007162,1.0744107,0.9269347,1.3586018,1.1556675,1.1826379,1.1278653,1.3705686,1.084082,0.69080955,0.38647008,0.46977288,0.84306073,1.2165939,1.2882779,1.2999066,1.1922182,1.1688341,1.1890876,0.94695246,1.2872286,1.4131476,1.1416925,1.249219,0.8814833,1.3401753,0.91765165,0.93579364,0.47255552,0.7908338,0.4406488,1.0240946,0.6480166,0.6088489,1.0269971,0.6775622,1.407937,0.6865382,1.2314019,0.9667713,1.0495538,1.10981,1.0168175,1.1660023,0.9378994,0.49272752,0.58350587,1.4339008,1.2491074,1.4023426,0.8136301,1.1295214,1.3574102,1.0104839,1.0212857,1.1466517,1.0768002,0.9805148,1.363033,0.919956,0.34781462
