,alligator,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,cookie,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,duck,egg,elephant,eye,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jeans,knife,ladder,lamp,leg,meat,melon,mitten,mop,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rock,rooster,scarf,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,tricycle,truck,vacuum,watch,window
alligator,0.0,1.1239651,0.8021252,1.2029538,1.3177339,0.89287305,1.162586,0.8963686,0.8852996,1.4134527,0.994281,0.70280945,0.30229068,0.86780334,0.9871206,0.79871,1.2371955,1.1945925,1.0613878,0.5803649,1.4067278,1.3763772,0.65710986,1.4155974,1.1014326,1.2092214,1.0534006,1.3241581,1.2119452,1.1327336,0.97140527,0.9701135,1.0253873,0.99721766,0.9922262,0.9737312,1.3831639,0.9529085,1.2535774,0.56478894,0.77094734,1.169877,1.2224631,0.9296984,0.78735113,1.1117294,0.7840643,1.3034408,0.90427536,1.2784166,1.0139133,1.123921,1.2669401,1.3298976,0.69245636,1.0649823,1.3877103,1.0202495,1.029177,1.0298071,0.9415839,0.8979096,0.97542983,1.2309521,0.7017088,0.81598544,0.9332317,0.9624309,0.9642063,1.2485751,1.2679803,0.9789291,0.71164125,1.079168,0.8782402,1.0947417,1.0408334,1.0008774,0.7779795,1.3246522,1.3788364,1.3807592,1.1319988,1.0433338,1.1299052,0.30861437,0.8287777,1.0531518,0.69950354,1.3679023,1.3128144,1.1331029,1.0690719,0.87645835,1.3524624,0.8950181,0.87898934,1.316098,0.7399453,0.86722314,1.0093486,1.2039795,1.1677035,0.6492206,0.2797897,0.9896507,0.8412014,0.95560956,1.0239317,1.1511482,1.0882357,1.1543638,0.8384093,1.4296634,1.0499399,1.2538025,1.0640068,1.138727,1.1375396,0.8804073,1.0382777,1.0492823,0.95522213,0.8045734,1.1741586,1.3274837,1.1755925,0.8834976,1.317061,0.9364079,1.0701442,1.0289885,1.0046856,1.0458827,0.99548227,1.4186716,1.0776883
apple,1.1239651,0.0,1.3445946,0.34353065,0.6154964,0.9962125,1.04349,1.3613697,1.4224217,0.8753968,1.416237,1.3096607,0.79164165,1.4193276,1.0539546,1.0194261,0.8018956,0.7508254,1.094659,1.238865,0.891879,0.8386228,0.7627641,0.9286911,0.8287035,0.81352973,1.2358338,1.1880598,0.6752116,1.0771549,1.304748,1.176448,1.3004858,0.8385952,1.4049022,0.9061402,0.7414712,1.3389046,0.77687883,0.8839567,0.8141612,1.1747209,1.065217,1.1967824,0.7134573,0.36227155,1.1414667,0.8615731,1.1194613,0.91572964,0.74652416,0.74602157,0.9822238,0.9754409,0.74718684,1.1969519,0.8041966,1.1668738,1.0733842,0.878088,1.1438092,0.9947557,1.191336,0.76938653,0.8032753,1.221652,1.3098445,1.4264561,1.2594892,1.121807,0.7632177,1.3625946,1.3104221,0.808412,1.2524854,0.8713627,1.2198684,1.0185738,1.3258867,0.6933788,0.8970038,0.82132393,1.0213503,0.21720856,1.1837177,1.0314653,1.4047065,1.3575407,1.254633,0.87482977,0.92339677,0.7251811,1.074573,0.801564,1.0574543,1.0950866,0.9333741,0.68468577,0.8265176,1.0218651,1.2791214,0.91032594,1.2526112,1.2491164,0.91989267,1.284891,1.158706,1.3378248,1.054524,1.2996242,1.1231805,1.2413594,1.1051629,0.8061801,1.1539912,0.8042575,1.1624124,0.9903958,0.87815773,0.96201754,0.28331423,1.1005763,1.3334801,1.3393242,0.62286806,0.83423126,0.8192682,1.3126273,0.98719984,0.73893595,1.1048067,0.96980834,0.8531146,0.83835083,1.1790547,0.8618699,0.95931876
arm,0.8021252,1.3445946,0.0,1.412082,1.3396341,1.0778782,1.2411436,0.6417383,0.6748606,1.3050504,0.630449,0.61191,1.2235109,0.6105492,1.0050437,1.0711007,1.3993852,1.3578007,1.0832429,0.59199893,1.259067,1.3897338,1.2578179,1.2937789,1.3572736,1.226499,0.8530765,1.0916153,1.4123824,1.0896591,0.6665709,0.93723094,0.75210977,1.1017365,0.7731615,0.96100736,1.3773841,0.820072,1.39645,1.2575617,1.242778,0.99151623,0.99913377,0.8499958,1.2382619,1.324318,0.8997456,1.063268,0.8414831,0.8465651,1.3299109,1.3782612,0.900801,1.1729509,1.3461545,0.92870986,1.3610761,0.7523698,0.95415306,1.1424441,0.829167,0.92861533,0.49841762,1.3476168,1.2284518,0.8038359,0.66743195,0.5131087,0.64846593,1.088154,1.3694806,0.47524476,0.5888412,1.3222874,0.5271558,1.2317843,0.8989061,0.89730406,0.600946,1.2608426,1.3451276,1.2201875,0.8614342,1.3200679,0.963321,0.83000267,0.46379983,0.54321146,0.7101583,1.2868917,1.1258667,1.083806,1.0504252,1.1839025,1.1465786,1.0429999,1.101826,1.4759953,1.2778802,0.86068183,0.81078315,1.3410124,0.9016609,0.5307151,1.1483169,0.7192116,0.77848643,0.4929086,1.0572681,0.54395384,0.8394997,0.91486704,0.9480846,1.3703241,0.8810806,1.2678456,0.75273806,0.9711622,1.0608325,0.9787023,1.2349687,1.0373935,0.6851643,0.7049477,1.3230022,0.9713303,1.3284043,0.6479733,1.2401732,1.3749557,1.059721,1.0257981,1.2601471,1.352021,0.86370677,1.2846532,1.0679362
ball,1.2029538,0.34353065,1.412082,0.0,0.35224116,0.93202436,1.0713049,1.5083579,1.4538736,0.63168585,1.5347929,1.3088195,0.9083309,1.4529924,1.0093473,1.0885308,0.41214883,0.72788626,1.2096022,1.2491035,0.651947,0.6833499,0.904553,0.79756975,0.8350554,0.5852322,1.1289093,1.1941907,0.54704416,1.0787387,1.2611549,1.3004612,1.2643632,0.8927193,1.437958,0.97847426,0.45048213,1.458972,0.44709837,1.0348544,0.9424343,1.2073729,1.0945358,1.1617185,0.8923167,0.45190883,1.1490211,0.8196467,1.1664137,0.8520303,0.5451036,0.3735528,0.9595177,0.83513916,0.8011247,1.1376054,0.44245934,1.2360791,1.0001037,0.8345299,1.1859292,1.0328794,1.2860799,0.57920325,0.9822531,1.3211253,1.3325096,1.464159,1.3475617,1.20412,0.61295056,1.3619468,1.3014166,0.68066067,1.3347619,0.89049006,1.3185759,1.1137215,1.2803873,0.30855,0.68586665,0.6358599,1.0796139,0.43160224,1.2567791,1.0964622,1.4469051,1.3933755,1.3599826,0.53302044,0.7924795,0.8944056,0.99317205,1.0001684,0.87236303,1.087107,0.9525925,0.48260522,0.91827023,1.014669,1.3736898,0.7609527,1.325424,1.2493385,1.0272434,1.346035,1.3005135,1.3999091,1.145377,1.305085,1.0912505,1.2598307,1.1554874,0.46614474,1.109889,0.43956876,1.2577128,0.9456428,1.0063996,1.1051763,0.64802194,1.3057379,1.3543172,1.4244516,0.6698397,0.6855842,0.743636,1.384726,0.85349405,0.7452526,1.2374501,1.0908586,0.9161879,0.74398386,1.2459676,0.44849426,0.9846469
balloon,1.3177339,0.6154964,1.3396341,0.35224116,0.0,1.0166674,1.0496343,1.4071665,1.3923976,0.42328864,1.3870187,1.3084059,1.0547408,1.295768,0.97897685,1.1686218,0.5609342,0.7743138,1.2186798,1.3879422,0.5719,0.60208523,0.9861048,0.71326464,0.8454336,0.67673945,0.9326933,1.0024348,0.61377025,1.1248951,1.1160961,1.281867,1.261442,1.0048031,1.3147155,1.0042486,0.43849283,1.4210063,0.5657778,1.1385072,1.0704528,1.1491147,0.911337,1.1451604,1.0674672,0.5620837,1.1443081,0.7485846,1.223639,0.8245468,0.27969456,0.60170686,0.89475065,0.58593297,0.8834445,1.0447453,0.46333945,1.2248708,0.84080094,0.888148,1.223031,1.106862,1.2430781,0.6708635,1.0495012,1.3325043,1.2431579,1.3094969,1.2604066,1.1692812,0.63683236,1.220019,1.2977831,0.66977966,1.2933824,1.0640796,1.3017145,1.1021547,1.2451414,0.457385,0.59641516,0.60315025,1.0799043,0.6534359,1.1433998,1.2393674,1.3952854,1.222804,1.3743222,0.44194275,0.6343413,0.9444794,0.88419217,0.9746707,0.5224921,1.0751427,1.0428172,0.30668396,0.97840244,0.99257916,1.3391522,0.7205873,1.1684693,1.291812,1.155341,1.2723846,1.3380754,1.2881109,1.18043,1.1624707,0.9999087,1.0002176,1.1154075,0.4208578,0.9076336,0.5736593,1.2436169,0.8570293,0.98584944,1.3128182,0.8266375,1.2679005,1.2428923,1.41955,0.88108003,0.6932345,0.5523535,1.3605984,0.72080564,0.9736914,1.0288013,1.035916,1.0707251,0.7666892,1.362419,0.465176,0.93186563
banana,0.89287305,0.9962125,1.0778782,0.93202436,1.0166674,0.0,1.0186062,1.078369,1.0967056,1.0817089,0.96396065,0.8168934,0.962561,0.93200195,0.9146689,0.98235375,1.1363758,1.0003421,1.1137677,0.89332545,1.2154286,1.0621351,1.0940511,1.2898672,0.94604653,0.855429,1.145873,1.1370764,1.203233,1.1472632,1.1441633,1.1448505,0.94053763,0.87131053,1.0980219,0.7906511,1.0481603,1.0955726,1.1630814,1.0156789,0.9028245,1.2020851,1.151032,0.8966257,0.9551272,0.8666904,1.0552448,1.105905,1.0201437,1.068398,0.9626133,1.1601578,1.138109,1.1146567,0.32591844,1.0436478,1.1399956,0.75576806,1.1317834,0.62058955,1.0589334,0.901565,0.8439022,1.0487819,1.1627927,0.80116457,1.071878,0.9450262,0.9785698,1.2385776,1.2938751,0.9231871,0.99645424,0.32552743,0.56038326,1.2004391,0.6615517,1.0235082,0.95837975,1.1963397,1.2144283,1.1143391,1.0397565,1.0284652,1.2224131,0.88524723,1.0197095,1.0337117,0.96977025,1.1599677,1.0881461,1.0403116,0.43667567,1.0212953,1.1724849,0.70607805,1.0003555,1.0013294,1.0658654,0.769493,0.81874776,1.2269298,1.2451798,0.9810811,1.0540454,1.058385,0.776463,1.1116744,0.7484474,1.0224482,1.2062371,1.1097502,0.7541975,1.0317085,1.1341454,1.1335571,0.8660389,1.076392,0.86188,1.0001144,1.0631516,0.99895495,1.1142285,0.9662774,0.99733186,1.1125188,0.8165482,0.8037698,1.1231207,0.7024563,0.947632,1.0493308,0.98716,1.0576645,1.1357157,1.0858142,1.2844793
basket,1.162586,1.04349,1.2411436,1.0713049,1.0496343,1.0186062,0.0,0.6831384,0.8889143,1.0652516,0.8212902,1.0902541,1.087478,1.014219,0.73040986,0.8270687,0.80922186,0.32363987,0.56281966,1.0362251,0.97309256,0.4288262,1.0333065,0.6542689,0.77594286,1.1440315,1.2999241,0.5103334,0.81781197,0.7532438,1.2147272,0.685953,0.99127734,0.9443097,0.8545066,1.0516536,1.0243336,0.6443972,0.84603226,1.0819176,0.9618227,0.8055786,0.87135965,1.1594007,1.0339421,1.0827662,1.1097344,1.2263398,1.286362,1.2919728,1.1864805,0.9504125,1.3264928,0.8895189,1.0558503,0.8302046,1.1719863,0.94846386,1.2502934,0.79666704,1.2476757,0.99810266,1.1986235,1.1093411,1.0810477,0.83798665,1.1481299,1.1908607,1.0416769,0.57884246,0.8338876,1.1213897,1.1393462,1.0272957,1.0627165,0.7313111,0.9689401,1.158354,1.2253786,1.2147024,0.84757125,1.2072676,1.3132051,1.0134356,0.67484653,1.2162838,1.0925553,1.2192893,1.0160537,1.1003289,1.1099308,1.0549365,1.0163478,0.97944444,0.8811931,1.1002194,0.8966,0.8014443,1.0669656,1.151132,0.77245,0.57418376,0.7983457,1.1678241,1.0511836,1.1868246,0.9678915,1.2483379,0.9565042,1.1669016,1.095577,0.68881595,0.8714749,1.0092981,1.2147206,1.0976776,0.94039255,0.9292729,0.87491906,0.801157,1.0419363,0.6197588,1.2258784,0.7512835,0.72534555,1.3046403,1.2119045,0.9313326,0.81351733,0.6821393,0.49567938,1.0157374,0.7514646,0.85488135,0.8202409,1.0833371,0.9041512
bathtub,0.8963686,1.3613697,0.6417383,1.5083579,1.4071665,1.078369,0.6831384,0.0,0.2561686,1.4654192,0.28592193,0.7224282,1.2512839,0.44754136,1.0150731,0.918025,1.3906226,0.9290048,0.80161905,0.6590926,1.4020187,1.1469479,1.23403,1.1791463,1.274797,1.3436973,0.89035356,0.7376169,1.401484,0.8175026,0.8842071,0.39660722,0.7139459,1.1067958,0.41747642,1.1417879,1.56008,0.288692,1.2472411,1.2043543,1.209736,0.74583286,0.8079709,0.866638,1.1561322,1.3445264,0.7930361,1.312888,0.9559842,1.39835,1.4667015,1.4012554,1.2960737,1.2840858,1.2765105,0.6205905,1.586484,1.0371532,0.9425665,1.1855701,0.98543847,0.9095024,0.96339697,1.5634637,1.2370908,0.5857732,0.6023767,0.5993544,0.6816137,0.78176975,1.2976015,0.7482926,0.6417434,1.2868263,0.71868604,1.0663286,0.88654137,1.0560505,0.7300661,1.5017005,1.3758736,1.559445,1.1546909,1.3044533,0.71359986,0.90982,0.49633056,0.70697975,0.59858096,1.4281621,1.3275131,1.3739556,1.0919926,1.2634364,1.216971,0.9513214,1.0634525,1.406533,1.2438734,0.94285154,0.7245077,1.2411253,0.6375209,0.63253725,1.136224,0.92334795,0.66298914,0.6816504,1.1163231,0.83272505,0.8009627,0.38476074,0.6974963,1.554925,0.83152056,1.3250157,1.0203212,0.9568386,1.0109206,0.76666725,1.275733,0.7435994,0.72449374,0.2671448,1.1331778,1.4805332,1.4399278,0.63301826,1.2355343,1.1582246,0.62728024,1.0283931,1.1537154,1.3041116,0.68783754,1.5564749,0.8983727
bed,0.8852996,1.4224217,0.6748606,1.4538736,1.3923976,1.0967056,0.8889143,0.2561686,0.0,1.4568112,0.3286193,0.6843813,1.247488,0.34739643,1.0598203,0.8450135,1.3649217,1.2375946,0.92107236,0.6818976,1.3624759,1.3806846,1.2149761,1.2923508,1.2467027,1.3568859,0.7682679,0.76587605,1.3721092,0.7285332,0.79029053,0.4970503,0.7070564,1.2191954,0.29482484,1.2388097,1.5825572,0.19508183,1.3073552,1.1811398,1.1395895,0.70953953,0.9116931,0.7317823,1.1593927,1.4118421,0.6977527,1.2823966,0.78049827,1.3992796,1.452335,1.2992561,1.2687099,1.3150327,1.2410775,0.66965127,1.5147214,1.0793883,0.8571761,1.2943513,0.82484317,0.9771279,1.0395646,1.4566143,1.207679,0.5657076,0.47432578,0.48606902,0.863441,0.7858386,1.2712586,0.7152746,0.582608,1.28179,0.8278109,1.1406597,0.88785875,1.0693872,0.6777406,1.4471428,1.3723655,1.5462729,1.1356579,1.364485,0.81976104,0.8912464,0.33872652,0.61705995,0.587646,1.4344844,1.4021995,1.4561183,1.059464,1.3146193,1.1419251,1.0031663,1.0215054,1.5140773,1.22871,0.9241136,0.7917228,1.2508819,0.68158126,0.6727711,1.145327,0.85428846,0.76861334,0.5809516,1.0982724,0.8337395,0.8813859,0.654611,0.5827099,1.5485919,0.7595849,1.3289804,1.0569397,1.1196615,1.2796304,0.9231721,1.3519001,0.7589753,0.557005,0.2582702,1.2870309,1.451795,1.4736295,0.7967688,1.2551352,1.1380806,0.8119383,1.0195595,1.132485,1.2546091,0.7338338,1.5021403,0.7790982
belt,1.4134527,0.8753968,1.3050504,0.63168585,0.42328864,1.0817089,1.0652516,1.4654192,1.4568112,0.0,1.336913,1.3814558,1.1498178,1.314199,0.9197806,1.1789397,0.637302,0.84822595,1.1203265,1.430074,0.34165168,0.59269375,1.0176471,0.56017673,0.82197464,0.6674968,0.8570101,0.8771453,0.60029674,1.0981842,1.0774972,1.3086345,1.1671308,0.98405737,1.3370337,0.9736793,0.26856256,1.4122488,0.5967696,1.1137744,1.0691495,1.116225,0.93801296,1.2726291,1.1327394,0.8840128,1.1246197,0.65035486,1.2680798,0.64340687,0.4825527,0.59774345,0.8083501,0.395925,1.0138733,1.1693671,0.2906974,1.1178865,0.92151976,1.0496799,1.22154,1.2399398,1.1209946,0.5467138,1.0447197,1.3818476,1.2691445,1.2698308,1.1529617,1.021701,0.6202328,1.2651772,1.3900185,0.68336475,1.3738303,0.9720093,1.2006621,1.0622842,1.3117331,0.5359364,0.44569612,0.30787617,1.0475069,0.95018816,1.0520058,1.4122059,1.3920695,1.1651205,1.4186933,0.2564047,0.40855384,0.9361763,0.94859093,0.9159416,0.5015552,0.97601265,1.0286201,0.4037937,0.99230564,1.1592607,1.2022418,0.6617241,1.0651683,1.4048591,1.1395749,1.1666358,1.3520162,1.3034428,0.98506,0.95966744,1.0380251,1.1081208,1.3280163,0.2626177,0.9310786,0.5003011,1.0301071,0.85787535,0.8297498,1.3644657,0.90761673,1.2666501,1.3073736,1.5602376,1.0178969,0.6171973,0.55542433,1.3374383,0.53338695,1.096244,1.145868,0.9391886,1.0242987,0.7104212,1.235419,0.2798468,0.99786156
