,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coffee,comb,cookie,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,ear,egg,elephant,eye,face,finger,firetruck,fish,flower,foot,fork,frog,giraffe,glass,glasses,glove,gum,hair,hamburger,hand,hat,helicopter,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
alligator,0.0,1.2971547,1.191684,0.68698597,1.2149961,1.2052547,0.5791713,0.79414755,0.62398064,0.5304896,1.0230789,0.8641232,0.315812,0.98172605,0.46978045,0.7475146,0.6225796,1.5028834,0.7830749,0.7451545,1.1863385,1.3546003,1.2730162,0.9841012,1.5611026,1.3148041,1.0679859,1.029174,1.0686293,1.4203402,0.710395,1.0226693,0.8577794,0.8238885,0.8286072,0.86388075,1.495704,0.7098902,1.5119822,1.0731466,0.70244265,0.53645694,0.83804834,1.1570905,1.2805724,1.163358,1.2741072,0.9601528,1.2617545,0.88616925,1.3438272,1.0595263,1.3258404,1.3770764,1.0163904,1.2942902,0.6407877,0.57059115,0.6397766,1.5314609,1.131234,0.8941483,0.92558247,0.9744021,0.8047493,1.4578723,0.9643066,0.7599715,0.69584805,0.7316251,0.9208819,0.7159307,1.0778213,1.1953073,1.4946368,0.8449738,0.9684796,0.8739671,1.2076159,0.46865177,1.1909715,1.1272535,0.8535764,1.4700389,1.1705317,1.4804536,1.2524762,1.2775896,1.3128886,1.1107398,0.6500756,0.9223182,0.37906206,1.4370074,1.4359089,1.1045356,1.3331041,0.70632666,1.2112477,0.92324346,0.87751514,1.2348645,0.95427173,1.2143289,1.4509747,0.97134066,0.8083421,1.0198679,0.6549284,0.7897162,0.7768922,1.4477067,0.6171326,0.69444484,0.9355822,0.5422578,1.3686926,0.68262047,1.4227166,0.965522,1.3015761,1.1113981,1.2153015,0.93716735,0.8066112,0.43338645,1.2831006,1.4233767,1.3800678,0.67141956,1.1643564,0.82753104,0.60170394,0.76841164,1.0774645,1.3806151,1.483979,0.9042188
ankle,1.2971547,0.0,0.95682406,0.80662173,0.9923272,1.0107855,1.1809114,1.3092284,1.2533722,1.2903275,0.93727607,1.2185138,1.1213244,1.1253775,1.1164181,1.2751956,1.226764,0.88133705,1.2315005,1.2785093,0.79113954,0.80664146,0.89301646,1.0679946,0.9004606,1.044026,0.78875667,0.99440926,1.0027757,0.869366,1.3595064,1.2054319,1.1008269,1.1206863,1.2148149,1.1536378,0.79689175,1.3898879,0.8876367,0.96490395,1.2610004,1.1147745,1.0380138,1.2018757,0.82055813,0.7334106,0.68344617,0.954172,0.7315831,1.1665114,0.47834802,1.0895061,0.9138912,0.97410685,0.6308968,0.8992096,1.1460159,1.1591904,1.423615,0.7046012,0.4607271,1.0570211,1.0804814,1.0405889,0.8714754,0.60086226,1.0956166,1.1232932,1.17848,0.914906,1.1888344,0.86668587,1.0112653,1.1963325,0.96951073,0.938897,1.176912,1.1184596,0.9860679,0.9461102,0.9639782,0.92613167,0.78976816,0.64473283,0.84968865,0.4255526,0.81554675,0.7803541,0.9685296,1.0628562,0.86798865,0.62038773,1.2943498,0.8731681,0.85139894,0.8144786,0.6259346,1.2081248,1.1159397,1.0803633,1.0415338,1.0671899,1.0658082,0.9939898,0.6566974,1.3242561,1.0651441,0.85346377,1.3818821,0.8819918,0.7766156,0.8429031,1.2755213,1.3385407,1.0717431,1.3461596,0.5935538,1.2206357,0.95948833,0.59846014,0.9882596,0.96210074,0.92098737,1.2997231,0.8956703,1.3871208,0.8336976,0.4725076,0.7485528,1.2658596,0.85274404,1.172304,1.2383199,1.2213523,1.026863,0.9807098,0.7809963,1.3009348
apple,1.191684,0.95682406,0.0,1.2998028,0.4348818,0.4537239,0.8874093,0.97004986,1.0981197,1.3892547,1.0421882,1.3089443,1.2487265,0.90697855,1.3992333,1.059797,1.019092,0.78657156,0.8003392,1.0392069,0.86470646,1.0308778,0.7384212,0.88170636,0.97760737,0.95167494,1.0207294,1.2425022,1.147902,0.7765572,1.3165376,1.07952,1.0444641,0.890146,1.2436984,0.9080504,0.74295765,1.2621236,0.7783251,0.9519098,0.9669587,1.2342024,0.9634071,1.1756891,0.9355801,1.0224721,0.62419045,1.2285895,1.0085406,1.1942006,0.8996589,1.136846,0.70763904,0.782311,1.0570773,0.8987454,0.79205436,1.0817382,1.0372319,0.903892,0.9309476,0.6029346,1.2174779,1.0334611,1.1481009,0.7704856,1.0274849,1.0525991,1.1171796,1.3419039,0.7808255,1.3365705,1.0347761,1.1580083,0.80136013,1.201161,1.0321164,0.5769432,0.82173824,1.1187476,0.9052453,1.0657189,0.8773746,0.79429066,1.0816914,0.9346856,1.0792791,0.60439163,0.94623065,0.6995816,1.3745793,1.2330892,1.2501643,0.91904396,0.92862153,0.6348956,1.0571054,1.0703566,0.8775145,0.70865893,1.0018224,0.5446503,1.0859367,0.79513854,0.9143019,1.2594149,0.9680064,1.0699912,1.2323235,1.3392649,1.0149418,0.87646985,1.2098241,1.3294895,1.0769435,1.2635412,0.80764794,1.1928254,0.76462317,1.0301151,0.98773336,0.7537414,0.60694623,1.1627891,1.3101144,1.2567441,0.66471237,0.8545837,0.92943287,1.2268627,1.0970471,0.68436205,1.0794328,0.96471435,1.0527062,0.95615035,0.77484775,1.3416561
arm,0.68698597,0.80662173,1.2998028,0.0,1.3485043,1.300207,0.8487782,1.0584949,0.9147026,0.61460435,0.97806156,0.73799425,0.7019074,1.2417458,0.53331405,0.91764313,1.0323926,1.373148,1.1150191,1.0059745,1.1458668,1.1087843,1.3108664,1.253686,1.1610951,1.2502244,0.71840036,0.8663336,0.97989935,1.4081013,0.79375815,0.95266616,0.8973222,1.1204953,0.7290481,0.96520567,1.3380007,0.8470826,1.3909664,1.1648053,1.0327963,0.91171837,1.20837,0.9192061,1.1180185,0.96401703,1.1830168,0.83049375,0.9759035,0.88046205,0.84001946,1.0592977,1.4264872,1.3862847,0.67118955,1.2106262,1.2991822,1.0307109,0.8530694,1.3145651,0.7491055,1.1519387,0.8398799,1.0064867,0.50202584,1.3895755,1.0256957,1.0478187,0.7430529,0.54880625,1.0228518,0.43573135,0.9221974,1.0285282,1.3738515,0.6622503,0.9667147,1.0590329,1.2225426,0.4760068,1.3224885,0.94872636,0.956539,1.1860417,0.9727824,1.085343,0.99359876,1.2561618,1.1643028,1.2592912,0.47216356,0.48046303,0.75608593,1.2471277,1.2055806,1.0483692,0.91593355,0.8016644,1.2295115,1.352442,1.1989676,1.3687928,0.95702255,1.2904277,1.2137058,0.8469617,1.1440693,0.94008946,1.0088998,0.5416597,0.7826581,1.3225882,0.805044,0.787833,1.0251899,0.7495029,1.2078332,0.8276352,1.3592892,0.6520552,1.2168229,1.1551287,1.2887481,0.9975264,0.5835873,0.7455022,1.4218919,0.9688004,1.1122664,0.65979946,0.9609523,1.3712558,0.98015153,1.0567733,1.1088675,1.2533839,1.3675877,0.7500287
ball,1.2149961,0.9923272,0.4348818,1.3485043,0.0,0.07835591,1.0081829,1.0842129,1.0862072,1.336276,1.1116788,1.3524041,1.1918924,0.89872813,1.3350528,1.1754248,1.1078476,0.59467804,0.6874992,1.1991405,0.71340793,1.0415436,0.8046199,0.8208965,1.0436343,1.0356983,1.2169472,1.1440345,1.2581942,0.5853356,1.2841134,1.1871796,1.0688947,0.7684306,1.3043952,1.2004745,0.7372813,1.3208385,0.60962737,0.9634286,0.984579,1.1695285,0.96019363,1.1928831,1.0645083,1.1524193,0.45942903,1.1605643,1.0015138,1.1408424,0.97709846,1.0919728,0.61459154,0.5574848,1.1309919,0.99760073,0.7502005,1.0412729,1.1787645,0.8058164,1.0561386,0.7649666,1.2003714,0.9340497,1.2752457,0.6454638,1.0259713,1.10049,1.3036796,1.2887554,0.83880925,1.3632523,1.2308465,1.2438447,0.5850307,1.2482119,0.9507853,0.8768076,0.7607289,1.212552,0.79991,1.070371,0.8018991,0.6357862,1.1081016,0.9534476,1.033257,0.43097055,0.9372815,1.0161319,1.3716788,1.3886931,1.2555594,0.80380327,0.78898233,0.9039576,1.0997827,1.0737494,0.9099443,0.6231672,0.94739497,0.2901097,1.08608,0.84329194,0.83182436,1.276434,1.1006006,1.0032748,1.2330985,1.2877076,1.1223758,0.8627913,1.3878157,1.2780814,1.1339399,1.303985,0.8306139,1.1753606,0.64873415,1.148721,0.99159276,0.73216915,0.672245,1.2110784,1.2852707,1.243019,0.60309315,0.8389729,0.9468411,1.3638257,1.0955138,0.5619885,1.1368364,1.0424433,1.1083378,0.9784675,0.59397006,1.2996111
balloon,1.2052547,1.0107855,0.4537239,1.300207,0.07835591,0.0,1.0453882,1.0670391,1.0551705,1.2519232,1.1577332,1.2225013,1.2350254,0.902378,1.2720258,1.1200465,1.1066047,0.68895227,0.68112457,1.168996,0.8442254,1.0539014,0.77741706,0.8747885,1.0022045,1.0210372,1.2454095,1.13869,1.1646874,0.6675817,1.1960509,1.1462861,1.0490421,0.8103059,1.2042571,1.2856319,0.8017169,1.2567931,0.68332565,1.0092056,0.93173647,1.1323345,1.012614,1.126535,1.0255139,1.1332268,0.55880207,1.1255774,1.0496764,1.1143178,1.0167646,1.0720001,0.7097822,0.6285582,1.0796477,1.0374972,0.8406023,1.0792224,1.0900073,0.9013587,1.0528727,0.80779636,1.1677926,0.9813878,1.2650387,0.70353293,1.0183533,1.1000806,1.2628715,1.2284846,0.81238174,1.2529424,1.1814024,1.19365,0.61258364,1.1272259,0.99707776,0.90276337,0.7349862,1.190608,0.8093617,1.0672576,0.89813125,0.7568951,1.0728908,1.0211042,1.0838392,0.5773939,0.87899905,1.06382,1.3101825,1.292213,1.2286125,0.8701888,0.8604438,0.9133986,1.064551,1.0793717,0.90180665,0.6847539,0.9863524,0.4208063,1.0078696,0.81435114,0.90025234,1.1687193,1.1130822,0.97157604,1.208274,1.2178928,1.0731682,0.9361803,1.3040323,1.2166369,1.0421325,1.2219695,0.86292696,1.1549829,0.7596808,1.1093894,0.96603936,0.8013065,0.72568053,1.1370666,1.2097245,1.1799784,0.634458,0.9097989,1.0321648,1.3195136,1.0702074,0.62238294,1.0993975,1.0364655,1.0907189,0.906036,0.6817662,1.2364674
banana,0.5791713,1.1809114,0.8874093,0.8487782,1.0081829,1.0453882,0.0,0.9229485,0.694546,0.8939172,0.78697145,0.98383677,0.6056924,1.1151379,0.81082845,0.9100096,1.0006309,1.4456916,0.71321964,1.0112777,0.88901746,1.3395472,1.1377094,1.2442923,1.4582567,1.3267443,0.65620404,1.1643853,1.2018769,1.3980074,0.94278747,0.91558045,0.74872017,0.63437295,0.99350667,0.56126535,1.3471926,0.9832963,1.4163424,1.1252538,0.7323085,0.9453102,1.1002953,1.2002201,1.2494473,1.0430987,0.9585331,1.0593084,1.0998367,0.9244611,1.0096009,1.1423249,1.2595506,1.4163246,1.0461437,1.2049074,0.74545896,0.9812923,0.6636854,1.3697617,1.0198177,0.52761316,0.9145503,0.82556516,0.6443363,1.3935213,0.99202824,1.0327262,0.5929483,0.9153908,0.735059,0.7957041,0.9880364,1.2659574,1.4924445,0.9014252,0.8364063,0.42181557,1.1760008,0.5412711,1.2511039,1.0141479,0.76053435,1.282224,1.2493465,1.2093923,1.0815147,0.86753035,1.4050333,0.8744034,0.81640744,0.87433374,0.79466414,1.37239,1.3683083,0.702757,1.3319217,0.6941823,1.2752542,0.8082043,1.1251181,0.8603243,1.1276122,1.2053893,1.2991502,1.1194799,1.0651339,1.1369723,0.8239199,0.9125521,0.8341075,1.3024033,0.73830044,0.942477,0.9236872,0.7157132,1.192195,0.833499,1.132275,1.047166,1.2268869,0.8103748,1.0493997,1.0342509,0.9055232,0.67182064,1.1487793,1.1381047,1.1633468,0.5200555,1.338835,0.81383836,0.7577948,0.9423765,1.1141725,1.4468043,1.413396,1.0546023
basket,0.79414755,1.3092284,0.97004986,1.0584949,1.0842129,1.0670391,0.9229485,0.0,0.39735353,0.70603704,1.2694962,0.65214425,0.71416,1.1394694,0.7781234,0.59786433,0.6298254,1.1579716,0.43470162,0.24997318,1.1605601,1.107286,0.6262032,1.1156065,1.0221474,0.894807,1.2774315,1.167331,0.65241694,1.1903682,0.7319083,0.79826796,0.78625274,0.879203,0.84791034,0.7922518,1.2060434,0.43512702,1.1035651,1.1977408,0.6066785,1.1389961,0.9295576,0.94853103,1.0859658,1.2161555,1.3342917,1.1929905,1.3949184,1.1136655,1.4046395,0.9505746,1.3193868,1.0728546,1.0065871,1.1610768,1.0767874,1.0078323,0.7345788,1.3875289,1.2943141,0.80704427,1.1755332,1.0059209,1.0201391,1.2668085,1.0006802,1.141356,0.8101136,1.0866196,0.58556485,1.0751425,0.9006777,0.7923472,1.1131548,1.0856647,0.95583165,0.8893772,0.8567545,0.9210716,1.1214174,1.1391318,1.019347,1.3962985,0.86752474,1.4129102,1.2717426,1.3591932,0.8831663,1.1241794,0.99611276,1.1971064,0.6497745,1.221684,1.2263619,1.1458453,1.2461116,0.89681226,1.0326756,0.77858937,1.1072601,1.1146861,0.67905945,0.8600721,1.4421049,0.7928667,1.164283,1.0101837,0.7758326,1.1643693,0.88948226,1.2550277,0.98588926,0.7569939,0.8676919,0.4258523,1.1927028,0.93578064,0.9438553,1.0024817,1.2295659,1.2248875,1.1723168,0.63162094,1.158026,0.53907746,0.93398714,1.4555995,1.3675327,0.70960975,0.86927754,0.61881393,0.39733452,0.8775718,1.0118754,0.98956555,1.2513734,0.9310897
bathtub,0.62398064,1.2533722,1.0981197,0.9147026,1.0862072,1.0551705,0.694546,0.39735353,0.0,0.5847283,1.1000564,0.58699965,0.56982917,1.1430581,0.5519576,0.7043321,0.93050176,1.3582326,0.30475718,0.67726266,1.0682722,1.17749,0.8207932,1.2369058,1.2056639,1.133122,1.2289916,1.0422456,0.69756913,1.2564888,0.69410753,0.7092584,0.77468204,0.7948911,0.7227938,0.9064154,1.4372103,0.5942217,1.229081,1.1529498,0.554297,0.9591354,1.0846753,0.93968105,1.1725956,1.1739445,1.2340001,1.0430474,1.3264726,1.0670866,1.4090829,1.0181906,1.4016527,1.2571121,0.9962797,1.2755747,1.0899777,1.0403031,0.739465,1.4574429,1.260625,0.9884992,1.0960485,0.91388386,0.99177456,1.3995345,1.0198888,1.0985862,0.7446468,0.9268888,0.7473474,0.86786693,1.0927224,0.9551246,1.2425706,0.958017,0.8978586,0.9038428,0.94931984,0.72358954,1.2511034,1.1474128,0.87598836,1.4323277,0.84210396,1.4111378,1.2453096,1.2042902,1.0816128,1.2422638,0.8271456,0.9968322,0.68701416,1.3256721,1.3359861,1.0988126,1.1547939,0.7859337,1.1330311,0.69001377,1.139296,1.0857542,0.72687113,1.0056969,1.4547058,0.800508,1.1403059,1.0104997,0.8873399,0.96531916,0.84304374,1.3224056,0.8483598,0.6852364,0.56277305,0.3956269,1.2187355,0.9016082,1.0936711,1.0278981,1.213862,1.1270567,1.2213417,0.76448333,0.9761619,0.4714201,0.9924629,1.4455255,1.3597839,0.73394984,0.8838104,0.85205424,0.50563276,0.9422621,1.1082165,1.16821,1.3717695,0.8514857
bed,0.5304896,1.2903275,1.3892547,0.61460435,1.336276,1.2519232,0.8939172,0.70603704,0.5847283,0.0,1.1403637,0.369478,0.5714249,1.2720969,0.257051,0.6703768,0.77389103,1.4332931,0.85425365,0.6946198,1.3351381,1.1578052,1.2550238,1.305059,1.2583716,1.1285664,1.2318705,0.92476916,0.6898113,1.4701986,0.1953566,0.71465194,1.0151386,1.1086224,0.29210025,1.0703222,1.5338556,0.19455373,1.4426901,1.3073907,0.80120397,0.81600213,1.0881214,0.69573563,1.1956244,1.2100744,1.3806875,0.85670024,1.2474251,0.7342046,1.4133909,0.9920695,1.4837682,1.3491856,1.0078113,1.433895,1.2772506,1.0090488,0.5945837,1.5292277,1.2522542,1.3109982,0.7991743,1.0601275,0.9392267,1.4846735,0.9871389,1.1215272,0.71230924,0.5677474,0.95709246,0.52723914,1.1904083,0.7712494,1.3970617,0.7130661,0.92737305,1.1377976,1.2029428,0.7482196,1.1934371,1.1393287,1.0831269,1.4518456,1.086485,1.5448785,1.2768953,1.4591541,1.129131,1.3476825,0.47860873,0.7576676,0.5376829,1.4133396,1.3990326,1.2666022,1.0756795,0.75718904,1.1246839,1.1771264,1.1937327,1.4284807,0.84667325,1.17005,1.4121703,0.5952724,1.1853248,1.0370164,0.7949953,0.6256648,0.9537437,1.4130356,0.65105075,0.22131371,0.9132955,0.3930198,1.4312944,0.54741406,1.4265776,0.9929909,1.3363497,1.2197171,1.4011803,0.70675135,0.61506724,0.26110077,1.3783224,1.4520884,1.4166515,0.721182,0.98389316,1.1157686,0.65876293,0.81771517,1.1154815,1.1244,1.4550202,0.4453845
