,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coffee,comb,cookie,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,fish,flower,foot,fork,frog,giraffe,glass,glasses,glove,gum,hair,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,meat,melon,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pastry,pen,pencil,penguin,pickle,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rock,rooster,scarf,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window,zebra
alligator,0.0,1.1407133,1.391027,1.110959,0.7034628,1.2623672,1.2786357,0.93081796,0.9412277,0.8420839,0.6066466,0.6938058,1.3250197,0.9047998,0.43476146,0.5385361,0.6252437,0.86654055,0.6029035,1.5063149,1.4641771,0.87040114,0.79047513,1.0120032,1.4821362,0.84325653,1.5021775,1.289084,1.1138167,0.9159928,1.1827902,1.3849273,0.8843939,0.9948296,1.0126201,0.8148824,0.8195374,0.97256297,1.447062,0.95089453,1.5005171,0.38410312,0.73139596,1.0979873,1.2400146,0.89901114,1.3416699,1.3096151,0.78526783,1.2235614,1.0337497,1.2919136,0.9191227,1.328117,0.99900526,1.3503408,0.65444875,0.66739136,1.0569055,1.4156457,1.0945407,0.996326,1.0108297,0.8053145,1.4013003,0.5016936,0.75934637,0.85028696,1.3275756,0.90404713,1.0573753,0.9749626,1.4037466,0.8865737,0.84608555,0.73602045,0.9187667,1.1408578,0.846403,1.4540317,1.1627733,1.4513824,1.1026825,1.1316407,1.0165787,0.9412088,0.7253151,0.8257328,0.458552,0.9066229,1.347619,1.3177726,0.7407508,0.934887,1.1902517,0.92498845,1.2583197,1.2099628,0.665034,1.2997173,1.1449072,1.2448992,1.3266221,1.0047485,0.796533,0.9073605,0.7094631,0.9038304,0.88840264,0.7955379,0.80328727,1.0520024,0.8610189,1.4342272,0.7809118,1.2933853,1.141232,1.3467748,1.1106856,1.1709067,1.0809528,0.9687213,0.9003249,0.73327917,1.4283464,1.4954221,1.3196354,0.72105265,1.1847385,0.93711036,0.7907433,1.3896267,1.4280028,0.91631365,0.741161
ankle,1.1407133,0.0,0.95123726,0.8033385,0.965363,0.82849175,0.8541876,1.0560246,1.1176955,1.0951968,1.1227857,1.1950735,1.1078924,1.0750979,1.1488461,1.124977,1.1314635,1.2225349,1.1492224,0.90547967,0.9201707,1.1118196,0.9681047,1.1080719,0.8456943,0.9147435,0.78106546,1.015125,0.9856503,1.0808249,0.8190186,0.88106036,1.1027634,1.0580934,0.89785796,1.1381485,1.1776929,1.0981692,0.93347394,1.0760938,0.88423926,1.1155703,0.9516628,1.0202643,1.1429477,1.0201256,0.88205326,0.91077054,1.0388675,1.0244983,1.1789399,0.856645,1.1123797,0.81447875,0.34643972,1.0023898,1.1699764,1.0467039,1.0395752,0.98622584,0.71543837,1.0955749,1.1742275,0.9577631,0.88504755,1.1619945,1.1654998,1.1839501,0.85960084,1.1025343,1.0558892,1.0500547,0.7559751,0.97477925,1.1253264,1.0155998,1.121988,0.9486206,1.0405512,1.0088308,0.7366328,0.90526295,1.0067258,0.87349784,1.0055286,1.096535,1.1862268,1.0917556,1.1959467,1.0416447,1.003481,1.0389012,1.008329,1.0171932,0.7471364,0.8654039,0.8814911,0.9486639,0.9491358,0.73767596,0.78192127,0.9783683,0.91710997,1.0137467,0.9394552,1.2418289,0.9968174,1.1511395,0.6994708,1.1454701,1.0957896,0.99025244,1.0883758,0.73446697,1.0627676,0.9356715,0.30099434,0.9981086,0.908535,0.79886454,1.2458017,0.9168464,1.2225734,1.2334126,0.9068385,0.8115143,1.0961736,1.0141057,0.73347676,1.0324354,1.0793449,0.9547202,0.9884361,1.1484585,1.0831692
apple,1.391027,0.95123726,0.0,0.65735096,1.4079585,0.23064178,0.37698877,0.76515114,1.3194607,1.4752111,1.1635634,1.4721067,0.777166,1.4724977,1.4099792,1.061453,1.4738629,1.2236063,1.1628743,0.41297644,0.392985,1.2004973,1.0854217,1.381845,0.6409283,0.87447435,0.8302409,0.8768878,0.7308983,1.2576143,1.2417154,0.5428532,1.3688092,1.2328354,1.1521304,0.90300035,1.4035854,0.98967624,0.4506936,1.3552039,0.44445908,1.4284387,1.1304137,1.3053168,1.0863053,1.2915294,0.8240504,0.51573265,1.2260835,0.8859637,1.1939297,0.8141124,0.5623189,0.59002614,1.1373049,0.6718255,0.90699816,1.1860065,0.95932966,0.54362714,0.94730026,0.6813006,1.2554395,1.2690886,0.5740038,1.3386682,1.2405944,1.4384449,0.6068234,1.3775969,1.138632,1.4562001,0.5849521,1.1535387,0.87930655,1.1620511,1.2696196,1.0201946,0.83106875,0.48826003,1.1732094,0.571174,1.0175627,0.53943276,1.3407483,1.211764,1.4714165,1.4192548,1.3032786,0.96510607,0.5617917,0.5854203,0.9714305,0.97451115,1.0884831,0.8950424,0.70573336,0.4977063,1.1068735,0.43058515,0.99518055,0.8231623,1.0876426,1.1420734,0.99462247,1.3069159,1.2784889,1.4437377,1.0874456,1.3266882,1.13435,1.1201067,1.3153389,0.5050926,1.2134275,0.27064902,1.0531311,0.60548043,0.7787583,0.7276792,0.7071202,1.3385351,1.417122,1.475636,0.33603203,0.4833163,0.7114223,1.236715,1.1642992,0.79381907,1.0991253,0.8865241,0.4372422,1.3244226,1.2676442
applesauce,1.110959,0.8033385,0.65735096,0.0,1.1484587,0.58626115,0.6805227,0.6447376,1.045403,1.2163169,1.0978489,1.3720322,1.036036,1.1908025,1.1024702,1.1423773,1.2615318,1.3053882,1.213911,1.0082079,0.8995497,1.1769035,0.719092,1.1742378,0.9248394,1.0190514,0.9373043,1.0217087,0.6854777,1.2139543,1.1303277,1.0024763,1.1604906,0.96252084,1.0724654,0.9381253,1.2929354,0.9316754,0.9384736,1.194572,0.9892031,1.252137,1.0718554,1.0784127,1.0180389,1.0607625,0.8588585,0.85141355,1.1545377,0.92402357,1.132403,0.78251004,0.9320812,0.968271,0.8558231,1.0219839,0.94670403,1.0955808,0.98983294,0.99638796,0.8078028,0.7129151,1.1236737,0.82672715,0.9898055,1.1995053,1.0217181,1.2776356,0.84602344,1.1909354,1.076278,1.1346953,0.95420665,1.0125445,0.7637208,0.8077755,1.0906528,0.7675487,0.8404135,1.055644,0.9421961,0.9530897,0.86975193,0.5858212,1.0688627,1.0301857,1.2604467,1.1627477,1.218095,1.0336708,1.0546948,1.0277445,1.1182373,0.650634,1.0227377,0.50636894,1.0651487,0.88809484,1.1453859,0.6364814,0.98103243,1.0187026,1.1260371,1.163714,0.9353051,1.1815386,1.0793762,1.1678141,0.8594913,1.1189673,0.7512771,1.012971,1.3291185,0.90302455,1.1468328,0.8145543,0.8216684,0.93270725,0.8448704,0.7263913,0.97565556,1.2054968,1.1872175,1.207801,0.8468181,0.83381164,0.85672617,1.0066016,0.91997564,0.9348314,0.9953721,1.1891139,1.0202665,1.2167565,1.1177571
arm,0.7034628,0.965363,1.4079585,1.1484587,0.0,1.3252127,1.2732031,1.0888464,0.95300305,0.57650155,0.94705456,0.37623763,1.2465138,0.5570873,0.5572029,0.9825332,0.40877748,0.7881056,1.0163002,1.4631205,1.5139687,1.0787024,0.7359366,0.733546,1.448281,1.2480712,1.410224,1.3323958,1.172961,0.75462884,1.0855347,1.4847565,0.6996147,0.8977024,0.97127974,1.1555701,0.4390496,1.0853426,1.4964416,0.8410602,1.4662888,0.7293726,1.0375574,0.8570218,0.9668068,0.8655088,1.2913265,1.3438481,0.91801524,1.0974385,0.72551197,1.0496148,1.3368865,1.3886526,0.72734207,1.2639318,1.2048992,1.014004,1.1402193,1.382973,0.9181912,1.3076402,0.6612538,0.49605155,1.39911,0.89952695,0.8681762,0.4753707,1.2314701,0.42877346,1.0421909,0.8300368,1.42049,0.7875536,1.0281549,0.6909208,0.8816549,1.0645074,1.137511,1.28412,0.9804652,1.4070776,0.95934904,1.1045896,0.95391047,0.884491,0.46594578,0.544582,0.7659268,1.1533072,1.3780899,1.3295801,1.1533611,0.9801776,0.80780226,0.88651204,1.3776457,1.5174563,1.1218687,1.2561167,1.244499,1.3428876,1.1300178,0.87351394,1.2540463,0.7414177,0.8688295,0.38855517,0.96016276,0.575724,0.8170764,1.0359205,0.68397206,1.4312342,0.80402005,1.3387218,0.9125068,1.3426659,1.2647027,1.2456591,1.128499,1.0023731,0.4150685,0.5437664,1.5898174,1.2715551,1.231219,0.8582305,0.99067634,1.2499218,1.0828341,1.246701,1.3992369,0.6491667,0.96276027
ball,1.2623672,0.82849175,0.23064178,0.58626115,1.3252127,0.0,0.09841907,0.81698185,1.1746668,1.3197123,1.0713825,1.3528035,1.0647782,1.3961204,1.2265067,1.0342013,1.3675148,1.2064829,1.0692409,0.7242222,0.70193243,1.0530686,0.96900094,1.350781,0.7578143,0.84541684,1.0209758,1.0240614,0.85116214,1.3943496,1.2040392,0.7319131,1.2694261,1.0928328,1.1621574,0.76086104,1.3194999,1.0733994,0.7920655,1.2326038,0.70860183,1.3165474,0.94443655,1.2411327,1.1950204,1.2188995,1.0338942,0.68872833,1.2475522,0.9991394,1.1515245,0.97695434,0.84974563,0.75717187,1.0274255,1.0031935,0.74762535,1.1418543,0.88994837,0.9028036,0.89365494,0.61715233,1.1945004,1.1954879,0.72182465,1.3091366,1.0981557,1.3882396,0.6722347,1.382626,1.3362677,1.3637204,0.7662988,1.0031985,0.76147926,0.9718515,1.1745222,1.0148255,0.62805915,0.8591614,1.2326883,0.9260833,1.069155,0.3741392,1.2972322,1.1696783,1.4030247,1.4279442,1.11177,0.8075686,0.9560313,0.9911991,1.0156634,0.9349045,1.2239239,0.79574853,0.86718965,0.55187166,0.99531,0.2611996,0.84467036,0.8697792,1.0876414,1.1980286,0.9503593,1.23473,1.1879424,1.4112957,0.8755101,1.2660472,1.0647756,1.1454122,1.2054738,0.74756867,1.1025212,0.40289986,1.004577,0.9367678,0.8362862,0.7363902,0.79740727,1.1747202,1.3640289,1.2774855,0.59203887,0.72281134,0.9960656,1.1776406,1.2043207,0.519918,0.86038435,1.0917035,0.79999125,1.3282518,1.1530541
balloon,1.2786357,0.8541876,0.37698877,0.6805227,1.2732031,0.09841907,0.0,0.9451046,1.0839953,1.2057279,1.0800648,1.2455909,1.0375036,1.251539,1.2249976,1.0678692,1.2987559,1.1364573,1.0166966,0.75135285,0.74328864,0.949003,1.0243263,1.2397771,0.7285155,0.8579767,0.9687935,1.0136927,0.9322301,1.3500268,1.0777203,0.77301395,1.1616988,1.001365,1.0637523,0.88618225,1.231061,1.2048277,0.852114,1.1211845,0.71396536,1.2846798,0.9588228,1.0799826,1.194053,1.1553414,1.0744206,0.8616408,1.208663,1.1220253,1.1430404,1.080695,0.97481585,0.69722205,1.0765724,1.0401427,0.84823024,1.1287283,0.97623074,1.0097759,0.94175196,0.7979245,1.1636509,1.2306075,0.78692985,1.2362642,1.0596814,1.3142204,0.8486754,1.3324058,1.337336,1.200203,0.6920879,1.003769,0.83518595,1.0076209,1.1750067,1.0281523,0.7295242,0.90064126,1.1466887,0.97834545,1.1766701,0.51376945,1.1966745,1.137917,1.3105516,1.3967133,1.032548,0.86232024,1.016942,1.0576383,0.98286647,0.9628488,1.1922865,0.83609986,0.8420682,0.6685427,0.97091913,0.35048175,0.7639077,0.83538634,0.9181245,1.1367433,0.94999933,1.190546,1.1185228,1.3428206,0.93973166,1.2458167,1.0465908,1.0862788,1.0964084,0.84066975,1.0222946,0.48509085,1.0287704,0.90940785,0.96350026,0.8131553,0.9833697,1.0668757,1.2940719,1.1748319,0.69849086,0.8330363,1.11321,1.159771,1.110594,0.56688035,0.83191425,0.97271085,0.90154064,1.1979724,1.0911542
banana,0.93081796,1.0560246,0.76515114,0.6447376,1.0888464,0.81698185,0.9451046,0.0,1.0188403,1.157446,1.0568736,1.2074225,0.9683045,1.1995637,0.99088836,1.0138977,1.0973347,1.0722532,1.117212,1.1258949,1.0417918,1.1413256,0.85631144,1.1086998,1.1497369,1.0875984,1.1936874,1.1643021,0.4700848,1.1465361,1.2996702,1.157531,1.1795794,1.1097792,1.0480543,0.8423357,1.1986759,0.8174417,0.8898069,1.2371389,1.2041417,1.1938541,1.0769823,1.3061688,1.1034218,1.183462,1.0378575,0.88148606,1.0785885,0.9187311,1.115199,0.860486,0.78525513,1.1960081,0.9237117,1.0568761,0.70256525,0.9672166,0.8675875,1.016333,0.92456144,0.55717003,1.1480964,0.8346375,1.1113073,1.1931343,0.7634501,1.2518641,0.80626225,1.0764608,0.95631546,1.2034321,1.2360685,1.023436,0.38202453,0.7389851,0.94060636,0.96151507,0.9069555,1.0710042,1.1454163,1.064178,0.9270914,0.66507596,1.1197441,1.1821463,1.1259047,1.0655314,1.1032217,1.0381273,0.99682856,0.9711893,1.0333613,0.3348956,1.1618794,0.77629817,1.1029356,0.9690576,1.1590708,0.83370984,1.1893067,1.1227214,1.3540642,1.0455277,0.9488632,1.1538947,0.83706975,1.129138,0.7579447,1.0338418,0.7417105,1.0508357,1.0684531,0.9681745,1.0001583,0.79341125,1.0590881,0.98440593,0.7896048,0.8385559,0.6361622,1.1687763,1.1637586,1.080129,0.89079016,1.0063424,0.84938693,0.76582396,1.1734627,0.8046831,0.9455258,1.2836726,1.0490565,1.2094133,1.0485492
basket,0.9412277,1.1176955,1.3194607,1.045403,0.95300305,1.1746668,1.0839953,1.0188403,0.0,0.63987213,1.065468,0.73285353,1.2065262,0.63308465,0.7544613,1.1547663,0.6864805,0.9104613,0.7936826,1.3098202,1.2781525,0.57401747,0.91332066,0.73859155,1.0521579,0.98455834,1.0358781,0.9337515,1.0673785,1.0979302,0.70169306,1.2962185,0.6451032,0.62730855,0.7957967,1.1251937,0.79569536,1.0363166,1.25246,0.5683567,1.2316831,1.0121069,1.0063777,0.73715246,0.8691474,0.75505,1.2407055,1.3316948,1.1019866,1.3790579,1.1393538,1.3595467,1.3806429,1.1672235,1.0345012,1.246572,0.9112421,0.9212726,1.0379139,1.4246596,1.0307195,0.87891525,1.0988517,0.95593125,1.3225695,1.0577762,0.690723,0.9619148,1.2811602,0.9217944,1.01847,0.5733998,1.2190728,0.8782427,0.6922677,0.83311605,0.73261726,1.1996435,1.0913128,1.4066792,0.7739377,1.3370019,1.3054425,1.0767776,0.7783693,0.8242746,0.7632649,0.8633389,0.83120567,1.118024,1.3189498,1.3088144,1.1337409,0.8318969,1.0038561,1.0289898,1.1231122,1.0927466,1.0957224,1.2163152,0.65358424,0.9796168,0.82348394,1.0849905,0.9956942,0.9987322,0.7906784,0.9687428,0.6744666,0.8485831,0.78732157,0.8442214,0.7389204,1.4063971,0.8827744,1.2861538,1.0818857,1.2300265,1.1772082,1.1539361,1.2336174,0.54653305,0.9534917,0.56492645,1.28108,1.4511318,1.3985901,0.74806213,0.7150678,0.74236107,0.5321084,1.0410048,1.369128,0.8728232,0.7714643
bathtub,0.8420839,1.0951968,1.4752111,1.2163169,0.57650155,1.3197123,1.2057279,1.157446,0.63987213,0.0,1.0647823,0.36482418,1.2243874,0.4077108,0.675341,1.1666086,0.53873694,0.68682855,0.83759105,1.4635422,1.4107647,0.7367529,0.87062037,0.499192,1.3275194,1.1636846,1.2478644,1.069958,1.3642918,0.7719988,0.82694113,1.4547722,0.4081843,0.6444976,0.8217517,1.1004945,0.44904536,0.99948794,1.5361645,0.5143547,1.3740822,0.79010206,1.0871897,0.49592292,0.8094769,0.82372105,1.3268948,1.5292432,0.9397697,1.3070703,0.76918066,1.4263997,1.4909084,1.3254354,1.0568514,1.1907754,1.0553999,1.0694473,0.97315437,1.509764,1.2584023,1.2305274,0.7110389,0.86381036,1.4718884,0.89573383,0.7892857,0.6519651,1.3515878,0.65581834,0.90395045,0.46679372,1.2431396,0.9027698,1.0377953,0.9360892,0.76086783,1.1808634,1.1060781,1.4140025,0.94684976,1.4585183,1.1864548,1.2215211,0.685669,0.8266523,0.6096209,0.7319497,0.66719407,1.0931879,1.4073842,1.3871311,1.2608418,1.0178318,1.1269616,0.95036054,1.3018901,1.3191968,1.1316016,1.379889,1.0174286,1.2381626,0.7927015,0.91783446,1.2130594,0.71910477,0.88574225,0.6512141,0.8551617,0.78350556,0.82866967,0.6101864,0.55497617,1.5564598,0.6318197,1.3724638,1.2087213,1.3232012,1.2228323,1.2540773,1.2350549,0.6685732,0.60897535,0.26451683,1.4916236,1.5590793,1.4132961,0.84697855,0.93070203,1.0570467,0.74260485,1.0467682,1.4990743,0.52423304,0.9976193
