,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,blanket,boat,book,bottle,bowl,box,bread,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,comb,couch,crayon,crib,cup,dog,doll,door,drawer,dress,egg,finger,fish,flower,fork,frog,game,glass,glasses,glove,grass,gum,hair,hand,hat,hose,jacket,jeans,knife,ladder,lamp,melon,mitten,nail,napkin,necklace,nose,orange,oven,pajamas,pants,paper,pen,pencil,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,scarf,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,snow,soap,sock,spoon,stick,strawberry,stroller,sweater,table,tape,toe,toothbrush,towel,toy,tray,truck,vacuum,watch,window
belt,1.226597,1.0788658,0.4967419,1.3365899,1.1142349,0.6561762,0.78816783,1.0331489,1.4441904,1.4614034,0.0,1.4339993,1.4747883,1.4529653,0.33564204,1.0385511,0.4240172,0.5274378,1.4399049,0.8927967,0.9739725,0.4607228,0.74105734,1.1002756,0.9009853,1.3532472,0.9909737,0.41844153,1.2626914,1.0171692,1.0554509,1.4019287,0.35557175,1.5444267,0.48589087,1.3176718,1.1981958,1.19381,1.1080451,1.1242964,0.62334275,0.6460939,0.55207443,0.586341,0.3372321,0.7819376,1.2607427,1.1608591,0.49906284,0.9627275,1.2112737,1.2123193,1.0871499,1.2644594,0.32450265,1.2934644,1.2049867,1.3463663,0.79905736,1.096037,0.39109063,1.363079,1.2670314,0.35491145,0.47087562,0.47970152,0.6555608,0.84213907,1.2779837,1.443202,1.4493003,1.4147367,0.3998357,0.623978,0.7384641,1.2662497,0.68605185,0.59947306,0.931118,0.7537594,1.4893218,1.0978346,1.0175685,1.3315115,1.1966219,1.4613789,1.0479698,1.2370098,0.4868511,1.2416915,1.4597483,0.27487457,0.9426895,0.8271514,0.79148567,0.4338587,1.0142504,0.7824178,1.4741126,1.3224554,1.6131356,0.5541496,0.4314587,1.2974582,0.9435797,1.2177298,1.4712456,0.70311505,1.1894097,0.282359,1.2348473
bench,0.8430506,0.8855283,1.3551621,0.8150723,1.1551139,1.3541591,1.0432315,1.1458397,0.4537698,0.6141757,1.4339993,0.0,0.8638853,0.66589224,1.3537617,1.1158754,1.4675881,1.2226601,0.6408849,1.0720334,0.9357562,1.2964461,0.89207476,0.8705782,1.048275,0.8769112,0.7515102,1.4596794,0.8677748,0.8544136,0.8625816,0.68805754,1.4709029,0.55059147,1.4367921,0.9232686,1.1029382,0.5164099,0.52788997,0.9759071,1.4220865,1.3699099,1.2085462,1.398849,1.2810941,1.2514739,0.81708443,0.98010206,1.3401889,1.1633586,0.8782649,0.9753657,0.9292668,0.9355637,1.5022533,0.6803719,0.88515615,0.8111502,1.0682676,0.76827675,1.3659124,0.99487585,0.9272312,1.4671981,1.3387457,1.3313603,1.2631836,1.1893144,0.57131356,0.8248676,0.7234051,0.8602998,1.421514,1.3844792,1.1196122,0.899368,1.2817906,1.2289174,1.0354022,1.2597367,0.72577703,0.8474314,0.65615964,0.9988658,1.0277246,0.78689903,1.0279901,0.81121695,1.4088595,0.386221,0.5574942,1.4556456,0.8056176,1.1466088,1.2042758,1.4530193,1.0255926,1.2508614,0.7021117,0.8101378,0.3541609,1.3408889,1.4431671,0.9578386,1.1840984,1.0513312,0.5768067,1.0655422,0.714856,1.4678013,0.6349043
bib,0.8659326,0.8219227,1.3939234,0.7676085,1.0776312,1.391849,1.1848438,0.8846709,0.8378332,0.6673933,1.4747883,0.8638853,0.0,0.4171614,1.3809133,1.0534931,1.4930756,1.3650978,0.85245794,1.1030899,1.2143503,1.3610344,1.3527502,1.0339198,0.9085109,0.7903402,1.089411,1.3888543,0.68470275,0.84886754,1.0927485,0.7189127,1.5178523,0.69442636,1.4913566,0.8262582,0.83710456,1.0110682,1.0618694,0.68383086,1.345292,1.2253833,1.1772087,1.2876551,1.3291768,1.1494423,0.8700386,0.9676871,1.246987,0.77878237,0.8459612,0.88001966,0.8313787,0.81868374,1.3800166,0.88396347,0.72619665,0.595751,1.3010354,1.1200396,1.5329165,0.7603214,0.6673248,1.4188244,1.2074833,1.170182,1.3323985,1.1202115,0.933608,0.37112176,0.6616855,0.7153026,1.4951775,1.3369219,1.0525709,0.8277563,1.3094177,1.3139741,1.1298332,1.1255447,0.5222092,1.0339968,1.205165,0.67121744,0.89352715,0.49067158,1.0960307,0.76888835,1.3717399,0.9625718,0.82733107,1.530934,1.10623,1.0850102,0.8990517,1.4200784,1.0236411,1.243597,0.7302071,0.7742487,0.71712387,1.3982313,1.2824581,0.88343024,0.92763686,0.9831925,0.7694358,1.1880083,1.0972873,1.4171879,0.95546216
blanket,0.7398291,0.834839,1.4476079,0.7297659,1.1683046,1.3905327,1.1053872,1.0218647,0.6379874,0.34137976,1.4529653,0.66589224,0.4171614,0.0,1.2978834,1.1078705,1.5179708,1.3422694,0.88664573,1.1450664,1.1549193,1.3657326,1.2902187,0.9650348,1.0173597,0.7819971,0.95934194,1.4787791,0.5449119,0.78900754,1.0277802,0.48481482,1.561914,0.54888713,1.5377252,0.78822434,1.0224407,0.8408106,1.0016742,0.8836373,1.4147748,1.3905709,1.1919856,1.4552448,1.2736484,1.1776514,0.950103,0.99567825,1.2720128,0.9323109,0.9493176,0.9969031,0.8640267,1.0189825,1.4078505,0.6790475,0.5839984,0.5714581,1.3777931,1.1542145,1.500956,0.84497917,0.8026276,1.4382801,1.1802385,1.2672942,1.381426,1.2336454,0.9307941,0.48702884,0.50133157,0.68875015,1.4913397,1.4653329,0.8696941,0.76277673,1.3340746,1.3243402,1.0625459,1.15463,0.51305306,1.0684146,1.1059859,0.69961846,1.0533159,0.4941967,1.1427066,0.69899833,1.4985462,0.7173399,0.6644138,1.5605314,0.90930873,1.2140418,1.0964148,1.4505482,1.1569029,1.2776024,0.67026377,0.705509,0.57397115,1.4488392,1.41518,1.0170151,0.92868745,1.0972085,0.77257395,1.0814278,1.0022953,1.4659557,0.8253003
boat,1.2475282,1.0947596,0.6018665,1.3423767,1.0057831,0.6018906,0.68833035,0.9829916,1.3866303,1.3771547,0.33564204,1.3537617,1.3809133,1.2978834,0.0,0.8843309,0.57024175,0.51255476,1.3226264,0.8482324,0.9424287,0.42636395,0.82698774,1.0122033,0.9134955,1.3586955,1.0207715,0.5421978,1.2671007,1.0532612,1.0985122,1.3427714,0.41490722,1.4238555,0.59205276,1.3035963,1.2363371,1.2528399,1.1104667,1.0527195,0.6806638,0.83280975,0.5168398,0.71012443,0.4944625,0.6941196,1.2199558,1.2006551,0.74179274,0.94111407,1.147983,1.0481507,1.1763265,1.2814438,0.44906425,1.1634648,1.1221974,1.2821859,0.9303019,1.1490954,0.5499573,1.2768426,1.2135676,0.52041316,0.53520536,0.70134795,0.80937433,0.81412125,1.3035963,1.3891048,1.3576369,1.2591504,0.38338745,0.7212573,0.70760274,1.2576021,0.7235887,0.48147458,0.9837481,0.7753072,1.3813818,1.1834257,1.1036934,1.2619977,1.0944766,1.3548546,0.9613983,1.2067145,0.72970986,1.1541438,1.3649869,0.4885736,1.0017791,0.8312732,0.8792481,0.62999535,1.0207664,0.74992025,1.3297427,1.3274288,1.492204,0.4819641,0.69948745,1.1759766,0.92765725,1.133204,1.369238,0.70754343,1.2156644,0.5581198,1.2581205
book,1.170742,1.1978838,0.9383012,1.0024055,0.797459,0.7782723,1.068313,0.80385643,1.3047409,1.2675868,1.0385511,1.1158754,1.0534931,1.1078705,0.8843309,0.0,0.7839229,0.7639309,0.6904469,1.0465232,1.005445,0.78437686,1.0717852,0.9714267,1.2170956,1.1733177,1.0648562,0.91280526,1.1366692,1.310024,0.97615093,1.2514528,0.6755402,1.0005789,0.6948112,1.0875671,1.0082494,1.2902503,0.9706874,0.99644613,0.9780579,1.076734,0.95110255,0.74990356,1.1018616,0.54657257,0.9727122,1.0448188,1.141393,1.0800698,1.0511808,0.73165524,1.2555326,1.1101637,0.8820566,1.0984292,1.263983,1.3399968,0.9527104,0.8949719,0.83200145,1.0614271,1.1739643,0.9875793,1.0087358,1.1586614,0.867921,0.8502816,1.1234477,1.2118748,1.2389127,0.43731028,0.7129149,0.8066433,0.94216895,0.91985255,0.75341046,0.8143482,0.98331916,0.94335085,1.1765026,0.8999841,1.032538,1.1692313,0.683851,1.2315096,0.84653115,1.3538226,0.8914512,1.1685438,1.0765834,0.85726124,1.1429102,0.9287282,1.0405744,0.9024042,0.95557076,0.7851797,1.0823889,1.2752235,0.8002013,0.73426497,1.1148475,0.7831742,0.88830215,0.57654095,0.9481855,1.1545708,1.0646768,0.9918227,1.2689126
bottle,1.2625847,1.2157314,0.4528311,1.3238204,0.9237347,0.53252625,0.8892906,0.90858734,1.4337872,1.4394197,0.4240172,1.4675881,1.4930756,1.5179708,0.57024175,0.7839229,0.0,0.35350007,1.2558168,0.9520342,0.85263807,0.56969434,0.75416464,1.116101,1.1341698,1.2836187,1.0840338,0.44186056,1.2813152,1.1081009,1.1338192,1.3821023,0.28814828,1.4066916,0.09272277,1.2573183,1.0943116,1.2463856,1.1881208,1.1801767,0.5108076,0.776963,0.7664203,0.4054978,0.68238354,0.8279043,1.1783687,1.1622171,0.6964798,0.99269307,1.1631802,1.1478658,1.2370889,1.2799976,0.29009163,1.4249219,1.3154724,1.4546909,0.85276806,1.0617921,0.33201313,1.1713858,1.2959957,0.24681449,0.6981069,0.7153591,0.66370714,0.7424707,1.1864514,1.4444045,1.4693683,1.261062,0.3190359,0.5936715,0.8551527,1.2253256,0.6051816,0.6982411,0.97545135,0.7953129,1.4762012,1.0350213,1.0542737,1.2527477,1.1456095,1.4499722,1.01106,1.289052,0.46659458,1.3344474,1.4363589,0.22427654,1.182889,0.86264,0.94505465,0.24431145,1.0471513,0.69476986,1.4433671,1.2799575,1.5086895,0.3805741,0.5830638,1.17786,0.9430907,1.0195894,1.3568025,0.86293274,1.2227634,0.28854454,1.2297177
bowl,1.204703,1.1325467,0.5639461,1.2923598,1.0315374,0.68667996,0.5303495,0.8911722,1.2159183,1.358763,0.5274378,1.2226601,1.3650978,1.3422694,0.51255476,0.7639309,0.35350007,0.0,1.0233431,0.7652094,0.8313105,0.6940786,0.7673339,1.0475607,1.0561917,1.2799592,1.1180782,0.6778076,1.2618208,1.2201493,1.1032836,1.3494524,0.40790904,1.2540765,0.3033359,1.2384297,1.2553312,1.2639515,0.946562,1.1500157,0.66891766,0.9451679,0.6771616,0.7320158,0.7356118,0.8292584,1.1176096,1.2227471,0.77318954,1.1048825,1.1560031,1.0306983,1.2538748,1.3074868,0.50238466,1.1918983,1.2688123,1.4505728,1.0169278,1.0970411,0.48291308,1.1794914,1.2901796,0.4550035,0.7945968,0.79855025,0.8388131,0.68178916,1.1682005,1.4519006,1.4475619,1.1558899,0.45055717,0.7336489,0.9209306,1.1811315,0.8370347,0.5150924,1.0222304,0.71148443,1.3374496,0.97730315,1.0495543,1.2113785,1.1196716,1.4087613,0.9057068,1.2791958,0.7352686,0.9957986,1.2397124,0.39060277,1.050241,0.749234,1.070765,0.5720544,1.042449,0.7559363,1.2707537,1.2865918,1.3214548,0.33556116,0.7650409,1.1774887,1.0520986,0.9899029,1.1345999,0.85439616,1.2251868,0.51144946,1.2604047
box,1.0300523,1.1425478,1.157656,0.87517846,0.8587694,1.1011053,1.1488664,0.66218245,0.7157433,0.9422879,1.4399049,0.6408849,0.85245794,0.88664573,1.3226264,0.6904469,1.2558168,1.0233431,0.0,1.2172909,0.7393024,1.2437615,0.85004526,0.8992003,1.1951512,0.97157514,0.91261184,1.3131638,0.8839952,1.1973379,0.8646137,0.9962646,1.2448456,0.3284725,1.1435924,0.86427,0.9293337,0.879062,0.5614449,1.0165436,1.2960784,1.2987592,1.1694438,1.1952566,1.3780445,1.0151033,0.8544761,0.9746945,1.325745,1.1753285,0.97341174,0.7583173,1.1194464,0.98211557,1.3858624,0.8536617,1.0627174,1.0612969,1.156492,0.82049596,1.1847116,0.8699333,0.98647976,1.3839754,1.3159186,1.3255606,1.1180784,1.0286609,0.783913,0.9053721,0.96625817,0.62717116,1.2639048,1.1675563,1.1924878,0.933996,1.1023427,1.0797249,1.10041,1.1531734,0.7046942,0.6891758,0.82752377,0.9625888,0.823177,0.95130724,0.8659954,1.1263837,1.3106306,0.76212084,0.75154316,1.2987509,0.95678,1.064699,1.2749717,1.3344663,0.92133516,1.0710604,0.69834167,1.0416805,0.49853367,1.0903659,1.3804014,0.8118324,1.041205,0.6124288,0.5287306,1.2117243,0.8210033,1.3792704,0.9731175
bread,0.9293945,0.8888874,0.90007186,1.1739033,1.087166,0.97499937,0.4664961,1.0224452,1.1731898,1.1927767,0.8927967,1.0720334,1.1030899,1.1450664,0.8482324,1.0465232,0.9520342,0.7652094,1.2172909,0.0,0.9708632,0.95412064,0.99273473,1.102157,0.71139264,0.9700264,1.033472,0.99072707,1.2433586,1.0692511,1.0879594,1.1533157,0.7439325,1.3234825,0.956162,1.048033,0.9282123,1.1324595,0.89097214,1.0564481,0.83435655,0.8640635,0.8437677,1.0948298,0.8876148,0.94740176,1.1589645,1.1730492,0.9822972,0.898296,1.02748,0.8521974,1.126755,0.9664206,0.9708107,1.095377,1.1434029,1.1488848,0.8195704,0.9060696,0.97559065,0.9215246,0.9499395,0.9709065,0.8249809,0.924237,0.9937801,0.7958346,0.98831046,1.2149241,1.1806036,1.2243476,0.84825903,0.70779,0.79213417,1.165986,1.0455488,0.73737824,0.7910707,0.7831893,1.0155339,1.1437252,1.0009348,1.0977821,1.0473137,1.2092736,0.9960101,1.1005186,0.88971317,1.0550282,1.1280583,0.91895616,1.0921617,0.5991663,0.8656818,1.0349454,0.87999535,1.01916,1.1291878,1.2037249,1.2879932,0.7536254,0.91914934,0.9495145,0.9698991,1.0761355,0.9739479,0.98408616,1.0801163,0.97408897,1.2212408
bucket,1.1214454,1.1746126,0.93415487,1.2089467,0.9497081,0.8418075,0.9581564,0.86134475,0.74199826,1.198083,0.9739725,0.9357562,1.2143503,1.1549193,0.9424287,1.005445,0.85263807,0.8313105,0.7393024,0.9708632,0.0,0.92897356,0.35286063,0.75286037,1.119501,1.2189522,0.63178277,0.8240357,1.0239062,0.88608676,0.929342,1.2263954,0.9240812,0.8522107,0.75968623,1.2207565,1.0815128,0.67309177,0.55801296,1.123848,0.97628546,1.1548495,0.97698134,0.8371253,0.9466824,1.0405147,1.1416472,1.1094916,1.120706,0.9835628,1.1634461,1.1567198,1.2072935,1.2331992,0.99326026,1.0044115,1.1431115,1.179124,0.8636915,0.73751915,0.72743535,1.1391315,1.145948,1.0607504,0.738632,1.2421224,0.920472,1.0556419,0.66777295,1.1591257,1.1643335,1.1470296,0.9645186,1.0522009,0.8060446,1.1974244,0.8275473,0.8575486,0.99719745,1.0332283,0.8568509,0.73866737,0.4369235,1.1497579,1.1416382,1.2544231,0.87260264,1.0967524,0.8580485,0.7590898,1.0490171,0.90498453,0.97115,0.866544,1.045183,0.9991853,1.1619508,0.99116004,0.9596413,1.2325932,1.1377004,0.78862596,1.1350218,1.1416546,0.8929808,1.0517741,0.99563533,0.7975545,0.70095474,1.0637974,0.82065475
butterfly,1.1627096,1.1898901,0.6462704,1.2891316,0.95949095,0.6557391,0.84318393,0.9658259,1.4100242,1.3536654,0.4607228,1.2964461,1.3610344,1.3657326,0.42636395,0.78437686,0.56969434,0.6940786,1.2437615,0.95412064,0.92897356,0.0,0.8140191,0.9154757,1.103213,1.2878817,0.95102364,0.5211041,1.2217925,1.0490912,1.1279806,1.2876923,0.5256982,1.3608143,0.5721708,1.2047913,1.1018319,1.2128131,1.1082234,1.0504726,0.7470209,0.90692234,0.62104905,0.61350805,0.6211339,0.62933016,1.1586492,1.1170295,0.8871762,1.050583,1.1351471,1.1036506,1.1782439,1.2880827,0.5584477,1.2123166,1.2228831,1.2939973,0.9463095,1.0206907,0.4819541,1.2622721,1.25377,0.715199,0.6135842,0.91084397,0.6557223,0.783058,1.2565718,1.3509052,1.3193905,1.2135772,0.56876606,0.792552,0.76253915,1.2108504,0.68112355,0.6304301,0.90575457,0.8556266,1.383818,1.0061985,1.0252568,1.2513409,1.0916942,1.3637437,0.9479141,1.2113816,0.67064035,1.2297308,1.2983412,0.54650664,1.070473,0.9152285,0.95583737,0.60571235,1.050635,0.72562546,1.3260518,1.2520645,1.3670381,0.6279716,0.8256837,1.2077502,0.91053396,0.97134507,1.2957909,0.77191687,1.0735984,0.696986,1.199453
can,1.0695845,1.2808878,0.8912971,1.1964287,1.1007416,0.82583225,1.003527,0.9465838,0.8183658,1.2851613,0.74105734,0.89207476,1.3527502,1.2902187,0.82698774,1.0717852,0.75416464,0.7673339,0.85004526,0.99273473,0.35286063,0.8140191,0.0,0.8408437,1.0623665,1.1898564,0.5587074,0.7919948,1.0637989,0.856619,0.91995144,1.2684808,0.79095453,0.91754514,0.71103394,1.1799572,1.0965679,0.5893856,0.44781566,1.1547675,0.9914508,1.0328679,0.8833901,0.8319861,0.8703914,1.0893292,1.0932162,1.131149,1.0168092,0.9975575,1.1782236,1.2789538,1.2676549,1.2361903,0.92831147,1.0156506,1.2009841,1.2228941,0.83090776,0.6428977,0.5189216,1.175064,1.1660681,0.9569224,0.601504,1.0968685,0.88493586,1.1103055,0.6575032,1.2028883,1.2974948,1.2774876,0.7858355,0.94095945,0.79758066,1.2502273,0.7797165,0.90900785,0.9716425,1.1564486,1.1761603,0.5974142,0.3253075,1.2428728,1.1994619,1.3760836,1.0924692,1.1188189,0.77498454,0.72475964,1.066348,0.77627397,0.8890399,1.01199,0.9735807,0.89404535,1.0422298,1.0252022,1.1500317,1.2609673,1.1192801,0.8465847,1.0272293,1.1482353,0.868176,1.122913,1.0770816,0.8889884,0.66156787,0.87452334,0.8357766
car,1.0747811,1.0843761,1.1306869,1.0367203,0.925031,1.0378143,0.9843098,1.0553112,0.8171878,1.0237619,1.1002756,0.8705782,1.0339198,0.9650348,1.0122033,0.9714267,1.116101,1.0475607,0.8992003,1.102157,0.75286037,0.9154757,0.8408437,0.0,1.2319678,1.0336139,0.7887747,1.0442376,0.91271883,0.91303426,1.123654,1.0718324,1.1917788,0.80372983,1.0688634,1.0181862,1.0526412,0.8166146,0.72636753,0.93203706,1.1448832,1.2349392,1.0496693,1.0889889,1.0006957,0.9706797,0.9479604,0.8827812,1.1630585,1.0246291,1.0720599,1.0843793,1.0664216,1.1879956,1.047936,0.8706216,0.9732081,1.046678,0.9816994,0.82501316,1.007789,1.1616827,1.0254098,1.1994903,1.0264328,1.2088338,0.9101586,1.0691191,0.8616568,1.096879,1.0323403,1.0120928,1.1491904,1.3039645,0.9671706,0.9805872,0.9681318,0.94403434,1.0304629,1.0983527,0.9146528,0.58881193,0.74318993,1.0878755,1.0266142,0.99277955,0.6987677,1.0621295,1.0781066,0.77287006,0.82703656,0.97150904,0.87456685,1.0618715,1.1590049,1.1288612,1.1807619,1.0777347,0.78610563,1.1233088,0.96206445,1.0177429,1.2647505,1.1444112,0.9601949,0.7096926,1.0097001,0.92126745,0.5859193,1.2052854,0.7565159
carrot,1.0040603,0.64902097,0.8913366,1.1110351,1.2829622,1.1447991,0.74111754,1.1803073,1.1091518,1.0607353,0.9009853,1.048275,0.9085109,1.0173597,0.9134955,1.2170956,1.1341698,1.0561917,1.1951512,0.71139264,1.119501,1.103213,1.0623665,1.2319678,0.0,1.1306247,0.98427635,1.1893222,1.1455677,0.7871835,0.96696025,1.0240561,0.8601425,1.2742218,1.241427,1.2324247,1.0886562,1.034941,0.91683227,0.8688606,1.0951586,0.547524,0.8198657,1.1473947,0.79646134,1.1192181,1.1697086,1.1057178,0.8804751,0.88963604,0.96084356,0.8119126,0.92089504,0.60414994,1.085307,1.047661,0.8944485,0.81387603,0.93797934,1.1139194,1.1648632,0.9502042,0.81330806,0.94233775,0.82818747,0.68661886,1.2820942,0.91212296,0.9749941,0.939398,0.9043518,1.1411031,0.92543125,0.81283975,0.92019325,1.0582159,1.1012056,1.0277675,1.1425049,0.9863266,0.95302826,1.2906816,1.0440524,1.0862813,1.0640879,0.97929573,1.2964891,0.77522856,1.0262204,1.1270322,1.2129066,1.1253872,1.1083899,0.8890191,0.68043053,1.1023874,0.7764403,1.0359176,1.0188667,1.0640337,1.2249612,1.107507,0.6482679,0.8826407,1.0665808,1.3077385,1.0470035,0.89236,1.1702424,0.89835954,1.1382135
cat,0.525885,0.9921926,1.275772,0.6674539,0.99924606,1.232979,1.1506454,1.0653188,0.79036874,0.7969618,1.3532472,0.8769112,0.7903402,0.7819971,1.3586955,1.1733177,1.2836187,1.2799592,0.97157514,0.9700264,1.2189522,1.2878817,1.1898564,1.0336139,1.1306247,0.0,1.1273149,1.286983,0.9185516,1.055231,0.9837176,0.8161585,1.3991034,0.8034338,1.3206315,0.12893331,0.41638237,0.975676,1.0893198,1.0307919,1.1679053,1.2380507,1.2516469,1.2489115,1.3531688,1.1113102,0.89245063,0.91280794,1.2672098,0.9374826,0.88590026,0.99822104,0.8782101,0.8960206,1.330525,0.94284856,0.9323008,0.85850185,1.1685157,1.0034169,1.3586886,0.70448965,0.78071016,1.307771,1.3006172,1.2705104,1.1171165,1.1541202,0.90544116,0.78218913,0.8650257,0.8928744,1.3897445,1.193363,1.2029616,0.8680434,1.2201978,1.3101814,0.77153313,1.0880402,0.804428,1.009904,1.1646798,0.7510412,0.9606163,0.8488341,1.049027,0.95279425,1.2773979,0.91502047,0.77412903,1.3275802,1.0545224,1.1875308,1.0820599,1.2141435,1.0375789,1.208093,0.6972638,0.7843605,0.6603186,1.3300877,1.3018104,0.94768876,1.0719701,0.9256293,0.77851135,1.2163148,0.9532884,1.3432665,0.89206815
chair,0.9231384,1.1650006,1.0650489,1.1567833,1.1400834,1.0335,1.0995381,0.9511066,0.9220644,0.96803755,0.9909737,0.7515102,1.089411,0.95934194,1.0207715,1.0648562,1.0840338,1.1180782,0.91261184,1.033472,0.63178277,0.95102364,0.5587074,0.7887747,0.98427635,1.1273149,0.0,1.050583,0.8876431,0.76185197,1.0439469,0.9386928,1.1107937,0.8734135,1.0504699,1.1104925,0.9947686,0.571081,0.5660706,1.0554599,1.2247783,1.1534519,1.0578651,1.0606958,0.9571626,1.1548883,1.1157451,1.1415927,1.1805302,1.0004505,1.1211971,1.1887335,1.0835675,1.1692636,1.1069344,0.9026473,0.96389246,1.0215926,0.92101574,0.56741035,0.84783566,1.1936803,1.0486906,1.2645854,0.5449833,1.1558888,0.96359277,1.1606522,0.5394796,1.0109735,0.9881373,1.0793477,1.0738072,1.1435826,0.6997512,1.0881835,0.98942477,1.008505,1.004525,1.2415181,0.8848884,0.7701169,0.42030776,1.0893036,1.1917078,1.0542405,1.0932003,0.92159003,0.92876357,0.84283257,0.9920646,1.0437082,0.9355031,1.107217,0.9595086,1.1429225,1.043573,1.1498828,1.0016736,1.0090824,0.9631183,1.0810193,1.2089188,1.1829004,0.5132601,1.052949,1.0545996,0.8733103,0.6652544,1.1946199,0.75023013
clock,1.2538055,1.142323,0.56715846,1.271446,0.76928496,0.4291612,0.9566175,0.928106,1.3983091,1.4485843,0.41844153,1.4596794,1.3888543,1.4787791,0.5421978,0.91280526,0.44186056,0.6778076,1.3131638,0.99072707,0.8240357,0.5211041,0.7919948,1.0442376,1.1893222,1.286983,1.050583,0.0,1.317859,1.0914007,1.1414219,1.3850073,0.51614416,1.4660957,0.3986957,1.2343991,1.0385652,1.198493,1.1473534,1.1547968,0.38474607,0.80879277,0.7080616,0.47556764,0.5403969,0.736932,1.252353,1.1194117,0.68674886,0.9585386,1.2728311,1.1573682,1.1333014,1.2741141,0.47501475,1.342047,1.3039502,1.3654009,0.87460333,1.0697247,0.31378335,1.196741,1.2342904,0.45324522,0.6496957,0.78013533,0.48673224,0.74511063,1.1909146,1.3929067,1.454421,1.2435431,0.5813252,0.670359,0.8143431,1.2764022,0.6851784,0.5217869,0.9530413,0.7421281,1.4475229,0.96172154,1.0209543,1.2845085,1.1014389,1.4685425,0.8386653,1.2956462,0.5337736,1.1941644,1.4171083,0.39593327,1.1257459,0.7723902,0.8840733,0.49557698,1.0846761,0.6510082,1.4273095,1.2889266,1.5176727,0.52707344,0.6273643,1.2395277,0.9225889,1.0329556,1.3133647,0.7089729,1.2026966,0.51566166,1.1630034
closet,0.9689616,0.99910325,1.2833555,0.91510594,1.0809798,1.2354567,1.309953,0.8913491,0.71579134,0.64032525,1.2626914,0.8677748,0.68470275,0.5449119,1.2671007,1.1366692,1.2813152,1.2618208,0.8839952,1.2433586,1.0239062,1.2217925,1.0637989,0.91271883,1.1455677,0.9185516,0.8876431,1.317859,0.0,0.93142503,0.8943188,0.7541981,1.3687655,0.5443487,1.272779,0.8768585,1.0880207,0.7711989,1.0146265,0.9771398,1.3392177,1.270928,1.2031543,1.1664449,1.2854908,1.1962765,0.8988753,0.972838,1.2212272,1.1347718,0.9428763,1.237403,0.95794654,1.1349587,1.2662635,0.9147509,0.64536315,0.85629535,1.0761305,0.9721077,1.2531999,0.91088694,1.0805116,1.2870574,1.0885594,1.2581027,1.1594123,1.2921827,0.9012603,0.6958777,0.7833681,0.84413314,1.3118305,1.3604013,1.1803993,0.7964705,1.143379,1.2711014,1.0858248,1.1788179,0.6347085,0.9681812,0.95179224,0.7663809,1.0309801,0.6803421,1.0050586,0.9100717,1.1337734,0.8763713,0.78990424,1.3155276,0.8407223,1.244828,1.1778419,1.230562,1.1192085,1.1354405,0.81284153,0.6777754,0.69845355,1.3530338,1.3287129,1.1153117,0.88281035,1.0088097,0.95562315,1.1052741,0.7652838,1.2534739,0.75801843
coat,1.0324118,0.90680563,1.1663861,0.95487326,1.3302662,1.2236202,0.96817875,1.267164,0.8053497,0.8449258,1.0171692,0.8544136,0.84886754,0.78900754,1.0532612,1.310024,1.1081009,1.2201493,1.1973379,1.0692511,0.88608676,1.0490912,0.856619,0.91303426,0.7871835,1.055231,0.76185197,1.0914007,0.93142503,0.0,0.9281314,0.84697974,1.1907867,1.0621575,1.2333045,1.136851,1.1692402,0.6320902,0.8526285,0.9201307,1.1824045,1.0095103,1.0051786,1.1745148,0.86326253,1.303514,1.0983449,0.94126564,0.99620897,0.97232467,0.99811554,1.2002407,0.8230156,0.9428019,1.1329609,0.9658972,0.7300883,0.70390695,1.0177755,1.0287677,1.1408831,1.1256273,0.95134145,1.064877,0.83897054,0.9405955,1.23501,1.213931,0.7430865,0.8296161,0.70169085,1.1019466,1.1534817,1.151021,0.9845247,0.92655677,1.1184037,1.2609572,1.1603587,1.2125882,0.8724209,1.0642991,0.73708063,1.031579,1.210197,0.72273934,1.2877147,0.66435564,1.0277939,0.81821567,1.0394946,1.1956576,0.9891413,1.2527326,0.97405213,1.0899196,1.0890085,1.1856564,0.9293868,0.8980303,0.9922294,1.2912691,0.9854158,1.1503891,0.97110677,1.3735375,1.1212251,0.77062345,0.91178954,1.0446646,0.67217314
