,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,cloud,comb,cookie,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,fish,flower,foot,fork,frog,game,giraffe,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,mop,motorcycle,muffin,nail,napkin,necklace,orange,oven,owl,pajamas,pants,paper,pastry,pen,pencil,pickle,pig,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,raisin,refrigerator,rooster,sandwich,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,soap,sock,soup,spoon,sprinkler,stick,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window,zebra
alligator,0.0,1.1275116,0.9442417,1.1423699,1.3174951,1.0155542,0.9692606,0.786799,0.75359976,1.3599887,1.3084645,0.77611697,1.2943437,1.3611414,0.8154268,1.298262,0.8543771,0.81615394,1.0118786,1.171356,1.0973176,0.81945735,1.1290472,0.91963077,1.1351373,0.79197216,0.985969,1.0440897,1.2164365,0.686579,1.320178,0.98935467,0.98659605,1.0728467,1.2707828,1.1570301,0.577157,1.2312047,0.92775315,0.6882631,1.1843834,0.5688393,0.91771287,1.3010933,0.9866399,1.283505,0.94125366,0.9341177,0.9899096,0.85394126,0.91052675,1.0550324,0.4401248,0.6395695,0.93316215,0.74080324,0.3262251,1.1868693,0.7538334,1.3113117,0.8975463,0.9812385,0.9945282,0.96671146,1.1034826,1.2139747,1.3544016,0.8268361,0.67133766,1.2946324,1.2128079,1.1885952,1.3216026,0.6524805,1.0715605,0.8412935,1.2269428,1.1804442,0.9653092,1.2204674,1.1319348,1.1820687,1.1876932,0.8218849,0.9844449,0.6800708,0.9110812,0.96391964,0.85324025,1.3912802,1.2443105,1.0228354,1.0472112,0.70636,0.7126473,0.90116084,0.63937926,1.0611502,1.1086123,0.6472223,0.9008358,0.6758678,1.0891484,1.032092,1.2114139,0.965354,1.0614957,1.1973983,0.8176204,0.9432585,1.1953688,1.0931423,0.6549107,1.3706224,0.9881664,1.2450992,1.0563921,1.2755022,1.302607,1.1374545,0.7246064,0.7205596,1.0933225,1.1495879,0.831766,1.037893,0.82922673,1.0241334,0.91464597,1.1495705,1.3495921,0.79366165,0.9083277,0.9272243,0.96972185,0.97263175,0.808769,1.3015563,1.1467811,0.8243835,1.219037,0.66216075
ankle,1.1275116,0.0,0.6946748,1.0746769,0.79923743,1.055225,0.9544745,1.0816798,1.0719771,1.0688558,1.0747123,0.923681,1.0350555,1.011324,1.2328575,0.96343285,1.2818732,1.0715036,1.1091044,1.3107573,0.58880746,0.8202719,0.9448799,1.2715628,0.9357256,1.2183757,0.7667376,1.0608884,0.8260591,0.96499026,1.1755716,1.0576036,0.7403202,0.98552024,1.0774627,0.8781464,0.904298,1.2075348,1.0091573,1.0908545,1.2062402,1.1495159,0.9574344,1.1126897,1.1063069,0.9266888,0.7571684,0.7169769,1.0315878,0.9829553,1.1316966,0.35101616,1.1139127,1.055193,0.61444837,0.8545874,1.1778327,1.1193652,1.1343981,1.0319269,0.77270114,0.6172476,1.0088964,1.0655386,1.0440525,0.96623945,0.62672406,0.9893447,1.1116848,1.0863261,1.0016869,1.0931296,0.9162496,0.92060167,1.209703,0.8678481,0.96388793,0.9709855,1.1368607,0.949097,0.9133376,1.2043505,1.057794,0.85162723,0.827026,0.8478714,0.8186374,1.0804965,1.056908,0.80936694,0.9407402,1.246892,1.0591112,0.78272325,0.77446735,0.79453015,1.0722268,0.8450891,0.9489777,0.9487899,1.1711687,1.098551,0.8014582,1.0218886,1.0499114,1.223204,0.9175688,1.0441899,1.1624368,1.1084057,1.1013867,0.9789924,1.1593884,0.9553929,1.0523016,0.83386683,1.0769696,1.001841,1.0732487,1.0392598,0.81127536,1.0569246,0.7424328,1.1057198,0.98949313,0.8649689,1.0193202,0.8174205,1.175906,1.0457734,1.2517942,1.0665234,0.41507214,0.9341695,0.9373298,0.8134142,1.2547114,1.306132,1.0988663,0.89070433,1.1411986,1.1397595
apple,0.9442417,0.6946748,0.0,1.1210077,1.1812676,0.7758557,0.80111074,0.7521813,1.0003793,1.4369276,1.3638535,0.86724615,1.4390888,1.3284783,1.1564288,1.3651292,1.1415747,0.79838634,0.9709945,1.3200519,0.28734505,1.0343766,1.1954774,1.1880013,1.2002959,1.0447481,0.52854216,1.2542688,1.230493,0.7553544,1.3488207,1.1086661,0.7373115,0.82828724,1.2912054,0.9592538,0.6034132,1.429625,0.8135412,1.0059336,1.1308385,0.9528116,0.7860652,1.3930972,1.2735463,1.2522093,0.8112916,0.29946178,1.0984778,0.7368625,0.8867575,0.51796526,0.79016185,0.67878723,0.6616534,0.8685827,0.9148617,1.1122649,1.1968944,1.1898295,0.63466537,0.7601634,1.0271827,0.9871597,0.90855217,0.9180507,1.0444701,0.6407433,1.0904276,1.3176908,1.3140675,1.1283615,1.2444834,0.9119169,1.3549342,0.83188504,0.7673891,1.0095222,1.0829744,1.1654583,1.1095506,1.1452689,1.0475466,0.5377222,1.1569376,0.92003644,0.28746003,1.1231129,0.9599847,1.29524,1.1961076,1.2092719,0.95902574,0.7999793,0.7789657,0.7444672,0.9609149,1.232786,0.88973576,0.7016953,0.8827812,0.99408317,0.7077297,0.8712944,1.2602005,0.99528563,0.90214294,1.3360567,1.1389035,1.1037214,1.0441024,1.0251405,0.9786443,1.2849238,1.0949525,1.1569641,1.0076132,1.1819298,1.2447968,1.2195396,0.62249625,0.7915686,0.93522805,1.0412573,0.89960873,1.0811235,0.96759105,0.5742237,1.0567298,1.2020246,1.3213844,0.6895903,0.4594962,0.7110047,0.9742596,1.0651205,0.9486462,1.2905421,1.3042382,0.79714787,1.3082445,1.1560571
applesauce,1.1423699,1.0746769,1.1210077,0.0,0.90151745,1.0691836,1.2377819,0.7704487,1.0394237,0.8862133,0.8331877,1.1883702,1.0026853,0.71666265,1.1261146,0.88927007,0.9921909,1.2273531,1.1651967,0.8032144,0.814073,1.1595527,1.1229372,0.9790864,1.1608177,1.1376475,0.87755543,0.99805987,1.0222462,1.2235227,0.90192753,1.0680492,1.0321275,1.1403418,0.79631686,0.7487892,1.1482542,0.87334704,1.2504394,1.1798861,0.9943191,1.0820649,0.92994666,0.9029894,0.990394,0.91932666,1.117977,0.95194757,1.0408616,1.1797192,0.9673228,0.9647848,1.1689795,1.3146086,0.9404524,1.147902,1.1578616,0.98385435,0.95006984,0.81633955,1.0404608,1.0388988,0.99938715,0.43782687,0.9035375,0.9032937,0.8249495,1.1581352,1.1132789,0.9003348,0.9752413,0.81840724,0.8464097,1.170939,0.96831906,1.2079895,0.94541156,0.82998407,0.96849006,0.7909757,1.0798639,0.9016972,1.0309961,1.1271721,1.0627043,1.0522652,1.0431985,1.0850451,1.0857416,0.83060956,0.83429337,0.95326996,1.050888,1.1579046,1.1942399,0.82654554,1.1748668,0.89518684,0.8592299,1.2140838,1.159666,1.1682998,0.9536077,1.0323435,0.78784835,0.9507031,1.0136322,0.9355827,1.1171572,0.96083903,1.0520858,0.8088767,1.0436963,0.8811236,0.9908246,0.80413556,1.0300865,0.8515046,0.9232776,0.9490375,1.1544948,1.2053565,1.0035052,1.0239354,1.166982,1.0584134,1.1888833,1.1141909,1.0261023,1.0141009,0.9131193,1.0735564,1.0848262,0.9263677,0.7420409,1.1929792,0.97319233,0.85964334,1.1087109,1.1115026,0.97636056,1.0379705
arm,1.3174951,0.79923743,1.1812676,0.90151745,0.0,1.1283488,1.1933722,1.2809207,1.3965087,0.5951316,0.46547735,1.3249937,0.7369337,0.54794616,1.1427424,0.5430931,0.8952609,1.3972933,1.2017119,0.7086977,0.99551713,1.1867759,1.1986907,1.082204,1.1592426,1.1660844,0.9712654,0.9437024,1.0486277,1.5580084,0.7725872,0.97352135,0.9870854,1.0922309,0.48837513,0.9355044,1.4316249,0.8014527,1.3152544,1.1629837,0.8312113,1.2615048,1.1450099,0.86808157,1.077496,0.66215724,1.2333907,1.2854424,0.89483243,1.2546656,1.0951514,1.018995,1.4800875,1.3637323,1.0620356,1.3153036,1.3088386,0.8086031,0.9586143,0.6393899,1.2824192,1.0600659,1.0725963,1.1036671,0.9180073,0.8145375,0.29613352,1.3378713,1.0646404,0.5815738,0.75164104,1.0783371,0.58299476,1.3118551,0.9324054,1.3703369,0.78853655,0.8466002,1.0121632,0.652351,0.7962383,0.89945275,0.9224214,1.3250966,1.1967595,1.2201368,1.2607096,1.068197,1.1792479,0.5381115,0.8274566,0.6560277,1.0864624,1.1732478,1.1029414,1.2035842,1.1501842,0.9901676,0.7423386,1.4201059,1.1735437,1.180561,0.9265779,1.1092883,0.9568653,1.2903764,1.0119475,1.003617,1.1342276,0.99967855,0.9734536,0.9595254,1.112331,0.43005168,1.012272,0.82612276,1.0444676,0.7295064,0.8015704,0.746089,1.3688734,1.374021,0.9815151,1.0054431,1.2920148,1.1357007,1.1802104,1.1489608,0.9448832,0.74640095,0.4569534,1.4503032,1.1314948,1.0442874,0.9141515,1.2359104,1.1931365,0.6397326,1.041611,1.3620634,0.80821717,0.98342234
ball,1.0155542,1.055225,0.7758557,1.0691836,1.1283488,0.0,0.34255636,0.9733832,1.0173441,1.2833664,1.1739306,1.1667721,1.2755417,1.0049665,0.90408146,1.1705393,0.9176471,0.9081216,0.9800297,0.93157184,1.0174458,0.99514955,1.0111462,0.9598843,1.0238494,0.8912343,1.0865419,1.2104496,1.2112848,0.9873919,1.1508782,1.1021034,0.9723659,0.8093933,1.1897167,0.90922093,1.0968415,1.0285496,0.95612234,0.86770064,1.1148709,0.9323505,0.84125274,1.1960014,1.1154923,1.1602023,0.9370114,0.9331969,1.0472956,0.77665603,0.979096,1.0813016,1.0601434,0.8893689,1.2342016,1.1877533,0.8490273,1.0595225,1.0286522,0.97059256,1.14456,1.0256127,1.2284261,0.82561064,1.0862038,0.9831397,1.0720216,1.0508833,0.87612236,1.0706705,1.2795254,0.9511976,1.1563717,1.1473862,1.0769832,0.9965046,1.0204548,0.8925816,0.9398643,0.9152151,1.0072403,0.9194224,0.95737636,1.0846709,1.1916922,1.1350964,0.73409337,1.1074117,0.93422157,1.0915282,1.2335074,0.97864807,0.7388818,1.16331,1.1205227,1.1600909,0.85668725,1.0012664,1.0086856,1.0488677,1.0774808,0.871717,1.0152237,0.6203232,0.8977008,0.92071736,0.97693163,1.135564,0.95459884,0.98629785,0.9542127,1.0681276,0.84059685,1.2036932,0.9123641,1.3224432,0.8376475,1.1681427,1.1380202,1.1960789,1.1389831,1.0202991,1.1701329,1.0139779,1.07341,1.1828104,0.819813,0.7323993,0.9413698,1.1204506,1.142459,0.70848846,1.0977932,1.0782105,0.9495049,1.0232719,0.53202224,1.0214051,0.8891186,1.2052803,1.1606601,0.94261104
balloon,0.9692606,0.9544745,0.80111074,1.2377819,1.1933722,0.34255636,0.0,0.97299224,0.9382575,1.2777379,1.2756832,0.9156052,1.2034514,1.1915258,0.87986636,1.1989014,1.0468589,0.6983217,0.83808815,1.1223805,1.1339109,0.7880094,0.85886997,1.0497856,0.89028215,0.9753179,1.1261501,1.1818354,1.1633793,0.7645781,1.2290753,1.0401881,0.93987495,0.75977445,1.3064344,1.1206635,0.88985187,1.1488122,0.7197191,0.86188745,1.194335,0.9921791,1.0244527,1.2060757,1.0599272,1.2238233,0.83378124,0.7738334,0.988603,0.5783943,1.0788178,1.0113704,0.7907529,0.79351735,1.1515467,0.89857775,0.8874581,1.080729,1.1967429,0.9970583,1.0572861,0.90152484,1.1197644,1.0195358,1.126167,1.0887871,1.2060425,0.89186305,0.9542794,1.1206931,1.2518604,1.0467443,1.2416091,0.8500348,1.1254355,0.5388929,1.1592746,0.9750508,1.0180817,1.1491919,1.0353237,1.0930765,0.94105077,0.8444234,0.9799485,1.1264257,0.6154132,1.0301037,0.97635704,1.2327558,1.3034513,1.120094,0.9241681,0.9073216,0.8638591,1.1308889,0.8734731,1.0339414,1.1165625,0.874678,0.9765778,0.8499247,0.9265218,0.8363298,1.1324834,0.9711373,1.03905,1.09395,0.93620014,1.0641413,0.9720263,1.2146782,0.8827483,1.2851579,1.031968,1.3381176,0.8959605,1.1545789,1.0764846,1.1759142,0.9320578,0.75964886,1.1969949,0.9965463,0.81812096,1.1288635,0.6788236,0.8702774,1.0309855,1.1112092,1.2408651,0.6352544,0.9883609,1.1078768,1.0254296,0.8528642,0.8117472,1.1580815,0.86652994,0.9877223,1.0907352,1.0180427
banana,0.786799,1.0816798,0.7521813,0.7704487,1.2809207,0.9733832,0.97299224,0.0,0.7225783,1.316397,1.4031157,0.8462848,1.364626,1.2356277,0.96841943,1.399186,1.0860001,0.58835214,0.69382465,1.2726042,0.7367948,1.0412769,1.1763539,0.9625511,1.2268381,0.9666463,0.76158774,1.1997993,1.2861645,0.7601283,1.3433344,1.0677186,1.0094794,0.90699923,1.3814976,0.87843263,0.6186495,1.3204098,0.60132337,1.0537839,1.1031224,0.9290353,0.90437484,1.3818835,1.1511416,1.3469212,0.7901562,0.45627338,1.0693647,0.8883687,0.9475094,0.9014738,0.61734426,0.73938,0.8267411,0.7153752,0.7855533,1.154568,1.1726794,1.0501473,0.8565293,0.7574861,1.0399369,0.6484755,1.094321,0.99539095,1.1798707,0.76103455,1.1399777,1.3318043,1.358273,0.94448286,1.371566,0.7717015,1.1622472,0.8759892,0.97475564,0.6468205,1.0400937,1.0501214,1.2380668,1.0624887,1.0449791,0.7556412,1.0264547,0.92796236,0.6459813,1.1116959,0.9738278,1.3566147,1.2582428,1.2806995,0.9121824,0.7412156,0.77893144,0.62050056,1.041753,1.0735493,1.0514208,0.71547043,0.7109638,1.0391093,0.73845357,0.6243175,1.1438599,0.9063023,0.9238577,1.2311702,0.9456012,0.9866548,0.9895039,1.1621794,0.75398374,1.3563557,1.0483952,1.169913,0.5630672,1.2295874,1.1073668,1.1211472,0.6970097,0.80743974,1.1582178,0.85071456,0.632671,1.0873148,1.0334283,0.91609585,0.9955887,1.1424235,1.2719557,0.6450773,0.8400905,0.876224,0.7692373,1.0951972,0.7275164,1.1275582,1.2108443,0.8157761,1.3202858,1.2021738
basket,0.75359976,1.0719771,1.0003793,1.0394237,1.3965087,1.0173441,0.9382575,0.7225783,0.0,1.293818,1.2512687,0.73602164,1.0437318,1.2796565,0.91505337,1.1940995,0.7956004,0.5369452,0.61537886,0.970764,1.1452101,0.8862413,0.6639899,1.0719327,0.683673,0.7369325,1.0935018,1.2410947,0.9295731,0.50380456,1.1982287,1.0705638,0.9314795,0.9571287,1.3206933,1.2378262,0.60275465,0.77218705,0.61919403,1.0346943,1.0438861,0.9087534,0.90149355,1.1699045,0.60434085,1.2518531,0.9814758,0.9626713,1.1642994,0.9559163,1.0050578,1.1301401,0.694039,0.5990882,1.0702065,0.64496136,0.8556639,1.1128287,1.1176618,1.2313335,0.97989315,0.88425297,1.2232287,0.8015433,1.2254131,1.1275055,1.4078557,0.7341701,1.0934967,1.283846,1.2487797,0.85928494,1.3494201,0.63240796,0.95311517,0.7472899,1.1916769,1.0975598,0.892859,1.2782357,1.203061,1.2098706,1.1906346,0.7934121,0.74498546,0.98379326,0.95650494,0.7422153,1.0261122,1.2859912,1.3427331,1.2146602,0.95409995,0.6995115,0.7023776,0.9109801,0.955527,0.78829074,1.1397009,0.7418132,0.60725313,1.0127789,1.2333946,1.095735,0.9634751,0.74276394,1.0507842,0.8481357,0.9066819,0.8513637,1.0173509,1.1152282,0.7323668,1.4228386,0.99168134,1.2794166,0.9448332,1.2296268,1.094445,1.1140658,0.68959105,0.69283897,1.0770159,0.9681165,0.59967005,1.0250002,0.93906516,0.98178977,0.9695362,1.1280403,1.2763689,0.6269558,0.9899006,1.1085099,0.76670337,0.7463408,0.6908784,1.1372472,0.8975028,0.772891,1.19159,1.1181895
bathtub,1.3599887,1.0688558,1.4369276,0.8862133,0.5951316,1.2833664,1.2777379,1.316397,1.293818,0.0,0.39065403,1.201947,0.41888404,0.5890841,1.0819694,0.39508855,1.0743957,1.4246025,1.2159388,0.76254696,1.2505198,1.066227,0.91625553,1.0607524,0.914425,1.040736,1.1930532,0.5734088,0.77225125,1.4154949,0.45926422,0.891498,1.1760044,1.2204477,0.5101486,1.0510012,1.4793768,0.61985743,1.3578324,1.2151874,0.9245771,1.294933,1.3095864,0.4207741,0.7851409,0.62918407,1.234504,1.4074419,0.6756997,1.2818375,1.1331326,1.262428,1.4114246,1.4217471,1.1893088,1.2926841,1.3890114,0.7992653,1.0467702,0.7414363,1.2982366,1.1849337,0.78108025,1.2472056,1.0127401,0.8263199,0.73579735,1.3482003,1.1534872,0.50675356,0.5490139,0.9870783,0.53486395,1.2797205,0.63712955,1.2226871,0.9449937,0.9829737,1.0093673,0.79854035,0.8063446,0.70252407,0.941421,1.3733217,0.9159651,1.2467933,1.4561335,0.8822686,1.1907523,0.54115057,0.61975193,0.8723233,1.1452236,1.3069054,1.3064137,1.2197535,1.2330024,0.8496493,0.91866744,1.4121964,1.2717456,1.2244158,1.0692121,1.2232325,0.9153026,1.1789975,1.0955708,0.76206756,1.069208,1.0198225,1.0266795,0.91429687,1.296626,0.44752675,0.9611746,0.61613816,1.0946884,0.541986,0.57032704,0.40024912,1.3853261,1.3228366,0.92234105,1.0805508,1.2996039,0.9759276,1.2001185,1.3563186,0.9935228,0.8164181,0.59254295,1.410332,1.3343389,1.1012726,1.1462032,1.0803983,1.362259,0.73595285,0.8395449,1.2886653,0.48425782,1.0750614
