,alligator,apple,arm,ball,balloon,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,bucket,can,car,cat,chair,clock,closet,cloud,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,egg,finger,fish,flower,foot,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,hose,ladder,lamp,mitten,motorcycle,nail,napkin,necklace,nose,pajamas,pants,paper,pen,pencil,pillow,plant,plate,purse,radio,refrigerator,rooster,scissors,shirt,sink,slide,slipper,sock,strawberry,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window
bib,1.0594865,1.0897657,0.8204497,0.95429164,1.0490264,1.179045,0.7732471,0.83838415,1.251049,1.121964,0.0,1.1586113,0.7942338,1.1402379,1.2691531,1.1618066,1.0349364,1.1234367,0.905855,1.2283844,1.2509048,1.1934704,1.0631588,1.276346,1.0667652,0.9681,0.9912897,1.1857774,0.83293736,1.1754285,1.1739335,1.0681945,1.0838926,1.0274838,1.0421703,1.0684143,1.021884,0.86699617,1.2104746,1.1265253,0.94015026,1.1344479,0.54344213,1.0102764,1.099608,0.5043993,0.95353055,0.66175056,0.6687538,1.1622009,1.1127353,0.8414117,1.1903583,1.2407008,0.7563226,1.1718949,0.853556,0.90732366,1.0724938,1.1824784,0.5642864,0.88188696,0.9420712,1.2274364,1.2634099,1.1380231,1.1811414,1.2178605,1.1316227,1.2170875,1.1569134,0.9436792,1.0188679,0.63257986,0.91640323,0.95767665,1.1303957,1.2185714,0.7905737,0.69186896,1.0789541,1.1784928,0.95235395,0.9379701,0.79060304,1.0185528,1.2574065,0.82173985,0.88259304,1.1371329,1.1271373
bird,0.27978766,1.1061901,1.144247,0.9494482,0.7333345,1.0016321,1.229854,1.0966055,1.1111518,1.0861357,1.1586113,0.0,1.0076303,0.69322294,1.0960233,1.0906104,1.1730306,1.0901467,1.0170408,0.9358649,0.9682172,0.6939844,0.85385406,1.1350739,0.80541885,1.0776523,0.8214562,1.1064274,1.295653,1.1492784,1.0934674,1.0837522,0.48757517,0.8543026,1.2033994,1.0550508,0.8748385,1.1322803,0.5441849,0.9293855,1.2750672,0.49257123,1.1825299,1.1799984,1.0831939,1.2476033,1.0082276,1.1067817,1.2007551,0.80193436,0.32789397,1.1374254,1.1543185,1.0245049,1.1168311,0.68694127,1.1847937,1.2527272,1.3016751,1.0020831,1.0908952,1.1254452,1.0654185,1.069194,1.021801,1.1527804,0.952564,1.0996853,0.9887092,1.1325152,1.1048962,1.0704926,1.073806,1.1096574,1.2431433,1.125361,1.1264147,1.2013495,1.0312828,1.1979825,1.0945547,1.0501168,1.1378313,1.2001331,1.2818223,1.1992757,0.7501186,1.1412655,1.1192511,1.2197158,0.82103544
blanket,0.98634964,1.1306214,0.84144956,1.1659808,1.1680014,1.1145759,0.8565366,0.65777564,1.2037344,0.97384584,0.7942338,1.0076303,0.0,1.1133062,1.2576941,1.3459749,1.1476064,0.95335203,1.0323253,1.1677394,1.0519968,1.0121652,0.8360871,1.1439811,1.1106342,0.77612543,1.0921034,1.0043621,0.9688468,1.2991886,0.88721997,1.2954565,0.8619646,0.94961745,0.8740543,0.8291639,1.067455,1.17991,1.2752318,1.3444812,1.1595999,1.0302902,0.86076474,1.0984473,1.1606485,0.9909386,0.8575578,0.8008901,0.8848711,1.1847432,0.98242766,0.92625105,1.0781244,1.2412887,0.9147125,1.0185411,1.1357033,0.72203976,1.1796019,1.2359562,0.75542533,0.73720276,0.8886587,1.3410124,1.2957059,1.2332866,1.2546675,1.3018383,1.0442406,1.0307426,0.9150169,1.022228,1.1346773,0.75390905,0.9430501,0.8028859,1.1917758,1.1984812,1.0468343,0.73911804,0.91106266,1.2408819,1.0975763,1.1668469,0.93438977,0.8350162,1.1254388,0.8218079,1.1545049,1.2016692,1.0049934
boat,0.92678195,1.0535733,1.1939465,0.813643,0.6634069,0.80766875,1.2512317,1.2049447,1.011867,1.0040236,1.1402379,0.69322294,1.1133062,0.0,0.8432245,0.80365855,1.041175,0.941728,1.0396875,0.9308514,1.0216874,0.6654715,0.9147542,1.0974691,0.6390087,1.116058,0.7435002,1.161254,1.3775988,0.98048794,1.0338192,0.74419975,0.7791543,0.8137009,1.2839632,0.9138283,0.89101064,1.1344105,0.5921967,0.7671408,1.2607658,0.5910177,1.1990097,1.1906188,1.038605,1.2198063,1.2550818,1.1754756,1.2842095,0.56044185,0.831859,1.2218834,1.0934895,0.87510616,1.2819767,0.7462175,1.167379,1.1692235,1.2206233,0.92145115,1.1657554,1.2873323,1.1175939,0.79890364,0.7313967,0.9407923,0.8399942,0.7893635,0.8369286,1.0114646,1.116505,1.14299,1.0834115,1.2960572,1.1947454,1.2333586,0.94331163,1.0922794,1.1200745,1.3683513,1.0445467,0.8419039,1.1130644,1.1347581,1.334402,1.0807537,0.5733177,1.0492212,1.0395083,1.0573301,0.90622336
book,1.0193428,0.93287385,1.0527753,0.9527139,0.9983904,0.8018963,1.1523616,1.0218949,0.8721456,0.8539814,1.2691531,1.0960233,1.2576941,0.8432245,0.0,0.7584189,0.873997,0.861089,1.1305006,1.0160079,0.9818108,0.8464769,1.1334221,0.95715284,1.0201755,1.1009986,0.99011654,1.0212249,1.1596444,0.7429966,0.91176766,0.7450986,1.1403353,1.1778477,1.1404567,1.0664364,1.0949341,1.0550435,0.93980986,0.82407624,0.9653195,0.9306164,1.2240169,1.066667,0.959704,1.1806171,1.1903958,1.2727972,1.1637952,0.8884604,1.0640186,1.1433307,0.9184006,0.8583774,1.196276,1.0593041,1.0374304,0.94998574,0.92096853,0.89619726,1.1900012,1.2403833,0.66370165,0.608562,0.60751605,0.63318574,0.90706426,0.6253662,0.85590607,0.8217655,1.093014,1.136697,0.8087879,1.2664822,1.0738349,1.1542927,0.77515304,0.8931917,1.1533499,1.3007472,0.80338234,0.6913464,1.0785094,0.94928974,1.0032645,0.9109896,0.78775704,0.96081984,1.0869225,0.86666846,0.9830602
bottle,1.3104815,0.8466368,1.2029213,0.6368543,0.6386818,0.8695638,1.319644,1.5116235,0.49753428,1.3379736,1.1618066,1.0906104,1.3459749,0.80365855,0.7584189,0.0,0.5694581,1.3616296,1.0598704,0.80300325,1.1387174,1.0835147,1.094742,1.0918915,0.6936765,1.3806665,0.89085424,1.2769573,1.0942463,0.23811209,1.4119796,0.17756295,1.0710938,1.0243217,1.3826827,1.3869718,0.8399148,0.9284371,0.4785009,0.36713845,0.7583457,0.99104375,1.3659995,0.633451,0.73078036,0.96272665,1.2822442,1.3878691,1.3264906,0.49756658,1.1877873,1.2527093,1.1269206,0.4540558,1.3021088,1.1999863,0.603666,1.123099,0.6350367,0.37653744,1.3856025,1.3761351,1.3810412,0.5611445,0.6093094,0.555712,0.50683004,0.39080757,1.0325612,0.8500325,1.2111642,1.0564775,1.1257365,1.431598,1.2752523,1.3865197,0.39132094,0.60617006,0.9531459,1.4187862,1.4153209,0.26035756,0.8519151,0.6178186,1.2735257,0.8809692,0.71106,1.3782904,1.0109959,0.3527431,1.190606
bowl,1.3022919,0.8378507,1.1923674,0.8003603,0.7935746,0.8678043,1.1550262,1.3298297,0.7917635,1.1096551,1.0349364,1.1730306,1.1476064,1.041175,0.873997,0.5694581,0.0,1.2867475,0.9033319,0.957098,1.2836022,1.2349012,0.97060156,1.1944466,1.0167062,1.2460055,1.0023787,1.305826,0.8119547,0.58235997,1.2193787,0.59833705,1.1098723,1.2208036,1.2670573,1.2667403,1.0134554,0.91569185,0.7810868,0.8864097,0.54685944,1.1156687,1.1245575,0.5220237,0.841666,0.81649077,1.0403972,1.1777215,1.272906,0.68140435,1.2148635,1.2271965,1.1169332,0.8974241,1.1506367,1.2297347,0.509545,0.8830382,0.52335227,0.71053493,1.3054843,1.2836852,1.3649775,0.6903006,0.7177805,0.5397859,0.86772704,0.2511238,1.0685512,0.8977319,1.273444,0.90241224,1.2516882,1.2003037,1.2006856,1.3040633,0.19538057,0.7164464,0.8977232,1.2141967,1.1742792,0.6640558,0.83670914,0.26878077,1.0665746,0.6800155,0.7557076,1.2891036,1.0813158,0.5747277,1.2140915
box,0.96847814,1.1454492,1.0867469,1.2570376,1.2815564,0.85291696,0.71862227,0.71462524,1.1347191,0.59793335,1.1234367,1.0901467,0.95335203,0.941728,0.861089,1.3616296,1.2867475,0.0,1.1413122,1.0230713,0.71218044,0.88670075,1.016951,0.7194567,1.0854629,0.7697254,1.1409614,0.7048304,1.1594998,1.3459783,0.5232753,1.2742691,1.1886942,0.9962378,0.76063174,0.17554164,1.1465218,1.1291,1.355134,1.3291028,1.2766144,1.0889063,0.8345907,1.3229342,1.1835243,1.1674297,1.0570129,0.82120025,0.9892983,1.2957453,1.0192994,1.0066627,0.78682846,1.2286092,1.0802977,0.8528632,1.3599199,0.9893178,1.2890496,1.2548835,0.8892265,0.90379083,0.6983137,1.1710796,1.1140537,1.2284259,1.3287225,1.2261466,0.76329005,0.8976779,0.78026,1.0942748,0.9233518,0.95681167,0.8549977,0.9024671,1.3525567,1.1611838,1.1604627,0.96000814,0.5532474,1.1520545,1.3471972,1.3187102,0.93904203,1.1876776,1.0759808,0.36211604,1.1100371,1.2727786,0.83623475
bread,1.0765339,0.7841565,0.930799,1.2308471,1.1482373,1.1104516,0.9114726,1.2396288,1.0954729,0.91935533,0.905855,1.0170408,1.0323253,1.0396875,1.1305006,1.0598704,0.9033319,1.1413122,0.0,0.9697902,1.0285051,1.141613,1.006928,1.018249,1.1425056,1.1901481,1.044508,1.1500381,0.57813025,1.0838444,1.1870507,1.1494277,0.98942786,0.87964475,1.1516356,1.1732727,0.97795415,0.84831375,1.0119226,1.0968634,0.840849,1.2002746,0.83937883,0.87584174,0.86617947,0.6280312,1.087257,0.97047824,0.96614337,1.1931293,1.1367038,0.9228781,0.98858875,0.93317014,0.7697996,1.0504175,0.82109797,0.8849009,0.844363,1.059258,1.0472182,1.0725187,1.180459,1.1147922,1.1344595,0.87188697,1.0062287,1.0943044,1.1257954,1.043092,1.0647132,0.851393,0.813883,1.0487778,0.88543427,1.0635711,0.86873657,0.9743807,0.7374007,1.0539324,0.97661716,1.0639641,0.7472923,0.92993605,0.8368665,0.761215,1.144458,1.1727192,0.7205411,0.9770363,1.3108828
bucket,1.0804237,0.893857,1.1646507,0.97281605,0.81463176,0.9532742,1.0085375,1.3009986,0.9121356,1.0216414,1.2283844,0.9358649,1.1677394,0.9308514,1.0160079,0.80300325,0.957098,1.0230713,0.9697902,0.0,0.8601309,1.056762,0.96019,0.72542363,0.8991663,1.187953,1.0087775,0.90396005,1.0023832,0.9152482,1.0744536,0.88561445,1.00361,0.9633455,1.0314976,1.0656112,0.932706,0.9171089,0.8534882,0.9588959,0.97535574,0.95809126,1.2513468,0.8716331,0.7999796,1.0606853,1.0717901,1.1782153,1.1209252,0.86841476,0.9727994,1.0411675,0.92169523,0.7924518,1.029142,1.0302743,0.9632433,1.0661386,0.9195916,0.87748396,1.3100672,1.1988558,1.1614368,0.8662561,0.929696,0.88366735,0.9527345,0.9782672,0.99264127,0.8538126,0.8812736,0.9994724,1.0281659,1.3205197,0.9308251,1.0023764,0.8673308,0.84606683,1.0166713,1.2013098,1.1443381,0.7454344,0.92639804,0.95111394,1.0695698,0.94871914,0.87969244,1.2071564,0.86257744,0.9401773,1.0278399
