,alligator,apple,arm,ball,balloon,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,bucket,can,car,cat,chair,clock,closet,cloud,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,egg,finger,fish,flower,foot,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,hose,ladder,lamp,mitten,motorcycle,nail,napkin,necklace,nose,pajamas,pants,paper,pen,pencil,pillow,plant,plate,purse,radio,refrigerator,rooster,scissors,shirt,sink,slide,slipper,sock,strawberry,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window
can,0.9705431,0.9111436,1.0781796,1.2597888,1.2322793,0.9158534,0.7764253,1.0255048,1.0184315,0.82780313,1.2509048,0.9682172,1.0519968,1.0216874,0.9818108,1.1387174,1.2836022,0.71218044,1.0285051,0.8601309,0.0,0.95210266,1.0475291,0.24502504,1.0469345,0.83553797,0.99783343,0.34860098,1.181711,1.091614,0.64811105,1.0614358,1.0650356,0.91491115,0.65895355,0.8517972,1.0333585,1.198395,1.1228496,1.0492136,1.2552205,1.0757271,1.0710175,1.2119516,1.032927,1.2795489,1.0736959,1.0200119,1.1799798,1.1768134,0.98211837,0.9453534,0.8017703,0.8713954,1.1658281,0.97323817,1.264988,1.133559,1.1935179,1.0990176,1.1668482,0.9896463,0.7922006,1.1896465,1.157828,1.1425987,1.0447947,1.2383475,0.85175323,0.7677962,0.33064723,1.1628952,1.0080429,1.1346467,0.7788002,0.9339852,1.2435257,0.9977788,1.0909733,1.1446432,0.86423385,1.071833,1.15453,1.2744582,1.1530312,1.1604577,1.0450752,1.0405294,0.94429886,1.1637039,0.9722004
car,0.7551894,1.1163713,1.1474992,0.94139445,0.8954337,0.9325151,1.0800759,0.9839885,1.0511785,0.96405494,1.1934704,0.6939844,1.0121652,0.6654715,0.8464769,1.0835147,1.2349012,0.88670075,1.141613,1.056762,0.95210266,0.0,0.8900996,1.0315495,0.87145334,0.9309191,0.84392,0.9993495,1.2812406,1.1474962,0.81767344,1.0531929,0.7714958,0.8404869,1.1710052,0.8886742,1.0229198,1.1554763,0.9172348,0.9295911,1.2857116,0.6138393,1.1537505,1.2275152,1.1820377,1.2834638,1.0742614,1.1544852,1.1699275,0.87731856,0.6695974,1.0890605,1.0438169,1.0405475,1.1879674,0.35357696,1.323379,1.2149191,1.3714544,1.1064099,1.0200604,1.0996115,0.97969747,1.0411628,0.96747696,1.0986171,0.9016789,1.0258552,0.87846744,1.0883828,1.0705183,1.0868406,1.0301032,1.0807523,1.0914772,1.1174141,1.22663,1.204009,1.1860031,1.1347249,0.93372273,0.98191696,1.2724848,1.2817838,1.2266397,1.2065867,0.6723356,0.89354897,1.0259951,1.2753875,0.6879982
cat,0.98651326,0.8281858,1.2015129,0.9698082,0.9167002,1.0009449,1.0566385,0.99624634,1.132861,0.94214565,1.0631588,0.85385406,0.8360871,0.9147542,1.1334221,1.094742,0.97060156,1.016951,1.006928,0.96019,1.0475291,0.8900996,0.0,1.0754308,1.0441202,0.9919656,1.1355419,1.0367264,1.0641546,1.1084528,0.9132398,1.1032705,0.3979441,0.86602706,1.0012141,0.919386,0.9850122,1.2829119,1.0342356,1.0359241,1.1649309,0.8725277,1.0192932,1.0415255,1.2054086,1.2332647,0.86774623,0.988582,1.1634084,0.85457575,0.8786092,1.054842,1.0622405,0.98215663,0.9684798,0.91269696,1.1438714,0.99338377,1.2356722,1.0673189,1.0101159,0.9611945,1.0423267,1.1235051,1.1285982,1.0578197,0.9061194,1.0709584,0.98907745,1.0658106,1.0548245,1.0108505,1.1058881,1.0385993,1.0247569,0.9517591,0.9567853,1.174862,1.1156482,1.0128291,0.90162563,1.0530838,1.1737828,1.0467029,1.1415163,0.9880012,0.65552735,0.9892169,1.0734588,1.1103027,1.0198365
chair,1.1039088,0.7539953,1.113722,1.2758023,1.3220088,0.9288012,0.64686656,1.1110904,0.872886,0.73329735,1.276346,1.1350739,1.1439811,1.0974691,0.95715284,1.0918915,1.1944466,0.7194567,1.018249,0.72542363,0.24502504,1.0315495,1.0754308,0.0,1.1388037,0.8818407,1.1356738,0.18878102,1.0755405,1.0252123,0.59725225,1.0956451,1.1737185,0.95221186,0.55358565,0.9021281,1.1418521,1.1249404,1.1682601,1.0458112,1.1696072,1.2291753,1.1663418,1.1652778,0.84446144,1.2991962,1.1522126,1.0397546,1.2234255,1.2540121,1.1230116,0.698714,0.54983056,0.7711814,1.2348179,1.1087177,1.2892828,1.019272,1.0298746,1.1369983,1.2866151,0.96554375,0.9160507,1.1119803,1.0899183,0.95801723,0.95759326,1.1380075,0.8943304,0.6819689,0.406196,1.1701293,0.9803626,1.2071724,0.5959066,0.789132,1.1713526,0.70874643,1.1469777,1.0473878,0.8024813,1.049154,1.1203569,1.2095157,1.0055506,0.9940259,1.126743,1.1257051,0.6959426,1.0294995,1.0840857
clock,0.9298885,1.0595301,1.1592674,0.8502064,0.6756722,0.91350365,1.2298505,1.2216456,0.97618145,1.1269687,1.0667652,0.80541885,1.1106342,0.6390087,1.0201755,0.6936765,1.0167062,1.0854629,1.1425056,0.8991663,1.0469345,0.87145334,1.0441202,1.1388037,0.0,1.1429558,0.8052374,1.193738,1.2719449,0.90920585,1.1658738,0.7262293,0.8509259,0.9161129,1.213306,1.0321902,0.7813723,1.0291624,0.65640676,0.7575946,1.14075,0.74648494,1.1846893,1.0406394,1.0135908,1.020816,1.2168313,1.1925205,1.1460227,0.7097695,0.88422734,1.2764833,1.113016,0.88498497,1.1886235,0.9238378,0.9598154,1.135413,1.0770677,0.7371948,1.1820178,1.1670902,1.2000201,0.92043275,0.88282984,0.9679207,0.8291477,0.90927124,0.9452279,0.88015056,1.1761323,1.0806472,1.1926193,1.3091067,1.2001126,1.2341682,0.918992,1.0256279,0.9452992,1.320842,1.1593928,0.6299979,1.0846672,1.0251242,1.2793977,1.1468792,0.7826247,1.0354981,1.091619,0.8986829,0.82769424
closet,0.94222397,1.0024929,0.8464935,1.2186501,1.2932234,1.0239019,0.8770897,0.7001381,1.2617631,0.72056127,0.9681,1.0776523,0.77612543,1.116058,1.1009986,1.3806665,1.2460055,0.7697254,1.1901481,1.187953,0.83553797,0.9309191,0.9919656,0.8818407,1.1429558,0.0,1.1106668,0.69938505,1.1156218,1.3019812,0.386643,1.3100164,0.9885668,0.8361138,0.6984919,0.6574075,1.1357635,1.2454754,1.3442848,1.2210954,1.2255166,1.135291,0.8086995,1.2794983,1.2967271,1.1816142,0.8875935,0.7538923,0.9904906,1.2749188,1.0376457,0.9473127,0.98735523,1.3175144,0.92453015,0.9830429,1.3659024,1.0097845,1.2902222,1.3316276,0.71686715,0.775972,0.80328834,1.2679225,1.2234291,1.3201821,1.1856468,1.2501426,0.92478096,1.1028721,0.7668939,0.9754189,1.0617768,0.7838026,0.91288334,0.772257,1.3921211,1.2405031,1.1895581,0.828187,0.661786,1.2905922,1.2033843,1.2437744,1.0417373,1.1743255,1.1297668,0.7453303,1.1121843,1.3256842,0.9213587
cloud,0.8866132,1.0505716,1.1082075,0.7023026,0.65465647,1.0712811,1.2301,1.0811992,0.8982321,1.1503247,0.9912897,0.8214562,1.0921034,0.7435002,0.99011654,0.89085424,1.0023787,1.1409614,1.044508,1.0087775,0.99783343,0.84392,1.1355419,1.1356738,0.8052374,1.1106668,0.0,1.1385071,1.1253749,1.0011739,1.2112956,0.8609171,0.92223084,1.0700283,1.2625701,1.1839646,0.92836666,0.9183715,0.5763827,0.84906185,1.0556917,0.74517083,1.1013011,1.1088235,0.87754095,1.0217214,1.0927244,1.1025219,1.1675214,0.85332185,0.75075114,1.1404961,1.1847094,0.9514815,1.1578069,0.8454099,0.9922941,1.0612037,1.0854174,0.7920157,1.0935004,1.2327949,1.0007572,0.9139488,0.8773518,0.96042514,0.98394465,0.8820604,1.0861228,1.131497,1.0870107,1.130191,1.1319511,1.1658121,1.2764661,1.1930519,0.96151763,1.0356971,0.8798685,1.2410991,1.1993139,0.9294725,1.0833372,1.026645,1.1732374,0.96747506,1.0568223,1.1608304,1.1272002,1.0087581,0.8339964
couch,0.9784053,0.89613426,1.0179813,1.2359567,1.3551291,1.0586549,0.5839778,0.73083913,1.0059153,0.6955752,1.1857774,1.1064274,1.0043621,1.161254,1.0212249,1.2769573,1.305826,0.7048304,1.1500381,0.90396005,0.34860098,0.9993495,1.0367264,0.18878102,1.193738,0.69938505,1.1385071,0.0,1.150767,1.2006994,0.56281847,1.2097247,1.1314772,1.037948,0.46332026,0.82502997,1.2062297,1.1795235,1.2946916,1.1859252,1.2327206,1.1420083,1.023064,1.2054589,1.0301843,1.2982874,0.8823713,0.8881068,1.0691454,1.306314,1.0301794,0.7861269,0.829934,1.0034041,1.1382567,1.0399803,1.381073,1.0539666,1.1969748,1.299574,1.0844169,0.86219525,0.75595766,1.2144054,1.1606243,1.1516452,1.1337403,1.2599416,0.98488384,0.8097282,0.4337381,1.1535789,1.0581094,0.9378371,0.5599796,0.73997474,1.367621,0.9305551,1.183081,0.797485,0.7234255,1.2143134,1.2136708,1.2993047,1.0087394,1.107163,1.1630547,0.9200679,0.901786,1.1782049,0.9050863
cracker,1.2297769,0.87589914,0.8689536,1.2234678,1.2603803,1.1748605,0.873615,1.1051236,1.1630409,1.0173436,0.83293736,1.295653,0.9688468,1.3775988,1.1596444,1.0942463,0.8119547,1.1594998,0.57813025,1.0023832,1.181711,1.2812406,1.0641546,1.0755405,1.2719449,1.1156218,1.1253749,1.150767,0.0,1.0203409,1.0985076,1.1884962,1.1680099,1.1043897,1.012399,1.1255478,1.0789527,0.6866719,1.2693888,1.2350471,0.6209023,1.3656158,0.7841362,0.63923633,0.9024814,0.6140504,0.961099,0.89366424,0.6613701,1.2874541,1.2888284,0.8609009,0.9333966,1.1050172,0.591825,1.2144833,0.71138805,0.7126236,0.6813642,1.1287153,1.003937,0.8421108,1.1176287,1.1203797,1.2038848,0.9113023,1.1078517,1.0943934,1.18472,1.0871915,1.0337154,0.6774813,0.7329849,0.95276296,0.81988287,0.9868506,0.9125762,0.9037948,0.8084743,0.8446832,1.0152211,1.197904,0.64754206,0.76019144,0.34753358,0.70272446,1.3082554,1.1052394,0.81540895,1.0026268,1.3669437
crayon,1.2845652,0.8797228,1.1383977,0.7710117,0.8323104,0.89524955,1.3588506,1.3999363,0.47270674,1.3552291,1.1754285,1.1492784,1.2991886,0.98048794,0.7429966,0.23811209,0.58235997,1.3459783,1.0838444,0.9152482,1.091614,1.1474962,1.1084528,1.0252123,0.90920585,1.3019812,1.0011739,1.2006994,1.0203409,0.0,1.3283806,0.2389934,1.1384281,1.0313611,1.3044116,1.3598907,0.9128252,0.97838944,0.59750366,0.32321596,0.63170594,1.0506755,1.3395382,0.5846978,0.70320904,1.0688555,1.1926532,1.3815287,1.3069943,0.60231054,1.2540958,1.2078577,1.0373945,0.4127009,1.3133003,1.2356308,0.57896465,1.2162081,0.44324368,0.38949478,1.3361225,1.2686999,1.3603628,0.6098561,0.69083345,0.58076984,0.46224606,0.3767326,1.0455192,0.8769762,1.1609209,1.0806175,1.0607262,1.3291734,1.3331959,1.3262653,0.40477765,0.5142758,1.0374755,1.3324184,1.3855147,0.5676658,0.7378415,0.5085475,1.2328149,0.9506236,0.79918456,1.4384402,1.0045022,0.23990083,1.1852931
crib,0.9539827,0.99461824,1.066739,1.3201098,1.3732858,0.7654105,0.7769248,0.8129858,1.280261,0.43019587,1.1739335,1.0934674,0.88721997,1.0338192,0.91176766,1.4119796,1.2193787,0.5232753,1.1870507,1.0744536,0.64811105,0.81767344,0.9132398,0.59725225,1.1658738,0.386643,1.2112956,0.56281847,1.0985076,1.3283806,0.0,1.3871726,1.0241978,0.83896244,0.6071663,0.45687526,1.1762147,1.3004876,1.4425961,1.2863204,1.3287954,1.1781502,0.94095385,1.3076503,1.3449335,1.3049405,1.0589674,0.88127697,1.0922705,1.3026989,1.0651133,0.8634124,0.7024076,1.2675438,1.0743355,0.9214084,1.471542,0.9268543,1.3280728,1.420589,0.93757063,0.8570843,0.85824823,1.203688,1.1594331,1.2395933,1.1486456,1.2224157,0.66083455,0.9020936,0.7040749,0.9859174,0.87069136,0.9668725,0.70602036,0.81167233,1.3502537,1.251991,1.2233425,0.9956235,0.37517822,1.2803502,1.2979928,1.2957252,0.9221836,1.1107193,0.92143536,0.6985598,0.8946966,1.4066943,0.97587174
cup,1.2688997,0.8705961,1.2241547,0.57798207,0.65741616,0.87895477,1.3682537,1.3680007,0.5615319,1.3542316,1.0681945,1.0837522,1.2954565,0.74419975,0.7450986,0.17756295,0.59833705,1.2742691,1.1494277,0.88561445,1.0614358,1.0531929,1.1032705,1.0956451,0.7262293,1.3100164,0.8609171,1.2097247,1.1884962,0.2389934,1.3871726,0.0,1.0574256,1.1092854,1.3387129,1.3198141,0.8946695,1.0372221,0.5417331,0.35289395,0.80868524,0.9473761,1.2024641,0.7907649,0.7863903,1.0389513,1.2002585,1.2680216,1.2517711,0.48419183,1.1859549,1.3110342,1.1824642,0.52712154,1.2849185,1.1590906,0.68366057,1.2155315,0.71278304,0.4415295,1.2834775,1.3080146,1.2777739,0.6129019,0.66393566,0.6665144,0.5867638,0.35530245,1.0302417,0.91455305,1.1463773,1.1275097,1.1707969,1.318013,1.3186438,1.3676277,0.47907507,0.67342716,1.0363895,1.3886589,1.4000648,0.44286144,0.9332851,0.6533431,1.2953283,1.03662,0.686038,1.3104235,1.1390028,0.39968222,1.1107606
dog,0.69408804,0.954959,1.1087439,0.8915111,0.8016734,0.9773187,1.2360264,1.0431632,1.1309786,0.9660899,1.0838926,0.48757517,0.8619646,0.7791543,1.1403353,1.0710938,1.1098723,1.1886942,0.98942786,1.00361,1.0650356,0.7714958,0.3979441,1.1737185,0.8509259,0.9885668,0.92223084,1.1314772,1.1680099,1.1384281,1.0241978,1.0574256,0.0,0.7325767,1.196249,1.0928245,0.951811,1.2940193,0.7408695,0.90259504,1.2931516,0.6427865,1.1216524,1.1094931,1.2056488,1.3046224,0.9321622,1.0776552,1.1702678,0.73304904,0.5345694,1.1363121,1.1658301,1.0165699,0.9973237,0.868958,1.2193335,1.1538535,1.3244152,1.05735,1.0047325,0.98153996,1.0868425,1.1504805,1.1309781,1.1133983,0.8299719,1.0845782,0.9633815,1.1655693,1.1010834,0.9516158,1.088388,1.0506506,1.2191452,1.0610443,1.0335884,1.240954,1.1228079,1.0860554,0.94222456,1.069956,1.1319673,1.1841333,1.2565815,1.0875678,0.63661015,1.0938547,1.1159047,1.1826766,0.99124825
doll,0.99154115,0.90563875,1.0464078,1.1369475,1.0232948,0.8394284,1.0969021,1.0571307,1.0698329,0.99053437,1.0274838,0.8543026,0.94961745,0.8137009,1.1778477,1.0243217,1.2208036,0.9962378,0.87964475,0.9633455,0.91491115,0.8404869,0.86602706,0.95221186,0.9161129,0.8361138,1.0700283,1.037948,1.1043897,1.0313611,0.83896244,1.1092854,0.7325767,0.0,1.1624228,0.9280693,0.93396515,1.1386315,0.94394183,0.7851163,1.2554917,0.9485045,1.0608705,1.1000428,1.1545142,1.1290243,1.1339972,1.11869,1.1028354,0.86602795,1.0416313,1.0252211,0.96348846,0.896317,1.0253772,0.8695979,1.2325547,1.1195204,1.1850573,1.035046,1.0002562,1.012936,1.1660744,1.0918381,1.0750718,1.0061461,0.7076956,1.1282779,0.82890344,1.1001943,1.0557023,0.74439836,0.87426835,1.0915323,1.1572813,1.1309077,1.1194144,1.1647861,1.1187598,1.0764887,1.0261083,1.0440881,0.99369717,1.1804271,1.1909873,1.0470508,0.76498747,1.1753589,0.7598464,1.1573405,1.0837326
door,1.0117608,0.94828486,1.0435661,1.2193762,1.4383233,1.1050287,0.5760941,0.69777024,1.1043159,0.700074,1.0421703,1.2033994,0.8740543,1.2839632,1.1404567,1.3826827,1.2670573,0.76063174,1.1516356,1.0314976,0.65895355,1.1710052,1.0012141,0.55358565,1.213306,0.6984919,1.2625701,0.46332026,1.012399,1.3044116,0.6071663,1.3387129,1.196249,1.1624228,0.0,0.7359698,1.2249103,1.1965429,1.4328178,1.3523493,1.1358899,1.2505656,0.87222433,1.255111,1.1828529,1.1594018,0.8459672,0.7361711,0.8810909,1.4013813,1.120423,0.67416847,0.66960377,1.2346542,0.88740534,1.0949457,1.3176862,0.910925,1.2261457,1.3306403,0.92965263,0.6307521,0.74362075,1.2926044,1.2672467,1.3008885,1.2441607,1.3765049,1.0109254,0.80341756,0.4085287,1.0699266,1.0352103,0.78268486,0.53407156,0.5139493,1.3854091,1.067708,1.1676004,0.6228227,0.6676402,1.2757883,1.2883618,1.2629869,0.8096953,1.1705006,1.2988737,0.72866344,0.91198015,1.2201004,0.9230201
drawer,0.9454217,1.2282526,1.0758561,1.2206825,1.2411778,0.902742,0.81419766,0.7392571,1.2471318,0.66177607,1.0684143,1.0550508,0.8291639,0.9138283,1.0664364,1.3869718,1.2667403,0.17554164,1.1732727,1.0656112,0.8517972,0.8886742,0.919386,0.9021281,1.0321902,0.6574075,1.1839646,0.82502997,1.1255478,1.3598907,0.45687526,1.3198141,1.0928245,0.9280693,0.7359698,0.0,1.1183141,1.1727813,1.3797057,1.3422849,1.2647312,1.024867,0.8312267,1.2977184,1.2936685,1.1562712,0.9690552,0.80170226,0.9604474,1.2152041,1.0014617,1.0109049,0.84921455,1.2850657,1.0212005,0.8149362,1.3274119,0.96272624,1.3202729,1.28441,0.8435294,0.8802084,0.8956644,1.2254821,1.1536319,1.3618977,1.2939934,1.2566905,0.7933469,0.934908,0.8510794,1.0261638,0.96948314,0.909552,0.8593173,0.87827253,1.338533,1.295449,1.166185,0.94121325,0.5820552,1.2149017,1.307359,1.2811948,0.9406216,1.2043346,0.9904192,0.40594637,1.0969303,1.3005271,0.87441957
egg,1.0645221,0.8074882,1.0637722,0.8018534,0.5692472,0.9936425,1.1873347,1.2230595,1.0514224,1.1184573,1.021884,0.8748385,1.067455,0.89101064,1.0949341,0.8399148,1.0134554,1.1465218,0.97795415,0.932706,1.0333585,1.0229198,0.9850122,1.1418521,0.7813723,1.1357635,0.92836666,1.2062297,1.0789527,0.9128252,1.1762147,0.8946695,0.951811,0.93396515,1.2249103,1.1183141,0.0,1.0238017,0.8486305,0.8129419,0.9906258,0.8852175,1.1040174,1.0127288,0.9971798,1.0927162,1.1236297,1.0900817,1.1274226,0.7489047,1.0689156,1.1572737,1.097019,0.7807436,1.0987086,1.0240756,0.8176011,1.1755977,1.0364034,0.7278802,1.1302382,1.1034911,1.0891209,0.9454085,0.98050004,0.92358357,0.8527519,0.9775362,1.0086857,1.0424696,1.1424153,1.087517,1.006975,1.2003741,1.1070093,1.1590242,0.8681177,1.0115517,0.9560493,1.1875693,1.1600595,0.85215694,0.83349925,1.0104458,1.2609842,1.14395,0.76152843,1.1714715,1.0926715,0.92521536,1.0177486
finger,1.0250833,1.2372191,0.7204618,0.8920694,0.87244976,1.173585,0.93800545,1.158867,0.86784923,1.2528485,0.86699617,1.1322803,1.17991,1.1344105,1.0550435,0.9284371,0.91569185,1.1291,0.84831375,0.9171089,1.198395,1.1554763,1.2829119,1.1249404,1.0291624,1.2454754,0.9183715,1.1795235,0.6866719,0.97838944,1.3004876,1.0372221,1.2940193,1.1386315,1.1965429,1.1727813,1.0238017,0.0,0.88394016,1.1022583,0.7237681,1.0681341,1.013901,0.77244234,0.66872853,0.54258794,1.161693,1.1428388,0.6236174,1.0692372,1.0254902,1.0608063,1.0228882,1.0809336,0.8097508,1.0803993,0.5966954,0.88887,0.59630966,0.9360741,1.0417666,1.0471363,1.0939293,0.80597144,0.80350196,0.8239159,1.1985748,0.9423005,1.1938918,1.0887953,1.2351478,0.93856955,0.9121201,1.1136894,0.9503639,1.1723962,0.9739126,0.8053851,0.6508972,0.98600644,1.31779,1.0076928,0.5868652,0.8306899,0.69820285,0.82259643,1.2676086,1.1878784,0.94642043,0.8865767,1.014726
fish,0.81004363,1.0334641,1.2295425,0.61519134,0.41967905,0.9166813,1.3661307,1.4537671,0.579546,1.3359723,1.2104746,0.5441849,1.2752318,0.5921967,0.93980986,0.4785009,0.7810868,1.355134,1.0119226,0.8534882,1.1228496,0.9172348,1.0342356,1.1682601,0.65640676,1.3442848,0.5763827,1.2946916,1.2693888,0.59750366,1.4425961,0.5417331,0.7408695,0.94394183,1.4328178,1.3797057,0.8486305,0.88394016,0.0,0.46831578,1.0224701,0.588369,1.4244468,0.86936545,0.6784678,1.1464533,1.1927431,1.3362808,1.3889184,0.42217952,0.705096,1.2203312,1.2567514,0.61798966,1.3182938,0.9915677,0.8635369,1.2607661,0.85819626,0.5290303,1.3603694,1.4037719,1.2932874,0.61120915,0.6004137,0.7375309,0.6468744,0.5620757,1.0345019,1.0154085,1.2447988,1.1464329,1.1579175,1.4151174,1.387213,1.3312552,0.646912,0.70990187,0.97382766,1.4316314,1.4220002,0.61814743,1.000015,0.8157643,1.4078562,0.9838794,0.73401916,1.4791709,1.0575889,0.64254236,1.0171782
flower,1.1335365,0.79548115,1.1891514,0.71185005,0.66970193,0.8327499,1.4406435,1.4168247,0.60312265,1.2529405,1.1265253,0.9293855,1.3444812,0.7671408,0.82407624,0.36713845,0.8864097,1.3291028,1.0968634,0.9588959,1.0492136,0.9295911,1.0359241,1.0458112,0.7575946,1.2210954,0.84906185,1.1859252,1.2350471,0.32321596,1.2863204,0.35289395,0.90259504,0.7851163,1.3523493,1.3422849,0.8129419,1.1022583,0.46831578,0.0,1.0000601,0.87948877,1.3130813,0.88450766,0.87007284,1.1828274,1.1950617,1.3461393,1.3468227,0.4770956,1.1159978,1.1979576,1.1174455,0.38407552,1.2923772,1.0858026,0.8543272,1.3513142,0.87452954,0.49611288,1.2498437,1.2811196,1.3001616,0.6741913,0.73915476,0.7471235,0.20861465,0.5436873,0.9389486,0.9611418,1.1523911,1.093144,1.0274218,1.3418878,1.3948685,1.2909878,0.655801,0.75098133,1.0221255,1.3942235,1.3007782,0.5962174,0.9254031,0.85039264,1.389371,1.1198767,0.67503846,1.4182696,1.0162241,0.5140508,1.1002996
foot,1.2625525,0.9012792,0.82375383,0.97970825,1.0307397,1.1829531,1.0612348,1.083964,0.87117344,1.3318524,0.94015026,1.2750672,1.1595999,1.2607658,0.9653195,0.7583457,0.54685944,1.2766144,0.840849,0.97535574,1.2552205,1.2857116,1.1649309,1.1696072,1.14075,1.2255166,1.0556917,1.2327206,0.6209023,0.63170594,1.3287954,0.80868524,1.2931516,1.2554917,1.1358899,1.2647312,0.9906258,0.7237681,1.0224701,1.0000601,0.0,1.2466273,1.1095297,0.48189443,0.7375026,0.6835187,0.9381803,1.0707644,0.9213069,1.012688,1.1966381,1.0818379,1.0298495,0.9690834,0.961338,1.2175725,0.3747611,0.9213333,0.39985216,0.7658317,1.1350391,1.0996013,1.2227951,0.8648487,0.949958,0.62263465,0.98333037,0.68009484,1.2762811,1.0482056,1.2463086,0.82104087,1.1369659,1.0217034,1.1432076,1.1882763,0.6282631,0.6778335,0.8220143,0.87686354,1.3218524,0.9282106,0.56121,0.373981,0.77207446,0.7801182,1.1941348,1.2103181,1.0231675,0.6353128,1.1786005
frog,0.5846023,1.284069,1.0965364,0.7478526,0.49149907,0.99858713,1.2490869,1.0346019,1.03205,1.1757952,1.1344479,0.49257123,1.0302902,0.5910177,0.9306164,0.99104375,1.1156687,1.0889063,1.2002746,0.95809126,1.0757271,0.6138393,0.8725277,1.2291753,0.74648494,1.135291,0.74517083,1.1420083,1.3656158,1.0506755,1.1781502,0.9473761,0.6427865,0.9485045,1.2505656,1.024867,0.8852175,1.0681341,0.588369,0.87948877,1.2466273,0.0,1.188712,1.1476848,1.0743301,1.2790923,1.0467856,1.2328035,1.1594775,0.5373953,0.51981395,1.1830924,1.1932658,1.0199802,1.22037,0.61505854,1.1727464,1.3069983,1.2503521,0.9034617,1.0469499,1.2419876,0.99107295,0.88466436,0.8109765,1.1049557,0.9523691,0.98149467,0.96845174,1.0082119,1.2052122,1.1479928,1.1028996,1.1528363,1.2498304,1.2453943,1.0572172,1.1923838,1.1157826,1.2266599,1.1588566,0.932784,1.1519327,1.1490266,1.4150178,1.2123014,0.5340714,0.9561063,1.1390935,1.1470644,0.58605313
glass,1.0038354,1.0715696,0.90113425,1.1688905,1.3133582,1.1627045,0.8340622,0.70633,1.3036735,0.85159385,0.54344213,1.1825299,0.86076474,1.1990097,1.2240169,1.3659995,1.1245575,0.8345907,0.83937883,1.2513468,1.0710175,1.1537505,1.0192932,1.1663418,1.1846893,0.8086995,1.1013011,1.023064,0.7841362,1.3395382,0.94095385,1.2024641,1.1216524,1.0608705,0.87222433,0.8312267,1.1040174,1.013901,1.4244468,1.3130813,1.1095297,1.188712,0.0,1.2168243,1.2778908,0.7421254,0.85529506,0.46274728,0.57125133,1.335866,1.1031698,0.8904629,1.0307418,1.3323514,0.6435067,1.0341247,1.1773937,0.84849644,1.2120348,1.3274635,0.459386,0.8517099,0.7799698,1.3153293,1.3376788,1.3076277,1.296006,1.3542874,1.0785254,1.2310938,0.91443264,0.91439646,0.89107007,0.52960753,0.83073723,0.7815791,1.2885283,1.3483871,1.0804319,0.79168034,0.8092452,1.3464191,1.1074829,1.1622416,0.6980394,1.1006659,1.2512846,0.61242366,1.022507,1.298285,1.0192775
glasses,1.2611011,1.0406488,1.0354961,1.001333,0.9527906,0.99256,1.0389206,1.201149,0.8137717,1.2706465,1.0102764,1.1799984,1.0984473,1.1906188,1.066667,0.633451,0.5220237,1.3229342,0.87584174,0.8716331,1.2119516,1.2275152,1.0415255,1.1652778,1.0406394,1.2794983,1.1088235,1.2054589,0.63923633,0.5846978,1.3076503,0.7907649,1.1094931,1.1000428,1.255111,1.2977184,1.0127288,0.77244234,0.86936545,0.88450766,0.48189443,1.1476848,1.2168243,0.0,0.91498804,0.745734,0.8741739,1.1501763,1.0032536,0.8189559,1.1729885,1.1424102,1.0777469,0.8748122,1.0277593,1.1965766,0.45954823,0.99945796,0.44031143,0.7883298,1.2299962,1.1317034,1.2955773,0.8536817,0.9318027,0.8202095,0.86501944,0.69816196,1.1029072,0.97447234,1.2438755,0.8109135,1.0331539,1.0614958,1.1805707,1.2839718,0.55449206,0.7863815,0.85857785,0.9729592,1.3033671,0.82492983,0.6545031,0.41720974,0.87185013,0.781041,1.000647,1.2622353,0.96536475,0.58184886,1.229927
glove,1.1598526,0.8980988,0.9271988,0.9458513,0.84498703,1.0892568,1.0883982,1.3248327,0.5642384,1.3124211,1.099608,1.0831939,1.1606485,1.038605,0.959704,0.73078036,0.841666,1.1835243,0.86617947,0.7999796,1.032927,1.1820377,1.2054086,0.84446144,1.0135908,1.2967271,0.87754095,1.0301843,0.9024814,0.70320904,1.3449335,0.7863903,1.2056488,1.1545142,1.1828529,1.2936685,0.9971798,0.66872853,0.6784678,0.87007284,0.7375026,1.0743301,1.2778908,0.91498804,0.0,0.8415201,1.215987,1.2342876,1.1194818,0.95328385,1.0781915,0.9433249,1.0111706,0.6750109,1.213124,1.1679494,0.71812505,0.9913523,0.51975584,0.70720184,1.2372959,1.1750989,1.2196612,0.6544808,0.6940924,0.5688018,0.9524082,0.754678,1.1669455,0.81735563,1.0989432,1.091495,1.0758245,1.2686107,1.0535985,1.1316453,0.74352586,0.17646003,0.7540148,1.1675354,1.3870524,0.78668815,0.69244635,0.77859086,0.9966638,0.73508656,1.166355,1.4167838,0.8550835,0.65736246,1.1623812
