,alligator,apple,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,cat,chair,clock,closet,coffee,cookie,couch,crayon,crib,cup,dish,dog,doll,door,drawer,dress,egg,eye,face,finger,firetruck,fish,flower,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,lamp,melon,milk,mitten,mop,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,plant,plate,pumpkin,purse,radio,refrigerator,rooster,sandwich,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,sock,soup,spoon,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
bib,0.65203303,1.2798822,1.1782893,1.2454122,1.3355103,1.4867617,0.87867486,0.59194314,1.3122606,0.9242821,0.0,0.6504568,0.8903413,1.3076873,1.4605913,1.4416312,1.1430326,1.2168446,1.1775339,1.4579031,0.9692939,1.4273026,1.4497589,0.65807986,1.1340729,1.3640777,0.7470096,0.81323445,0.96716785,0.65558785,1.3984268,0.71587914,1.5462875,1.3145559,0.7331064,0.98254216,1.0294528,0.9854789,0.5777129,1.3745612,1.1651305,0.7469695,0.8393424,0.87533146,1.2690318,1.358083,1.3729234,0.82820725,1.2219982,1.0406996,0.826323,1.0663909,0.66590214,0.69654953,0.65925443,1.2479234,1.0742664,0.784826,0.37637985,1.1674204,0.48703098,1.4603903,1.5544999,0.9015785,1.0542921,0.6800996,1.1189855,0.85147893,0.71567804,0.7610863,1.255786,1.2952545,0.9279149,1.2998366,1.1486423,1.0874264,0.64671695,0.35248637,0.4774971,0.64967746,1.3053168,1.2976611,1.2611544,1.4091376,1.3225992,1.4264858,1.1724169,1.2476125,1.4450793,1.1637,0.8955475,0.7276594,0.61558616,0.8752381,0.32377094,1.2819651,0.7676371,1.2654445,0.9515808,1.4952991,0.9351576,1.3087032,0.8861787,1.2488513,1.4498372,0.8693766,0.84238267,0.39833963,0.76982486,1.4440417,0.8960858,0.8372442,0.75264597,1.3054731,1.053113,0.7576544,1.032648,1.3119264,1.2678998,1.0240315
blanket,0.5960496,1.3309906,1.0587807,1.2496095,1.3047619,1.2321458,0.6825518,0.2636422,1.2721596,0.88279986,0.6504568,0.0,0.74688524,0.9352569,1.4045787,1.165516,1.0200922,1.0598769,1.0674231,1.4778943,1.0642533,1.4455357,1.3083317,0.70480263,1.0198393,1.2647939,0.7955371,0.62297493,0.54157484,0.55429816,1.4161998,0.40539014,1.4048529,1.0263885,0.7553078,0.87365687,1.0892241,0.9291011,0.8927239,1.3126137,1.3336132,0.9573293,1.3357494,0.9231884,1.213054,1.1330557,0.9932781,0.7419972,1.0669937,1.3879464,1.0215776,1.2274097,0.9969802,0.49162555,1.0439521,1.4490383,1.0935054,0.8317685,0.7847954,0.9684723,0.83252496,1.2040867,1.435416,0.8815782,1.0524915,0.83021927,1.0934042,0.9162936,1.1201135,0.8604542,1.4196131,0.89155686,1.4282172,1.2117417,1.409761,1.1406667,0.72900975,0.6323314,0.80720997,0.47874027,1.4286184,1.2518069,1.2368268,0.96993566,1.2073314,1.0940398,1.4387939,1.0795212,1.2849483,1.101415,0.8349942,0.7351805,0.92956,0.715837,0.85626686,1.4197447,0.9040936,1.2797495,0.82974356,1.3226515,0.6969906,1.5126946,0.94080114,1.063921,1.1791902,1.0490947,0.96808016,0.74703425,0.4931038,1.2573436,1.4309746,1.2401391,0.8765209,0.8750183,0.8191688,0.6222146,0.9401698,1.223718,1.364702,0.9621339
boat,0.72015095,1.1033381,1.0347419,1.1158881,1.1841524,1.0561849,0.8550463,0.8191767,1.1235878,0.92291236,0.8903413,0.74688524,0.0,0.83885205,1.1579871,1.0287162,0.8412623,1.104373,1.0066777,1.0732285,1.1269385,1.1917151,1.0988743,0.9977514,0.91920257,1.2068982,0.9311223,0.74873775,1.005056,0.885139,1.1405185,0.8529633,1.1447027,0.932364,0.9947133,0.8976694,1.0428156,0.8565278,1.0684981,1.2253437,1.2988384,0.9895537,1.1841986,0.947488,1.0949947,1.0854785,1.0625837,0.79599965,1.0830551,1.2259146,1.1108811,1.0705355,1.0478431,0.87524754,0.86918354,1.2592108,1.0625836,0.9492529,0.9228833,0.90814203,0.8598602,1.1514887,1.222858,0.87720966,0.8523372,0.9382607,1.0491598,0.8871596,0.98571324,0.9534472,1.1843078,1.0319476,1.259161,1.231604,1.2087147,1.0227674,0.9717402,0.8774098,0.9237417,0.85650194,1.2711422,1.175089,1.1834313,1.0714494,1.1327884,1.0242528,1.2447855,0.908557,1.1619877,1.0180252,0.95476544,1.0196828,1.0159105,0.66232765,0.9362539,1.3034319,0.8654817,1.1788985,1.0844811,1.1206644,0.45933282,1.3084817,1.138239,1.0283631,1.1465002,0.9647167,0.8237026,0.89236236,0.83070546,1.2221298,1.2286658,1.1633742,0.6597626,1.0799307,0.36493385,0.732151,0.9773318,1.1212113,1.2213571,1.0528865
book,1.2577031,0.9390016,0.88756436,1.053856,0.89561963,0.6941346,1.1277995,1.1071981,0.8392236,1.0891658,1.3076873,0.9352569,0.83885205,0.0,0.6788666,0.71576583,0.5232578,0.9224319,0.92097855,0.6746672,1.1473774,0.77387524,0.6675968,1.3386554,0.9740907,0.78776234,1.3093446,1.0736579,0.8764783,1.1249676,0.7476815,1.1547235,0.653332,0.72904074,1.228751,0.9692186,1.166947,1.0321858,1.210514,0.84163266,1.09791,1.1899594,1.2211251,1.2079456,0.928698,0.8045575,0.6749873,1.0616728,0.91050524,1.0834415,1.0319214,0.69302964,1.3190228,1.1342185,1.1428578,0.9355472,0.91628826,1.114991,1.2852597,0.79552376,1.3250748,0.6508929,0.8320016,1.1918769,0.81728303,1.2206509,1.0028758,1.2719831,1.1866094,1.2108215,0.9501972,0.4880185,1.1377784,0.9288172,1.1050338,0.85913455,1.2585208,1.1941909,1.3331306,0.7637291,0.8518778,0.7575486,1.0046272,0.647963,0.95457035,0.7170156,1.0541975,0.67649823,0.5778975,0.857556,1.0900651,1.189071,1.3232685,0.9201731,1.3388438,0.93393433,1.0675584,0.80371964,1.1307087,0.73092747,1.0074141,0.93536663,1.0087442,0.88053215,0.7228483,1.1308107,1.1692715,1.2769239,1.0756124,0.7150634,1.2007691,1.1520199,1.0107291,0.5379885,0.7830742,0.9963497,1.0918614,0.9733744,0.9609848,1.1349871
bottle,1.5328054,0.49262393,0.9300436,0.7933464,0.660403,0.62149847,1.2093778,1.4326276,0.26166505,1.262692,1.4605913,1.4045787,1.1579871,0.6788666,0.0,0.7737675,1.0247575,0.70055836,1.010302,0.3760898,1.1092161,0.3463372,0.43516302,1.3825879,1.084137,0.61136365,1.3338847,1.3933301,1.0623043,1.3976063,0.20376992,1.4693968,0.30439556,0.94376814,1.3387035,1.2902424,1.1172705,1.2701608,1.1199148,0.35189033,0.802394,1.2083201,0.8926276,1.2330912,0.63377064,0.70047575,0.9130274,1.3231827,0.92571485,0.66416043,1.1137365,0.80749434,1.2847124,1.3327504,1.4025257,0.37388366,0.9798907,1.300761,1.3604989,1.047491,1.4189354,0.69089127,0.4128613,1.3468664,1.0380054,1.4068205,1.0132097,1.2802333,1.1268181,1.4014175,0.31770146,0.8029888,0.6665875,0.6317431,0.8020894,1.0358617,1.3281652,1.4831399,1.4041445,1.321799,0.46875548,0.73023814,0.5553997,0.5883958,0.8005166,0.8448625,0.7543929,0.66835964,0.44922912,1.0248716,1.3331566,1.3679763,1.3484685,1.2385954,1.4119146,0.5879768,1.2462204,0.77323985,1.1782012,0.28448075,1.2579689,0.42233706,1.1281707,0.88656336,0.8011836,1.1782442,1.2119977,1.388237,1.4013448,0.44300365,0.9438791,1.0427967,1.3466566,0.5900242,1.0739976,1.3812253,1.0660666,0.86876607,0.21077108,1.0806038
bowl,1.3004684,0.81881654,0.85872674,0.7382057,0.6782261,0.6141569,1.1704617,1.3201573,0.8690541,1.283222,1.4416312,1.165516,1.0287162,0.71576583,0.7737675,0.0,0.84540445,0.6385283,0.9247422,0.7418504,1.116718,0.8316891,0.8185842,1.3417436,0.92718726,0.73255396,1.309526,1.0943223,0.8831265,1.3131094,0.86216974,1.2227533,0.42970163,0.5720672,1.2678046,1.0807105,1.1854479,1.0994003,1.215058,0.6301778,0.9589273,1.2279049,1.2244539,1.1141142,0.9483986,0.7881936,0.40724158,1.1961266,0.70467645,1.072242,1.2266604,1.0547606,1.3687651,1.1863228,1.2564176,0.97308695,1.0187161,1.1416872,1.3783082,0.68283623,1.4583682,0.44366634,0.6879477,0.9712802,0.91888523,1.2426287,0.9330821,1.3154303,1.1092865,1.2570344,0.9270059,0.61810577,1.0844584,0.9092763,0.94940084,0.9911528,1.2412846,1.4280403,1.4379716,1.1803052,0.83743864,0.83655083,0.88240075,0.7389652,0.9588234,0.054082274,0.99435866,0.8697157,0.7902641,0.9741441,1.1440576,1.2391357,1.3827248,1.0920136,1.4150178,0.94483954,1.1877204,0.83101666,1.1210455,0.6655351,1.0891625,0.8890708,1.133956,0.3618576,0.26101565,1.1597036,1.3178725,1.370029,0.87090087,0.50800526,1.2179766,1.0905937,1.3098332,0.6008726,1.0043832,1.1159837,1.0624721,1.0138562,0.94616216,1.1856863
box,1.0191431,1.1553985,1.0061165,1.1682785,1.1545091,0.7902955,0.96402705,1.0537276,1.1410081,0.9157045,1.1430326,1.0200922,0.8412623,0.5232578,1.0247575,0.84540445,0.0,1.1356965,0.87479603,0.72917724,1.0873152,0.8927217,1.056339,1.1586878,0.77584326,0.99410474,1.0896573,0.8999239,1.0042379,1.0117598,1.1772959,0.92475873,0.87357765,0.78748065,1.0715777,0.88187647,0.9302125,0.7719718,1.1585647,1.160147,1.1736736,1.1133415,1.3045946,1.0554224,1.1282426,0.91715866,0.8565343,0.97834307,0.7951805,1.2789207,1.0658153,0.86001456,1.2225131,1.0067797,1.0668967,1.2553968,0.9567397,0.947715,1.1163782,0.48438442,1.0732465,0.94355017,1.0068126,0.9815953,0.5497284,1.050682,0.9407553,1.0379798,1.1465712,0.977993,1.2815171,0.6723965,1.2459009,1.1520998,1.2080709,0.699653,1.0982053,1.0730417,1.0790874,0.82498896,1.1635659,1.0161815,1.2460865,1.0464768,0.95307815,0.87705773,1.2132285,0.81588745,0.85649145,0.6869007,0.8862479,1.0985358,1.0877591,0.9204197,1.1451942,1.0723941,1.014216,0.8294668,1.025805,1.0887786,0.9963455,1.171388,0.9301146,0.8546324,0.9056293,0.9888654,0.9921262,1.0918763,0.8856408,1.0327998,1.2355882,1.2104065,0.9130215,0.90189254,0.9106594,0.7927569,1.0158796,0.8762209,1.2705462,1.0451484
bread,1.0957733,0.56645375,0.8946858,0.80228806,0.34441602,0.80077446,1.1188729,1.1291454,0.83095473,1.2480425,1.2168446,1.0598769,1.104373,0.9224319,0.70055836,0.6385283,1.1356965,0.0,1.2106223,0.8982053,1.1557319,0.90568185,0.80964947,1.1437875,1.002844,0.7978285,1.2669127,1.2106153,0.979928,1.1462204,0.7068571,1.2133465,0.7278608,0.9685027,1.0849278,1.0337024,1.3767389,1.2550359,1.123036,0.28833437,0.96685284,1.0663177,0.9823306,1.2487843,0.96385187,1.044632,0.83201593,0.9740425,1.086844,0.8490038,1.1159004,1.0167737,1.1550543,0.7672299,1.2543803,0.78502035,1.0124362,1.3108695,1.2790511,1.0169185,1.3327985,0.803803,0.86312133,0.8538141,1.0310456,1.0919476,1.0811104,1.245993,1.0515288,1.006162,0.64805245,0.73492485,0.96339333,0.8513185,0.65980387,1.1353691,1.0316194,1.3181581,1.3313856,1.1104267,0.8007685,0.9417658,0.65452415,0.57011324,1.1829379,0.64234257,0.66874003,0.93923444,0.9240121,1.2901802,1.1369991,1.1017184,1.234069,1.0801452,1.3425391,0.88163614,1.227602,0.9380528,1.1823078,0.8108716,1.0950067,0.7593398,1.0699636,0.7579105,0.75231194,1.0463576,1.2191055,1.2960657,1.0841049,0.5217569,0.9536789,1.0513594,1.2335283,0.6081987,1.0133597,1.1073884,1.2074881,1.2216389,0.72727656,1.2626384
broom,1.1608135,1.2035024,1.2650156,1.1968462,1.0492777,0.90882283,0.9526243,1.1609809,1.0028381,1.0979607,1.1775339,1.0674231,1.0066777,0.92097855,1.010302,0.9247422,0.87479603,1.2106223,0.0,0.8339396,1.0414338,0.73462445,1.0155077,1.2228326,0.9358755,1.043127,0.8801466,0.9282087,0.9852514,1.1366701,1.0328786,1.0445057,1.0176643,0.82476586,1.2117058,1.0076454,0.51118624,0.9222022,1.0913696,1.1880387,1.0588869,1.2254941,1.2882633,1.0663555,0.8367648,0.8369644,0.741728,1.1653478,1.0533955,1.2430081,1.105282,1.1355467,1.2699226,1.1333721,1.044021,1.2181666,0.94552803,0.5981182,1.1408223,0.95937765,1.1033494,0.7783382,0.79728186,1.025606,0.8924286,1.0257127,0.3150748,1.0759283,1.0635163,1.1307244,1.2120689,0.8821089,1.081635,1.1070402,1.2004809,0.85043067,1.093293,1.0939659,1.1038914,1.0957501,1.0473727,0.82148993,1.0761757,0.9805556,0.7362217,0.9248005,1.2175602,0.9024987,0.92897314,0.60210955,1.0534574,1.1285818,1.0197126,0.96084607,1.0929539,1.049227,0.9986983,1.0009446,0.92121655,0.9374389,0.8541025,1.0807445,0.94512826,1.0274189,0.7443967,1.1403464,1.0121626,1.0444803,1.0341841,1.1438959,1.1834657,1.1512687,0.9300325,0.9732703,0.98282427,1.1095535,0.77945215,0.50493073,1.1839046,0.7047974
bucket,1.5553439,0.66721904,0.76694757,0.7838044,0.68542993,0.4781046,1.1505406,1.6182865,0.6593735,1.0702934,1.4579031,1.4778943,1.0732285,0.6746672,0.3760898,0.7418504,0.72917724,0.8982053,0.8339396,0.0,0.9629999,0.2309053,0.5742549,1.4720358,0.8618101,0.6781161,1.3286288,1.2647282,1.1493828,1.5152802,0.47418028,1.5022942,0.28865182,0.84638643,1.4074084,1.2179766,0.89254403,1.132534,1.1276116,0.6961857,0.74994767,1.401712,0.9908065,1.2066469,0.6249776,0.7004262,0.8735615,1.2982031,0.82498014,0.8588652,0.97489804,0.76237607,1.4344153,1.4732795,1.2799007,0.637213,0.84880984,1.1572454,1.5171478,0.74465275,1.3265944,0.7035494,0.46779478,1.2250108,0.9299982,1.284556,0.8667709,1.3791978,1.0981362,1.3427768,0.66649,0.6436169,0.74365973,0.71314436,0.7480719,0.9348877,1.372643,1.4166248,1.3600266,1.3067613,0.60790074,0.7721714,0.79301476,0.5895811,0.71688515,0.8153364,0.7333256,0.46940958,0.5481932,0.9083698,1.2713611,1.3342187,1.3266699,1.2622182,1.4167731,0.50785184,1.0874311,0.58841425,1.2264428,0.51780856,1.2183132,0.4950056,0.9347318,0.9149269,0.7559614,0.9170494,1.2665777,1.4195433,1.4258327,0.5686974,0.8420502,1.0092256,1.2319205,0.5762467,1.1065371,1.3373433,1.0882038,0.8468176,0.70179623,1.0655829
butterfly,1.1480336,0.9875957,1.0079882,0.94103086,0.86877584,1.0148093,1.1006397,1.1926918,1.0735743,1.0305132,0.9692939,1.0642533,1.1269385,1.1473774,1.1092161,1.116718,1.0873152,1.1557319,1.0414338,0.9629999,0.0,1.028452,1.0540121,1.0963845,0.9486191,0.94939655,1.1413896,1.093632,0.99121267,1.1730042,0.98476946,1.0858142,1.0472004,1.0889983,1.1153436,1.1058038,1.0343295,0.9777463,1.00453,1.1142355,0.70171064,1.0965991,0.8180589,1.1292424,0.8032207,1.0557069,0.98046863,1.0452708,0.9738805,0.8681247,0.7968825,0.8701503,0.9379678,1.2098627,0.89067495,0.9310505,0.9634913,0.81393254,1.1402379,1.1183466,0.9814125,0.9637467,1.023742,1.0244523,1.03522,1.0181106,0.98966753,1.0945873,0.94721705,1.0542116,1.0504924,1.0610669,0.7390545,1.0045192,0.734591,1.1367646,1.106966,0.9540239,0.9776335,1.064027,0.8855687,1.0011743,0.99702334,0.984328,0.9519207,1.122309,0.77835524,1.0336018,1.0664775,1.1781604,1.095332,0.9720361,0.9521528,1.133472,1.0435385,0.82325655,0.95706606,0.8069232,1.0253803,1.0500549,1.1015056,0.858354,0.8774227,1.05548,0.94027066,0.8104906,1.0711488,1.0989159,1.1315268,1.0418662,0.7449615,0.7610749,1.0242841,1.0442823,1.1317197,1.1691897,1.0452306,1.081622,1.0502404,1.0660198
can,1.5829471,0.7602969,0.8938241,0.867117,0.7532839,0.5914919,1.0741938,1.5125223,0.452204,0.9389877,1.4273026,1.4455357,1.1917151,0.77387524,0.3463372,0.8316891,0.8927217,0.90568185,0.73462445,0.2309053,1.028452,0.0,0.63620484,1.4577065,0.9495803,0.7155616,1.1733682,1.3036249,1.0981789,1.4353349,0.38792193,1.4579763,0.44750112,0.79217017,1.4250513,1.3469659,0.74565583,1.15099,1.1395047,0.6481899,0.8561958,1.3344895,0.9175936,1.2313455,0.5331691,0.8429756,0.9223628,1.4337288,1.0483435,0.7986357,1.0405835,0.90236425,1.3496722,1.4171258,1.3144583,0.58463615,0.9189044,1.1815132,1.4293227,0.9391897,1.2984362,0.6800746,0.36153996,1.2590468,1.0243909,1.3055989,0.7488103,1.3506382,1.0796726,1.4140967,0.58529866,0.664372,0.6772293,0.6033205,0.8215368,0.9070646,1.4024549,1.4067217,1.288781,1.319268,0.6518515,0.669688,0.6611781,0.5970257,0.7662808,0.8852113,0.7697668,0.6760172,0.52243507,0.7338503,1.3360738,1.3193674,1.2964971,1.2625622,1.3689512,0.47650224,1.1340111,0.78595245,1.1372468,0.39694214,1.2593726,0.4231463,0.87106144,1.0151813,0.81566095,1.1205907,1.2344158,1.399476,1.3833427,0.6006118,0.75288594,1.0058464,1.2375668,0.62698245,1.1917286,1.3577509,1.0234641,0.7564801,0.5380479,0.89669824
car,1.412688,0.7270199,0.8583601,0.9005813,0.70177555,0.67071795,1.1332654,1.30392,0.5301475,1.1126587,1.4497589,1.3083317,1.0988743,0.6675968,0.43516302,0.8185842,1.056339,0.80964947,1.0155077,0.5742549,1.0540121,0.63620484,0.0,1.2591215,1.000095,0.7149171,1.2361714,1.3147192,1.0797831,1.32496,0.44933116,1.3117812,0.5166772,0.88420135,1.2830961,1.2131695,1.0342267,1.2113558,1.1908365,0.5975237,0.7601174,1.1332929,0.9161883,0.94191253,0.62552935,0.7806432,0.8576913,1.2581769,0.9165416,0.7276237,1.1167424,0.8266263,1.1956193,1.3737335,1.3508663,0.5617497,0.9516994,1.2860303,1.2898033,1.1255727,1.2358627,0.6527883,0.5370788,1.1610053,1.0100296,1.2686342,1.0946252,1.0073996,1.1281577,1.331048,0.5902375,0.79434884,0.8639494,0.8185576,0.832294,1.0308774,1.3045805,1.4281209,1.269885,1.2766222,0.62853223,0.8124449,0.67676705,0.6223192,0.8158373,0.863001,0.7675575,0.8234782,0.5059626,1.0721635,1.1736135,1.1169449,1.1859827,1.2795386,1.2090414,0.7554998,1.1785778,0.8579971,1.0778575,0.42310625,1.2049698,0.62572974,1.2503216,1.088465,0.77610475,1.1008084,1.1042479,1.2990549,1.3396764,0.60311484,1.0132016,1.0845648,1.2851214,0.6644348,1.0271521,1.4046654,1.0851936,0.93797654,0.5440493,0.8686984
cat,0.37110156,1.3062958,1.0478075,1.1402869,1.2963269,1.3049116,0.8054554,0.56995916,1.2135363,0.9386232,0.65807986,0.70480263,0.9977514,1.3386554,1.3825879,1.3417436,1.1586878,1.1437875,1.2228326,1.4720358,1.0963845,1.4577065,1.2591215,0.0,1.2401948,1.3031795,0.7377305,0.854969,1.0272086,0.65378803,1.3716979,0.7673857,1.4416035,1.1838021,0.15305424,0.63763726,1.1084418,1.0597506,0.8189281,1.2654502,1.0205665,0.79480565,1.0553575,0.82141495,1.1658592,1.1485273,1.2822908,0.39947534,1.0560757,1.1676877,0.8823926,1.1350255,0.70980954,0.6838575,0.88261867,1.2011412,1.0554179,1.0035071,0.7183404,1.2041144,0.74390733,1.3481246,1.4020886,0.76404554,0.99891007,0.63553137,1.1682615,0.7135763,1.0588931,0.5865108,1.2588756,1.355443,1.260736,1.0902945,1.254292,1.1062047,0.37926692,0.6360302,0.7154274,0.8989936,1.2694628,1.2438167,1.1932214,1.2586267,1.1029831,1.3158307,1.2470868,1.2900399,1.3401535,1.135544,0.75916576,0.5802808,0.6334166,0.9058551,0.75033,1.2440083,1.0293194,1.2076842,0.91797245,1.3637166,0.9190572,1.297377,1.0330007,1.1985034,1.3436619,0.9885091,0.8421038,0.75926256,0.8333322,1.3142385,1.1761072,1.1404095,0.92730695,1.3699838,0.95895565,0.7074068,1.0143906,1.1675897,1.1972821,0.97701097
chair,1.1031486,1.121702,1.1335559,1.1689628,0.9031016,0.6592915,0.82651436,1.0055574,1.1661406,0.6144309,1.1340729,1.0198393,0.91920257,0.9740907,1.084137,0.92718726,0.77584326,1.002844,0.9358755,0.8618101,0.9486191,0.9495803,1.000095,1.2401948,0.0,0.95775807,1.0367177,0.72468615,1.0499378,0.94899356,1.0674249,0.70833385,0.94529617,1.0142305,1.2169805,1.0265999,0.86945665,0.6536679,1.041037,1.1467823,1.0891044,1.210695,1.1879965,0.93477887,1.0742584,1.0065192,0.8597225,1.0933465,0.90657866,1.0628082,1.0710831,1.159548,1.2242544,1.0133797,1.1206348,1.1189978,1.0702701,0.83557093,1.1082816,0.8549399,0.89361763,0.95477104,1.0046841,1.0226796,0.97106826,1.073511,1.0936325,0.89087373,1.166178,1.0281274,1.1623703,0.90658575,1.0948906,1.182633,0.99425435,0.9058951,1.1341845,1.1174221,0.93243814,1.089408,1.0070292,1.0487176,1.0223392,0.9300491,0.9490565,0.9839407,0.9174932,0.68389505,0.9885254,0.9636787,0.9354227,1.0098922,0.9810691,0.98994815,1.0529132,0.9034409,0.9821015,0.68627983,1.0895998,1.0449497,0.91420877,0.9309473,0.9840023,1.0499256,0.88229746,0.99219555,0.7807334,1.0195676,0.8542898,1.0795135,1.0844457,1.2203444,1.0708984,0.94280636,0.92276096,0.9726141,1.0289832,0.80805945,1.1197599,1.02939
clock,1.4024758,0.7959979,0.7711118,0.8226951,0.71817005,0.6895017,1.1977487,1.339546,0.75928795,1.2425452,1.3640777,1.2647939,1.2068982,0.78776234,0.61136365,0.73255396,0.99410474,0.7978285,1.043127,0.6781161,0.94939655,0.7155616,0.7149171,1.3031795,0.95775807,0.0,1.2651062,1.2987645,0.8605732,1.3079298,0.6301873,1.2512463,0.5907,0.9357282,1.1917675,1.0746286,1.1204501,1.0352118,1.0559497,0.70124704,0.724937,1.150532,1.0646731,1.2126851,0.83864504,0.886582,0.7439404,1.1148058,0.8312968,0.797457,1.1175023,0.76094097,1.2457601,1.261832,1.2585609,0.7347317,0.98814213,1.1275189,1.2846186,0.9497647,1.4031216,0.6887989,0.58935493,1.271548,1.0453041,1.295223,0.99361193,1.232469,1.0681503,1.2272346,0.6833685,0.8521232,0.8304993,0.6301466,0.79900897,1.0249094,1.2666639,1.3444085,1.3329917,1.2218864,0.6262175,0.7157457,0.77046907,0.8032274,0.92860925,0.72799087,0.73610765,0.8080337,0.6999084,1.0937182,1.2686698,1.3060634,1.3215415,1.1374547,1.3639477,0.7057561,1.191557,0.7250679,1.0737798,0.7514856,1.269142,0.6343515,1.1061751,0.8140249,0.6883594,1.1117989,1.2157156,1.349346,1.2360235,0.39193022,0.974247,0.9747456,1.1896495,0.74747956,1.0225918,1.2936205,1.12394,0.9551233,0.7434602,1.0955772
closet,0.7770516,1.3319352,1.1543344,1.2475169,1.336048,1.2418405,0.69709325,0.5931194,1.1521031,0.757355,0.7470096,0.7955371,0.9311223,1.3093446,1.3338847,1.309526,1.0896573,1.2669127,0.8801466,1.3286288,1.1413896,1.1733682,1.2361714,0.7377305,1.0367177,1.2651062,0.0,0.72239494,1.1207389,0.60783976,1.32888,0.70556444,1.3816228,1.0147496,0.83619237,1.0955689,0.48049283,0.8817197,0.83796877,1.3409529,1.2676396,0.8023099,1.0541661,0.656893,1.1254168,1.1849209,1.2013054,0.99789315,1.1242629,1.1417836,1.1068377,1.3392661,0.7958376,0.8368213,0.93402636,1.2971535,1.1593419,0.93532515,0.6231966,1.12433,0.661523,1.2229334,1.2106022,0.88572574,1.023655,0.95890176,0.97233933,0.64834106,1.0885675,1.0093429,1.2311884,1.3028195,1.2476939,1.2898178,1.2901789,0.7292242,0.8721132,0.7596668,0.6431343,0.89439434,1.3566648,1.2370805,1.0640786,1.3157873,1.0135063,1.2733431,1.2397217,1.3122423,1.245249,0.64662415,0.9277564,0.74010813,0.7321912,0.7976407,0.6641959,1.2959809,0.94223005,1.2813008,0.6521086,1.2506194,0.86124504,1.3142128,1.0434029,1.2110404,1.2730374,1.079354,0.7768752,0.64870745,0.7418273,1.3642794,1.1289585,1.2271769,0.8909652,1.348874,1.0377784,0.8173971,0.97400105,0.8889513,1.2150615,0.4935478
coffee,0.6788572,1.3359213,1.1818795,1.2789764,1.3499322,1.1770605,0.7974659,0.5412179,1.3877106,0.5822449,0.81323445,0.62297493,0.74873775,1.0736579,1.3933301,1.0943223,0.8999239,1.2106153,0.9282087,1.2647282,1.093632,1.3036249,1.3147192,0.854969,0.72468615,1.2987645,0.72239494,0.0,1.0034586,0.56246513,1.4451103,0.5953797,1.3464841,1.0185711,0.9208004,0.93860817,0.7464701,0.6624559,0.9887563,1.4008951,1.3625989,0.9432511,1.3045537,0.80557597,1.2555313,1.0445445,1.0802938,0.8974065,1.0017095,1.3912177,1.1610394,1.2406675,0.9860288,0.74962664,0.8922497,1.5137343,1.1695826,0.8932421,0.7517227,0.78976035,0.7313761,1.2723063,1.3269185,0.8362179,1.0379205,0.948019,1.0142571,0.7286128,1.1131028,0.83223635,1.4517374,1.1113904,1.3705727,1.3799876,1.3431602,0.8652574,0.82627213,0.78832495,0.7452261,0.754637,1.4609653,1.2272862,1.2689945,1.2733773,0.9775955,1.0606079,1.3381789,1.1885095,1.2260734,0.8444794,0.7374167,0.8310316,0.83705026,0.7313956,0.75011915,1.396869,0.9499742,1.1516238,0.83473074,1.3337111,0.65851474,1.4769223,1.0906591,1.026155,1.1650426,1.0153486,0.7889694,0.7043374,0.3828168,1.275276,1.3260782,1.2700628,0.7730534,1.2250103,0.87373734,0.5027113,0.84387106,0.9822896,1.4103392,0.8132245
cookie,0.9771663,1.0775704,0.93179893,1.0543047,1.135038,1.0125042,0.9852293,0.85801226,1.0427809,1.1527598,0.96716785,0.54157484,1.005056,0.8764783,1.0623043,0.8831265,1.0042379,0.979928,0.9852514,1.1493828,0.99121267,1.0981789,1.0797831,1.0272086,1.0499378,0.8605732,1.1207389,1.0034586,0.0,1.0095693,1.1350374,0.8174119,1.0665994,0.97053564,0.9728606,0.87937224,1.1075546,0.9882399,1.0590104,1.014776,1.0589521,1.0233717,1.1825205,1.1527731,1.0905833,1.0046113,0.7870888,0.93232906,1.0109067,1.1342733,1.115477,0.94651556,1.0758845,0.8901675,1.0958182,1.1160504,1.0101516,0.94882375,1.0970167,0.9019249,1.2144783,0.95477563,1.0605927,1.1125191,1.0357884,0.98355556,0.9350775,1.0987425,1.005982,1.0617658,1.0941695,0.8114761,1.1670839,0.8532528,1.1847559,1.1166724,1.0248725,1.0221064,1.1511767,0.70015025,1.1213284,0.99249697,1.1466495,1.0508407,1.0627496,0.828709,1.2498738,1.0294095,1.0792606,1.0394795,1.0447046,1.1517419,1.1352901,0.9636402,1.1195265,1.1574677,1.0440792,1.1428363,0.9414227,1.0998253,1.011068,1.1775967,0.9873688,0.90598834,0.9341588,1.1022402,1.1024253,1.098297,0.7989578,0.9181856,1.2365704,1.0228597,0.97134775,0.70712876,0.8547021,0.9090201,0.95913196,1.0961031,1.0940455,1.0756418
