,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coat,coffee,comb,cookie,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,fish,flower,foot,fork,frog,game,giraffe,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,meat,melon,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rooster,sandwich,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window,zebra
alligator,0.0,1.1510844,1.3395855,1.1048336,0.75893635,1.2787764,1.3660362,1.1047306,1.1422992,0.69344014,0.6393411,1.2936914,0.7166704,0.73278517,0.8873238,0.58116233,0.83872145,0.9567484,1.3555659,1.245097,0.8610922,1.1506355,0.9947851,1.4185343,0.85053337,1.4391663,1.30101,1.4115598,0.56019247,1.2030371,0.98127717,1.4161203,1.2365757,0.90750825,1.1809124,0.86046267,0.95427686,0.6662715,0.9113003,1.3285036,0.8628745,1.480338,0.92641795,0.9351977,0.68548274,0.90547955,1.0207808,1.1550088,0.80290556,1.1823721,1.365672,0.68163955,1.126384,0.975294,1.3145033,1.0557513,1.24825,1.1028321,1.0714166,0.8149228,1.0372627,0.67393684,1.1192632,1.2202038,0.9764323,1.080698,1.0426646,1.0240644,0.933395,1.2752995,0.7173643,0.7358491,0.8762817,1.024963,0.7074642,0.98290473,1.1565729,1.4094999,0.8543438,1.1411705,0.6869254,0.94427025,1.1647825,0.93882,1.3471874,1.0658001,1.303585,1.2617781,1.3673024,0.9170852,0.8062446,0.7268029,0.8721798,0.60136336,1.2859765,1.2330592,1.1272686,0.8220004,0.80431044,0.9503327,1.1938004,1.124772,0.73363864,1.0867586,0.95395607,1.3365073,1.2879084,1.0823281,0.8013476,0.90766877,0.93311757,0.92914087,0.7882593,1.0363578,0.76467055,1.1142741,1.039936,0.97757685,0.78554475,1.1792173,0.7217165,1.408258,1.1263171,0.96961296,1.2326336,1.1200179,1.2974113,0.99765,0.8849254,0.7472346,1.3335285,1.211662,0.9964462,0.97643226,1.0617524,1.1673659,0.9277886,0.9785781,1.0214765,1.1943846,1.3348444,0.9554483,0.6284534
ankle,1.1510844,0.0,0.89440477,1.1259574,0.95449424,0.8350383,0.7360343,1.008392,0.9394575,1.2522833,1.2099189,0.8667325,1.1946287,1.142036,1.0006903,1.2072004,1.1984928,1.1322286,0.9183583,1.0148871,1.2583907,0.99183464,1.0593705,0.9006522,0.8476124,0.8847829,0.99609786,0.6813078,1.2127423,0.95583916,1.157473,0.7963314,0.8413439,1.1803672,0.9255127,0.8640957,0.8950827,1.2023965,1.1547577,0.805949,1.3104854,0.7603741,0.97678554,1.2205162,1.034482,1.1102957,1.2699835,0.9987128,1.1195483,0.78068143,0.7427578,1.0935484,0.6593957,1.1474509,0.5080756,0.95919716,1.0258298,0.46292108,1.0349089,0.97232056,1.1713629,1.0356288,1.2806916,0.87923765,0.63665116,0.87063,0.99897534,1.190234,0.764059,0.74809474,1.0461717,1.1940997,1.1689237,1.0132921,1.0895865,0.7903408,1.1033418,0.80677724,1.1256458,1.0316119,0.9402313,0.9897236,0.7836901,1.0478772,0.76781523,0.8090482,0.61396086,0.7562706,0.8827278,1.2351338,0.94476986,1.1216731,1.0088253,1.2795353,0.8118704,0.86396664,0.86519945,0.9702828,1.0464537,1.175935,0.99695945,1.1395521,1.0155038,0.6915883,0.8929462,0.89473736,0.8628806,1.2338855,1.1029742,1.1861689,0.94856375,0.90268403,1.1602097,0.6152377,1.0281316,0.8077024,1.2301238,1.2079507,1.2021806,0.56932527,1.1527706,0.82640743,0.5100961,1.1240318,0.8889638,0.9381835,0.824234,1.181463,1.1727045,1.27664,0.7377876,0.3600331,0.73285544,1.0155991,0.7951113,0.95189357,1.2651736,1.1635948,1.3275563,0.9489262,0.6727543,1.2898687,1.0652866
apple,1.3395855,0.89440477,0.0,0.590824,1.2004539,0.4537443,0.5673332,0.43217373,1.094196,1.3881513,1.3234749,0.8392621,1.2964199,1.3051367,1.0752318,1.3810649,1.2473516,1.1203989,0.6816431,0.88318336,1.3142294,0.4193787,1.023164,1.1317906,1.0680257,1.1460577,1.1098244,0.6192012,1.3217444,1.3440027,0.7620844,0.7975924,1.0797853,1.231494,0.984262,1.2363083,0.89419425,1.2606156,0.6806576,0.6909401,1.4252763,0.6819831,1.0121646,1.0281638,1.0428835,1.0354902,1.3904681,1.2221019,1.3579224,0.8245493,0.3723874,1.1128236,0.7651811,1.0866561,0.7481214,0.8619689,0.70675445,1.0344956,1.0461593,0.90824497,1.0996624,1.1981369,1.2238141,0.87055445,0.96007466,0.62472284,0.97181165,0.4820031,0.9924116,0.7016061,1.0656239,1.0980681,1.2088768,1.0990331,1.2752986,1.151119,1.2592599,0.8737749,1.107168,0.41949517,1.077881,1.0293893,0.8654206,0.87111276,0.5695962,1.0839657,0.97280276,0.709273,0.16827732,1.293756,1.0725775,1.350915,1.2949303,1.2661707,0.9361701,0.9651131,0.4869662,0.9771716,1.2186487,0.92467505,0.81500787,0.7934932,1.0623673,0.781891,1.1341865,0.8734519,0.57751256,1.3553402,0.9757077,0.8496035,1.2611291,1.0668004,1.2396888,1.0986906,1.2756752,1.0311215,1.1806148,1.2895274,1.1991475,0.83755076,1.2385334,0.5885205,1.1816789,1.0024718,0.85664403,0.7588174,0.6192405,1.2875104,1.1653216,1.3852711,0.67645645,0.77079546,0.9141838,1.0513531,1.1605904,0.8324065,1.0951262,1.1948402,1.2033077,1.175231,0.7633522,1.3374207,1.1344345
applesauce,1.1048336,1.1259574,0.590824,0.0,0.82221365,0.9126165,1.1140075,0.32339907,1.107415,1.1272386,1.1768882,1.2210256,1.053726,0.9594094,1.093666,1.1609478,0.97527677,1.0367802,1.1792862,0.8169159,0.9666729,0.37976468,0.9157572,1.0966872,1.1582034,1.2294163,1.1883268,1.0330797,1.0835917,1.2495809,0.4932946,1.2075377,1.3500316,1.0514423,1.2149419,1.1510562,0.9774263,1.1062092,0.46386433,1.1673676,1.0868523,1.0877792,1.2593431,0.8531335,0.9390989,1.0486628,1.0904704,1.0190241,1.045254,0.9888748,0.9538178,1.1415156,1.2023677,1.0430964,1.0884562,1.1808841,1.1046953,1.1448267,0.9043846,1.0241677,1.1249478,1.0482385,0.9205233,1.0319626,0.9278328,0.4698245,1.0229561,0.37960327,0.7257868,1.1246748,1.1219548,0.96001273,1.1270113,0.8507769,0.99473345,1.0534476,1.1516775,1.3437932,0.77886283,0.5319547,0.87260604,0.9824818,0.98153883,0.65363824,1.1779959,1.1881561,1.1783834,1.2548921,0.64908564,1.0444586,1.1456444,1.0173736,1.060794,1.0144274,1.1818788,1.1293256,0.5175743,1.1474166,1.08303,0.6039956,1.1182872,0.6289697,1.1879978,0.8969141,0.96003187,1.2106253,1.1326193,1.1142693,1.0048292,0.59539753,0.9485453,0.9558332,1.0209577,1.1140023,0.97733706,0.8236517,1.0361334,1.013006,1.0793321,1.1879302,1.1519082,1.122585,1.1922661,0.77127045,0.88149357,0.77583,1.0527393,1.0965518,1.0526257,1.0547729,0.97316283,1.1374345,1.0543249,0.8103987,1.2157732,0.94890064,0.7987186,1.0741296,0.883323,1.1782134,1.0672562,1.0848362,1.2041591
arm,0.75893635,0.95449424,1.2004539,0.82221365,0.0,1.3287046,1.390038,1.0328248,1.3182881,0.61028284,0.52658486,1.4346503,0.5692206,0.54095554,1.2647054,0.6693002,0.7927813,1.0301723,1.3832266,1.3149285,0.7454285,1.0954334,1.0166334,1.2319508,1.2900119,1.3034079,1.3067684,1.2524121,0.8022547,1.020366,0.97154754,1.4910655,1.2788651,0.79669905,1.176598,0.9449821,1.198174,0.47680342,0.95954496,1.3938401,0.67185766,1.4874159,1.2597685,0.7803663,0.9729332,1.1587435,0.76747394,0.9088992,0.6623733,1.1002686,1.3748968,1.0721738,1.3849065,1.0465592,1.006501,1.4734578,1.3728642,0.9718392,1.0115763,1.4470589,0.9670966,0.9901381,0.8771927,1.0343213,0.9124095,0.9751762,0.8284474,0.8405387,0.36945283,1.3359072,1.130755,0.831696,0.649157,0.96644783,0.43511224,0.8554672,1.1207148,1.4782486,0.72906923,1.0198426,0.8146615,0.9901704,0.93315965,0.87529105,1.3031139,1.248002,1.156681,1.4323597,1.2556871,0.73597115,1.1662188,0.4587263,0.7256186,0.7049756,1.2745914,1.2076116,1.0102407,1.2130827,0.98280764,0.9039925,1.3405354,1.2399858,1.2283525,0.8258723,1.0390542,1.5255044,1.3756802,0.78748405,1.1362717,0.70360655,0.8757423,1.1275228,0.435719,1.209044,0.567199,0.9980278,0.94281346,0.8920914,0.5351561,1.4557568,1.0011115,1.4801977,1.0400574,0.9269563,1.2476656,1.1476345,1.2572155,0.8590876,0.5732226,0.55569834,1.5104011,1.0227035,0.90793663,0.74876297,1.2081565,1.253233,0.8244989,0.94222695,0.9671322,1.1241956,1.2646371,0.70318747,1.059386
ball,1.2787764,0.8350383,0.4537443,0.9126165,1.3287046,0.0,0.2304585,0.7865103,0.8401003,1.266375,1.1996955,0.96986103,1.2791486,1.2738028,0.85691035,1.1872294,1.1488731,0.93709654,0.8659367,0.8121538,1.1206496,0.80504,0.96059805,0.93655777,0.9340848,1.0193498,0.9448978,0.8252764,1.325426,1.1584388,0.9992293,0.6267173,1.0312663,1.2318774,1.0722301,1.1665634,0.88514626,1.2585927,0.9743376,0.8484575,1.207797,0.68545735,0.862533,1.0466211,0.9760706,0.9093367,1.3153726,1.0432324,1.3189218,1.0485973,0.40919483,1.0740902,0.71880835,0.99637824,0.9725772,0.8606592,0.7505473,1.1094735,0.98638105,0.7828212,1.0673666,1.1360192,1.1630585,1.0906742,1.0055802,0.74594617,1.135618,0.84032416,1.2188206,0.7720891,0.9754464,1.0684214,1.1972921,0.8384832,1.2720418,1.2525197,1.1226758,0.7489667,1.1617188,0.6077366,1.062716,0.98883224,1.0900968,0.984331,0.8435896,1.0124295,0.9847889,0.7871921,0.49572957,1.2839903,1.0434575,1.3117249,1.3666452,1.0941776,0.97575617,0.969119,0.81548774,0.8648007,1.0037457,1.0140892,0.7539432,0.88813066,0.9199812,0.82969797,0.9368591,0.931668,0.8077587,1.2646265,0.93978405,1.1373754,1.3130425,0.92714256,1.2882259,0.8928799,1.3843374,1.0384141,1.1840478,1.1683148,1.1086917,0.7830108,1.0779573,0.7122207,1.0319769,1.0115244,0.842831,0.8991271,0.8584566,1.0363834,1.228111,1.2428063,0.5176221,1.056111,1.1484971,1.1159433,1.0414987,0.51639676,0.96559405,1.1531328,1.167417,0.9704211,0.9857295,1.2550306,1.0319031
balloon,1.3660362,0.7360343,0.5673332,1.1140075,1.390038,0.2304585,0.0,0.9158325,0.8711511,1.3301238,1.373127,0.6740405,1.3841565,1.3272847,0.9082105,1.3566036,1.2599273,1.0603136,0.613295,0.8441644,1.3322154,0.87965417,1.0184559,0.7565566,0.9444247,0.75062984,0.74967855,0.57865465,1.2882776,0.98265153,1.1617347,0.44305658,0.80498385,1.3095411,0.7709768,1.1291504,0.8694965,1.4003272,1.1155924,0.58776367,1.3622987,0.4683596,0.85762715,1.1218383,1.0705767,1.0473624,1.2940576,1.0968542,1.3864129,0.96168417,0.2734517,1.0961589,0.5354126,1.1223183,0.6764667,0.65011084,0.6416084,0.8440074,0.9935194,0.8143585,1.1127396,1.1866612,1.1360179,0.96688044,0.83923435,0.8674094,1.1789417,1.0847433,1.2302433,0.6246234,1.0582345,1.1699114,1.2853191,1.0620574,1.3497804,1.0751418,1.0202132,0.38292825,1.2618235,0.7382653,1.1341075,1.0463021,1.0015687,1.0465889,0.61465216,0.7695505,0.77163255,0.5151976,0.48630756,1.3840591,1.0725108,1.4074674,1.2751386,1.3280184,0.6799432,0.75691944,0.88875234,0.93628657,1.033306,1.2198043,0.6962801,1.0067459,0.9549788,0.82319826,1.0737524,0.688473,0.6222964,1.269778,1.0299114,1.2561743,1.1676719,1.0114522,1.3893754,0.9149749,1.3729279,0.93551224,1.1508172,1.1352955,1.2505214,0.6357907,1.0806576,0.4331922,0.79379046,1.1221685,0.77670467,0.9009828,0.6639694,1.2178054,1.3565016,1.4168884,0.5088541,0.80764073,0.984059,1.0914673,0.85242933,0.74790394,1.2389717,1.1263263,1.1866915,0.89601403,0.74446386,1.2986388,1.1111379
banana,1.1047306,1.008392,0.43217373,0.32339907,1.0328248,0.7865103,0.9158325,0.0,1.0579497,1.2572987,1.3447771,0.9795028,1.2150688,1.1186756,1.0620227,1.3167174,1.135526,1.1488526,1.012635,0.8445388,1.1745164,0.29104275,0.8278118,1.0955411,1.0835965,1.1560019,1.1038107,0.84712434,1.1900439,1.28653,0.6087159,1.0351175,1.1073375,1.2019268,1.0810331,1.077253,0.8932065,1.2669361,0.47647172,0.8194814,1.2769344,0.8824606,1.1174597,1.0074126,0.89387864,1.0763252,1.2857766,1.1591692,1.2844113,0.91831607,0.7000028,1.0843952,0.9838649,1.1597507,0.9036236,0.87374353,0.90817153,0.9284332,0.83516586,0.79770136,1.1300249,1.0918568,1.1611346,1.0378426,0.8233842,0.52160585,1.1321615,0.460468,0.9038048,0.9762431,1.1170475,1.018034,1.2490813,1.0064017,1.2007216,0.90955305,1.1718193,1.093822,0.9383084,0.470788,0.8930577,1.0072562,0.90182704,0.8193371,0.96744454,1.0108448,1.0545703,1.0160471,0.44639426,1.2325351,1.1427455,1.2877296,1.2110394,1.2006185,0.9506055,0.8929682,0.4308319,1.100015,1.1590927,0.79351974,0.94167507,0.6718471,1.1174023,0.880244,1.0414687,0.99155694,0.9078908,1.2811921,1.0074949,0.74182856,0.9834426,0.74794126,1.2506969,1.0039464,1.1833279,0.7154602,1.194334,1.0888121,1.1607873,0.8999387,1.1643596,0.8643818,1.0742002,0.93221194,0.7052623,0.7522758,0.89192295,1.2108585,1.2052734,1.319998,0.8075003,0.9390951,0.84051394,0.7082226,1.1061566,0.8245552,0.98363984,1.1964602,1.051256,1.0589615,0.8961105,1.3067995,1.1743777
basket,1.1422992,0.9394575,1.094196,1.107415,1.3182881,0.8401003,0.8711511,1.0579497,0.0,1.1942698,1.1821983,0.94220304,1.1877061,1.3428991,0.9358021,1.02125,0.8807952,0.6850787,0.7804669,0.6868904,0.8565074,1.0704305,0.91768503,0.60669875,0.82728225,0.654276,0.9031994,1.045168,1.2403691,0.7897049,1.1060772,0.5670743,0.71772546,1.2826929,0.9935328,0.8781632,0.7309246,1.2973969,1.0996053,0.811913,0.8687625,0.6637299,0.84366506,1.1520307,0.7971949,0.9455351,1.0884871,0.79587555,1.2515591,1.2449411,1.0021656,1.036756,1.083952,1.1057028,1.1590499,0.96265876,0.6791305,1.0671625,0.91474247,0.79149085,1.0393249,1.0384161,1.0191733,1.1790895,1.0837922,0.97796047,1.2495239,1.1908534,1.369025,0.79570657,0.92253983,1.0097355,1.2331595,0.8977366,1.364274,1.0316708,0.74592966,0.68717444,1.1374339,1.0003566,1.0199848,1.061765,1.2013727,1.1889398,1.0383228,0.7170054,0.8748622,0.9021893,1.0636796,1.1394091,1.0831653,1.3302267,1.3606447,1.0775244,0.78929305,0.7589061,1.2025179,0.8038015,0.7807069,1.1207428,0.6323515,0.92357934,0.8629209,1.1804339,0.5714171,0.8186808,0.99145734,0.9859254,0.986748,1.126194,1.0786935,0.69174874,1.419023,0.78132266,1.4037799,0.84096247,1.0105497,0.9850813,1.182781,0.7241272,1.0796596,0.83596706,0.8594533,1.0970079,0.78647375,1.1071665,1.0937384,0.8666591,1.3243048,1.1242647,0.51653314,1.1361194,1.1119586,0.9761565,0.76867473,0.612904,0.9770007,1.0970584,1.0080925,0.6232056,1.0085063,1.1194115,1.0427111
bathtub,0.69344014,1.2522833,1.3881513,1.1272386,0.61028284,1.266375,1.3301238,1.2572987,1.1942698,0.0,0.39626497,1.304074,0.30062473,0.53666097,1.2328024,0.55736554,0.77808553,1.0161812,1.2899456,1.0589893,0.66398823,1.3382456,1.1005676,1.000132,1.2222389,1.0556505,0.9387704,1.4368675,0.6083487,0.8191428,1.0803528,1.3555741,1.110844,0.70659673,1.0733136,1.0232301,1.2989788,0.49469483,1.0367508,1.405066,0.4535408,1.378581,1.1579285,0.765778,1.1837983,1.2719529,0.47914064,0.7056664,0.59470546,1.3153348,1.3745108,1.0734409,1.3370357,1.087323,1.3254871,1.2613449,1.3534763,1.1737907,0.95752907,1.3136091,0.91477215,1.0991876,0.6671136,1.2294817,1.1743656,1.2910334,1.0052426,1.0762124,0.92342687,1.4301063,1.1206235,0.81920236,0.60499513,1.0941199,0.5538604,0.9509462,0.93433833,1.21415,0.83540297,1.0864818,0.9687521,0.9869547,1.1641926,1.0094419,1.3719648,1.0070896,1.3316114,1.3961183,1.3752376,0.45438212,1.026766,0.46792924,0.6326773,0.6570101,1.2969097,1.2502277,1.2766471,1.2656579,0.9170576,0.872174,1.3060257,1.1559393,1.2273631,1.1457049,1.0723372,1.3109704,1.352655,0.47480178,1.1907654,0.83326143,1.0884222,1.1879131,0.48906016,1.1696585,0.71049094,1.0405195,0.7687069,0.4136955,0.48077363,1.314103,0.54434544,1.4492192,1.1127715,0.84109116,1.245068,1.3032081,1.420598,0.83098316,0.58463115,0.3924172,1.3928132,1.3232559,1.059894,1.0350626,1.030846,1.3675289,0.82833767,0.77382517,0.81843835,1.0792675,1.3802954,0.48778462,1.0553514
