,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,blanket,book,bottle,bowl,box,bread,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coffee,comb,couch,cracker,crayon,crib,cup,deer,dog,doll,door,drawer,ear,egg,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,hose,jacket,jeans,knife,ladder,lamp,melon,mitten,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pastry,pen,pencil,pickle,pillow,plant,plate,potato,pumpkin,purse,radio,refrigerator,rooster,sandwich,scissors,shirt,shoe,shovel,sink,slide,slipper,snow,soap,sock,spoon,sprinkler,stick,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,truck,vacuum,watch,window
spoon,1.2499313,1.0346981,0.7017845,1.0253357,1.2256587,1.0072106,1.0552253,0.8216116,0.92896974,1.1875896,1.3956391,1.1096845,1.2631766,1.2462782,1.3562713,1.070393,1.0121688,0.5869217,1.2543931,0.75582373,0.92794466,0.84812224,1.070501,1.1129379,0.78889537,1.2878615,1.4006183,0.93365276,1.104222,0.74566543,0.9235215,1.4115064,0.7362218,0.81498665,1.2530252,1.050272,1.0205003,1.2979828,1.0480862,1.2161227,1.0362203,0.88358784,0.68967664,1.2274585,0.93641114,0.8968766,0.92824304,0.9688069,0.091008484,0.90101093,0.8989716,1.0358084,1.0104483,0.89660203,1.2540044,1.0927725,1.0256165,1.1491061,0.7874642,1.341831,1.3686798,0.31628513,0.8846635,0.985645,0.875137,1.1535009,0.8363597,0.7489268,1.0234861,1.1576928,0.984578,1.0951563,0.75991046,1.1639928,1.1875894,1.279829,1.2839789,1.1902064,0.8035866,0.59853655,0.60895723,0.74807477,1.1393996,0.86537194,0.5838893,0.7992865,1.0068098,1.120187,0.99328303,1.1523584,1.014306,1.0921243,0.8010847,1.2864691,1.1372812,0.4380874,0.83384746,1.2707071,1.0692794,1.0872226,0.9666457,1.1256342,0.0,0.9595701,0.8650214,0.7078883,0.8250428,1.2525878,1.1119388,0.85101956,1.0469116,0.8234807,0.97492635,1.154409,1.0227771,0.86995614,1.0236976,1.0617495,1.0268,1.2134594
sprinkler,0.9600575,0.9082752,1.0379019,1.1815162,1.1306647,0.78853375,0.86413366,0.99468756,0.9451493,1.0202463,1.1139569,1.1725848,1.0488797,0.98778003,1.0478339,0.93989277,0.9658141,1.0187635,0.93961185,1.1045756,0.8281816,0.9615008,0.9911455,0.9171646,1.1312201,0.90239495,1.0222142,0.9813441,0.8900197,1.1428056,1.2065811,1.1489197,0.98797935,0.95909446,0.8669851,1.0508518,1.0134972,0.9690966,0.8413235,1.0321325,1.1599767,0.8699068,1.0533209,1.1349508,1.2116125,1.2090319,0.8015119,1.1426799,1.0346295,0.9463328,0.72127354,1.1960557,1.0760899,0.8877181,1.169494,1.0176752,1.0959929,1.1208582,0.84384775,0.93044215,1.1375482,0.90998006,0.94650614,1.0076828,1.0348611,1.0719703,1.1401192,1.0661744,1.1134132,0.9865868,1.2053224,1.139348,0.9676274,1.0207849,0.95427525,1.0850942,1.1572838,0.9612543,1.1106414,1.010421,0.9735356,1.1326857,1.1215808,0.82142603,0.99067456,1.0934087,1.2127725,0.98688287,0.99146223,0.99145126,0.9958343,1.0191637,0.47975385,1.1015543,1.169675,0.91619277,1.1411374,0.8495849,1.0113999,1.0989985,1.171579,0.926842,0.9595701,0.0,1.0217355,1.0582956,0.7441249,1.1098121,1.0344926,0.9411711,1.1629148,1.1041471,0.3886261,0.9274652,0.66906744,0.9180295,1.0785482,0.83248305,1.1070018,1.0027567
stick,1.0535772,1.0157558,1.0659711,1.1744409,1.1970748,1.0766301,1.0465336,0.9533882,1.0837098,1.1793696,1.1906058,0.68606746,1.0595425,1.3074284,1.2139009,1.1402311,0.8175074,0.97995174,1.1612928,0.98737794,1.0407778,0.8438396,0.96449274,0.97613794,0.97934216,1.0105196,1.0141265,0.82931495,0.92256784,1.1857878,0.68384933,1.1678513,1.0552233,0.59684557,1.2617218,0.84779024,1.04726,1.1072011,1.1345252,0.89503,0.851911,0.8857244,1.1452297,1.1001493,0.77430916,0.5952418,0.837379,0.9817495,0.7620268,0.96786076,1.1198715,0.94595164,1.1482491,0.9867774,1.1536156,1.1157609,1.1849527,0.9169473,1.0096574,1.2395077,1.1343024,0.8975475,0.7260649,0.62187475,1.1269962,1.137709,0.9080653,1.020271,0.94571006,0.8456813,0.9318627,1.1202807,1.037966,1.0905619,1.1298825,1.234448,1.0747882,1.2083743,0.9271324,0.61164665,0.36145157,0.8969418,0.85348433,0.8140491,1.1460773,1.1844983,0.9291191,0.98451346,0.85204893,1.1395061,1.037688,1.1208807,1.0501312,1.1854464,1.0468423,1.022366,0.87406045,1.1451635,0.69989395,1.0309194,0.7682531,1.0251901,0.8650214,1.0217355,0.0,1.0468688,1.0631297,1.2584985,1.2376491,0.8164607,0.94126153,0.9741805,1.0334308,0.8570245,1.0524248,1.2810637,0.73885,0.9160075,0.6690267,1.105385
strawberry,1.2909904,0.7284727,0.1770938,1.1253073,1.3571086,0.6819513,0.73664665,0.86339426,1.1922858,1.375311,1.5173092,0.8648019,1.444737,1.4053174,1.4796593,1.2468436,0.84688234,0.7102011,1.3713918,0.30271184,0.9053302,1.0198216,1.0533305,1.1273987,0.33586657,1.2207515,1.3815902,0.8975853,1.0789057,0.9654315,0.9297861,1.4774532,0.95689356,0.7990428,1.3454119,0.90631455,1.0458888,1.2678972,1.0523627,1.2695113,1.1573286,0.6423231,0.27120113,1.2106004,0.7171185,0.84873277,0.85899603,0.7903534,0.7410719,1.0484269,1.0470853,0.8856087,0.94952816,0.7940936,1.2129847,1.1732553,1.0295689,0.94938713,1.0169564,1.4177452,1.4341044,0.87653476,1.0556034,0.8968354,0.8186345,1.0885552,0.7208623,0.29965675,0.8090893,0.9682943,0.8799889,0.8298231,0.34217125,1.269166,1.1729076,1.285476,1.3327578,1.2543514,0.38581014,0.808726,0.91422653,0.6492184,1.1799595,0.8880331,0.70396495,0.46796262,0.9285029,1.0276814,1.0483283,1.2632244,1.0187103,1.1731203,1.1702812,1.343029,0.97532046,0.95847625,1.1345294,1.4330542,0.83632714,1.1599772,0.9214219,1.0829707,0.7078883,1.0582956,1.0468688,0.0,1.098132,1.3831117,1.3372548,0.7096316,0.6452214,0.84751856,1.2406706,0.97487676,0.9158242,1.2101405,0.97509044,1.3136714,0.88765174,1.2658956
stroller,1.0249966,0.9244953,1.1173306,0.910751,0.9946593,1.0485551,1.0785419,1.07597,0.86030674,0.98682946,1.0694025,1.218451,0.9041562,1.0087678,1.0608382,0.9510387,1.170027,0.9636147,0.9144174,1.121634,0.8974433,0.9630217,0.90316325,0.80222213,1.2143295,1.044559,0.87559074,1.1394715,0.86876327,1.0508552,1.140677,1.0874767,0.82989055,1.1093915,0.79801536,1.1491294,1.0581518,1.0139538,0.96018904,0.90966636,0.92051923,1.0773273,1.2264289,1.0651627,1.2577161,1.2382481,1.0224587,1.2642163,0.8767154,1.0217961,0.7849271,1.2895415,0.97889185,0.9494214,1.1216053,1.0000327,0.99503964,1.1976066,0.7453234,1.0147572,1.1329733,0.63963634,0.78951734,1.1386371,0.91028446,0.915014,1.2399114,1.0851252,1.3182377,0.990675,1.2913667,1.2354428,0.9804097,0.9675969,1.0928912,1.0492485,1.1388242,0.9889267,1.1703048,1.0063739,0.93694127,1.1488085,1.0525433,1.0149992,0.95069957,1.0088012,1.3223433,0.8112183,0.9466573,0.75100625,1.0305824,0.9763223,0.6519167,1.0547115,1.0802325,0.7595403,0.8880533,0.7489134,1.1399794,1.1298336,1.2036647,0.93351114,0.8250428,0.7441249,1.0631297,1.098132,0.0,0.9562157,0.9840452,1.1335202,1.284803,0.9906271,0.6824251,0.9278581,0.8955312,0.8975728,0.9841177,0.48474818,1.2450027,0.92317796
sweater,0.83288014,1.1740615,1.3674713,0.8015615,0.51457644,1.1313369,1.0972134,1.2489362,0.96817875,0.6609348,0.39766598,1.3388698,0.6977243,0.4345464,0.5130131,0.8069048,1.4062088,1.1805065,0.6955515,1.3872988,1.1123786,1.1667874,1.2904228,1.2099857,1.2847722,0.94522667,0.7735764,1.3325346,1.1513683,0.9387708,1.2461152,0.41891754,0.96253854,1.5017167,0.67865217,1.3286271,1.0521053,0.73436683,0.84112203,1.0413578,1.1324234,1.3155614,1.261599,0.7045403,1.2026994,1.3251455,1.2891903,1.2721405,1.3064706,1.0957695,1.0084412,1.1701986,0.8189852,1.2467211,0.65381587,0.82276726,0.67590505,1.1544603,1.0240303,0.356422,0.5006952,1.23422,1.2413981,1.408633,0.9942455,0.7097374,1.2315096,1.3445033,1.2786857,1.2528346,1.1053233,0.97317684,1.356074,0.7857635,0.777931,0.35118812,0.64651257,0.6568791,1.3671262,1.5136949,1.462118,1.2007852,1.065863,1.2684636,0.94165105,1.1085242,1.1087216,1.0622916,1.1867855,0.9240124,1.0950475,0.8208053,0.93340284,0.5027214,0.9916506,0.9944581,1.0399854,0.6164811,1.4295805,0.7917702,1.3424795,0.85977936,1.2525878,1.1098121,1.2584985,1.3831117,0.9562157,0.0,0.4994501,1.3979592,1.2566936,1.2291164,0.9129057,1.196666,1.1209099,0.60184574,1.180632,0.99700284,1.3878977,0.71683925
table,0.92885906,1.2817569,1.2564034,0.8231427,0.4950086,1.202589,1.1678963,1.1969138,0.79629433,0.59621716,0.37488103,1.3985008,0.5403028,0.43339115,0.48661274,0.5126301,1.4985781,0.8959816,0.47637546,1.3014427,1.0135312,1.2157271,1.1545098,1.1552165,1.3367652,0.94614947,0.7074646,1.3395504,1.0880095,0.8857826,1.3454769,0.43743545,0.871789,1.5772284,0.594395,1.3863006,1.0931927,0.8228402,0.86189735,0.91297394,0.94902456,1.4754779,1.1906297,0.85973513,1.3457284,1.3238555,1.306164,1.4045626,1.1904216,1.089433,0.93499273,1.3280839,1.0322877,1.224186,0.84136194,0.78213215,0.8352069,1.3151494,1.1172929,0.45093048,0.55671406,1.1184139,1.1757132,1.3652008,0.99787444,0.85893166,1.3233635,1.2478974,1.4591869,1.3027816,1.2814975,1.1905613,1.2315834,0.7274587,0.76231533,0.56043077,0.70372415,0.43622208,1.2749332,1.5011818,1.3920579,1.3006287,1.0961741,1.2650691,0.5835924,1.017567,1.176462,1.1625454,1.1402845,0.8118529,1.0953124,0.77272594,0.9352173,0.5710273,1.0897121,0.86996394,0.85270715,0.56210434,1.4841093,0.5840862,1.2833694,0.9124012,1.1119388,1.0344926,1.2376491,1.3372548,0.9840452,0.4994501,0.0,1.4543331,1.4714735,1.3250797,0.9301624,1.2588962,1.1909823,0.39471948,1.2193248,0.8827518,1.470149,0.6948062
tape,1.1922939,0.86806905,0.69056356,1.1339077,1.4905456,0.5977316,0.826927,0.80507684,1.0092357,1.385145,1.4790342,0.65763724,1.483536,1.5247123,1.4875715,1.0959818,0.30740595,0.7423092,1.2255279,0.64447474,0.74816966,0.72657865,0.9129127,0.7665801,0.8475883,1.0688108,1.3475628,0.47404128,1.0623273,1.1202364,0.8030176,1.4668851,1.2364608,0.3447262,1.286949,0.3763122,0.9423581,1.28878,1.0473429,1.2014399,0.9917248,0.6815697,0.8046942,1.2219657,0.8594942,0.57444507,0.6326633,0.6902699,0.83856654,0.7736539,1.0730389,0.7938851,1.3191624,0.45651007,1.2798628,1.2795068,1.3540404,0.6678177,1.1485046,1.432875,1.5777721,1.0107292,1.0180975,0.5342568,0.9509832,1.3291571,0.83490187,0.7737256,0.47029603,0.7502943,1.0358533,1.0508099,0.6153217,1.276092,1.2406113,1.5122596,1.4838172,1.2877512,0.7640262,0.5599003,0.54694134,0.7553202,1.017117,0.7320368,1.168846,0.9559358,0.95869005,1.0005188,0.6596892,1.3019024,0.9431686,1.2885432,1.1008819,1.4018687,1.200796,1.0355537,1.0924865,1.4166197,0.41389853,1.1596608,0.53916824,1.3070142,0.85101956,0.9411711,0.8164607,0.7096316,1.1335202,1.3979592,1.4543331,0.0,0.72005093,0.75080764,1.2154052,0.7911837,0.3672017,1.250664,0.9764765,1.3491919,0.55548275,1.2519395
toe,1.1406689,0.40345478,0.7940818,1.2810352,1.2122366,0.9656168,0.9305918,0.93468523,1.3153719,1.3047174,1.3145461,0.46960354,1.2681973,1.4200662,1.3218727,1.3362985,0.544266,1.1272764,1.436115,0.80052257,1.083682,1.0144821,0.92186254,1.0867779,0.4768247,1.0871472,1.2232811,0.7753869,0.9792122,1.0991746,0.7284943,1.2810295,1.2998883,0.49906367,1.471206,0.57060355,1.0474235,1.1213723,1.1261108,1.1462636,1.1053362,0.48075593,0.7331877,0.98009986,0.26884162,0.79772526,0.9110533,0.32835722,0.985252,1.1085136,1.2367916,0.4028567,0.9660201,0.9972852,0.97238374,1.2860645,0.776425,0.65832144,1.089769,1.3917854,1.1949954,1.041517,0.957692,0.6447264,1.1451927,1.0971847,0.63297415,0.9206957,0.33458585,0.77711284,0.38610792,0.43790388,0.9004852,1.2516677,1.2773597,1.2532704,1.127369,1.3332309,0.8399445,0.5788162,0.751495,0.77066714,1.0196854,0.93315995,1.2938644,1.0705584,0.77551436,1.037916,1.0754143,1.2945035,1.0378237,1.2905227,1.3564196,1.2768655,0.7502336,1.2625299,1.2355242,1.3569022,0.44967026,1.1385546,0.7315255,1.0770664,1.0469116,1.1629148,0.94126153,0.6452214,1.284803,1.2566936,1.4714735,0.72005093,0.0,0.726528,1.2965169,0.8744291,1.0516669,1.4846976,0.92685014,1.2378248,0.46629024,1.2817732
tooth,1.2566214,0.9102286,1.0211669,0.87687165,1.2009172,1.0454595,0.97535545,0.96004015,0.83409154,1.2398012,1.3769706,0.6993192,1.1381962,1.2330351,1.3792082,1.1418214,0.624208,0.93697363,1.2130667,0.9434478,0.76806265,0.9980874,0.7585371,0.88556314,0.8098173,1.1823108,1.0954744,0.84599876,0.9092917,0.89399827,0.7340305,1.3783168,1.1203464,0.5824101,1.1232662,0.6944319,1.0576264,1.2677085,1.1840551,0.92945004,0.85699743,0.75129575,0.9364745,1.2610052,0.6782726,0.70176494,0.9193067,0.617823,0.73380333,1.0446285,1.1704247,0.8640342,0.90516996,0.7926966,1.2722185,1.2176663,0.9903503,0.95593745,1.0010035,1.3260329,1.2728329,0.806877,0.7318997,0.72412175,1.1712811,1.0627581,0.8234545,0.93567455,0.77603704,0.82971144,0.82770014,1.000289,1.0625266,1.1929691,1.2686872,1.159111,1.2092028,1.297398,0.85175496,0.63336027,0.725678,0.89216566,1.0294602,0.9428866,1.2388154,1.0353242,0.8447603,1.0029119,1.0776291,0.97060263,1.0859978,1.2119913,0.9076615,1.303114,0.9637122,1.0286714,0.928129,1.2637446,0.7365311,1.0301411,0.5558238,0.98540694,0.8234807,1.1041471,0.9741805,0.84751856,0.9906271,1.2291164,1.3250797,0.75080764,0.726528,0.0,0.9924143,0.8981932,0.8671582,1.183269,0.8508118,0.9698185,0.6743972,1.1734703
toothbrush,0.9684739,1.0797075,1.173891,0.980569,0.89400274,0.9064754,0.87170607,1.0949317,0.8716636,0.9136667,0.92331225,1.3059547,0.8454818,0.7539808,0.89402795,0.9599431,1.2151327,1.0370419,0.87900245,1.2508917,0.923234,1.1243274,1.1474549,1.0002373,1.180291,0.9539108,0.9744568,1.222894,0.99832034,1.0000559,1.210714,0.9733449,0.8358362,1.1369609,0.69409746,1.2418661,1.0588915,0.91334945,0.9464048,1.0571303,1.070194,1.1304051,1.0752422,1.0212657,1.2000976,1.2821662,1.0258394,1.2329556,1.0512905,1.0814494,0.87943745,1.2250004,0.93224555,1.048464,1.0602373,0.8843333,0.8391377,1.2641058,0.9020068,0.8181411,0.980827,0.8934988,0.95821875,1.2222662,0.96920484,0.9394867,1.1825426,1.1635666,1.2595507,1.1788661,1.1390617,1.0879287,1.1645925,0.75671774,0.8732227,0.84509873,1.0451297,0.9343109,1.1894095,1.1211919,1.060071,1.0897774,1.180443,1.0667883,0.94835544,1.1138837,1.1620789,1.0491382,1.1140952,0.97187823,1.0814492,0.8813809,0.16265118,0.9408141,1.0861483,0.8480035,0.94393694,0.6993061,1.2541451,1.117272,1.2143166,0.8592533,0.97492635,0.3886261,1.0334308,1.2406706,0.6824251,0.9129057,0.9301624,1.2154052,1.2965169,0.9924143,0.0,1.1182449,0.89631677,0.7434867,1.1431922,0.7659526,1.2571342,0.94451886
towel,1.091371,0.86314005,1.0553946,1.1219354,1.205853,1.0015032,1.0142677,1.0086981,1.0569546,1.0293084,1.1803637,0.6280368,1.0674475,1.2055728,1.0095694,1.1499857,0.7130941,1.0378582,1.1778941,0.98095715,0.94235045,0.8726746,0.7122703,0.80452585,1.0730233,0.9154068,0.68912023,0.87764275,0.7550271,1.0553666,0.8521209,1.1988245,1.1841948,0.7559844,1.1240597,0.74616027,1.1051202,1.0690073,1.1152568,0.90728235,0.9903522,0.77498275,1.1635997,1.2680486,0.89901257,0.9535277,0.9076664,0.9405338,1.0890938,1.1059209,0.96612245,1.0073414,0.8879243,0.75019217,1.2933067,1.0746434,1.1491444,0.89533025,0.9272146,1.0495557,1.0787276,0.96646535,0.8504247,0.7212028,1.191033,0.90121555,1.0434418,1.0390645,0.8771664,0.03700143,0.927376,1.1147336,0.96359235,1.148463,1.1593859,1.0658698,1.0268269,1.2098967,1.0409796,0.71197724,0.71403444,1.1345311,0.5643866,0.9195961,1.2729423,1.1179504,1.0507053,0.5787809,0.9756791,0.95369893,1.0560752,1.0697676,1.2026997,1.0896305,1.0642014,1.1455472,1.0216346,1.1466613,0.6284735,1.2011969,0.84114593,0.84816915,1.154409,0.9274652,0.8570245,0.97487676,0.9278581,1.196666,1.2588962,0.7911837,0.8744291,0.8981932,1.1182449,0.0,0.9511727,1.3305668,0.80923164,0.91252005,0.7482991,1.1367121
toy,1.0389565,0.9255688,0.8238286,1.0775748,1.3047963,0.55385035,0.7839208,0.846243,0.8038386,1.3264918,1.312552,0.994262,1.3573844,1.2083216,1.317138,0.74353725,0.57351375,0.8763133,0.8213631,0.84954834,0.6307094,0.78435636,1.0083474,0.6516962,1.064315,0.99878997,1.1997063,0.617258,1.1051487,1.2367461,1.0331923,1.3111606,1.1531948,0.6714084,0.7758388,0.6609458,0.8971853,1.0559821,0.68506706,1.2350837,1.0601112,0.8581368,0.9638354,1.1666018,1.1362088,0.88425833,0.7005216,0.90641934,1.0520444,0.6646624,1.0343771,1.0516902,1.3174903,0.51404685,1.2206957,1.2103871,1.237905,0.8418186,1.0950521,1.1455246,1.4386287,1.1622111,1.0768725,0.8625324,0.9147115,1.2607813,1.0949671,0.9001163,0.76992965,0.98428434,1.287034,1.1262228,0.6635555,1.1585088,1.0879401,1.260656,1.4570255,0.95582616,0.98898816,0.9192631,0.87379044,0.9237809,1.114049,0.81589687,1.1189921,0.97021806,1.1158471,0.9864663,0.72648287,1.2029643,0.9162345,1.2186817,0.7888357,1.2862797,1.2618089,1.0247403,1.2079575,1.1279066,0.7991793,1.0101537,0.79199636,1.3313336,1.0227771,0.66906744,1.0524248,0.9158242,0.8955312,1.1209099,1.1909823,0.3672017,1.0516669,0.8671582,0.89631677,0.9511727,0.0,0.9444454,1.0571144,1.1730126,0.87495166,1.1285459
tray,1.0527678,1.2808102,1.1093236,0.69102955,0.64194715,1.0746922,1.0890807,1.1205077,0.6171642,0.7339935,0.6791191,1.5497037,0.8510379,0.4929545,0.7370306,0.6543975,1.4393146,0.5021347,0.5431255,1.1426969,0.6512605,1.2100339,1.1802341,1.2268218,1.2348558,1.093846,1.0106214,1.2970269,1.29386,0.79552484,1.304768,0.7502332,0.6174226,1.5107584,0.49168003,1.3635132,1.1146992,0.8889249,0.8909684,1.1925157,0.9514096,1.4743421,1.0016948,0.9028754,1.3995965,1.3319411,1.3159246,1.3502402,1.0421569,1.0965692,0.93710256,1.3108134,0.9170044,1.0354583,0.9237459,0.76951784,0.8182535,1.2901107,1.065992,0.6533324,0.86628664,0.9397451,1.2267295,1.485771,0.8522868,0.87487507,1.2792681,1.0620254,1.4292709,1.4001114,1.2668998,1.1172123,1.1097364,0.8259607,0.73418915,0.64112115,0.9717706,0.58105564,1.1717927,1.460805,1.352316,1.0881482,1.2709202,1.3140223,0.4617604,0.90713495,1.1406132,1.2124954,1.1176931,0.913684,1.1308948,0.7593272,0.7379157,0.7792241,1.1118832,0.5487206,0.67833865,0.7231766,1.5802329,0.8503576,1.2502066,1.0678978,0.86995614,0.9180295,1.2810637,1.2101405,0.8975728,0.60184574,0.39471948,1.250664,1.4846976,1.183269,0.7434867,1.3305668,0.9444454,0.0,1.3093717,1.0260077,1.53743,0.81679547
truck,1.1033458,0.93815315,1.0717076,1.1216383,1.1815374,1.0901617,1.0021812,0.9705104,0.967823,1.1645918,1.2072405,0.7262966,0.8845438,1.271489,1.2502995,1.2326894,0.8090937,1.055749,1.2111579,1.055018,0.89709663,0.87951314,0.6952197,0.7805786,1.0605124,0.95483226,0.7823095,0.78657067,0.7682236,1.1426423,0.86951184,1.1666882,1.1606423,0.82860136,1.0306606,0.8993179,1.0661621,1.0409222,1.0717902,0.68717957,0.83367324,0.853293,1.152776,1.2018033,0.9277737,0.7560552,0.91925436,0.90798235,0.903581,1.0148647,1.0258214,0.9012486,0.9400316,1.0418577,1.1489863,1.2010521,1.1625096,0.83215714,0.7902971,1.2313441,0.9382073,0.94201607,0.6358969,0.7141201,1.242264,1.0435892,0.97448057,1.0564355,0.9956576,0.7708839,0.9058775,1.0344465,1.0934033,1.0808499,1.0570894,1.1293042,0.9072335,1.3069823,0.97407407,0.7077168,0.753445,1.105111,0.72172034,0.8583383,1.2710016,1.05649,0.95785105,0.8569648,0.9598346,0.9203379,1.0422125,1.1850975,1.1237,1.1229713,0.8152262,1.2037299,0.84497726,1.1291829,0.8175466,1.1007706,0.87794876,0.9671704,1.0236976,1.0785482,0.73885,0.97509044,0.9841177,1.180632,1.2193248,0.9764765,0.92685014,0.8508118,1.1431922,0.80923164,1.0571144,1.3093717,0.0,0.7903261,0.7121057,1.1011446
vacuum,1.0557204,1.0153831,1.3979707,0.9062517,0.94433224,1.2455993,1.1408494,1.1975522,0.82342803,0.804081,0.8941561,0.97529024,0.4547497,0.9495692,0.90705276,1.0936706,1.0999049,1.0808637,0.87167835,1.396886,0.78377295,1.0918745,0.5490848,0.7154044,1.3375388,0.8944335,0.46595776,1.1860563,0.5014602,1.0404841,1.0522734,0.93832016,0.9876099,1.123019,0.6612961,1.1074595,1.238348,0.96112245,1.1698349,0.3986913,0.65574205,1.1085567,1.4554695,1.0814404,1.1868733,1.2603803,1.1271708,1.2581376,1.00733,1.2464862,0.71327645,1.2219993,0.91983044,1.173747,1.1244845,1.0558918,1.0057292,1.2639823,0.6787163,0.94651955,0.8058243,0.7098803,0.504916,0.898779,1.1575278,0.8004241,1.2927343,1.3695425,1.314114,0.8905408,1.1383326,1.2117598,1.3148562,0.8114413,1.000898,0.9026647,0.81583303,1.1082714,1.3180703,0.9513228,0.8910998,1.3714366,0.8532968,1.0279227,1.1961677,1.2408813,1.2105343,0.7128849,0.9486871,0.44281948,1.208065,1.0380867,0.7852062,1.0015801,0.79267967,1.0331272,0.6499097,0.6410434,1.0864269,1.017995,1.1069701,0.78718174,1.0617495,0.83248305,0.9160075,1.3136714,0.48474818,0.99700284,0.8827518,1.3491919,1.2378248,0.9698185,0.7659526,0.91252005,1.1730126,1.0260077,0.7903261,0.0,1.060425,0.87873805
watch,1.1708289,0.88379633,0.9847123,1.3410358,1.3970217,1.0188836,0.9647562,0.8391761,1.2313308,1.2886602,1.3927474,0.22048247,1.1771289,1.5057776,1.3787205,1.2665701,0.22468501,1.0684308,1.3769429,0.91758484,1.0463609,0.8252682,0.73883474,0.73377687,0.87142414,0.98330486,1.1080195,0.5273219,0.82343376,1.201977,0.5710966,1.3753206,1.2554154,0.2468006,1.4053063,0.27633214,1.0507191,1.259307,1.2593759,0.9425697,0.9570777,0.5741748,1.0014997,1.2147771,0.62840706,0.5311049,0.6662663,0.45934367,0.88873833,1.0091968,1.2145126,0.605896,1.2552571,0.945038,1.2028153,1.2134963,1.2712111,0.6910739,1.1159437,1.3825655,1.2686919,0.95530283,0.7458618,0.22961402,1.2760003,1.3362958,0.77401197,1.0355865,0.32343507,0.62447846,0.69088674,0.89436924,0.9497847,1.1156976,1.3011885,1.4344817,1.186068,1.3418174,0.8762749,0.35377133,0.44306028,0.9478544,0.919575,0.7558555,1.3451185,1.2667514,0.8219696,0.9576394,0.88396025,1.2258418,1.0354446,1.2253723,1.2416492,1.2900031,0.8558029,1.2721317,1.1275887,1.3451462,0.29457253,1.0258368,0.5613133,1.2123109,1.0268,1.1070018,0.6690267,0.88765174,1.2450027,1.3878977,1.470149,0.55548275,0.46629024,0.6743972,1.2571342,0.7482991,0.87495166,1.53743,0.7121057,1.060425,0.0,1.2148154
window,0.93853,1.1870943,1.193995,0.96770304,0.7821796,1.1157026,1.0955434,1.1665083,0.9906149,0.6994986,0.6824465,1.2244365,0.8217828,0.71554613,0.7578192,0.84129584,1.2353202,1.1357069,0.72938937,1.2016958,1.1206552,1.108421,1.0258678,0.91379166,1.2821703,0.8594165,0.9037421,1.1641406,0.879874,0.96771264,1.2379721,0.7166253,0.9667075,1.2923408,0.7885552,1.1302366,1.0600054,0.95959663,0.97906125,0.8282816,1.0829864,1.2564306,1.1493549,0.81169075,1.2202672,1.1194329,1.0759606,1.2815491,1.2303175,1.0769442,0.8787067,1.1683836,1.1432271,1.1562662,0.8365673,0.82909524,1.0110118,1.1277726,0.9954389,0.6996985,0.8292727,1.1417062,1.0528343,1.1071042,0.9835398,1.0310322,1.2258178,1.1557837,1.2190545,1.164127,1.2178054,1.1204692,1.168147,0.8404739,0.8981285,0.8524697,0.9034896,0.7256059,1.1785865,1.2303617,1.2137123,1.2235475,1.1081291,1.0593259,0.9206663,1.0517352,1.1149302,1.0933706,0.9849256,0.8304926,1.0684762,0.81927717,1.0083843,0.73612356,1.1450377,1.0408943,1.0508063,0.6677464,1.2643616,0.90038055,1.2331299,1.0247844,1.2134594,1.0027567,1.105385,1.2658956,0.92317796,0.71683925,0.6948062,1.2519395,1.2817732,1.1734703,0.94451886,1.1367121,1.1285459,0.81679547,1.1011446,0.87873805,1.2148154,0.0
