,apple,ball,balloon,basket,bed,belt,bench,bib,blanket,book,bottle,bowl,box,bread,bucket,can,car,cat,chair,coffee,couch,cracker,crayon,crib,cup,deer,dog,doll,door,finger,flower,game,glasses,gum,hand,hat,jeans,knife,lamp,nail,napkin,owl,paper,pen,pig,pillow,pizza,plate,pony,purse,refrigerator,shirt,sink,slide,slipper,table,tape,towel,toy,window
apple,0.0,0.57280743,0.96997017,1.092479,1.2863872,0.8671768,1.2775978,1.1352005,1.2035013,1.1570281,0.39626145,0.85730183,1.1842974,0.73894477,0.9484635,0.9767924,1.1963334,1.0229597,1.3273839,1.2126487,1.4109554,1.1066658,0.27337992,1.2482841,0.4638512,1.2368245,1.3079257,1.0935522,1.070259,0.99075985,0.72593224,1.1454074,0.9750605,1.2073251,1.2755566,0.34041572,1.2978039,0.8741521,0.69926816,0.34387338,1.2424488,0.85920954,1.1801752,0.3954761,1.0968637,0.8543985,1.1713574,0.93058026,1.234803,1.2374777,1.091279,1.321971,0.93193096,0.9939621,0.6361404,1.2745008,0.9576404,1.2666273,0.9647308,1.1941308
ball,0.57280743,0.0,0.716046,1.3218056,1.3804516,0.7361652,1.2029619,1.2241402,1.098616,1.3570427,0.48051506,0.8346823,1.3549511,0.8691747,0.89064914,0.86497647,1.1697798,1.0024059,1.2711141,1.2183241,1.2606168,0.98708844,0.50596625,1.3734016,0.4028821,1.2442397,1.2930043,1.137498,1.0579413,0.729207,0.75223494,1.2258849,0.8661351,1.180464,1.044754,0.42337203,1.3171568,0.7914141,0.7049575,0.404984,1.1986291,1.0177797,1.2946126,0.6531358,0.8546436,0.7436288,1.0207425,0.7062267,1.1671098,1.2031672,1.1181693,1.1588427,0.90248436,0.9924402,0.6214596,1.3910463,0.784033,1.2870064,1.1010913,1.2219051
balloon,0.96997017,0.716046,0.0,1.1398219,1.2129679,0.9351772,1.223921,1.0667303,1.0052648,1.2336662,0.86371386,0.990682,1.0929112,0.986303,0.9710997,0.9381476,1.1917329,0.7627188,1.2240274,1.1852739,1.2120423,0.88655734,0.85985494,1.156374,0.8561108,1.1357257,1.0888314,1.1342727,0.83036345,1.0447285,0.92471266,1.1877897,1.0359085,1.1196827,1.1459553,0.9754331,1.2161473,0.94997525,0.5057589,0.8376721,1.1336962,1.0488172,1.1339463,0.9335813,0.8791401,0.8053276,0.86658686,0.8346642,1.0542474,0.9840634,0.8858204,1.0669088,0.8852039,1.0161083,0.87186456,1.2707231,0.7155142,1.0349207,1.1434718,1.1660094
basket,1.092479,1.3218056,1.1398219,0.0,1.0549657,1.0985683,0.8385941,0.9346306,1.0637103,0.90331554,1.0583503,0.9295331,0.6789675,1.1475786,0.93047357,0.94593203,1.0747693,1.1590261,0.9120418,1.0067763,1.0146329,0.83715475,1.1930912,1.0542635,1.1224949,0.92060614,0.9551303,1.064246,1.1533554,0.9775247,1.0010858,0.9815214,0.96809554,1.0676032,1.2021044,1.0816329,0.98868746,1.0409261,1.2138137,1.2135689,0.98395246,0.83562225,0.9002706,1.0805893,0.8772328,1.1071535,0.8718676,1.0936997,0.931486,1.0290508,1.1519018,1.0483786,1.1166351,0.90545505,0.99971753,1.0418144,0.99844015,0.96369606,0.8493889,1.1761129
bed,1.2863872,1.3804516,1.2129679,1.0549657,0.0,1.3323727,0.93820184,1.0562938,0.79945517,0.5946601,1.4263651,1.4126353,0.7676262,1.1005837,1.3884425,1.3026836,0.7295642,1.0921327,0.6526031,0.5650423,0.49634403,1.3358142,1.4232695,0.1923613,1.3859558,0.9508715,0.77555114,0.77157545,0.84063447,1.2792338,1.3602432,0.70811915,1.1941986,1.0202272,0.7357457,1.4573997,0.6765685,1.2751505,1.2960376,1.3908731,0.9464109,1.1212943,0.7167714,1.371466,1.2298161,0.9175084,1.3196656,1.2031187,1.0432161,0.8883214,0.8962636,0.8303913,1.2355387,1.2730191,1.4728498,0.26226902,1.1606368,0.8323729,1.0736481,0.65651494
belt,0.8671768,0.7361652,0.9351772,1.0985683,1.3323727,0.0,0.9712443,1.2071689,1.1813408,1.2518768,0.84850895,0.6710857,1.2560753,0.9335908,0.6737094,0.7836362,1.2982888,0.91086674,1.2539066,1.3097103,1.3108437,0.82307184,0.54623497,1.2589148,0.67705774,1.276514,1.3319937,1.2626655,1.0392818,0.9578715,0.88553834,1.1789426,0.7848623,1.0552714,1.2733176,0.59229624,1.2291114,0.46295345,0.7560295,0.6479732,1.2941829,1.0913087,1.2297213,0.55131865,1.1105777,0.87034416,0.70623714,0.706169,1.2735496,1.2407451,0.98607874,1.2549558,0.39694595,1.0252273,0.4499749,1.3584263,0.7207072,1.3006711,1.1028025,1.1940002
bench,1.2775978,1.2029619,1.223921,0.8385941,0.93820184,0.9712443,0.0,0.89211905,0.9626492,1.1179203,1.2004497,0.8583646,0.8749018,1.0542829,0.85012496,0.8824327,0.90391314,1.2535466,0.6875663,0.866361,0.78535014,0.83058804,1.2623615,0.8286116,1.0530163,1.004396,1.0061116,1.160782,1.1083806,1.0217165,1.1660988,1.0656914,0.9542426,0.99634445,0.9270868,1.2234322,0.9528737,0.87421894,1.3564835,1.2471249,0.87478113,1.2828636,1.0522242,1.2066416,0.8761502,1.098675,0.8624441,0.9849559,0.9788534,0.8180848,1.0581043,0.7284525,1.0474724,0.8815798,1.0465565,0.9868786,1.038181,0.93907845,1.0646235,1.0149182
bib,1.1352005,1.2241402,1.0667303,0.9346306,1.0562938,1.2071689,0.89211905,0.0,0.75079405,0.9419353,1.0642718,0.9004437,0.97919333,1.1364294,0.9222401,0.86833626,0.9587129,1.0437768,0.97405356,1.1690313,0.93139493,0.88932514,1.1281046,1.0205269,1.2146838,1.0416236,1.0790046,1.063036,1.0486157,1.130422,0.9969798,0.95159715,1.136656,0.91290116,1.1026362,1.1933622,0.91254956,1.0866287,1.1338005,1.2224345,0.6461127,1.1959851,0.97148484,1.2155895,0.8515969,1.082503,0.9090417,1.2325345,0.97263235,0.8523794,0.91558355,0.6569296,1.1135962,0.8207974,1.1433768,1.0865546,1.2196658,0.61136454,1.0452201,1.0717114
blanket,1.2035013,1.098616,1.0052648,1.0637103,0.79945517,1.1813408,0.9626492,0.75079405,0.0,1.0318445,1.1511651,1.0411458,0.9589954,1.1704178,1.0676391,1.002933,1.0025328,0.90968406,0.8528339,1.0510644,0.67682934,1.0175076,1.1599156,0.9988275,1.1855642,1.1727667,1.027806,1.142311,0.89045036,1.1150868,1.1226635,1.0154912,1.0459043,0.7091018,0.8995732,1.1979973,0.76810896,1.1148427,1.2237582,1.1408235,0.66734844,1.2396364,0.92750007,1.1495993,1.0130342,0.75093305,1.0615046,1.1188422,1.1566409,0.8127701,0.81952804,0.73427904,1.0468702,1.071539,1.1930315,0.838853,1.1150948,0.55683523,1.2368283,0.9932902
book,1.1570281,1.3570427,1.2336662,0.90331554,0.5946601,1.2518768,1.1179203,0.9419353,1.0318445,0.0,1.2820168,1.3787777,0.69739467,0.9674468,1.3633767,1.3646142,0.7482419,1.0958222,1.1031786,0.83706343,0.95267123,1.3106365,1.2307687,0.8450938,1.344639,0.84952104,0.9093212,0.6549419,1.0273465,0.9836767,1.1753095,0.41920453,1.175764,0.9220321,0.84252685,1.3175714,0.8779266,1.2111435,1.2136668,1.3249146,1.0139905,1.047706,0.47774446,1.2124504,1.2625958,1.1990886,1.2723205,1.2295986,0.897452,1.0272769,1.1233274,0.9648524,1.1343821,1.1005915,1.3321894,0.48629493,1.1752613,0.9692493,0.9310551,0.86487484
