,apple,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,blanket,book,bottle,bowl,box,bread,bucket,can,carrot,cat,chair,clock,closet,coffee,couch,cracker,crayon,crib,cup,deer,dog,doll,door,drawer,dress,egg,flower,foot,fork,frog,glasses,glove,gum,hair,hand,hat,horse,jacket,jar,knife,ladder,lamp,milk,nail,napkin,necklace,orange,oven,pajamas,paper,pen,pencil,pickle,pillow,plant,plate,pony,potato,pumpkin,purse,refrigerator,scissors,shirt,shoe,shovel,shower,sink,slipper,sock,soup,spoon,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window
gum,0.46026754,0.6456529,0.7202295,0.6394794,1.2705886,1.4040222,1.3492273,0.7555894,1.3629534,1.3342305,1.3249965,1.1297657,0.60310936,0.71431124,1.2469506,0.6464255,1.1129552,0.95228374,1.0597049,1.1007599,1.3554683,0.538779,1.1368281,0.98752415,1.358036,0.8872356,0.69370204,1.4557433,0.8257494,1.1989002,1.0703704,1.0962824,1.3736162,1.2592264,1.2930639,0.65228635,1.0233551,0.97144663,0.7419815,0.95124084,0.829164,0.7717943,0.0,1.1997328,1.2592719,0.5540332,1.1910369,1.1728265,0.7729094,0.698788,1.3408853,0.693457,1.0252165,0.53325415,1.2624537,0.90347683,0.67986035,1.321152,1.1553454,1.2810662,0.88060987,0.78069663,0.55442894,1.1015583,1.2112671,0.8676711,1.2015054,0.67308414,0.6421659,1.1526009,1.3047012,0.6592467,1.311308,1.1824487,0.744942,1.2516785,1.1606538,0.6315677,1.1587099,0.83618593,0.7894599,1.1951534,1.2089465,0.794273,0.9824359,1.0038877,0.5576676,1.0304185,0.8288356,1.2992294,1.2168331,0.62340856,1.3587534
hair,1.2493253,1.1718619,1.3086548,1.3142254,0.97834677,0.89238054,0.713236,1.1939927,0.9009824,0.6932646,0.8422985,0.9626659,1.2650969,1.4263308,0.89869475,1.3036609,1.2012016,1.2698545,1.0382525,0.82194614,0.8488132,1.2460837,1.2005024,1.3571494,0.6951095,1.1136416,1.2884951,0.8181629,1.2696111,1.0233052,0.8110547,0.84186226,0.88824165,1.0146993,0.8263607,1.1823232,1.0371091,0.93520224,1.2394296,1.0265349,0.8994742,1.1347716,1.1997328,0.0,0.71482205,1.1708586,0.9751182,0.7536263,1.2531374,1.262869,0.8967832,1.216888,0.9554329,1.142454,0.94131577,1.0060129,1.1122056,0.90266067,0.6631479,0.97178435,1.2089375,1.307622,1.1321496,0.9512073,1.0864439,1.1468937,0.9622026,1.2266322,1.081439,0.99399227,0.83412516,1.1231165,0.5722857,1.056799,1.2656542,0.69305426,1.2886088,1.221122,0.77495396,1.2452104,1.1731516,0.67836785,0.77544,1.3803563,0.8783602,0.8858194,1.3055648,1.2680088,1.197372,1.0420157,0.9589463,1.0592616,0.73785657
hand,1.1330973,1.0328927,1.296351,1.2436361,0.85663575,1.0176516,1.001437,1.2538476,1.0089116,0.65441513,0.84255403,0.96236384,1.3115468,1.2561932,0.8901123,1.2732667,1.1294283,1.2638351,0.8714595,1.0338395,1.0226958,1.2089106,1.0915077,1.3114471,0.9805819,1.0004259,1.2301476,0.9148092,1.113434,0.8571814,0.8034402,0.8107202,1.0232197,0.9371685,0.9052222,1.044423,0.97735757,1.0187044,1.2700717,0.87055826,1.0115225,0.9293653,1.2592719,0.71482205,0.0,1.1717017,0.8634776,0.99624854,1.2239072,1.2212975,0.96655124,1.2530882,1.0403968,1.2575713,0.838652,0.93764555,0.99947625,1.0936509,0.78590304,0.751733,1.2256799,1.2092971,1.2390026,0.92684203,1.1161579,1.0618978,0.8777798,1.2625084,0.9891658,1.064926,0.9083902,0.9253827,0.803225,0.9118527,1.2838614,0.9769006,1.1442691,1.0430322,0.70573497,1.2771189,1.0673561,0.91732675,0.9104979,1.2225567,0.56488514,0.69951344,1.168885,0.9945129,0.99742633,0.7780961,0.8981574,1.0413955,0.9798665
hat,0.37257016,0.875941,0.7318842,0.37960654,1.3260671,1.5092745,1.5372949,0.9640155,1.3561358,1.3826375,1.3486993,1.1869757,0.63828695,0.67496884,1.3316512,0.49274933,0.79367197,0.71784467,0.862275,1.1824677,1.3503231,0.75456464,0.9845258,0.89521587,1.4257338,0.75379735,0.6126349,1.5134892,0.7627085,1.0349649,0.9951113,1.125639,1.3682758,1.3063042,1.2614052,0.6821549,1.0432519,0.98795575,0.7546807,0.7429131,0.4683287,0.5431346,0.5540332,1.1708586,1.1717017,0.0,1.0116572,1.2966824,0.67920756,0.59037185,1.3940763,0.74112475,1.1360856,0.7955356,1.3510988,0.8513026,0.727072,1.2943832,1.2841315,1.0956972,0.9546431,0.8591383,0.45042866,0.96805245,1.096036,0.93953556,1.023292,0.6100625,0.66462874,1.048839,1.3893219,0.5772434,1.4128375,1.0336419,0.5398071,1.3752365,1.0069087,0.6741736,1.2974818,0.8805989,0.60147536,1.2657737,1.3965143,0.78696585,0.9281643,0.9821323,0.5097246,0.9211269,0.7654326,1.3510714,1.1498364,0.5937509,1.3789136
horse,1.1981257,1.1394553,1.2013112,0.9557166,1.1719716,1.215986,1.0156294,1.2488848,0.8973535,0.81228435,1.0329264,1.177336,1.1928357,1.1312003,1.2300323,0.9493881,0.78581613,0.74683505,0.68131524,1.1400405,1.028364,1.2118454,1.0168242,1.0129226,0.9224906,0.71064574,1.044893,1.1147212,1.1341889,0.08577883,0.9127208,1.0780941,1.158725,0.9003171,0.7563326,1.3312312,1.0757815,1.1125128,1.1287429,0.88676554,0.7475491,0.85728246,1.1910369,0.9751182,0.8634776,1.0116572,0.0,1.0732952,1.0957559,1.0437979,1.0865111,1.2055967,1.1771166,1.1943271,0.98039293,0.60659945,1.3865021,1.184234,1.0341566,0.72384864,1.00673,1.1319741,1.1396589,0.63940257,0.8716172,1.1970686,0.024248779,1.0751773,1.2944412,1.0271372,1.148686,0.65422785,0.9348897,0.726042,0.79108596,1.1294683,0.9955548,0.7533095,1.0655115,1.2469739,0.9928719,0.91352534,1.2765921,1.0786586,0.75615406,0.6860653,1.0362942,0.84363866,1.1670365,1.1223365,1.065046,0.8309145,1.07583
jacket,1.2352061,1.156828,1.1908325,1.3213845,0.99139726,0.8026173,0.69496965,1.0858841,1.0481751,0.75528544,0.79525864,0.99068487,1.2182071,1.305742,0.95943993,1.328253,1.2024642,1.2107328,1.1684515,0.83326995,0.8789304,1.1195633,1.128521,1.1075363,0.65342206,1.2975324,1.288661,0.8513204,1.1485856,1.1011596,0.8323189,0.9054813,0.86322576,1.0485389,0.6370759,1.0936722,1.0910268,1.0096023,1.1939473,1.1702987,1.2450043,1.1099896,1.1728265,0.7536263,0.99624854,1.2966824,1.0732952,0.0,1.1751509,1.2632587,0.84748024,1.1417137,1.0196965,1.1381351,1.002809,1.1187718,1.0324947,0.8199513,0.7087476,1.1393613,1.1382982,1.1637944,1.154463,1.1418742,1.0982118,1.0841087,1.058374,1.1906469,1.0647025,0.94184947,0.881282,1.3302877,0.47036964,0.93375164,1.328659,0.79194725,1.1498468,1.2849053,0.57159925,1.1141229,1.2495608,0.7807835,0.84529173,1.1955051,1.0944597,1.0579076,1.2893903,1.2001445,1.1957388,1.019899,1.0670843,1.1742079,0.8501687
jar,0.6737359,0.9798786,0.8007352,0.7950308,1.0707225,1.2379967,1.3608501,0.9551658,1.1900873,1.3480525,1.3412981,0.9221611,0.4707483,0.75754416,0.93214744,0.8758528,0.47853988,0.62141037,1.1169524,1.0983984,1.089221,0.7572971,0.8610587,0.72129714,1.3265336,1.0190331,0.8102118,1.2576804,0.60347253,1.091244,1.158269,1.1555638,1.0704857,1.2068604,1.1676872,0.8881165,1.0109899,1.0683872,0.97486275,1.0175323,0.93637246,0.7684797,0.7729094,1.2531374,1.2239072,0.67920756,1.0957559,1.1751509,0.0,0.80959976,1.1446445,0.8658462,0.8738651,0.92328656,1.2355568,1.054057,0.883588,1.05099,1.1777548,1.2120122,1.0891142,0.9309147,0.8664614,1.1408042,1.0185717,1.00517,1.0956849,1.020037,0.8681254,0.9006692,1.0652149,0.85848945,1.2822578,1.0618168,0.6367941,1.2263443,0.7143849,0.9933027,1.2125236,0.90124476,0.77365285,1.1960752,1.1698034,0.8362824,1.1561532,1.0837811,0.5380452,1.0451233,0.7010332,1.1150717,0.8697317,0.9639356,1.1803002
knife,0.7232254,0.9114406,0.7558491,0.5252565,1.3521545,1.2934577,1.3961198,0.7749599,1.3218789,1.4410805,1.419683,1.1505661,0.48311168,0.59764415,1.3290007,0.51077473,0.9633407,0.6700786,0.9908171,1.1012348,1.3274267,0.89543265,1.0771149,0.83204734,1.4309932,0.81763,0.11406267,1.4926989,0.92823154,1.0154079,0.9359827,1.3117738,1.3823,1.0429419,1.3429015,0.9450168,1.2658069,1.1611166,0.41082954,1.0195694,0.61337847,0.83946276,0.698788,1.262869,1.2212975,0.59037185,1.0437979,1.2632587,0.80959976,0.0,1.3621751,0.7372183,1.1667428,0.61946523,1.2810557,0.5982299,0.9381848,1.2907635,1.2997277,1.1295528,0.4415723,0.24068457,0.629845,0.9846967,1.1233815,0.8494016,1.0146906,0.55916965,0.9404295,1.2107264,1.4454541,0.48842013,1.4476498,1.0680293,0.4713534,1.355541,0.9467107,0.3964519,1.185087,0.7407474,0.18180561,1.3590536,1.4104512,0.88178813,0.8921749,0.7758446,0.41421682,1.0063437,0.9404953,1.3191618,1.0493152,0.41039747,1.3772187
ladder,1.4161751,1.2571733,1.2668488,1.4056566,0.67587996,0.582854,0.5409383,1.2142456,0.61758184,0.7148586,0.6932462,0.77997994,1.3220066,1.4262311,0.7163632,1.4569329,1.0596962,1.1718366,1.1151092,0.9886112,0.30312586,1.2019253,0.83328104,0.99683475,0.5928415,1.2281737,1.3764277,0.3962927,1.103347,1.1092572,1.1314961,0.7778421,0.5398398,0.707392,0.86282444,1.1920878,0.8777733,0.9458808,1.3720894,1.0724673,1.3128637,1.3499498,1.3408853,0.8967832,0.96655124,1.3940763,1.0865111,0.84748024,1.1446445,1.3621751,0.0,1.2567984,0.8510759,1.328489,0.93441886,1.3442212,1.165993,0.6442011,0.80696464,0.97441024,1.2501479,1.2806308,1.4259558,1.2147878,0.89457715,1.1624855,1.103974,1.449629,1.1898879,0.85225815,0.48248005,1.4485583,0.7517051,1.1145146,1.2616752,0.5783815,0.9032906,1.4799435,0.95704955,1.2285411,1.316678,0.7757514,0.66089994,1.2077597,1.2718657,1.2248884,1.3239672,1.1066062,1.0726845,0.7348067,0.7234509,1.4473007,0.6321651
lamp,0.71958625,0.83852243,0.572016,0.7480465,1.307435,1.1092905,1.3587639,0.70911545,1.2219537,1.4341128,1.3618214,1.1026416,0.7395867,0.5460218,1.202946,0.7062193,0.812799,0.8402658,1.1449186,0.960356,1.1456244,0.7205746,0.99202037,0.86353767,1.3157378,1.0277689,0.6845579,1.3031332,0.80812657,1.1755989,1.0818647,1.2675012,1.0926828,1.14384,1.2749035,0.76408124,1.110244,1.1521976,0.4758981,1.091629,0.93949276,0.8631085,0.693457,1.216888,1.2530882,0.74112475,1.2055967,1.1417137,0.8658462,0.7372183,1.2567984,0.0,1.0109662,0.7973008,1.1181618,0.9109774,0.782654,1.0854759,1.2942665,1.1256158,0.8172804,0.6565188,0.64570487,0.89617294,0.8293254,0.72014296,1.1684201,0.7209902,0.83484256,1.0852444,1.3048676,0.9471643,1.3749704,1.0208106,0.76625,1.1264734,0.9678444,0.8748683,1.0915082,0.696119,0.7859742,1.3187015,1.2891812,0.6963408,1.0537384,1.0243982,0.7306247,1.033846,0.89675075,1.2231057,1.1319033,0.8440841,0.99157816
