,apple,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,blanket,book,bottle,bowl,box,bread,bucket,can,carrot,cat,chair,clock,closet,coffee,couch,cracker,crayon,crib,cup,deer,dog,doll,door,drawer,dress,egg,flower,foot,fork,frog,glasses,glove,gum,hair,hand,hat,horse,jacket,jar,knife,ladder,lamp,milk,nail,napkin,necklace,orange,oven,pajamas,paper,pen,pencil,pickle,pillow,plant,plate,pony,potato,pumpkin,purse,refrigerator,scissors,shirt,shoe,shovel,shower,sink,slipper,sock,soup,spoon,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window
milk,1.0467169,1.023505,1.0768219,1.1392342,0.92216074,0.9414761,1.0176502,1.0625625,1.0099571,1.0297816,0.9870967,0.7414976,1.027684,1.116966,0.58928996,1.1602544,0.98202425,1.1312187,1.175812,0.9638872,0.97220135,0.95503294,1.0254223,1.0567571,1.0515132,1.1216398,1.1994708,0.9702793,0.9601313,1.1615868,1.0953766,0.9243749,0.91683674,1.0488684,1.1224531,0.94555265,0.9343058,1.0193113,1.1522386,1.0291986,1.1896398,1.1276549,1.0252165,0.9554329,1.0403968,1.1360856,1.1771166,1.0196965,0.8738651,1.1667428,0.8510759,1.0109662,0.0,1.0635289,1.0463519,1.2006797,0.9115217,0.8985357,1.0050008,1.1509933,1.1983522,1.1570728,1.118561,1.2379872,1.0348576,0.9570143,1.1768928,1.1261975,0.9189133,0.9377064,0.8068642,1.2108994,0.95373213,1.0954933,1.1412841,0.96313906,0.97682834,1.2411509,0.9234643,1.0155324,1.1507633,0.93094385,0.8124987,1.094603,1.1158147,1.0706667,1.1797107,1.1356504,0.9753974,1.027642,0.9159443,1.1875098,0.9594885
nail,0.6933078,0.5556231,0.75816774,0.73169494,1.2681353,1.2473757,1.179383,0.5958344,1.3323729,1.2789265,1.2858288,1.1418573,0.40965605,0.7564212,1.2288203,0.64312637,1.1605467,1.0816758,1.0005708,1.0292624,1.3172715,0.89236516,1.2585814,1.122559,1.2236061,0.90680385,0.55419827,1.3433638,0.8833371,1.157513,0.9930485,1.2342268,1.3239828,1.182693,1.2220176,0.85237783,1.1588014,1.0544425,0.6860852,1.106295,0.9163924,0.9320837,0.53325415,1.142454,1.2575713,0.7955356,1.1943271,1.1381351,0.92328656,0.61946523,1.328489,0.7973008,1.0635289,0.0,1.1996808,0.87240994,0.83643806,1.2737176,1.1720757,1.2101974,0.51921725,0.60189366,0.68439305,0.9736271,1.1132282,1.0099055,1.1746454,0.5315845,0.81754076,1.2615103,1.3006272,0.70969015,1.177628,1.1793928,0.813486,1.1628329,1.1647931,0.59097314,1.2096499,0.76530033,0.83329594,1.1448114,1.1052703,0.86945325,0.99760723,0.89945954,0.5934011,1.1856143,1.036854,1.2182827,1.2013265,0.57225347,1.1719631
napkin,1.2660565,1.1668446,1.1872149,1.1655072,0.8398757,0.6215244,0.6117213,1.124523,0.6905395,0.7691616,0.60520256,0.9807667,1.3414023,1.0394013,0.8893111,1.113876,1.0647746,1.2425044,1.0257474,0.9898088,0.9128148,1.0321565,1.0764414,1.2084621,0.75031686,0.9049357,1.2839491,0.7004776,1.1612209,0.9486283,0.98038465,0.90586376,0.837386,0.843588,0.9437093,1.1215899,0.90121853,0.99210536,1.0934353,0.9725226,1.2364267,1.0183797,1.2624537,0.94131577,0.838652,1.3510988,0.98039293,1.002809,1.2355568,1.2810557,0.93441886,1.1181618,1.0463519,1.1996808,0.0,1.0718982,1.1416852,0.87032497,0.9563925,0.6489308,1.0662111,1.128535,1.2258143,0.98495656,1.0001136,0.9917983,0.98711145,1.091361,1.2094712,0.9560486,0.9378882,1.2223994,0.8932133,1.0339386,1.317481,0.80674094,1.0425936,1.1975908,0.947062,1.1978371,1.1503259,0.994444,0.5565908,1.0746797,1.0429353,1.0674303,1.3391695,0.5089601,1.1929836,0.7576673,0.87896603,1.3652447,0.8736963
necklace,1.0071983,1.1331949,0.868072,0.6943223,1.3418515,1.2965441,1.2909187,0.9178927,1.2071038,1.0750548,1.2014731,1.2729048,0.8532878,0.8774311,1.3101103,0.6294609,0.9694174,0.7437333,0.76146567,1.0345871,1.3757805,1.0855185,1.0122012,1.0132416,1.3077619,0.8385532,0.5340942,1.4191295,1.1270161,0.5793303,0.963384,1.2870461,1.3301314,1.040624,1.0823236,1.1966536,1.2938673,1.1885898,0.59320015,0.99721557,0.60737044,0.77049637,0.90347683,1.0060129,0.93764555,0.8513026,0.60659945,1.1187718,1.054057,0.5982299,1.3442212,0.9109774,1.2006797,0.87240994,1.0718982,0.0,1.1983948,1.3178273,1.1217512,0.9374589,0.6924171,0.6400174,0.81358004,0.6355515,1.0833023,1.0571375,0.56345993,0.6989902,1.1713035,1.1693956,1.3800359,0.43763006,1.1518574,0.87737197,0.5954375,1.3288997,1.1275477,0.31056678,1.011753,0.9385004,0.6445761,1.189611,1.4037386,1.0665126,0.65205634,0.51993704,0.7045299,0.8933744,1.0824825,1.2925806,1.1551821,0.3521757,1.2689556
orange,0.2337504,0.67969406,0.9328341,0.89106643,0.9859865,1.1653199,1.266427,1.0236015,1.3176355,1.2798773,1.2074485,0.95637596,0.92687386,0.69565284,0.98089933,0.8454821,1.0571561,1.144074,1.0238502,1.0975317,1.2077549,0.68363225,1.1233039,1.0995662,1.2742593,1.0706099,0.9533989,1.1951774,0.7975361,1.3628329,1.0019449,0.9844357,1.2318172,1.2682474,1.2914442,0.04681325,0.93007624,1.0790999,0.9098289,1.0328645,1.0239058,0.7197077,0.67986035,1.1122056,0.99947625,0.727072,1.3865021,1.0324947,0.883588,0.9381848,1.165993,0.782654,0.9115217,0.83643806,1.1416852,1.1983948,0.0,1.1614827,1.1285694,1.0912756,1.1547697,0.9745462,0.6606796,1.3173931,1.2571827,0.56893027,1.3837596,0.81763595,0.070830405,1.0687418,1.183182,0.95948714,1.2463732,1.2285413,1.1740369,1.2287452,1.0514053,1.0944734,1.0390744,1.0085335,0.8456858,1.1931121,1.0416276,0.7772851,1.0282798,1.0684272,0.9100298,1.1067058,0.7226599,1.0389237,1.0983515,0.96341777,1.2646765
oven,1.3616196,1.2409204,1.206168,1.3498927,0.9096469,0.4097147,0.6016207,1.0629876,0.5534365,0.96217585,0.8823007,0.9362351,1.1826624,1.2052771,0.88281935,1.3449827,0.84195757,0.919389,1.3068122,0.9044284,0.52671516,1.0928631,0.6400019,0.82559955,0.5489742,1.2793196,1.3662604,0.5197784,1.1066781,1.199164,1.1237842,1.0336288,0.19572395,0.76452196,0.8265245,1.1963441,1.025341,1.0253645,1.218895,1.2136774,1.2348815,1.2826601,1.321152,0.90266067,1.0936509,1.2943832,1.184234,0.8199513,1.05099,1.2907635,0.6442011,1.0854759,0.8985357,1.2737176,0.87032497,1.3178273,1.1614827,0.0,0.89127517,1.0118424,1.21456,1.2315143,1.1827989,1.1734779,0.91046524,1.0806423,1.1901015,1.280623,1.1986552,0.78136516,0.36776364,1.4503922,0.7809174,1.0730561,1.1834327,0.524395,0.59861517,1.4506993,0.9708177,1.1113137,1.3271005,0.8978435,0.74111813,1.2258455,1.2772591,1.3356073,1.3435787,1.156243,1.2340864,0.9421678,0.9148362,1.3998063,0.5528262
pajamas,1.3035252,1.1163568,1.2455341,1.364338,0.8862303,0.8954928,0.67300737,1.183168,0.9729849,0.5898568,0.60370106,0.9871388,1.218787,1.4527656,0.9206326,1.3785186,1.2636352,1.3001937,1.1274962,1.0012703,0.8893926,1.2373309,1.0902735,1.2320409,0.6347738,1.2900567,1.3445417,0.7882443,1.2044985,1.0766761,0.9853828,0.52525723,0.8406313,0.96021897,0.67285025,1.172363,1.1086636,0.89441776,1.3122044,0.9873404,1.2517011,1.2309172,1.1553454,0.6631479,0.78590304,1.2841315,1.0341566,0.7087476,1.1777548,1.2997277,0.80696464,1.2942665,1.0050008,1.1720757,0.9563925,1.1217512,1.1285694,0.89127517,0.0,1.0412745,1.1941746,1.2229505,1.2057972,1.1219065,1.1264014,1.2393484,1.0360397,1.2732463,1.1324494,0.91514975,0.76975703,1.2653689,0.40420443,1.022438,1.400529,0.7133516,1.2513096,1.2742442,0.65762293,1.2100209,1.3127825,0.42289013,0.73986894,1.3164904,1.043964,1.0880402,1.2369133,1.2073007,1.1184697,0.9246065,0.9872944,1.1864362,0.84070444
paper,1.1061466,1.1331683,1.2065135,0.9566416,1.0339706,0.8772051,0.92541283,1.2089117,0.648963,0.74142635,0.86590093,1.0314626,1.3116628,0.9467797,1.0313138,0.8727376,0.9432129,1.0241804,0.63413566,1.1712973,0.9445923,1.1893629,0.9907504,1.0769131,0.9594645,0.70684886,1.1262243,0.8527926,1.2025199,0.76439273,0.97191244,0.9246276,1.0221065,0.7948061,0.96403056,1.0445861,0.968096,1.0348654,1.0485675,0.9966719,0.9702465,0.99739516,1.2810662,0.97178435,0.751733,1.0956972,0.72384864,1.1393613,1.2120122,1.1295528,0.97441024,1.1256158,1.1509933,1.2101974,0.6489308,0.9374589,1.0912756,1.0118424,1.0412745,0.0,1.0461634,1.1009374,1.1959839,0.83000994,0.8618691,1.0772237,0.7589258,0.97233605,1.0848203,1.1632516,1.0129081,0.91468143,1.0368419,1.024362,1.1880044,1.0264915,0.86592996,0.9632928,0.9960479,1.2397577,1.0818493,1.0057846,0.9802956,1.0830135,0.8566347,0.918694,1.187019,0.73548317,1.1328553,0.90047044,1.0911064,1.1445271,0.9527508
pen,0.99293137,0.8675966,0.72046304,0.70160604,1.2703029,1.0123682,1.1004604,0.5338807,1.2361925,1.2721173,1.2453419,1.1943425,0.6532273,0.65342355,1.3106873,0.5975351,1.1223284,0.8730432,0.765664,0.90430146,1.2696172,1.1168107,1.155451,0.8444346,1.1039653,0.84826183,0.30174434,1.2936957,0.93318963,0.99522763,1.047856,1.3287835,1.2649899,0.934936,1.2212008,1.1538986,1.3352966,1.1073854,0.54537696,1.0987713,0.904295,1.139606,0.88060987,1.2089375,1.2256799,0.9546431,1.00673,1.1382982,1.0891142,0.4415723,1.2501479,0.8172804,1.1983522,0.51921725,1.0662111,0.6924171,1.1547697,1.21456,1.1941746,1.0461634,0.0,0.2792871,0.9735628,0.7255534,0.8522125,0.9884689,0.99241674,0.55523586,1.1658018,1.3269559,1.3351092,0.7525461,1.1678038,1.0138427,0.77549237,1.2210228,0.9826489,0.5001888,1.2344077,0.6744846,0.74347305,1.1467688,1.2529758,0.77199614,1.0308259,0.88456416,0.63176364,0.98839754,1.1530745,1.11178,1.2063478,0.6128874,1.1191969
pencil,0.8790242,0.9673491,0.6448399,0.61606604,1.3069375,1.0907189,1.2779735,0.6032716,1.2996662,1.3701682,1.3455434,1.1735166,0.6051552,0.5908684,1.281025,0.50388193,1.0537479,0.83283913,0.9378709,1.0106964,1.307662,0.9920549,1.0862715,0.84164613,1.3220818,0.8818788,0.18059003,1.3712931,0.9573425,1.0708054,1.0265107,1.3222684,1.2641912,0.98550886,1.2489326,0.9764294,1.2862034,1.1571248,0.3353169,1.1429992,0.9452116,1.0240424,0.78069663,1.307622,1.2092971,0.8591383,1.1319741,1.1637944,0.9309147,0.24068457,1.2806308,0.6565188,1.1570728,0.60189366,1.128535,0.6400174,0.9745462,1.2315143,1.2229505,1.1009374,0.2792871,0.0,0.8053118,0.9270686,1.0716025,0.924535,1.0929729,0.504803,1.0069344,1.224479,1.4147052,0.6592225,1.3366939,1.1145357,0.7085233,1.296712,0.937659,0.4493004,1.1318771,0.6610124,0.5274797,1.2571642,1.356369,0.85720426,0.97883403,0.84069884,0.4832163,0.9900616,1.0858101,1.1654851,1.0908309,0.60472244,1.2500436
pickle,0.49885726,0.78849864,0.75046134,0.49855888,1.3341213,1.4011698,1.3909088,0.8123201,1.3535802,1.3752643,1.3206698,1.2293903,0.65802526,0.60177577,1.2889769,0.49855757,0.9261789,0.77030206,1.1943564,1.0747938,1.3321953,0.71629584,1.0612291,0.97226673,1.3821001,0.81549275,0.69388086,1.4087824,0.9339618,1.1306802,0.8303112,1.1612277,1.298213,1.3714013,1.2878106,0.60285217,1.1067717,1.0875361,0.6245416,1.1255233,0.60170984,0.56626064,0.55442894,1.1321496,1.2390026,0.45042866,1.1396589,1.154463,0.8664614,0.629845,1.4259558,0.64570487,1.118561,0.68439305,1.2258143,0.81358004,0.6606796,1.1827989,1.2057972,1.1959839,0.9735628,0.8053118,0.0,1.0112287,1.2227461,0.7739661,1.1253456,0.41574895,0.6586772,1.041118,1.4011093,0.7049829,1.3727694,1.0404752,0.6007532,1.2837846,1.0541213,0.68745416,1.1328633,0.7612333,0.68472373,1.3091226,1.3127425,0.8026382,0.84087014,0.9978927,0.7322204,1.0621628,0.99538046,1.3668077,1.1887736,0.5980228,1.3755087
pillow,1.121429,1.018252,0.8765795,0.8561952,1.2402837,1.123152,1.1069021,0.8649768,1.0119141,0.93718994,1.0184895,1.1877842,0.9407876,0.8756383,1.2271162,0.81907016,0.8247326,0.8547796,0.76884377,0.9558668,1.0565056,1.219442,0.92767745,1.040725,0.9890149,0.9518731,0.84017146,1.2290734,1.0158293,0.64804816,0.89093614,1.2125714,1.1361893,1.1048253,1.0283715,1.2999916,1.0502402,1.1160018,0.861904,0.9621798,0.70296836,0.93756974,1.1015583,0.9512073,0.92684203,0.96805245,0.63940257,1.1418742,1.1408042,0.9846967,1.2147878,0.89617294,1.2379872,0.9736271,0.98495656,0.6355515,1.3173931,1.1734779,1.1219065,0.83000994,0.7255534,0.9270686,1.0112287,0.0,0.6894313,1.112919,0.64633983,0.8657696,1.2580884,0.8135649,1.2532191,0.77309257,1.0550083,0.6725041,0.72722554,1.2287182,1.0545181,0.6569377,1.0843548,0.8986979,1.0161424,1.093423,1.353969,0.88215524,0.81744635,0.79173464,0.87178135,0.8803849,1.1297526,1.139786,1.2400846,0.7258062,0.9655101
plant,1.1906819,1.0273548,0.89252734,1.0841632,0.9847385,0.79574865,1.0011978,0.929777,0.82737255,1.0875118,1.0675234,0.91083837,1.0669353,1.025273,1.0568871,1.1084985,0.865093,0.98338735,0.9504039,0.9137859,0.7515217,1.1407564,0.831532,0.89544755,0.91489744,1.0218366,1.0575496,0.937862,1.0199635,0.8888627,1.089051,1.1169789,0.84075814,0.93558997,0.9771059,1.2338753,0.9799599,0.98079014,1.0190041,0.8730959,0.90818435,1.0714412,1.2112671,1.0864439,1.1161579,1.096036,0.8716172,1.0982118,1.0185717,1.1233815,0.89457715,0.8293254,1.0348576,1.1132282,1.0001136,1.0833023,1.2571827,0.91046524,1.1264014,0.8618691,0.8522125,1.0716025,1.2227461,0.6894313,0.0,1.1402948,0.8846903,1.134429,1.258009,0.9505376,0.9322962,1.1733291,1.0327322,0.82085454,0.900527,0.89831966,0.854533,1.1523061,1.1702479,0.89590704,1.0963062,1.0797228,1.0773104,0.9287157,1.2020547,1.1351734,1.0308857,0.90906876,1.0046362,1.0040083,1.0125471,1.202189,0.5176307
plate,0.6933446,0.8148755,0.9231576,0.9223865,0.95206356,1.0548234,1.2784784,1.0315156,1.2356935,1.2583729,1.112603,0.8291444,0.9743819,0.5006877,1.016106,0.87784135,0.931447,0.96667457,1.1516947,1.0273771,1.1354719,0.55837685,1.1053275,0.90018255,1.3307972,0.9617171,0.90098107,1.1605612,0.7903738,1.1190364,1.0055344,1.0772523,1.1662402,1.1613878,1.3163837,0.57021713,0.9057874,1.1350693,0.89285576,0.9626981,0.9717955,0.9081886,0.8676711,1.1468937,1.0618978,0.93953556,1.1970686,1.0841087,1.00517,0.8494016,1.1624855,0.72014296,0.9570143,1.0099055,0.9917983,1.0571375,0.56893027,1.0806423,1.2393484,1.0772237,0.9884689,0.924535,0.7739661,1.112919,1.1402948,0.0,1.1634775,0.944207,0.6468002,0.96697426,1.1715822,1.0152442,1.2836037,1.0568221,1.0660564,1.2495718,0.9981106,1.0455368,1.0073735,0.94740486,0.7671152,1.2457931,1.0175949,0.5925174,1.0486777,1.0287224,1.0360203,0.92336327,0.7038591,0.9500114,1.0047796,0.9478651,1.2238121
pony,1.2160475,1.1515449,1.173998,0.9626629,1.1724727,1.2123649,1.0262179,1.2270578,0.9270231,0.85440475,1.0406507,1.193911,1.1716771,1.1307591,1.2296524,0.94692314,0.7825068,0.73676306,0.6985521,1.1357388,1.038316,1.2406591,1.0196656,1.0105649,0.93763673,0.7270093,1.0130823,1.1179376,1.1389831,0.05829954,0.92189145,1.1053009,1.1505597,0.8996912,0.74848735,1.3351045,1.1242326,1.1157213,1.096734,0.90999347,0.7682749,0.8702325,1.2015054,0.9622026,0.8777798,1.023292,0.024248779,1.058374,1.0956849,1.0146906,1.103974,1.1684201,1.1768928,1.1746454,0.98711145,0.56345993,1.3837596,1.1901015,1.0360397,0.7589258,0.99241674,1.0929729,1.1253456,0.64633983,0.8846903,1.1634775,0.0,1.0593188,1.3011789,1.0406251,1.1742207,0.65285635,0.94349575,0.74081373,0.7837477,1.1402154,1.0324848,0.7367376,1.0534247,1.2189354,0.963126,0.9359355,1.270776,1.0920132,0.72891706,0.62520194,1.0317017,0.8834955,1.1765435,1.131242,1.058527,0.797462,1.0653176
potato,0.61742485,0.8739627,0.7205379,0.25059903,1.4272075,1.2500675,1.2818563,0.63520336,1.2973361,1.3392265,1.3004231,1.3314611,0.6577332,0.52182347,1.3720152,0.13592684,1.1446414,0.92691404,0.8504372,1.0117542,1.4132242,0.9094735,1.1489925,1.0385323,1.3304886,0.7088883,0.52718556,1.3830973,1.0518043,1.0469826,0.86385894,1.2932217,1.3794656,1.2728295,1.2597235,0.7408064,1.1959201,1.076691,0.53941447,1.1250434,0.7778001,0.7519312,0.67308414,1.2266322,1.2625084,0.6100625,1.0751773,1.1906469,1.020037,0.55916965,1.449629,0.7209902,1.1261975,0.5315845,1.091361,0.6989902,0.81763595,1.280623,1.2732463,0.97233605,0.55523586,0.504803,0.41574895,0.8657696,1.134429,0.944207,1.0593188,0.0,0.8427602,1.2410023,1.4721556,0.5986688,1.3296543,1.1173226,0.77983093,1.3215625,1.0631734,0.4460858,1.2152104,0.7032584,0.7781694,1.2500831,1.3112667,0.8830188,0.87818706,0.8983974,0.7039646,0.9324614,1.1917976,1.322692,1.2718837,0.5330303,1.3074389
pumpkin,0.2302289,0.70346475,0.94944686,0.8722149,1.0372393,1.2421737,1.2667786,1.0624311,1.2996438,1.243789,1.2498945,1.0205601,0.9121077,0.7298474,1.014899,0.8465497,1.0389067,1.0905542,1.0130221,1.1040426,1.2142311,0.7404896,1.1348736,1.1099685,1.2538967,1.06001,0.94732606,1.2287524,0.7793114,1.2775841,0.9956283,0.9844269,1.2668142,1.2866414,1.2538536,0.119107604,0.93241936,1.0861715,0.9193667,1.0086725,0.9806907,0.72135425,0.6421659,1.081439,0.9891658,0.66462874,1.2944412,1.0647025,0.8681254,0.9404295,1.1898879,0.83484256,0.9189133,0.81754076,1.2094712,1.1713035,0.070830405,1.1986552,1.1324494,1.0848203,1.1658018,1.0069344,0.6586772,1.2580884,1.258009,0.6468002,1.3011789,0.8427602,0.0,1.0857551,1.2177299,0.8645736,1.2330647,1.2079799,1.1130623,1.2472739,1.0580511,1.0285242,1.032519,1.0479159,0.8593393,1.1484275,1.0581884,0.7905685,0.94452214,0.9994721,0.86171824,1.1422288,0.7502544,1.0914825,1.1304314,0.901486,1.3007696
purse,1.1593355,1.2051818,1.1575987,1.1358966,0.8123913,0.9603323,0.93180156,1.1623424,0.91563624,0.93797266,0.7680495,0.8193713,1.044618,1.1482531,0.85118115,1.2197926,0.7848952,0.97590876,1.3521168,1.0298585,0.82517225,0.9340949,0.843439,0.96569514,0.840501,1.1600287,1.2854059,0.9209785,0.99478763,1.0123205,0.9371281,0.9466819,0.7984279,1.1386681,0.78622425,1.0842925,0.51829326,1.0092587,1.1806513,1.0798123,1.0480751,1.0551001,1.1526009,0.99399227,1.064926,1.048839,1.0271372,0.94184947,0.9006692,1.2107264,0.85225815,1.0852444,0.9377064,1.2615103,0.9560486,1.1693956,1.0687418,0.78136516,0.91514975,1.1632516,1.3269559,1.224479,1.041118,0.8135649,0.9505376,0.96697426,1.0406251,1.2410023,1.0857551,0.0,0.84973395,1.3273528,0.88014513,0.77921796,1.0355026,1.011535,0.90667224,1.3084558,0.9183508,1.0812604,1.1193728,0.8851937,1.0321585,1.037937,1.1605959,1.2626357,1.1375483,0.86329037,0.91658753,1.0496415,0.8683749,1.288906,0.90465057
refrigerator,1.3923949,1.1270555,1.2939409,1.4738767,0.6389118,0.5705825,0.60864466,1.2356613,0.6758996,0.6912867,0.69965184,0.6618352,1.2492963,1.4597882,0.62268484,1.5338848,1.0192702,1.1794128,1.1756248,0.95643735,0.6126252,1.113299,0.7947078,1.0536762,0.6511519,1.2739431,1.5085716,0.47712505,1.0780787,1.1761887,1.1967388,0.87649083,0.28424466,0.61137384,0.83142525,1.2242807,0.87044585,0.96057785,1.4625791,1.0382972,1.353812,1.3360456,1.3047012,0.83412516,0.9083902,1.3893219,1.148686,0.881282,1.0652149,1.4454541,0.48248005,1.3048676,0.8068642,1.3006272,0.9378882,1.3800359,1.183182,0.36776364,0.76975703,1.0129081,1.3351092,1.4147052,1.4011093,1.2532191,0.9322962,1.1715822,1.1742207,1.4721556,1.2177299,0.84973395,0.0,1.4358773,0.6451982,1.1135174,1.3410832,0.47544837,0.85744286,1.5653723,0.9393422,1.215534,1.3902389,0.7492318,0.5452567,1.283339,1.2996571,1.2531347,1.3582518,1.177607,0.993683,0.78117007,0.75205535,1.4721657,0.6124727
scissors,0.6315198,0.8789889,0.90518755,0.44899082,1.3942926,1.5347525,1.4647356,1.0207332,1.3512393,1.214473,1.4024765,1.2814369,0.69648135,0.74187106,1.3658655,0.44483066,0.905109,0.7103978,0.6112578,1.2344604,1.4467655,0.90682596,1.1457894,1.0666562,1.4629731,0.60123706,0.44093388,1.5482508,0.96828,0.64852417,0.9849373,1.2606049,1.490344,1.1465821,1.2097874,0.9427886,1.1911991,1.1127522,0.64467055,0.886092,0.63029176,0.6685374,0.6592467,1.1231165,0.9253827,0.5772434,0.65422785,1.3302877,0.85848945,0.48842013,1.4485583,0.9471643,1.2108994,0.70969015,1.2223994,0.43763006,0.95948714,1.4503922,1.2653689,0.91468143,0.7525461,0.6592225,0.7049829,0.77309257,1.1733291,1.0152442,0.65285635,0.5986688,0.8645736,1.3273528,1.4358773,0.0,1.3478256,1.0162694,0.5221402,1.4002372,1.0754769,0.26795578,1.1945728,0.9984105,0.5247428,1.259075,1.4020144,0.95542836,0.55820507,0.44203246,0.45339286,0.9345496,0.95478594,1.3365314,1.1398236,0.35271204,1.4098215
shirt,1.4628215,1.2029289,1.3551822,1.4438517,0.9176027,0.70257723,0.45085979,1.2144201,0.87855935,0.4091953,0.5520263,0.98551375,1.3331957,1.5841663,0.9216409,1.462836,1.2562542,1.3692856,1.0631235,0.75531024,0.8673905,1.3023492,1.0414943,1.2944376,0.44941533,1.2214776,1.4838481,0.6948996,1.3126066,0.9722556,0.8919088,0.8589315,0.72007304,0.90833163,0.5395475,1.2985408,1.0454245,0.9982851,1.4015845,1.0844655,1.3145456,1.2698121,1.311308,0.5722857,0.803225,1.4128375,0.9348897,0.47036964,1.2822578,1.4476498,0.7517051,1.3749704,0.95373213,1.177628,0.8932133,1.1518574,1.2463732,0.7809174,0.40420443,1.0368419,1.1678038,1.3366939,1.3727694,1.0550083,1.0327322,1.2836037,0.94349575,1.3296543,1.2330647,0.88014513,0.6451982,1.3478256,0.0,1.0375832,1.4334397,0.6287912,1.2062128,1.4001648,0.69838685,1.3083057,1.429971,0.32210577,0.6873729,1.3951272,1.1460464,1.0602919,1.403575,1.2150673,1.3514805,0.963642,0.9760489,1.2840437,0.74716246
shoe,1.1028092,1.0776287,0.9414994,0.99768734,1.0423065,1.177143,1.1771607,0.9310595,1.0263281,1.0187929,1.0397042,1.1065718,1.0911918,1.0312165,1.0877327,1.081569,0.82175565,0.8030757,0.8973118,0.9446399,1.041062,1.0391352,1.0054009,0.8547084,1.0852774,0.95451987,0.9837154,1.1435996,1.0121713,0.7596878,0.8180967,0.9462468,1.1168935,1.1862702,0.8524531,1.2360141,0.98395,1.1076483,0.97382253,0.9688618,0.865041,0.90358806,1.1824487,1.056799,0.9118527,1.0336419,0.726042,0.93375164,1.0618168,1.0680293,1.1145146,1.0208106,1.0954933,1.1793928,1.0339386,0.87737197,1.2285413,1.0730561,1.022438,1.024362,1.0138427,1.1145357,1.0404752,0.6725041,0.82085454,1.0568221,0.74081373,1.1173226,1.2079799,0.77921796,1.1135174,1.0162694,1.0375832,0.0,0.7694978,1.1674969,1.0393989,0.9207298,0.91423047,0.8704516,1.0095673,1.0524393,1.1931682,0.9585887,0.7471085,0.994838,1.0280824,0.80451816,0.9641988,1.0380967,0.9666211,0.98544437,1.0651113
shovel,0.8168761,0.9883365,0.6121035,0.5893445,1.3693479,1.4272685,1.4456441,0.7284408,1.1364849,1.419826,1.4632102,1.167399,0.44891852,0.6853926,1.314327,0.66332877,0.57048106,0.36895412,0.98399156,1.0597708,1.0981858,0.9209062,0.7760017,0.66357315,1.3700311,0.8166624,0.43293524,1.4684078,0.82539517,0.7922945,0.98621225,1.3761445,1.2052275,1.1807474,1.2937518,1.1484174,1.2323985,1.1857128,0.6246534,1.0269408,0.4320326,0.7263402,0.744942,1.2656542,1.2838614,0.5398071,0.79108596,1.328659,0.6367941,0.4713534,1.2616752,0.76625,1.1412841,0.813486,1.317481,0.5954375,1.1740369,1.1834327,1.400529,1.1880044,0.77549237,0.7085233,0.6007532,0.72722554,0.900527,1.0660564,0.7837477,0.77983093,1.1130623,1.0355026,1.3410832,0.5221402,1.4334397,0.7694978,0.0,1.3463154,0.8104407,0.48368478,1.3336172,0.6791772,0.5221012,1.3422891,1.4931021,0.8076401,0.87734216,0.8859018,0.4257965,0.9335866,0.9552871,1.4012477,0.96387935,0.47657067,1.2640822
shower,1.418283,1.1985362,1.2246603,1.4520065,0.8327489,0.50172263,0.47483397,1.1448133,0.6657002,0.6627793,0.6894994,0.94169223,1.2702421,1.4513139,0.8465644,1.4505141,1.2249005,1.2928872,1.1868825,0.9259397,0.58960325,1.2033138,0.92381716,1.2057924,0.50129086,1.2226964,1.4434481,0.4722715,1.2904682,1.1651226,1.0948371,0.8301173,0.38233054,0.6752436,0.75547534,1.2512321,0.9713389,0.91245073,1.2890958,1.0917228,1.3166841,1.3283556,1.2516785,0.69305426,0.9769006,1.3752365,1.1294683,0.79194725,1.2263443,1.355541,0.5783815,1.1264734,0.96313906,1.1628329,0.80674094,1.3288997,1.2287452,0.524395,0.7133516,1.0264915,1.2210228,1.296712,1.2837846,1.2287182,0.89831966,1.2495718,1.1402154,1.3215625,1.2472739,1.011535,0.47544837,1.4002372,0.6287912,1.1674969,1.3463154,0.0,1.0731544,1.4749608,0.8823139,1.2239672,1.312945,0.74280596,0.61954355,1.315876,1.1812516,1.1665173,1.3642522,1.2363392,1.2346087,0.87524587,0.8413422,1.3907524,0.52913177
