,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,can,car,carrot,cat,chair,chips,clock,closet,coffee,corn,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,egg,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,melon,milk,mitten,mouth,muffin,nail,napkin,necklace,nose,orange,oven,pajamas,pants,paper,pen,pencil,pickle,pillow,plant,plate,pumpkin,purse,radio,refrigerator,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
alligator,0.0,1.392784,1.5085,0.6510192,1.3331754,1.187385,0.94782805,1.3006369,0.61690927,0.57782507,1.4971043,0.58879375,0.4978879,0.6730069,0.74947286,1.1799858,1.3987877,1.0962387,0.93491817,1.4343908,1.1044244,1.1938233,1.3827486,1.0900848,1.5160956,0.73179424,0.89765114,0.99880606,1.1002691,0.70589,0.72903574,1.0818955,0.6255022,1.2641816,1.5318034,0.636299,1.2874624,1.0156472,0.47851437,0.99038184,0.86085415,0.9733381,0.8241075,1.3640609,0.87229437,1.2906082,1.2564813,1.0963999,1.2647344,1.235725,1.203128,0.9216566,1.3195684,0.818295,1.2702351,0.8165765,1.2548382,0.7666749,1.5000172,0.7574139,1.1287029,0.7791226,1.0567124,0.53385293,1.2633903,1.1847196,1.2754118,1.2665582,0.8133347,0.58682114,1.398746,0.8621207,1.4231441,0.7262883,1.251233,1.0792258,1.4736811,0.7852442,0.5505364,0.6499984,0.63899297,1.4154303,1.4811039,1.370368,1.2025844,0.9698541,1.3556459,1.4014401,0.7985305,1.2951751,0.6907642,0.89878476,0.8569901,1.0268718,0.558646,1.1990135,0.93769115,1.3189946,0.7147444,1.1042092,0.74842554,1.4595742,0.85389215,1.3361745,0.821267,0.8015518,1.2464513,1.0519315,1.445268,0.8394128,0.6771145,0.5194164,1.3559495,1.3485509,0.8177873,1.037605,1.1722819,1.1421337,0.656285,0.9375703,1.0050117,1.2550048,1.4936569,0.75650567
ankle,1.392784,0.0,0.6590515,1.2077546,0.65389615,0.86792886,1.007114,0.85511863,1.1994815,1.46647,0.6258677,1.3845556,1.2991375,1.2334704,1.2909536,0.9372044,0.6764499,0.9237249,1.3103087,0.6826142,0.85963297,0.8910614,0.70452267,0.963832,0.63710064,1.0590711,1.0613538,1.0723795,0.8626691,1.3167593,1.2328483,0.93440133,1.3428154,0.7227398,0.5982431,1.439862,0.7556842,1.1800705,1.2466989,1.1188362,1.1373208,1.033968,1.1598955,0.6067376,1.1076869,0.8127508,0.81224,0.96861625,0.69855094,0.76641953,0.91453516,1.079904,0.7525316,1.017777,0.9668215,1.197762,0.8990964,1.1865771,0.4871636,1.1579647,0.9499571,1.2073525,0.99493486,1.3662734,0.7319216,0.851749,0.69284827,0.7497198,1.2097238,1.2848384,0.71843666,1.0883446,0.5128312,1.0331388,0.77875066,0.8847011,0.5244726,1.140508,1.3988206,1.3442302,1.3441906,0.6436517,0.58650744,0.7618506,0.7955869,0.95697397,0.70393074,0.63975686,1.1810267,0.8826299,1.2957914,1.0335419,1.1560787,0.8659891,1.3716477,0.7890912,1.0389216,0.54633945,1.169137,0.81768984,1.2673521,0.5095365,1.1648715,0.7846942,1.0848258,1.1109902,0.72374856,1.0649906,0.6746156,1.2554197,1.285297,1.361784,0.71380544,0.6346108,1.1568347,1.0127115,0.7365081,1.0691688,1.3720707,1.128277,1.101286,0.8054086,0.47266972,1.247155
apple,1.5085,0.6590515,0.0,1.3385221,0.53662664,1.0132098,0.8095219,0.7519043,1.4856422,1.464107,0.47065032,1.503083,1.4309876,1.172302,1.3536813,0.9862455,0.63182503,0.9766343,1.3131144,0.25772607,1.0912089,0.96990955,0.69977456,1.0531143,0.22520268,1.166548,1.3706801,0.91408145,1.0640991,1.3652873,1.275132,0.7702725,1.4597024,0.65968,0.34518087,1.4822202,0.8244649,1.1752871,1.428317,1.1262732,1.3773432,1.2394465,1.2831686,0.36736125,1.1436553,0.59559345,0.45097828,0.82132304,0.6560947,0.87245053,0.5008607,1.0260797,0.58541304,1.0367863,0.5879433,1.2982342,0.53921425,1.214915,0.29940152,1.3066125,0.88271016,1.2368063,1.0525103,1.3891734,0.798312,0.998046,0.8838812,0.68836826,1.2999471,1.3602543,0.5450974,1.0724015,0.35680652,1.1086532,0.81587964,0.95235276,0.19407314,1.3254176,1.431155,1.3895361,1.2294362,0.60281575,0.4556769,0.5606086,0.6777103,0.8432097,0.65778816,0.34564328,1.2799951,0.8257854,1.4430363,1.1558913,1.2183298,0.99244773,1.4481344,0.8821147,1.1333133,0.63195646,1.3298233,1.0796888,1.3047655,0.46377945,1.2083972,0.56599116,1.2590492,1.1952121,0.69087315,1.0770535,0.17534387,1.1931868,1.3413539,1.5264127,0.59720886,0.5416062,1.2115055,1.1074002,0.74567574,0.8216896,1.3550222,1.1111287,1.1319889,0.8346096,0.34980512,1.407635
arm,0.6510192,1.2077546,1.3385221,0.0,1.3440745,1.143534,1.1131612,1.3330513,0.69232535,0.68010664,1.2615588,0.82540566,0.66363,0.8433796,0.82072324,1.2904282,1.377775,1.2285717,0.99990803,1.2977711,1.0459553,1.3681663,1.3420745,1.0496475,1.3411951,0.61068666,0.91969746,1.1444211,1.0450565,0.8194727,0.8475417,1.1649157,0.8136686,1.2021254,1.2962979,0.7717807,1.3651314,1.0883361,0.44274807,1.055602,0.8699841,0.9269781,0.78387403,1.1766257,0.9000145,0.8948959,1.2668366,1.1616567,0.9846337,1.0638051,1.3040655,0.83829606,1.1333613,0.83746934,1.101933,0.8069771,1.2654545,0.53446466,1.4353759,0.6238324,1.0589199,1.0410011,1.1287116,0.59395736,1.1487138,1.144273,1.2360176,1.3367743,0.8904812,0.8076379,1.2935203,0.87710005,1.2039871,1.0835805,1.047268,0.89651555,1.3124295,0.97888404,0.5889743,0.6245349,0.77318454,1.2221268,1.2017329,1.2747822,1.2086644,1.3410481,1.3713002,1.3990066,1.0773034,1.2955725,0.81717503,0.91462886,0.92025316,1.0406382,0.5681708,1.2661631,0.99265677,1.3066456,0.85268956,1.195549,0.7879885,1.4071167,0.7493228,1.2578188,0.8081491,0.9366845,1.1662185,1.2219635,1.2737646,0.9893753,0.8445858,0.7383791,1.4293116,1.0462476,0.7846583,0.92546034,1.3927746,1.2572179,0.8288419,0.7829045,0.9001834,1.2459407,1.3207383,0.70246124
ball,1.3331754,0.65389615,0.53662664,1.3440745,0.0,0.48387784,1.0619926,0.8264144,1.1405098,1.3520769,0.70801497,1.3510538,1.2418215,1.147063,1.1613162,0.86345243,0.64663696,0.8306972,1.1278491,0.73899746,1.0209409,0.6832172,0.8080608,0.91013527,0.68960476,1.1244019,1.2035903,1.0548733,0.9027218,1.1977742,1.0985159,0.8847074,1.1927507,0.84840727,0.6903242,1.3185858,0.6635035,1.0907588,1.2886343,0.92310655,1.257518,1.0012372,1.2220398,0.6151046,1.0983804,0.9426892,0.698668,1.021829,0.93407667,0.9688989,0.78014684,1.210241,0.87162924,1.0574845,0.78496623,1.2656107,0.91102403,1.2093449,0.46289575,1.2490919,0.9091029,1.207962,0.9903369,1.3815832,0.8684911,1.0798326,0.7906281,0.72778255,1.0983393,1.0035355,0.6862397,1.0183836,0.60034025,0.9375905,1.0161027,0.97895527,0.5584331,1.2177136,1.3489851,1.3804979,1.2207274,0.83204603,0.79736817,0.8006234,0.7256578,0.8628763,0.5942797,0.6154517,1.1099151,0.89823556,1.2711856,1.0060201,1.1456509,1.0639495,1.3887641,0.8713956,1.1566486,0.80774915,1.2654936,0.9241543,1.2067976,0.71683145,1.2003621,0.77691877,1.0265701,1.021219,0.8713522,0.8523488,0.62288934,1.1721104,1.221004,1.3138638,0.5236491,0.83044374,1.216507,1.0208472,0.8221873,0.6790546,1.1675153,1.0816776,1.1003739,0.9397138,0.65060604,1.2910963
balloon,1.187385,0.86792886,1.0132098,1.143534,0.48387784,0.0,1.0428231,0.91400856,0.9032368,1.1068416,1.1423384,1.2012924,1.0083327,1.1810043,0.95525384,0.77940273,0.92096007,0.71635807,0.91992587,1.1555064,0.96591103,0.6509254,1.0947212,0.899864,1.1364571,1.1326244,1.0474131,1.1699934,0.80059314,1.1013978,0.850597,1.094412,1.0510906,0.996546,1.1819241,1.0076994,0.7872258,0.9240422,1.1363426,0.8629466,1.1408432,0.9855576,1.0786904,0.8321915,1.1070482,1.2141201,1.1740462,1.0095513,1.1418796,0.9858487,1.1195219,1.2633348,1.1852788,1.0708354,0.9002594,1.1246759,1.1457362,1.0693465,0.9643949,1.1418589,0.83470273,1.0553269,0.8685685,1.2238637,0.8753332,1.0573015,0.8238894,0.80693233,0.8955811,0.7525353,1.0615215,0.9454792,1.1102152,0.91953576,1.1259167,1.0048735,0.90790504,1.1826715,1.144888,1.1941167,1.034107,1.0639989,1.2202218,1.1280568,0.99974203,0.86804175,0.7271355,1.0993216,0.88878924,0.9783654,1.1282737,0.7432996,1.0518427,0.93263006,1.2243958,0.8113323,1.1307317,1.0416702,1.1478074,0.87682456,0.94872195,1.0426539,1.0556562,1.0712856,0.85537624,0.78675646,0.9237232,0.7824023,1.0159485,1.0396887,1.0827268,1.0367713,0.6464641,1.143699,1.0057367,0.9152359,1.0068232,0.6758808,0.86177796,0.9670869,0.98818177,0.98806524,1.1402395,1.0908532
banana,0.94782805,1.007114,0.8095219,1.1131612,1.0619926,1.0428231,0.0,0.91212684,1.2924039,1.2536577,0.91533697,1.2647053,1.1399434,1.1437044,1.2629023,0.9120362,0.92362684,0.8917488,1.0865511,0.71191126,1.0123335,0.9927012,1.0102812,1.0121527,0.83444184,1.2135249,1.1102394,0.814494,1.1591771,1.033478,1.038697,0.67987955,1.2817438,0.61279273,0.93830436,1.1861458,0.95101506,0.9355165,1.1415972,1.1130861,1.0751648,1.1131506,1.1176915,0.8823894,1.13882,0.97945285,0.9904473,0.6936197,0.88737273,0.8128308,0.82436985,1.0133231,0.99854827,0.8515992,0.94662666,1.1381646,0.7602763,0.9886314,0.97487354,1.0755744,0.8443095,1.1010851,0.97970754,1.271089,0.8611099,0.9452299,0.998042,0.9555881,1.050221,0.9826384,1.013231,0.9418052,1.0185877,0.8517674,1.0147262,1.0005236,0.8276243,1.0779047,1.2839947,1.2245939,0.9436049,0.89169174,0.91512877,0.9058747,1.0520687,0.9094116,0.99924594,0.7594453,1.0206481,0.95658034,1.1512089,0.87690604,1.1255692,0.83051145,1.2069283,0.901861,1.1634825,0.75334287,1.1447148,1.0585896,1.0343505,0.85204166,1.1568509,0.9906208,1.0484713,0.84949946,0.6595354,1.0205258,0.8766011,1.0313966,1.2204076,1.1841191,0.9272623,0.93195134,0.8597234,0.8765146,0.8083189,0.9016339,1.1568421,0.995745,1.0415183,0.860981,0.8563011,1.2115897
basket,1.3006369,0.85511863,0.7519043,1.3330513,0.8264144,0.91400856,0.91212684,0.0,1.2567192,1.1721222,0.5852282,1.0956144,1.3089975,1.0566534,1.1865423,0.49229574,0.5135265,0.90713334,0.74112666,0.9757628,0.85410094,0.47635877,0.5708976,0.92048204,0.86855745,1.2622731,0.94903135,0.8759026,0.8415394,1.1327983,1.2655156,1.0509069,1.2576722,0.8312815,0.7297967,1.0467688,0.7378247,0.96310765,1.2737505,0.9336137,1.0294617,0.87937474,1.2766904,1.1629179,1.3660202,1.2239621,0.91732544,0.6985835,1.04125,0.73452187,0.68012345,1.4005609,1.0483037,1.09351,0.90069693,1.3683039,1.0062157,1.3725169,0.6334928,1.297956,0.9329446,0.9481749,0.8484129,1.3693656,0.60234433,0.6837455,0.5312644,0.7830131,1.0579579,1.2641375,0.76269364,1.1838634,1.0367225,0.9651711,0.9893585,1.3561769,0.8481293,0.85717756,1.2510839,1.3208486,1.2065036,0.68498194,0.8561808,0.92576844,0.7908013,0.4742123,0.78649414,0.64846015,0.68908036,0.4797812,1.0544155,1.2355024,1.248651,0.7339701,1.4190336,0.6191716,1.1389046,0.5364923,1.2281346,0.6334447,1.2412941,0.6113323,1.1526877,0.8217608,1.0905902,1.2473382,0.99098796,0.8684359,0.6626377,1.1645929,1.3082603,1.3565813,0.45891017,1.1026789,1.3828431,0.9062161,0.588312,0.6818392,1.1254379,1.0978041,1.0124518,0.5059514,0.75820744,1.2809874
bathtub,0.61690927,1.1994815,1.4856422,0.69232535,1.1405098,0.9032368,1.2924039,1.2567192,0.0,0.5621828,1.3636614,0.5862552,0.735815,0.9204161,0.52605176,1.1148852,1.3599851,0.8463674,0.86566806,1.4991221,0.80445564,1.1030841,1.1997011,1.0944599,1.4473708,0.6286694,0.80387014,1.2088057,1.0113485,0.6625907,0.69677097,1.2119981,0.6624354,1.4091214,1.3900995,0.54729074,1.1955577,0.7920133,0.56993645,1.1008584,0.6562023,0.7245866,0.86938274,1.2839864,1.0151877,1.3108816,1.2506402,1.2930131,1.3237833,1.1025792,1.3991382,1.048672,1.3867879,1.1149306,1.3101554,0.89726305,1.4177893,0.8362932,1.4881268,0.857299,0.98471403,1.003703,1.07599,0.6742749,1.1896396,1.0342386,1.1724036,1.1375327,0.7982429,0.7323542,1.2542593,0.9983898,1.3453299,0.9552611,1.2407602,1.1493897,1.4230454,0.75390583,0.6820781,0.697835,0.7437973,1.3213375,1.3332767,1.2264136,1.1900088,1.2464837,0.9795718,1.4335105,1.0634186,1.1724725,0.55504256,0.81692404,0.94236386,1.0887839,0.7171056,1.2365729,1.0242398,1.359478,0.75074136,0.74385035,0.6501256,1.491412,0.7148807,1.1359054,1.0176189,0.7920946,1.2684085,1.097392,1.4393497,0.9011197,0.7956037,0.43112254,1.207641,1.4514834,0.8589234,0.99243736,1.3231872,1.2131692,0.5777638,0.9798887,1.0134113,1.2161572,1.5289671,0.6863692
bed,0.57782507,1.46647,1.464107,0.68010664,1.3520769,1.1068416,1.2536577,1.1721222,0.5621828,0.0,1.4325273,0.4106127,0.53282213,0.57240665,0.7170206,1.0838943,1.4513608,1.1013775,0.51556534,1.4835358,1.217299,1.1399932,1.4159734,1.1386018,1.4871572,0.8579887,0.8116599,1.0347315,0.9718683,0.66931444,0.71666217,1.242695,0.3607483,1.4572821,1.4464593,0.11199045,1.3529507,0.8789118,0.4838165,0.76984215,0.8492356,0.9003119,0.9040947,1.3863184,0.8856567,1.2734318,1.3736866,1.2707899,1.4199429,1.2617345,1.2164425,0.9720514,1.3191084,1.1237576,1.1264064,0.7870525,1.2844334,0.83813787,1.5206244,0.7518106,1.1221197,0.8772236,1.0198023,0.5071355,1.2794106,1.2527323,1.3456664,1.3597189,0.73363423,0.7614482,1.3514398,0.9326529,1.4321363,0.9458233,1.3188823,1.1367519,1.473153,0.86721396,0.40603262,0.55624586,0.60472625,1.4022181,1.4502116,1.3612741,1.1772552,1.0954185,1.3104634,1.4327972,0.86665344,1.2340688,0.65716827,0.9908196,0.8716692,1.0344561,0.5926068,1.2928358,1.0469966,1.468022,0.7455528,1.1898005,0.6431267,1.5641925,0.82003385,1.3409338,0.9472039,0.9254966,1.3666179,1.1721745,1.3769152,0.6705637,0.57109374,0.4435081,1.336514,1.4377586,0.87041557,1.056362,1.4085846,0.8959618,0.4115206,0.90636504,1.000217,1.3617735,1.5575758,0.6618664
