subject_id,age_mo,n_categories,mean_distance,std_distance,min_distance,max_distance
00320001,9,145,0.9967066645622253,0.2743414640426636,0.02961564064025879,1.6195101737976074
00320001,10,142,0.9970200657844543,0.25282084941864014,0.03113257884979248,1.6656897068023682
00320001,11,142,0.9974533319473267,0.26075562834739685,0.07682162523269653,1.6655769348144531
00320001,12,140,0.997789204120636,0.2682134509086609,0.019548892974853516,1.635884165763855
00320001,13,146,0.9974139332771301,0.25696107745170593,0.018076300621032715,1.6292740106582642
00320001,14,149,0.9951657652854919,0.2557627260684967,0.037599921226501465,1.629270315170288
00320001,15,144,0.9971469640731812,0.255645215511322,0.035667598247528076,1.599733591079712
00320001,16,139,0.9956111311912537,0.2524939477443695,0.07840925455093384,1.608065128326416
00320001,17,146,0.9952067732810974,0.25766894221305847,0.0240933895111084,1.5519390106201172
00320001,18,142,0.9961163997650146,0.26099929213523865,0.04801452159881592,1.5871002674102783
00320001,19,135,0.9961529970169067,0.26769208908081055,0.06593179702758789,1.6096149682998657
00320001,20,135,0.9962499737739563,0.26130813360214233,0.07024776935577393,1.6157307624816895
00320001,21,94,0.9970073103904724,0.2600249648094177,0.06527793407440186,1.6054842472076416
00680001,16,88,0.9962633848190308,0.24351878464221954,0.08246409893035889,1.547170639038086
00680001,17,144,0.9962369203567505,0.2518202066421509,0.06700003147125244,1.5834964513778687
00680001,18,138,0.9963203072547913,0.24714480340480804,0.03411531448364258,1.586159348487854
00680001,19,135,0.9943028688430786,0.24931801855564117,0.09565627574920654,1.5742095708847046
00680001,20,83,0.9943270087242126,0.26565924286842346,0.16179925203323364,1.6806668043136597
00320002,8,126,0.9967482089996338,0.24277499318122864,0.09756755828857422,1.6038976907730103
00320002,9,148,0.9962307214736938,0.24492105841636658,0.024498343467712402,1.6180293560028076
00320002,10,140,0.9974322319030762,0.25272923707962036,0.032379150390625,1.6139662265777588
00320002,11,137,0.9954560399055481,0.2501634657382965,0.014348983764648438,1.6070023775100708
00320002,12,134,0.9978293180465698,0.2664775550365448,0.0336611270904541,1.6345610618591309
00320002,13,131,0.9978504180908203,0.2456631362438202,0.02234548330307007,1.6162769794464111
00320002,14,131,0.9965749382972717,0.2569410800933838,0.0788118839263916,1.5977261066436768
00320002,15,140,0.9975486993789673,0.25799667835235596,0.0543440580368042,1.5891095399856567
00320002,16,129,0.9959750771522522,0.2505737841129303,0.061720848083496094,1.6509639024734497
00320002,17,135,0.9976807832717896,0.2550477087497711,0.043081045150756836,1.6160123348236084
00320002,18,122,0.9966416954994202,0.26356324553489685,0.03133964538574219,1.6433725357055664
00500001,12,128,0.9965430498123169,0.2523484230041504,0.02915245294570923,1.6459890604019165
00500001,13,136,0.9969894289970398,0.2671603262424469,0.06004524230957031,1.6279892921447754
00500001,14,125,0.9978657364845276,0.2737821042537689,0.0312117338180542,1.6348357200622559
00500001,15,141,0.9968851804733276,0.27327239513397217,0.03532612323760986,1.6603362560272217
00500001,16,146,0.9967433214187622,0.26192963123321533,0.03150224685668945,1.6100239753723145
00500001,17,134,0.998010516166687,0.26747608184814453,0.044943392276763916,1.6349434852600098
00500001,19,123,0.9955376982688904,0.253847599029541,0.01905357837677002,1.5793287754058838
00500001,20,124,0.9959242939949036,0.23425765335559845,0.11271578073501587,1.5345637798309326
00500001,21,122,0.9971341490745544,0.2525712847709656,0.06532561779022217,1.5847045183181763
00500001,23,145,0.9963138103485107,0.24145011603832245,0.019531190395355225,1.604186773300171
00500001,24,120,0.9949681758880615,0.23885774612426758,0.031235158443450928,1.519193172454834
