,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,can,car,carrot,cat,chair,clock,comb,cookie,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,egg,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,hose,jacket,jeans,knife,ladder,lamp,meat,mitten,mop,motorcycle,muffin,nail,napkin,necklace,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pig,pillow,pizza,plant,plate,pumpkin,purse,radio,refrigerator,rock,rooster,sandwich,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,sock,spoon,sprinkler,stick,strawberry,stroller,sweater,swing,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,tricycle,truck,vacuum,watch,window
alligator,0.0,0.9648202,0.98891574,0.82033074,1.1456085,1.1480566,0.8690431,1.3244612,0.93372905,1.0794477,0.97121316,1.1890374,1.0525781,0.7239015,1.2069558,0.9870177,1.0359182,0.98593664,1.2048912,1.1963274,0.98648584,0.84604084,1.2592819,1.2334106,1.2974869,1.14066,0.9205226,0.89401704,1.1582227,1.2039776,1.0756433,1.0449561,0.97804856,0.9020825,1.2119107,1.0186677,1.2420331,0.8099169,0.72776073,0.93821806,0.9800353,0.9996931,0.91377765,0.67860603,1.1478964,1.2446721,0.788977,0.8039057,1.1026559,0.89531183,0.9602216,0.9978708,0.99747217,0.87221676,0.7540493,0.7288835,0.5250112,1.0344648,1.1444157,0.97487986,1.0336063,1.02782,1.2157792,1.2846234,0.8486013,0.84756714,1.2335813,1.150307,0.88046896,0.94155586,1.0624008,1.0406439,1.0571387,1.1313872,0.94862586,0.9105421,0.9666513,0.89809,1.1996441,1.1722615,1.0862406,0.9343211,0.923007,1.2519817,0.8192316,1.0481749,1.2531186,1.0120821,0.91003805,1.3076696,0.9519014,1.0493177,0.80382997,0.73832285,0.900589,1.0581124,0.8728168,1.0357466,1.0115397,1.1839685,1.0038964,1.1510442,1.0619227,1.1138755,1.026404,1.0392157,1.0940362,1.1458215,0.98638046,0.962095,1.2123482,0.8576167,1.0586916,1.023417,1.2441734,0.791734,0.8228988,0.9034583,1.1920054,1.042689,1.0513667,1.030257,1.1653903,1.2964547,1.1514971,1.0032043,1.0232887
ankle,0.9648202,0.0,0.63102126,1.0357833,0.8050959,0.7345942,1.1266276,1.1187652,1.3064551,1.0613415,1.4655342,0.77284455,1.388258,1.1982701,0.91250634,1.2587936,1.216576,1.2428904,0.67693186,0.95309573,1.3327887,1.1369696,0.7999879,0.8676276,0.95500827,1.0681407,0.8857321,1.1105645,1.0507872,0.9280184,1.2208421,1.1478319,1.2821846,1.1652411,0.75534886,1.4377007,0.810441,1.078061,0.8033371,1.3230798,1.3493099,0.97662735,0.6601659,0.3944813,0.81071234,0.98521686,0.51119053,0.738745,0.94617075,1.2168314,0.7526788,0.536872,1.2393634,0.80216557,1.0200679,1.1799798,0.8350415,0.6401388,1.0190976,1.124272,0.8857724,1.0941654,1.1224669,0.86319566,1.3288085,0.98539,0.8490708,1.1555439,1.18888,0.6241616,1.0939633,0.61526656,0.8115884,1.1445063,1.1288149,0.99904364,0.9779153,1.350628,0.8974207,0.9508559,0.61175275,1.0340347,0.96193427,0.854564,1.2464911,1.2784234,0.8460046,0.63631546,1.2600881,0.8708736,1.2202873,1.1074771,0.96686125,1.0541766,1.0025895,1.2555408,1.0635998,0.73478204,0.7903387,1.1228087,1.1458988,1.1068769,1.3163369,0.42631078,1.07178,0.62040406,0.861085,1.214326,0.66063964,0.87738603,1.0638055,0.9591116,1.2058377,1.3232535,0.85100067,0.34019446,0.7556007,1.0585943,0.7980154,1.1439077,1.291661,1.3795658,1.0125492,0.9986574,1.0833554,0.46766675,1.2341044
apple,0.98891574,0.63102126,0.0,1.3160863,0.16108316,0.33010405,1.1552827,0.98264843,1.3796867,1.1171701,1.4910247,0.5623052,1.5541642,1.2020391,0.520534,1.409938,1.3146441,1.1279857,0.39954275,0.6503382,1.4281423,1.057014,1.0031291,0.72311956,0.9671022,0.8561246,0.69174623,0.9575662,1.3087428,0.51670885,1.2977366,1.0466806,1.4268609,1.144932,0.428504,1.4681638,0.7028079,1.2351136,1.0288844,1.4207072,1.4800037,1.2339073,0.33417296,0.6113085,0.39732546,0.8329996,0.8057694,0.76878566,0.67462826,1.3259983,0.43724716,0.9196169,1.2718943,0.4158727,1.1518664,1.0089768,1.1045835,0.43312454,1.200405,1.389695,1.1417187,0.92803746,1.1768258,0.6114201,1.2991912,1.3419363,0.9917693,1.1182595,1.1014194,0.263327,1.2959719,0.46244007,0.49903548,1.1992817,1.1279112,1.3429734,1.1710092,1.2492445,0.87896264,0.9022636,0.7267736,0.88222736,1.0128424,0.87821484,1.2340343,1.1190535,0.4193824,0.31099927,1.3884318,0.74043447,1.3966674,1.051678,0.8748093,1.1135337,1.184802,1.2140043,1.3174338,1.2170731,1.1561997,1.0873138,1.2497413,1.0030259,1.3762014,0.5620941,0.9817696,1.0951574,1.102967,1.3526533,0.75549734,0.7401933,0.9672216,1.2657058,1.2856946,1.4773033,0.5095993,0.6557051,0.8022058,1.1726164,0.98473704,0.93273574,1.2440016,1.2846763,1.0681041,0.86444104,1.238495,0.3926518,1.2850748
arm,0.82033074,1.0357833,1.3160863,0.0,1.3967388,1.3972741,0.81708586,1.2772357,0.72751796,0.8919597,0.7342937,1.3292966,0.7224084,0.5265944,1.3915383,0.76388586,0.906484,0.9143651,1.3675346,1.363188,0.85951495,1.077911,1.1700478,1.390022,1.2564934,1.249442,1.1033869,1.1281447,0.9359223,1.337829,0.9116077,1.1573856,0.685603,1.0519342,1.4096963,0.84796476,1.3431625,0.9080605,0.9999104,0.59307086,0.74162817,0.7933158,1.2246356,0.828297,1.3932042,1.2298104,0.70803535,0.9662258,1.3457553,0.7713554,1.2951479,1.0072242,0.8708608,1.148389,0.7919153,0.90094376,0.4370945,1.3429179,1.0107317,0.7220688,0.74745333,0.98755294,1.1161792,1.3904046,0.7622547,0.65864694,1.168019,1.1654918,1.0494776,1.2586305,0.856509,1.2835768,1.2917898,0.9663763,0.99486464,0.52007484,0.69277894,0.7233234,1.1110741,1.0863423,1.2366259,1.0233539,1.1208069,1.153052,0.93898904,0.9729205,1.4803746,1.3187418,0.83305204,1.2912201,0.6436801,1.116763,1.2057512,0.9553028,0.8060142,0.92711985,0.5944767,0.95047194,0.73448277,1.0466257,0.91131026,0.9826433,0.89972985,1.285691,1.0249175,0.8246591,1.1272047,0.90901476,1.0385405,1.1798224,1.2409546,0.7640803,0.92122024,0.8166845,1.3660325,0.9504262,0.8823129,0.74817556,1.0639099,1.2604556,1.028088,0.8375085,1.138706,1.26316,1.0865648,1.2119784,0.88155156
ball,1.1456085,0.8050959,0.16108316,1.3967388,0.0,0.21009982,1.2039385,0.83397925,1.3454335,1.0741749,1.390775,0.49582195,1.4564172,1.3314536,0.5473006,1.3343121,1.285154,1.1232835,0.30219525,0.62087506,1.3811812,1.0851293,0.9999508,0.67041844,0.90491426,0.7762344,0.7976883,0.860381,1.2883618,0.3519876,1.1905165,1.0407972,1.3487151,1.1695011,0.38915813,1.35044,0.6921723,1.233295,1.1018317,1.3806657,1.447901,1.2239634,0.5723729,0.92325205,0.31910068,0.79047716,0.9862191,0.94229746,0.7177137,1.2501577,0.4409268,0.97524476,1.1580671,0.46929133,1.1825336,1.1002841,1.3172632,0.38990784,1.1423701,1.3888222,1.2583762,0.94217217,1.1037058,0.50588906,1.3019502,1.353409,0.9773328,1.0264019,1.1021516,0.28232372,1.2565421,0.5537982,0.5974949,1.2283792,1.0736504,1.3779812,1.199894,1.266039,0.82883835,0.86755884,0.7385721,1.0478542,0.9669634,0.83851576,1.2564187,1.0971723,0.35697877,0.2899474,1.3594184,0.66139185,1.3941059,1.0460421,0.94403964,1.1362764,1.2543895,1.1393347,1.3222282,1.2208985,1.2311862,0.975501,1.2056003,0.9952056,1.2570554,0.630216,0.92724514,1.1534503,1.1240567,1.2038763,0.8901072,0.9014132,0.8266698,1.2737584,1.1565534,1.393636,0.4601289,0.83105946,1.006245,1.1820686,0.9618479,0.8011693,1.2206603,1.1830721,1.0487766,0.7501807,1.2044244,0.4963755,1.2543081
balloon,1.1480566,0.7345942,0.33010405,1.3972741,0.21009982,0.0,1.1542406,0.8128177,1.3044401,1.0314068,1.3920628,0.62506896,1.4152279,1.349091,0.71155477,1.309495,1.2717757,1.091466,0.4954493,0.6494252,1.3052843,1.1101594,0.8986884,0.6649063,0.8643363,0.8497179,0.81161773,0.8543747,1.2266499,0.56392497,1.1223893,1.027327,1.3221781,1.1895524,0.51302946,1.3138208,0.6781936,1.1855443,1.0223136,1.3534462,1.4342667,1.2243087,0.57388735,0.94962925,0.5861645,0.7822116,1.002228,0.93540025,0.76907295,1.099638,0.63892597,0.95827824,1.1876634,0.53664935,1.1805184,1.1293509,1.2798834,0.58419025,1.0662968,1.4334141,1.1657996,1.0306903,1.0269774,0.6659851,1.3504325,1.2522388,0.9035057,1.0299895,1.1329337,0.36836958,1.1684451,0.5769353,0.5610952,1.185082,1.0588881,1.3151331,1.1944535,1.2617786,0.8183826,0.8415757,0.6946196,0.980123,0.9259887,0.792468,1.2821032,1.1433734,0.48208636,0.39372146,1.2983254,0.74470544,1.3468707,1.0138646,0.86346304,1.1806202,1.2203976,1.1099893,1.2752521,1.1470772,1.1876297,0.9676861,1.2015512,0.99764663,1.2291287,0.7257827,0.9363164,1.069307,1.0127058,1.1484729,0.88483053,0.77312815,0.89336026,1.2970909,1.1368397,1.3461088,0.48318845,0.9000243,0.98448336,1.1602328,0.9248957,0.8048718,1.1496787,1.2117926,0.99429923,0.8047688,1.1312816,0.6167867,1.1716388
banana,0.8690431,1.1266276,1.1552827,0.81708586,1.2039385,1.1542406,0.0,1.032866,0.968955,0.72665334,0.78728473,1.2304357,0.9093256,0.7900964,1.1696253,0.70256245,0.637101,0.96307915,1.2090448,1.2044342,0.8723097,1.1084664,1.0541028,1.1584599,1.2542963,1.0403302,0.8427346,0.91195697,1.1124916,1.1897714,0.8126699,1.2012606,0.9565557,1.1279756,1.0243815,0.8441609,1.1128099,1.0560352,1.0900496,1.0239023,0.9600008,0.97840905,1.1254923,1.0258197,1.1849757,1.2717129,0.9935677,0.93814975,1.0910138,1.0037674,1.1881547,0.96688884,0.8066536,0.9819893,1.0360234,0.97715026,0.6715019,1.2498904,0.9344977,0.8164226,0.89872605,1.084057,1.0048136,1.3032582,0.97903794,0.6660925,1.1116194,0.9594756,1.1156957,1.1798227,0.9002441,1.1122802,1.0512612,1.2014493,0.9914204,0.7399428,0.9525966,0.8737036,0.9175772,0.86138576,1.1384866,0.959364,1.0647807,1.0369202,1.0426313,1.049484,1.1943731,1.1774209,0.73386204,1.2136738,1.115098,1.1797063,1.1018258,0.97455126,0.9179449,0.64862573,0.9245614,0.90524864,1.06127,1.0050962,0.95810276,1.065198,0.7670977,1.1453037,0.9450881,0.80552876,1.0176404,1.0302968,1.0171163,1.0501605,1.0420682,1.0107107,0.8864927,1.0179126,1.0102637,1.0140314,1.1444147,0.7094918,0.8759656,0.8086265,1.0470027,1.0123528,0.97326946,1.1578703,1.0352714,1.1423454,1.1138338
basket,1.3244612,1.1187652,0.98264843,1.2772357,0.83397925,0.8128177,1.032866,0.0,1.0888646,1.093866,0.932505,0.9610598,1.0142756,1.257623,0.79141444,1.0733619,1.0255152,0.84297395,0.77189755,0.81443924,0.82647103,1.1690748,0.82992184,0.5161625,0.7009895,0.86025757,1.0361058,1.0992748,0.87731826,0.913597,0.67497116,0.99582803,1.0666387,1.1487143,0.83896524,0.6491334,0.6736288,1.3387971,1.0962036,1.1277765,1.006798,1.1217852,1.1011457,1.3261011,0.98212403,0.78501076,1.3192894,1.2033187,0.91522944,0.94650453,1.0946995,1.0507077,1.0262421,0.9350358,1.2645513,1.1878386,1.3149253,0.99255496,0.98792857,1.1897761,1.2178156,1.0778267,0.6580207,0.5970246,1.204107,1.2397559,0.8724143,0.65347874,1.1544728,1.0494683,0.98206717,1.089232,0.9133563,0.9203006,1.1315957,1.2568625,1.2764589,1.0619743,0.8546674,0.8658991,1.0734367,1.0807595,0.91888905,0.93303066,1.2195508,1.0033308,0.811743,0.82969236,0.84745234,0.5714393,1.1369257,1.0210596,0.95323515,1.2037096,1.2613707,0.7511772,1.2344029,0.9212971,1.2731519,0.7874427,0.9849482,1.0260699,0.9274806,0.9568567,1.128591,1.1720641,1.0182906,0.937261,1.111621,1.0211664,0.543242,1.2189281,0.8722799,0.9549955,0.5707196,1.1175623,1.3581178,1.1049646,0.91231656,0.6032382,0.9345025,1.0016841,0.75056684,0.53803074,0.75601584,1.0634084,1.018197
bathtub,0.93372905,1.3064551,1.3796867,0.72751796,1.3454335,1.3044401,0.968955,1.0888646,0.0,0.90963906,0.50611705,1.1755637,0.3844489,0.863759,1.3236035,0.73522687,0.8805641,0.9816338,1.3587207,1.0640972,0.60732627,1.2231575,1.0795654,1.2232705,0.9396364,1.0568086,1.2320739,0.83039427,0.731214,1.218638,0.8367751,1.1859103,0.6059548,1.1977808,1.3590698,0.5623149,1.2406423,0.9489237,1.1569823,0.3608029,0.51221603,0.90640736,1.2272117,1.1798463,1.3387955,1.144361,1.1376084,1.0922989,1.3208528,0.7255623,1.2207742,1.2530849,0.7597221,1.2930342,0.8848431,1.010081,0.9790237,1.3167121,0.76486695,0.8379898,0.96876156,0.96267176,0.8661208,1.1478305,0.9889539,0.89253676,1.1070836,1.0409544,1.1954209,1.2557337,0.8945944,1.1281927,1.1909907,0.7352671,1.1632345,0.8954419,0.8657696,0.8378645,1.1991669,1.1877743,1.2516098,1.1105466,1.1534858,1.0959916,1.1143574,0.827716,1.2310858,1.3325529,0.83407825,1.2321389,0.5292088,1.1807007,1.1592252,1.0685912,0.9315045,0.8965551,0.8375056,1.0381424,0.9753793,0.89789337,0.62294346,0.6347034,0.6489749,1.2761412,0.79655415,1.1044368,0.9784294,0.8062497,1.2178978,1.1732581,1.1556969,0.9059611,0.88476443,0.59950775,1.2456354,1.2380812,1.069886,0.94994706,1.1060548,1.165505,0.83476704,0.7176181,1.1369694,1.1701218,0.8864977,1.3129908,0.55945575
bear,1.0794477,1.0613415,1.1171701,0.8919597,1.0741749,1.0314068,0.72665334,1.093866,0.90963906,0.0,0.8266629,1.051783,0.91363233,0.91765136,1.0879731,0.6363027,0.70764333,1.1649405,1.1827489,1.2290268,1.0665922,1.0982829,1.0329845,1.2334027,1.0629643,1.056411,1.1090174,0.5685603,1.0113908,1.1143717,0.7607351,1.2224975,0.95570755,1.120385,1.130045,0.8811821,1.1825552,0.74251646,1.1546389,0.9548993,1.1266698,0.8186442,1.1805618,1.0584154,1.0986385,1.1169155,1.0518217,1.0513756,1.0861402,0.9733032,1.0994214,1.0153623,0.5983275,1.1648514,0.89445615,1.057007,0.9231837,1.0891927,0.9239612,0.7263069,0.8133222,1.1159815,1.0367011,1.2213193,0.9842906,0.7800559,1.1048776,1.1270382,1.1117296,1.1095723,1.0750389,1.040029,1.2289618,1.1102929,1.034008,0.6711682,0.8202033,1.0049043,1.034255,1.0027097,1.0076509,1.1151689,1.1996142,1.010278,0.9928144,0.9867363,1.1603225,1.1116939,0.97136396,1.186175,1.0343455,1.2063924,1.1120789,0.93183297,0.8746778,0.9647668,0.7395487,0.93638474,0.82562286,1.0507221,1.0115979,0.9559671,0.78228724,1.1239414,0.5829754,0.8064219,1.1515073,1.0540813,1.0575616,1.206138,1.1125276,0.8438227,0.8497795,0.96787447,1.1984544,1.1168064,1.0729951,0.86727434,1.0350888,1.1289985,1.1941801,0.93650067,1.162321,1.08788,1.1310003,1.0807343,1.032558
