,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,broom,bucket,can,car,cat,chair,clock,closet,comb,couch,crayon,crib,cup,dog,doll,door,drawer,dress,eye,face,finger,fish,flower,frog,glasses,glove,grass,gum,hair,hand,hat,hose,knife,ladder,lamp,leg,melon,milk,mitten,mop,mouth,nail,napkin,necklace,oven,pajamas,paper,pen,pencil,pillow,plant,plate,purse,radio,refrigerator,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,sock,sprinkler,stroller,sweater,swing,table,tape,toe,tooth,toothbrush,towel,toy,tree,vacuum,watch,window
bench,1.2817378,1.3045623,0.78611016,1.4157252,1.3274968,0.89147276,1.3023717,0.5513475,0.41209006,1.3742293,0.0,0.87903416,1.1116701,0.40258318,0.8519544,1.01872,1.398387,1.3686733,0.9120401,1.0368841,1.3401142,1.1951368,1.3938168,0.8109212,0.51839393,1.4263498,0.5830836,0.6808159,0.2739321,1.5047072,0.6100194,1.4560108,0.85111827,1.2514546,0.8673369,0.9970033,0.74601567,1.1510938,0.920135,0.92891216,1.4034679,1.471751,1.2093847,1.370629,1.1098582,0.68768656,1.4406338,0.88969225,0.98311555,1.3263011,0.55410296,0.8266033,1.1255841,1.3027666,1.4432768,0.974633,1.1410005,0.98808926,1.020646,1.0895551,1.3210226,0.9691229,1.1728879,0.86637604,0.7076586,0.8454906,1.3262008,1.0483125,0.97702897,1.2047168,1.4554567,0.82411444,1.3362339,0.82844603,0.6574397,0.7783858,0.9870464,0.8938058,0.57722485,0.9862595,0.44598162,1.2988994,0.9167116,0.8709597,0.9173645,0.9265803,1.0958949,0.558535,1.2742488,1.3695085,1.3792541,0.99277925,0.7010426,1.2221835,0.8494288,0.6285367,1.4269289,0.74392164
bib,1.2481434,1.0024259,0.6794696,1.3380151,1.307107,0.8686453,1.2522647,0.95022905,0.7348069,1.2522998,0.87903416,0.0,1.143581,0.72273016,0.91128635,1.0282958,1.3737358,1.2123369,0.9876914,1.1529151,1.2337515,1.2520019,1.3421097,0.87420815,1.0775888,1.3610342,0.89442044,0.7919905,0.88431793,1.3054147,0.8022927,1.3347654,0.74333835,1.1677971,1.0581887,1.0669231,0.42878103,0.9862813,0.7714183,0.79791,1.3040789,1.2735761,0.94858783,1.185447,0.8137939,0.9477502,1.0825509,0.70583737,0.6162997,1.2062519,0.973791,0.9785248,1.2991855,1.3939276,1.2281876,0.9849122,1.1699014,0.93753195,1.1390281,0.62748593,1.1237576,0.91422415,0.66729784,0.81405765,0.19925213,0.96438724,1.1001678,1.0807068,1.1623713,1.1932032,1.2043269,0.78124535,1.356349,0.9571689,1.0489644,0.30009753,0.985365,0.72459865,1.024547,1.2895164,1.0446424,1.1779033,0.9807337,1.0635916,1.2939177,0.7388779,1.0301144,0.7173352,1.275916,0.9382632,1.1958954,0.9887202,0.8076515,1.0103866,1.0081058,1.1108274,1.1081394,1.0668242
bird,0.994874,1.0546608,1.1049536,0.93515193,0.9541836,1.0559876,1.0332319,1.0864148,1.1411912,0.96052575,1.1116701,1.143581,0.0,1.0571479,1.0492413,1.0036051,1.0648756,0.9456918,1.1328937,0.853346,1.0173911,1.0616236,1.0414418,1.1247257,1.0402546,1.0287831,1.1673734,1.0212944,1.1590705,0.9100899,1.0475048,1.0715349,1.1066309,0.8451543,1.1789904,1.1386207,1.1652626,1.0859836,1.1042217,1.0433519,0.71118075,0.9069929,0.9130786,1.0291729,0.93589854,0.73054576,1.0238392,1.1502618,1.0393696,1.044298,0.9487103,0.98554987,0.8432517,0.9829818,1.0442873,0.94640493,0.9724512,0.9720676,0.8851552,1.0362008,1.000719,0.9818178,0.9782326,1.1131341,1.1471788,1.100638,0.8911405,0.93790686,0.9316391,0.78643596,0.9385077,1.16168,1.0817114,1.1665828,1.0627964,1.1284108,1.0340488,1.1199207,1.033621,0.9773307,1.0598637,0.9891714,0.93515325,0.9782106,0.93069243,1.0838509,0.88217425,1.1263344,1.0008384,0.9776864,1.0032762,0.8511815,1.1363059,0.9939717,0.9908895,1.0112596,1.0059325,1.1630583
blanket,1.2971156,1.2885134,0.8277607,1.3631116,1.3525083,0.833428,1.245209,0.7060182,0.4149021,1.3839662,0.40258318,0.72273016,1.0571479,0.0,0.9239956,0.8403133,1.4167126,1.2450731,0.82871807,1.0620966,1.3771089,1.2718062,1.432002,0.91236144,0.75316405,1.4033161,0.694679,0.685553,0.4505878,1.4927087,0.5990203,1.4872265,0.76054966,1.1819475,0.82806945,0.9130842,0.57943106,1.0944192,0.8695156,0.91832715,1.3981681,1.3288376,1.0189277,1.3724144,0.9005953,0.7123076,1.2128302,0.85074687,0.9144156,1.2991743,0.85607934,0.9405888,1.2186887,1.3573202,1.4069737,0.94145304,1.0188247,0.89634895,1.0794125,1.0927622,1.3081789,0.84158623,0.9695079,0.7499739,0.5750783,0.80396503,1.3063531,1.155009,0.9235638,1.1787323,1.26191,0.5318834,1.4120957,0.7371897,0.9351497,0.70591503,0.9108101,0.7921678,0.9098686,1.2120451,0.7361568,1.1233727,0.8017938,0.96442086,1.1064247,0.8441015,1.0573888,0.5234574,1.3334,1.3061082,1.3835566,1.0553746,0.4272778,1.1034044,0.93685806,0.92091453,1.4063499,0.8731112
boat,0.9154943,1.122674,0.96537644,1.0288378,0.93311715,0.9214666,1.1121106,0.8285092,1.0345582,1.1629387,0.8519544,0.91128635,1.0492413,0.9239956,0.0,1.0335683,1.0018988,0.900503,1.0138483,1.0619414,0.9918713,1.044875,1.2183374,0.9569246,0.9889792,1.0535969,1.0323566,0.8601595,0.81859946,1.2200938,1.0692449,1.1077821,0.95957536,1.0095552,1.009541,1.0486406,0.976864,1.009281,1.1142223,0.9796336,1.221343,1.1067858,1.1069509,1.1465703,1.0950122,1.096331,1.0148008,1.0722251,0.97021294,1.0027987,0.9831186,0.9365672,1.1476678,1.0042663,1.168674,0.973749,1.0117486,0.8945825,0.9938886,1.0015832,1.1202695,0.9289122,0.96200025,0.8818159,0.95147455,0.9270437,1.046264,0.92487884,0.9057348,1.1352944,0.9142537,1.0422448,1.183667,1.0348833,0.9969735,0.9757698,0.958127,0.98401725,0.9872613,0.90158945,1.0472859,0.90650326,1.0344214,0.88375276,1.0835887,0.92394483,1.0190612,1.0286233,0.97174644,1.122083,1.1970708,0.8965156,0.95771277,1.0426207,1.0409383,1.0074626,1.1520663,1.0856249
book,1.0589534,1.183172,0.9603133,1.0715961,1.0556018,0.8172935,1.0587008,0.9485303,0.8600944,1.2050214,1.01872,1.0282958,1.0036051,0.8403133,1.0335683,0.0,1.0164616,0.8404904,0.4499067,1.1813786,1.1077229,1.1459272,1.1285086,1.2590777,1.0075402,1.1629565,0.9940239,1.0061038,0.98151314,1.1009222,0.98057455,1.1122907,1.014199,0.85580564,0.9461731,0.6569618,1.0793263,1.071041,0.9968759,0.8146463,1.2046916,0.98457134,0.96610016,1.1845993,0.99535096,1.0890098,0.8112432,1.0508804,0.8312611,1.0656174,1.1106213,1.0564677,1.1928409,0.99651873,1.2472851,1.0564563,0.53113496,1.108793,1.2084987,1.0736289,1.1934156,0.7264578,0.8571639,0.70087063,1.0774363,0.43157136,1.0481198,0.9692887,0.93199325,1.1016258,0.92687035,0.8583982,1.0969281,0.917022,1.0315151,1.0280155,0.878457,1.03135,1.1075017,0.88814735,1.1018414,0.89588225,1.0848485,0.7888808,0.9476759,1.0139346,1.240052,0.68848777,1.1810575,1.0780541,1.1640482,0.9917961,0.8776698,0.6975348,1.0645218,1.0575142,1.2076201,1.0689852
bottle,0.6072951,0.7175349,1.3644221,0.4870839,0.5765594,1.1954854,0.64033145,1.2832991,1.3777249,0.61076504,1.398387,1.3737358,1.0648756,1.4167126,1.0018988,1.0164616,0.0,0.71886003,1.0548185,1.0273734,0.50613034,0.67346853,0.42224205,1.224242,1.230056,0.37677956,1.3817022,1.3045869,1.3462954,0.46938097,1.3982105,0.2377137,1.3129612,0.7369338,1.1253622,1.0549405,1.3591653,1.0518817,1.2396572,1.2919658,0.5846913,0.5495004,1.0650992,0.55138123,1.0184474,1.3260074,0.72988933,1.2918167,1.3383055,0.6247369,1.3156575,1.1498389,0.7962573,0.54294324,0.49069476,1.211604,0.70184386,1.0606571,1.0493358,1.2424262,0.67967796,1.1165849,1.1683246,1.2490371,1.4319832,1.1986505,0.8561157,0.9843811,0.7246099,0.78494304,0.64703035,1.1946224,0.40070617,1.2445729,1.1878976,1.4505923,1.0129201,1.1741314,1.2894447,0.89244235,1.3125875,0.5917065,1.005172,1.1217823,0.90343434,1.2131188,1.0634484,1.377689,0.56410587,0.8213501,0.56455415,1.1136668,1.2573676,0.8007767,1.2098002,1.2061775,0.5205819,1.188608
bowl,0.793249,0.8354231,1.2594972,0.6418799,0.6458422,0.84226966,0.7930084,1.1215519,1.2162789,0.8871019,1.3686733,1.2123369,0.9456918,1.2450731,0.900503,0.8404904,0.71886003,0.0,0.93934286,1.0306954,0.7370305,0.9201677,0.8132045,1.230225,1.1592586,0.7419739,1.2673564,1.119948,1.2550973,0.81009805,1.1361442,0.6971728,1.2639109,0.70097345,1.1409487,0.8933591,1.2693448,1.0388945,1.1643288,1.0969702,0.90992725,0.75276715,0.9950488,0.8929583,1.015162,1.0817353,0.7160447,1.252503,1.1001878,0.8215448,1.2468219,1.1848173,1.0506139,0.6955141,0.82572955,0.9501074,0.9101534,1.0604918,0.984275,1.0853031,0.8982025,1.0642698,1.0161917,1.0979815,1.2903498,0.9912119,0.99112844,0.957211,0.8875191,1.0554805,0.31433845,1.1247979,0.85243595,1.1673908,1.2185012,1.2573254,0.9890026,1.1867948,1.27909,0.915581,1.1451471,0.76173794,1.0675718,0.9893561,1.0278902,1.1428816,1.0555056,1.0923576,0.74684703,0.9699636,0.847341,1.0435365,1.1992884,0.5119079,1.0628296,1.2658436,0.8892269,1.1515231
box,1.1602619,1.214378,0.95968854,1.2269514,1.0795887,0.8877229,1.0800269,0.7961899,0.73149484,1.141533,0.9120401,0.9876914,1.1328937,0.82871807,1.0138483,0.4499067,1.0548185,0.93934286,0.0,1.0507257,1.0645542,0.9478933,1.198522,1.0995938,0.8753059,1.2240351,0.8067423,1.0510703,0.8318324,1.2737476,0.8190839,1.1602199,0.92999697,0.9273469,0.7085257,0.5026037,0.9995584,1.1021422,1.0230085,1.0591493,1.2711242,1.1551657,1.1388526,1.2891003,1.0326953,1.038645,0.9755168,1.0067089,1.0602467,1.1533529,1.081418,1.0326335,1.1155968,0.97923267,1.2410606,1.0636551,0.6366417,1.1042469,1.0202695,1.1104668,1.2876755,0.97086036,0.92935413,0.6528555,1.0436668,0.69436216,1.2002318,1.0228686,1.0117716,1.1815301,1.1198943,0.7926873,1.0803549,0.7114126,0.9903723,0.9703616,0.8567396,1.0345155,1.0776988,0.8150724,0.94882107,1.0020926,1.0070654,0.81651866,0.94753265,0.89226,1.1514844,0.6438091,1.1559575,1.3233974,1.1221522,1.081066,0.8937906,0.84261215,0.92930394,1.0176059,1.3618009,0.88232994
broom,0.97233415,1.1306813,1.1918569,1.0490922,1.0380279,1.0712646,0.9190473,1.0865661,1.1122842,0.9654135,1.0368841,1.1529151,0.853346,1.0620966,1.0619414,1.1813786,1.0273734,1.0306954,1.0507257,0.0,0.8804804,0.85913587,1.0919563,1.0838051,0.92802685,1.062277,1.1463833,1.0586972,1.0467514,0.9465016,1.0306435,1.0760365,1.1763716,1.0732255,0.9123593,1.040833,0.9819427,1.0420036,1.188361,1.2361864,0.8860314,1.0137464,1.0885444,1.099965,1.0177486,1.0248517,1.0947609,1.243347,1.2379913,1.2811453,0.92219573,0.96265006,0.6272289,0.9834911,1.0213053,1.086276,1.027361,0.87982786,0.18623948,1.1021218,1.1682216,1.0647887,0.93097705,1.2383152,1.1159763,1.0980388,0.99856627,0.8806856,0.9766177,0.845006,1.1459345,0.92519987,1.0197664,1.0334551,0.8823069,1.2095058,1.0386553,1.0617347,0.8804674,0.86649776,0.97333837,1.0389495,0.84532243,1.0250008,1.0878377,1.0147637,0.702286,1.1921548,0.9377346,1.1480229,1.0074928,0.7962568,1.0559992,1.1374375,1.0047379,0.74924254,1.0868502,1.0448513
bucket,0.6776754,0.818818,1.2586212,0.79833055,0.7783834,1.1602762,0.641765,1.1340522,1.4021661,0.6355951,1.3401142,1.2337515,1.0173911,1.3771089,0.9918713,1.1077229,0.50613034,0.7370305,1.0645542,0.8804804,0.0,0.29838282,0.6628406,1.25251,1.0403864,0.7399609,1.3167939,1.2863243,1.2315712,0.43795925,1.3142955,0.45512307,1.1540805,0.84058446,0.95817286,1.049652,1.2639885,1.0118296,1.2365068,1.122494,0.6137675,0.7198895,0.8682374,0.7330317,1.05141,1.2866018,0.789991,1.3107004,1.2440844,0.7508688,1.351824,1.212995,0.81480145,0.7359145,0.56186223,1.2402421,0.8956418,1.1235392,0.9061233,1.0381397,0.80401564,0.96433026,1.0875882,1.1195691,1.3458102,1.345968,0.5376046,0.7587676,0.83647025,0.78405106,0.71248055,1.1450644,0.72176826,1.2006228,1.3457303,1.3152375,1.1753277,1.0240496,1.3597553,1.0077482,1.2267624,0.6456071,1.0627981,1.2060547,1.0652082,1.2124897,0.8291477,1.34058,0.5413133,0.74010295,0.5980165,1.1375885,1.1518581,0.8751993,1.2212147,1.2152537,0.5852669,1.2220201
can,0.77483493,1.0178081,1.1472427,0.97446376,0.8823921,1.3587966,0.78921676,0.901542,1.325855,0.6236358,1.1951368,1.2520019,1.0616236,1.2718062,1.044875,1.1459272,0.67346853,0.9201677,0.9478933,0.85913587,0.29838282,0.0,0.8196582,1.0379202,0.84022015,0.7676919,1.0632831,1.3548186,1.0278916,0.6939231,1.2555552,0.61812365,1.0762376,0.8825624,0.66930103,0.79183936,1.1590465,1.0516193,1.2768945,1.1700428,0.81405103,0.8797658,0.93061423,0.7206382,0.95099074,1.276265,1.0250455,1.2702135,1.2789023,0.8717837,1.389006,1.2586627,0.7522141,0.62728477,0.5333694,1.3384225,0.8472191,1.0482842,0.873705,1.1225816,0.92212903,0.8621528,1.0573612,0.9758224,1.3584213,1.2345324,0.61450654,0.82628,0.7336308,0.8231671,0.89998233,1.094478,0.67358875,0.8327248,1.3912125,1.316355,1.2351515,0.91392696,1.3415353,0.69919527,1.2135227,0.8048487,0.8464025,1.1838316,0.8919379,1.0433044,0.8182461,1.3017175,0.8197445,0.86958885,0.71853447,1.2093779,0.9935918,1.1531368,1.2040317,1.1374427,0.7425022,0.90541476
car,0.62862146,0.44951302,1.3437753,0.51807606,0.62681895,1.3007667,0.63291085,1.3159943,1.3479118,0.5894355,1.3938168,1.3421097,1.0414418,1.432002,1.2183374,1.1285086,0.42224205,0.8132045,1.198522,1.0919563,0.6628406,0.8196582,0.0,1.1145403,1.158186,0.4446004,1.2718904,1.3730171,1.2606722,0.34066582,1.3273622,0.23786533,1.2282904,0.8402102,1.1629404,1.1633334,1.3062153,0.9891501,1.1365855,1.232234,0.39309525,0.5070336,0.9537791,0.43950045,1.0393596,1.2273321,0.79685473,1.1851989,1.2899809,0.54483813,1.3166485,1.2810442,0.8552622,0.6308408,0.4396106,1.1917982,1.0072833,1.1375277,1.1335146,1.1494982,0.43210936,1.1917958,1.197897,1.2684793,1.3278414,1.2294014,0.7146355,1.0425634,0.74175596,0.736801,0.6777492,1.2186265,0.42741245,1.2273669,1.2712196,1.4075716,1.1984477,1.1287193,1.2739675,0.92720854,1.2170979,0.80206263,1.0510695,1.1882933,0.885017,1.2647917,1.0440313,1.4080145,0.57685864,0.71056575,0.4696622,1.2413054,1.2537706,0.96712357,1.1478708,1.252731,0.36251527,1.073226
cat,1.1764988,0.9313482,0.9252389,1.1787559,1.0652355,1.0183712,1.3051531,0.6915828,0.86136913,1.0168371,0.8109212,0.87420815,1.1247257,0.91236144,0.9569246,1.2590777,1.224242,1.230225,1.0995938,1.0838051,1.25251,1.0379202,1.1145403,0.0,0.9468831,1.0657791,0.81650543,0.91640556,0.86894286,1.2206452,0.89049095,1.1924707,0.8174739,1.127027,0.9804959,1.0919155,0.7881371,0.9050344,0.82438374,1.0133436,1.0671992,1.1534172,0.9956512,0.9398097,0.98528785,0.8222693,1.2147969,0.6999743,1.0124058,1.003312,0.98310584,0.9752542,1.1178584,1.1890697,1.0663652,1.0093215,1.2459389,0.8611654,1.0710962,1.0108869,0.99869514,1.1056306,1.0580244,0.97183377,0.80802125,1.1151153,1.0772811,1.0853292,1.070711,1.0769608,1.1619768,0.951201,1.0976013,0.851218,1.0290804,0.8080682,1.1298578,0.96794504,0.9599177,1.0267766,0.8266736,1.3240023,0.85923994,1.1181424,0.9877801,0.85744226,1.0023849,0.9273008,1.1729249,1.1576138,1.0205529,0.969508,0.9511901,1.2122527,0.9037346,1.0423546,1.1540908,0.7835068
chair,1.0508074,1.2807003,0.9884531,1.2752451,1.1466604,1.0551283,1.0193111,0.883885,0.7538439,1.2313329,0.51839393,1.0775888,1.0402546,0.75316405,0.9889792,1.0075402,1.230056,1.1592586,0.8753059,0.92802685,1.0403864,0.84022015,1.158186,0.9468831,0.0,1.2198734,0.85106856,0.9786121,0.48625153,1.3175681,0.65608376,1.2190158,0.818269,1.0379267,0.80048037,0.9163235,0.84198785,1.1717353,1.1388958,1.0556929,1.291363,1.1977066,1.0808152,1.0637741,0.9100884,0.94114065,1.3038814,1.0284369,1.1456622,1.213875,0.93672824,1.0607755,0.7959949,0.9047302,1.2150991,1.0849111,1.0077095,0.89824414,1.0106407,1.161818,1.2472268,0.9463109,0.96643776,0.95725775,0.98729765,1.0304749,1.0706922,0.9741713,0.84184283,1.0075426,1.3009295,0.705954,1.0972542,0.85570025,1.008884,1.0067345,1.0169642,0.8258261,0.98778325,0.9185147,0.5260402,1.1194811,0.68365836,1.0479851,0.68409574,0.99478304,0.7647375,0.7186664,1.130659,1.243262,1.2398888,1.1971523,0.79121363,1.1657314,0.9111082,0.81563616,1.1794446,0.71340495
clock,0.67270064,0.66169167,1.3337647,0.44594455,0.6841947,1.3251942,0.6141491,1.2991574,1.3702714,0.49217445,1.4263498,1.3610342,1.0287831,1.4033161,1.0535969,1.1629565,0.37677956,0.7419739,1.2240351,1.062277,0.7399609,0.7676919,0.4446004,1.0657791,1.2198734,0.0,1.338293,1.3063962,1.3721093,0.51624614,1.4129281,0.33045113,1.2412621,0.84064054,1.1326975,1.1334674,1.3545955,0.960532,1.1772338,1.2658455,0.5584351,0.5228821,0.98493475,0.45707446,1.0607127,1.240387,0.7880038,1.2073028,1.3271722,0.55934006,1.2323955,1.1133926,0.9338981,0.56952417,0.36586714,1.0813254,0.9420841,1.130414,1.0765548,1.1763599,0.54676074,1.1931309,1.2117482,1.1962252,1.408142,1.2045404,0.8275975,1.1152827,0.8128245,0.8129975,0.64046824,1.2667457,0.4121064,1.2352518,1.1922611,1.419585,1.1561236,1.1979009,1.1968073,0.8468028,1.2656513,0.8285482,0.9991243,1.1706965,0.8496715,1.1965957,1.0723073,1.3876739,0.66572547,0.8573557,0.5717087,1.1591271,1.2521842,0.9520457,1.1117245,1.1519908,0.55321753,1.1027892
closet,1.326613,1.2194065,0.74335,1.3020701,1.2453122,0.8715608,1.2617527,0.5485929,0.4898864,1.3413855,0.5830836,0.89442044,1.1673734,0.694679,1.0323566,0.9940239,1.3817022,1.2673564,0.8067423,1.1463833,1.3167939,1.0632831,1.2718904,0.81650543,0.85106856,1.338293,0.0,0.88912565,0.67352366,1.4834173,0.52061087,1.3242748,0.8312861,1.1946363,0.6334932,0.79873043,0.75130355,1.1391581,0.81736726,0.952557,1.3434277,1.2880336,1.1699603,1.3494003,1.200993,0.7119318,1.3721397,0.79181284,0.9627096,1.2626078,0.77204174,0.90348387,1.1360514,1.1809878,1.3308744,0.99305195,1.0831443,1.0897135,1.0051625,1.0976573,1.2656231,1.1786102,1.1152446,0.6371778,0.7704493,0.8242893,1.3791525,1.2191646,1.2229518,1.2163999,1.3119531,0.8633805,1.2252549,0.45158434,0.77993524,0.7945294,1.0649309,0.9797801,0.7576673,0.9608513,0.7020672,1.3502027,1.1711867,0.7999783,1.0280653,0.85936683,1.1885501,0.48981494,1.2402279,1.3493162,1.292345,1.1052943,0.8878618,1.1268623,0.83173454,0.8153492,1.4389404,0.66301405
comb,1.2255006,1.1197865,0.8821356,1.2369714,1.1814247,0.6392405,1.0624156,0.86457324,0.77863026,1.2668531,0.6808159,0.7919905,1.0212944,0.685553,0.8601595,1.0061038,1.3045869,1.119948,1.0510703,1.0586972,1.2863243,1.3548186,1.3730171,0.91640556,0.9786121,1.3063962,0.88912565,0.0,0.85512847,1.3220079,0.7835547,1.3555034,0.9671222,1.1972774,1.0637226,1.0457306,0.76788354,1.0166245,0.9159544,0.8991673,1.278233,1.292295,1.0479431,1.3545994,1.0681258,0.62364775,1.104531,0.84689623,0.8116839,1.2266638,0.7774183,0.90425986,1.2426829,1.3543558,1.3321214,0.76297843,1.1104445,0.8681072,1.0421407,0.97699237,1.1692449,1.030338,1.1071717,0.9798503,0.7233021,0.8614279,1.2909673,0.9788931,1.2505004,1.1737292,1.1684272,0.95786625,1.3499417,0.9973043,0.7925503,0.7163231,0.869899,0.99253726,0.80706763,1.0888804,0.6863519,1.1742253,0.9766914,0.99178946,1.151742,0.9466339,1.0629706,0.7384414,1.1481181,1.1986841,1.2367243,0.8318021,0.9109438,0.8970388,0.8909356,0.9602484,1.32111,0.9075377
couch,1.1912229,1.323001,0.8158611,1.3054912,1.2177927,0.955012,1.2301698,0.68499315,0.45642865,1.2604415,0.2739321,0.88431793,1.1590705,0.4505878,0.81859946,0.98151314,1.3462954,1.2550973,0.8318324,1.0467514,1.2315712,1.0278916,1.2606722,0.86894286,0.48625153,1.3721093,0.67352366,0.85512847,0.0,1.4652188,0.6436258,1.3805077,0.73396665,1.1660185,0.7547353,0.9094516,0.7921868,1.1565156,0.91710013,0.9374756,1.3649769,1.3802736,1.0344551,1.2805811,0.9972871,0.8772524,1.3089061,0.905717,0.99918693,1.2278391,0.9130186,1.0596021,1.1425918,1.1886927,1.299402,1.0365099,1.030184,0.92723453,1.0044751,1.1026976,1.2708699,0.8550031,1.0581864,0.8272457,0.7659647,0.87333375,1.2587321,1.0079825,0.7125079,1.1469901,1.3665822,0.7384175,1.2477157,0.7402407,0.99183095,0.8148797,1.0376238,0.7626382,0.90890485,0.97115546,0.68032515,1.1595037,0.8025374,0.9716645,0.91158354,0.8487633,1.0965667,0.6445502,1.2424634,1.2794585,1.3337518,1.1642224,0.5404981,1.1918212,0.9321833,0.8815322,1.3656406,0.7319901
crayon,0.5702877,0.48173964,1.2424593,0.63331175,0.75636506,1.2998409,0.6158173,1.2589855,1.4994878,0.4606033,1.5047072,1.3054147,0.9100899,1.4927087,1.2200938,1.1009222,0.46938097,0.81009805,1.2737476,0.9465016,0.43795925,0.6939231,0.34066582,1.2206452,1.3175681,0.51624614,1.4834173,1.3220079,1.4652188,0.0,1.5219092,0.28228545,1.3026088,0.803172,1.2224457,1.1524619,1.4256973,0.84396434,1.2406896,1.0691034,0.2441122,0.5463831,0.82192904,0.39823973,0.98848873,1.3077755,0.5984173,1.3116385,1.152414,0.54456705,1.3745267,1.1689515,0.82398045,0.74814093,0.387581,1.2192767,1.0488265,1.0870912,1.0235225,1.0476828,0.42021435,0.9275318,1.0697005,1.2504818,1.4364771,1.3186646,0.3910781,0.7859757,0.83570707,0.6726822,0.58192086,1.3325272,0.5805502,1.4250182,1.3377619,1.426587,1.1758071,1.0912545,1.3543487,0.97427857,1.3919568,0.634081,1.0846294,1.3067658,1.0437213,1.3600719,0.8953657,1.5517378,0.67694116,0.43870103,0.39008313,0.968317,1.2430893,0.94337726,1.3440908,1.3217866,0.22416127,1.3399059
crib,1.2907115,1.241827,0.8515729,1.2611654,1.1787382,0.6740504,1.1455193,0.68633956,0.40447485,1.3754773,0.6100194,0.8022927,1.0475048,0.5990203,1.0692449,0.98057455,1.3982105,1.1361442,0.8190839,1.0306435,1.3142955,1.2555552,1.3273622,0.89049095,0.65608376,1.4129281,0.52061087,0.7835547,0.6436258,1.5219092,0.0,1.3900714,0.9330644,1.2066824,0.89617217,0.85723317,0.77215827,1.1986123,0.8418847,0.9971133,1.3578639,1.3019354,1.1315875,1.4226089,1.1065333,0.6175166,1.4142921,0.81792617,0.95580256,1.3029892,0.6547094,1.0496533,0.9030726,1.2770141,1.3768153,0.83410084,1.1020252,1.0477238,0.9214519,1.062588,1.3434676,1.2149563,1.071036,0.78560007,0.7372272,0.98974746,1.3876688,1.1483734,1.1801695,1.2052015,1.2385932,0.8033646,1.2602198,0.74224937,0.8557409,0.7900742,1.0109259,1.0474322,0.8420961,1.1483064,0.5321739,1.3702195,1.066726,1.0137454,1.0919745,0.9042764,0.7975192,0.38099015,1.1940943,1.4099671,1.2670791,1.1411828,0.90819234,0.8808258,0.71638644,0.929887,1.5000203,0.7144108
cup,0.6170392,0.450225,1.3093393,0.5533105,0.62779486,1.2991464,0.5858686,1.2165352,1.3960743,0.56211317,1.4560108,1.3347654,1.0715349,1.4872265,1.1077821,1.1122907,0.2377137,0.6971728,1.1602199,1.0760365,0.45512307,0.61812365,0.23786533,1.1924707,1.2190158,0.33045113,1.3242748,1.3555034,1.3805077,0.28228545,1.3900714,0.0,1.3234249,0.8758526,1.112623,1.0914954,1.3557231,0.95073736,1.2104028,1.2478821,0.38383555,0.5616883,0.9846575,0.4352008,1.127443,1.2879919,0.7831713,1.2458377,1.319128,0.5220423,1.3779817,1.276609,0.8200457,0.5269239,0.3438462,1.2597888,0.8942467,1.180442,1.0721405,1.1346343,0.43479127,1.1244078,1.2261715,1.2054858,1.429842,1.2484453,0.70780027,1.000945,0.7844342,0.75910115,0.5527437,1.3253343,0.3924883,1.1978894,1.3507677,1.428155,1.2155956,1.1642054,1.3573308,0.85076654,1.3174849,0.76368475,1.1486117,1.2124958,0.99614304,1.2666564,1.0429541,1.4184207,0.59257233,0.6806617,0.36131,1.2113216,1.2562809,0.9411949,1.202296,1.3074898,0.31762993,1.1002697
dog,1.2499635,1.2525328,0.83068144,1.2996607,1.2899117,0.9839473,1.1771122,0.98398376,0.7957097,1.2050836,0.85111827,0.74333835,1.1066309,0.76054966,0.95957536,1.014199,1.3129612,1.2639109,0.92999697,1.1763716,1.1540805,1.0762376,1.2282904,0.8174739,0.818269,1.2412621,0.8312861,0.9671222,0.73396665,1.3026088,0.9330644,1.3234249,0.0,1.1250838,0.87283635,0.9990813,0.71713936,1.0682124,0.71441406,0.8372743,1.2826598,1.1874006,0.8752316,1.0930493,0.89661634,0.99372125,1.0389519,0.5889666,0.80690247,1.0686179,0.9560269,0.9935335,1.205864,1.2471855,1.2107685,1.032629,1.0739254,0.90881413,1.1095903,0.9620401,1.1608219,0.90947074,0.8605182,0.73056144,0.70701957,0.9788491,1.0709488,1.1290855,1.1260258,1.1089118,1.2694565,0.64929616,1.2417307,0.8120893,1.0218415,0.6525772,0.95285124,0.7879964,0.9816468,1.152542,0.9941706,1.0965828,0.8501412,0.98789465,0.980052,0.8662625,1.0268077,0.76344925,1.1664485,1.0719581,1.2303728,1.1669308,0.8099675,1.1746416,1.0420957,0.8763308,1.1805829,0.9987445
