class_name,cdi_category,tsne_x,tsne_y,exemplar_count
alligator,animals,2.7110217,-3.0562859,260
ankle,body_parts,7.2805314,6.421286,199
apple,food_drink,-3.670007,11.576737,265
applesauce,food_drink,3.2776804,3.8261142,94
arm,body_parts,9.188348,0.076948844,256
ball,toys,-4.6655536,12.717748,266
balloon,toys,-4.6690297,12.682542,266
banana,food_drink,1.3571112,3.9423823,260
basket,household,-7.7607684,0.2478743,266
bathtub,furniture_rooms,-6.6353517,-3.8516665,262
bear,animals,6.8998904,-4.1363544,102
bed,furniture_rooms,-6.7573743,-7.355008,266
belt,clothing,0.63433105,8.8641815,262
bench,furniture_rooms,-7.573205,-6.400497,266
bib,clothing,8.5617695,-0.8908835,266
bird,animals,0.9351913,-3.8451033,227
blanket,household,7.0267096,-2.1105628,266
boat,vehicles,-4.401178,-3.9463644,218
book,toys,-6.1068845,-1.0085942,266
bottle,household,-6.310422,5.85235,266
bowl,household,-4.5541286,4.593232,266
box,household,-7.453223,-0.8538635,266
bread,food_drink,2.3891373,2.1549387,257
broom,household,-10.146363,-4.481363,196
bucket,household,-6.8321114,3.9311004,266
butterfly,animals,0.4066433,-2.9609232,186
can,household,-7.124044,3.0861022,266
car,vehicles,-2.9099045,-6.334936,265
carrot,food_drink,-0.5417906,6.032396,235
cat,animals,5.181287,-3.2191336,265
chair,furniture_rooms,-8.086878,-5.9989414,266
chips,food_drink,6.5572033,-8.699536,84
clock,household,-7.470774,7.9582253,262
closet,furniture_rooms,-8.753205,-10.365185,233
cloud,outside,-0.26066667,-8.157804,13
coat,clothing,10.449816,-2.5838985,130
coffee,food_drink,-4.9697556,3.6138213,189
comb,household,-0.2916671,0.50741357,234
cookie,food_drink,1.4812067,1.5644227,177
corn,food_drink,1.1996242,3.184036,113
couch,furniture_rooms,-6.593667,-8.114582,266
cracker,food_drink,3.0243797,0.89984655,248
crayon,toys,-1.6169324,7.826525,266
crib,furniture_rooms,-8.176041,-7.2082334,265
cup,household,-5.6431317,5.504444,266
deer,animals,1.7300235,-5.4948993,83
dish,household,-2.9057872,4.2363386,152
dog,animals,3.3873155,-3.7225928,266
doll,toys,2.4631145,-1.5640354,265
door,furniture_rooms,-8.565607,-10.471514,265
drawer,furniture_rooms,-9.30877,-1.0123955,262
dress,clothing,10.42819,-1.1512164,228
