category,cdi_category,bv_umap_x,bv_umap_y,things_umap_x,things_umap_y
airplane,vehicles,4.1341796,5.024861,3.273984,5.7473307
alligator,animals,5.255777,3.6864204,1.8532889,2.1361284
ankle,body_parts,7.564733,5.1948056,2.6646824,9.309974
ant,animals,6.0665,3.4539726,1.6284088,2.5919433
apple,food_drink,8.430598,3.9279697,-0.51900727,3.7043464
applesauce,food_drink,7.437965,2.3498354,-1.0529405,4.516354
arm,body_parts,6.2935734,6.192581,2.9593785,9.248837
ball,toys,8.175427,3.7305243,3.8922179,5.288889
balloon,toys,8.133506,3.717041,3.9858773,5.3550844
banana,food_drink,8.123509,2.8557568,-0.5668601,3.726896
basket,household,6.5823793,4.2334456,1.0504892,7.0363784
bathtub,furniture_rooms,5.283197,5.2777786,1.2396686,7.391027
bear,animals,4.7904024,3.8416593,1.8186349,2.0576916
bed,furniture_rooms,5.643771,5.802555,1.2321036,7.419568
bee,animals,5.93222,3.4697254,1.5947732,2.6255176
belt,clothing,7.857173,4.4380994,1.5199062,9.060954
bench,furniture_rooms,5.9070125,4.701212,1.5700997,6.4909587
bib,clothing,6.313962,6.0553746,1.6189047,8.385083
bird,animals,5.5679684,3.3388069,1.74927,2.2571578
blanket,household,5.9283133,5.8772116,1.2727705,7.935644
boat,vehicles,4.0178137,5.1045933,2.3383224,5.892642
book,toys,4.7645073,5.5821543,1.0806427,5.1422772
bottle,household,7.600184,4.0726724,0.32634753,5.592391
bowl,household,7.445508,3.3842351,0.5889378,6.458322
box,household,4.7943125,5.5400276,4.270515,5.9631534
bread,food_drink,8.221148,2.7746906,-1.5387568,4.4627366
broom,household,6.794323,4.331841,1.4061826,5.7267475
brush,household,6.9284124,4.10956,1.0752115,5.6143513
bucket,household,7.111553,3.5501964,1.6548206,5.5321426
bug,animals,5.595364,3.6854458,1.6706561,2.534462
bus,vehicles,5.199836,4.988963,3.2181373,5.810531
butter,food_drink,8.244071,3.0911465,-1.0091918,4.2661724
butterfly,animals,5.869801,3.3554885,1.609995,2.6588461
cake,food_drink,7.634032,2.4673798,-1.1852379,4.5545855
can,household,7.396612,4.3273587,0.6581089,5.7994437
candy,food_drink,7.9022245,3.5673056,-0.21289863,4.8671513
car,vehicles,6.6845665,4.0498886,2.831343,6.1279454
carrot,food_drink,8.275601,4.7306614,-0.5557508,3.691313
cat,animals,5.0560546,3.7285733,2.3222091,2.2846415
cereal,food_drink,7.6756015,1.8156713,-0.9732341,4.44781
chair,furniture_rooms,6.0890346,4.805451,0.9019655,6.810671
chalk,toys,4.3906226,5.651287,0.51888186,5.219701
cheese,food_drink,8.157436,3.0288215,-1.2833791,4.2098784
chips,food_drink,7.947449,1.7461666,-1.1448847,4.0824175
clock,household,7.6032395,3.8604786,0.9331489,6.8471847
closet,furniture_rooms,5.5768156,5.226485,1.2204707,7.258373
cloud,outside,6.754321,3.9065373,3.4784393,4.592102
coat,clothing,6.3768053,6.3633237,1.7806684,9.068229
coffee,food_drink,6.073732,4.362293,-0.6792874,4.9559712
comb,household,6.04335,4.0529475,0.9768073,5.528211
