cdi_category,displacement_mean,displacement_std,n_words,displacement_median,direction_alignment,displacement_cv,magnitude_consistency
clothing,43.2486,4.5938,21,41.4054,0.9907,0.1062,0.904
food_drink,38.2437,6.0916,47,38.9061,0.9944,0.1593,0.8626
household,34.1599,6.744,39,34.1749,0.9818,0.1974,0.8351
body_parts,34.1288,4.4411,14,34.0132,0.9643,0.1301,0.8849
toys,29.0952,11.9905,11,28.4111,0.8926,0.4121,0.7082
furniture_rooms,27.3648,3.1929,16,27.5356,0.9945,0.1167,0.8955
animals,25.4909,6.1938,28,26.6777,0.9983,0.243,0.8045
outside,15.8997,9.8557,16,12.8804,0.9691,0.6199,0.6173
vehicles,13.8947,4.7984,13,13.5812,0.9557,0.3453,0.7433
