category,cdi_category,bv_tsne_x,bv_tsne_y,things_tsne_x,things_tsne_y
airplane,vehicles,-1.5742344,-0.09511928,5.637483,9.952653
alligator,animals,-19.218073,5.786913,-2.1704588,21.171274
ankle,body_parts,-26.10303,-3.4771996,5.7896223,-10.423446
ant,animals,-22.539314,0.2805481,0.19281253,18.53006
apple,food_drink,-22.089663,-12.252544,20.437225,-15.099706
applesauce,food_drink,-7.3736925,-10.749791,26.756987,-12.921297
arm,body_parts,-13.87009,8.124675,3.6698384,-12.147857
ball,toys,-20.01213,-13.192037,2.7536168,4.6184883
balloon,toys,-19.929327,-12.7120695,2.418691,4.830856
banana,food_drink,-13.955479,-12.668697,21.969208,-16.005745
basket,household,-15.249376,-3.4964287,21.232183,3.0844562
bathtub,furniture_rooms,-7.9954123,3.917802,18.573826,3.2445467
bear,animals,-18.404425,8.849137,-2.4164267,24.266747
bed,furniture_rooms,-10.789312,7.7037063,20.492308,5.018483
bee,animals,-20.376963,2.0799396,1.0503871,18.581158
belt,clothing,-22.18943,-7.975819,23.82151,9.80846
bench,furniture_rooms,-11.538323,0.4234542,12.415635,5.3946
bib,clothing,-14.438091,9.178491,27.305086,4.508841
bird,animals,-23.29927,3.5570166,0.096767634,22.060644
blanket,household,-11.885806,8.107129,22.728617,4.7388906
boat,vehicles,-0.29502288,2.2924752,10.441186,6.529904
book,toys,-5.5583286,-3.314173,19.059814,-3.9198282
bottle,household,-18.282518,-8.467635,22.06178,-4.317968
bowl,household,-14.671438,-9.201581,22.65312,0.1652808
box,household,-6.028989,-3.5464206,15.329807,13.907585
bread,food_drink,-13.847348,-14.619369,30.839529,-14.305279
broom,household,-13.848558,-2.0250916,13.175937,-3.8019447
brush,household,-15.023585,-5.346565,14.626926,-3.5761018
bucket,household,-15.210504,-8.146931,12.218924,-0.6755919
bug,animals,-19.083172,3.4650493,0.057757724,19.131762
bus,vehicles,-6.3304005,6.987789,6.495759,10.814284
butter,food_drink,-15.493267,-14.089264,26.438885,-17.17793
butterfly,animals,-23.46494,1.9597899,2.0222843,19.689505
cake,food_drink,-10.034133,-10.948099,29.026962,-11.112742
can,household,-19.10572,-5.7799773,12.402621,-1.5082561
candy,food_drink,-18.572311,-13.8793745,21.096426,-10.04734
car,vehicles,-6.094075,0.14168693,9.918201,12.391429
carrot,food_drink,-23.983223,-5.3437366,20.783588,-17.030825
cat,animals,-18.89076,7.8036838,-4.7790074,19.582216
cereal,food_drink,-4.730798,-14.16163,25.46347,-13.91513
chair,furniture_rooms,-12.238275,0.520437,19.830717,7.455331
chalk,toys,-0.64559793,5.9126253,18.464935,-6.86218
cheese,food_drink,-15.529489,-14.978053,26.563227,-17.559181
chips,food_drink,-6.678207,-16.035133,27.397211,-15.667818
clock,household,-18.096956,-10.705534,18.666649,9.941608
closet,furniture_rooms,-10.262338,4.690918,19.097544,5.1640043
cloud,outside,-19.791086,-2.0784812,-0.07201613,-5.2171288
coat,clothing,-13.928744,11.431745,27.102003,10.619793
coffee,food_drink,-9.371662,-1.7633641,24.812742,-2.1818023
comb,household,-10.410871,-3.2087297,15.259845,-3.2276025
cookie,food_drink,-11.473437,-14.959066,28.66714,-13.984643
