,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,can,car,carrot,cat,chair,clock,closet,couch,crayon,crib,cup,deer,dog,doll,door,drawer,egg,eye,face,finger,fish,flower,fork,frog,glass,glasses,glove,grass,gum,hair,hand,hat,horse,hose,jacket,jeans,knife,ladder,lamp,mitten,motorcycle,nail,napkin,necklace,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pig,pillow,plant,plate,pony,purse,radio,refrigerator,rock,rooster,scissors,shirt,shoe,shovel,sink,slide,slipper,soap,spoon,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
pickle,0.98618644,1.0275067,0.8053845,1.0512137,1.0115621,1.0354979,0.7982644,1.1114393,1.0620807,1.141274,0.92880535,1.085684,1.1017041,1.024772,1.1103014,1.1497461,1.0319339,0.99646735,0.9733726,1.1072391,0.6807268,1.2092226,0.94228995,0.990895,0.85333884,0.48437786,1.0558679,1.1680329,1.1815153,1.1787877,1.081241,0.72702295,1.0754288,0.9506689,0.67572457,1.1922495,1.0335001,1.1818464,1.1297437,0.7255877,1.1261284,1.0396869,0.7662276,0.69762826,0.9864278,1.1186785,0.77102983,1.0614388,0.8618454,1.0465778,1.2119024,0.90109444,1.0131371,0.86763626,0.9331342,0.92790246,0.9489396,1.037331,1.0423864,1.0535762,0.87685114,1.1898642,1.048981,1.1219916,0.84408885,0.99230087,1.1555276,0.53661203,1.1155065,1.0911739,1.0770146,1.0517356,0.9553622,0.96684957,1.0087465,0.0,0.9667726,1.1051512,1.0951984,1.0542588,0.9804664,1.0425061,1.0945556,1.1354022,1.1070107,0.8727916,0.85497373,1.0683209,1.066853,1.1059333,1.0010663,1.0987995,1.011,0.59368885,0.77264476,0.79299694,1.2689409,0.9991725,1.1305718,1.0213213,0.8169154,0.9693464,0.8523784,0.97745425,0.9253174,1.1013862,1.1100299,1.2331647,1.1727474,1.0324829,1.1303093
pig,0.8921317,1.0960274,0.97924757,1.1877979,0.99178314,1.0356579,0.90647113,0.9421759,1.1302831,1.1287062,1.1244261,1.1694334,1.1535525,0.4714443,0.91805875,0.9498597,0.9908321,1.0528452,1.1151155,1.1517959,1.0235838,0.9345713,1.0226016,1.0370129,0.918944,0.91464084,0.99161893,1.1013585,1.0179197,1.0966265,1.1583345,1.0741708,1.0502357,1.0474217,0.7167655,0.73278713,0.8829524,1.1186912,0.98621154,0.9010395,0.9341014,1.1419609,1.1265967,0.8630785,1.0042957,0.8381055,0.7430006,1.0563799,0.9762242,1.099141,0.96991295,1.0431639,1.1698709,1.1265712,1.090163,0.17412281,1.043652,1.158082,1.2253362,0.9475826,1.119025,1.0175121,1.2227887,1.05469,1.0831637,1.1496041,0.9645435,0.8754254,1.0820388,1.0816753,1.2027026,1.1838279,1.1331503,1.081481,1.0715504,0.9667726,0.0,0.8891966,0.8188233,1.1728874,0.11474812,1.0382156,0.96350425,1.1342942,1.1704198,0.6561802,0.98119277,1.2349153,1.126793,1.0340761,1.1983,1.1830351,1.1310124,1.0378327,0.82507044,1.0107276,1.0161475,1.1712201,1.2003164,0.9620636,1.0790557,1.02866,1.1802903,1.0932386,0.9647081,1.1792178,1.0974712,0.9402757,1.0902889,1.1268823,1.0991787
pillow,1.119862,0.89190936,1.087811,1.0294471,1.0158963,1.0844043,0.9811826,0.79175353,1.1375928,0.7744198,0.86551464,0.91254795,0.91895103,0.917732,0.5996841,1.0169736,1.0310403,0.9956798,1.2177202,1.2257514,1.0015439,0.90958315,0.80884826,0.94547886,0.76620144,1.0835824,1.0740873,0.65106,0.9464644,1.0051246,0.7653646,1.1880302,0.7822553,0.9753971,0.943238,0.84009373,0.8203106,0.94531524,0.93151015,1.1159444,0.9703576,1.1862276,1.1588731,1.066902,1.0198852,0.82944834,1.058924,0.84595144,0.974145,0.95860875,1.0811937,1.1636865,1.16958,1.1391671,0.91673833,0.8817496,1.1068239,1.07413,1.0427104,0.985783,1.0247853,1.0378276,0.95636314,0.96841455,1.0929769,0.85063285,0.9713274,1.1548408,0.98006713,1.0556493,1.0337813,1.0687293,1.1551348,1.043966,1.0678767,1.1051512,0.8891966,0.0,0.809116,1.2840216,0.8882752,0.96176636,0.9261445,1.0068303,1.0042332,1.011239,1.2234299,1.1189504,0.89305127,0.9917791,1.1724411,1.1340463,0.98280406,1.1465988,0.9745645,1.0673139,0.6404943,1.0919563,1.2563684,1.0770262,1.1301608,1.0621828,1.2402033,0.7848715,1.0950913,1.2615457,1.092865,0.8367173,0.8113436,1.0335653,0.884121
plant,0.93706846,0.9688887,0.81025594,1.3115608,0.70257074,0.87489426,0.99800104,0.71105814,1.2488883,1.2095606,1.1266662,1.2615204,1.2398142,0.85807043,0.82629144,0.9493636,1.0242237,0.8051488,1.0247277,1.2268854,1.0857539,0.9316126,0.81621903,0.79767203,0.8258549,0.9633744,1.1678379,1.0861081,0.6364274,1.1678829,1.2090492,1.0136331,1.0914391,0.7166171,0.9363136,0.85549706,1.0221909,1.0706693,1.0409704,1.0986279,0.9876433,1.168043,1.2207798,0.87714183,0.50700957,0.3883536,0.85898304,0.8016647,0.77692235,1.1716807,1.0250404,1.0995448,1.1724975,1.3165891,0.9133482,0.85817343,1.1558774,1.231551,1.2901188,1.0296888,0.96899694,0.8081101,1.2373289,1.038616,1.006006,0.9647071,0.78184664,0.90868056,1.1473396,0.97772074,1.2509134,1.3565987,1.2494725,0.9385222,0.98957187,1.0951984,0.8188233,0.809116,0.0,1.2443672,0.90660876,1.1588356,0.7489657,1.2148616,1.0540262,0.84812176,0.96198773,1.3231106,0.9434484,0.78503156,1.1749749,1.2768888,0.9255405,1.0873306,0.8573932,1.009009,0.91054857,1.2927644,1.2910244,0.84810287,1.0946639,1.0393983,1.3501652,0.8992758,0.9554521,1.2637137,0.82524556,0.73924303,0.9588694,0.9543416,0.9719398
plate,1.166323,1.384693,1.2189052,0.9167872,1.0970289,1.2599392,1.161132,1.296886,0.6056765,0.82740104,1.2147522,0.98634255,0.82062477,1.1818159,0.9941225,0.8653859,0.67590916,1.2505484,0.34834528,0.08293265,1.2076095,1.1524953,1.2711197,1.3145413,1.3554678,1.2518629,0.9346716,1.1343486,1.1109626,0.73048085,0.8763635,1.1953132,0.7612532,1.2761009,1.2600298,1.0427186,0.9361448,1.268028,1.1750959,0.830333,1.2251495,0.90045404,1.2256726,1.324694,0.6319617,1.2160158,0.70746124,1.3108116,1.4283074,0.80627227,0.88401574,0.4263124,0.9155186,0.88272005,1.3794248,1.2365551,0.9789476,0.8084961,0.90377,1.3341906,1.2561854,1.3441663,0.9488967,1.0239176,1.3264294,1.3032897,1.0225892,1.1678641,1.0447531,0.9978447,0.8047117,0.9118453,0.4498942,1.2439123,1.2131703,1.0542588,1.1728874,1.2840216,1.2443672,0.0,1.1109742,0.91151565,1.3398094,0.72524214,1.1050798,1.1959645,0.69177747,0.8113113,1.2332201,1.1987847,0.49463356,0.5304728,1.4438334,1.0456768,1.1440762,1.0797663,1.031875,0.7116324,0.12270045,0.90904665,1.2997899,1.010354,0.7057611,1.456282,0.6110204,0.09789127,0.84855735,1.1445427,1.2895894,1.3809652,1.1085931
pony,0.91953975,1.1517987,1.0423784,1.1349854,1.0383003,1.0856066,0.91866326,1.021355,1.1008239,1.0685889,1.1478031,1.146833,1.0762931,0.4235292,0.9191025,0.9155962,0.9959773,1.096489,1.1106824,1.0867443,1.0295844,0.97317517,1.0791212,1.0989622,0.96947026,0.98032486,0.97412044,1.0785588,1.0290191,1.0212213,1.1230065,1.1554987,0.9626692,1.1234841,0.81341416,0.7149117,0.79123735,1.1035999,1.0166025,0.84480727,0.97101647,1.1109443,1.1494635,0.9140801,1.0547186,0.9164853,0.6919688,1.1227516,1.0381843,0.9710502,0.9392947,0.93996847,1.1214458,1.0513507,1.1163404,0.10560882,1.1059091,1.1346172,1.1500547,1.0242953,1.1587923,1.1069758,1.1224056,1.0643252,1.1217669,1.1886092,0.97102123,0.9199728,1.0305493,1.1311938,1.1627885,1.134768,1.0826643,1.1686695,1.1596439,0.9804664,0.11474812,0.8882752,0.90660876,1.1109742,0.0,1.0035782,1.0270743,1.0687156,1.2265239,0.6388441,0.937543,1.1959947,1.1059442,1.0598942,1.21914,1.1725546,1.1842282,1.0307721,0.86538625,1.0676584,0.9508268,1.1282209,1.1369814,0.97597706,1.0662236,1.0649987,1.1646411,1.1672704,0.88004553,1.1108903,1.0937568,0.93125385,1.0947012,1.1732333,1.0667573
purse,1.2438977,1.123647,1.2129138,0.8487135,1.0304044,1.2031375,1.0970066,0.85643876,0.8395341,0.87953967,0.9934745,0.89322376,0.9543686,1.1953394,1.0504909,0.8962431,1.0373158,0.9664226,0.9769662,0.79540074,1.095976,0.9334419,0.83046675,1.0227265,1.1500436,1.1838776,1.0850153,0.75741255,1.129673,0.8300048,0.9683737,1.0871642,0.74145436,1.1234074,1.0968645,1.1778302,0.93706524,0.8947551,0.907756,0.8397957,1.0949365,1.0888727,1.1050967,1.2582681,1.1276872,1.103965,1.0846984,1.0408657,1.160927,0.7573296,1.0365034,0.8428097,1.0313852,0.913554,1.0599812,1.0968423,0.93670666,0.9892239,0.9069511,0.9713584,1.0744692,1.1117756,0.7864389,0.9472014,1.2411886,0.83324593,0.89123976,1.1446362,0.73033965,1.0677555,1.0093937,0.9180079,0.70914316,1.1726915,1.0982975,1.0425061,1.0382156,0.96176636,1.1588356,0.91151565,1.0035782,0.0,1.1159002,0.8155403,1.0559263,1.1968855,0.92980856,0.96892405,0.8252271,1.1992486,0.8711419,0.80943066,1.0438051,1.0475485,1.1169404,1.0194186,0.89879125,0.96647906,0.89725494,1.0087643,1.1722208,1.1629815,0.9444545,0.9384543,0.92747015,0.83478487,1.0420142,1.0104954,0.7469535,1.1272944,1.0236977
radio,0.7150581,0.9073093,0.5991149,1.2737622,0.8476669,0.57747686,1.033743,0.62724197,1.3712513,1.3096472,1.0413463,1.2793732,1.3569243,0.90759885,0.9741289,0.9230291,0.9441924,0.70944685,0.88827634,1.3194486,0.7402106,0.96336204,0.7627206,0.49761045,0.7823539,0.7465247,1.3204778,1.2021081,0.64764035,1.2255007,1.303066,0.68071973,1.2477324,0.4996348,1.052185,1.0070173,1.1715043,1.1036813,0.8630104,1.1515403,0.8440757,1.1363165,1.0625693,0.70163584,0.8250463,0.7369213,1.0856459,0.69735575,0.588307,1.1934761,1.2428192,1.1831027,1.2716727,1.3071294,0.6900315,0.8772361,1.2274296,1.3053472,1.3498187,1.0224,0.76193047,0.5321976,1.371059,1.0628142,0.68807966,0.9036276,0.64774704,0.7748413,1.1400691,1.0721947,1.3623567,1.4035268,1.3945374,0.73804873,0.79529107,1.0945556,0.96350425,0.9261445,0.7489657,1.3398094,1.0270743,1.1159002,0.0,1.2494345,1.0016062,0.8774714,0.88432765,1.3810532,0.84048486,0.5798379,1.1421576,1.2917471,0.5737329,0.9212105,0.7888582,1.1803222,0.9613056,1.3638449,1.4208599,0.77071524,0.9670663,0.7888448,1.2286358,0.79070884,0.9187912,1.3632962,1.1319644,0.8786831,0.9658144,0.50224024,1.2105403
refrigerator,1.272315,1.2844945,1.334759,0.9037943,1.2390997,1.2100291,1.2099156,1.0604161,0.5446856,0.6158124,1.1137583,0.6973698,0.8333757,1.1931942,1.1268533,1.0446367,0.9320237,1.0801284,0.9814473,0.66043043,1.2595646,1.1060002,1.0240476,1.1682084,1.2185925,1.3515939,0.9055191,0.5558336,1.2320298,0.18280268,0.6674737,1.3770785,0.6517625,1.2912462,1.2202111,0.9907236,1.0390124,0.58870864,0.73970336,0.93669957,1.1709782,0.8744575,1.2590013,1.4389096,1.089623,1.1739626,1.1639419,1.1419977,1.332804,0.95557725,0.8018052,0.96172476,0.8314186,0.98443466,1.2975276,1.1823937,1.0084779,0.78810203,0.6894131,1.1185095,1.0962412,1.1756318,0.8700534,0.94492126,1.3670034,1.119239,1.1333368,1.2781662,0.30038178,1.0103664,0.7736734,0.729748,0.64013773,1.234003,1.2465775,1.1354022,1.1342942,1.0068303,1.2148616,0.72524214,1.0687156,0.8155403,1.2494345,0.0,1.0701091,1.2831142,1.1595421,0.7722537,1.1704998,1.1494781,0.77778614,0.8545699,1.377589,1.0607499,1.2726654,1.065535,0.7924448,0.7341889,0.60745144,1.1912763,1.3136063,1.2626784,1.0673138,1.1530383,1.1046436,0.69586414,0.8457191,0.84327126,0.8057004,1.3518813,0.61607814
rock,0.90557337,0.8807627,0.9947677,0.9318435,1.0028154,0.9521863,1.1317809,1.0656639,0.9996912,0.78366435,0.80898046,0.71758497,0.9058348,1.1663796,1.0145084,1.1164794,1.099894,1.1588981,1.1880087,1.1520243,0.96429294,1.0032841,1.1906793,1.0612354,0.9285356,1.065296,0.48403394,0.9636238,1.0133643,1.1092434,0.7844938,1.0649649,1.1548071,1.1185075,1.0900927,1.0251836,1.1332551,0.9262836,1.0164077,1.2292174,0.9693136,0.9895295,0.9764448,1.1040732,1.1273282,1.071697,1.2429985,1.0916328,1.0245185,1.2013755,0.84922546,1.2165691,0.9847305,1.1148639,0.9572863,1.2016854,0.9690057,0.9117484,0.92734456,0.72512543,1.0695815,0.95980763,1.0095431,0.81440145,0.9890407,1.0013314,1.1205014,1.1127868,1.0228757,0.27333975,0.9701505,0.9650376,1.0419432,0.9959394,0.99709743,1.1070107,1.1704198,1.0042332,1.0540262,1.1050798,1.2265239,1.0559263,1.0016062,1.0701091,0.0,1.1430186,1.164733,0.9009616,1.0328069,1.0714695,1.0076908,0.7938683,0.93246716,1.001493,1.1813614,1.0101349,1.0628331,0.9792354,1.019745,1.1358551,1.0729845,1.1061375,1.1955009,1.0215766,1.3058217,1.1135595,0.8595995,1.1398197,1.1144432,0.95826846,0.9875382
