,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,can,car,carrot,cat,chair,clock,closet,couch,crayon,crib,cup,deer,dog,doll,door,drawer,egg,eye,face,finger,fish,flower,fork,frog,glass,glasses,glove,grass,gum,hair,hand,hat,horse,hose,jacket,jeans,knife,ladder,lamp,mitten,motorcycle,nail,napkin,necklace,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pig,pillow,plant,plate,pony,purse,radio,refrigerator,rock,rooster,scissors,shirt,shoe,shovel,sink,slide,slipper,soap,spoon,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
rooster,0.5613032,0.9981612,0.92286557,1.1906687,0.8740566,1.034736,0.80948424,0.9431456,1.3429782,1.3282974,0.95371836,1.3304707,1.1341321,0.500242,1.014257,1.0060979,0.978226,0.9885652,1.1177182,1.1960799,0.832619,0.98836595,0.9875849,0.98195666,0.9698395,0.71545774,1.0894363,1.2317252,0.959765,1.2449311,1.3127182,0.9568024,1.2210996,0.9320881,0.65827227,0.9036786,0.8094274,1.1927497,1.0684472,0.93827623,0.98218083,1.0573334,0.94472504,0.4606831,0.97339845,0.79513824,0.614786,0.97390246,0.88928866,1.0903605,1.1100816,1.0940616,1.1619565,1.0572875,0.9361228,0.53652936,1.0915766,1.1559118,1.2352474,1.075582,0.8108879,1.054673,1.1747663,1.0135902,0.9849447,1.1535673,0.97216904,0.7628746,1.2562413,1.101453,1.2299719,1.186338,1.2631297,1.0273985,1.0104024,0.8727916,0.6561802,1.011239,0.84812176,1.1959645,0.6388441,1.1968855,0.8774714,1.2831142,1.1430186,0.0,0.8484443,1.220974,0.9158305,0.9837678,1.2700919,1.273418,0.9250162,1.0141609,0.6640399,1.059873,1.0922759,1.1621827,1.256048,0.99408036,0.8491701,0.9476199,1.1039858,1.0744815,0.8014405,1.2340053,1.0849477,1.0131584,1.1725855,0.90241903,1.1590292
scissors,0.88870347,1.1552352,0.9924327,1.1259226,0.9005943,1.1394439,0.92771286,1.055783,1.1603305,1.3304205,0.9989909,1.3995434,1.2119436,0.949985,1.0200111,0.7150643,0.9485954,0.9779964,0.52751946,0.6720239,1.0770723,0.8931775,1.0101424,1.0019313,1.1216884,0.8338135,1.2993248,1.2802167,0.8983414,1.1332679,1.3637054,0.7092846,1.033582,0.7995781,1.006156,1.1539962,0.91483974,1.3236324,1.0777404,0.7139555,1.0742542,1.219754,1.0672455,0.9621199,0.7061578,0.85202146,0.44510257,0.9896709,1.072206,0.8442085,1.245955,0.4117688,1.3099068,0.98416513,1.0927739,0.96591,1.1524838,1.2527683,1.2934073,1.1277168,0.96482474,0.9919161,1.1140001,0.95539737,1.1450722,1.0891466,0.74907184,0.80252564,1.2622844,1.1288047,1.3177968,1.30814,1.0071701,1.026182,0.9508707,0.85497373,0.98119277,1.2234299,0.96198773,0.69177747,0.937543,0.92980856,0.88432765,1.1595421,1.164733,0.8484443,0.0,1.3289547,0.8193282,1.0803097,0.8583095,0.8173498,1.0224241,0.75612766,0.6702599,0.9837884,1.0405322,1.2471026,0.8787526,0.5939003,1.1101067,0.70513976,0.71732616,1.1559353,0.2398951,0.7192154,1.156565,1.0629892,1.1074128,0.93014383,1.3126246
shirt,1.2569582,1.0649579,1.3136873,0.5078819,1.3042276,1.2322953,1.067047,1.3916874,0.6998967,0.6273436,0.98101074,0.64932936,0.4497301,1.2430787,1.0678253,1.1747023,1.0903592,1.2806711,1.228059,0.8728506,1.1508597,1.1832902,1.2693996,1.3465172,1.210124,1.3151562,0.67724484,0.78058815,1.2562054,0.81292915,0.59472746,1.3937771,0.8534026,1.4770286,1.2026613,1.044349,1.0619298,0.90105724,1.200438,1.0763006,1.0810331,0.56307626,0.88094294,1.286331,1.30253,1.3347546,1.2357988,1.2729993,1.2574384,0.90822935,0.75248945,1.1299686,0.3800819,0.6513583,1.193208,1.2456883,0.9067956,0.36879182,0.46023762,1.1722506,1.225098,1.3784521,0.65660584,0.92795074,1.1600052,1.2249851,1.365751,1.3056651,0.8582104,0.90877146,0.19791603,0.36416876,0.7765223,1.3103533,1.3070747,1.0683209,1.2349153,1.1189504,1.3231106,0.8113113,1.1959947,0.96892405,1.3810532,0.7722537,0.9009616,1.220974,1.3289547,0.0,1.1611505,1.2733454,0.992724,0.79192454,1.2779591,1.2688813,1.3127944,1.1058756,0.9326745,0.26131845,0.6832231,1.3774474,0.93589634,1.2436416,0.96013075,1.2694395,1.3816955,0.8209436,0.8007267,1.117559,1.0806566,1.1893386,0.80790234
shoe,1.1330684,0.76863426,1.0799645,1.0059153,0.90239763,1.1175662,0.94223773,0.835808,1.2469981,1.109269,0.805516,1.1347686,1.1112018,0.99068874,1.0304703,0.8248988,1.0849497,0.7590928,1.0913912,1.1699919,1.0041678,1.0473692,0.7033764,0.8722309,0.82742786,0.9592046,1.2011166,0.9522237,1.0640755,1.1230559,1.2066344,0.9186207,0.96501017,0.8791301,0.9286676,1.1336372,0.88915193,1.1043898,0.99577206,1.0602301,0.87170905,1.1651748,0.9268857,0.9681918,1.127565,0.9546677,0.9434486,0.9045416,0.882977,0.4415605,1.2885103,1.0020431,1.1175005,0.953529,0.75000775,1.09446,1.0365065,1.0854285,0.9894487,0.9230354,0.9167043,1.0848687,0.561588,0.8851369,1.0100708,0.83616155,0.8860148,1.0636035,1.0737944,1.1136708,1.1230583,1.0336924,1.1604153,1.1287584,1.0798596,1.066853,1.126793,0.89305127,0.9434484,1.2332201,1.1059442,0.8252271,0.84048486,1.1704998,1.0328069,0.9158305,0.8193282,1.1611505,0.0,1.0847249,1.1465673,0.9945622,0.4276086,1.0857317,0.8850662,0.9680487,0.82326746,1.1460501,1.2459717,0.9464519,0.90216815,0.8463785,1.0395405,0.8632492,0.80658895,1.2122952,1.2204566,1.0080698,0.80482626,0.73614085,1.1027976
shovel,0.7186139,0.9115943,0.3721099,1.2667098,0.7921607,0.2009455,1.0739605,0.63759243,1.3747579,1.315005,1.1429048,1.2753967,1.2690961,0.9452102,1.09298,1.0495318,0.9368783,0.54580027,0.7710158,1.2197378,0.8684707,1.0389688,0.80056953,0.40844715,0.9636347,0.79033434,1.2534691,1.213864,0.74986243,1.1346292,1.2490271,0.7191693,1.2960268,0.41750497,1.1018571,0.98693,1.17455,1.1020095,1.0608301,1.1214796,1.0920765,1.0975269,1.1125194,0.6700913,0.6580108,0.8266978,1.1435106,0.75762135,0.58322763,1.2868017,1.1053028,1.1717412,1.1730705,1.3436203,0.7425598,0.94254386,1.2557676,1.2866548,1.2739154,1.1349568,0.87289923,0.5660217,1.3138682,1.20783,0.483006,0.8165989,0.7343148,0.8132626,1.0712736,1.0951897,1.2259529,1.31976,1.3671196,0.626229,0.80768734,1.1059333,1.0340761,0.9917791,0.78503156,1.1987847,1.0598942,1.1992486,0.5798379,1.1494781,1.0714695,0.9837678,1.0803097,1.2733454,1.0847249,0.0,1.1455564,1.2942655,0.7054258,0.8258367,0.889447,1.128468,1.0930233,1.2722079,1.265826,0.8527634,0.9315457,1.0524905,1.2157449,0.76581395,1.0157433,1.249344,1.0177404,0.8952288,0.89759254,0.62952846,1.1949673
sink,1.0638763,1.277484,1.1855117,0.918756,1.2397841,1.1395721,1.1960601,1.1195658,0.3737445,0.8708054,1.2316548,0.9048621,1.0098513,1.1968735,0.9641843,0.8678086,0.75622696,1.0763632,0.50885844,0.45275146,1.1361147,0.9515579,0.90226054,1.0712407,1.0914423,1.2606571,0.97843295,0.92086387,1.1108798,0.78647316,0.9511593,1.0852941,0.77083206,1.02579,1.1740677,1.1227536,1.0224974,1.0005227,0.7656486,0.93829596,1.1455687,1.0836785,1.1996984,1.3368753,0.9006472,1.249081,0.9807467,1.0979078,1.2840669,0.9828418,0.9977649,0.7923644,1.090303,0.9948349,1.1741079,1.2941467,0.7916275,1.0142118,0.97719723,1.0796854,0.97599983,0.986224,1.1001023,0.9996719,1.2845378,0.9904455,1.0148103,1.1624328,0.8658651,0.93886346,0.9991962,0.97906375,0.4652248,0.9795378,0.96451277,1.0010663,1.1983,1.1724411,1.1749749,0.49463356,1.21914,0.8711419,1.1421576,0.77778614,1.0076908,1.2700919,0.8583095,0.992724,1.1465673,1.1455564,0.0,0.5947857,1.2000896,0.91267043,1.009924,0.9503374,1.030152,0.9653057,0.48115373,0.9405468,1.3664091,1.033178,0.6883138,1.106628,0.90097,0.43576658,0.9976461,1.1739572,1.0500422,1.2457459,0.9758755
slide,1.2345347,1.1637899,1.233933,0.7837713,1.1359799,1.3064945,1.2057276,1.2220633,0.6612183,0.635825,1.0073473,0.7262025,0.77417517,1.2294552,0.99904937,0.85644233,0.9036812,1.2085848,0.7294282,0.4973511,1.2162616,1.0990157,1.1253145,1.3008742,1.2365744,1.2500606,0.8047372,0.85321647,1.2006223,0.87504065,0.71536124,1.2381921,0.76650757,1.1798053,1.2397974,1.1335546,1.0569657,1.1306739,1.0616487,0.9692841,1.1365205,1.0089836,1.1423042,1.4388483,1.0682416,1.2511697,1.0920292,1.1178734,1.3644159,0.9010947,0.89707553,0.78417575,0.94220686,1.0037198,1.1311952,1.2657726,0.90441006,0.8339884,0.80546206,1.0709832,1.1814265,1.2404618,0.7977549,0.78780365,1.2621714,1.1855842,1.0406255,1.2298074,0.94944257,0.88855743,0.7685869,0.79429275,0.64527166,1.2990798,1.2362502,1.0987995,1.1830351,1.1340463,1.2768888,0.5304728,1.1725546,0.80943066,1.2917471,0.8545699,0.7938683,1.273418,0.8173498,0.79192454,0.9945622,1.2942655,0.5947857,0.0,1.1839284,1.0730038,1.1610781,1.0085938,0.8671903,0.7720901,0.4898367,0.84668124,1.2692937,1.0607989,0.89123106,1.3225245,0.8998695,0.50244486,0.9293274,1.1215067,1.1288583,1.2373877,1.1222568
slipper,0.82317114,0.57013017,0.6561571,1.133312,0.7641089,0.565068,0.9358896,0.6631888,1.4267675,1.3399909,0.83768237,1.1656363,1.3025216,0.9805048,1.0987377,0.9674899,1.0931067,0.6980571,1.0853882,1.4626241,0.6347985,1.0630845,0.69391984,0.4802239,0.8004767,0.651684,1.2696192,1.1941524,0.92068434,1.3653035,1.2806677,0.56056654,1.3641496,0.5679406,0.8620707,1.1429596,1.2226218,1.1199394,0.93233585,1.253273,0.85754645,1.2035575,0.7193778,0.5522536,1.1257722,0.9359775,1.1788461,0.7388792,0.47868806,0.93421435,1.3615243,1.3008018,1.1877687,1.0975113,0.40746117,1.0526819,1.069308,1.2082299,1.2230428,0.81116956,0.77142954,0.68524814,0.96960145,1.1062516,0.5307653,0.7025793,0.81894237,0.8218292,1.1256098,1.104229,1.2613055,1.2094288,1.3903072,0.71181256,0.7566502,1.011,1.1310124,0.98280406,0.9255405,1.4438334,1.1842282,1.0438051,0.5737329,1.377589,0.93246716,0.9250162,1.0224241,1.2779591,0.4276086,0.7054258,1.2000896,1.1839284,0.0,0.92084324,0.8978329,0.9142933,1.1186321,1.3224677,1.4900825,0.91561705,0.6250269,0.8551198,1.1281676,0.61159927,1.050593,1.4617473,1.304882,1.0623943,0.83558154,0.35169995,1.2187756
soap,0.73320055,1.0741717,0.79554904,1.2127686,1.0076594,0.67571497,0.96753377,0.94394493,1.1006662,1.2013297,1.010808,1.1351781,1.1818862,1.0522721,1.1191592,0.96943635,0.8160217,0.79007185,0.74672127,1.0463154,0.80772126,0.9964945,0.9408843,0.75361055,0.92534375,0.7529229,1.1183867,1.1984453,1.0766609,1.1031653,1.2122519,0.60020036,1.1191835,0.73772085,0.91428614,1.1642708,1.1725607,1.1022235,0.9164362,0.7870555,1.0854307,1.1019855,0.94696224,0.8450055,0.90312076,1.0617337,0.87454987,1.0301776,0.9848154,1.1078492,1.1536285,0.80791754,1.1831876,1.0837859,1.0069225,1.0300577,1.0817115,1.2883029,1.170152,0.94678605,0.8583796,0.8400526,1.1939156,1.173891,0.76049376,0.9138493,1.0012131,0.71168256,1.022031,0.9876093,1.2463119,1.307777,0.9863469,0.6495961,0.7157697,0.59368885,1.0378327,1.1465988,1.0873306,1.0456768,1.0307721,1.0475485,0.9212105,1.0607499,1.001493,1.0141609,0.75612766,1.2688813,1.0857317,0.8258367,0.91267043,1.0730038,0.92084324,0.0,0.955577,0.8726161,1.2906997,1.2025206,1.1258941,0.8064264,0.9530535,1.0292013,0.87783396,0.8906385,0.7490492,1.0635546,1.0937659,1.1531585,1.144213,0.9325618,1.0841753
spoon,0.8831941,1.0199852,0.7865477,1.2832098,0.93422955,0.9561152,0.7621955,1.0122204,1.199808,1.2399968,1.0500318,1.2611263,1.1692767,0.7213497,0.91653633,0.983937,1.1164412,0.95312965,0.8283933,1.1281686,0.8483683,1.0094326,0.9012799,0.8598507,0.7896969,0.73010397,1.1086522,1.1528608,0.88317674,1.2733079,1.2301148,0.78662723,1.068422,0.6749742,0.7702193,0.8722901,0.8131031,1.1798447,1.1402681,0.83333313,1.0521033,1.1624985,1.0973446,0.7072905,0.8822025,0.91037226,0.65311104,0.8266277,0.7939986,1.1054312,1.1309712,1.0377064,1.2850094,1.1892759,0.82960063,0.77726626,1.1084118,1.2550124,1.2491233,1.0252211,0.77303034,0.9237891,1.2011976,1.0240875,0.9695304,1.0691279,0.91631925,0.6768415,1.2496207,1.1266443,1.263448,1.2190068,1.2692335,0.96135044,0.96477807,0.77264476,0.82507044,0.9745645,0.8573932,1.1440762,0.86538625,1.1169404,0.7888582,1.2726654,1.1813614,0.6640399,0.6702599,1.3127944,0.8850662,0.889447,1.009924,1.1610781,0.8978329,0.955577,0.0,1.0382696,1.0883937,1.2437516,1.2094369,0.82151973,0.9943026,0.85949063,0.9829738,1.0071301,0.71231157,1.1439115,1.1611488,1.0731269,1.1010488,0.9570217,1.1498439
strawberry,1.1024553,0.82914436,0.92805046,0.9987463,0.7497242,1.0105846,1.0148331,0.9052018,1.0161655,1.1480703,0.92823184,0.9614858,1.1091063,1.0731817,1.1299458,1.2592791,1.0776794,0.8583406,1.0419835,1.0948942,0.9421198,1.1454747,0.73883444,0.9733453,1.0473866,0.82232755,1.0886128,1.0283698,1.0921365,1.0935842,1.0570105,0.8824511,1.1159549,0.8787283,0.72553885,1.1547818,1.1828187,0.9330676,1.0300494,0.9262755,1.1014832,1.124193,0.8424536,0.9145329,1.0009608,1.0424297,0.9968297,0.9811718,0.9261774,0.911239,1.1209568,0.94928885,1.0885446,0.9324267,0.89314306,1.0628881,0.9585665,1.1054482,1.077556,0.9335461,0.93141294,0.9590687,0.902058,1.0047317,0.91024584,0.7384423,1.0518663,0.7954644,0.9776806,1.0364369,1.1254903,1.0161667,0.83785164,1.0713785,1.0216576,0.79299694,1.0107276,1.0673139,1.009009,1.0797663,1.0676584,1.0194186,1.1803222,1.065535,1.0101349,1.059873,0.9837884,1.1058756,0.9680487,1.128468,0.9503374,1.0085938,0.9142933,0.8726161,1.0382696,0.0,1.1202006,1.1282268,1.1007752,1.001261,0.87054825,0.9993378,0.87704515,0.7405976,0.97426844,1.0705054,1.189111,1.0115355,0.96022135,1.0517081,0.9843666
stroller,1.3435827,1.2111906,1.2522695,0.9539637,1.1099567,1.2484468,1.1457543,0.91690284,0.93608433,0.6358944,1.0821823,0.80264837,0.813113,0.9825068,0.7664249,0.8752291,1.0685596,1.0584259,1.1555369,0.928974,1.2323852,0.9993662,0.9467299,1.0927448,0.9900019,1.3090578,1.0918422,0.48168033,1.0109833,0.76067626,0.72293633,1.4191744,0.5209022,1.1940893,1.1766187,0.88976127,0.7008628,0.87980866,0.9449706,1.0651428,1.0790194,1.0586102,1.2723875,1.3736541,1.0576218,0.9125406,1.1177964,0.9635606,1.1275972,0.8498913,0.9560988,1.0430363,1.0328693,1.0598328,1.0210899,0.99717814,1.1228317,0.864365,0.8661244,1.1233051,1.0498701,1.2064086,0.7949652,0.51923865,1.3667467,1.0816846,0.9811895,1.2894671,0.7753469,1.0717359,0.8426683,0.78443146,1.0291543,1.3751205,1.3137707,1.2689409,1.0161475,0.6404943,0.91054857,1.031875,0.9508268,0.89879125,0.9613056,0.7924448,1.0628331,1.0922759,1.0405322,0.9326745,0.82326746,1.0930233,1.030152,0.8671903,1.1186321,1.2906997,1.0883937,1.1202006,0.0,0.9334055,0.939567,1.1626381,1.2677162,1.1283557,1.1858225,1.1195599,1.0190423,0.9850571,0.9942094,0.7239631,0.6617109,1.1375786,0.8671513
sweater,1.2363541,1.2090085,1.2883425,0.68514276,1.2632369,1.2595162,1.1255114,1.3609195,0.71463734,0.54268926,1.0815469,0.66204,0.498012,1.1520293,1.0099207,1.095355,0.9917102,1.2359371,1.1170914,0.7393669,1.15564,1.2584038,1.2479749,1.3421869,1.1774064,1.2889476,0.71972096,0.79590636,1.2738295,0.8360729,0.5667681,1.3882524,0.7441205,1.4464587,1.190105,0.9793952,0.9323078,1.0373613,1.2239513,1.016726,1.1625466,0.6436121,1.035332,1.2775679,1.2130542,1.2766919,1.0814282,1.262783,1.286034,0.85204995,0.76370716,1.0013885,0.53073955,0.73725086,1.2345458,1.184899,0.9628776,0.2681917,0.54924166,1.2403629,1.2599528,1.4420695,0.68826056,0.9900734,1.244503,1.3285228,1.30808,1.2779278,0.86875975,0.974973,0.3919813,0.4951493,0.72156024,1.3359659,1.3238589,0.9991725,1.1712201,1.0919563,1.2927644,0.7116324,1.1282209,0.96647906,1.3638449,0.7341889,0.9792354,1.1621827,1.2471026,0.26131845,1.1460501,1.2722079,0.9653057,0.7720901,1.3224677,1.2025206,1.2437516,1.1282268,0.9334055,0.0,0.5503329,1.2970206,1.1009957,1.2384055,0.94009954,1.380398,1.2144247,0.71225137,0.8045448,1.1120919,1.1563835,1.3101802,0.84959316
table,1.2725044,1.4250553,1.3306563,0.8302353,1.1982905,1.3235819,1.2442268,1.3340864,0.50276345,0.5995978,1.2312423,0.75070035,0.72621095,1.21378,1.0213997,0.89187956,0.6994609,1.310149,0.5721459,0.1085372,1.2480639,1.164958,1.3020921,1.4096363,1.334125,1.3753059,0.7854563,0.9155801,1.1972445,0.6597712,0.66531736,1.3590829,0.64917177,1.3957188,1.2576287,0.98849344,0.90121186,1.1406509,1.1518352,0.911982,1.2450236,0.8602512,1.2524054,1.4362712,0.86285,1.277713,0.8532052,1.3354315,1.4751544,0.8121671,0.7332959,0.5722331,0.8658687,0.841058,1.4269025,1.2723272,0.8850591,0.6654554,0.7694796,1.2681754,1.2638799,1.4305276,0.8624759,0.9909381,1.4117094,1.3675437,1.1504636,1.3157399,0.90838146,0.94645184,0.70116144,0.74554074,0.3516388,1.3254268,1.3143005,1.1305718,1.2003164,1.2563684,1.2910244,0.12270045,1.1369814,0.89725494,1.4208599,0.60745144,1.019745,1.256048,0.8787526,0.6832231,1.2459717,1.265826,0.48115373,0.4898367,1.4900825,1.1258941,1.2094369,1.1007752,0.939567,0.5503329,0.0,1.030407,1.3592579,1.1307129,0.75198007,1.5278937,0.78612983,0.08611536,0.7953219,1.1112869,1.243247,1.4453264,0.95687073
tape,0.9338596,1.0245812,0.7852812,1.2223544,0.7063106,0.9033759,0.9921091,0.83168375,1.2411404,1.2700392,1.0765625,1.3511302,1.2070632,0.89216465,0.99884593,0.81066644,0.95848995,0.7398989,0.500161,0.8624784,1.0551226,0.9798062,0.7784368,0.89451814,1.0444436,0.84860015,1.2712568,1.3349887,0.6005271,1.1621251,1.3295602,0.753326,1.1510408,0.40165675,1.1158284,1.0546136,1.1021032,1.362212,1.0726243,0.74002635,0.8987383,1.1785727,1.117884,0.99140894,0.75626844,0.8378706,0.8449434,0.80397516,1.0484546,1.0167745,1.1899672,0.64790547,1.3545246,1.1854768,0.88050115,0.99948275,1.138169,1.344631,1.3522836,1.1039182,1.078715,0.7536588,1.1848171,1.1775798,0.8650907,1.0910777,0.6051937,0.6849513,1.2576177,1.1402988,1.2870207,1.3938513,1.1095619,0.9066946,0.94854045,1.0213213,0.9620636,1.0770262,0.84810287,0.90904665,0.97597706,1.0087643,0.77071524,1.1912763,1.1358551,0.99408036,0.5939003,1.3774474,0.9464519,0.8527634,0.9405468,0.84668124,0.91561705,0.8064264,0.82151973,1.001261,1.1626381,1.2970206,1.030407,0.0,1.0601314,0.7307471,1.0062343,1.0909814,0.55892617,0.88659364,1.179254,0.97379214,1.2014089,0.8696588,1.2643586
toe,0.9474753,0.5645523,0.8080236,0.941694,0.92500275,0.83454204,0.5942741,1.0456438,1.3703952,1.3596859,0.73531353,1.2302967,0.941167,0.92541605,1.1275151,1.231246,1.210413,0.92108774,1.2250508,1.3885562,0.74121773,1.0715292,0.9677658,0.9342949,0.9995883,0.6570754,1.148348,1.2869658,1.0441331,1.2684293,1.2191153,0.760298,1.4066136,0.8426337,0.75197566,1.178116,1.2423503,1.0315286,1.1008234,1.0622437,0.76388574,0.8185565,0.22672367,0.5291842,1.2480972,1.1101865,1.0280373,0.9268622,0.75809455,0.9957461,1.2300332,1.1279905,0.8509114,0.545315,0.6824233,0.9728761,1.0872406,1.1048759,1.0735021,0.9820045,0.893693,0.93965846,0.92772555,1.2402732,0.37857068,0.8652985,1.1083027,0.75928855,1.2395388,1.091814,1.0217626,1.048256,1.2848845,0.80616105,0.88073516,0.8169154,1.0790557,1.1301608,1.0946639,1.2997899,1.0662236,1.1722208,0.9670663,1.3136063,1.0729845,0.8491701,1.1101067,0.93589634,0.90216815,0.9315457,1.3664091,1.2692937,0.6250269,0.9530535,0.9943026,0.87054825,1.2677162,1.1009957,1.3592579,1.0601314,0.0,0.7913673,0.9654983,0.72540563,1.1315668,1.3434324,1.2238437,1.1125282,1.037326,0.54029334,1.1610243
tooth,0.9629375,0.786548,1.0058388,1.0700579,0.87876284,1.0652303,0.7574222,1.1055262,1.2029215,1.268832,0.85113,1.2725672,1.1883004,0.91048574,1.0038655,0.9227718,1.0548027,0.97452366,0.9276811,1.0434484,1.0305463,0.8525952,1.045158,1.1140372,0.8809131,0.89591163,1.1798345,1.2962449,0.7634393,1.1997864,1.2872181,0.8336018,1.2361835,0.826557,0.97053576,1.1006868,1.0246953,1.1929703,1.0440093,0.96707076,0.6443188,1.0442344,0.81574696,0.87121505,0.9665783,0.8809585,0.8289776,0.86979043,0.9121947,0.88983107,1.178722,0.7361479,1.1363958,0.9035386,1.010933,1.0208913,1.0023988,1.2169493,1.1942858,0.984971,1.0323532,0.79621387,1.134496,1.0154723,0.8840532,0.9770312,0.85129744,0.9488905,1.3131163,1.0790694,1.2097814,1.211695,1.0811489,0.7876965,0.82716715,0.9693464,1.02866,1.0621828,1.0393983,1.010354,1.0649987,1.1629815,0.7888448,1.2626784,1.1061375,0.9476199,0.70513976,1.2436416,0.8463785,1.0524905,1.033178,1.0607989,0.8551198,1.0292013,0.85949063,0.9993378,1.1283557,1.2384055,1.1307129,0.7307471,0.7913673,0.0,0.8689656,0.98510736,0.79095024,1.0031835,1.1538303,1.1118237,1.0708143,0.68810725,1.1670706
toothbrush,0.9544454,1.0382944,1.1486804,0.74966896,1.0875965,1.1601266,1.0178626,1.2029121,0.7879058,1.0784969,0.91825455,1.0122616,1.0406042,1.1635169,1.0880992,0.9600939,0.94863373,1.1258631,0.8266378,0.72214293,1.0622271,0.82538015,1.0793904,1.1717744,1.1248958,0.9984925,1.0817447,1.0806475,1.1889342,1.0390401,1.0713096,0.59074074,0.92026657,1.1168534,1.0905218,1.2151613,0.90474623,1.0464072,0.9049727,0.93871856,1.0320588,1.0675927,0.7573575,1.073264,1.1128693,1.2241666,0.85541034,1.101245,1.1711485,0.8196993,1.1933404,0.66187716,1.0065776,0.6778141,1.1778142,1.2049141,0.7025393,0.96090174,0.94971853,1.0269221,0.9330794,1.0379657,0.88822055,1.0101914,1.012611,0.87396246,1.1386821,1.0918462,1.1685967,1.1426177,1.0226817,0.8795545,0.70228595,0.77372736,0.6372713,0.8523784,1.1802903,1.2402033,1.3501652,0.7057611,1.1646411,0.9444545,1.2286358,1.0673138,1.1955009,1.1039858,0.71732616,0.96013075,1.0395405,1.2157449,0.6883138,0.89123106,1.1281676,0.87783396,0.9829738,0.87704515,1.1858225,0.94009954,0.75198007,1.0062343,0.9654983,0.8689656,0.0,0.9975605,0.7487111,0.67601216,1.227057,1.2389249,0.9664187,1.0475638,1.1106844
towel,0.91288275,0.6196665,0.78803146,1.0757731,1.0101564,0.7234912,0.8584142,0.5822607,1.2407382,1.3395823,0.70638835,1.1840001,1.3042556,1.0718114,0.961144,1.1578218,1.1164727,0.7114283,1.1699464,1.4529008,0.7874947,0.8395644,0.60559875,0.5395577,0.81847966,0.7210584,1.3027489,0.9277841,0.92711914,1.1863897,1.2757293,0.6399817,1.2076163,0.63305146,0.7902037,1.1719242,1.1937466,0.62462336,0.6916033,1.2077255,0.93866855,1.2308404,0.71652496,0.756317,1.0460466,0.906748,1.3113877,0.67221415,0.63614976,1.125806,1.3223922,1.3196594,1.2050009,1.1338568,0.68791914,1.0416309,1.0192125,1.2942011,1.1544391,0.792845,0.61403936,0.5419715,1.180481,1.1202302,0.6596332,0.10613942,0.9102519,0.9024469,0.8798402,1.0842152,1.3276101,1.1472087,1.1492909,0.6066751,0.60693455,0.97745425,1.0932386,0.7848715,0.8992758,1.456282,1.1672704,0.9384543,0.79070884,1.1530383,1.0215766,1.0744815,1.1559353,1.2694395,0.8632492,0.76581395,1.106628,1.3225245,0.61159927,0.8906385,1.0071301,0.7405976,1.1195599,1.380398,1.5278937,1.0909814,0.72540563,0.98510736,0.9975605,0.0,1.2506124,1.448096,1.2777044,0.96787435,0.65687877,0.6436692,0.9810886
toy,0.9288173,1.2491071,0.9616703,1.23375,0.74237496,1.1131663,0.9511366,0.99049807,1.1626142,1.2275751,1.1349447,1.3607705,1.1215314,0.88087314,0.9640253,0.73631865,0.74972475,0.8951398,0.4773177,0.5478239,1.0896937,0.97395134,0.96733797,1.0286583,1.1276894,0.91103864,1.3239163,1.284133,0.9105148,1.0589391,1.3287528,0.7739381,0.86951494,0.80070126,1.077388,1.0146083,0.7959408,1.4276145,1.1170946,0.66530275,1.118476,1.2083762,1.1991464,0.93415165,0.63241786,0.9122037,0.28073812,1.014894,1.1872323,0.6590725,1.2478064,0.28342593,1.3230002,1.0084865,1.0825853,0.9446774,1.2066039,1.2507908,1.3181981,1.2270671,1.0571288,1.1114583,1.0164859,1.0911769,1.103662,1.1511313,0.6454454,0.82096916,1.3056604,1.2445092,1.3228405,1.3468317,0.8880483,1.098637,1.0249153,0.9253174,0.9647081,1.0950913,0.9554521,0.6110204,0.88004553,0.92747015,0.9187912,1.1046436,1.3058217,0.8014405,0.2398951,1.3816955,0.80658895,1.0157433,0.90097,0.8998695,1.050593,0.7490492,0.71231157,0.97426844,1.0190423,1.2144247,0.78612983,0.55892617,1.1315668,0.79095024,0.7487111,1.2506124,0.0,0.6194393,1.2082399,1.040297,1.1246822,1.0662677,1.3169469
