,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,deer,dog,doll,door,drawer,dress,egg,elephant,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hand,hat,horse,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,motorcycle,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pig,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,raisin,refrigerator,rock,rooster,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tricycle,truck,vacuum,watch,window
comb,1.0255828,1.3171707,1.2532017,0.8002026,0.99032164,1.0769587,0.9857276,0.7669666,0.8035724,0.71809137,1.2257226,0.74406475,0.68650395,1.2518597,0.7091786,1.1540217,0.9620116,1.2419808,1.1464543,0.88809186,1.0086839,1.0974333,1.1070772,1.2284071,1.3161143,1.2004377,0.95892036,0.7260327,0.9189035,0.8569637,1.2273855,0.9186232,1.209396,0.0,1.0475962,0.8996034,0.8086542,0.85917455,1.2540591,0.691066,1.2740207,1.1025903,0.8113375,0.88923705,0.90956,1.1334836,1.023212,1.2229977,0.8068576,0.7294188,1.2542931,1.1326123,1.0630057,1.2050385,0.8954476,1.1346141,0.6185586,1.3121045,1.0442008,1.009073,0.7799642,0.8226081,0.8584918,1.226639,1.1420166,1.0425103,1.0132719,0.8887602,1.0801866,0.9914475,1.289928,1.2883313,0.90270996,1.0355861,1.0710273,0.69249624,0.9421888,0.8595655,1.1849773,1.2811322,1.268568,1.2427723,1.100061,1.0520207,1.0859343,0.75661755,1.0136986,0.78749096,1.2322915,1.217061,1.0820673,1.0330346,1.0723754,1.2240007,0.9547815,1.0846796,1.0472176,1.0552202,1.2857982,1.1968153,0.8453021,1.2751465,1.2020884,0.8704451,0.75507337,1.1087953,0.9878212,0.94643784,0.91356814,0.8658278,1.1832778,1.0319268,1.3140551,0.9238334,1.0625052,0.64668274,1.3377924,0.69570136,1.2514122,0.9202046,1.1625223,0.7351396,1.135219,1.0405943,0.9073542,0.6741914,1.1954399,1.278282,0.862959,0.7389166,1.1857061,1.0546888,0.8240674,0.8993636,0.6742608,1.0402465,1.3301284,0.84240276
cookie,0.99569196,0.9514623,0.97371566,1.174818,0.8948245,0.8980964,0.72231805,1.0025412,1.1274527,1.2513773,1.0463576,1.2445183,1.0791975,1.0354811,1.2013721,1.1192946,0.9832194,1.0132207,0.8745941,1.0609294,0.60484195,1.0969002,0.9413521,1.0923736,1.1075858,1.0177253,1.0356079,1.0949064,1.2259107,0.6172276,0.7980797,1.1810815,0.77569294,1.0475962,0.0,0.80867946,1.2452031,0.7065825,1.0863545,1.1949648,0.9842535,0.72923356,0.9993512,1.1146096,1.1071815,0.9779704,1.2538886,0.93245447,1.1163578,1.0617456,1.1136634,0.9494183,0.940032,1.1714048,1.0520755,0.85109544,1.0780848,1.0696213,1.1175754,0.939567,0.7794119,1.0887296,1.0853263,1.0606991,0.96286136,1.1675141,0.91098696,1.281282,1.0276659,0.9372446,0.9348556,1.0498247,0.68533987,0.9172544,0.66131353,1.0844096,1.0918627,1.0422515,1.0508485,1.1056167,1.1246257,1.0126268,0.65911144,1.1824334,1.0129299,1.2446469,1.2896138,1.011163,1.0801972,1.0667661,1.011209,0.84530604,0.9799488,0.98962575,0.6760671,0.9593607,0.60784024,0.9726868,0.8317288,1.0752133,1.122344,1.0201467,0.9421174,1.1266779,1.1043575,1.1148614,0.57982767,1.093596,1.0180285,1.2417955,1.0579349,1.21987,1.1321726,1.0711383,1.0924641,1.1863775,1.0725762,1.1037116,0.9230489,1.0938016,1.0415459,1.0424019,0.85721004,1.1165639,1.1580809,1.1321462,0.75754464,1.1050583,1.0792747,1.1390254,1.0436534,0.93155867,0.7890523,1.0044822,1.1135882,1.1254355,1.1258143,1.1442544
corn,0.9356147,0.93182075,0.7976142,1.176238,0.93836564,0.7485181,0.38571757,0.8954,1.2323592,1.3293601,0.94410545,1.2094288,1.078841,0.92998594,1.1731734,0.972997,1.0003282,0.8915415,0.8673176,1.1488563,0.9280835,1.0178227,0.9562584,0.90625435,1.0191413,0.9680332,0.59374565,1.1964853,1.2569265,0.94483817,0.92705715,1.2299256,0.72876525,0.8996034,0.80867946,0.0,1.314898,0.7049266,0.78492,1.2387557,0.94637007,0.97007203,1.1927938,1.1738296,1.2282723,0.96097785,1.137619,0.8551256,1.1491245,1.0995599,0.93797916,0.8716152,0.9050022,1.0935214,0.9449048,0.78122723,1.1423738,0.99737245,1.0963761,1.0689646,0.6768707,1.1974841,1.0610188,1.1109891,0.98988336,1.1120698,0.9680825,1.2476411,0.86809665,1.0419363,0.9278939,0.88250965,1.1216247,0.51494616,0.83920616,0.99104255,1.1146173,1.1326624,1.0024161,0.95973504,0.9868834,1.0666821,0.7214658,1.2526228,0.88764566,1.1822739,1.224342,1.0989455,0.88867074,0.8320824,1.0330102,0.15090728,1.0297612,1.0941349,1.1094104,1.0389024,1.0550137,1.052438,1.0345016,1.1661981,1.1087015,0.98927754,1.002033,1.2369608,1.0826383,1.1015958,0.886096,1.0304691,0.83568954,1.300288,0.9930609,1.2470577,0.9594557,1.1521229,1.1691688,1.038209,0.9703799,1.128258,0.850742,1.0906957,0.9933319,1.1080871,0.7800288,1.1514888,1.2350541,1.179615,0.6853691,1.0229181,0.865996,0.82697994,0.9524542,0.72905135,1.0797081,1.0319546,1.1311617,1.0805992,0.9826246,1.2164823
couch,1.1745079,1.3798678,1.4755778,0.58917826,1.1622022,1.3432126,1.3376752,0.6736368,0.55642176,0.17465174,1.3111231,0.30502737,0.60414696,1.3997084,0.2825718,1.0999665,0.9161266,1.3929431,1.31886,0.6058508,1.1364994,0.965459,1.1163071,1.317668,1.2440654,1.2952527,1.2096001,0.60796356,0.40947288,1.0498481,1.3676791,0.6517234,1.2815596,0.8086542,1.2452031,1.314898,0.0,1.1134404,1.4725384,0.4203571,1.3791206,1.2509246,0.68032265,1.0187268,0.672088,1.0921493,0.72991604,1.3666701,0.5983362,0.81218714,1.3152843,1.336967,1.2889457,1.1564407,1.0407606,1.3971835,0.82276016,1.4262571,0.9904065,0.98738617,1.3117286,0.80354136,0.93067884,1.1489147,1.2574391,0.9445942,1.0014468,0.3930446,1.0371563,0.9564176,1.3892121,1.3475542,0.95935607,1.2441539,1.2179687,0.7622516,0.8000108,0.79405606,1.3434644,1.1739248,1.2263138,1.2213488,1.3731205,0.6695583,1.2388458,0.40075994,0.5846571,0.6824285,1.4089948,1.4373295,1.1657069,1.4096274,1.072321,0.851925,0.98585784,1.1144077,1.1152949,1.161665,1.260284,1.1182057,0.5082113,1.2832046,1.2308851,0.62531245,0.63158566,1.1222048,1.1968093,0.7754098,1.188185,0.51614195,1.1503472,0.55979943,1.3677244,0.74061847,0.9303597,0.5013921,1.4187073,0.52964365,1.3704016,0.80172956,1.2656159,0.84146786,1.3687814,0.73245037,0.47079158,0.460384,1.4120982,1.3306892,1.061169,1.0379347,1.0362927,1.3658563,0.84143543,0.92488366,0.7814616,0.83642805,1.381988,0.6897983
cracker,0.9141144,1.074344,1.2110591,0.8599827,1.1600173,1.2455721,0.6532474,0.9335783,1.0182681,1.0363253,1.2637166,1.0339742,0.7866292,1.1514312,0.9233244,0.9737754,1.057445,1.2545758,1.2861089,1.085825,0.568722,1.1331707,1.2522995,1.0372763,1.2334867,1.1405168,0.887005,0.9380973,1.1420791,0.6020484,1.1208088,1.0009807,0.94239324,0.85917455,0.7065825,0.7049266,1.1134404,0.0,1.174141,1.0901268,1.3314731,0.9181174,1.0209552,1.0002418,1.033829,1.0110321,0.8736344,1.0824466,1.1425215,0.91264725,0.897981,0.96798545,1.0881023,0.81142354,0.98559266,0.88882715,0.9766682,1.2154664,1.028134,1.0670536,0.6128527,0.9245406,0.7217221,1.1634222,1.1145818,0.921242,1.0344857,0.9269742,0.78743434,1.1189636,1.2676108,1.1236784,0.7236568,0.90461624,1.0163891,0.7271162,1.1485349,0.9535986,1.1863823,1.1101758,0.891906,1.144465,0.96666443,1.188808,0.96539944,0.87092453,0.94677293,0.994558,1.2046763,1.1675506,1.0432067,0.7625661,0.9756508,1.1740533,0.90472305,1.1946955,0.9858275,1.0818338,0.90696895,0.8948555,1.016789,1.2501726,0.8699717,1.153116,1.0250126,0.9027725,0.9944112,0.9717429,1.0674603,0.91330755,1.0241972,1.0186069,1.2138162,0.99091214,1.1611857,0.9598767,1.2051992,0.89647543,1.1194146,0.8854047,1.252549,0.9760738,1.1757746,1.1888483,1.0150719,1.0272036,1.0352161,0.91417867,0.7334491,0.83420914,1.0271391,1.071539,0.910635,1.0347027,1.0222548,1.2024852,1.1815579,1.1773689
crayon,0.8326221,0.59735686,0.32683188,1.4650036,0.8673409,0.60969037,0.89812505,1.2706825,1.464603,1.5971334,0.1932137,1.3949486,1.5346062,0.4267506,1.5348512,0.8982538,1.0369658,0.2304461,0.59255826,1.3110523,1.0847232,0.8152709,0.92416775,0.6967702,0.34314454,0.5947042,0.83695126,1.3906436,1.3019105,1.3313178,0.7099057,1.3204451,1.017716,1.2540591,1.0863545,0.78492,1.4725384,1.174141,0.0,1.5060803,0.29025728,1.0065719,1.3920138,1.1885319,1.2656524,0.8972056,1.2565022,0.6876423,1.349867,1.2675215,0.63740504,0.60202,0.7634407,0.81847984,0.98743623,0.77331764,1.3240087,0.21224838,1.0462812,0.99869025,0.89085966,1.2351199,1.3267083,0.7334137,0.88813984,1.1805376,1.2026381,1.45361,0.9129052,1.0767946,0.35650223,0.30431056,1.3620287,0.59909785,1.0527321,1.5100564,1.2571611,1.3640629,0.21538925,0.51679057,0.7518865,0.6982004,0.8538238,1.1870778,0.8701317,1.5307845,1.315171,1.3440046,0.07822591,0.13418508,0.79979277,0.6720141,1.1188607,0.78278357,1.2273471,0.8291285,1.0509202,1.0168844,0.94504106,1.170033,1.3717066,0.48364794,0.9004479,1.3089106,1.1850317,1.0452857,1.133919,1.2806044,0.9403842,1.4816236,0.8616725,1.3111078,0.49805373,1.3328557,0.8179729,1.3578427,0.15089911,1.3894212,0.40664995,1.223482,0.80409133,1.4135969,0.74996066,1.263953,1.3951249,1.4585408,0.5646424,0.5578648,1.0326912,0.9551185,0.795771,0.6133351,1.3836643,1.240756,1.0718116,0.97433937,0.25095713,1.2149792
crib,1.1110865,1.4340835,1.5724925,0.6690866,1.270814,1.3523259,1.2559408,0.4489308,0.41840804,0.29358113,1.3666228,0.37106496,0.59811324,1.3902836,0.54076564,0.9923773,0.7543394,1.3639892,1.1674474,0.33522516,1.2150453,0.9452288,0.90576786,1.3431337,1.1870961,1.2182016,1.2198611,0.7504725,0.3501538,0.94040126,1.1342026,0.6220966,1.2399524,0.691066,1.1949648,1.2387557,0.4203571,1.0901268,1.5060803,0.0,1.3014398,1.1567575,0.76338935,1.0327535,0.5235292,0.8334773,0.9077329,1.5293503,0.7748001,0.91316557,1.4677362,1.3548465,1.1848536,1.3677268,0.9467419,1.3303533,0.74678916,1.4675136,1.1644878,0.9695835,1.1284099,0.9737152,0.9531808,1.3320336,1.1960238,0.92720646,0.89289314,0.676311,1.0626842,0.50721556,1.2844596,1.35226,0.92322093,1.2824079,1.0924395,0.7919888,0.66812605,0.75915444,1.4580292,1.2045326,1.3423069,1.3840488,1.3338606,0.5324562,1.1804217,0.60777247,0.848536,0.6919012,1.4570729,1.4694163,1.2224041,1.3883574,1.0409536,1.0605199,0.9169894,1.0879653,1.0533159,1.1286949,1.3789308,1.187911,0.52234423,1.1560992,1.3590326,0.4122914,0.75726044,1.1858753,1.0436985,0.8817594,1.0145298,0.7257567,1.1405146,0.79449534,1.3956807,0.6368854,0.7746579,0.55841804,1.5299125,0.70408225,1.3899444,0.9613061,1.2446499,0.7703709,1.3199089,0.69102323,0.7321164,0.4701779,1.3190246,1.5134301,1.0115234,0.92209613,1.0710851,1.1972847,0.6656547,0.7731142,0.8653113,0.6789333,1.4773526,0.6457176
cup,1.0148351,0.68394256,0.40991557,1.5069568,0.7844635,0.58373606,0.9727571,1.1030171,1.3366797,1.5194377,0.3328663,1.3140091,1.5580107,0.5012909,1.5442932,0.82759476,1.0464772,0.08659536,0.37456435,1.0718199,1.1414576,0.7858472,0.4549024,0.9321573,0.24552417,0.669999,1.052498,1.351473,1.0653536,1.219087,0.574124,1.2687156,0.9491697,1.2740207,0.9842535,0.94637007,1.3791206,1.3314731,0.29025728,1.3014398,0.0,1.0127985,1.2596256,1.1139479,1.1191223,0.9728401,1.3783926,0.80042577,1.301067,1.2720022,0.9287428,0.7956418,0.6512624,1.067782,1.0812701,0.91573614,1.1134688,0.37315798,0.9520092,1.0474254,0.9978432,1.2733142,1.4401908,0.7583468,0.907183,1.186197,0.84022784,1.5019193,1.1109487,0.82680714,0.22676861,0.39719486,1.32342,0.7885027,0.75816596,1.4959421,1.172245,1.3455324,0.3540088,0.4548334,0.959139,0.75415814,0.76156056,0.9555736,0.9782094,1.5725366,1.3661374,1.3628864,0.33680952,0.44655776,0.9883361,0.8526829,1.1257383,0.6334463,1.185267,0.61781836,0.9832004,0.9947547,0.98134685,1.1420876,1.218098,0.36492157,1.0316875,1.0516007,1.2127646,1.2208501,0.8391364,1.3199992,1.0686249,1.4839172,0.83780587,1.2641289,0.52831614,1.2309273,0.72655123,1.3936846,0.32701057,1.4651804,0.40187216,1.2695749,0.74978065,1.348023,0.73626447,1.0555849,1.4420972,1.4503084,0.5478003,0.8017654,1.2467885,1.1842421,0.72783625,0.62996244,1.2851925,1.2375985,1.097865,0.8510455,0.46533215,1.0871947
deer,0.6497716,1.0113387,0.9044987,1.2822449,1.0353401,0.9469309,0.82415116,1.0850732,1.2336264,1.2989687,1.0373496,1.2842306,1.1951737,0.72301793,1.2954297,1.0173107,0.8608184,1.0027505,1.0326393,1.0243561,0.85858077,1.018271,0.95809114,0.7478888,1.060004,0.73441374,0.95926225,1.1144538,1.1459239,0.77551687,0.84074056,1.286049,0.788959,1.1025903,0.72923356,0.97007203,1.2509246,0.9181174,1.0065719,1.1567575,1.0127985,0.0,0.98679876,0.94799066,1.1450859,0.8943044,1.2645707,0.9205221,1.2059073,1.1127613,1.1586746,0.633507,0.7993935,1.144978,0.93169844,0.4413032,1.1846596,0.99118656,1.0258056,1.0222889,0.96311563,1.1579922,1.2288873,1.0792453,0.35249686,1.1680979,1.0785689,1.3760579,1.0382339,1.0343094,0.95558655,1.0275247,0.9368895,1.0350637,0.843895,1.255762,1.0497787,0.9764491,1.0882413,1.072688,1.1293576,1.0423874,0.7948824,1.1850142,0.65106213,1.3512232,1.3284595,1.0318046,0.98211163,0.9580243,1.0955498,0.94787633,0.5484649,0.9444267,0.94934666,0.88515794,0.9214127,0.45375782,0.8384251,0.99983275,1.1029465,0.8945256,0.97975606,1.1769912,1.176961,0.601468,0.8305172,1.2065123,0.8677759,1.2779919,1.0087892,1.300882,1.0056574,1.1967819,1.1344236,1.2674984,0.9674612,1.2298694,1.0243279,1.2329767,0.97589386,1.1334804,0.7989242,0.96879756,1.2001067,1.1540867,0.91881394,1.118106,1.0996517,1.2186666,1.0487809,0.80973655,1.004763,1.0073225,1.049953,1.059162,1.1047896,1.1390043
dog,0.8598589,1.2738512,1.3191984,0.77417004,1.0607593,1.2352543,1.1053711,0.8960864,0.79189,0.69274354,1.2741463,0.80393493,0.8205867,1.1741272,0.7542228,1.1817733,1.0621581,1.2512093,1.245728,0.90688854,0.9315498,1.0416867,1.1007152,1.2145703,1.3052049,1.1788505,1.2026143,0.18694592,0.82039803,0.7305329,1.1616054,0.91889954,1.1968791,0.8113375,0.9993512,1.1927938,0.68032265,1.0209552,1.3920138,0.76338935,1.2596256,0.98679876,0.0,0.7363946,0.82735586,1.1297886,1.0515045,1.2580539,0.76537055,0.81034434,1.3175352,1.0798023,1.0155938,1.207643,1.104448,1.034845,0.8570881,1.3150841,0.88031507,1.1047608,1.2018234,0.8507699,0.9626154,1.1543076,1.045231,1.0328892,0.94955593,0.8532116,1.2119956,0.97002256,1.246455,1.276135,0.8795828,1.255691,1.0469519,0.8437016,0.91161,0.6878774,1.2587227,1.2453752,1.2763795,1.0575328,1.1912109,0.9432001,1.023238,0.7906131,0.9656563,0.8894021,1.3190157,1.359366,1.138443,1.2746785,0.90685284,1.0302672,0.8954524,0.9414745,0.9929393,0.76668406,1.1197349,0.97625035,0.8489304,1.1960415,1.1460656,0.82788825,0.7862861,0.8798845,1.0303041,0.9363847,1.0343986,0.8193754,1.0866317,0.9396215,1.3161886,0.8921132,1.0835882,0.75129783,1.3430471,0.74482596,1.2084386,0.87911385,1.1507957,0.73468727,1.1722047,0.9051309,0.8196615,0.7876151,1.2797968,1.2590903,1.0067837,1.0524051,1.1172544,1.1440151,0.8610966,0.82886857,1.0105959,0.95839185,1.3714757,0.8483457
doll,1.0743022,1.1115437,1.0277084,0.95900816,0.8739159,1.0943426,1.0219952,0.9633145,1.1707424,0.9505741,1.2240944,1.1881901,0.8354783,1.1022449,1.0026603,1.0538082,1.0226138,1.0400054,1.0906473,1.0329127,1.0960413,1.0908451,1.0299087,1.0297211,1.1908394,1.051681,1.1072886,0.88038385,1.0372354,0.7504963,1.0618091,1.0870082,1.0362242,0.88923705,1.1146096,1.1738296,1.0187268,1.0002418,1.1885319,1.0327535,1.1139479,0.94799066,0.7363946,0.0,1.0689065,1.1318746,1.1209242,0.9065053,1.0365267,0.8267022,1.0943457,1.1400107,0.74486196,1.0128736,1.0668834,0.8012768,0.90138113,1.0931302,0.77566713,1.2245306,0.92063236,0.8424092,0.9186629,0.90991855,0.99908376,0.9584177,0.9742152,1.0786841,1.2867347,1.0785455,1.1789265,1.1187726,1.0013245,1.1936557,1.0840782,0.81146413,0.86125076,0.77508545,1.06426,1.1178261,1.1300472,0.92789006,1.0890402,1.1508384,0.8163214,0.9118061,1.0938269,1.0288175,1.2083617,1.2300767,1.0409101,1.2018354,0.9160045,1.0083716,0.9789736,0.86057585,1.0531375,0.8953027,0.7691223,0.6544508,0.90410984,0.99445,0.9465839,1.0663418,1.0756716,0.8481482,1.026511,0.9881811,0.92699933,0.9512143,0.99377817,1.0919392,0.9477556,1.0580666,1.3451943,1.0946304,1.131862,0.9743605,1.0280974,1.0296731,0.7976907,0.9141668,1.0315284,0.80315983,0.9537796,0.996327,1.235667,0.9979118,0.9979431,0.98167753,1.0293806,0.7000266,0.95800567,0.82174075,0.9566436,1.1456851,1.138912,1.0558375
door,1.0669088,1.1359408,1.3672191,0.8867577,1.2873821,1.2616876,1.2963561,0.82415384,0.5437054,0.6456382,1.1716365,0.5782811,0.9985332,1.1607304,0.88633865,1.0419663,1.1196706,1.1262372,1.2459893,0.74974424,1.0049791,0.5368531,1.0823303,1.2434382,0.91804504,1.1515813,1.2611306,0.79860175,0.4722687,1.0551646,1.0285262,0.5277711,1.2706139,0.90956,1.1071815,1.2282723,0.672088,1.033829,1.2656524,0.5235292,1.1191223,1.1450859,0.82735586,1.0689065,0.0,0.8923365,0.9041668,1.4006709,0.800163,0.9359196,1.1828678,1.2562177,1.1165822,1.2459251,1.0711633,1.3315654,0.819847,1.1795176,1.1613992,0.82600075,1.3022128,0.8655017,1.0022899,1.1743622,1.2255728,0.90335417,0.91197693,0.8133416,0.9823765,0.6600157,0.9641898,1.0147547,1.0048504,1.2563064,1.080361,1.0066035,0.8650404,0.9940807,1.1815718,0.98706067,1.108518,1.1318728,1.307395,0.42644036,1.2172806,0.8767599,0.77712286,1.0083048,1.2326554,1.2263308,1.0951821,1.3124619,1.1438465,1.0281484,1.037115,0.9538999,1.1471138,1.1962711,1.2229202,1.133886,0.89491606,1.0941039,1.2304546,0.2806371,0.81974435,1.1736021,1.099775,0.97363144,1.138513,0.7739377,1.1762891,0.7788282,1.0807028,0.44434047,0.8059108,0.87294847,1.2753153,0.9125311,1.1720805,1.0572644,1.0687025,0.86695623,1.2659825,0.79675263,0.9433686,0.89402264,1.2881224,1.1941608,1.1400658,1.0406449,0.9612655,1.3347015,1.010922,0.9502268,0.81304413,0.51911044,1.2456074,0.41178083
drawer,0.7328181,1.0137994,1.1059742,1.1697719,1.2111769,1.0141696,1.0376054,0.76756895,0.93835443,1.0910966,0.96792704,0.91067576,1.1548687,0.88521075,1.1612396,0.84085643,0.754115,1.0712832,0.89269024,0.69389474,1.133958,0.9732238,0.87142336,0.87556535,0.8494685,0.78345716,1.031524,1.2352433,0.90178686,1.0195701,0.72350436,1.0632435,0.9410129,1.1334836,0.9779704,0.96097785,1.0921493,1.0110321,0.8972056,0.8334773,0.9728401,0.8943044,1.1297886,1.1318746,0.8923365,0.0,1.1943737,1.0754327,1.2889023,1.2310402,1.0210474,0.72791344,0.9654631,1.0459611,0.75484824,0.80313516,1.1075306,1.0089133,0.9542536,0.99853575,0.87764764,1.2059937,1.0860484,1.1120231,0.9810219,1.1059309,0.936054,1.1778691,0.75633466,0.70880866,0.8698068,1.0450194,1.0908622,1.025837,1.0511578,1.1674721,0.9543761,1.0776653,1.1422992,0.8812628,0.9904778,1.147385,0.980106,0.8381228,0.9539849,1.1850531,1.1242392,1.0224856,0.8775968,0.7846558,0.9579015,0.99136925,0.941904,0.88254225,1.1179829,0.99922794,1.059992,1.0026025,1.0113049,1.0144123,0.9371933,0.8189585,1.0991684,0.89703274,1.1664841,0.92484677,0.9417146,1.2218556,0.73819995,1.2171946,0.9430013,1.1188893,1.0184028,1.0825466,0.7869501,1.0845605,0.95660317,1.156594,1.0858469,1.0609692,0.918736,0.9564751,1.0278677,1.0003542,1.1510091,1.0621397,0.8299149,1.0690138,0.94202435,0.8674819,0.808012,0.9000317,0.98239183,0.9290778,1.0549918,0.77147037,1.0165557,1.0197718
dress,1.097927,1.0754554,1.2964282,0.51043165,1.215327,1.3034066,1.2563694,1.1246552,0.80587655,0.6791204,1.1704212,0.675925,0.73340833,1.2540932,0.5634892,1.0318763,1.1794866,1.318403,1.3653568,1.1059211,0.9803221,1.060248,1.3033953,1.0386286,1.1259121,1.2520683,1.062361,0.80249447,0.8474773,1.257453,1.3324945,0.6889622,1.1361108,1.023212,1.2538886,1.137619,0.72991604,0.8736344,1.2565022,0.9077329,1.3783926,1.2645707,1.0515045,1.1209242,0.9041668,1.1943737,0.0,1.1333438,0.711865,0.9448928,0.87772256,1.2668095,1.4340189,0.71364963,1.071037,1.3470337,0.96796,1.2096595,1.0346777,0.95755166,1.2534839,0.83946586,0.74128485,1.0401529,1.1832973,0.7052436,1.2113359,0.26711023,0.8845998,1.2353805,1.3530627,1.0871928,1.0150603,1.1180277,1.3021028,0.77569366,0.9275265,0.906357,1.2133074,1.0212739,0.7675745,1.0719116,1.3539672,0.84107375,1.1532189,0.4805169,0.26043326,0.9196943,1.210731,1.1850154,1.0279056,1.1530383,1.1058532,1.1414298,1.0739266,1.3489879,1.1837204,1.1632808,1.1259099,0.9900408,0.8704556,1.3330423,1.0205219,0.97036594,0.84849334,0.933303,1.3477921,0.53977305,1.2092273,0.29669273,1.0643896,0.35292542,1.0186622,0.79406583,1.0204123,0.79363763,1.2038407,0.7466442,1.2667593,0.7704701,1.1855729,1.0085348,1.3114958,0.9773847,0.5278656,0.8365133,1.335134,0.99129456,0.85669047,0.89538425,1.0598575,1.4444815,1.1222872,0.97340137,0.7593672,1.0445256,1.0290216,0.967034
egg,1.1473204,0.72867465,0.25416362,1.3116778,0.38957322,0.41901863,0.75517297,1.3982774,1.4307759,1.4265127,0.815053,1.4608154,1.3393056,0.94695497,1.3757986,0.9413928,1.1729671,0.76389,0.7322725,1.3471756,0.9183305,1.1988404,1.055127,0.7766507,0.9171382,0.8573697,0.58572984,1.3009595,1.4392273,1.1752592,1.0167204,1.3222669,0.6131442,1.2229977,0.93245447,0.8551256,1.3666701,1.0824466,0.6876423,1.5293503,0.80042577,0.9205221,1.2580539,0.9065053,1.4006709,1.0754327,1.1333438,0.0,1.2094907,0.95597994,0.6048893,0.81293714,0.94255984,0.66387105,1.1258949,0.76719046,1.2816921,0.742343,0.9302975,1.0541811,0.8018334,1.0212275,1.1190153,0.69885737,0.8448043,1.2027857,1.1237499,1.2827516,1.0915428,1.2653303,0.8870221,0.83260286,1.1466385,0.7212163,0.95128536,1.1612211,1.1613164,1.0592449,0.63714176,1.0103943,0.77539617,0.637411,0.3997259,1.3810651,0.7009238,1.385365,1.1686811,1.2715056,0.7619235,0.7845113,0.8613253,0.6387011,1.0064392,1.0917298,1.132831,1.0649968,1.0302421,0.9041282,0.47859693,0.6751711,1.4431666,0.84124327,0.6098703,1.4443417,1.2155972,0.94509023,0.9242264,1.0970395,1.0379137,1.2596643,0.9923536,1.2419078,0.76536953,1.3505701,1.214128,1.2897813,0.6744373,1.2639886,0.65470326,1.1392046,0.8855092,1.2777783,0.5352164,1.2048435,1.2115843,1.3709948,0.73700887,0.59833455,1.1853691,1.1957462,1.1573046,0.6458022,1.2504478,1.1327896,1.0968139,1.3447552,0.66376156,1.3750299
elephant,1.1864008,1.0910584,1.3184154,0.6562791,1.0397481,1.1806326,1.1824042,1.0081674,0.7309083,0.55288786,1.2190912,0.64059174,0.7778315,1.2784544,0.57220626,1.2854232,1.1329203,1.2784997,1.3111804,1.0054537,1.0192139,1.0056834,1.1844602,1.2719125,1.294955,1.3000176,1.1792393,0.6547139,0.815114,1.0870427,1.2772157,0.71651626,1.1352862,0.8068576,1.1163578,1.1491245,0.5983362,1.1425215,1.349867,0.7748001,1.301067,1.2059073,0.76537055,1.0365267,0.800163,1.2889023,0.711865,1.2094907,0.0,0.8175702,1.1301987,1.300931,1.2020981,1.0544112,1.0824986,1.3799288,0.88443106,1.2871442,0.9557802,0.8824526,1.281534,0.8687687,0.87836957,1.0974582,1.2077504,1.0220621,1.0892738,0.46536362,1.1046913,1.0266534,1.2995415,1.2638648,0.9820695,1.2393405,1.1329162,0.72629786,0.89096576,0.9399133,1.2006484,1.1732175,1.1225404,1.1582706,1.1967882,0.8882677,1.2202301,0.540701,0.6050161,0.89959574,1.3127086,1.3009446,1.129387,1.2434671,1.1030612,1.0957861,0.96845776,1.1476712,1.0816473,1.143279,1.1588606,1.082061,0.9041409,1.282187,1.1617815,0.80766547,0.65396214,1.1247078,1.047282,0.5841221,1.0989609,0.6333594,1.0790213,0.58655876,1.2571429,0.7327917,1.0849615,0.56269175,1.3134589,0.7203493,1.1797184,0.73596966,1.1253902,0.85924226,1.2285931,0.9299182,0.5892735,0.69486666,1.2789063,1.1499674,1.1152856,1.0253192,1.06943,1.2999262,0.9437482,0.92781305,0.85020864,1.0008291,1.2688369,0.7832966
