,alligator,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,book,bottle,bowl,box,bread,broom,bucket,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,cookie,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,eye,face,finger,firetruck,fish,flower,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pig,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,raisin,refrigerator,rock,rooster,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stroller,sweater,swing,table,tape,toe,tooth,toothbrush,towel,toy,tray,truck,vacuum,watch,window
cracker,0.99279714,1.0991005,0.81763256,1.0541669,1.0781724,1.0242214,0.8070562,1.0698093,1.1436198,1.0691391,1.1649489,0.86527205,0.90514934,0.9953829,0.90484154,1.1203685,1.1508923,1.218929,1.0871431,0.7322243,1.0903645,1.1079562,1.0462606,1.0104519,1.0822166,0.8928111,0.79304665,1.1861249,0.85217196,0.97238326,1.2717762,0.9775726,0.6534455,0.9004911,0.0,1.0977951,1.0286105,1.1657935,1.0975876,0.996096,1.0387104,0.94017047,0.9496493,0.9784355,0.9961737,1.0833905,1.0697122,1.0968204,0.9027993,1.0641794,1.0243248,1.0793859,1.1903695,1.0863142,1.0025088,1.105105,0.7359897,0.8977332,0.94624496,1.0058618,0.79924476,1.1094116,1.1639202,1.1162229,0.79750216,1.1669135,0.78841186,1.0905019,0.92439806,1.2132108,0.7914492,0.90296125,0.9788275,0.68273485,0.88035375,1.0148803,0.6622224,1.1379188,0.78288156,0.9959489,1.1142619,1.0375844,0.95679367,0.9776459,0.7502141,0.76775265,1.039834,1.0899458,1.0659971,1.0135934,1.0111787,0.95291615,1.0845811,1.0505115,1.1630036,1.1648654,1.0194129,0.9649158,0.94435847,1.1592331,1.0973883,1.0167814,0.9583325,1.136405,1.0237709,0.8453599,1.0642748,1.0072035,0.7158276,0.854902,1.141262,0.9982467,1.0939465,0.97814065,1.0431799,1.151463,1.0925137,0.7236296,1.0581137,1.1841568,1.0485204,1.0683405,0.99591833,0.9545342,1.1439558,1.026831,0.9602294,0.9833981,1.157083,0.852427,1.1359513,1.1824869,0.79902273,1.0161695,1.1060777,0.99146605
crayon,0.6366705,0.8682749,1.3413794,0.8338339,0.5764685,0.6879769,1.0625758,1.4664257,1.1669176,1.5268216,0.4259888,1.4731128,1.4515334,0.8350021,1.4716696,0.9800708,0.30373484,0.7144395,1.2567892,0.87381756,0.5792871,0.9641256,0.51756084,0.8621593,0.90455323,1.3959484,1.4358059,0.46978247,1.3924721,1.2674587,0.8833953,1.0176158,0.95180494,1.5695882,1.0977951,0.0,1.4931026,0.50184613,1.146421,1.3857894,1.3237815,1.3058273,1.0734482,1.1708643,0.91624314,0.7390562,0.71568066,1.1046045,0.6488901,1.0604396,0.7838539,0.91566336,0.31424075,0.77496254,1.2916647,0.3231563,1.0792944,0.784368,1.3170416,0.8538941,1.3870571,0.39785165,0.88230383,0.86299086,1.3510411,0.54647607,1.5094388,0.5465557,1.2594974,0.4760753,1.253573,1.157698,1.2400484,1.5385633,1.2724817,0.8676504,1.224761,0.3249457,1.1099789,0.46789074,0.66310036,0.59172773,1.3735535,1.2098606,1.3756323,1.3968918,1.2447592,0.1865642,0.15516138,0.6266982,1.2509587,0.69433504,1.0214987,1.052157,0.938446,1.0364623,0.85561335,1.3361036,1.4607751,0.6879976,0.47932875,1.467452,1.0527889,0.88994503,1.117925,1.2282727,0.30793637,1.4883803,1.1184989,1.3271241,0.20540047,1.4778942,0.71167624,1.2838732,0.37603378,1.2557464,0.41297382,1.0737997,1.2567011,0.43150914,0.5418821,1.4106096,1.5413766,1.1103969,1.3558749,0.43004388,0.6490818,0.503053,0.29367352,0.9272568,0.72492677,1.2268206,1.1552411,0.83390844,0.3236121,1.3849399
crib,1.2753099,1.3921764,0.83643615,1.2509747,1.4270003,1.3171437,0.7581101,0.35964954,0.8813063,0.1839602,1.3192897,0.43924195,0.6317811,1.203375,0.5353994,0.72191846,1.4410143,1.1524284,0.43292975,1.4192528,1.176464,0.88998437,1.3076527,1.1187013,1.3167498,0.7807532,0.43793142,1.4447162,0.7322746,0.86595225,1.1437831,1.162453,1.2467071,0.55571425,1.0286105,1.4931026,0.0,1.2507632,0.83881223,0.73237103,0.73016316,0.7064416,0.73706806,0.9777646,1.1962494,1.4692901,1.3062589,1.0397674,1.4147291,0.807948,1.2259252,1.017122,1.4076024,1.1635457,0.8112438,1.5000124,1.136853,1.1942582,0.9436294,1.3071342,0.88218594,1.4741876,1.153038,1.1208388,0.76851296,1.328027,0.7695042,1.1066575,0.23642308,1.3125894,0.99551904,0.93923694,0.8074206,0.6798155,0.7951554,1.2172664,1.0555259,1.4842587,0.9352474,1.4947563,1.343154,1.5122286,0.5887426,0.8923006,0.8087219,0.858941,0.65977937,1.4100764,1.4299426,1.3579531,0.8362612,1.3133597,1.0571301,0.9456194,1.0105935,0.9976684,1.4460021,1.0496101,0.5782889,1.2002642,1.4823918,0.5327463,1.0097975,1.1169503,0.93567157,0.95760936,1.3482183,0.77940834,1.1948974,0.90235436,1.4986743,0.53331107,1.0095775,0.5794437,1.5389116,0.709888,1.4523184,1.0664455,0.8583307,1.3065772,1.227485,0.41122717,0.6733616,0.8660883,0.46529204,1.3872483,1.4874363,1.3807771,1.2468892,1.073786,0.90626144,0.6265353,0.78765213,0.9975331,1.516835,0.7009446
cup,0.81964904,0.9281716,1.2797619,0.8334483,0.691929,0.9832676,0.82657015,1.2463291,1.2204691,1.3447285,0.58080673,1.1603392,1.3824623,0.9087547,1.3384573,1.0070271,0.27242225,0.5915309,1.0096322,1.0296067,0.6173884,0.3187546,0.33778238,0.8701306,0.96178657,1.305781,1.1133416,0.59244007,1.2526981,1.0618423,0.6550269,1.0106121,1.1166459,1.3504593,1.1657935,0.50184613,1.2507632,0.0,1.101395,1.2456628,1.209442,1.0920595,1.0303401,1.2415385,1.1567523,0.8425802,0.9442329,1.0858217,0.9935514,1.1049781,0.8763441,0.87579256,0.50687504,0.9182929,1.1578887,0.7007888,0.97877645,0.980095,1.38151,0.98865944,1.4092505,0.7079831,0.88411486,0.75747997,1.3153789,0.3129797,1.4218259,0.8283203,1.0792212,0.38031638,1.289695,1.183606,0.93121433,1.3758141,1.2616985,0.97018796,1.254107,0.6622444,0.9568128,0.80035573,0.85574514,0.8479084,1.0581527,1.2606375,1.3894804,1.2887872,1.1910467,0.589876,0.60368264,0.91940385,1.2370769,0.73056227,0.996004,0.9548343,0.8960028,1.0224507,0.94726074,1.1739966,1.103346,0.5434039,0.73733354,1.0878863,1.0782803,0.9358483,1.1263769,1.1659093,0.60597646,1.4380976,1.1024885,1.3205433,0.44384927,1.2536652,0.62299186,1.2957098,0.6459967,1.1318431,0.52341527,0.89039123,1.1075568,0.628578,0.649029,1.2575067,1.3992658,1.0419545,1.2379214,0.42848217,0.91855145,0.7824929,0.63103116,0.80837333,0.77291876,1.1779374,1.1757327,0.7260257,0.61885864,1.1831043
dish,1.2119122,1.1897309,0.9600248,1.0815152,1.1988055,0.988971,0.930419,0.75468224,0.99774265,0.85259086,1.2062424,0.94313574,0.91231155,1.0179753,0.93475574,0.79275,1.2779057,0.5052083,0.70050025,1.0809067,1.1825389,0.8129408,1.2867895,1.2516847,1.192605,1.1285722,1.1129062,1.1365361,1.0230522,0.99756676,0.9863484,1.1686109,1.016269,1.0238482,1.0975876,1.146421,0.83881223,1.101395,0.0,0.97342587,0.92491406,1.0543802,0.9474348,1.0426311,1.2002423,1.2492718,1.1811068,1.0143784,1.2640861,0.9246823,1.1446404,0.951896,1.0568594,0.97896034,0.92226243,1.3188127,1.2359581,0.982724,1.0897276,1.0912329,0.9239951,1.2567208,1.0820467,1.1958688,1.0939578,1.0936166,1.1115018,0.5935939,0.9526138,1.2599394,0.7937262,0.9280092,0.89946127,0.8760455,1.1047087,1.0813496,1.0063514,1.2817167,1.0853127,1.3227975,1.2313501,1.2633007,0.82851243,0.9762832,1.0476202,1.1350236,0.8016957,1.1321903,1.1017994,0.97274274,0.8979871,1.3245201,0.6103131,1.049108,0.4171998,1.0623777,1.273525,1.0049869,0.8821268,1.2625458,1.1868814,0.7638645,1.0716239,1.0839753,0.45434642,0.9596088,1.1719198,1.015181,1.1739283,1.1226833,1.1966138,0.89017236,1.1473509,0.94712,1.3468198,0.98730344,1.3183172,1.2798918,0.29205823,0.5692456,1.0890019,0.83540094,0.9375913,0.917539,0.5179558,1.1578102,1.3439257,1.3147447,0.9109655,1.1759499,0.9376766,0.4381503,1.0141435,1.1745738,1.2891681,0.95693064
dog,1.1487504,1.1566213,0.9857135,1.0719876,1.3407278,1.1600269,1.0131046,0.8276462,0.8657305,0.6759926,1.2226913,0.7525636,0.8836793,0.99970263,0.68047136,0.9979766,1.2780284,1.1284885,0.9111381,1.1749358,1.1755385,1.0815341,1.3350673,1.0063385,1.141357,0.34978503,0.8332696,1.2510484,0.9012556,0.92437816,1.0713379,1.011143,1.0633206,0.70347035,0.996096,1.3857894,0.73237103,1.2456628,0.97342587,0.0,0.6810895,0.8717251,1.0856698,1.0734067,1.2293416,1.1933143,1.1857677,0.89138097,1.3305798,0.8262333,0.9365993,1.0470138,1.3079369,0.98555005,0.9232529,1.3379428,1.0158436,1.1632283,0.8933035,1.0599868,0.9786462,1.2673362,0.9231384,1.1172516,1.0098277,1.2191949,0.8138639,1.2098076,0.8896775,1.2209811,0.94559634,1.0846307,0.96548903,0.802498,0.78843325,1.0534812,0.8483993,1.3355753,0.94568944,1.3984597,1.0190741,1.2753761,0.89916074,0.87836623,1.0083102,0.92800343,0.95899385,1.3137577,1.3380024,1.1371313,0.6400787,1.1291708,1.02307,0.5861359,1.058208,0.56763554,1.1754236,0.8991314,0.83183706,1.1811658,1.2295368,0.7860519,0.99139833,0.68534297,1.0382665,1.0167906,1.2631366,0.9198748,1.0853982,0.86870944,1.3714323,0.8040682,1.15809,0.9761391,1.3449059,0.7629583,1.2409478,1.0745924,0.86613894,1.2875718,1.1628067,0.7265896,0.8074753,0.92236996,0.81036246,1.310816,1.2963765,1.2799939,1.2368331,1.0317894,1.0425708,0.8651824,0.94145256,1.0267323,1.3863876,0.86233103
doll,1.2656813,0.94768214,0.9483553,0.7914265,1.1667664,0.98375696,0.9943679,0.922997,0.6046455,0.77843285,1.3165778,1.0046889,0.737891,0.9998883,0.89700955,0.8575847,1.3487687,1.1209239,0.8046874,1.1340475,1.2969255,0.9505316,1.3742211,1.0621464,1.0678035,0.9304788,1.0237151,1.375932,0.96061945,0.80379856,1.1520213,1.1729118,0.985412,0.9466518,1.0387104,1.3237815,0.73016316,1.209442,0.92491406,0.6810895,0.0,1.0772407,1.1135457,1.1134263,1.1989797,1.0189348,1.1937898,0.83088875,1.1687607,0.76817596,1.1069043,0.86800796,1.2803001,0.7897511,0.9714664,1.3782127,0.76780665,0.9416852,1.0698026,0.8180448,0.8179056,1.0959102,0.95282465,1.2052537,1.1106054,1.1564963,1.0242344,1.054512,1.0043966,1.2776533,0.96841866,1.0517368,0.78193223,0.6019452,0.7821306,1.0177245,0.8259313,1.3063401,0.847319,1.3223972,1.1915379,1.1061803,1.1070285,0.9062168,0.7977531,1.0741415,0.9761701,1.1973875,1.2107875,1.0113518,0.4731601,1.119362,0.9658323,0.804214,1.070543,0.69979066,0.9656608,0.7731481,0.7238749,1.1870431,1.2872593,1.0266004,1.137555,0.75217867,1.0602959,1.0544577,1.188161,1.009947,1.0750062,1.0485864,1.2985829,0.94233143,1.3928094,0.9874812,1.3049729,0.9371337,1.2845039,1.0804098,0.9425153,1.1536534,1.2418631,0.4182045,0.94190454,1.010525,0.8675564,1.2233106,1.1924459,1.0614808,1.1074066,0.89438486,0.6013882,0.8485459,0.9288868,1.0872946,1.3315027,1.0110605
door,0.9351195,1.2544241,0.9702106,1.2716377,1.219758,1.271845,0.8517902,0.6843388,1.053947,0.71049726,1.1114699,0.5164167,0.9454189,1.1517359,0.8160579,1.0796207,1.0776073,1.2339702,0.892619,1.2236118,0.7669154,1.0579025,0.8775554,0.94717413,1.0590574,0.70312077,0.46516073,1.105121,0.62057966,0.8156943,1.0551435,1.0396168,1.1817437,0.648878,0.94017047,1.3058273,0.7064416,1.0920595,1.0543802,0.8717251,1.0772407,0.0,0.6235506,1.063072,1.0929593,1.288996,1.1456124,1.0610353,1.1902658,1.0890214,0.99971324,1.0319606,1.2056715,1.2499431,0.97142804,1.2156804,1.0859953,1.3252051,0.93783957,1.2464054,0.9416641,1.2900046,1.1753,0.8698317,0.87897223,1.0174403,0.7517155,1.2153581,0.751534,0.9658274,1.0595689,1.0640466,0.94026303,0.9513752,0.81286407,1.2144616,1.0745728,1.2724586,1.0045116,1.1287491,1.1360705,1.2902119,0.5408728,1.0240824,0.8642975,0.72384775,0.93274105,1.283299,1.2803612,1.2862117,1.1152304,1.1074159,1.1086394,0.8944998,1.1620957,1.1689711,1.2332249,1.02057,0.8440043,0.9636592,1.1968235,0.44846082,1.0008271,1.1234419,1.0770676,0.96995145,1.202728,0.8965696,1.0137281,1.0001911,1.1901581,0.58296865,0.8364797,0.81069183,1.2452883,0.80059946,1.157784,0.8977367,1.0339785,1.2667544,1.0015987,0.9229588,0.8265457,0.8325784,1.0330735,1.314961,1.2072693,1.1948364,1.1758326,0.97749776,1.2526058,1.0892003,0.9609342,0.5983468,1.270247,0.5342217
drawer,0.92895687,1.242116,0.83464086,1.1870329,1.1276318,1.190284,0.56940943,0.81413084,1.0927643,0.8845891,1.1347455,0.5447018,1.0914551,1.0715555,0.95632166,0.7744415,1.1519259,1.0816019,0.5977964,1.1418669,0.8815124,0.87594354,0.8748633,0.88051933,1.1831396,1.1320698,0.621771,1.065453,0.82147026,0.8406694,0.94519985,0.957471,1.0654514,0.90040356,0.9496493,1.0734482,0.73706806,1.0303401,0.9474348,1.0856698,1.1135457,0.6235506,0.0,1.1063704,1.1309975,1.2838604,1.0869125,1.1681757,1.1268821,1.0245377,1.0230666,0.8525693,0.97900873,1.0830622,0.9384748,1.2532578,1.0504735,1.0859617,1.0952529,1.2587978,0.99713147,1.2550212,1.085614,0.87518024,0.98658836,1.0131015,1.0536481,0.82298005,0.7138061,1.0358653,0.99049777,0.81470793,0.83378243,1.0367097,1.0355351,1.1190839,1.0956315,1.30602,0.85592896,1.0880171,1.2908182,1.287924,0.43169314,0.97748274,1.0173881,1.0729173,0.7487273,0.93876594,0.9458553,1.157856,1.1068002,1.0502924,0.98033136,1.0690444,1.002452,1.1195242,1.2698021,1.0290822,0.74493587,0.8101577,1.3076024,0.58878016,1.1492915,1.1189929,1.0114675,1.0094216,1.0678519,1.1598927,1.0682818,1.0922977,1.2112633,0.85494804,0.67074597,0.89615244,1.2795235,1.047165,1.2517478,1.0329957,0.9874784,0.9683063,0.9699871,0.990448,1.0819123,0.82810533,0.9979915,0.9609546,1.229743,1.2562196,0.96565306,0.8343323,0.9984415,0.9989341,0.91070974,0.80985457,1.1733583,0.80639344
dress,1.1265599,1.0747688,0.71009195,1.157607,1.1446725,1.1059338,1.2184358,0.92329055,0.9627464,0.9230455,1.1260679,0.9689062,0.65723443,1.0026791,0.80825007,1.0637149,1.2258534,1.2295797,1.0681436,0.9626929,1.1862359,1.1911579,1.1442649,1.257967,0.8720312,0.96449745,0.9552229,1.154327,1.0192146,0.93253565,1.2421452,1.0982919,0.9555953,0.86874306,0.9784355,1.1708643,0.9777646,1.2415385,1.0426311,1.0734067,1.1134263,1.063072,1.1063704,0.0,0.69700205,1.0480881,1.0377833,1.1192794,0.8685755,1.0537069,1.1280196,1.1579792,1.1776263,1.2027225,1.0261699,1.0215863,0.9519299,1.0713726,0.7501641,1.0975174,0.74296206,1.0625532,1.0945778,1.203483,0.51714784,1.2827859,0.6524246,1.167262,0.93530154,1.3067867,0.89515096,0.9101061,1.0394418,0.8320588,1.0460129,0.98758876,0.9317963,1.0373529,1.0078592,0.84456265,1.1088017,1.0692602,1.0297837,0.96975875,0.6269823,0.6046418,0.9409143,1.1842921,1.1724223,1.1662178,1.0514479,1.1417557,1.121649,1.2110275,1.1098405,1.189992,0.96727514,1.0262349,1.0114292,1.3028901,1.1088105,1.0071101,0.88764703,1.2052829,1.0037683,0.8697922,1.1934361,0.43434215,0.86341596,0.585714,1.1485952,0.98791516,1.1983719,0.85210645,1.0205859,1.1236905,1.1204253,0.8915149,1.0816009,1.1834383,1.1561202,1.0623513,0.6139995,1.0780206,0.9227494,1.244287,0.8871621,1.006933,1.1567175,1.014349,1.2239356,0.9978118,0.9988143,1.1912745,0.9603925,1.0321426
ear,1.0994846,0.75742894,0.99314326,1.0505674,0.7692348,0.99141073,1.2918184,1.1279615,1.0282547,1.1837504,0.96193016,1.2411637,1.002316,1.0731566,1.213114,1.2195367,1.0715036,1.210212,1.3179953,0.7379812,1.0161293,1.2316644,0.9959764,1.1382467,0.59378636,1.1112447,1.1495438,0.994348,1.0518681,1.1710649,1.168466,0.920236,0.7441342,1.139547,0.9961737,0.91624314,1.1962494,1.1567523,1.2002423,1.2293416,1.1989797,1.0929593,1.1309975,0.69700205,0.0,0.75011283,0.6175977,1.0059634,0.39520717,1.1942425,1.1902373,1.1360232,0.97961247,1.2211459,0.9632085,0.587913,1.0218068,0.8497887,0.57663435,0.94782656,0.73133796,0.8044883,1.1442281,0.96517086,0.78688663,1.1073234,0.95546454,1.2242627,1.0792177,1.1458622,1.0544567,0.9801931,1.1468356,1.0253199,1.0897108,0.74492455,0.9350108,0.60374844,1.1693994,0.44523168,0.60467607,0.70383304,1.1611006,1.1311337,0.8285583,0.92080873,1.1418949,1.0681305,1.0031778,1.035177,1.1200825,1.1140362,1.1751876,1.282218,1.1943915,1.2084986,0.67407477,0.9336531,1.2715564,1.1346253,0.81140244,1.1687418,1.0388408,1.2003675,1.0955856,1.0137286,1.0791703,0.8494787,0.74068654,0.97100025,0.85150325,1.12728,1.1933866,1.0469766,0.6213074,1.1975436,0.9782571,0.9728256,1.2140039,1.0771042,1.0369686,1.2058777,1.0222652,1.0392373,1.1653266,1.1040332,0.42398775,0.7144699,1.0281821,1.1470846,1.2589164,1.1708047,1.1670682,1.0995727,0.5846808,1.1395524
egg,0.96887517,0.09119493,1.2857909,0.5432254,0.49055386,0.7979794,1.3113127,1.3984334,1.0254805,1.4478371,0.8442106,1.4900974,1.3289545,0.902973,1.4643412,1.3602105,0.688769,0.87091935,1.4623392,0.4648552,0.86341035,1.0932451,0.9221567,1.0466603,0.51253545,1.2782388,1.4622269,0.6368398,1.2325528,1.2003534,0.7798738,0.9131373,0.71844995,1.4357401,1.0833905,0.7390562,1.4692901,0.8425802,1.2492718,1.1933143,1.0189348,1.288996,1.2838604,1.0480881,0.75011283,0.0,0.61163557,0.9512167,0.54891247,1.2454945,0.92679757,1.0307916,0.732299,0.8972288,1.176381,0.5773878,0.919029,0.8089124,1.0868481,0.5338548,1.1488717,0.63682103,0.9209033,0.939324,1.3293173,0.5873535,1.3601329,1.1274643,1.3813201,0.65808004,1.2067256,1.1571493,1.1854882,1.2572916,1.3137053,0.77076584,0.94686145,0.42893058,1.0565369,0.60406756,0.52040654,0.1626836,1.4547213,1.2432853,1.2364864,1.2515551,1.3777691,0.8287979,0.7998079,0.757759,1.1184019,0.8366176,0.9559225,1.0840462,1.0324199,0.9892393,0.06704587,0.49631083,1.333065,0.87990206,0.47425902,1.4215245,1.0434723,0.87683636,1.1143818,1.2469263,0.82440853,1.218138,0.9655503,1.2388557,0.52566475,1.3187901,1.0495731,1.265084,0.541581,1.2512451,0.6725825,1.0906534,1.1472757,0.8202232,0.8197845,1.3453125,1.30512,1.3176302,1.3609924,0.6355481,0.46539402,0.5478269,0.95843756,1.0104308,1.0196154,1.2636433,1.3077805,1.14424,0.5409718,1.3734703
eye,0.85792506,0.70760965,1.1848919,0.9694208,0.74557436,0.91301936,1.167834,1.3331966,0.904124,1.2788782,0.8348137,1.3251576,1.2810421,1.0458055,1.3183849,1.2252855,0.806672,1.0304886,1.3085264,0.7000905,0.9063889,1.1689034,0.899527,0.9645865,0.72819567,1.1702718,1.3163431,0.7500155,1.1638921,1.1792626,0.9436747,0.68298244,0.90934825,1.3525331,1.0697122,0.71568066,1.3062589,0.9442329,1.1811068,1.1857677,1.1937898,1.1456124,1.0869125,1.0377833,0.6175977,0.61163557,0.0,0.94104004,0.57408476,1.2017199,0.9569233,1.0549194,0.7715398,1.0159215,1.1460844,0.44476223,1.094811,0.9428728,0.88572085,0.8235055,1.0687006,0.6683954,0.98532856,0.9072808,1.181852,0.8102699,1.308645,1.0662731,1.1734494,0.80464554,1.1800032,1.1798501,1.1535691,1.312139,1.1761905,0.759385,1.0377038,0.557742,1.104932,0.58627355,0.4354248,0.5753411,1.272297,1.1244384,1.1810727,1.2188072,1.2674578,0.8128867,0.8049519,0.9139557,1.143975,0.93506575,1.062479,1.1233951,1.1236145,1.0335555,0.6073689,1.0499533,1.3212445,0.84571767,0.5756649,1.2794821,1.0031335,0.94482327,1.0751175,1.1890093,0.8351308,1.1903062,0.87814134,1.2416933,0.686919,1.2796001,0.9931296,1.181211,0.544907,1.1356752,0.75400436,1.1212552,1.1875563,0.9169904,0.9341428,1.272777,1.2788799,1.1517861,1.2964412,0.8233297,0.5289071,0.70563483,0.9329128,1.0273659,1.0913548,1.2021356,1.2036858,1.0674938,0.47853273,1.2098746
face,1.259847,0.9251834,1.1154454,0.95267123,1.0401195,0.9380606,1.146773,1.0221982,0.8106408,0.9894793,0.99675274,1.1253053,1.0374284,1.0502639,1.099683,1.0241716,1.1145587,1.0590098,1.042511,1.0773542,1.2085168,1.054893,1.2335597,1.0176401,1.0521636,1.0652506,1.1675647,1.0471283,0.85096884,1.0150312,1.0916471,1.1006701,1.0678029,0.96743214,1.0968204,1.1046045,1.0397674,1.0858217,1.0143784,0.89138097,0.83088875,1.0610353,1.1681757,1.1192794,1.0059634,0.9512167,0.94104004,0.0,1.0347161,0.9383193,1.1876056,1.0193866,1.1685736,1.055783,0.9995014,0.9951152,1.1215291,1.0704722,0.84203017,0.72108936,1.0540838,0.9356566,1.0176159,1.2142804,1.042743,1.01385,1.038085,1.1857342,1.1057719,1.1005988,1.0713444,1.0855448,1.0669659,1.0490316,0.9918423,0.5809133,1.034082,1.001305,1.214279,1.1709579,0.9402615,0.88708615,1.1563399,0.92985284,1.1076648,0.98521787,1.0985651,1.1186883,1.109529,0.9894602,0.8707934,1.1497298,1.02818,1.0027406,1.0761863,0.9130251,0.944801,0.9541615,1.0098933,1.0385524,0.95235854,1.0209615,1.0469475,0.9341293,1.0225533,0.9211753,1.089879,0.90247,1.0427428,0.94535303,1.0810214,0.766735,1.1887468,0.96863574,1.0271578,0.9687551,1.0012883,1.0884086,0.9760407,1.1291685,1.0341883,0.90861356,0.89226,1.0372808,0.979546,1.0501546,0.9655522,1.1106842,1.0802293,1.2176381,0.9615302,0.9681904,1.0158441,1.1449952,1.0984175,0.97596014
finger,0.9615897,0.5986214,1.002428,0.9409193,0.56743395,0.8824212,1.3016798,1.3182895,1.1381708,1.4149022,0.80854094,1.379349,1.2260671,0.9861107,1.4451082,1.2506782,0.86190146,1.1450274,1.401936,0.58580214,0.94383293,1.243778,0.8408471,1.0886784,0.51363987,1.2898344,1.2728317,0.8479028,1.1216466,1.1367626,1.1372427,0.9055056,0.5699631,1.3493891,0.9027993,0.6488901,1.4147291,0.9935514,1.2640861,1.3305798,1.1687607,1.1902658,1.1268821,0.8685755,0.39520717,0.54891247,0.57408476,1.0347161,0.0,1.1575478,1.1134958,1.1603545,0.764894,1.1165378,0.99898213,0.486412,0.8948775,0.7510891,0.88129586,0.88149226,0.63713986,0.6438122,1.1081723,0.99929845,0.94667304,0.9465793,1.1261932,1.1097568,1.2524788,0.9222174,1.1854889,1.0526607,1.1351857,1.1350355,1.2506636,0.77409554,0.93814284,0.41489452,1.1345066,0.35703945,0.5222256,0.514184,1.3149626,1.2245874,0.9319237,1.0183444,1.1914474,0.7762294,0.6997911,0.9045314,1.1596704,0.9270346,1.1807733,1.2409865,1.2529678,1.190691,0.45950097,0.9815188,1.4273274,1.045313,0.6469008,1.3536841,1.1193491,1.0817788,1.1857587,1.1165423,0.9404559,1.0269582,0.6639277,1.0542718,0.6649004,1.2835429,1.034253,1.1267669,0.41795498,1.2890425,0.76460636,0.8999587,1.3117633,0.95828366,0.9394995,1.380378,1.1748776,1.0750388,1.3582807,0.8839239,0.115470886,0.45446146,0.8649468,1.0637221,1.1836638,1.3218857,1.1468513,1.0488547,0.3785407,1.2592187
firetruck,1.1120356,1.1900258,1.0935922,1.0793393,1.2434618,0.93103856,0.8851794,0.97849435,0.9150561,0.8315633,1.0905823,0.96015894,1.0117924,0.82286125,0.9218189,0.7496736,1.1297275,1.0513837,0.75851786,1.2508557,1.1626647,1.0504705,1.1742598,0.83014536,1.244951,0.972263,0.98081523,1.1996272,0.9764652,0.84213954,1.1864779,1.1865966,1.0427787,0.9705765,1.0641794,1.0604396,0.807948,1.1049781,0.9246823,0.8262333,0.76817596,1.0890214,1.0245377,1.0537069,1.1942425,1.2454945,1.2017199,0.9383193,1.1575478,0.0,1.0618575,0.9851837,1.1806291,0.87117535,0.9036568,1.1717813,1.0980954,1.038216,1.0666697,1.0038612,1.1081702,1.0582509,0.75110793,1.1503832,1.064116,1.1086867,1.0354309,0.9685252,0.8916522,1.1696076,1.1388912,1.1100113,0.9457985,1.078585,0.7545855,0.9924027,1.043581,1.2141681,1.1571153,1.2013768,1.1414585,1.1647469,1.0063531,0.89642185,1.0627681,1.0001901,0.9711969,0.9726265,1.0306696,1.0042105,0.8805386,1.1692541,0.97649777,0.9500184,1.07022,0.75325924,1.2208318,1.1622838,0.92089677,0.93429357,1.0813823,0.9756722,1.0484841,0.8205434,1.0386959,0.97248167,0.8875568,1.0237784,1.0672398,0.919989,1.1694298,0.96918297,1.1011105,1.0096068,1.1591526,0.89679646,1.083188,1.1586883,0.9932036,1.121321,1.1793482,0.6724406,1.0150208,0.95724016,0.8354348,0.99315894,1.2151308,1.1799092,1.0250686,1.0751355,0.6233447,0.8683068,0.41505623,0.99821985,1.1762768,0.9891051
