,alligator,ankle,apple,arm,ball,balloon,basket,bathtub,bed,belt,bench,bib,blanket,boat,book,bottle,bowl,box,broom,bucket,can,car,cat,chair,clock,corn,couch,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,duck,elephant,finger,fish,flower,frog,glasses,glove,grass,gum,hair,hand,hat,helicopter,horse,hose,jeans,knife,ladder,lamp,mitten,motorcycle,nail,napkin,nose,orange,owl,pajamas,pants,paper,pen,pencil,penguin,pillow,pizza,plant,plate,pony,pumpkin,purse,refrigerator,rooster,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,sock,soup,spoon,sprinkler,strawberry,stroller,swing,table,tape,toe,toothbrush,towel,toy,tray,tree,tricycle,truck,vacuum,watch,window
deer,0.8406977,1.130474,1.1322486,0.9320479,1.1152416,1.2546334,1.1793507,1.0134715,1.0283109,1.2717028,1.1508234,1.0723635,0.96919006,0.74755687,1.2791216,1.1958127,0.9935795,1.0628318,1.0715529,1.2219915,1.246154,0.9410065,0.6181146,1.1117269,1.2249734,1.124548,1.0463529,1.2643889,1.0125414,1.1948209,0.0,1.0167097,0.26812583,1.2444904,1.0628337,1.1009454,1.069026,0.82889855,0.81182307,1.2636126,1.1840806,1.0601966,1.0477728,1.2704551,1.1980431,0.7332937,1.2075841,0.83604956,1.068086,1.3008362,1.1165397,0.7376547,0.87521565,0.9471046,1.2642956,1.1247343,1.177803,1.033915,0.9442478,1.2075727,1.1760383,1.1658361,1.0951896,0.9687976,0.99623173,0.90158385,1.0606737,1.2008308,1.2795722,0.5496401,1.2835467,1.0054373,0.8822117,1.0115463,0.37057984,1.0957352,1.1567798,1.0418884,1.0325067,1.0585419,0.95289063,1.0998251,0.9557065,0.9123501,1.2570381,0.93182826,1.3473985,1.026058,0.9563249,1.0924674,1.0327163,1.104079,1.001009,0.6221378,0.93552566,1.0484818,1.2189401,1.0242833,1.1047912,1.0678352,0.9580773,0.8027795,0.8860299,1.0762658,0.9867932,1.2933723,1.034003
dish,1.0052048,1.046183,0.99097127,1.0682477,0.8813023,1.0192623,1.0519823,1.0091975,0.92667747,1.2914762,1.2756957,0.9858894,0.95732266,1.0122743,1.0436794,1.1702322,0.7151929,0.8869907,0.9460501,0.94639605,1.2572212,1.0346209,1.0202345,1.1834445,1.0696291,0.86951923,0.8865553,1.198838,1.0849477,0.9820416,1.0167097,0.0,1.0018646,1.1298673,1.0708423,0.80454254,1.1014613,0.9522077,0.9423478,1.2530189,1.0910385,1.0643866,1.060454,1.2781074,1.2362074,1.0474681,1.0049736,1.0602496,0.9836122,1.176332,0.8820542,1.1380082,0.8989169,1.0970864,1.0209491,1.2558,1.233083,0.87091064,1.0675201,1.1768525,1.0259569,1.2136729,0.88520867,1.0481145,1.0213877,1.1660542,0.95797426,1.1058482,1.1978232,0.9757314,1.1302159,0.8040093,0.9452743,0.68224615,1.135359,0.93672425,1.0264263,0.9023042,1.1172055,0.9611061,1.1350901,1.0179778,1.1274186,1.0540417,1.007876,0.98294103,1.1929758,0.9177523,0.69967127,1.1097401,0.9778132,0.97535914,1.1642436,0.9745365,0.8866582,0.6316937,1.1840708,0.9189087,0.9323667,0.98714286,0.71588975,1.0398167,1.0148643,1.2262229,1.073158,1.2826841,1.0342468
dog,0.91957164,1.0099531,1.0103294,1.0468067,0.9677528,1.1413599,1.1843858,0.9900568,1.2205205,1.1836822,1.1354897,1.1780845,1.1656581,0.74327445,1.2150602,1.078786,1.0196484,1.1523366,1.0250398,1.143358,1.1921333,0.94679785,0.36359954,1.1447053,1.1249174,1.078896,1.1612738,1.2041595,1.1769228,1.1536865,0.26812583,1.0018646,0.0,1.128326,1.1592119,1.1467458,1.1795411,0.62253994,0.9053588,1.2696273,1.0962532,0.93058956,0.96806633,1.2392749,0.9557806,0.803538,1.1141943,0.75599825,1.1534455,1.2143464,1.0062895,0.5344174,0.9063308,1.1701616,1.1480625,1.1274663,1.1075468,1.1182832,1.043861,1.1599151,1.1180481,1.0468537,1.0092876,0.83896804,1.1317787,1.1003813,1.2076272,1.0663445,1.1964352,0.2723571,1.2612755,1.0660738,0.9517401,1.0557777,0.4815851,0.9931011,1.1741529,1.1865127,0.76899576,1.1401072,1.1416482,1.0520536,1.0275607,0.9032762,1.157711,1.1199628,1.2212207,1.1829046,1.0458164,1.0172541,1.0731232,1.007047,0.9492873,0.69216144,1.0824647,1.0730761,1.1463857,1.1648169,1.0255897,1.0137429,1.0950065,0.9735689,1.0197406,0.9376806,0.9721248,1.2146082,1.0803022
doll,1.0754154,0.8935623,0.83532774,1.177252,0.9244244,0.6373721,0.9036182,1.1484523,1.3139715,0.49498284,0.82809234,1.1541303,1.2878121,1.2391979,0.7225822,0.52966714,1.124645,1.057951,0.745393,0.6990787,0.7121521,1.1414378,1.0613711,1.0921224,0.46928263,0.9555894,1.223618,0.4902897,1.2530124,0.5972609,1.2444904,1.1298673,1.128326,0.0,1.0149155,1.1653445,1.0824429,0.9714175,1.1860386,0.6686548,0.8784284,0.89106125,0.9441792,0.6681643,0.61126137,1.2204812,0.803644,1.1589383,1.2181618,0.5966316,0.9761907,0.70897746,1.2784523,1.1433357,0.37815112,0.82482463,0.55727047,1.3184403,1.2764453,0.69822234,0.7196516,0.650952,0.8456713,1.0230831,1.3167381,1.2375643,1.2342511,0.5563973,0.54772055,0.9804625,0.640993,1.1158478,1.199142,1.1080554,1.1017269,0.9530677,1.0108025,1.2650491,0.6560647,0.9425703,1.2052405,1.0788335,1.2329519,1.21973,0.57028335,1.3618478,0.6575319,1.2849514,1.2350532,0.7859521,1.2665197,0.91270775,1.1629335,1.3675756,1.3725483,1.0913265,0.83077294,1.2529867,0.9150355,1.0454714,1.4079155,1.2135209,1.3134944,0.82342476,0.995759,0.55481917,1.012646
door,1.0937783,1.1916083,1.3148019,0.83822674,1.227101,1.1831384,0.961544,0.7646369,0.6696919,1.0424521,0.7388384,0.95846146,0.8640467,0.96695405,1.0164689,1.1000649,1.2113509,0.70201087,0.8194212,1.0886467,0.82117134,1.0127809,1.1190422,0.73605615,1.0707375,1.1467394,0.782426,1.087359,0.70951265,1.0397754,1.0628337,1.0708423,1.1592119,1.0149155,0.0,0.7909565,0.8663422,1.191381,0.9853333,0.9950534,1.1962894,1.1630167,1.136612,1.0509046,1.2129788,0.904225,1.2616894,1.0111272,1.0564957,1.0292864,1.1502291,1.2031214,0.93376344,0.81304795,1.0382236,0.75035304,1.0202214,0.9381924,0.86071867,1.0802352,0.8364551,1.1230522,1.3314754,1.0646245,0.93169975,0.77150774,0.93715537,1.1309699,0.9741948,1.1842116,0.96663547,1.0874938,1.0684266,1.1811311,1.0652478,1.2922913,1.0112197,0.6273588,1.0908971,1.0299836,0.76397896,1.0832516,0.7345587,1.0874112,0.8031767,0.81207883,1.0997695,0.9370382,1.0685103,1.2176763,0.91522133,1.2955353,0.9298519,0.96524084,0.76691675,1.0760351,1.1223221,1.0114101,1.0304079,1.1854072,1.0113835,0.8727448,0.9875588,0.9461372,0.83532906,1.1127636,0.52568626
drawer,1.0933377,1.1911573,1.1391761,0.9069536,1.0426304,1.1494658,0.83146155,0.81709445,0.72836006,1.2088654,0.8991005,0.87633014,0.86205554,0.87281907,0.7699077,1.1474818,0.946798,0.56569093,0.91199046,0.94551134,0.99185526,1.0418515,1.1123363,0.7794228,1.0970114,1.0788219,0.8685267,1.2428839,0.66908795,1.0592275,1.1009454,0.80454254,1.1467458,1.1653445,0.7909565,0.0,1.0095067,1.1761004,1.0406872,1.1562793,1.063932,1.1165519,1.0031314,1.2297987,1.3133949,1.1090232,1.0939182,0.98938763,0.99091613,1.2083924,0.87580085,1.2789557,1.0223099,1.1229119,1.116157,0.8492644,1.1769601,0.883434,0.9993128,1.221782,1.1031147,1.2009256,1.094475,1.1699535,0.9291681,1.0844743,0.84268796,1.0748707,1.0500163,1.1758095,1.0188165,1.03635,1.0143093,0.93163174,1.1589859,1.1389683,0.84772116,0.76249814,1.1393723,0.81483257,0.98407185,0.89324504,1.0762393,1.1118678,0.92644185,0.7787477,1.1378284,0.8938026,0.88347983,1.1964688,0.8929427,1.1045086,1.0795383,1.0580847,0.79523885,0.83260036,1.2025104,0.9073891,0.9833963,0.94397455,0.81943566,0.99315155,0.9619039,1.0375091,1.0357219,1.2137032,0.7104665
dress,1.0654138,0.8644637,1.1603572,0.95030934,1.1218687,1.1001253,1.1130849,0.93685275,0.8099888,1.0698239,1.1929928,0.6334355,0.7565813,1.1875458,1.1533171,1.1957662,1.1846726,1.1206079,1.1259869,1.1819518,1.0194814,1.0738361,0.98087776,1.0532578,0.9875113,1.0813389,0.9887473,1.067627,0.9465705,1.1799173,1.069026,1.1014613,1.1795411,1.0824429,0.8663422,1.0095067,0.0,1.2126298,0.929997,0.93652,0.865732,1.1969368,1.1068336,1.0125918,0.9989303,1.0441688,1.1009545,0.791393,0.8715267,0.92653024,1.0619001,1.1415852,1.055489,0.6049824,1.1012468,1.1118408,1.1351596,0.80944526,0.9528159,1.0420362,0.9243683,1.068215,1.1804647,1.0294216,0.58444,0.6435619,0.7422596,1.2062101,1.0194272,1.1587651,0.8704002,1.0939187,1.112689,1.1832772,1.0590706,1.1754451,0.9963757,1.0260844,1.2265184,1.0126739,0.5148841,0.96807694,0.709894,1.1075094,1.0284686,0.92927724,0.9323244,0.74136317,1.0361261,1.0218422,0.9895109,1.1587372,1.0593791,1.1689206,1.0035918,1.1318647,0.97706383,0.7702483,0.9619309,1.1433163,1.0138825,1.0769889,0.9937942,1.1661168,1.1748352,0.9942531,1.0181874
duck,1.0529426,0.9821716,0.93782693,1.0581489,0.9459108,0.91068447,1.1511229,1.0409087,1.1895471,1.0803789,1.0494655,1.0983802,1.2626693,1.0282382,1.0400083,0.98634946,1.0517743,1.1668591,1.0987731,1.0969956,1.080716,0.9622005,0.75341725,1.1335741,1.0688456,0.91132784,1.1156307,1.0159003,1.1855621,1.0583593,0.82889855,0.9522077,0.62253994,0.9714175,1.191381,1.1761004,1.2126298,0.0,1.0832937,1.0862161,1.0065002,0.93108714,0.8670236,1.0731044,0.8983163,1.0070343,1.0017387,0.96096885,1.0974977,1.1353294,0.989626,0.6325307,1.0533025,1.1896628,1.016066,1.0784917,1.0045309,1.1380659,1.0689964,0.99893093,1.08703,0.9610123,0.9164773,0.5676508,1.1344391,1.0933936,1.1380076,1.0139818,1.0475869,0.6400858,1.2065816,1.0046211,0.96043175,1.0241052,0.86772764,0.9046364,1.1903691,1.0790843,0.7620239,1.140227,1.2019422,1.0934536,1.1112661,0.88972056,1.0711297,1.1369085,1.1048161,1.1681517,1.0891907,0.81498575,1.0500786,0.9526344,0.99582815,0.90536743,1.1103956,1.0192922,0.9759171,1.0841743,1.1055815,0.98124856,1.069452,1.001497,1.0808775,1.0135908,1.0325912,1.0829281,1.0592009
elephant,0.40598655,1.1029505,1.2162709,0.76191247,1.2237583,1.3086421,1.1848012,1.0013269,0.7904295,1.2556598,1.0573152,0.9588794,0.8869343,0.8411019,1.2424946,1.2962899,0.9672129,1.168531,1.0624397,1.2795659,1.3025098,1.1176888,0.8852544,1.1817887,1.2423422,1.0695804,0.8619409,1.2205818,0.94221306,1.2565898,0.81182307,0.9423478,0.9053588,1.1860386,0.9853333,1.0406872,0.929997,1.0832937,0.0,1.1477342,1.160931,1.163967,1.2285018,1.2034724,1.1740503,0.5231498,1.2459087,0.7449219,0.7316251,1.2913454,1.1091428,1.1561781,0.5947786,0.78361547,1.3128159,1.2301611,1.2252316,0.79959995,1.0759406,1.2073945,1.176028,1.1146241,1.2328873,0.9350967,0.86606586,0.8989862,0.90866244,1.2139304,1.2836156,1.0128341,1.1280798,0.98998207,0.96056706,0.9772564,0.837757,1.1537553,1.2102253,0.8725117,1.1843553,1.1934443,0.7903899,1.1028049,0.8927707,0.9717678,1.2610354,0.8018789,1.3023701,0.94055504,0.8123946,1.1674186,0.7712422,1.1796297,1.1794138,0.6537993,0.77936757,1.1420226,1.1280904,0.77897924,1.0630888,1.2712896,0.74508387,0.7334964,0.9639117,1.1835477,1.0890516,1.2672037,1.0763617
finger,1.0275062,0.76494694,0.9144776,1.1867609,0.9416119,0.61881435,0.9944754,1.1503125,1.2604849,0.41967982,0.9059016,1.0139741,1.2173028,1.3946866,0.9239422,0.6042334,1.2480643,1.2165087,1.0742567,0.9068913,0.834131,1.2326075,1.0570884,1.1544392,0.7644181,0.8813738,1.2480755,0.26369977,1.2286675,0.56104016,1.2636126,1.2530189,1.2696273,0.6686548,0.9950534,1.1562793,0.93652,1.0862161,1.1477342,0.0,0.86566305,1.0543727,0.9730811,0.2338857,0.6131117,1.2208078,0.75305873,1.0676516,0.8043468,0.48766863,1.106575,0.9417108,1.3304762,0.9425082,0.64784443,0.98199105,0.43929428,1.1582376,1.2200832,0.2653522,0.6684333,0.34678864,0.938103,0.7994559,1.1556277,0.9206263,1.1238391,0.7407027,0.58725166,1.1799538,0.6839217,1.0947411,1.2718339,1.2302201,1.1488948,0.9418667,1.071782,1.2359812,1.0626221,1.1554075,0.9917428,1.048955,1.0252358,1.2756889,0.8821496,1.3523769,0.51172495,1.13989,1.2907221,0.831861,1.3089559,0.9834689,1.2052667,1.3844202,1.4056101,1.1376263,0.3163197,1.1148547,0.89816207,1.1280086,1.3552462,1.3052154,1.2567201,1.0892086,1.1988785,0.2938794,1.1644571
fish,1.0050545,0.7266271,0.89262253,1.1956912,0.8876048,0.5607956,1.0717647,0.9375559,1.1253415,0.89619446,0.9981812,0.7328547,0.93246734,1.1710582,0.92892474,0.96441126,1.1308239,1.2110124,1.0936818,0.87216866,0.82444507,1.0668004,0.9461628,1.1355052,0.9301943,0.8755544,1.0564147,0.80241746,1.1571555,0.94440967,1.1840806,1.0910385,1.0962532,0.8784284,1.1962894,1.063932,0.865732,1.0065002,1.160931,0.86566305,0.0,0.9273821,0.6263549,0.7546208,0.7884678,1.2649784,0.7132459,1.0145695,1.0932604,0.7431627,0.8825022,0.8680598,1.1375382,1.0707836,0.783866,1.062813,0.9701466,1.0288999,1.1309516,0.9152876,0.7017572,0.9003129,0.85661197,1.0869526,0.9947539,0.9593221,1.0478729,1.0166247,0.76757634,1.0318198,0.7075632,1.0031124,1.0255678,1.1620648,1.1143273,1.0011386,0.9384198,1.2317579,1.0145983,0.9571947,1.0871387,0.89951444,1.0060694,1.0267454,0.91572785,1.213936,0.6595717,1.0328902,1.1249764,0.63043857,0.96103555,0.91363436,1.0601597,1.3609328,1.3432176,1.1795008,0.7763383,1.1169424,0.70389175,1.0201511,1.223136,1.2543572,1.2179667,1.0023904,1.1811972,0.878288,1.2203598
flower,1.1442716,0.79327416,0.5310736,1.3122166,0.9403183,0.8749602,0.9490418,1.0257679,1.4091809,0.81337726,0.9198197,1.2010683,1.276184,1.1105342,1.0257266,0.70861006,0.8802648,1.1120583,0.8470142,0.8205898,0.9054487,1.0408195,0.92312205,1.0111274,1.0100911,0.8433603,1.1921577,0.811175,1.1309325,0.8512556,1.0601966,1.0643866,0.93058956,0.89106125,1.1630167,1.1165519,1.1969368,0.93108714,1.163967,1.0543727,0.9273821,0.0,0.82366884,0.9471257,0.74201524,1.0724632,0.6941785,1.1887416,1.153298,0.9923827,0.8943011,0.73519385,1.1721232,1.2984471,0.8791113,0.7790969,0.79571295,1.3140672,1.2004958,0.89925754,1.0023655,0.9510826,0.60250974,0.95067734,1.221726,1.3484732,1.1857171,0.74796474,0.963284,0.92405957,1.1085982,0.8557942,0.39375222,0.9108518,1.0520912,0.60639036,1.2533104,1.3270074,0.5940772,1.0896006,1.3073295,1.0998471,1.2609508,0.9152736,1.0384836,1.3398068,1.0090978,1.3144882,1.1298511,0.71467036,1.1490465,0.5943887,0.9272016,1.0806395,1.3242838,1.0963962,0.95028085,1.2475524,0.93960583,0.9602426,1.3052857,0.681755,1.137215,0.6159806,0.87986636,0.90052277,1.0030317
frog,0.9900275,0.89289546,0.87278485,1.163625,0.8340503,0.7433572,1.1101476,0.9991795,1.0526044,0.9563409,1.0942998,0.84015405,0.88956857,1.1815509,0.8154604,0.9383952,1.0702777,1.014144,1.0761701,0.9188201,0.9171731,1.0372183,0.9883369,1.1084863,1.0049413,0.8604144,0.94569534,0.920047,1.1243645,0.98096484,1.0477728,1.060454,0.96806633,0.9441792,1.136612,1.0031314,1.1068336,0.8670236,1.2285018,0.9730811,0.6263549,0.82366884,0.0,0.919831,0.85813695,1.2692239,0.8921695,1.1192486,1.1574639,0.9004028,0.9116943,0.7981988,1.2015706,1.2200911,0.8399713,0.98167276,0.9708059,1.0812019,1.1814411,0.9391972,0.6985096,0.9602931,0.8639829,1.0134481,0.99877816,1.0902569,1.0016824,0.99690926,0.8075645,0.94264174,0.8821163,0.8029214,0.94930667,1.0475426,1.0022247,0.9234803,0.965177,1.1440325,0.8694679,0.8906255,1.1678439,0.95524246,1.1293256,0.99831766,0.965462,1.1947602,0.89609396,1.0206681,1.1130627,0.7291368,1.1358135,0.9378114,1.0733289,1.1982446,1.3131609,1.0415822,0.9306172,1.1661135,0.7351645,0.84756947,1.1405199,1.1566603,1.2125788,1.0281137,1.0922221,1.0402474,1.0206616
glasses,1.1027184,0.7738761,0.8791771,1.1751561,0.9299782,0.55628395,1.0327077,1.191891,1.3227181,0.4095286,0.8943427,1.0829821,1.213258,1.3959215,0.9432637,0.5214834,1.2453275,1.217464,1.0595654,0.8508488,0.77060914,1.1756742,0.99360764,1.1573634,0.7809893,0.8497508,1.2211328,0.24528861,1.2856483,0.5169552,1.2704551,1.2781074,1.2392749,0.6681643,1.0509046,1.2297987,1.0125918,1.0731044,1.2034724,0.2338857,0.7546208,0.9471257,0.919831,0.0,0.5588095,1.2252479,0.7259537,1.0870018,0.9782284,0.49066395,1.063755,0.84141624,1.236298,1.0238566,0.61562175,0.9627591,0.43430156,1.2640291,1.2280203,0.31098515,0.7136294,0.3566581,0.87293977,0.77930146,1.1924778,0.979089,1.1994723,0.69854414,0.5596458,1.1522492,0.68397224,1.082713,1.2223222,1.2482879,1.1141136,0.94818807,1.0215031,1.2635096,0.983265,1.0426093,1.046056,1.0491439,1.0372765,1.214848,0.84379673,1.334563,0.50425637,1.1963222,1.3129239,0.730628,1.2660849,0.9630845,1.1456988,1.3783302,1.4238393,1.2009921,0.40629888,1.2141597,0.94553024,1.0832689,1.397641,1.2701135,1.2766495,1.0347064,1.1735514,0.30448866,1.1505542
glove,1.1083338,0.5105606,0.756476,1.2031046,0.77864814,0.68642294,1.0047257,1.1896417,1.446342,0.41806018,1.0422382,1.2289951,1.33045,1.3935764,0.91661835,0.38357723,1.246977,1.2455734,1.0219828,0.75608563,0.6696937,1.1534308,0.88780975,1.1689959,0.79334205,0.99366444,1.2946396,0.5314965,1.4318097,0.6048275,1.1980431,1.2362074,0.9557806,0.61126137,1.2129788,1.3133949,0.9989303,0.8983163,1.1740503,0.6131117,0.7884678,0.74201524,0.85813695,0.5588095,0.0,1.3235092,0.7833283,1.1262246,1.1334925,0.46533358,0.9126242,0.4973306,1.4296224,1.0432347,0.6693423,0.9444336,0.46738768,1.0535697,1.2474959,0.5585562,0.6061482,0.52951866,0.8083574,0.8762554,1.1235962,1.1186569,1.2659279,0.6347816,0.741287,0.8459843,0.7459859,1.0954942,1.2345936,1.2784357,0.94734985,0.7538894,1.0414531,1.4490135,0.63020253,1.1113297,1.1006607,0.9110276,0.96090037,1.1858932,0.9065878,1.5233408,0.44342232,1.0604836,1.4446082,0.8066783,1.4069471,0.86587286,1.013223,1.3881139,1.578233,1.1821634,0.52989066,1.2735956,0.690193,0.991695,1.4441054,1.3297797,1.3422259,0.7279818,1.1576229,0.40385324,1.2030836
grass,0.79988235,1.2314878,1.2871797,0.905102,1.1956127,1.3550589,1.2612479,0.8708629,0.88627297,1.2203182,0.87375,1.0685301,0.9374401,0.57513297,1.3056856,1.2518367,0.9863436,1.136831,1.0479714,1.3207401,1.2714481,1.0094353,0.92795134,1.0810645,1.1868013,1.0999693,0.9196442,1.2254521,0.9290776,1.2210238,0.7332937,1.0474681,0.803538,1.2204812,0.904225,1.1090232,1.0441688,1.0070343,0.5231498,1.2208078,1.2649784,1.0724632,1.2692239,1.2252479,1.3235092,0.0,1.338191,0.79058284,0.88895065,1.2777872,1.2156283,1.1207433,0.48936242,0.7798553,1.2804594,1.1188891,1.181627,1.0154737,0.9511004,1.2023513,1.3644804,1.1470723,1.2890198,0.8940376,0.91134846,0.81451327,1.0242568,1.1697323,1.2942581,0.9037286,1.2458317,1.051882,0.8172817,0.99809724,0.8571607,1.2192087,1.2113211,0.8519516,1.1614094,1.171053,0.9308473,1.1463788,0.94513166,0.6981634,1.2823889,0.6644047,1.3992796,1.0484653,0.8531331,1.1524501,0.6253047,1.2396274,0.9960169,0.38326162,0.6532726,1.1516066,1.23407,0.85603774,1.2449847,1.1653991,0.78942394,0.50441885,0.8298068,1.0725598,0.80430776,1.2906063,0.96114355
gum,1.1657548,0.7756974,0.29447275,1.2975289,0.72551394,0.35892034,0.787362,1.1972079,1.4182699,0.7262222,1.0749944,1.0165892,1.2451097,1.3330172,0.969256,0.75364846,0.8745062,1.2184192,1.1342856,0.80570173,0.93394923,1.1227969,1.0986568,1.1401829,0.82374585,0.74942935,1.3066461,0.62939376,1.2538825,0.75819814,1.2075841,1.0049736,1.1141943,0.803644,1.2616894,1.0939182,1.1009545,1.0017387,1.2459087,0.75305873,0.7132459,0.6941785,0.8921695,0.7259537,0.7833283,1.338191,0.0,1.1423427,1.0305687,0.7867105,0.9428925,0.8774057,1.3413668,1.2455391,0.7902021,1.0571097,0.7652098,1.2277822,1.1894885,0.61760265,0.82193387,0.74154365,0.25622576,0.97073436,1.3200532,1.2379549,1.1598166,0.87519056,0.7625453,1.0267872,0.91547364,0.85462445,1.0708671,0.878049,1.152224,0.4398682,1.035842,1.3634381,0.848925,1.0581042,1.2767776,0.9984337,1.261847,1.1766124,0.97764015,1.3746939,0.7240819,1.2063572,1.058564,0.73722684,1.3009691,0.31802052,1.0958786,1.4390174,1.4014888,0.98730284,0.6995518,1.1336616,0.8918495,0.8587132,1.3087467,1.2007533,1.2077605,1.0092785,1.2118095,0.69724613,1.2062476
hair,0.9403987,1.0177641,1.2047637,0.7518846,1.1176026,1.1824149,1.1992253,0.9718208,0.88704115,1.2933528,1.1256913,0.7765053,0.8868977,1.0068662,1.2186737,1.3086987,1.0310607,1.2300727,1.2158197,1.2594922,1.2061161,0.99509084,0.7098079,1.1153677,1.0872976,1.078397,1.0266758,1.2195336,0.9885655,1.2535794,0.83604956,1.0602496,0.75599825,1.1589383,1.0111272,0.98938763,0.791393,0.96096885,0.7449219,1.0676516,1.0145695,1.1887416,1.1192486,1.0870018,1.1262246,0.79058284,1.1423427,0.0,0.7466183,1.0923592,1.1894543,1.0287706,0.7848011,0.8804595,1.2720401,1.2080594,1.2665648,0.8235569,1.0352999,1.163074,1.1778846,1.1042213,1.2173445,0.6524936,0.70374537,0.87558424,0.83355063,1.2968326,1.1660396,0.9716663,1.1348269,1.0667175,1.0554969,1.0310972,0.8393453,1.1664591,1.1603222,0.9772158,1.110481,1.1128749,0.8227384,1.08457,0.8256441,0.98244876,1.1902249,0.8140841,1.1899953,0.8596999,0.8892718,1.1362915,0.8967819,1.1633351,1.0825957,0.8477036,0.8905279,1.1645029,1.0576534,0.78538644,1.1694031,1.1755809,0.94903225,0.9443112,0.95600885,1.1602464,1.1418318,1.2779083,1.0663289
hand,0.8785783,0.8918279,1.0522959,0.7334101,1.1040295,1.1439909,1.1122555,1.0653911,0.9429013,1.3107231,1.1425027,0.70906794,0.9361769,1.1610626,1.0450515,1.3686421,0.85945106,1.2088523,1.2519782,1.2680855,1.2916843,1.037376,0.948918,1.165615,1.1196505,0.92104554,1.0640081,1.1504371,1.0406411,1.2294829,1.068086,0.9836122,1.1534455,1.2181618,1.0564957,0.99091613,0.8715267,1.0974977,0.7316251,0.8043468,1.0932604,1.153298,1.1574639,0.9782284,1.1334925,0.88895065,1.0305687,0.7466183,0.0,1.09951,1.1718282,1.2986844,0.89607185,0.73798054,1.2386546,1.2857858,1.302872,0.7330311,1.0991728,1.0964283,1.280801,1.0864674,1.0928075,0.6636225,0.6777356,0.9021621,0.7221583,1.2928687,1.0751554,1.2471144,1.1405251,0.83489275,0.99601567,0.78674906,1.0742104,1.0761883,1.120034,0.9593672,1.2822336,1.106362,0.82505107,0.8593652,0.85526574,1.0387902,1.2720264,0.8804364,0.97395253,0.7257797,0.7930783,1.1134528,1.0133057,1.0239948,1.1711627,0.9041704,0.9371321,0.89787143,0.6167431,0.55101496,1.256387,1.1827576,0.84778523,0.9706605,1.0283244,1.268163,1.199601,1.0842592,1.1002938
hat,1.2011924,0.69694674,0.91479397,1.2309004,0.76264834,0.47513133,0.9994656,1.1548064,1.2226511,0.4174444,0.9472909,1.0399072,1.0513192,1.3458954,0.9150642,0.570793,1.224098,1.2076669,1.0370284,0.7426082,0.6211058,1.1635325,1.0557531,1.07107,0.55321234,1.030469,1.1719608,0.5080338,1.2987071,0.5762832,1.3008362,1.176332,1.2143464,0.5966316,1.0292864,1.2083924,0.92653024,1.1353294,1.2913454,0.48766863,0.7431627,0.9923827,0.9004028,0.49066395,0.46533358,1.2777872,0.7867105,1.0923592,1.09951,0.0,0.979639,0.8023811,1.3455846,0.90157557,0.6407322,0.9883307,0.46656454,0.94409525,1.1728023,0.5232417,0.6338717,0.51774985,0.91886044,0.9443868,1.0880835,0.93073344,1.2419686,0.831598,0.6799685,1.0887511,0.43614185,1.0911963,1.2912102,1.2160892,1.1828544,0.8948234,0.8926364,1.290652,0.8923973,1.0589826,0.9129166,0.9266845,0.84815073,1.2747278,0.7783519,1.354958,0.41726184,0.9558239,1.2809042,0.98675644,1.3068318,0.998266,1.1101751,1.4547888,1.432019,1.1014467,0.6316712,1.2409711,0.8664365,1.1438129,1.4454291,1.3141537,1.2934186,0.95694935,1.2024754,0.46420872,1.122439
helicopter,0.9882548,0.85857004,0.8645695,1.1347626,0.9020684,0.8772428,0.92582214,1.0331553,1.1761955,0.95720303,1.142023,1.1275971,1.0955558,1.0492376,0.92731076,0.93464243,0.9407359,0.9948905,0.82136995,0.81115717,0.88612485,1.0004727,0.9527346,1.0367867,0.94063145,1.0710292,1.0256567,1.0081687,1.1100336,0.9844748,1.1165397,0.8820542,1.0062895,0.9761907,1.1502291,0.87580085,1.0619001,0.989626,1.1091428,1.106575,0.8825022,0.8943011,0.9116943,1.063755,0.9126242,1.2156283,0.9428925,1.1894543,1.1718282,0.979639,0.0,0.93847895,1.1270676,1.2019558,0.8686189,0.8735573,0.93027544,1.0946133,1.196132,1.0580524,0.9505381,0.98908967,0.82795984,1.15128,1.1543458,1.2670773,1.0709338,0.91069514,1.0212164,0.9316081,1.0130535,0.9876741,1.0582515,0.991487,1.1215303,0.83798265,0.9876001,1.107549,0.78418946,0.89321417,1.2246754,0.88784194,1.2325554,1.059992,0.9283045,1.1299645,0.915925,1.0636582,0.95011085,0.86622244,1.0139577,0.8879869,1.0993601,1.0653235,1.1601629,0.9976799,1.0276624,1.1418242,0.79241526,0.9311646,1.0818969,0.9397296,1.1831467,0.81132513,0.98535067,0.9890794,0.90158284
