,alligator,ankle,apple,arm,ball,balloon,basket,bathtub,bed,belt,bench,bib,blanket,boat,book,bottle,bowl,box,broom,bucket,can,car,cat,chair,clock,corn,couch,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,duck,elephant,finger,fish,flower,frog,glasses,glove,grass,gum,hair,hand,hat,helicopter,horse,hose,jeans,knife,ladder,lamp,mitten,motorcycle,nail,napkin,nose,orange,owl,pajamas,pants,paper,pen,pencil,penguin,pillow,pizza,plant,plate,pony,pumpkin,purse,refrigerator,rooster,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,sock,soup,spoon,sprinkler,strawberry,stroller,swing,table,tape,toe,toothbrush,towel,toy,tray,tree,tricycle,truck,vacuum,watch,window
can,1.2220743,0.87558836,1.0066545,1.0963397,0.8788536,0.7551434,0.77209496,0.84963095,1.1515884,0.67829347,0.69316626,1.2016736,1.1523626,1.0863839,0.6755738,0.58797413,1.2018099,0.7224073,0.77457833,0.4679538,0.0,1.0156429,1.1909368,0.71320856,0.73374736,1.1235862,0.95136666,0.7901307,0.9714678,0.7179761,1.246154,1.2572212,1.1921333,0.7121521,0.82117134,0.99185526,1.0194814,1.080716,1.3025098,0.834131,0.82444507,0.9054487,0.9171731,0.77060914,0.6696937,1.2714481,0.93394923,1.2061161,1.2916843,0.6211058,0.88612485,0.84254605,1.3335245,1.0808057,0.74189836,0.58938634,0.73362595,1.1665927,0.9355126,0.9273957,0.72557354,0.9209788,1.0350769,1.1632665,1.2276185,1.0854257,1.2379907,0.89921224,0.6985503,1.1207726,0.73007834,1.1502656,1.102969,1.256013,1.0860811,1.0307294,0.875197,1.0269605,0.8782484,0.8333869,1.100959,1.0104642,0.98567194,1.0834318,0.6763084,1.0068468,0.69171774,1.0732282,1.2530732,0.9245402,1.1544895,1.0481627,0.7505028,1.2797186,1.2414991,1.1140711,0.9245607,1.400249,0.9809822,0.8794356,1.3084253,1.1378753,1.100469,0.6172179,0.85771227,0.7106042,0.8120673
car,1.1119133,1.1399678,1.0899676,0.7861583,0.9566067,1.1513901,0.9544264,0.96059895,0.92234564,1.1267998,1.0107499,1.0984907,1.0040394,0.6757037,0.9327713,1.0991821,1.0394405,0.969345,1.0662293,1.1074798,1.0156429,0.0,1.0354466,0.86871266,1.0892273,1.0955737,0.8865783,1.2193925,0.9243492,1.1596794,0.9410065,1.0346209,0.94679785,1.1414378,1.0127809,1.0418515,1.0738361,0.9622005,1.1176888,1.2326075,1.0668004,1.0408195,1.0372183,1.1756742,1.1534308,1.0094353,1.1227969,0.99509084,1.037376,1.1635325,1.0004727,1.0610765,1.0239562,1.0940535,1.1367182,0.95291,1.1656177,1.0652745,0.6237512,1.2196013,1.1812584,1.1169206,1.0874008,1.0938121,0.9934002,1.0841545,1.0034431,1.0262287,1.0871819,0.99047714,1.1198993,1.0453452,0.9260157,1.0371859,0.99970067,1.0694666,0.8726679,0.9710751,1.0408432,0.9756799,1.0973066,0.9373924,1.0923725,0.81076026,1.0282052,0.7731116,1.131501,1.0233502,1.0031514,1.060963,0.94887465,1.0679444,0.6769087,0.88120365,0.94729525,0.97826916,1.1960888,0.98900634,1.1188183,0.4857009,0.9522746,0.93784523,0.4962026,0.8264734,0.8523036,1.1792066,0.93189996
cat,0.97302747,0.87584496,1.0197055,1.0892739,1.0210149,1.0902171,1.2449307,0.998068,1.1604465,1.1385152,1.1143016,1.0114661,1.1500056,0.9707573,1.183533,1.1144668,1.0580236,1.2408798,1.0304599,1.151122,1.1909368,1.0354466,0.0,1.1550432,1.0528725,0.99869466,1.1163149,1.0803496,1.2013351,1.1547209,0.6181146,1.0202345,0.36359954,1.0613711,1.1190422,1.1123363,0.98087776,0.75341725,0.8852544,1.0570884,0.9461628,0.92312205,0.9883369,0.99360764,0.88780975,0.92795134,1.0986568,0.7098079,0.948918,1.0557531,0.9527346,0.665354,0.9339308,1.0960412,1.067807,1.141263,1.0716956,1.0851496,1.1701168,1.0312586,1.0412073,0.88802403,1.0581914,0.69900477,1.008553,1.062203,1.0959538,1.068733,1.0252272,0.6095368,1.1565061,0.9674361,0.9829614,1.084873,0.7561068,1.0333703,1.2434361,1.2045088,0.7985994,1.1473359,0.9945663,1.0216055,0.9710754,0.9600558,1.0287216,1.1534019,1.0334852,1.1813718,1.0420756,0.95646477,1.0692046,1.0439901,1.0491643,0.88324,1.1600846,1.127762,0.9345425,1.0999321,1.0501829,1.1523389,1.1749464,1.0563684,1.144887,0.9756634,1.0334114,1.0791272,1.1017551
chair,1.204848,1.1088358,1.2030704,1.0450188,1.0687271,1.1564889,0.6057869,0.8427236,0.7159045,1.0586725,0.5059735,1.132874,0.9026933,0.83685195,0.8902375,1.0654793,1.1887633,0.59194887,0.7832099,0.9646731,0.71320856,0.86871266,1.1550432,0.0,1.0732818,1.2350894,0.67861086,1.2000489,0.25654048,1.1407169,1.1117269,1.1834445,1.1447053,1.0921224,0.73605615,0.7794228,1.0532578,1.1335741,1.1817887,1.1544392,1.1355052,1.0111274,1.1084863,1.1573634,1.1689959,1.0810645,1.1401829,1.1153677,1.165615,1.07107,1.0367867,1.164587,1.1198853,1.1131319,1.1338922,0.34960347,1.1116445,1.0084517,0.63764614,1.2106371,0.948736,1.1970897,1.2406522,1.2117672,1.014931,1.0081754,0.94646865,1.0649914,0.9676837,1.1490186,1.0083587,1.1344056,0.9328816,1.2084069,1.0973709,1.1879232,0.7126783,0.8343712,0.9986168,0.7343113,1.0153201,1.0115573,0.95054644,0.8520905,0.8275272,0.6668564,1.0737044,0.9829283,1.1541572,1.1808255,0.9515748,1.187457,0.57117003,0.95425135,0.66230756,1.0095297,1.2097259,1.0673327,1.0321548,0.79705685,1.0321566,0.9556309,0.6971602,0.6567528,0.6525304,1.1137356,0.6645235
clock,1.1056417,0.8688829,0.8644994,1.1419969,0.72838116,0.68178076,0.90343994,1.1153246,1.2343967,0.7343223,0.9950738,1.06295,1.1665955,1.2242898,0.84241736,0.75660884,0.9939201,1.0034492,0.9011408,0.67187804,0.73374736,1.0892273,1.0528725,1.0732818,0.0,0.98833805,1.1796697,0.76221406,1.2379167,0.7475041,1.2249734,1.0696291,1.1249174,0.46928263,1.0707375,1.0970114,0.9875113,1.0688456,1.2423422,0.7644181,0.9301943,1.0100911,1.0049413,0.7809893,0.79334205,1.1868013,0.82374585,1.0872976,1.1196505,0.55321234,0.94063145,0.8860843,1.2349709,1.1120371,0.6530056,0.996434,0.8172257,1.1947912,1.1273726,0.8757378,0.79045427,0.8370904,0.88036287,1.0010924,1.1809822,1.1058543,1.1327331,0.90325713,0.74894017,0.9967662,0.7589345,1.1161397,1.1263518,0.9606388,1.180487,0.93090755,0.91587746,1.2255504,0.8546589,0.8559839,1.099202,0.8830635,1.112659,1.2080033,0.67885643,1.1744871,0.63183725,1.16089,1.0783482,0.9117153,1.2166724,0.9017875,1.106393,1.3288223,1.2378935,0.8591163,0.8816236,1.1951405,0.96890295,0.99517006,1.2551963,1.2792537,1.1856443,0.9875659,1.106909,0.74422455,1.059946
corn,0.95712215,1.04771,0.89907056,1.1357392,1.0531249,0.86879766,1.1885264,1.1696103,1.02668,0.9863461,1.0267851,0.80524945,1.057709,1.1073788,1.0074841,1.0098538,1.0473928,1.2506294,1.2063651,1.0911124,1.1235862,1.0955737,0.99869466,1.2350894,0.98833805,0.0,0.9809014,0.78038245,1.1996918,0.9259765,1.124548,0.86951923,1.078896,0.9555894,1.1467394,1.0788219,1.0813389,0.91132784,1.0695804,0.8813738,0.8755544,0.8433603,0.8604144,0.8497508,0.99366444,1.0999693,0.74942935,1.078397,0.92104554,1.030469,1.0710292,1.041864,1.0056342,1.0492895,0.956087,1.1661723,0.96044916,0.92288613,1.1156596,0.79755783,0.931255,0.8718647,0.82564837,0.96991634,1.0308568,1.0228405,1.0842403,1.04503,0.8292887,1.0901469,1.0951438,0.9969727,0.9074566,1.0163555,1.1593267,0.9269515,1.0580935,0.95832634,1.0306317,1.1201025,1.0002735,1.0816705,1.0356646,1.016761,0.93401235,1.1329063,0.96694213,1.0248415,1.0548301,0.923818,0.95151573,0.92304474,1.1290877,1.1100116,1.1089578,1.0248181,0.81052566,0.94697016,1.0138562,0.9616337,0.95722234,1.0516481,1.0949165,1.1627929,1.1465207,1.0046277,1.1891475
couch,0.94579774,1.2976797,1.3587689,0.836758,1.1646451,1.2225125,1.088898,0.85368526,0.31528604,1.2315767,0.7715376,0.9261942,0.55681735,0.74955165,0.8913502,1.2294365,1.077565,0.7346848,1.01039,1.095967,0.95136666,0.8865783,1.1163149,0.67861086,1.1796697,0.9809014,0.0,1.2530361,0.67134476,1.1540252,1.0463529,0.8865553,1.1612738,1.223618,0.782426,0.8685267,0.9887473,1.1156307,0.8619409,1.2480755,1.0564147,1.1921577,0.94569534,1.2211328,1.2946396,0.9196442,1.3066461,1.0266758,1.0640081,1.1719608,1.0256567,1.3199602,0.7523829,0.9183204,1.1199371,0.8981788,1.2425109,0.82973444,0.8067372,1.3009768,0.9950525,1.2941874,1.3697679,1.2743357,0.756519,0.91295373,0.97523147,1.2191064,0.99025404,1.2119324,0.81322336,0.87431586,0.9054568,1.065975,1.090455,1.3133713,0.92487633,0.61515665,1.2637122,0.91215634,0.8999437,1.1412311,0.9205079,0.9144007,0.934478,0.64827013,1.2733407,0.7856196,0.8814523,1.3266665,0.7898259,1.3566179,0.87317014,0.85851985,0.66141415,1.0952345,1.3283176,0.9711209,1.027682,0.9459929,0.7423266,0.96090907,0.80917096,0.9835501,0.91240084,1.3493809,0.83775276
crayon,1.093226,0.8473335,0.77509594,1.3070369,0.96484745,0.52578956,0.9840194,1.1718103,1.4232891,0.24130416,0.8143329,1.2143807,1.324456,1.3447948,0.8604109,0.3356551,1.2061937,1.1941471,0.8711403,0.77310467,0.7901307,1.2193925,1.0803496,1.2000489,0.76221406,0.78038245,1.2530361,0.0,1.3168204,0.3243854,1.2643889,1.198838,1.2041595,0.4902897,1.087359,1.2428839,1.067627,1.0159003,1.2205818,0.26369977,0.80241746,0.811175,0.920047,0.24528861,0.5314965,1.2254521,0.62939376,1.2195336,1.1504371,0.5080338,1.0081687,0.69756263,1.335533,1.1198417,0.38409448,0.91760314,0.20019329,1.4025916,1.3371727,0.17806089,0.6413114,0.3438819,0.731369,0.91709566,1.3740122,1.1636357,1.3028123,0.4477489,0.45087492,1.0718936,0.5833943,1.1510837,1.2282053,1.1982725,1.1666127,0.8518581,1.0968058,1.3249896,0.8605594,1.0718801,1.1696854,1.1905463,1.2241875,1.161448,0.749059,1.4524751,0.62650347,1.359523,1.3647468,0.6394832,1.2614954,0.87876725,1.2264338,1.3790544,1.517168,1.1632559,0.5324975,1.3007314,0.8065248,1.0620704,1.4651539,1.2193,1.3598889,0.96390957,1.0588615,0.23254919,1.2089335
crib,1.0244,1.299381,1.2771568,0.91414815,1.1519637,1.3188114,0.6771935,0.75759244,0.5124159,1.2587098,0.6798455,0.90489876,0.70309514,0.7902076,0.970914,1.3029766,1.0630424,0.6175959,0.88211095,1.0936086,0.9714678,0.9243492,1.2013351,0.25654048,1.2379167,1.1996918,0.67134476,1.3168204,0.0,1.222955,1.0125414,1.0849477,1.1769228,1.2530124,0.70951265,0.66908795,0.9465705,1.1855621,0.94221306,1.2286675,1.1571555,1.1309325,1.1243645,1.2856483,1.4318097,0.9290776,1.2538825,0.9885655,1.0406411,1.2987071,1.1100336,1.3679795,0.9410878,0.96018714,1.3239788,0.5627735,1.274699,0.8774666,0.73294,1.2919579,1.0865315,1.3243091,1.2899463,1.2562914,0.83835065,0.91902506,0.70184195,1.1966805,1.1534946,1.2260727,1.0973583,1.0403748,0.86643815,1.0649304,1.0766672,1.2564114,0.8541411,0.67694026,1.1990755,0.81620324,0.871585,1.0996859,0.96796817,0.93196917,1.0287064,0.5408673,1.353112,0.87004054,0.9836388,1.276637,0.81797457,1.2170781,0.8165742,0.8314292,0.48384118,0.9803364,1.3469703,0.86013705,1.0336374,0.93524575,0.712976,0.7779368,0.69181114,0.90946436,0.7923653,1.3149483,0.71388334
cup,1.1810999,1.0411768,0.8436874,1.1937292,0.81207585,0.56678355,0.8305908,1.1079297,1.3504369,0.3415135,0.91570497,1.2546215,1.3163195,1.265142,0.7400923,0.19406074,0.88823646,0.9564819,0.8440821,0.41513133,0.7179761,1.1596794,1.1547209,1.1407169,0.7475041,0.9259765,1.1540252,0.3243854,1.222955,0.0,1.1948209,0.9820416,1.1536865,0.5972609,1.0397754,1.0592275,1.1799173,1.0583593,1.2565898,0.56104016,0.94440967,0.8512556,0.98096484,0.5169552,0.6048275,1.2210238,0.75819814,1.2535794,1.2294829,0.5762832,0.9844748,0.7945923,1.319326,1.1795635,0.573112,0.9922995,0.2620414,1.357129,1.3387313,0.44727814,0.71327746,0.5542011,0.7816391,1.1108956,1.363291,1.234161,1.2672039,0.57548815,0.6455833,1.0876215,0.59597546,1.103754,1.1732019,0.9035977,1.1201131,0.89543283,1.0992928,1.1925641,0.8832543,0.98600394,1.2423961,1.2044663,1.2845227,1.2903612,0.76410884,1.3182318,0.8136411,1.3175237,1.1656381,0.8348061,1.3280673,0.9239334,1.2634156,1.3160813,1.3101707,0.75669545,0.8538953,1.2639709,0.7794288,0.9944941,1.1897166,1.2038443,1.3285048,0.97700065,1.1142769,0.44236648,1.0546122
