,alligator,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,raisin,refrigerator,rock,rooster,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,spoon,sprinkler,strawberry,stroller,sweater,swing,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
crib,1.2680407,1.4805696,0.8010185,1.1517859,1.2776613,1.1762105,0.6866759,0.695971,0.29949963,1.4599979,0.5632906,0.6408189,0.9101982,0.4579575,0.7676108,0.98011094,1.406194,1.151353,0.2931075,1.3409929,0.9974492,0.87797356,1.2770015,1.2849896,1.0365491,1.4081616,0.84701324,0.43420827,1.3117014,0.59513295,0.6773648,0.7725977,1.3176777,1.0420935,0.56030595,1.3409557,1.477521,0.0,1.3466384,0.77857524,0.86096334,0.78445226,0.56561154,0.8132715,0.6994859,0.9151845,1.2500672,1.3884144,0.89502746,1.4044034,0.9205416,1.4494202,1.3070242,1.1534717,0.94652826,1.0523146,1.1102391,0.7487546,1.4977701,1.0882998,1.041,1.286976,1.0061574,0.82348466,1.047673,1.4336095,0.99236286,0.88531613,0.84191096,0.8620239,0.85335124,1.0348713,0.51291895,1.3882289,0.949025,0.6511084,1.243093,0.8696518,0.6876242,0.6166477,1.202558,1.0311078,1.5461552,1.0037165,1.459264,1.4051412,1.4910498,0.6830701,0.89198846,0.700221,0.9471195,0.6527977,1.4648333,1.299093,1.4337889,1.2812152,1.0443099,1.1431438,0.95039797,1.0119954,1.1402137,1.109801,0.6096717,1.1112363,1.433393,0.89984083,0.85942346,1.1047218,1.083252,0.88032186,1.0989112,0.868637,0.9884876,0.932653,1.0197418,0.6850653,0.7276881,0.76781076,1.5099653,0.91898507,1.4468777,1.0963339,1.3276675,0.9497634,1.4522135,0.6599808,0.90037185,0.9645953,0.34854913,1.1127295,1.5102742,1.4720969,0.9152674,0.98179835,0.80292094,0.5446123,0.71631384,0.7719152,1.0602398,1.5349079,0.8095752
cup,0.7667525,0.32424694,1.4879324,0.7434628,0.6594639,0.8790319,0.9607481,1.251728,1.4929922,0.47844166,1.513703,1.5465965,1.0836339,1.5279081,1.3203838,0.6888217,0.08913946,0.29798293,1.0706298,0.91112864,0.7398196,0.5324849,0.54359686,0.29115057,0.80607694,0.7237215,1.4064053,1.1804745,0.46909058,1.204565,1.1726362,1.3047507,0.9254525,0.9256159,1.4407165,0.91380423,0.30063558,1.3466384,0.0,1.4183693,1.0884005,1.2626991,1.2637184,0.9986596,1.09166,1.2692652,1.172919,0.7522451,1.194048,0.68124574,1.2813869,0.98397374,0.8133005,0.5561658,1.199826,0.71413505,0.9867416,1.2467021,0.37230575,1.227821,1.1123247,0.787301,1.28344,1.2966144,1.3855157,0.46430743,0.9337126,1.2680393,1.1957871,0.6906544,1.5073051,1.1467243,1.1920818,0.2233383,1.271678,1.2987407,0.75924635,1.0689007,1.4297192,1.0946403,1.0691513,1.3112061,0.4456631,0.91711426,0.84467536,0.8802724,0.6019807,1.0584756,1.1519529,1.5643641,1.3914542,1.2423364,0.51435876,0.76477236,0.5104632,0.63842285,1.2023224,0.54017,0.6430448,0.9187264,1.0669038,1.074737,1.1143593,0.59584796,0.7532402,0.7289089,1.4205298,0.86772186,0.92003,1.3751789,1.0591995,1.4205654,1.0629616,1.3868077,1.1098855,1.0260968,0.99015445,1.3331623,0.4694082,1.2511946,0.32133055,1.0411066,0.8610107,1.2121283,0.4557662,1.1023216,1.4032934,1.209996,1.3600624,0.38662,0.7513139,0.70853746,1.1619562,0.9805962,0.7974184,1.1365654,1.1712859,1.1410115,0.61617,0.46710008,1.125658
deer,1.1053209,1.3415372,0.6653353,1.1657789,1.343123,1.1403632,1.1005361,0.86136246,0.5888631,1.3569455,0.6070542,0.69774026,0.7898507,0.64128715,0.8449125,1.2362999,1.4134672,1.4396962,0.9955327,1.1256398,1.1200411,1.2598492,1.1733723,1.468166,1.1885483,1.3633456,0.30272186,0.8850715,1.2312816,0.8218326,0.9831511,0.99781555,1.0109211,1.1731251,0.5287015,1.119444,1.4639735,0.77857524,1.4183693,0.0,0.938367,0.2575248,0.80222553,0.9867954,1.0792583,1.0276923,0.9863732,1.2466793,0.6896151,1.2966028,0.7733752,1.2372334,1.1288614,1.1793478,0.9624771,1.2087741,0.9003311,0.77356386,1.3329058,1.0437425,1.0447638,1.3531129,0.79781294,0.85331535,0.93246937,1.355391,0.9890364,0.76899236,1.0502504,1.0340863,0.81819683,1.0961077,0.9149714,1.3307464,0.44773757,0.90210164,1.2111851,0.92242944,0.87714165,1.0522794,1.0890329,0.9016357,1.329235,1.0201013,1.2922978,1.1113759,1.2876282,0.9143387,0.68301964,0.8126482,0.94531363,0.89453185,1.397985,1.3394389,1.4002453,1.1930149,0.93434703,1.1470853,1.2534521,0.8378301,0.9868585,1.082609,0.98268557,1.2434307,1.195537,1.1448379,0.7810092,1.0061202,1.1944237,0.70832086,1.1578662,0.8669493,1.0536101,0.94828457,1.0150435,0.8892087,1.0373403,0.8541411,1.4048715,0.84828407,1.3478442,1.1592516,1.3350703,0.886053,1.3873436,0.9835119,0.82052165,0.9776802,0.8014168,1.207385,1.2682468,1.3034151,1.0203942,1.0705917,1.1559201,0.9912355,0.88626504,1.0270991,1.1394061,1.3772796,0.9158543
dish,1.2441267,1.2586081,0.96008533,1.0069658,0.9946966,0.6357564,1.1132808,0.7843513,0.91394746,1.3251549,0.7933826,0.93966836,0.93341136,0.9209707,0.91100216,1.1889951,1.1910498,0.87580085,0.8137985,0.9943584,1.0533612,0.74107516,1.0954883,1.3109188,1.1191384,1.1581208,0.96094453,0.9965972,1.2228826,0.9161372,0.7320171,0.8856087,0.89464605,1.0461519,0.8503623,1.0466657,1.3078176,0.86096334,1.0884005,0.938367,0.0,0.9726807,0.8802083,1.1293172,0.9119059,1.0666738,1.0885837,1.0348974,1.038872,1.2427428,0.7871238,1.2103671,1.0295894,1.2258453,1.1190934,1.0842738,0.8917836,0.7388044,1.3315954,0.9763362,0.91186666,0.9041988,1.0126585,0.8704767,0.9590578,1.2454455,0.9507747,0.80044305,1.0465982,0.73497045,0.89525676,0.86467487,1.0555336,1.3122855,1.0525078,0.9202063,0.95581067,0.7544837,0.9228016,0.8966741,1.0078304,0.895833,1.2918782,1.0311741,1.2890837,1.1495734,1.1016679,0.93094337,1.1163282,1.0074981,0.94994664,0.9460543,1.2819537,1.1769116,1.2419058,1.3501176,1.0765358,1.2758852,0.6866988,1.0827677,0.9516139,1.1986626,0.9017728,1.1411071,1.2100124,1.121382,0.902455,1.1049865,0.8833579,1.0211366,0.9011565,0.96768826,0.96512103,1.0084538,0.8062946,1.0628155,0.45051754,0.85358953,1.3137999,0.9654243,1.2607772,1.1086403,0.8892219,0.7737116,1.2534895,1.001451,0.9815983,1.1647843,0.74994254,0.889412,1.3003328,1.2174772,0.9066483,1.1867491,0.85818946,0.6071525,1.0921004,0.95146483,1.1831298,1.3141887,1.1255286
dog,1.0912613,1.2690983,0.82256925,1.0074903,1.2207208,1.1727633,1.0101868,0.9646704,0.685696,1.3458995,0.71844286,0.79907393,0.8066576,0.74575347,0.87496877,1.186466,1.266895,1.3212543,0.9695248,1.1068559,1.0798883,1.1479591,1.102185,1.3537378,1.0401335,1.4092801,0.2281878,0.8307303,1.0869461,0.8476608,0.9849588,1.0445573,1.0567113,1.1068192,0.6027843,1.1827965,1.3897715,0.78445226,1.2626991,0.2575248,0.9726807,0.0,0.8027067,0.93634707,1.1554132,0.9929623,1.1132387,1.2051604,0.6101025,1.2349362,0.86150336,1.3712187,1.1359009,1.0896287,1.0548565,1.1377444,0.8829293,0.8421488,1.3221045,1.0855229,1.0437701,1.3010503,0.90041924,0.9653458,1.117791,1.2860901,0.8433998,0.784366,1.0984039,0.95943767,0.98459923,1.2052361,0.95455,1.2369444,0.41245222,0.96472377,1.1147836,0.9446529,0.96435773,1.0095823,1.1415389,1.0435853,1.3139721,0.93640685,1.3600094,1.1202906,1.3139353,0.9184987,0.5420782,0.95972264,1.0521034,0.9460949,1.3998454,1.3674787,1.3631968,1.0821409,1.0002848,1.0010717,1.2355478,0.6051488,1.0423176,1.1003859,0.9357644,1.1243656,1.2350962,1.0454681,0.9291022,0.8395297,1.181827,0.7925683,1.2157011,0.9482667,1.0218025,1.0282867,1.1016843,0.83500296,1.0790622,0.9380164,1.3344736,0.8682262,1.2432739,1.1398547,1.3384355,0.9073344,1.3108848,0.8930333,0.94071865,0.9313833,0.82969457,1.0594621,1.3441731,1.3537494,1.0600224,1.0284883,0.9926428,1.0093906,0.83723253,0.9683376,0.9824346,1.393952,0.94350183
doll,1.223756,1.1717324,0.8862649,0.97515714,1.0173078,1.0525023,1.0013964,1.1138327,0.7373532,1.3105649,0.9561828,0.7359912,1.034842,0.71100414,1.0419189,1.0851377,1.2164248,1.1600667,0.80652666,1.0487671,1.1374776,1.0145001,1.0898186,1.2800287,1.1618208,1.2418259,0.9504614,0.853053,1.1021205,1.0564328,0.95274615,1.1077279,1.0695276,1.0988746,0.8249227,1.0705525,1.303016,0.56561154,1.2637184,0.80222553,0.8802083,0.8027067,0.0,1.1152165,1.0086619,1.0238644,1.1186079,0.98767,1.0343857,1.1850252,0.80180836,1.0310582,1.1645787,0.9872703,0.9195156,1.1957058,0.8425691,1.021656,1.2413064,0.7757135,1.1334885,1.0898384,0.9509691,0.69888633,0.8114163,0.9283606,0.84024876,1.0160917,1.0184888,0.9852426,0.9332855,1.1840177,0.98763525,1.3093269,0.9819257,0.7391245,1.1241003,0.9878145,0.6020702,0.91389906,1.0761758,1.006257,1.168965,0.94899046,1.114378,1.1329945,1.0236328,1.1634614,0.9611444,0.65183014,0.9920368,0.85297817,1.242403,1.1202221,1.2960691,1.0829117,1.0542902,1.0582722,1.0489559,0.8484885,0.8147346,0.6225037,0.8668145,1.1236063,1.1961491,1.1964498,0.99315774,0.89746463,1.0039008,0.9508779,1.0241004,0.91506755,0.8906635,0.9753678,1.0873107,1.0143839,0.96729374,1.073099,1.1882585,1.1770095,1.2172902,0.8833008,1.202496,1.0608627,1.2149051,0.7856637,0.96942526,0.91950643,0.67790645,1.0684351,1.0351957,1.2148231,1.1177937,0.8939492,0.56425536,0.9081322,0.8525661,1.0153021,1.1020596,1.2426963,1.1274037
door,0.9857754,1.1483011,1.0175626,1.1360934,1.1679574,1.2294111,0.914425,0.63371354,0.87791413,1.0519061,0.81106126,1.088148,1.1514369,1.0399531,0.86616737,1.0708244,1.0682701,1.1441041,0.8845443,1.0653377,0.68763506,1.0301061,1.053038,0.8997553,0.82842684,1.1830969,0.9149773,0.65422624,0.9370973,0.56773907,0.9651292,0.9930692,1.112967,1.1274544,0.8314246,1.1617279,1.1443398,0.8132715,0.9986596,0.9867954,1.1293172,0.93634707,1.1152165,0.0,0.7765559,0.7670663,1.0403237,1.2489547,1.0341449,1.0607146,0.95694345,1.1973855,1.1324155,1.0301129,1.0565485,0.8781546,1.1936523,0.9574017,1.0818536,1.1589297,1.0898521,1.3126707,0.9469709,1.0473223,1.0985701,1.1802818,1.1113591,0.96486616,0.98473614,0.9530495,1.06586,1.0372899,0.6210703,0.83853126,1.0562158,1.0856234,1.101969,1.0523267,1.1349692,0.9085372,1.1696697,0.9747723,1.1678603,1.0289406,1.0707033,1.0268269,1.2677205,0.49057114,0.920074,1.0510633,0.9522748,1.0607467,1.1431333,1.1727055,1.1078864,1.0133556,0.9241951,0.88854045,1.2005949,1.0437995,1.1567165,1.0528511,0.9842639,1.0098556,1.1347283,0.42747736,1.170702,1.108725,1.1397948,1.0656109,1.1489732,0.93354136,1.1028075,0.9114796,1.0863096,0.3807845,0.9373607,1.0798498,1.1182171,0.9959819,1.0229622,1.2027715,1.1885991,0.997906,1.0979939,0.7935547,0.9548965,0.93849176,1.0938284,1.020138,1.169982,1.182994,0.9898652,1.0420091,1.1595634,1.1133348,0.99095446,0.80647063,0.69498277,1.1687951,0.45931172
drawer,0.82806057,1.1870979,1.0691508,1.0659343,1.0950887,1.0044171,0.7177982,0.8268448,0.95173675,0.9360603,0.8425745,1.2038121,1.1037529,1.014847,0.868242,0.74860555,1.1261526,0.9472671,0.5605502,1.1251905,0.8015576,0.9379439,1.0154698,0.87268317,1.0065603,0.9861374,1.1605628,0.7466556,1.1147225,0.7130181,0.7474661,0.75979483,1.1753972,1.0086207,0.9711809,1.0825601,1.0781605,0.6994859,1.09166,1.0792583,0.9119059,1.1554132,1.0086619,0.7765559,0.0,1.1232513,1.0776732,1.0772773,1.1472661,0.9827023,1.1505274,1.0262082,0.94133174,1.0843432,0.96640754,0.858375,0.98579586,0.9659136,1.1484635,0.9930173,1.0876086,0.9749181,1.1441306,1.0291398,1.046071,1.1435288,1.0298775,1.0619961,1.0483583,0.82520175,1.0768831,0.7235573,0.6336905,1.0424852,1.0710646,1.0518544,1.0462062,0.9975522,1.1017925,0.9694533,1.042764,1.0164645,1.208921,1.0635906,0.9936594,1.0848829,1.1692991,0.6847706,1.1532295,1.1583894,1.0175077,0.93316674,0.96003485,0.8901714,1.0366747,1.0348222,1.0002927,1.0787553,0.92290205,1.1197563,0.9545002,1.0127308,0.87278175,0.86314857,1.0208495,0.7364328,1.1031523,1.1103023,0.9375418,1.1217412,0.9059418,1.1725299,0.9619063,1.0344422,0.8074014,0.78428787,0.8055687,0.9963823,1.0378474,1.0942287,1.1482369,0.9951385,0.81346357,1.0606315,1.1077157,0.89439654,1.2008593,1.1619395,0.8687561,0.9908738,1.1330581,1.0841,0.9013712,0.99025774,0.971293,0.79730296,1.1329966,1.0206836,0.9600271,1.0751624,0.94786215
dress,1.1986408,1.2952344,0.7080032,1.2949035,1.2554965,1.2729588,0.9344822,0.9507635,0.80785996,1.1559252,0.6900264,0.71196496,1.040878,0.8357599,0.8743732,1.2058048,1.2507973,1.334614,1.0952171,1.0891992,1.0520035,1.1354668,1.2018986,1.1238543,0.85149276,1.1686617,0.8517145,0.76925296,1.196373,0.84675413,0.98664784,0.89415437,1.1298449,1.1278148,0.78423715,0.98228556,1.2763636,0.9151845,1.2692652,1.0276923,1.0666738,0.9929623,1.0238644,0.7670663,1.1232513,0.0,0.96354085,1.2640611,1.0284765,1.178221,0.8265152,1.0723734,1.2141981,1.2901456,0.9762555,1.0207278,1.3355391,0.90899587,1.2021885,0.7898414,1.032894,1.2740899,0.6704908,0.9297567,0.8943979,1.2479988,1.1803585,0.9967673,0.8166117,1.1293851,0.51629865,0.9801558,0.81230414,1.1829265,1.028521,0.89693695,1.2225573,1.0239257,0.8105116,0.7643432,1.0941137,0.7804218,1.2487614,1.1274984,0.9876948,1.1255256,1.2206963,0.72391,1.0586299,0.5812517,0.4087361,1.0006803,1.2419882,1.2359473,1.2099661,1.144478,0.6800005,1.1748804,1.3312272,1.0998169,1.0837626,0.89897513,0.91282547,1.1813188,1.1396545,0.8182646,0.84261066,1.1925478,1.2081054,0.8893082,1.1864984,0.29390848,1.0774441,0.37767267,1.1062316,0.8580053,1.1514237,0.91242486,1.207705,0.986009,1.2387594,0.99936914,1.2184622,0.9373462,1.2665241,0.8279515,0.5911085,0.72442216,1.0087044,1.2930044,1.104109,1.2219474,1.0195527,1.0646015,1.2777113,1.0795171,1.0531139,0.62591815,1.0527143,1.151396,0.7217451
ear,1.0640953,1.0407479,0.9463086,1.1981474,1.0837255,1.0833802,1.2383612,1.0802243,1.1802845,0.94612557,1.1127435,1.005741,0.98562205,1.111704,1.095581,1.2031543,1.1395332,1.1831882,1.3083671,0.9216027,1.1496824,1.1850563,1.0714164,1.1194164,1.0583047,0.8932784,0.960864,1.2692393,1.1142938,1.0960797,1.1351651,1.0245553,0.81068695,1.1866008,1.1097571,0.68048024,1.030609,1.2500672,1.172919,0.9863732,1.0885837,1.1132387,1.1186079,1.0403237,1.0776732,0.96354085,0.0,0.9571334,1.0440887,0.5420877,0.8303451,0.5609602,0.95110816,1.1659918,0.9921714,1.1218817,1.0085963,1.0165346,0.7996447,0.991387,0.96929574,0.92816174,0.68525064,1.0715127,0.67047125,0.99254686,1.1194462,0.97821593,1.0868503,1.1643257,0.99478215,1.1071031,1.1450832,1.1062144,0.91212237,1.108465,1.1819859,0.9599064,1.0043153,1.0741422,0.58713704,0.8549336,0.8286109,1.1107153,0.60336614,0.4399976,0.9331173,1.1400056,1.0510625,0.93819904,0.9641897,1.0938679,0.9218861,0.93057895,0.93336606,1.1375637,0.91913915,1.167582,1.1705345,1.1241109,0.9219786,0.8857596,1.1465638,1.0271233,0.6921421,1.1779631,0.9893359,1.0753788,0.98974836,0.9920354,1.1556387,0.95214206,1.0384326,0.9599095,1.1604583,1.092084,1.1350126,1.0960866,0.9340012,1.0603769,1.1117946,1.1382573,1.0348585,0.980139,1.0057898,1.1771659,0.9290906,0.99591804,1.2116599,1.2041171,0.629135,0.6265655,1.0142583,1.144319,1.2551237,1.1805722,1.0929319,0.9625201,1.2482995,0.73807406,1.0023988
egg,1.008594,0.5657099,1.217772,0.46669745,0.35787702,0.69349647,1.2240673,1.262899,1.3863919,0.85348123,1.406797,1.3499974,1.1533304,1.3228505,1.2987287,1.0408614,0.7140642,0.7254847,1.3003074,0.7136237,1.067307,1.0396694,0.85312235,0.865423,1.0332541,0.7246747,1.2931321,1.3732288,0.758816,1.2678623,1.1631322,1.2389652,0.7250613,0.93592733,1.3449218,0.7300933,0.7105113,1.3884144,0.7522451,1.2466793,1.0348974,1.2051604,0.98767,1.2489547,1.0772773,1.2640611,0.9571334,0.0,1.2121247,0.6125635,1.1029632,0.6511949,0.81005466,0.8739228,1.0871983,1.09193,0.88226676,1.2005651,0.77183104,1.0385318,1.0756072,0.5322371,1.0843548,0.9382507,1.0340211,0.50027835,0.8909128,1.2552803,1.2931876,0.9532632,1.2072732,1.1853836,1.3803625,0.7963511,1.1592592,1.2429672,0.67905116,1.0571191,1.163963,1.2574348,0.8995338,1.1359109,0.52887505,0.957291,0.67716956,0.6154681,0.3428365,1.4190345,1.1703839,1.2578015,1.1947993,1.220207,0.7405447,0.81168383,0.70346624,0.817512,1.1050988,0.954011,0.9138041,0.8923508,0.4045334,0.6876392,1.2742844,0.98019373,0.699908,1.2156861,1.1219163,0.80174017,0.7739183,1.2700747,1.0100276,1.2084882,1.1254776,1.2230862,1.0926269,1.3059477,1.1373599,1.1941099,0.7452613,1.1921467,0.64146507,0.9951688,0.7638519,1.1204965,0.56867874,1.2553663,1.2117195,1.133486,1.3461753,0.771597,0.6272135,0.771391,1.1942117,1.0144033,0.7872177,1.2639549,1.175109,1.2849227,1.0065423,0.72250074,1.2881863
elephant,1.028647,1.1676698,0.8959148,1.0998747,1.1773748,1.1937226,1.042282,0.79384255,0.7428029,1.1250639,0.80706084,0.8081299,0.85907656,0.79454094,0.975278,1.0955672,1.1949886,1.1985116,1.0441582,1.0953811,1.2018831,1.1688079,1.0435662,1.1525748,0.9877646,1.2281177,0.5266871,0.93304193,1.0789796,0.81810987,0.92694044,0.96587145,1.1119597,1.1237594,0.7920049,1.1369059,1.1946212,0.89502746,1.194048,0.6896151,1.038872,0.6101025,1.0343857,1.0341449,1.1472661,1.0284765,1.0440887,1.2121247,0.0,1.1024688,1.0195317,1.2011284,1.1123816,1.2018085,1.1026044,1.0837085,1.0710249,0.99286526,1.1103231,1.1175997,0.7999662,1.2202699,1.0796387,1.021344,1.0330114,1.2093168,0.94758517,0.9861617,0.7755155,1.137065,0.9034465,1.0862797,1.0312501,1.1162821,0.71134955,0.88000625,1.0608339,1.0370963,1.0011787,0.98805577,1.144711,1.0025586,1.192908,1.0829939,1.2176771,1.0963389,1.1798608,0.9250812,0.5891638,0.87892836,0.9973973,0.9752924,1.2203814,1.2316996,1.1825459,1.0069246,1.025526,1.0751921,1.1669627,0.86661494,1.1741985,1.1380666,1.0153056,1.0872679,1.1730716,1.0210932,0.8236165,0.98748475,1.0722529,0.8046758,1.1401087,0.94506216,1.054733,1.0206351,1.1101675,1.0270431,1.0560306,0.92998123,1.1695634,0.72511446,1.1509299,1.0493896,1.1904037,1.0327988,1.1796024,0.97620386,0.9238819,0.96319705,0.8791031,1.0899109,1.2409192,1.1974882,1.0924903,1.0916374,1.1146148,0.93609834,0.71297896,0.99438137,1.0761956,1.1399102,0.8683853
eye,0.78395784,0.5900895,1.3085891,0.8262255,0.7205076,0.9478301,1.1496998,1.209199,1.4157447,0.57084656,1.4352677,1.377275,1.030175,1.3749444,1.2197702,0.93693644,0.61567223,0.80012524,1.3577297,0.9433732,1.0362022,1.0459713,0.77147275,0.6699636,0.90662575,0.73630154,1.2094638,1.357504,0.686939,1.1973579,1.2236562,1.1912023,0.87278545,1.0917134,1.3861332,0.6464679,0.55958235,1.4044034,0.68124574,1.2966028,1.2427428,1.2349362,1.1850252,1.0607146,0.9827023,1.178221,0.5420877,0.6125635,1.1024688,0.0,1.1001211,0.6325926,0.7230976,0.82980067,1.1068668,0.9117812,0.8464809,1.2678752,0.43987674,1.1366475,0.99829966,0.6452582,1.0414404,1.2416054,1.0561471,0.5473268,0.9452436,1.1949497,1.1592712,1.1507416,1.2797823,1.2005076,1.2898084,0.5845541,1.1056347,1.3486195,1.0112997,1.1085985,1.3502187,1.1395245,0.814485,1.1637199,0.46473378,1.1009164,0.6341007,0.434394,0.6635597,1.2813557,1.0446492,1.3248614,1.2263628,1.2372112,0.5782733,0.7700712,0.5888078,0.78563,1.133487,0.86808074,0.92057186,0.9616698,0.92391473,0.92200387,1.2674305,0.7601676,0.5283602,1.0438178,1.2515558,0.8449625,0.95933783,1.2638726,1.1769226,1.2461693,1.0146253,1.19561,1.2019901,1.1656024,1.2325358,1.2668256,0.4998585,1.1574385,0.63983893,1.1355251,0.9043019,1.0750077,0.62239915,1.2285725,1.2265244,1.0958732,1.4065019,0.9073709,0.5463919,0.5223505,1.1609213,1.1085078,0.94170403,1.332058,1.1242763,1.1346807,0.92432034,0.41210365,1.0988642
face,1.3241935,1.2086785,0.72934866,1.1843387,1.2318811,1.0459031,1.2711091,0.8408425,0.77411556,1.3070654,0.78571427,0.72360325,0.9583628,0.86131865,0.9098763,1.2398701,1.2725391,1.3015984,1.0224485,0.9973025,1.1538765,1.1951749,1.2558923,1.38936,1.0783985,1.2532175,0.8605967,1.068736,1.1960831,0.8276799,0.99444973,1.0275326,0.9784079,1.2451383,0.7014702,0.9671025,1.3349489,0.9205416,1.2813869,0.7733752,0.7871238,0.86150336,0.80180836,0.95694345,1.1505274,0.8265152,0.8303451,1.1029632,1.0195317,1.1001211,0.0,0.96819925,1.1741664,1.205376,0.99810636,1.2888117,1.0445663,0.8201077,1.11832,1.0698837,1.00792,1.2232101,0.33174288,0.7536113,0.78682697,1.1859621,1.1183153,0.926254,1.011329,1.1091272,0.70208454,1.117769,1.0863367,1.2646554,0.945642,0.944117,1.2426808,0.89489335,0.9487077,1.0021528,0.8102599,0.8230421,1.1050284,1.1459746,1.0387658,0.88288134,1.1112968,0.95029175,1.0706187,0.74442345,0.77429307,0.90028954,1.2859151,1.2221172,1.2392042,1.3630391,1.047354,1.2192476,1.127754,1.087028,0.9896067,1.0128078,1.0556629,1.246819,1.0446464,1.1091918,0.85283774,1.1682518,1.1575925,0.979164,1.2612321,0.553819,1.0662019,0.7789911,1.0826902,1.0136998,0.9990127,0.82431984,1.2883056,0.93953806,1.2654859,1.2746973,1.3773584,0.8522167,1.2739584,1.0925932,0.49891376,0.88030136,0.82856584,1.2067833,0.9619331,1.0724795,1.1227626,1.2756708,1.1013817,1.0316144,0.96319574,0.8996373,1.2200998,1.1948509,0.8694529
finger,0.99429226,0.7349089,0.93307215,1.0996056,0.89222765,0.95539445,1.2848265,1.2659322,1.41729,0.69250363,1.3363676,1.2229933,1.1866119,1.3363011,1.1682844,1.0297959,0.89679915,1.0013266,1.3990922,0.71628237,1.1324073,1.1986408,0.92961234,0.8670692,1.1149095,0.55298793,1.2997835,1.3813684,1.0886779,1.2871829,1.237514,1.0763142,0.76596874,1.0244696,1.3514558,0.65075475,0.6698043,1.4494202,0.98397374,1.2372334,1.2103671,1.3712187,1.0310582,1.1973855,1.0262082,1.0723734,0.5609602,0.6511949,1.2011284,0.6325926,0.96819925,0.0,0.8852979,1.0858144,0.7872763,1.0890423,1.035428,1.2615098,0.6140524,0.7330611,1.0695534,0.678124,0.8903338,1.013313,0.3831249,0.66195536,1.131845,1.3135748,1.1524532,1.2682915,0.9744417,0.98598546,1.2760947,0.9310669,1.1517844,1.0966145,1.0052702,1.2007918,0.99456745,1.3132062,0.5630522,0.89558417,0.46505982,1.113203,0.38916683,0.59750783,0.5279395,1.337497,1.2436411,0.9716431,0.9115243,1.1843814,0.50551075,0.502983,0.6583283,0.9651255,0.8893008,1.1567305,1.0578724,1.1227467,0.8191472,0.6757756,1.3559632,1.0930386,0.53860855,1.1755934,1.0640072,1.0723335,0.8963023,1.1288596,0.9815857,1.0202384,1.0187039,0.9019068,1.0451249,1.3318856,1.1965414,1.2343384,0.621652,1.1726462,0.84456784,0.8022058,0.79152465,1.2226927,0.6994325,1.3002195,0.98844385,0.92307186,1.3626894,1.1675662,0.16446382,0.38287783,0.9881739,1.0120431,1.1594262,1.3770003,1.2332115,1.2343825,1.2013146,0.45350826,1.2070966
fish,0.44295657,0.73698723,1.3618346,1.0009214,0.7901989,0.6700788,1.0702196,1.1028944,1.383281,0.55372006,1.3377781,1.3083537,0.7706006,1.2959642,0.945255,0.7975426,0.7814575,0.82310236,1.205136,0.93975306,0.9175035,1.0020792,0.7646023,0.59691906,0.75798106,0.5865921,0.9865781,1.2752161,0.73770744,1.3050448,1.2763004,1.1695225,0.96910864,0.9740953,1.3388672,0.7827467,0.6401562,1.3070242,0.8133005,1.1288614,1.0295894,1.1359009,1.1645787,1.1324155,0.94133174,1.2141981,0.95110816,0.81005466,1.1123816,0.7230976,1.1741664,0.8852979,0.0,0.7862083,1.1303573,0.7556368,0.36184496,1.165554,0.71610355,1.0709138,0.94330204,0.7599877,1.1647291,1.2470367,1.2197678,0.748376,0.649111,1.2038544,1.0469333,1.2041607,1.2462716,1.0322958,1.3211836,0.6629148,1.0080767,1.2633339,0.97234344,1.2204412,1.3171533,1.0723081,0.98020065,0.92894,0.800366,0.9717377,0.8525096,0.8332989,0.85050833,1.2706528,1.0569179,1.3092612,1.2056857,1.1036754,0.7703413,0.8751905,0.49034816,0.7283911,1.1146526,0.84422404,0.71396035,0.8246769,1.067905,1.0973469,1.2158989,0.9164758,0.7424751,1.1594267,1.1273527,0.7138328,0.8280374,1.2115843,0.86239356,1.2633361,1.0855174,1.2380965,1.033939,1.223392,1.0135895,1.1406333,0.68445605,0.98622745,0.6233433,1.1453011,0.7754903,0.9609796,0.6975268,1.2440138,1.307541,1.2355361,1.3057601,1.0810848,0.8211474,0.70420283,1.0934306,0.9293065,0.9027735,1.2814851,1.1022873,0.9622219,1.0546747,0.79774153,1.0507619
