,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coat,coffee,comb,cookie,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,ear,egg,elephant,face,finger,firetruck,fish,flower,foot,fork,frog,giraffe,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pastry,pen,pencil,pickle,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rock,rooster,sandwich,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
cracker,0.68118,1.2372041,1.1794968,0.89888954,1.1596105,1.1209234,0.9745891,0.9702889,0.8277704,0.91604525,0.942147,1.0121477,0.86515963,0.9874169,1.0608183,0.74990225,0.95920205,1.0085825,1.0072696,1.0015985,0.9425357,1.0247281,1.066336,1.0764407,1.0033714,0.9686393,0.99044555,0.6933959,0.9443432,1.0865198,1.1019738,0.84923273,1.0087327,1.1317505,0.7183622,1.0313269,1.0134516,0.0,1.0984603,0.8285942,1.0733703,1.1294376,0.89456004,0.8332088,1.1535605,0.9292318,0.909857,1.0109891,1.1475663,1.0415733,0.9750782,1.0929396,0.97770524,0.89980435,0.89375174,1.1065646,1.1826352,1.2066178,0.9355429,0.8808139,1.1016688,1.0387235,1.0156482,0.87340504,1.0883183,0.9651329,1.0944642,1.1787698,0.8928108,0.94005984,1.0534532,1.0462221,1.126734,0.9834786,0.9780014,0.9208747,0.8763124,1.1460478,0.98833936,1.0095565,0.9371965,0.976854,0.7106055,1.0158935,0.92962813,1.0885137,1.0795257,1.1797388,1.0590005,0.7448461,1.0651063,0.9914,0.7190954,0.88221526,1.0620099,1.0404717,0.96963865,1.0797883,1.0058479,0.97861415,0.84560645,1.0280522,1.1625379,1.1782848,0.9750759,1.1131963,1.0514479,0.80450094,1.0973312,1.104181,1.0958225,0.91981775,1.2159728,0.9770187,1.1307714,1.0229563,1.1143386,1.0169675,0.90001446,0.9680514,1.1171781,0.86097443,0.96376103,0.9972971,1.0139948,1.1753898,1.083052,1.0365518,1.1196045,1.0826684,0.9030503,1.2119496,1.1000417,1.074599,1.0089906,0.9374138,1.2955835,0.9281481,0.97093755,0.9517936,0.99387753,1.13885,0.91757965
crayon,1.4718792,0.5497768,0.34243232,1.4441813,0.7531747,0.34373522,0.48028427,0.764222,1.5158396,1.1427146,1.531823,0.33488125,1.4631542,1.3658464,1.0054747,1.531235,1.3420638,0.9767966,0.29282564,0.43585545,1.2691052,0.5848559,0.65862715,0.96056306,0.5659803,0.92675364,0.9950159,1.4292984,1.2243903,1.0465236,0.592687,1.3848069,1.3264205,1.3051974,1.0381714,0.6139939,1.4659212,1.0984603,0.0,1.5646021,0.37560964,0.82251775,1.1995538,1.4182467,1.164552,1.2564774,1.1553004,0.63442194,0.7375474,1.3147889,1.3048085,0.7301362,1.210559,0.5055603,0.6043169,1.1364479,0.41810048,0.49827194,1.2803718,1.4560353,0.3947733,1.1473583,0.5929371,1.2247918,1.1983111,1.2281524,0.8632733,0.7908361,1.3502877,1.4643855,1.0294046,1.4309819,0.40036702,1.1479809,0.39867127,0.43768466,0.88328725,0.6138173,1.2866138,1.3519261,1.2346536,0.625106,1.356842,0.32725495,0.71173644,0.6463533,0.8053479,0.6371317,1.2309953,1.1998558,1.1479343,1.4494134,1.4249722,1.3904412,0.12562776,0.16504347,1.0048217,0.94160795,0.73110265,1.1897541,1.2015165,0.91000044,0.8743901,0.6097098,1.2988185,0.5241439,1.1655555,1.3095034,1.1929778,0.9296137,0.80876195,1.2751399,0.60215175,1.4757807,1.1836357,1.3272378,0.48439085,1.3379883,0.6541278,1.42155,0.41540658,1.3404132,0.52350163,1.252295,1.0828044,0.27100587,1.3365126,0.52337843,1.3833666,1.4461154,1.5531666,0.37925154,0.563002,1.1829594,0.469105,0.4975741,0.55810404,1.302601,1.1501467,1.2305933,0.5274843,0.41289747,1.1986115
crib,0.6826973,1.4562982,1.6113449,0.69166994,1.40229,1.5505754,1.3352205,0.91013765,0.36719096,1.024403,0.29371738,1.3618858,0.3030393,0.7843424,1.1407087,0.51151574,0.56602776,0.88061464,1.3886945,1.4449894,0.5130726,1.515885,1.2073004,1.156776,1.0880783,0.9126955,0.95234936,0.6775736,0.38372254,1.2128414,1.2447834,0.3134166,0.8021796,0.74252665,0.9322202,1.2716303,0.45681632,0.8285942,1.5646021,0.0,1.3860123,1.1992993,0.98064417,0.7147304,0.92572874,0.456195,0.56002593,1.3565856,1.4349773,0.8365867,0.83398503,1.4054654,0.7564969,1.434444,1.2395985,1.0368551,1.3382936,1.4588811,0.84873205,0.6585617,1.4372644,1.0733964,1.4571977,0.9757704,1.1140121,1.0605739,1.2640053,1.2675614,0.7507255,0.66822356,0.9945484,0.70548946,1.3571832,0.52162683,1.3011609,1.3037667,1.295681,1.4303589,0.8728879,0.9414819,0.6226635,1.3527375,0.8587933,1.5253377,1.1933689,1.4015758,1.2972548,1.4725926,0.5077666,0.9889137,0.95544845,0.672215,0.68112624,0.6572226,1.5053704,1.4765737,0.92585856,1.1392503,1.0614386,1.07366,0.7235428,1.2466774,1.2208728,1.4779172,0.55276763,1.1534549,0.53916925,0.8203367,0.918893,1.3109721,1.3827666,0.83651435,1.1842201,0.6967047,1.0175378,0.86168635,1.2955761,0.42745852,1.0291967,0.5295937,1.520118,0.69875574,1.3632119,0.95110404,1.21987,1.5109316,0.8632202,1.4440242,0.44833225,0.71384346,0.43431473,1.4907955,1.5208542,0.8364366,1.3611349,1.27169,1.2569623,0.7553377,0.87632143,0.6669962,1.0118629,1.4933752,0.6686435
cup,1.5786364,0.709045,0.4213314,1.4959359,0.71934724,0.2950002,0.62051535,0.6042742,1.385977,1.178062,1.4739968,0.43981016,1.3612224,1.4022155,1.0603498,1.5633581,1.2129679,1.0363616,0.13415575,0.21807837,1.0498873,0.62443423,0.21248317,1.0511334,0.29141837,0.89889807,1.1176296,1.4206622,1.0232477,0.96691173,0.6341833,1.2818664,1.2906437,0.97602427,1.156615,0.74015796,1.4096801,1.0733703,0.37560964,1.3860123,0.0,0.9236911,1.0952026,1.3471801,1.1750842,1.1055304,1.1430136,0.7585002,0.69514436,1.3207811,1.2931254,0.9087535,1.1558788,0.8821655,0.6497469,1.1907067,0.6052657,0.8081677,1.2707462,1.33044,0.44374198,1.222662,0.7730431,1.2385894,1.1865011,1.3154918,0.8921835,0.81655884,1.4062088,1.4675435,0.59376436,1.5197394,0.6192354,1.0640409,0.3117453,0.3618436,0.9603836,0.7186662,1.1462948,1.3611512,1.2115538,0.78451914,1.396644,0.4321103,0.52346635,0.83161765,0.95327306,0.6356439,1.0338726,1.2524704,1.3050605,1.4551836,1.3974402,1.3685865,0.3965034,0.4843107,1.1519661,0.925558,0.7092756,1.07696,1.0717903,0.70265704,0.88902175,0.61135626,1.2387116,0.42910624,0.93053937,1.3586814,1.1913227,0.93953407,0.7741995,1.361203,0.9288851,1.4873343,1.2116984,1.3299438,0.53660965,1.2606864,0.5670771,1.3410857,0.5825962,1.416022,0.56027484,1.2196083,0.9518481,0.45411354,1.1940331,0.7699675,1.3226712,1.4430948,1.4703952,0.30417573,0.68963003,1.2007556,0.7914217,0.41995788,0.7212089,1.194274,1.1087588,1.1932895,0.5221053,0.5952498,1.0560342
deer,1.1187097,0.97423124,0.9661157,1.2664624,1.0144461,0.89573056,0.81350756,0.8748065,1.2512603,1.0355817,1.2659291,1.0055048,1.2655561,1.2606671,0.31754524,1.271018,1.14059,1.034316,0.9126477,0.94975406,1.167028,0.9629767,0.89800215,0.78401184,0.9452102,0.9004698,0.88373494,1.1261563,1.1090546,0.83519405,0.84315354,1.1152574,1.2045962,1.0769266,1.0727036,1.08524,1.2931615,1.1294376,0.82251775,1.1992993,0.9236911,0.0,1.0270244,1.094492,0.96438134,1.1028922,1.0558292,1.0536373,1.0384644,1.1970106,1.1931082,1.1069502,0.9995775,0.995886,0.8571118,1.1464372,0.64714116,0.78879297,1.0774122,1.1643438,0.8179526,1.0054929,0.95979416,1.1528356,1.0116184,1.1263528,1.0681224,0.39854282,1.0361532,1.2902408,0.84413946,1.2555484,0.5655387,0.8939191,0.9163054,0.8920125,1.0993086,0.6772119,1.1231683,1.1223295,1.0597006,1.1378689,1.1609217,1.0576817,0.9526156,0.9290418,1.1033942,1.0297993,1.0326722,1.0683742,1.1666216,1.2676891,1.1798484,1.2308457,0.817026,0.8238921,0.85034186,0.9136162,1.0010297,0.9803233,0.9643467,0.9120095,0.63379264,0.94750285,0.9500733,0.889248,0.9946263,1.1696337,0.9487238,0.89998883,0.71254164,1.1649308,0.7113204,1.2516192,0.98768914,1.2103026,0.68464375,1.123764,1.0521705,1.1781132,1.0349793,1.1959164,0.9603712,1.0460885,0.8516493,0.6271903,1.0290371,0.8936698,1.1054603,1.2649088,1.2616214,0.8730815,1.0690331,1.1281674,0.9157961,0.95568967,0.7515892,0.98505944,1.132128,1.0898325,0.89957154,0.8930197,1.0233624
dish,0.9146186,1.2175769,1.1226434,1.0640862,0.96875256,1.1466136,1.0444326,0.81159866,1.04234,0.9367486,1.0385942,1.2702185,1.0986594,1.0342624,0.8944515,0.9650673,0.90960157,0.9495882,1.1890497,0.85375166,0.74363124,0.9490997,0.9543154,0.8119111,1.1589724,0.9387733,0.7704388,0.9936028,1.1523442,0.7246153,1.112455,0.96710384,1.086605,0.85671043,1.2237707,1.1052294,1.1295247,0.89456004,1.1995538,0.98064417,1.0952026,1.0270244,0.0,0.8981059,0.9658215,1.1099843,0.9696227,1.243071,1.0087141,1.1472466,1.0470927,1.227354,0.91166306,1.1272151,0.68533003,1.0405353,1.1394112,0.9519716,0.88072914,0.96059054,1.2708287,1.081066,0.7354219,1.1387718,0.8095962,1.0442892,1.2684225,1.0194926,1.0346655,1.0160235,0.8044531,1.1588805,1.1198866,1.0238429,1.2813989,1.1767963,0.85545677,1.0112401,0.768,0.9565086,1.0096635,1.2491853,0.7305193,1.2426425,1.034102,1.3496724,1.2673032,1.0608194,0.9945185,0.9691145,1.0222132,1.1630973,0.8976455,1.0803204,1.2929024,1.2839532,0.9554967,0.89374316,1.1617051,0.72028804,0.88650316,0.62198216,1.0144761,1.0672681,0.9949636,1.0613813,1.036597,1.0050521,0.9188208,0.92384696,0.7633468,0.93940145,0.86786515,1.0162432,0.9399242,1.08768,1.1474812,1.0774387,1.0825533,0.93225133,1.3172905,0.95524603,1.2064513,1.0240072,0.6324679,1.1194111,0.99158937,1.0484061,1.0468345,1.0873644,0.80768573,1.0212554,1.3106056,0.90436614,1.0097475,1.1241004,0.8639013,0.3745321,1.1134131,0.94031113,1.2255436,1.3778644,1.1044636
dog,0.3906319,1.3404253,1.328294,0.7713892,1.1489764,1.3843457,1.2118777,1.2181716,0.7864848,0.5476986,0.7368634,1.3074983,0.8001009,0.8207711,1.0049304,0.70178235,0.8912491,1.0710077,1.309519,1.3223847,0.97058576,1.2761706,1.2880911,0.9505417,1.2743726,1.1298974,1.0409471,0.21363997,0.9847357,1.0606606,1.2262439,0.88004863,0.79892856,0.9196413,1.0329698,1.2415267,0.7381216,0.8332088,1.4182467,0.7147304,1.3471801,1.094492,0.8981059,0.0,0.86432874,0.9146485,0.99978304,1.2488406,1.1446656,0.79776263,0.8055699,1.2905431,0.93639636,1.0675367,1.136911,1.0166248,1.3472505,1.174144,0.8532051,0.8110031,1.264569,0.9395132,1.3023832,0.8712545,0.9914427,1.0286516,1.1692421,1.0439615,0.90562946,0.7635269,1.0515015,0.83745694,1.3504076,0.9944272,1.3213675,1.3050638,1.1360643,1.2319145,0.8747158,0.848775,0.807009,1.2597253,0.77982605,1.313113,1.245976,1.3460269,1.1254419,1.1885005,0.92453736,0.7772894,1.044937,0.80257964,0.84963155,0.7396075,1.3990679,1.3721113,1.0692533,0.6994335,1.2257135,0.9901863,0.82671916,1.1870452,0.85326254,1.189734,0.9422427,1.2309133,1.0025967,0.80871177,0.78200567,1.1899397,1.1407914,0.8101542,1.2216564,0.7708995,0.96951526,0.97315127,1.2315447,0.8667755,1.2635269,0.7630404,1.3478291,0.74511826,1.1680961,0.86618954,1.0352259,1.4236109,0.82908076,1.3377578,0.80701554,0.8044286,0.75669634,1.3589702,1.3123534,0.981529,1.263984,1.3003232,1.179529,0.9452797,0.96380883,0.92010564,1.1990788,1.3865571,1.0038128
doll,0.9112366,1.0510048,1.0406194,0.99138236,0.98901004,1.1116863,1.1524665,1.0746529,1.1451981,1.0066003,0.75537455,1.270645,1.1299081,0.65834624,0.9243951,0.8383633,1.1079723,0.8529937,1.1816257,1.251637,0.94653195,1.2484676,1.1272149,0.9230623,1.251474,0.9143879,0.7879721,0.9763993,1.16737,1.072921,0.9731277,0.98393583,0.95968515,0.98390734,1.1372952,1.1667281,0.97965515,1.1535605,1.164552,0.92572874,1.1750842,0.96438134,0.9658215,0.86432874,0.0,1.0762616,1.1567876,1.0805295,1.0193391,1.0866973,0.77772176,1.0750554,0.7303414,1.19431,0.998249,0.8678831,1.0704939,0.9043119,1.0121354,1.0275148,1.0742491,0.861653,1.0254701,0.92955077,1.0485494,0.94332343,0.9942942,0.9517846,1.092142,0.8996584,0.9445516,0.96991205,1.1425909,0.9703647,1.2366564,1.1627421,1.1911174,1.0995314,0.9769711,0.6813116,0.8515345,1.1484437,0.9376616,1.1167847,1.2274153,1.1209984,1.0180569,1.0793507,1.1191729,0.90887505,0.62494415,1.0749584,1.0108757,0.9705356,1.1626253,1.1596491,0.82975787,0.78017235,1.1145996,1.0355518,1.0054268,1.1703931,0.8927489,1.0669461,0.9605771,1.0841964,1.1571388,1.0633785,0.8644812,1.0858103,1.0980101,0.93835163,0.89144915,0.81607354,0.84507143,1.0251992,1.1421996,1.0703014,1.3549498,1.0074946,1.1151171,0.9262843,1.0729929,0.88646656,1.1243466,1.1404694,0.8736134,1.1025639,0.818004,0.89680207,0.8978025,1.1161026,1.0658149,0.71748626,1.0548632,1.2252761,0.6444349,0.9576761,1.0837615,0.76089156,1.1842269,1.1406504,1.0745193
door,1.0120264,1.1383917,1.2991047,1.0154289,1.2700423,1.1810024,1.1178844,0.90165037,0.47913033,1.0735488,0.7311106,1.0930698,0.5374478,1.018409,1.1065638,0.9226859,0.9267917,1.0805087,1.0662557,1.2613493,0.7835088,1.1719677,0.9884383,1.1846586,0.7050643,0.94662446,1.090596,0.87268174,0.42069352,1.1770338,1.0982348,0.37599516,0.9009595,0.93312675,1.0177796,0.9947144,0.7688776,0.9292318,1.2564774,0.456195,1.1055304,1.1028922,1.1099843,0.9146485,1.0762616,0.0,0.59553695,1.0596069,1.2523322,0.97419834,1.0063137,1.1023004,0.92115515,1.3626983,1.0964442,1.0115,1.1052556,1.2333311,1.037784,0.8732881,1.1792725,1.0611277,1.3356664,0.9081795,1.157264,1.0186052,1.0800389,1.1883641,0.8876972,0.9098768,0.9124692,0.9872861,1.1019934,0.5188602,0.9034369,0.94725484,1.1490037,1.180414,1.0002023,0.994444,0.7838357,1.2024882,1.0648452,1.2437078,0.95661414,1.0675817,1.1043658,1.2510464,0.62392974,1.1451429,1.0303868,0.7668189,0.94676983,0.76459736,1.1820223,1.1582332,1.0725002,1.1199671,0.9299694,1.098146,0.7009487,1.1928144,1.1784353,1.2222208,0.86589235,1.0758662,0.4477842,1.1257858,1.1386399,1.1503313,1.1911036,0.93427163,1.1976725,0.92689705,1.0602454,0.75966465,1.0783343,0.5804983,0.8600071,0.9491732,1.1824957,1.0513924,1.0816104,1.0375466,1.1320705,1.1584036,0.90500516,1.202705,0.7715293,0.8905804,0.9224693,1.2754229,1.1760851,0.99794906,1.0971256,0.9347043,1.2277634,1.0714447,1.0264583,0.9276996,0.6601695,1.2020047,0.6097206
drawer,0.9781493,1.1542952,1.2930825,0.93847895,1.2451507,1.2310737,1.2106521,0.7610687,0.5037707,1.130086,0.75779545,0.9693811,0.42014492,1.0405574,1.0294274,0.86027485,0.60846496,0.85377854,1.1862929,1.0999115,0.49730635,1.1521446,0.9240279,1.1627212,0.87362695,0.7782747,1.1038711,0.9900157,0.53136194,1.1714461,1.0522004,0.63313866,1.038418,0.8685032,0.8737478,0.93782705,0.73542804,0.909857,1.1553004,0.56002593,1.1430136,1.0558292,0.9696227,0.99978304,1.1567876,0.59553695,0.0,1.2432809,1.2572933,1.0685725,1.0650573,1.1744294,0.93325347,1.1679667,1.15973,1.0625123,0.99535197,1.1727763,0.9950933,0.84507287,1.2853208,1.0826172,1.1607374,1.1382877,1.1286659,1.024214,1.1823735,1.1599953,0.7289843,0.98092,1.0236685,0.85282564,0.8914895,0.8092102,1.0516967,1.090368,1.054087,1.0863619,1.032607,1.0934641,0.96848285,1.1498371,1.1218629,1.3603535,0.8837981,1.0897068,1.2105899,1.2329476,0.55994177,1.1891395,1.084177,0.83525,0.7937074,1.0076737,1.1165379,1.1217558,1.0688529,1.0759978,0.8072792,1.118028,0.9105143,1.0033549,1.1419735,1.210933,0.68391925,0.8861715,0.6366277,1.0627637,1.1730464,1.1359262,1.1023759,0.9115175,0.9906924,1.0511749,1.0557033,0.8425617,1.0856968,0.7801372,0.56016076,0.7724025,1.2395968,0.9642139,1.2012608,1.0418184,1.0645041,1.0601642,0.91213095,1.125286,0.8590028,0.9961778,0.7968657,1.1109899,1.3122783,0.9377196,1.0844772,0.97586644,1.1175133,0.78406054,1.0176513,0.9041678,0.87910706,1.2007362,0.8035762
ear,1.3434393,0.58729315,0.60496587,1.1850619,0.93838567,0.6061608,0.93550116,1.0881778,1.2916731,0.99701864,1.334304,0.6068632,1.2420391,1.0872554,1.1839993,1.3585591,1.3113381,1.1762218,0.7200041,0.87994516,1.3389342,0.8143748,0.92701536,1.191989,0.74061453,1.0745611,1.2033125,1.2349949,1.1206473,1.1914501,0.97843415,1.207681,1.0394069,1.1898568,0.934092,0.74073285,1.2150491,1.0109891,0.63442194,1.3565856,0.7585002,1.0536373,1.243071,1.2488406,1.0805295,1.0596069,1.2432809,0.0,0.8092941,1.0747256,1.0306747,0.28253847,1.1587232,0.8607826,0.92349386,0.9405477,0.8290368,0.94512624,1.1445074,1.1587801,0.5375124,0.91789305,0.8589748,0.7665024,1.0499378,0.7389934,0.5293314,1.0648042,1.2019206,1.2258248,1.10913,1.1548628,0.9163521,1.1255746,0.6440932,0.60681677,0.8963916,0.90725577,1.2600567,1.031017,1.0940237,0.3464893,1.1638513,0.4193251,0.9096578,0.3363648,0.29519993,0.82419145,1.2555054,1.1379602,0.95739824,1.043384,1.2876816,1.1083899,0.59728676,0.5601299,1.123208,1.1980574,0.854002,1.2167022,1.0837191,1.1348813,1.0523734,0.83748424,1.3281096,0.9318666,1.1355551,1.2220267,1.2322804,0.88705975,1.0075079,1.0991913,1.1053083,1.1928352,0.99723893,0.9175196,0.87019575,1.2371364,0.9165976,1.3480234,0.3192495,1.2912358,0.7294842,1.0934815,1.1853021,0.72573847,1.1535336,0.6208464,1.185293,1.13497,1.390557,0.90363157,0.24898154,1.0947878,0.6349808,0.78522044,1.0838786,1.3642757,1.1418889,1.2022384,0.7831054,0.38580012,1.1718559
egg,1.3186705,0.65132564,0.34896052,1.249242,0.09484208,0.4428627,0.75761783,1.032917,1.369514,1.0389,1.3466527,0.82963884,1.3230658,1.2117535,1.0118277,1.3809242,1.249789,1.2101712,0.7398946,0.61867064,1.2605872,0.56043184,0.8563004,1.0756702,0.90919316,1.128474,1.1485488,1.1947049,1.2847393,0.8732293,0.8926871,1.3873485,1.1338025,1.1195674,1.2128348,0.81935954,1.2983446,1.1475663,0.7375474,1.4349773,0.69514436,1.0384644,1.0087141,1.1446656,1.0193391,1.2523322,1.2572933,0.8092941,0.0,1.1116226,1.0457168,0.74630404,1.2390114,0.76117027,0.8590113,1.1052682,0.8998731,0.8383174,1.0963022,1.1549023,0.7040213,1.1630349,0.75981885,1.0124928,0.9006675,1.1079861,0.81708163,0.9046315,1.2446586,1.2855141,0.8482198,1.2640216,0.9185816,1.2996216,0.73458505,0.82463306,0.8337569,0.69575113,1.0969628,1.204351,1.1921818,0.7870885,1.1985139,0.5548525,0.91466427,0.7653604,0.70848835,0.116592646,1.289886,1.0423949,1.188638,1.2352768,1.297758,1.16637,0.7824984,0.75967145,1.2076727,0.90782875,0.9923764,0.95789015,1.1978228,0.7985383,0.92356277,0.20725101,1.387095,0.8924959,1.2486196,1.207916,0.92222476,0.9037987,0.58290756,1.2650748,1.0428389,1.3050175,1.1754817,1.1680474,0.8852816,1.2988327,0.95345163,1.3797399,0.6682037,1.3220342,0.6942534,1.2002271,0.7518164,0.74613017,1.0076071,0.7706697,1.2545615,1.2524595,1.375303,0.5877914,0.5602767,1.1108692,0.9908023,0.9254138,0.8788642,1.2449431,1.0646461,1.2485056,1.0335801,0.73857856,1.2194965
elephant,0.66960347,1.0614952,1.2544229,0.54050016,1.0708512,1.244185,1.2350149,1.3729659,0.7241912,0.76349854,0.71892345,1.23662,0.78962755,0.81927466,1.2120466,0.677443,0.8494756,1.1575351,1.2840319,1.3580563,1.1198695,1.3231808,1.2958362,1.1729826,1.2202698,1.2796848,1.0779812,0.7358911,0.97265625,1.1364967,1.2759936,0.94392943,0.83021915,0.9687947,0.98506254,1.2417843,0.6853097,1.0415733,1.3147889,0.8365867,1.3207811,1.1970106,1.1472466,0.79776263,1.0866973,0.97419834,1.0685725,1.0747256,1.1116226,0.0,0.83718777,0.9442894,1.0533279,1.0028157,1.3407099,0.8589574,1.2573735,1.3249657,0.9213507,0.84497815,1.2424675,0.86495733,1.2601783,0.86150044,1.0434769,0.83215165,1.019637,1.157962,0.8500093,0.6786478,1.1509869,0.53734595,1.2944782,1.0835792,1.2416809,1.3216593,1.142891,1.2822734,1.0115157,0.8256243,0.9338974,1.0537698,0.7568767,1.1639682,1.2444233,1.023198,0.9767475,1.11139,0.94787174,0.83730197,0.86241436,0.4686374,0.9695399,0.668671,1.2977338,1.2712551,1.0448601,1.0669258,1.1570778,1.1281662,1.0332419,1.2860701,1.080774,1.1366675,0.9339502,1.2608827,0.94799715,0.6368474,0.97879624,1.1481661,1.2293845,0.8759778,1.2024634,0.6866245,0.8501991,0.6661798,1.2057148,0.6758702,1.197985,0.6998408,1.1301697,0.7317555,1.2652519,0.7600687,1.1804601,1.3649029,0.8831449,1.319397,0.84832114,0.6640005,0.8028872,1.3052418,1.0482945,0.94262654,1.1967382,1.2167405,1.3345959,1.1373955,0.84803736,0.97748226,1.1369641,1.1311662,0.93543506
face,0.8431625,1.2595725,1.1622062,0.67693675,1.1086982,1.2553061,1.2614673,1.292499,0.8698487,1.006763,0.75693583,1.2466121,0.8807069,0.62516135,1.111221,0.78863543,0.97688085,0.9836271,1.2559227,1.2835944,1.0099163,1.2709695,1.3273116,1.034371,1.335526,1.0740652,0.9475718,0.8357101,1.1091383,1.066499,1.1540353,0.8490566,0.68244386,0.94585466,0.8686647,1.1482595,0.7293143,0.9750782,1.3048085,0.83398503,1.2931254,1.1931082,1.0470927,0.8055699,0.77772176,1.0063137,1.0650573,1.0306747,1.0457168,0.83718777,0.0,1.01644,0.9436952,1.2000222,1.224349,1.0536242,1.2738719,1.1340544,0.93155855,0.730442,1.1391903,1.0231695,1.1515462,0.5998404,0.9111578,0.82697535,0.8426513,1.1941904,0.92984915,0.5149205,1.2075588,0.7469076,1.346724,1.1383189,1.2741922,1.2398047,1.1182735,1.2184843,0.8319044,0.94601333,0.8290987,1.0063754,0.8995611,1.0746351,1.3839568,1.0589527,0.8416494,1.0942589,1.0476532,0.8890122,0.91585433,0.7762208,0.828786,0.86418015,1.2606878,1.2794473,0.9588187,1.1259841,1.3080878,1.0481533,0.96249056,1.1886622,1.129217,1.1258991,1.0258143,1.3170046,1.0539917,0.9472624,0.8283848,1.1584264,1.1666191,0.8490389,1.1792288,0.6176062,1.0332036,0.8394176,1.4014921,0.90146714,1.3212842,0.84119165,1.1293025,0.8475479,1.2456496,1.0334255,1.005345,1.3555827,0.7753725,1.1528234,0.8313388,0.62482387,0.7972735,1.2821332,1.0267438,1.0154806,1.1923165,1.4108185,1.1795657,0.9902571,0.87486523,0.8942227,1.2524323,1.1692126,0.9450903
finger,1.3536141,0.5006119,0.66088444,1.017964,0.84516656,0.6333463,1.0188043,1.1956522,1.2145355,1.0255944,1.302302,0.6881449,1.2297164,1.0746391,1.2092443,1.3591863,1.3306631,1.1774938,0.88570505,0.98749876,1.3418901,0.82139087,1.0124888,1.2253464,0.86442417,1.180165,1.2318938,1.2851251,1.1550435,1.1893849,1.0594041,1.316236,1.0433707,1.2017063,0.9213193,0.8102395,1.2150173,1.0929396,0.7301362,1.4054654,0.9087535,1.1069502,1.227354,1.2905431,1.0750554,1.1023004,1.1744294,0.28253847,0.74630404,0.9442894,1.01644,0.0,1.2362229,0.8641622,1.0539895,0.77579963,0.8581675,1.0117451,1.0924001,1.0635902,0.67335457,0.7191842,0.7779937,0.75748175,0.986,0.36470926,0.5541911,1.0901773,1.0429422,1.1878691,1.1289161,1.0760043,0.89415944,1.1846193,0.7623606,0.77133685,0.80308914,0.8918109,1.2470441,0.88011444,1.1756327,0.3883567,1.091658,0.5036143,0.9244108,0.26091754,0.3317716,0.7878625,1.3436763,1.24776,0.8574966,0.9956236,1.2136967,1.0577743,0.6289273,0.5670452,1.1552715,1.1545893,0.8655976,1.2024182,1.1732192,1.1504452,1.078749,0.8321558,1.351875,1.0366199,1.2368993,1.22844,1.2729986,0.80652785,0.9584093,1.0553217,1.0695388,1.1475626,0.86390203,0.82321197,0.9217679,1.2459686,0.877112,1.3316648,0.34329015,1.2983679,0.749004,0.9867769,1.1516354,0.78032285,1.1337119,0.7151847,1.2266284,1.0845935,1.3764129,0.92604846,0.12992716,0.9967807,0.5765823,0.89944065,1.1476731,1.3458397,1.1200148,1.2493467,0.9362906,0.35553575,1.1565241
