,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,cloud,coffee,comb,cookie,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,firetruck,fish,flower,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,helicopter,horse,hose,jacket,jar,jeans,knife,ladder,lamp,meat,melon,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pasta,pastry,pen,pencil,penguin,pickle,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,refrigerator,rock,rooster,sandwich,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stick,strawberry,stroller,sweater,swing,table,tape,toast,toe,tooth,toothbrush,towel,toy,tray,tree,tricycle,truck,vacuum,watch,window
comb,0.7472633,0.94803005,1.257306,0.8015233,1.1784976,1.0665958,1.0431905,0.9496536,0.841426,0.7728448,0.8024384,1.074399,0.87033105,0.69636905,0.83351713,0.5917801,1.2241893,0.7667008,1.2399935,1.1677592,0.939531,1.0904006,1.0425237,1.0765041,1.0109966,1.0778376,1.1306268,0.9359512,0.8209671,1.0158105,0.9551899,1.0990347,0.9841807,0.90707225,0.9133386,0.0,1.1876403,0.86739945,0.8449421,1.1196148,0.82525766,1.2145413,1.0466028,1.0736723,1.095724,0.9828938,0.73566616,0.9323595,1.1625187,1.2322528,0.80963296,1.1452144,0.99417853,0.96741253,0.7814125,0.9506608,1.2044258,1.0584067,1.084911,0.8822327,1.1745689,0.9536121,1.0200412,1.0153799,0.9516271,1.0715306,0.8899738,1.1531401,0.9844748,1.0623702,1.0692537,0.8705587,1.2469705,0.8211894,1.0127391,1.2235351,1.1033261,1.0939081,0.9959968,0.81919533,1.0129069,0.97939557,0.9968727,1.2123129,0.81275725,1.0371779,0.92454803,1.1051803,0.99743456,0.99739873,0.71374285,0.82229793,0.7562803,1.1007639,1.0873067,1.0574033,1.0670971,1.1434041,0.90713334,0.8464341,0.983926,1.1000787,1.0364293,1.0319405,1.13061,1.3508737,0.9558025,1.087439,0.9188793,1.1246196,0.9473362,0.9504574,1.0596235,0.94552094,1.0212415,0.88384074,0.8940345,0.8218124,1.1043406,0.845847,0.7729942,0.9892842,1.2048898,1.0247034,1.1683913,0.8849658,1.00763,1.0946145,0.96646047,1.0472068,1.2010057,0.9089752,0.8868888,1.0218222,0.9779133,1.1347882,0.9782635,1.125107,0.87575686,0.9780285,0.76880443,1.2793384,0.9495338,1.1327163,1.1233134,1.1329708,1.1388065,1.1724691,0.938174
cookie,1.1153631,0.952747,0.53580284,1.2437384,0.7772011,0.7835959,0.6299711,0.86515266,1.2811906,1.1356455,1.4558092,0.94673735,1.338836,1.3063008,1.0269433,1.3903576,1.1945262,1.1866652,0.90344566,0.78608316,1.1245079,0.19691575,1.0236678,0.9659834,0.8534435,0.97868496,1.0117964,0.92368597,1.2087103,1.2508019,0.83616674,0.8259918,1.3398,0.94716436,0.9358175,1.1876403,0.0,1.3661135,0.79754126,0.84144574,1.4001825,0.83168924,0.7532158,1.1259693,1.1248105,1.171124,1.1164718,1.1931692,0.8553983,0.55842626,1.1279576,0.7484891,1.2511833,0.9034419,1.2567426,0.80918145,0.99902177,0.86345565,0.90553015,1.1586242,0.8837105,0.9665164,1.273031,0.79841,1.2232819,0.57727516,1.0880262,0.8683555,1.1573455,0.9945312,1.1427835,1.3793542,0.84180075,1.3819103,0.9111201,1.0513545,0.858232,0.42316604,0.7183109,1.1932883,1.3745719,0.9070683,0.39799023,0.8381223,1.014123,0.931514,0.9208356,0.53150535,1.1079887,0.86073256,1.3856571,1.3328884,1.2662542,0.93593824,0.2536391,0.8984154,0.85295534,0.9542529,1.1167442,0.95552117,0.72259736,1.0874448,0.5415057,0.9742863,0.44973707,0.6207607,1.1393892,0.89216137,1.2374128,0.83209985,1.0228356,1.127273,0.56537116,1.33411,1.0974338,1.3712506,1.1959077,1.1832523,0.9950433,1.3072513,1.2368516,1.3700157,0.79499555,1.28745,0.59034055,1.1722288,0.69754195,0.8825598,1.1973469,1.0102899,0.6580664,1.3888286,1.3435435,1.3049186,1.2452987,0.64125913,0.8196529,0.8096163,0.945733,1.1630622,1.1112922,0.9210496,1.0724258,1.141868,1.1862203,1.0008494,1.0270618,0.8833282,1.2472179
couch,0.85449183,1.1407745,1.4110328,0.6777949,1.2004997,1.3516986,1.247806,1.0790254,0.6792074,0.8753242,0.24120319,1.2847166,0.4550292,0.62273324,1.1617606,0.348462,0.9645467,0.85255027,1.341379,1.2350187,0.85434914,1.2449256,1.2269807,1.259307,1.3987596,1.2559717,1.226192,1.3204465,0.598757,0.6597866,0.95482326,1.3385172,0.6038494,1.063658,0.94126534,0.86739945,1.3661135,0.0,0.8915004,1.4915845,0.53109854,1.3421624,1.1292323,0.6838142,0.9348322,0.76135135,0.9996685,0.73358506,1.2958015,1.4262829,0.75411654,1.3415418,0.80740315,1.2624465,0.9215152,1.3215003,1.1513395,1.39224,1.2715921,0.81060016,1.38671,1.0367625,0.76208377,1.2798353,0.84403944,0.98934436,1.0432284,1.3026912,0.94394726,1.2368246,1.0129205,0.54357255,1.1371531,0.43367076,1.3328353,1.0673051,1.3110917,1.1919223,1.105474,0.73157084,0.5999269,1.0174721,1.2481918,1.3396213,1.1493874,1.3597975,1.1931322,1.2954254,0.8911147,0.99200857,0.45950675,0.6488416,0.735951,1.0799272,1.3118594,1.3913925,1.4607431,1.1873599,1.0107179,0.8666408,1.1337434,0.9745095,1.1827945,1.2476604,1.2205657,1.3696175,0.7953327,1.1894052,0.62613094,1.1117193,1.2264131,0.8499345,1.3370848,0.629019,1.2195501,0.5238212,0.7897428,0.8589524,1.1800023,0.5313061,0.86610913,0.74852574,1.4174275,0.5806958,1.31126,0.88949364,1.1210601,1.4845704,0.8675287,0.9762261,1.4538199,0.54106915,0.45255756,0.80962694,0.48135185,1.4441034,0.9374303,1.3493946,1.3063644,1.1217163,1.0768493,1.2368166,0.735463,0.9323078,0.88712764,1.0338022,1.0661145,1.4007692,0.7777585
cracker,0.7947459,1.1629236,1.2448378,0.73780894,1.1471691,1.2811649,1.0284632,1.0464739,0.8443067,1.0625787,0.7365417,1.4265645,0.91121054,0.622298,1.2057536,0.66008097,1.1093247,0.93605655,1.4291686,1.0399865,0.9101436,0.43563372,1.3637589,1.367564,1.3575711,1.4886713,1.3798047,1.1820707,0.7485434,1.1376756,0.3496579,1.424669,0.9367422,0.97289175,0.88296306,0.8449421,0.79754126,0.8915004,0.0,1.4575213,0.84486544,1.3906578,0.9212012,0.7794598,0.8837364,1.0290542,1.2092385,0.9574592,1.2635832,1.3167825,0.8216307,1.3777299,0.92777103,1.0583898,1.1033566,1.2193677,1.2123779,1.2361982,1.1749352,0.798094,1.4223238,1.0325403,0.9542584,1.0038575,0.9640872,0.37887132,0.82548064,1.3594544,0.86805034,1.1879491,0.9546246,0.8320348,1.2188876,0.813092,1.1738926,1.2256303,1.5122828,0.60536706,0.9260729,0.6190164,0.9424144,0.8527006,0.60649425,1.3273621,1.1999485,1.1731282,1.2381327,1.1153883,1.2009716,0.8838893,0.7117142,0.90763265,0.7814895,0.87692213,0.7568102,1.4326223,1.4197786,1.1452595,1.103556,1.289016,0.47947443,1.0972843,0.7108667,1.1073084,1.0320189,1.3106582,1.1383628,1.42347,1.0274031,1.0884032,1.1426173,0.3349471,1.1291496,0.876854,1.156589,0.8976564,0.8261747,0.94398516,0.9278261,0.8831123,0.9537668,0.86860144,1.4048204,1.0096091,1.2953904,1.0460247,0.7691439,1.2831252,0.91541755,0.79448235,1.3628972,0.96680677,0.80756104,0.95153016,0.7136164,1.3294206,0.48991358,1.2263794,1.0213742,1.0639571,1.122008,1.2303478,0.6945436,1.0637579,0.970925,1.2614021,1.3526704,1.3887408,1.1178981
crayon,1.0529053,0.73114944,0.5734625,1.3200626,0.8938034,0.58709437,0.97904134,0.8517584,1.4222332,1.0181292,1.578089,0.20453638,1.3804729,1.5769703,0.8429488,1.5214052,1.1899248,1.0704141,0.21947122,0.8984129,1.2097999,1.0669084,0.48597443,0.68451726,0.40231997,0.3528669,0.62503386,0.472973,1.399061,1.1813573,1.3106084,0.34879994,1.321773,1.0226912,1.3203907,1.1196148,0.84144574,1.4915845,1.4575213,0.0,1.4734163,0.4907993,1.0403167,1.3527298,1.2486359,1.2484962,0.7677067,1.166134,0.5661074,0.49702775,1.294786,0.51998544,1.3182001,0.69433933,1.0952741,0.5899104,0.8139078,0.51998544,0.76943195,1.4513777,0.25949764,0.9573382,1.2329789,0.87944865,1.2141576,1.419353,1.1468476,0.33864915,1.236733,0.8541463,1.142806,1.4380795,0.88640213,1.4569982,0.63244915,0.92053896,0.3025949,1.0570443,1.2166579,1.4956695,1.3926761,1.1384826,1.1385411,0.29452485,0.7411277,0.6185951,0.7507349,0.9345382,1.0530523,1.1513596,1.491239,1.3196056,1.328862,1.1670808,0.8923453,0.21660316,0.14315796,0.8764999,0.66752326,0.6363511,1.0222992,1.0449638,1.067657,0.8792116,0.91584176,0.42681313,1.1347764,0.4493208,1.3152416,0.90733844,0.9284331,1.3510664,0.5344279,1.3840214,0.7760753,1.4188433,1.3570931,1.2227907,0.9162201,1.4030968,1.1513565,1.3677299,0.17105126,1.2311801,0.55252904,1.0533533,1.2064316,0.40915793,1.2923207,1.0926471,0.32157552,1.3961136,1.4452311,1.2084943,1.4924531,0.44259,1.3576965,0.5298734,0.55867606,0.8820914,0.85114866,0.80638,1.4757521,1.1226083,1.2600207,0.92574453,0.5749092,0.2696615,1.1774182
crib,0.9416981,1.3125309,1.473653,0.9317823,1.2428501,1.3167813,1.2623174,0.7637668,0.48281348,1.1871933,0.29317653,1.3758941,0.48085886,0.7464457,1.0573153,0.5678953,0.75884867,0.6576852,1.3343527,1.0669166,0.4928199,1.2641004,1.0846134,0.92766505,1.3681968,1.1493653,1.068657,1.3164377,0.83102804,0.53274333,0.9109169,1.4175901,0.5277591,1.0475575,0.8439551,0.82525766,1.4001825,0.53109854,0.84486544,1.4734163,0.0,1.1799608,1.1794789,0.79460806,0.68259984,0.6594781,0.8403485,0.933921,1.3853054,1.5040541,1.0040894,1.3538353,0.85943496,1.3418334,0.9080548,1.315274,1.054478,1.2245929,1.2028844,0.61259717,1.450207,1.1201649,0.7851739,1.146956,1.0070435,0.9372698,1.0577271,1.4016623,0.86943996,1.1218185,0.89137363,0.6182086,1.0020235,0.7973034,1.1545478,0.7490431,1.281615,1.1480415,1.1043131,0.7885223,0.7293199,1.0372806,1.1821157,1.4465513,1.1175612,1.4063076,1.2898475,1.3203229,0.72363555,1.1018722,0.6217448,0.8961384,0.6505317,0.96266323,1.3526168,1.313787,1.398479,1.1644981,1.1156971,1.10877,1.1150111,0.9252533,1.1215892,1.0860425,1.1921601,1.4718151,0.82960105,1.1431434,0.5336253,1.1856804,0.98071873,0.8276987,1.3374016,0.83624744,1.0385398,0.8739898,0.90352803,0.9319301,0.9744721,0.61078703,0.7733778,0.6873776,1.4904284,0.62953067,1.3624995,0.97632617,1.0903093,1.2712693,0.83442146,1.0090806,1.4509233,0.5755917,0.81834614,0.7914252,0.57224005,1.3932935,0.953895,1.469946,1.2551854,0.9701165,1.0605274,0.92792255,0.5456898,0.9267907,0.765719,0.9548189,1.0425345,1.4808111,0.6972755
cup,1.2994471,0.9578114,0.62922037,1.3819375,0.73502415,0.57162976,1.0770525,0.60063374,1.224283,1.2150542,1.4581811,0.55547255,1.1976087,1.4885612,1.0313606,1.5084618,1.0011235,1.006223,0.29761362,0.50228024,0.92223126,1.0265254,0.5980332,0.26341856,0.80586076,0.39933968,0.6537121,0.9797291,1.4786675,0.8794985,1.1735677,0.5848269,1.1923491,1.0816523,0.9019099,1.2145413,0.83168924,1.3421624,1.3906578,0.4907993,1.1799608,0.0,0.9463805,1.2614477,1.1850948,1.115539,0.92569625,1.3168192,0.75062436,0.53744054,1.2410207,0.6770824,1.2623608,1.0591702,1.2134247,0.85669875,0.7431581,0.68421173,0.92660725,1.0980953,0.600925,0.962146,1.1782498,0.7575925,1.3027132,1.2577622,1.2690268,0.58691883,1.122459,0.956633,1.0877514,1.3647387,0.5020043,1.4716507,0.7605315,0.7722908,0.37269568,0.9031622,1.1428863,1.365436,1.379892,1.0761548,1.150603,0.59938717,0.7650666,0.89986455,0.9285739,0.9209638,0.6662134,1.2321054,1.4427587,1.3567634,1.2596266,1.0910368,0.9303349,0.58162165,0.57439286,0.9425883,1.0001144,0.7339483,1.1607757,0.7717108,0.8948592,0.96236485,0.9079983,0.53038865,1.0101748,0.47925478,1.0603536,0.82665086,0.9911785,1.2902608,0.694976,1.3293233,0.9038029,1.4429374,1.2922983,1.2275957,0.8913938,1.3540145,0.95564973,1.2608426,0.53033584,1.2093111,0.5298587,1.1046176,0.84548056,0.5603217,1.252392,1.1958762,0.55881065,1.3331268,1.388479,1.1886994,1.2613409,0.41260028,1.2794266,0.8666618,0.9128602,0.8749661,0.89358264,0.6669473,1.1838866,1.0451266,1.1371802,0.76509434,0.6684954,0.62228847,1.0410681
dish,1.0708741,1.2280546,0.805635,1.1643273,0.85849655,0.777887,0.7728353,1.0807097,1.0806468,1.0743967,1.1600006,1.0926806,1.2192359,1.1268914,1.0549542,1.1374302,1.029116,1.0385019,1.0350096,0.7454427,0.9845756,0.80440485,1.1354291,0.97623146,1.0587304,1.1050861,1.1035802,1.0306914,1.1776061,1.1984391,0.95668334,0.99769646,1.107925,0.9978385,0.65470785,1.0466028,0.7532158,1.1292323,0.9212012,1.0403167,1.1794789,0.9463805,0.0,1.09226,1.1584998,1.09772,1.0410289,1.1167928,0.8874067,0.86170375,1.0911143,0.9907446,1.079133,1.063682,1.0961014,0.7896419,1.0282282,1.048353,0.82019854,1.0517937,1.1347872,1.2220513,1.0443964,0.8116572,1.112442,0.83283675,1.1060143,1.143196,1.0354905,0.7942089,1.0455805,1.126987,0.9965563,1.1886203,1.0549637,1.0796837,1.0824523,0.84912765,0.70251036,1.1462935,1.1313425,0.9949595,0.70107996,1.0848652,1.0939834,1.0829806,1.0402817,0.64135575,1.1117911,0.94115925,1.1193674,1.1637266,1.0802891,0.83454174,0.8188617,1.0897464,1.097824,0.9564568,1.0478162,1.2193702,0.9854449,0.98794323,0.63130724,0.88463795,0.931112,0.95502365,1.0189925,1.0604634,1.1985873,0.97654307,0.9121641,1.0763611,0.73808795,1.125961,0.9491417,1.1955369,1.0272044,1.0837071,1.1037604,1.1090196,1.1224366,1.0832514,1.0595796,1.1495812,0.96170044,1.0423636,0.7866738,0.9728853,1.1106235,1.0922446,0.8637854,1.1223108,1.1632383,1.0370588,1.0236962,0.7018117,0.82871556,1.0392197,1.0667881,1.0741085,1.1192311,0.9101629,0.86497235,1.0507025,1.0770307,1.045788,1.2034904,1.1504719,1.0777453
dog,0.4654917,1.2357225,1.1837406,0.91318375,1.0326426,1.2788143,1.0666476,1.1051848,0.89373684,1.0149161,0.6715177,1.2553916,0.84030396,0.84514236,0.8684632,0.6372101,0.95624024,1.0172439,1.2424802,1.1761824,0.9878479,1.0864475,1.1795237,1.222931,1.2628665,1.2779154,1.1084797,1.2925513,0.30268604,0.98274434,0.97036266,1.198429,0.9066863,0.98408186,0.96641517,1.0736723,1.1259693,0.6838142,0.7794598,1.3527298,0.79460806,1.2614477,1.09226,0.0,0.7280915,0.91259885,1.2133722,0.90324587,1.1788315,1.2515328,0.87472445,1.0696604,0.8662236,1.2763451,0.94242495,1.1298465,0.9857542,1.2588898,0.9911015,0.90979034,1.2777433,1.0112731,0.8423733,1.1308808,0.917348,0.8947069,1.0627258,1.2532414,0.9403646,0.9656796,0.9529415,0.87971705,0.99469066,0.8012878,1.2301772,1.0400137,1.2266301,1.078799,1.0163428,0.76638615,0.79653645,1.0028125,1.0663524,1.2732394,1.2270446,1.2764237,1.232149,1.1314001,1.0681794,0.90855765,0.8530625,0.96418524,0.8991227,0.98160976,1.054745,1.2654468,1.3196355,0.98668045,1.1072066,1.0426275,0.8903343,0.8755429,1.145952,0.8919989,1.0827942,1.1980983,0.98163104,1.145206,0.8612219,0.8578303,0.8703739,0.6931121,1.2278249,0.9087095,1.094217,0.8586455,0.8911399,1.0741423,1.0504537,0.8335484,1.0176141,0.8649303,1.271348,0.75473636,1.2080741,1.0449638,1.0179824,1.3062881,0.8502555,1.019244,1.3020308,0.8618424,0.7964896,0.965717,0.78987384,1.2881343,0.9827787,1.2746615,1.1845986,1.0653136,1.1850021,1.0145887,0.9317007,0.9749705,0.84756225,1.0129137,1.1125702,1.3210033,1.0199717
doll,0.99924874,0.86031574,1.0201079,0.93866247,1.023484,1.1948272,0.98651755,1.0199162,0.85231674,1.105407,0.79697275,1.2479266,1.0185325,0.7384584,0.9883101,0.87467927,0.9050447,1.0598377,1.22361,1.1986153,1.0400078,1.1118034,1.1253158,1.0988351,1.0015885,1.1521124,1.0905899,0.9147408,0.8085935,0.98361564,1.0841197,1.1682394,0.8247106,1.1122898,0.90073943,1.095724,1.1248105,0.9348322,0.8837364,1.2486359,0.68259984,1.1850948,1.1584998,0.7280915,0.0,1.0168138,1.20833,0.97381836,1.014192,1.0864505,1.1041651,1.0736268,0.81689984,0.8400682,1.1828892,0.99002504,0.99007547,1.2209996,0.95071673,0.9646047,1.0877584,0.67505133,1.0364879,0.9457698,0.8653667,0.93325865,0.6911427,1.0425339,1.108157,0.99674207,1.0033379,0.88298285,0.9763588,0.89687437,1.1886148,1.0081944,1.2167745,1.1501431,1.0178169,0.66900766,0.991952,0.9052514,0.9763127,1.0923579,1.101336,0.93361294,0.9469494,1.0683985,1.0348049,0.85677797,0.7073994,0.86651826,1.1035011,1.069293,1.0025064,1.2291248,1.1805458,0.99907607,1.104692,0.9297035,0.9784036,0.9922944,1.2486329,0.95061874,0.6986285,1.0949714,0.90583116,1.1011399,0.9932659,1.0460453,0.9709825,0.8367989,1.1954967,0.7554519,0.99689436,0.87547493,0.97216976,0.86376745,1.1008644,0.96521276,1.1238598,1.0644416,1.1434474,0.9316057,1.0859592,0.7644789,1.13307,1.175868,1.0722342,0.90211976,1.1106253,0.7599454,0.8916924,1.0040269,1.0404963,1.216574,1.0920701,0.87018806,1.0242736,1.0584824,1.0666707,0.8603026,1.0143259,1.1335185,0.9458651,1.0521415,1.1016849,1.0448613,1.0797602
door,1.1026222,1.1218888,1.3155847,1.0202911,1.1742979,1.2072666,1.1644986,1.0178411,0.5822115,1.0280372,0.7251041,1.1452096,0.67272305,0.9193224,1.1216072,0.86872613,1.0460037,1.0687617,1.1087338,1.1942476,0.8800037,1.1201127,0.86188,1.0416796,1.1221923,0.9590005,1.1178873,1.2160149,0.83289945,0.704298,1.0579488,1.064187,0.5568341,0.99260235,0.93534386,0.9828938,1.171124,0.76135135,1.0290542,1.2484962,0.6594781,1.115539,1.09772,0.91259885,1.0168138,0.0,0.61515737,0.9265466,1.1464186,1.2602075,0.9567857,1.1284003,0.8355212,1.1827172,0.9649636,1.3384857,1.1049173,1.0783198,1.2450424,0.8601298,1.1713803,1.1410627,0.9834346,1.2503794,0.8858977,1.0640612,1.0636742,1.2368277,0.99858207,1.1642977,0.9951748,0.77435017,1.0453507,0.84533024,1.055925,0.8088099,0.96777725,1.1028781,1.0687188,1.0084378,0.919016,1.0429386,1.1086212,1.1837865,0.8622159,1.136693,1.0828542,1.1740762,0.5887843,1.0063893,0.8749595,0.85563844,0.85848445,1.0217798,1.2023097,1.1807908,1.2090781,1.0913124,1.0769918,1.0899397,1.134452,0.9859428,1.2020755,1.1902673,1.2001209,1.206579,0.95629656,1.0913758,0.34053868,1.1818166,1.1947136,1.1140503,1.1502752,0.8674121,1.1422734,0.86186457,1.0148486,0.9756179,0.97612613,0.5070122,0.7078572,0.93688434,1.2140582,0.72791827,1.109718,0.9941704,1.0226974,1.2022437,0.95518774,1.0559356,1.2139581,0.87582093,0.8529944,1.0453354,0.9484521,1.3037648,0.9101497,1.1876361,1.2685544,1.013067,0.8087138,1.2162285,1.0406038,0.89611745,0.9153553,0.99892265,0.707823,1.2093253,0.51127577
drawer,0.97772557,0.90205646,1.1814237,1.0477389,1.2306883,0.9885056,1.095134,0.9063764,0.65825474,1.0181708,0.9542076,0.7284199,0.7937614,1.1370007,0.99158967,1.0383339,1.2436882,0.78817105,0.8921799,1.0368083,0.84949243,1.1668468,0.6937649,0.81965137,0.7963759,0.6235237,0.91432005,0.85056835,1.0810852,0.88674635,1.164087,0.8072856,0.89563787,0.93897796,0.9971198,0.73566616,1.1164718,0.9996685,1.2092385,0.7677067,0.8403485,0.92569625,1.0410289,1.2133722,1.20833,0.61515737,0.0,1.0337623,1.0859251,1.0562757,1.0780095,1.0031809,1.0935684,0.9565189,1.0461715,0.9872913,1.1514487,0.838152,1.0590104,1.1197362,0.90061885,1.0894864,1.0836614,1.1385669,1.056265,1.2865722,1.08223,0.9322817,1.129563,1.0482868,1.1229539,0.94899565,1.0935514,1.0315915,0.88063455,1.0053003,0.65273166,1.1435864,1.113654,1.2440453,1.1231285,1.14468,1.1176897,0.9700562,0.7012869,0.97726804,0.848606,1.1066926,0.61894,1.0574106,1.0917795,0.9490275,0.83949417,1.1051936,1.1044488,0.709523,0.74845314,1.0672848,0.8111523,0.817811,1.1102023,1.1060723,1.0898427,1.0938108,1.1486816,1.0708268,1.0210536,0.70361805,0.68071127,1.1975076,1.0805867,1.2419968,0.75901073,1.0880351,1.0450536,1.0325289,1.1550283,0.9531414,1.0355301,0.78330344,0.5395192,1.1343975,0.8707783,1.0061959,0.8068696,0.9677518,1.1049888,0.8663939,1.1687676,1.1049635,0.9587845,1.0201629,1.0538137,1.0937676,1.1222538,0.9538177,1.1104774,0.9461143,0.98504406,1.0164572,0.72246957,1.199477,1.0587096,1.077985,1.1464926,1.0095865,0.66307527,0.9052701,0.6338358
dress,0.9275359,0.9654912,1.2222459,0.6819739,1.2627287,1.1613436,1.0512396,1.2467753,0.91808295,0.81939685,0.7891995,1.0937909,0.82780844,0.7101835,1.0673094,0.77944076,1.1732304,1.0242448,1.2217011,1.2379711,1.1036421,1.1417799,1.1931381,1.2966475,1.0895579,1.1361055,1.2735078,0.88668394,0.74417037,1.071092,1.0763986,1.1692686,0.80576426,1.0445352,1.135454,0.9323595,1.1931692,0.73358506,0.9574592,1.166134,0.933921,1.3168192,1.1167928,0.90324587,0.97381836,0.9265466,1.0337623,0.0,1.0994638,1.2580154,0.88935035,1.149085,0.9024184,0.8785582,0.8156169,1.0614194,1.2630833,1.2882907,1.0666821,0.84305054,1.1882007,0.90200424,1.0930882,1.2339138,0.8295257,1.0411297,0.7930195,1.1186609,1.0334609,0.9530513,1.1137275,0.6257608,1.3052039,0.49357426,1.2359658,1.2453787,1.2835054,1.2992256,1.0321168,0.73851854,0.7628157,0.9855666,1.03133,1.0895003,1.0224533,0.9382502,1.0538912,1.1279655,0.9920952,0.90580755,0.73594,0.45741647,0.90287644,1.0577515,1.0256329,1.2521312,1.2393215,1.0463958,0.834183,1.0896571,1.0450512,1.1886849,1.196371,1.0297248,1.2350458,1.2174447,0.93755037,1.2137871,0.93110543,1.2486634,1.037456,1.0229068,1.0750087,0.70787144,1.1983671,0.46251196,0.8753669,0.7136363,1.2449046,0.7250877,1.0058656,1.0156251,1.112304,0.8669395,1.2420214,0.6788708,1.1530294,1.2787915,1.0254936,0.8342855,1.1980484,0.64901686,0.681002,1.066525,0.84368294,1.2635558,0.9185991,0.9601129,0.9437721,1.0995955,0.9229883,1.2405803,1.0041398,1.1319038,1.0107521,1.2211802,1.0398064,1.0845225,1.0726364
ear,1.2001317,0.8023989,0.57734334,1.2860901,0.7827299,0.608943,0.8986709,1.0142745,1.3050754,1.0200088,1.3963358,0.7247493,1.3337222,1.3002176,1.0147256,1.4067833,1.0938704,1.2347032,0.64441097,0.95903164,1.3025489,1.0034404,0.9122346,0.8719121,0.66655564,0.7601404,0.8481909,0.73903704,1.2305089,1.1953487,1.2234462,0.6128541,1.1770498,1.0699192,1.0541205,1.1625187,0.8553983,1.2958015,1.2635832,0.5661074,1.3853054,0.75062436,0.8874067,1.1788315,1.014192,1.1464186,1.0859251,1.0994638,0.0,0.6042094,1.0952523,0.70902383,1.0758225,0.7001758,1.124355,0.66026616,0.9061399,0.8593606,0.85575515,1.2771244,0.6066989,0.922244,1.2361816,0.83989,1.0596993,1.131339,0.99337906,0.58117014,1.0890607,0.92303216,1.1101584,1.2453849,0.953505,1.2912788,0.9302746,1.004996,0.7447971,1.0686412,1.0249866,1.1932687,1.2279832,0.96190435,0.9646892,0.56386554,0.9533348,0.62775075,0.8611863,0.832677,1.133755,0.9147993,1.2453778,1.1875865,1.3236668,1.1322105,0.8579067,0.7807399,0.697749,0.86913186,0.9692552,0.9177592,1.0059606,1.0186703,1.0112864,0.94758236,0.8143378,0.6294458,1.1352913,0.76050544,1.231658,0.90448844,0.9996392,1.1689258,0.81047964,1.1952641,0.87109685,1.2240968,1.1209013,1.1141014,1.1203325,1.2278296,1.2267655,1.2434386,0.57652414,1.176765,0.7880378,0.9493303,1.1973913,0.77082586,1.1994336,1.0974908,0.45997488,1.1918257,1.256216,1.1820815,1.3409395,0.61423475,1.1418982,0.56824154,0.7097571,1.0062671,0.9959652,0.84337217,1.2963688,1.1024475,1.1981349,1.0525587,0.8281612,0.5811013,1.1894996
egg,1.2542522,0.683913,0.1382184,1.384954,0.5077799,0.34510326,0.6484894,0.9552708,1.3633319,1.0836746,1.5330453,0.65993595,1.5012587,1.3747813,1.0382546,1.5293813,1.151712,1.1933821,0.5225371,0.80792564,1.2602718,0.8639749,0.86246586,0.7409139,0.64695376,0.7192565,0.84201366,0.630472,1.366361,1.3294725,1.2385547,0.44621742,1.3771656,1.0163074,0.9715576,1.2322528,0.55842626,1.4262829,1.3167825,0.49702775,1.5040541,0.53744054,0.86170375,1.2515328,1.0864505,1.2602075,1.0562757,1.2580154,0.6042094,0.0,1.2041425,0.5409088,1.1933849,0.7190219,1.2909143,0.7050044,0.93385786,0.8105525,0.89583945,1.2668579,0.51804674,0.96434563,1.2690566,0.49012733,1.1221702,1.0602424,1.0764246,0.4646274,1.2734132,1.0127585,1.1809328,1.4511715,0.76815987,1.438634,0.8693205,1.0817225,0.5100455,0.964452,0.72343194,1.3053895,1.4326518,0.8756764,0.8964856,0.38971782,0.99377817,0.6973303,0.6988991,0.4686852,1.1563276,0.9434447,1.4353042,1.3439559,1.3012571,1.1710483,0.7076585,0.648453,0.5785885,0.8912372,0.9899812,0.77550817,1.0611279,1.0991724,0.85822415,1.0183477,0.6733671,0.3647766,1.211843,0.69067925,1.3632283,0.73903,1.0248219,1.2478243,0.5810424,1.3274539,0.9665027,1.3524027,1.3079877,1.2636648,1.103263,1.352487,1.1124089,1.3749202,0.5026735,1.2267876,0.32873154,1.1864223,0.84839606,0.65909874,1.2121351,1.0993962,0.40555382,1.418005,1.3487779,1.2811109,1.4143245,0.32740533,1.2089055,0.56214315,0.7547511,1.0099394,1.0894572,0.730653,1.2626765,1.1467168,1.2700646,0.9993555,0.8894704,0.519264,1.2318403
