,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,fish,flower,fork,frog,glass,glasses,glove,grass,gum,hair,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,meat,melon,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pig,pillow,plant,plate,pony,pumpkin,purse,radio,refrigerator,rock,rooster,sandwich,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window
bed,1.3518562,1.2644912,1.4039123,0.53311884,1.1885498,1.1493318,1.2275614,0.9244616,0.40486163,0.7994231,0.0,1.5644187,0.36300695,0.48237073,0.9726276,0.2905233,0.8281876,0.616861,1.4560364,1.4587181,0.43369257,1.3091927,1.2059432,1.4911784,1.238797,1.5255826,1.1105939,0.84861004,0.7062089,0.6270608,0.7299371,1.3766521,1.428241,0.92936766,1.2162659,1.4774158,0.15902042,1.0395641,1.562423,0.34609884,1.4920688,0.6628554,0.86728257,0.7313866,1.1545701,0.65865785,1.2768247,1.4653904,0.9012387,1.3572111,1.0830302,1.3525981,1.2230883,1.2945354,1.4417728,1.1720715,0.7875725,1.4670104,1.0256085,0.8254329,1.3228238,0.8061909,0.75263375,1.4129099,1.1503509,1.4007968,0.4247607,1.1091942,0.6345329,1.0804353,0.6631304,1.4403858,0.62499297,1.2258959,0.9478516,1.2279754,1.0509897,1.2895292,1.4648821,1.1651695,1.2953553,1.4805202,1.1002091,0.6101739,0.95555353,0.6004719,0.776669,0.71358204,1.4354858,1.4269549,1.0760039,1.0950282,1.322423,1.3793089,1.2352002,0.9250438,0.9295191,1.3340324,0.6457622,0.7529018,1.3649893,0.6083751,0.99908984,0.92626494,0.5201781,1.1282558,0.8269676,1.0516973,0.52974224,0.6653719,0.2650568,1.6458702,0.43032217,1.2816933,1.2980821,1.1414009,1.5217979,1.3538473,1.4304693,0.671991,0.56280744,0.21100646,1.5391154,1.4124973,1.3596843,0.80449104,1.0464317,1.0934453,0.82212925,1.1418691,1.4620254,0.63801706
belt,0.55137956,0.8202435,0.73094445,1.314976,1.1621933,1.1724753,1.0412854,1.1664236,1.4294794,1.1802732,1.5644187,0.0,1.5019422,1.5223856,0.7951515,1.5521934,1.1954366,1.2129706,0.4966886,0.7014064,1.4804224,0.99394244,0.90791094,0.8410958,0.86049175,0.42270297,0.90458614,1.1877716,1.1249695,1.224504,1.4208404,0.6337619,0.74783194,1.0249127,0.93674886,0.66248614,1.507239,1.2262276,0.35929418,1.4233315,0.53416985,1.3252759,1.2948148,1.214675,0.81780905,1.2227006,0.6983893,0.6814685,0.98643214,0.6683589,0.9605113,0.75535595,0.8904216,0.7607324,0.5488203,0.9357954,1.4525015,0.34407687,1.1666675,1.0772156,0.9404464,1.1049585,1.3213278,0.6059516,0.97430736,0.5350884,1.1882253,1.1736684,1.2840254,0.88283956,1.2311447,0.454341,1.2375143,1.045364,1.3460515,0.7629843,0.9086571,1.004453,0.5191088,0.9049742,0.68620265,0.5394585,1.2251284,1.3196367,1.0487981,1.3928703,1.2402108,1.2400142,0.44755566,0.4315021,1.0054643,0.8946911,0.6576303,0.7356658,0.90784514,1.2150072,1.0917237,0.55986035,1.3369964,1.0684361,0.7127413,1.2044841,0.9598844,1.1036544,1.2816752,0.9083303,1.1724616,1.0986228,1.446188,1.3359103,1.3975866,0.3053217,1.3933654,0.9193566,0.83965653,1.1542763,0.53267,0.7078952,0.71422255,1.2216427,1.2664957,1.5406119,0.6740293,0.6663965,0.6091035,1.103296,0.98660123,1.0846846,1.2084209,0.76472163,0.2885146,1.266559
bench,1.2198472,1.159123,1.4980524,0.63595515,1.2590046,1.1335335,1.1588633,0.7850661,0.46370673,0.8509195,0.36300695,1.5019422,0.0,0.75612473,1.0212932,0.4118924,0.78985614,0.91525745,1.4807683,1.275974,0.63371503,1.2007186,1.0168284,1.2629583,1.2560754,1.3709188,1.1456922,0.80753183,0.6590747,0.28386354,0.8536519,1.39153,1.2755913,0.90334505,1.040604,1.273688,0.2735662,0.9306123,1.5507317,0.53052783,1.4651315,0.69797313,1.1038997,0.5683261,1.100883,0.6615591,1.2696261,1.5144569,0.8799973,1.3380827,1.197964,1.3174798,1.1452265,1.4018927,1.2589886,1.2969639,0.90279067,1.4746273,0.8776479,0.74134916,1.3088237,0.8968304,0.80961895,1.3195875,1.1440016,1.3028038,0.67061454,1.0513269,0.57834816,0.8403312,0.56925833,1.3352244,0.84651756,1.142505,0.89225113,1.2229153,1.0981643,1.3022232,1.5446655,0.8311166,1.3069742,1.3657439,1.1004717,0.4180593,1.145927,0.7017178,0.5978825,0.91845894,1.4090968,1.4277902,1.1421355,0.98263276,1.3176012,1.2311372,1.1413909,1.0100867,0.71152985,1.2425078,0.5278609,0.8078412,1.3174018,0.868799,1.078102,0.99424905,0.60106516,1.0974482,0.5838133,0.9814712,0.4648347,0.5427664,0.6298888,1.5357656,0.6755279,1.1640208,1.1276814,1.0644809,1.3011098,1.3616202,1.5134513,0.7957809,0.5977572,0.48918593,1.4335461,1.3717293,1.339426,0.93884325,0.8090118,1.282052,0.7192362,1.0102084,1.4654392,0.55450255
bib,1.4171673,0.9992803,1.3776262,0.46990258,0.9055259,0.9042691,0.91578686,1.0755779,0.6516398,0.7895288,0.48237073,1.5223856,0.75612473,0.0,1.1024467,0.5027536,0.73193145,0.67161924,1.50689,1.4704301,0.50314313,1.0616902,1.2328532,1.2666287,1.052652,1.5607927,1.1092274,0.7188099,0.8967136,0.93064874,0.723086,1.4250193,1.3323846,0.86279094,1.1897141,1.2964875,0.66165686,0.8324632,1.4910283,0.57490516,1.5490949,0.8589396,0.5894668,1.0212286,1.2064368,0.7083353,1.0353712,1.4706968,0.9173031,1.3540905,1.1104697,1.1615121,1.0838379,1.2500508,1.4131565,1.003353,0.6278995,1.47082,0.682016,1.0592467,0.96291715,0.8130493,0.5727509,1.1890612,1.0212265,1.4808269,0.51854897,0.8899553,0.53428805,0.90013105,0.86802906,1.61918,0.76746666,1.2200236,0.5499926,1.3060153,0.9547357,1.2273053,1.4327006,1.1397399,1.1404858,1.5409236,0.8553618,0.8772111,0.9428049,0.31641877,0.724737,0.6881277,1.5176412,1.506782,1.0373098,1.2871773,1.4339979,1.3210716,1.2491475,0.8789763,0.9359873,1.3985184,0.9234505,0.8201434,1.4721773,0.7615956,0.7883937,0.733295,0.52284294,0.84941787,0.7852803,1.0648052,0.80546516,0.6765848,0.5287847,1.542368,0.53536284,1.2890708,1.0755979,1.109653,1.4723402,1.2421902,1.310824,0.82366663,0.6566858,0.41506004,1.319531,1.2499638,1.2273821,0.7505931,1.0302659,0.82610166,0.8178576,1.2682267,1.3031732,1.0103236
bird,0.77559847,0.9415497,1.100065,1.0050044,1.1904286,1.1929595,1.1386733,1.1973162,1.0861325,0.87659717,0.9726276,0.7951515,1.0212932,1.1024467,0.0,1.0301894,1.1094489,1.1144493,1.0263308,1.1710007,1.2459898,1.0404111,1.2054335,1.3382865,0.98906165,1.0602527,1.04359,1.0969067,0.46753097,1.1590436,1.0909461,1.0166789,1.1371212,0.97240156,1.1383995,0.822751,1.0259085,1.0609232,1.0285335,1.1742535,1.0934615,0.81279826,1.2563295,1.1173422,1.1484708,0.98174936,0.90343124,0.94834626,0.70466495,0.94299936,0.93265057,1.0071944,0.7573447,1.04702,0.9066976,1.1596917,1.1891154,0.8356403,1.0904632,0.6710423,1.2813576,0.7532017,1.1170611,0.95714617,0.96973866,0.880206,0.95236576,1.1573143,1.0705509,0.85053825,1.1992682,0.9153767,0.8750641,1.1254765,1.1395905,1.0027431,0.94673157,0.91468894,1.0032823,0.9977827,1.0044671,0.7761034,1.1598865,1.1633892,0.9043348,1.1406934,1.070886,1.013304,0.928573,0.99248207,1.0054926,1.0636606,0.96563697,1.0282912,0.8933079,1.0212301,1.2343104,1.058398,1.1564572,0.74393284,0.8911183,0.7861874,0.850082,1.1284437,0.919761,0.97192633,1.0355709,1.1063405,1.1082157,1.1374319,0.9716728,0.9375902,0.85548675,0.9320392,0.97538006,1.2859056,0.8867152,0.85713196,1.0645975,1.2189602,0.8985721,1.0266286,1.1984826,0.92742586,0.88366026,1.1351514,1.0095316,1.3948525,1.2528183,1.1754489,0.9662597,0.94360006
blanket,1.3186772,1.1251346,1.4499626,0.5354941,1.182722,1.1265594,1.1860125,0.72829896,0.6232059,0.8042757,0.2905233,1.5521934,0.4118924,0.5027536,1.0301894,0.0,0.8501623,0.88460195,1.501765,1.4352964,0.7007892,1.125304,1.2523173,1.3847393,1.2210944,1.4962703,1.2035441,0.8264963,0.7045339,0.60650194,0.60685635,1.3267713,1.4057765,0.9952715,1.0801035,1.3147293,0.34129047,0.99319685,1.5682563,0.57999545,1.5483637,0.61734957,0.782251,0.76742196,1.136721,0.76773494,1.2304342,1.483323,0.9054316,1.3584958,1.1597011,1.3174673,1.050847,1.256755,1.3559018,1.1783576,0.82921153,1.4968415,0.80050147,0.9021346,1.2851098,0.8838451,0.7697318,1.3155161,1.1407266,1.3952775,0.560666,1.0671325,0.49873078,1.0498673,0.73138416,1.4580768,0.57908195,1.1149012,0.77590567,1.2219698,1.1002917,1.1936504,1.5266786,0.7981987,1.2594705,1.3991957,1.0538119,0.7064844,1.0396118,0.4494176,0.64725244,0.91382545,1.4394987,1.4537491,1.0828439,0.80937964,1.2682862,1.3910791,1.1757464,0.92353666,0.7133852,1.3611588,0.7443135,0.7556346,1.2958146,0.6394484,0.8917643,0.9928765,0.61380976,0.90552956,0.7309742,1.0477911,0.6370549,0.7575748,0.5392031,1.6009815,0.6303861,1.2094398,1.1376089,1.1121439,1.4429808,1.2369018,1.4359188,0.77404594,0.6379706,0.53019,1.4988301,1.3703246,1.3700787,0.8435012,0.67904556,1.1713525,0.90556026,1.1985285,1.4823909,0.70846
boat,1.0759516,0.9881182,1.1244166,0.74672633,0.9319452,0.8493362,1.0173913,1.0474905,0.88729596,0.8732324,0.8281876,1.1954366,0.78985614,0.73193145,1.1094489,0.8501623,0.0,0.87524325,1.3001013,1.1467803,0.82773024,1.1138456,0.9801985,1.1005108,1.0100876,1.2640884,1.0955003,0.72606504,0.95173895,0.94267094,1.0493705,1.1873968,1.1557052,0.85058165,1.0919341,1.2644923,0.8912661,1.000186,1.1701126,0.84730667,1.2683067,0.9406913,0.96633697,0.98225504,0.9053805,0.95298356,1.0611346,1.244346,0.90357244,1.1009157,1.0405099,1.1433182,0.894768,1.1462628,1.1394553,0.9621604,0.8974971,1.2449529,0.8838372,1.0966297,0.9921322,1.0271628,0.8668109,1.1137174,1.1022928,1.1375247,0.8088674,1.0307853,0.70940506,0.8120878,0.95166534,1.2311412,0.9987541,1.0716368,0.80507296,1.2349904,0.9510625,1.1650965,1.2269168,1.1357826,0.93298674,1.2449178,0.991154,0.982145,1.0002061,0.74525034,0.8780081,0.8742187,1.1772871,1.1415701,1.0004829,1.243618,1.279281,1.1419163,1.2131405,0.97624904,0.9706616,1.2048225,1.0012251,0.9117855,1.2886556,0.95422506,0.88958985,0.7912656,0.8559217,0.9417509,0.99636334,1.0077723,0.8757285,0.76372427,0.8599603,1.2193468,0.78024006,1.1998706,1.1083457,1.1257538,1.1773016,1.24937,1.0709025,0.9145191,0.8755897,0.69871444,1.0689175,1.2250922,1.1145865,0.8477963,1.096,0.9716365,0.84315574,1.0136654,1.1413921,1.077878
book,1.0334113,1.1404895,1.0829704,0.9228795,1.0223688,1.0024476,1.111474,0.8972536,0.732231,1.049314,0.616861,1.2129706,0.91525745,0.67161924,1.1144493,0.88460195,0.87524325,0.0,1.1214399,1.0921085,0.2670498,1.1773962,1.0686587,1.098105,1.0050042,1.140271,0.8214631,1.0784112,1.1537039,1.014142,0.93818814,1.0260442,1.1642089,0.9594773,0.9661155,1.352216,0.67267376,1.0537897,1.1194175,0.65112156,1.0914775,0.9499751,0.8467273,1.0236374,0.91617435,1.0377072,1.136601,1.233638,1.1542406,1.2309923,0.9840018,1.2260785,1.0239255,1.0594064,1.0632539,0.7463502,0.9105746,1.1871605,1.1801436,1.1758772,0.9957174,1.0574512,0.89936906,1.2430848,0.9285498,1.0912381,0.9423381,1.0115033,0.9747624,0.93039197,0.86050487,1.1446941,0.9261112,1.0473323,1.0945815,1.011008,1.1707958,1.1438954,1.2264389,1.2045698,1.1491615,1.1375542,1.0879699,0.9551767,0.74966776,0.91389894,1.1184611,0.4242357,1.0449078,1.024323,0.86531854,1.0472012,1.0561316,1.0292671,1.1104516,1.0403101,1.0282975,1.0799035,0.94718045,1.1150683,1.1542251,0.9055357,0.9616165,0.8272188,1.0184369,1.1199709,1.1434548,1.075392,0.9598629,0.87645584,0.7287351,1.2970722,0.71895427,1.0901029,1.2129643,1.0089264,1.2882674,1.1700505,1.137227,0.84236014,1.0184247,0.48685616,1.1079874,1.2748439,1.232352,0.8364815,1.1322998,0.7438495,0.5880804,1.0168468,1.1784028,0.9764493
bottle,0.7819991,0.9866075,0.54643124,1.4519415,1.003932,1.1000612,0.998891,1.0421846,1.3281538,1.2404246,1.4560364,0.4966886,1.4807683,1.50689,1.0263308,1.501765,1.3001013,1.1214399,0.0,0.4271046,1.3466294,1.0217116,0.77854514,0.64526474,1.0399683,0.26669103,0.88030696,1.3037556,1.241687,1.2755011,1.1825622,0.56125355,0.60766846,1.1544802,0.9535364,0.7937541,1.394193,0.97321963,0.22046435,1.38014,0.0883801,1.3025079,1.2556703,1.1798162,1.017097,1.219479,0.95969266,0.58422697,1.1468923,0.6912385,0.96297735,0.9113902,0.9872038,0.6051377,0.7372658,0.9852052,1.2198418,0.2859788,1.3807416,1.007492,0.8694625,1.2455521,1.4585648,0.75281155,1.0916913,0.59842896,1.3253831,0.98780227,1.468756,1.0979118,1.2437401,0.37110043,1.2668633,0.9186102,1.4187348,0.5929345,1.0546023,0.97186184,0.2931497,0.98385984,0.9637589,0.45772946,1.2122017,1.2772188,1.0069535,1.4825824,1.3180308,1.2401452,0.21134114,0.1952272,1.0950967,0.85955423,0.6152829,0.50112855,0.821033,1.2552602,1.1824664,0.6296132,1.2196518,1.2270706,0.5699863,1.2623451,1.1365557,1.2250489,1.3966128,1.1192744,1.2639015,1.0125425,1.2731153,1.4088154,1.3550148,0.34883332,1.3432889,0.83973587,1.0008852,0.9387361,0.530502,0.7877227,0.61744475,1.2189445,1.3861748,1.4466136,0.5995139,0.804309,0.5942024,1.2446595,1.0546689,0.9464492,1.1903365,0.83311707,0.6493373,1.1896178
bowl,0.85922706,0.9376692,0.5101362,1.4818565,0.78777146,0.7995618,0.79945815,0.9264056,1.075495,1.1820878,1.4587181,0.7014064,1.275974,1.4704301,1.1710007,1.4352964,1.1467803,1.0921085,0.4271046,0.0,1.1411955,1.0131723,0.7176385,0.25778395,0.95434374,0.36873138,0.8717067,1.224865,1.3433018,1.1097726,1.1427897,0.8253757,0.4065627,1.05036,0.7157411,0.9345311,1.3906504,0.93553406,0.4289242,1.2482828,0.20638621,1.3985193,1.2652442,1.2223135,0.8043923,1.2855433,1.075482,0.62318027,1.1582404,0.6632269,1.0892965,0.95041996,0.82119244,0.9126562,0.6900164,0.91227126,1.135121,0.6573285,1.1390404,1.1402457,0.7312705,1.3907461,1.4435934,0.67958987,1.1221768,0.6539352,1.4101931,0.8912228,1.3725885,1.004822,1.2273762,0.5904218,1.4038165,0.6256372,1.2028849,0.8251843,1.0920962,0.8948277,0.575089,0.96544075,1.1337068,0.55658793,1.0173441,1.1767266,1.0125078,1.4648654,1.3573005,1.2970595,0.46973383,0.4795047,1.0603659,0.8633093,0.823871,0.2498182,1.0543072,1.2235665,1.0850241,0.68899393,1.2287387,1.2502817,0.86008745,1.386178,1.153168,1.1286706,1.4692023,1.1363561,1.2695636,0.90225935,1.3093129,1.0150142,1.3223233,0.48728025,1.3516781,0.61362916,0.8790156,0.61183476,0.52717274,0.9854032,0.6037887,1.2237754,1.4215821,1.4319268,0.29024553,0.9095984,0.85035217,1.1962332,1.0307373,0.8256674,0.8028554,0.89748955,0.7946001,1.2586911
box,1.2071218,1.2457,1.2559128,0.78172296,1.0361105,0.96548915,1.0576315,0.7938733,0.32916862,0.94125384,0.43369257,1.4804224,0.63371503,0.50314313,1.2459898,0.7007892,0.82773024,0.2670498,1.3466294,1.1411955,0.0,1.2339789,1.0688801,1.0127213,1.0689421,1.2749305,0.8451346,0.9659434,1.0832151,0.7822129,0.8589343,1.2269092,1.2312385,0.79598343,1.017052,1.4705617,0.5666985,0.9931423,1.3901632,0.3074491,1.2843653,0.9027771,0.8270056,0.8385517,0.9439131,0.92542684,1.263644,1.4342524,1.0914745,1.3634423,1.0776021,1.3642358,1.1455609,1.2047911,1.1791067,0.84974587,0.6700114,1.4558499,1.0863605,1.1638355,0.9903647,1.026662,0.7971984,1.3817575,0.9844787,1.2462101,0.7072737,0.80138695,0.85202414,0.93716323,0.6715338,1.3517628,0.8835913,1.0995147,0.9732833,1.1315378,1.1944001,1.2221421,1.4768208,1.208603,1.2896426,1.3774916,1.0097655,0.6628653,0.8787261,0.7706641,1.0007783,0.46046865,1.3709435,1.3522743,0.92651993,1.152776,1.2084906,1.127674,1.2054853,1.0438709,0.80282605,1.1211715,0.65779924,1.029018,1.3270166,0.8831469,0.98883104,0.7427411,0.8547782,1.1466192,1.0282278,1.0289844,0.7128867,0.5627963,0.54233927,1.5577984,0.5624904,1.1857312,1.3156271,0.9559278,1.4902258,1.3688945,1.2872877,0.6810502,0.8822808,0.2989717,1.2239561,1.4603369,1.4519653,0.7693797,1.128031,0.66328305,0.4745046,0.95587385,1.3917246,0.864311
bread,1.1160733,0.83634186,0.930056,1.0244858,0.86220515,1.0215799,0.7286533,0.9550587,1.3218889,1.1338487,1.3091927,0.99394244,1.2007186,1.0616902,1.0404111,1.125304,1.1138456,1.1773962,1.0217116,1.0131723,1.2339789,0.0,1.0727655,0.9711503,0.97353846,1.1044444,1.1092452,0.75394106,1.1504463,1.2751569,1.0302402,1.036609,0.8978603,1.2139969,0.7065791,0.617655,1.2388892,0.77502763,0.98480314,1.3295876,1.06213,1.0749528,0.9323833,1.2286553,0.93921274,1.1617591,0.6927413,0.723922,1.1247336,0.7641332,0.86234593,0.5369979,0.86455107,1.1027356,0.9621877,1.0393007,0.9484383,0.90663415,0.7428714,1.1914625,0.7611056,0.91453004,0.7294424,0.87566686,1.056447,1.1473676,1.2722045,0.95708513,1.0158194,1.0507386,1.2781873,1.1369168,1.0141463,0.8428092,0.74185735,1.1140976,0.69131655,0.6214424,0.7827892,0.9507294,0.71882665,0.919404,0.70730466,1.2122303,1.0424823,0.9945153,1.084432,1.0744258,1.0369549,1.0237197,1.1624587,1.0289574,1.0799282,0.9569369,1.013992,0.76760316,1.1397893,1.0808556,1.2365737,1.1574559,1.0058966,1.084337,1.0004088,1.0771195,1.1717758,0.7269724,1.0339458,1.0058184,1.1837049,1.1204605,1.3267025,0.81751746,1.238175,0.8292282,0.70978725,0.92606765,0.8227171,0.7125777,0.88924253,1.2513448,1.1506977,1.2773438,0.86033183,0.5711578,0.7055801,0.9787461,1.0019497,1.0554078,1.1206014,1.2232282,0.8044675,1.2606277
broom,0.9241894,0.9199419,1.0618659,1.1998758,1.18215,1.1129426,0.9497501,0.9264299,1.0956672,1.1296747,1.2059432,0.90791094,1.0168284,1.2328532,1.2054335,1.2523173,0.9801985,1.0686587,0.77854514,0.7176385,1.0688801,1.0727655,0.0,0.6369184,0.9272499,0.71519774,0.9946871,1.0972375,1.2204036,0.80276084,1.1707034,0.9498463,0.74143857,1.0607044,0.88933325,0.93729216,1.0671962,0.9211414,0.7661234,1.0093622,0.76250327,1.1575975,1.1166633,1.0211012,0.7924813,1.0814891,1.0209842,0.9457046,1.1450582,0.843881,1.1039377,0.88354635,1.0209553,0.9477223,0.8006818,0.9105587,1.1464853,0.9545494,0.9781791,0.99316996,0.9272437,1.2061905,1.1857046,0.8513081,1.0070907,0.9153875,1.193291,0.90631944,1.0934501,0.8711206,0.9570497,0.7742882,1.2481819,1.0725003,1.1693444,0.9387372,1.0108314,1.1303225,0.9467274,0.88056135,0.9768164,0.8831902,1.2079827,0.94302046,1.062696,1.2484936,1.0381653,1.135872,0.8301343,0.78453135,1.1594414,0.93829274,0.8340299,0.7494854,0.93606555,1.1280272,0.903182,0.8791467,0.9225488,1.1431835,0.88864493,1.2783866,1.2147092,0.9632939,1.1768932,1.0075215,0.97381204,0.7199862,1.0289272,1.0533735,1.2376868,0.79354024,1.2715102,0.93019515,0.8865826,0.9989324,0.6691668,1.0515434,0.9162804,0.9408012,1.1103363,1.1950548,0.7132472,0.909867,0.9621791,1.0815499,0.9781647,0.9604484,0.8860502,0.4907899,0.93393236,1.0507258
bucket,1.0194852,0.86183035,0.7085563,1.405784,0.7592929,0.6715995,0.8187705,0.898704,1.0548202,1.186522,1.4911784,0.8410958,1.2629583,1.2666287,1.3382865,1.3847393,1.1005108,1.098105,0.64526474,0.25778395,1.0127213,0.9711503,0.6369184,0.0,0.87503266,0.43008018,0.994559,1.1449531,1.4359426,0.95043296,1.1068906,0.8943574,0.44060075,1.037558,0.8101022,0.8950013,1.3732882,0.94985235,0.66047907,1.1421843,0.44995427,1.3642187,1.0702614,1.155752,0.77732056,1.2563215,0.9792827,0.78653306,1.2090505,0.78691596,1.1281413,0.9542252,0.87742335,0.9120884,0.77070594,0.9122326,0.89037734,0.92238283,0.95240635,1.2402043,0.7296105,1.3654486,1.3022418,0.7276618,0.9818873,0.76566386,1.3733892,0.6009293,1.2361978,0.90894467,1.0557672,0.7993108,1.4224131,0.7404907,1.0449148,0.8793769,1.1138542,0.9189298,0.8223101,0.88933885,1.0235221,0.8098173,0.9505353,1.0484855,1.1353487,1.2899618,1.2104108,1.207063,0.78613263,0.80175805,1.0002007,0.8867912,0.8350827,0.4703198,1.0120487,1.1492686,0.82429314,0.7370001,1.0230982,1.2436945,0.9372424,1.4258662,1.129809,1.0637585,1.4104884,1.0054129,1.166162,0.80585116,1.2169564,0.933313,1.384427,0.6796148,1.3656051,0.762399,0.80697244,0.5658581,0.6330626,1.0072756,0.71269214,1.1055865,1.3621243,1.3887591,0.38041365,0.93073714,0.9890586,1.1342947,0.95549893,0.7527195,0.7361208,0.8338351,0.86758673,1.2678876
butterfly,0.84515965,1.0013666,0.9129182,1.2335615,0.8085818,0.78204125,0.8969374,0.971463,1.1312219,1.0849118,1.238797,0.86049175,1.2560754,1.052652,0.98906165,1.2210944,1.0100876,1.0050042,1.0399683,0.95434374,1.0689421,0.97353846,0.9272499,0.87503266,0.0,0.95431,0.7995832,1.1251082,1.1231283,1.1915181,1.1641791,0.83879375,1.0809358,0.9876376,0.7865006,1.0948802,1.2693683,0.9683226,0.8634416,1.0985782,0.98360354,1.0734813,0.9246595,1.0980719,0.8220077,1.2298329,1.0364814,1.021429,1.1044267,0.9892762,0.97311413,0.9967408,0.7234992,0.6589702,0.82735443,0.5935043,0.92701733,0.96224284,0.97783697,1.1137735,0.83718055,1.141222,1.0424448,0.8521794,0.8535447,0.9479122,1.1371303,0.9664966,1.1857653,0.92282134,1.107467,0.96752065,1.164968,0.9294905,1.0140716,0.9544612,1.0953585,0.8933357,1.008706,1.0362287,0.88178784,1.0340918,1.0027162,1.1678195,0.8776523,1.1886628,1.2664864,0.8949517,0.8967937,0.955704,0.8439158,1.0054418,0.7984816,0.83790433,0.95535713,1.1104478,1.0358313,0.9236605,1.1331015,1.0640693,0.85349834,1.0757017,1.0268095,0.6684711,1.2079339,0.7991159,1.2330914,0.8971496,1.1287236,0.99229497,1.1833559,0.8404454,1.1139753,0.9737333,1.0280778,1.0523531,0.9660297,1.0039954,0.843426,1.0198838,1.2029735,1.1614883,0.8208481,1.0441054,1.0267686,0.9520091,1.0703684,0.81619406,0.9759904,0.8976305,0.953464,1.0783755
can,0.7413821,0.8671448,0.6722479,1.4322648,1.1087047,1.0532714,1.1018636,1.0041584,1.2164984,1.2162409,1.5255826,0.42270297,1.3709188,1.5607927,1.0602527,1.4962703,1.2640884,1.140271,0.26669103,0.36873138,1.2749305,1.1044444,0.71519774,0.43008018,0.95431,0.0,0.93208444,1.334203,1.2275966,0.983813,1.2792588,0.6241304,0.43227613,1.0649176,0.89264184,0.72456014,1.4049631,1.1466929,0.3560251,1.3106219,0.20230865,1.3765795,1.2909981,1.0553956,0.9385593,1.2759583,0.8986178,0.7068777,1.1198161,0.74730366,0.9943681,0.9221579,0.8910954,0.71976006,0.63413656,1.0636879,1.3211184,0.42938805,1.2770805,1.0473019,1.0155771,1.2712713,1.4560215,0.6882075,1.0778909,0.3606773,1.3066162,0.9732194,1.3363237,0.87212,1.0930419,0.3101554,1.3206775,0.95762026,1.4343657,0.70317876,1.0898322,1.0445802,0.57881093,0.7649837,0.9705661,0.4627599,1.2707714,1.1322875,1.1228877,1.4307642,1.204465,1.2403657,0.38827515,0.39369452,1.0459421,0.74645746,0.6277238,0.42805183,0.9151506,1.3272562,0.9634164,0.56702614,1.1052195,1.2066036,0.6976674,1.3611177,1.1760099,1.2659386,1.3816745,1.1343552,1.1474515,0.9290632,1.290622,1.2926636,1.4317875,0.38839614,1.4196156,0.8224083,0.9560807,0.93515396,0.39017844,0.8831034,0.68248403,1.1785984,1.3539823,1.4693582,0.5785978,0.8431424,0.8365734,1.2750777,0.86221933,1.048045,1.0398909,0.71022046,0.6562078,1.092274
car,0.6507767,1.2323754,0.8389395,1.2871795,0.9917714,1.0715281,0.92333895,0.94185615,0.9787384,1.0044788,1.1105939,0.90458614,1.1456922,1.1092274,1.04359,1.2035441,1.0955003,0.8214631,0.88030696,0.8717067,0.8451346,1.1092452,0.9946871,0.994559,0.7995832,0.93208444,0.0,1.2929542,1.0370916,1.1193635,1.1533784,0.79300374,1.0495195,0.92005754,0.85227025,1.0894842,1.1751108,0.94363993,0.81595397,0.88277733,0.8667111,1.0907009,1.0876579,1.0581025,0.8864878,1.2031219,1.172941,0.99403876,0.9783664,0.9971102,0.9353767,1.196511,0.83911157,0.8309904,0.81222326,0.35155284,1.0046781,0.8873555,1.3132637,1.0620185,0.9175713,1.1937114,1.3042701,1.0128884,0.7768659,0.90555304,1.0634103,0.97554994,1.3290426,1.0269016,1.0979797,0.8491552,1.2039769,0.93556464,1.329379,0.74569213,1.1537161,0.98238605,0.93838596,1.1341746,1.2054002,0.8052497,1.0810522,1.0638169,0.7597163,1.290454,1.2917149,0.8042969,0.7618714,0.78734285,0.74035823,0.96063733,0.76707846,0.8088411,0.8948376,1.2826188,1.0478227,0.7395427,1.0624135,1.0391009,0.8066933,1.1171052,1.0545611,0.76090264,1.2119336,1.0316303,1.2252526,1.0987039,1.1524421,1.0951873,1.0122505,0.8738725,1.0175009,0.9263685,1.2626381,1.0676931,1.0110805,1.023657,0.85874605,0.91070235,1.2477417,1.0329674,0.744484,1.2357218,1.0923649,1.1090629,1.1845889,0.62276673,0.90857744,0.8434968,1.004892,0.9715481
