,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,cookie,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,firetruck,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,motorcycle,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,raisin,refrigerator,rock,rooster,sandwich,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stick,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
cookie,1.1033005,0.9182899,0.5495996,0.88363904,1.2644715,0.5798275,0.80997944,0.7956451,0.9907338,1.3357697,1.0522581,1.3012426,0.9012087,1.2297128,1.2089707,0.9276789,1.313168,1.2480862,1.156774,0.88459665,0.9171273,1.1546314,0.8650873,1.074689,1.0430837,0.8805464,0.98221564,1.1983093,0.94923115,1.192965,1.3018852,0.626453,1.2427124,1.160305,0.99429077,1.1668204,0.0,1.3071454,0.99256814,0.85971946,1.3000301,0.8492315,0.9985209,0.87883574,1.0711339,0.9041665,1.1611634,1.089201,1.0126493,0.74342704,0.6774267,1.1665146,0.6014538,0.82920897,0.8018389,1.1202887,0.95693153,0.9477787,0.8080419,0.9273965,0.82605106,1.2005433,0.63169366,1.0900676,1.1137631,0.6992916,0.9778149,1.1372209,1.0437263,0.67005014,0.95612645,1.216586,0.9455674,1.2821257,1.257615,1.1420355,0.949988,1.0516123,1.0561867,0.99199384,1.0900178,1.1160121,1.1985675,0.90333164,0.6534138,1.1772873,0.90708375,0.47023833,0.58081067,1.3609979,0.8996975,1.2895417,1.2756,1.213336,1.0172465,1.0383205,0.8578129,0.9224715,1.2396438,0.85068536,1.1074674,1.0341287,0.98214746,0.9693383,0.87262905,1.2261493,0.84613144,0.68995553,1.3312237,1.1752801,0.9592305,1.1724964,0.97705275,1.0094619,0.9992706,1.2189628,1.1254569,1.1817431,0.9420156,1.2395862,1.1819988,1.2563019,0.72690785,1.1194319,0.80442727,0.91377985,0.8520522,0.88208246,0.94580746,1.0336541,0.6114186,1.1671401,1.1716983,1.1926131,0.6567477,0.6894897,0.92832756,1.1384548,1.1494734,0.6861559,1.1568319,1.0436555,0.94655025,1.0507398,0.7757189,1.277237
couch,1.2334429,1.2736677,1.4577367,1.1588254,0.46473455,1.2450043,1.3634819,1.4951639,1.2471751,0.48434216,0.59226245,0.076061964,1.2908831,0.6750599,0.41698188,1.1731781,0.23190308,0.54253966,0.88922274,1.4257457,1.2532349,0.7271802,1.2949326,1.1548896,1.3112721,1.328572,1.3671423,0.9052948,1.3745126,0.53415906,0.53490126,1.5336821,0.8579071,0.82949007,0.80532146,0.917833,1.3071454,0.0,1.09942,1.5420854,0.47529864,1.4284542,1.2779613,1.111883,0.6218033,0.87487835,0.75969493,1.0235331,1.0914037,1.3339312,1.4582312,0.75960386,1.3208255,0.6626682,1.2410456,0.72929186,1.3417652,1.3174138,1.2753016,1.5526502,1.2624499,0.6495615,1.3963245,1.1226085,1.0253866,1.3508291,0.75219536,0.7943912,0.8872837,1.3827472,1.2091533,0.5983729,1.2177724,0.3990693,1.0781537,0.9964991,1.3612113,0.6810399,1.1602021,1.0689541,0.78810453,0.6920315,0.57238376,1.1072013,1.4221352,1.2958894,1.4405482,1.2150741,1.4958531,0.6544503,0.6078827,0.41995502,0.5482988,0.75909966,1.4798685,1.3679022,1.2050256,1.3629613,0.53837323,1.0585927,1.1460986,1.0791569,1.0462166,1.3450207,1.1601459,0.56616724,1.2962401,1.2870413,0.565587,0.53762627,1.1930641,0.828927,1.2039801,1.1586354,1.1682022,0.36904287,0.8034929,0.7822939,1.577539,0.5298133,1.1965425,0.4143774,1.4460715,0.7020111,1.4859868,1.4540957,1.3454396,1.5702461,1.2904094,1.240306,1.401607,0.5885597,0.3577373,0.46314478,1.3867972,1.3388711,1.4255588,1.0105025,1.2306769,1.1731325,0.78456974,1.0467045,1.0919857,1.19611,1.4563379,0.74028164
cracker,1.0870223,1.1538752,1.1057653,0.86156106,1.0320299,1.0956733,1.1422278,0.8203164,0.82294035,0.9656882,0.98309815,1.0705309,1.139792,1.0143561,0.92668146,1.0223745,1.0344073,1.0659972,0.7281264,1.1730905,0.8859908,0.7440052,0.44251925,0.98639995,0.96034116,0.87142104,1.1348597,1.2347057,0.92976004,1.1864258,0.97309685,0.96404946,1.0394702,1.1753577,0.8978813,0.9545481,0.99256814,1.09942,0.0,1.0935103,0.9318982,1.1679064,1.0009379,0.9390852,1.0276536,0.9994079,1.097221,0.969681,1.0503061,1.1162083,1.0470905,1.1397878,1.1890941,1.0279695,1.1262884,1.0390263,1.1055346,1.0446626,1.0675625,1.1746039,0.8600781,1.0896294,1.2041212,1.0423231,1.243666,0.7476493,1.0937093,0.7173638,1.0130681,1.141289,0.9337162,1.126112,0.99843204,1.1275457,0.98856014,0.8985478,1.1598636,1.0382829,0.84226394,0.810321,0.99231637,0.87791616,1.0903978,0.8004378,1.1818659,0.9960728,1.1233327,1.1604972,1.0388976,1.041806,1.0717566,1.0923941,1.0984843,0.73933744,1.101486,0.9960145,1.0341226,0.8265838,1.1174368,0.570541,1.1204215,0.76426506,0.9188876,1.1244454,0.7104588,0.91679007,1.072511,1.1797955,1.0273242,1.0875841,1.0658491,0.68433815,0.68519306,0.8540579,0.8284708,1.1444291,0.9861405,1.1059952,1.0548499,0.9789692,1.0725467,1.0723912,1.1496875,1.0614599,1.1349784,1.1069605,0.79572994,0.93746316,1.1238065,1.0098104,0.83319336,1.1324357,1.1060097,0.86400574,1.033073,1.1320808,0.9755094,0.98426497,1.0895387,0.75522643,0.5987416,1.1000246,1.1008723,1.0836384,1.1641314,1.169369
crayon,0.6676124,0.5763575,0.451046,1.0730975,1.4705398,0.8554412,0.6894265,0.47009134,0.71283126,1.4487902,1.3678875,1.5475179,0.4646473,1.2519091,1.5931089,0.90401727,1.5802827,1.3069425,1.0657713,0.3093089,0.8429997,1.3593712,0.86934745,0.64035237,0.82344013,0.8008363,0.45688587,0.96217114,0.6157517,1.4310668,1.3694897,0.41131473,1.2188051,1.252566,1.3613563,1.0697855,0.85971946,1.5420854,1.0935103,0.0,1.5429419,0.31299764,0.8461882,1.0995542,1.4221377,1.3056301,1.2270422,0.9605418,1.0148805,0.76257515,0.5796059,1.1758078,0.6109197,1.2929223,0.7704398,1.2902757,0.4040556,0.6175598,0.7125612,0.23710096,0.91871095,1.5117984,0.36886233,1.000243,0.96454066,0.7894919,1.295413,1.2195412,1.3191903,0.41395545,0.944846,1.3744302,0.9769963,1.4820452,0.77204794,1.0563504,0.46406257,1.2539258,1.030845,1.1729107,1.3382357,1.4908345,1.3862805,1.1721429,0.27695322,0.6161866,0.6186541,0.9388351,0.2666126,1.3304813,1.440295,1.5395379,1.4252617,1.2567508,0.17723703,0.3726045,0.84347576,0.75750977,1.1917388,1.1322751,0.81767297,1.0628676,1.0850651,0.6986935,1.0580682,1.4570944,0.5742792,0.57495755,1.4269639,1.3428118,1.073601,1.2341657,1.1060402,1.1624341,0.88924813,1.4773806,1.3571497,1.2215776,0.32781255,1.4318466,0.6547719,1.4557548,0.28451717,1.2015773,0.1761365,0.39814413,0.79996383,0.43488944,0.771171,0.6865198,0.70670646,1.3222181,1.4956613,1.475733,0.71248436,0.64019054,0.46439958,0.93206155,0.65702736,0.9529357,1.3460785,0.99741495,0.98059374,0.68577087,0.3219527,1.2102515
crib,1.1614106,1.3711939,1.5617168,1.1832472,0.7953019,1.3683071,1.3050983,1.4352477,0.9658323,0.48361588,0.8060278,0.43014777,1.4521506,0.66793394,0.4820602,1.0467774,0.5105814,0.6925712,0.7011806,1.3338742,1.08653,0.29423726,1.2928674,0.86437196,0.9235259,1.2365898,1.1837711,0.9229794,1.3746423,0.8139246,0.31718063,1.4374576,0.5768082,0.8523592,0.652659,0.9602878,1.3000301,0.47529864,0.9318982,1.5429419,0.0,1.3511176,1.1016057,1.0052892,0.6811019,0.61109793,0.676704,0.72709334,1.0164671,1.4636353,1.5706685,0.96841234,1.4245021,0.9228799,1.4416429,0.782762,1.4619523,1.0613465,1.4240873,1.4719412,1.0479605,0.7454585,1.5546806,1.0552989,1.1390567,1.1907992,0.9717629,0.8331586,0.9896282,1.414144,1.0242652,0.71837896,0.8839402,0.80961096,1.0850112,0.56898254,1.2658062,1.0273197,1.0875256,0.90570146,0.7577051,0.67864615,0.5496856,1.093766,1.5600314,1.1980653,1.3689246,1.3585217,1.5442212,0.53556156,0.8199716,0.66063637,0.83431196,0.7018384,1.4108115,1.3517623,1.2381992,1.369628,0.74064255,0.9000946,0.96657366,0.96840537,0.9015112,1.3992065,1.0513933,0.42500383,1.1850083,1.3852634,0.4623664,0.77403075,0.9734376,0.80316323,1.1102326,0.94081205,0.99655503,0.79486454,0.8749758,0.9968333,1.4123617,0.58692884,1.11953,0.55232,1.6056986,0.847376,1.5851916,1.3377968,1.3336413,1.4383919,1.2569528,1.3279523,1.3553388,0.6200589,0.7245673,0.36804116,1.2613372,1.5302101,1.4330637,0.87782794,1.1090049,0.78012645,0.5633509,1.1031075,0.8035741,0.92705125,1.5292245,0.74748826
cup,0.80721104,0.82099646,0.42811525,1.0143001,1.5412279,0.772933,0.7175157,0.695364,0.63210785,1.3656578,1.3333607,1.4804503,0.72270566,1.281102,1.5269806,0.82602775,1.5276215,1.3374567,1.0579468,0.09496963,0.48362422,1.2236881,0.89909804,0.8075316,0.53753823,0.92565,0.4081025,0.95521086,1.000248,1.3504663,1.1973511,0.35134315,1.1906786,1.2106366,1.0732791,1.2909682,0.8492315,1.4284542,1.1679064,0.31299764,1.3511176,0.0,0.8559755,0.90629184,1.2497015,1.199987,1.1804711,0.9661397,0.9109168,0.9629803,0.56426996,1.1894857,0.6861453,1.2385606,1.0238252,1.2057686,0.7039931,0.51472354,0.94317615,0.38646,0.9148145,1.2221005,0.5169988,1.2035136,1.0891564,0.8566485,1.3111777,1.2968882,1.4100106,0.463966,0.94074655,1.3823698,0.5575391,1.5689546,1.0839919,0.9104249,0.33866107,1.3465497,1.0457021,1.0486369,1.1255676,1.5605258,1.2981274,1.1231623,0.37368184,0.77277195,0.6528478,0.90442795,0.3765539,1.1908567,1.3617601,1.5705154,1.5122283,1.2481745,0.48466885,0.8103085,0.95457006,0.8336314,1.0939873,1.0635582,0.6705367,0.8647037,1.1381301,0.7936275,0.990227,1.3792198,0.49794942,0.7427505,1.2268356,1.282623,1.0615993,1.3567171,0.94448185,1.1029148,1.117269,1.4743489,1.2980515,1.3778043,0.44526184,1.3072808,0.59819996,1.3791342,0.4659505,1.2504752,0.38694,0.36452532,0.7574531,0.6517527,0.8503722,0.9176158,0.72221285,1.2551812,1.4514825,1.3062434,0.44851673,0.83414394,0.82807827,1.1902547,0.86583245,0.8430967,1.155951,1.0355904,0.96275777,0.7358726,0.44075638,1.1562879
deer,0.7545234,0.97596043,0.9121267,1.1018819,1.3010235,1.0468423,0.9674175,0.8714928,0.93875897,1.2893577,1.1569105,1.2757638,1.0108843,1.1114603,1.1989824,0.76346385,1.2595788,1.1627313,0.859763,0.8329067,0.9220144,1.0346861,1.0618904,0.8809486,0.9481436,0.84380364,0.9060056,1.0686018,0.94985485,1.198853,1.0873588,0.7736612,1.042235,1.0706385,1.1249379,1.2402021,0.9985209,1.2779613,1.0009379,0.8461882,1.1016057,0.8559755,0.0,0.81802905,1.1013887,0.9693815,1.1278052,1.0057645,0.988363,1.0159835,0.88111943,1.0647649,0.92730033,1.0439248,1.0907983,1.090828,0.88213414,0.7965522,1.0676758,0.76999277,0.7074819,1.1545402,0.8669987,1.0316396,1.0218338,1.034331,1.1624417,1.0659715,1.190878,0.8178318,0.4265542,1.1686612,0.8408038,1.3766807,1.03377,0.8889243,0.80943537,1.2040572,1.0350449,0.99661624,1.0680038,1.2744057,1.1273719,1.221649,0.9601974,0.9843808,0.76874673,1.0091096,0.84686077,1.1394372,1.2372323,1.2810392,1.321992,1.084694,0.868225,0.9966798,0.65922874,0.8687169,1.119704,1.0637507,0.7743331,1.0279673,0.8449076,0.92082185,0.98906887,1.1248977,0.832877,1.0091643,1.1616876,1.1853176,0.7337735,1.11151,0.87459064,0.94157314,0.8403148,1.2614707,1.0233208,1.2842988,0.7019517,1.2470548,1.0413111,1.2464092,0.9441911,1.1467576,0.9398999,0.93091136,0.8903548,0.68853605,0.85648435,1.0009849,0.8873205,1.1302619,1.2785261,1.176231,0.8221272,1.0494841,1.0036685,1.1276823,1.0299783,0.83870244,1.0524762,0.99332213,0.945034,0.84069693,0.91072714,1.1072965
dish,0.99779534,1.1757818,0.8727473,0.7594041,1.1532621,0.7044857,0.86944157,1.0744053,0.99472314,1.0061766,1.0658457,1.0953888,1.1982598,1.1875827,1.0637031,0.96755075,1.0872033,1.0693965,0.92506284,0.9904101,0.39371145,0.8722838,0.97268647,1.035568,0.72465444,0.93282664,1.1189672,1.1309198,1.1082476,1.1468713,1.1010638,1.0176357,1.1633751,1.1295426,0.7595006,1.1114509,0.87883574,1.111883,0.9390852,1.0995542,1.0052892,0.90629184,0.81802905,0.0,1.0538296,1.0928047,1.1291637,1.0005412,1.0326968,1.139245,0.7593335,1.0304163,0.94507897,1.0467854,1.1696188,1.08974,1.091448,0.929299,1.2575585,1.1352959,0.87977004,0.9291508,1.1963289,1.22742,1.0779289,0.70206475,1.1813691,1.0043314,1.0983365,1.1899219,0.90363216,1.1734701,0.7576713,1.221355,1.1574503,0.93750167,0.95558345,1.0755919,0.90665233,0.7105857,0.9326251,1.0755877,1.0769696,0.9740089,1.1032043,1.1304145,1.0449302,1.0635331,0.9568405,1.1488602,1.15031,1.1724097,1.2368462,0.9759099,1.0962627,1.157181,1.0321895,0.7556454,1.0874207,0.833979,0.9584116,0.5615755,1.0190846,1.0770487,0.9132594,1.0256608,0.95852774,1.0513043,1.1239899,1.0590987,1.0860866,1.0316504,0.7391674,1.0227162,0.97279584,1.1812559,1.027172,1.2545402,1.0203127,1.0435941,1.0343735,1.1084354,1.237422,1.104889,1.137651,1.0470464,0.77323467,0.97751176,0.9634999,1.1704494,0.6888071,1.1007934,1.1356316,0.85351586,0.67681044,1.1987967,1.1270708,1.0258718,1.1601305,0.76765597,0.6894172,1.0378721,1.0060794,1.1079875,1.2153981,1.0899493
dog,1.0215296,1.31053,1.2516586,1.0145247,0.8526893,1.1220272,1.2501104,1.2884586,1.1375822,0.839136,0.5821488,0.6838629,1.3359135,0.8305007,0.781299,0.821661,0.66833085,0.8858008,1.0010575,1.199965,1.1649561,0.911332,1.0636474,1.1944485,1.1826481,1.1623487,1.2807875,0.9899169,1.3120813,0.27545595,0.72923756,1.2736106,0.89275044,0.8565266,0.870003,1.1215888,1.0711339,0.6218033,1.0276536,1.4221377,0.6811019,1.2497015,1.1013887,1.0538296,0.0,0.6555418,0.8802254,1.0843054,0.87721384,1.2652286,1.2858565,1.0446273,1.1827831,0.83333004,1.288653,0.87990475,1.1755818,1.0594176,1.2847819,1.3805444,0.89765835,0.8274039,1.2990147,1.1014929,1.0212544,1.218532,0.8551649,0.9028483,0.9880696,1.2710727,0.9024878,0.88768494,1.0016913,0.8132944,1.2278792,0.96303606,1.184067,0.8796056,0.9109911,0.9301343,0.89622986,0.8903157,0.80367553,0.9008336,1.3469981,1.2601973,1.2189854,1.0359135,1.3266386,0.87149435,0.49947703,0.82201314,0.8639672,0.97105885,1.3626329,1.3489959,1.0409354,1.150486,0.80215,0.92123276,0.9512165,1.0634918,0.7806044,1.0595254,1.0784674,0.88158816,1.1965753,1.2635353,0.7995014,0.8490741,0.782434,1.017259,1.097965,0.81720245,1.1416075,0.8031711,0.8704108,0.96090525,1.3538637,0.7998593,1.2109606,0.840644,1.3617365,0.9889755,1.3540071,1.274646,1.1732186,1.3668717,1.079403,1.2055528,1.2158184,0.89004546,0.7658229,0.77251387,1.2182204,1.2843271,1.3542702,1.0525944,1.2366922,0.98794234,0.9264333,1.046803,1.0165693,1.0355316,1.3607066,0.88514173
doll,1.2358111,1.2220311,1.1367859,1.1295776,0.90769726,1.018116,1.106799,1.185221,1.0521915,0.98244196,0.8629813,0.8411977,1.3040023,1.0012214,0.6791394,0.8450913,0.8290296,1.0834069,0.8130056,1.1204834,1.1511874,0.82620704,1.1051879,1.0204064,1.113467,1.0505205,1.1656995,1.1176994,1.2006054,0.87027705,0.859324,1.1591105,0.91108894,0.8634023,1.0498898,1.2097651,0.9041665,0.87487835,0.9994079,1.3056301,0.61109793,1.199987,0.9693815,1.0928047,0.6555418,0.0,1.0784507,1.1906736,0.8084655,1.1275045,1.1774502,1.1327885,1.2259681,0.77334446,1.1005476,1.0447682,1.2210478,0.83531314,1.0723804,1.2847056,0.78787065,0.9387102,1.1937014,0.7446625,1.2081585,0.9493625,0.8450768,0.96918404,0.82734615,0.97040284,0.8984261,0.80186045,0.95153284,0.93439347,1.2078656,1.0043007,1.2875426,1.0047971,0.91606057,1.0068336,0.8657689,0.6499033,0.8295564,0.80699223,1.1869894,1.2372842,1.1185935,0.78766495,1.2145362,1.0382214,0.7014221,0.7476698,0.9400226,1.0444673,1.2894421,1.2084551,1.0198638,1.2074803,0.8989494,0.86790955,0.9776874,1.124409,0.8135915,1.087645,0.8858274,0.8147706,1.1002164,1.2247349,1.032102,0.9790719,0.75825924,0.9926893,1.0611109,0.83333164,1.0332351,0.8418415,0.8639833,0.9024572,1.1644121,0.95406365,1.3985075,0.9867646,1.2108268,0.9042519,1.2557573,1.1162528,1.2833642,1.1955558,1.2758176,1.2242693,1.1249123,0.8203873,0.7951759,0.80957234,1.0466835,1.0723691,1.2730145,0.9099681,1.127815,0.60355246,0.93342346,1.2127979,0.81561273,0.9479638,1.2168714,1.0663892
door,0.9203812,1.0748324,1.294209,1.1735466,0.90981805,1.2839897,1.1327751,1.2968595,1.0525612,0.59227306,0.9864676,0.7959228,1.0935856,0.66782385,0.99174213,1.1577346,0.88387346,0.85744405,1.1293398,1.1175953,1.2738378,0.86467355,1.1846505,0.8878741,1.0703189,1.1524818,0.91537106,0.8492268,1.1992519,0.9140447,0.51635,1.1152323,0.29736876,0.6868838,0.71771026,0.9639281,1.1611634,0.75969493,1.097221,1.2270422,0.676704,1.1804711,1.1278052,1.1291637,0.8802254,1.0784507,0.0,0.5685277,0.9966541,1.1647673,1.3455802,0.95567656,1.1730863,1.0217026,1.1401818,0.9272415,1.2190305,1.1351031,1.1837455,1.1422364,1.2649314,0.88794166,1.1881657,1.1852688,0.89476466,1.3354607,0.8735837,1.0165398,1.0293068,1.2921858,1.193578,0.78022486,0.98567724,0.83184695,0.95774657,0.66795,0.90071493,0.97132695,1.1377664,1.0924169,0.96031773,1.0273238,0.8535255,1.1776104,1.2481045,0.8943053,1.0979908,1.149704,1.2882066,0.47420532,0.95553094,0.92000633,0.7068203,0.82639706,1.1346748,1.142612,1.1875508,1.2224904,0.9162662,1.1219233,0.99482685,1.2048094,1.1412882,1.270535,1.0578607,0.92449087,1.1231589,1.0880542,0.34444302,0.84480536,1.0450497,0.8820065,1.1324005,1.0782316,1.1264737,0.86713564,1.0927337,0.809547,1.1459137,0.49530566,0.86559486,0.8561837,1.2579165,0.9654962,1.1943423,1.1811498,1.0696886,1.2703341,0.97286314,1.1125448,1.2570168,0.9018952,0.78968894,0.9197417,1.3167541,1.2014241,1.1670619,0.98121655,0.87729776,1.233958,1.0706048,0.95974106,0.9691413,0.736029,1.2200029,0.46377313
drawer,0.65805185,1.0918638,1.1792152,1.0397571,1.1134803,1.2274202,1.1280313,1.1384525,0.6657473,0.7838154,1.1346816,1.034269,0.8864796,0.71075165,1.2436866,1.0015846,1.1355888,0.8273779,0.82325387,0.9519499,0.99395484,0.6283225,1.0382819,0.8006916,0.8482454,0.9136728,0.7801064,0.7915286,1.0967412,1.2000918,0.57149214,0.9101836,0.57689273,1.0436622,0.70996535,0.84695256,1.089201,1.0235331,0.969681,0.9605418,0.72709334,0.9661397,1.0057645,1.0005412,1.0843054,1.1906736,0.5685277,0.0,1.0946497,1.242776,1.159462,1.0509498,1.0960882,1.1750015,1.1901877,0.91341174,1.0185895,1.0154755,1.2294697,0.9317326,1.0358224,1.1455282,1.1194458,1.1819531,1.0304539,1.1407213,1.1716995,1.1532729,1.1652923,1.1452581,1.0439873,1.079716,0.77849245,1.1872896,0.80985963,0.43222558,0.66973996,1.1914654,1.0508629,0.9296157,1.01863,1.2219015,1.0528876,1.188131,1.1803737,0.7916937,1.0431551,1.2152994,1.0807112,0.50281847,1.2685852,1.194028,1.0859035,0.7100108,0.7751627,0.85117733,1.1427294,1.038955,0.9784927,1.0712322,0.8859081,1.077219,1.0821615,1.1228015,1.0256987,0.84235823,0.9073276,1.1347839,0.5805426,1.0536747,1.0924956,0.93681407,1.0525227,1.1352936,0.98658437,1.193251,1.163161,1.1283569,0.94479054,0.8584922,0.5302956,1.0058095,1.1668739,1.130724,1.0153481,1.0122817,0.9465059,1.0313145,0.75704175,1.0337212,1.120813,1.0840092,1.1538761,0.9960795,1.0850637,1.2438301,0.9062382,0.9296083,0.8278594,1.0278907,0.8970151,1.0856632,0.97393787,0.7668141,1.0489962,0.75236416
dress,0.94714326,1.0625103,0.96231765,0.95323026,1.1673448,0.99245816,1.0324414,1.0030398,0.9620087,1.1541348,1.059141,1.1261872,1.0775722,1.0390581,1.0967474,0.88446313,1.0947596,1.1386229,1.0658158,0.8391896,1.0364608,1.1203597,1.0177163,1.0583096,0.9497214,0.9899571,0.8872174,1.01312,1.0817835,1.0062194,0.9928564,0.90725064,0.99729866,0.9567009,1.0715746,1.2055717,1.0126493,1.0914037,1.0503061,1.0148805,1.0164671,0.9109168,0.988363,1.0326968,0.87721384,0.8084655,0.9966541,1.0946497,0.0,1.0459465,0.9474885,1.0795493,1.0914432,0.9961627,1.1002511,1.1022166,0.9544821,0.82204485,1.0478512,0.9576221,0.9362458,1.1115611,0.96521527,0.91595954,1.0622212,1.0604348,0.9943783,1.0492697,1.1622609,0.893359,0.8666132,0.8792353,0.8643348,1.0959157,1.1560832,0.96966803,0.8915074,1.1144662,0.9413995,1.0052625,1.0222552,1.0828173,1.0144229,0.98527414,0.970929,0.88543415,0.82622343,1.01353,0.98009837,1.0248163,1.060262,1.093724,1.0580838,1.031529,1.049961,1.1205438,0.9400779,1.0019443,0.95027924,1.057513,0.88993776,1.096579,0.91638416,0.9267285,0.9350278,1.0780898,0.9632385,0.9859947,1.0439129,1.0470097,0.8846384,1.0655646,1.0168556,0.843212,1.120729,1.0462186,1.0844215,0.9846276,0.9195554,1.0809883,1.0650742,1.1544544,0.9740375,1.056352,0.89873815,0.9203017,1.0449821,1.0193714,0.974344,1.0337875,0.9774778,0.99564266,0.9917707,1.1289575,0.97626853,1.0017734,1.0817406,1.1647638,0.87734985,0.9941474,1.1631598,1.0597491,1.0455977,0.91989005,1.0200067,1.0459098
ear,1.2270093,0.53409886,0.67478466,0.84453416,0.9973338,0.7722565,0.7097042,0.8501991,1.1302806,1.2913935,1.211409,1.3812995,0.69754696,1.1779838,1.208159,1.144886,1.2723174,1.2053928,1.2552971,0.99170333,1.1593107,1.3845048,0.92705417,1.1511575,1.1034827,0.8600222,0.9174786,1.2143908,0.6052366,1.1807611,1.3575976,0.84565353,1.1600302,1.0671505,1.1717336,0.9663657,0.74342704,1.3339312,1.1162083,0.76257515,1.4636353,0.9629803,1.0159835,1.139245,1.2652286,1.1275045,1.1647673,1.242776,1.0459465,0.0,0.65153044,1.0336906,0.71270216,0.97467536,0.26930583,1.2020053,0.8738557,1.0221535,0.31864345,0.7086282,1.1888438,1.1743023,0.5199678,0.7661294,1.1078582,0.7690846,0.80917597,1.1708847,0.64148355,0.6765225,1.0991197,1.135219,1.2660862,1.053978,0.96678656,1.2353863,1.0754999,0.88944834,0.9141908,1.2121198,1.1858647,0.99036646,1.3287094,0.86916757,0.48768818,0.90547556,0.7051775,0.520352,0.7391632,1.3091831,1.1994596,1.0744188,0.97663045,1.2139578,0.8576722,0.7380917,0.8966094,0.84346724,1.1734109,1.1168394,1.1349719,1.1774669,1.0678357,0.7317471,0.9248263,1.3774964,1.0185798,0.66522825,1.3103307,1.0998977,0.9684022,1.1297927,1.0551488,0.943212,1.1137148,1.0734303,1.0051033,0.7493051,0.85345393,1.2033406,1.1276456,1.2860527,0.4919061,1.1419418,0.64416766,0.7861724,1.0271487,0.8062951,0.93742543,0.7482723,0.8308381,1.173126,1.1149322,1.3865445,0.8967012,0.2076456,0.6742392,1.047278,0.8927297,1.2547677,1.4141029,0.9620173,1.182956,1.0826386,0.5204068,1.18816
egg,1.0752918,0.8419577,0.26543558,0.67156076,1.3286886,0.23963618,0.405046,0.59188163,0.96906006,1.410325,1.1884863,1.4917966,0.82572573,1.3550578,1.3993653,0.9479299,1.4723129,1.3227493,1.1527176,0.6673487,0.6955426,1.4118063,0.78816545,1.0978725,0.9036908,0.8513797,0.89461845,1.2172852,0.6603679,1.3117511,1.4612024,0.5823401,1.3851697,1.2894721,1.0764527,1.1821289,0.6774267,1.4582312,1.0470905,0.5796059,1.5706685,0.56426996,0.88111943,0.7593335,1.2858565,1.1774502,1.3455802,1.159462,0.9474885,0.65153044,0.0,1.1448362,0.563503,1.1522993,0.66327536,1.3150359,0.72090614,0.84556055,0.76816523,0.6728668,0.9097444,1.1352545,0.6802928,1.040164,1.1383097,0.644527,1.2218233,1.2016861,1.089932,0.6466274,0.9290727,1.4518535,0.89587456,1.4134095,1.083835,1.2119862,0.7292907,1.1702487,0.89167523,0.8553014,1.0655788,1.2614338,1.3747094,0.8319491,0.3914541,1.0207549,0.762478,0.55385953,0.38567007,1.4651794,1.2253749,1.4486753,1.3614923,1.3033414,0.7488126,0.8648535,0.79950273,0.517793,1.2629063,1.0723505,1.0399283,0.9436169,1.0537578,0.5805582,0.7650876,1.4536946,0.83458716,0.6704862,1.483733,1.2528853,1.0565917,1.2259922,0.85332525,1.0296608,1.056791,1.3696055,1.2148017,1.2596637,0.6461458,1.3700945,0.92670596,1.3198228,0.5813962,1.2562673,0.5084287,0.62751985,0.7132073,0.5727754,0.8441219,0.8571384,0.4285226,1.30246,1.3804383,1.4155445,0.4827336,0.57766247,0.6487862,1.1576657,1.102723,0.9068362,1.28164,1.1321006,1.0901533,1.080343,0.6103554,1.3313866
