subject_id,age,pred,ci_lo,ci_hi
overall,9.5,0.797903110175604,0.7535337728113067,0.8667268441573543
overall,9.740506329113924,0.8023122169890877,0.7639410156548037,0.8633351079345898
overall,9.981012658227849,0.8062419846679285,0.7687389101610883,0.8598476231798611
overall,10.221518987341772,0.8097063209109544,0.7734784710514553,0.856270953624153
overall,10.462025316455696,0.8127191334169974,0.7778379329234475,0.8526116629984533
overall,10.70253164556962,0.8152943298848851,0.783221520742319,0.851782926362262
overall,10.943037974683545,0.8174458180134493,0.786643929887208,0.8517700772987631
overall,11.183544303797468,0.8191875055015188,0.7890675608197784,0.849568021754611
overall,11.424050632911392,0.8205333000479236,0.7901279092197137,0.8463049831794477
overall,11.664556962025316,0.8214971093514933,0.7921219143292827,0.8473229024042518
overall,11.905063291139241,0.8220928411110585,0.7924567350474823,0.8458535113831361
overall,12.145569620253164,0.822334403025449,0.7926229885661228,0.8462381709219385
overall,12.38607594936709,0.8222357027934937,0.7927822283163423,0.8459648410038278
overall,12.626582278481013,0.8218106481140233,0.7939220948719248,0.8465232245110513
overall,12.867088607594937,0.8210731466858672,0.7941737996087989,0.8450773574600378
overall,13.10759493670886,0.8200371062078554,0.7931252551237379,0.845335570987574
overall,13.348101265822784,0.8187164343788179,0.7920334169285181,0.8436940448359799
overall,13.58860759493671,0.8171250388975845,0.790799812485653,0.8424900945080396
overall,13.829113924050633,0.8152768274629849,0.7893781686214838,0.8409102712538199
overall,14.069620253164558,0.8131857077738489,0.787898083456024,0.8380637620617604
overall,14.310126582278482,0.8108655875290068,0.7861864608087231,0.8347261733965028
overall,14.550632911392405,0.808330374427288,0.7836551248852678,0.8310352141356381
overall,14.791139240506329,0.8055939761675225,0.7821738381802636,0.8270101908882777
overall,15.031645569620252,0.80267030044854,0.7804318045017868,0.8240163624808264
overall,15.272151898734178,0.7995732549691708,0.777288870391251,0.8201246107687377
overall,15.512658227848101,0.7963167474282441,0.7734426382865807,0.8160763633382658
overall,15.753164556962027,0.7929146855245902,0.7707414404419864,0.8123298200475604
overall,15.99367088607595,0.7893809769570389,0.7682975204886381,0.8069059796036268
overall,16.234177215189874,0.78572952942442,0.7656533875280686,0.8031207571372659
overall,16.474683544303797,0.7819742506255632,0.7635139532539634,0.8004830804421579
overall,16.71518987341772,0.7781290482592987,0.7586923991194019,0.7977504476778298
overall,16.955696202531644,0.7742078300244559,0.7538054067845206,0.7937607270458419
overall,17.196202531645568,0.7702245036198654,0.7485301350916667,0.7896775254491561
overall,17.436708860759495,0.7661929767443559,0.74171144032829,0.7864179679796868
overall,17.67721518987342,0.7621271570967584,0.7378169961797344,0.784102191397007
overall,17.917721518987342,0.758040952375902,0.7340303978809236,0.7817379805526788
overall,18.158227848101266,0.7539482702806168,0.7291320015430814,0.7792978405368781
overall,18.39873417721519,0.7498630185097328,0.7234253785254804,0.7768281562816226
overall,18.639240506329116,0.7457991047620796,0.7165437948522655,0.7743052734722364
overall,18.879746835443036,0.7417704367364872,0.7097962154568447,0.772318547685035
overall,19.120253164556964,0.7377909221317853,0.7032240713865547,0.7714245875907454
overall,19.360759493670887,0.7338744686468038,0.6984901496283754,0.7703558058640398
overall,19.60126582278481,0.7300349839803728,0.6939084331681082,0.768207219015551
overall,19.841772151898734,0.7262863758313218,0.6877618911377177,0.7658803500803786
overall,20.082278481012658,0.7226425518984809,0.6819379982057315,0.7628931765453778
overall,20.322784810126585,0.7191174198806799,0.6764685328103511,0.7598667746316446
overall,20.563291139240505,0.7157248874767485,0.6713884516764421,0.7567838338831683
overall,20.803797468354432,0.7124788623855167,0.6667327115288697,0.7545621874223662
overall,21.044303797468356,0.7093932523058142,0.6625362690924997,0.7534333431879046
overall,21.28481012658228,0.7064819649364712,0.6582381653673153,0.7523453548312782
overall,21.525316455696203,0.7037589079763169,0.655084916348082,0.7512873366270154
overall,21.765822784810126,0.7012379891241821,0.6519815478668703,0.7488082007044926
overall,22.006329113924053,0.6989331160788957,0.6484238248752975,0.7453466588478864
overall,22.246835443037973,0.6968581965392882,0.6459680915985061,0.7417265846477176
overall,22.4873417721519,0.695027138204189,0.6428700208410906,0.7389068983129379
overall,22.72784810126582,0.6934538487724284,0.6404135933786873,0.7376126309480977
overall,22.968354430379748,0.6921522359428358,0.639202098654044,0.7365857749517711
overall,23.20886075949367,0.6911362074142415,0.63903151455629,0.7356183609801805
overall,23.449367088607595,0.6904196708854748,0.6388678970435486,0.7346876324904906
overall,23.68987341772152,0.6900165340553661,0.6405550582841527,0.7338058683733667
overall,23.930379746835442,0.689940704622745,0.6406212527191771,0.7330734461003678
overall,24.17088607594937,0.6902060902864413,0.6402054600067149,0.7340585664128777
overall,24.41139240506329,0.6908265987452848,0.6399830744020205,0.7331739685761505
overall,24.651898734177216,0.6918161376981058,0.6409585453888326,0.7324179401011577
overall,24.89240506329114,0.6931886148437335,0.6425223147291583,0.7317389875964093
overall,25.132911392405063,0.6949579378809982,0.6446873129087416,0.7331269404180266
overall,25.37341772151899,0.6971380145087296,0.6476298898475167,0.7377535380495149
overall,25.61392405063291,0.6997427524257575,0.651182022882408,0.7421857977929893
overall,25.854430379746837,0.7027860593309119,0.6504301880650631,0.7458816261378352
overall,26.09493670886076,0.7062818429230225,0.6482705288582209,0.7520228571065337
overall,26.335443037974684,0.7102440109009193,0.6502254379454214,0.7576144985577025
overall,26.575949367088608,0.7146864709634322,0.6471253340127229,0.772901282173336
overall,26.81645569620253,0.7196231308093907,0.6484900019159837,0.7831099650079554
overall,27.056962025316455,0.725067898137625,0.6477696311713895,0.7938566352212523
overall,27.29746835443038,0.7310346806469646,0.6473817343118343,0.810606012838454
overall,27.537974683544306,0.7375373860362399,0.6466718271100093,0.8280618951569949
overall,27.77848101265823,0.7445899220042802,0.6461896533913049,0.8474957992089229
overall,28.018987341772153,0.7522061962499157,0.6459371373171753,0.8664915075894933
overall,28.259493670886076,0.760400116471976,0.6423178116354481,0.8844114471361189
