subject_id,age_youngest,age_compared,correlation,n_common_categories,hours_compared,n_rdm_pairs,cor_se
00400001,10,11,0.7931552241210332,91,8.34,4095,0.015626907697949846
00400001,10,12,0.7592639356336037,91,9.64,4095,0.015626907697949846
00400001,10,13,0.7741565269523009,91,11.07,4095,0.015626907697949846
00400001,10,14,0.6974930803166005,91,10.5,4095,0.015626907697949846
00400001,10,15,0.7170294739361608,91,3.94,4095,0.015626907697949846
00400001,10,16,0.6557749342908454,91,4.05,4095,0.015626907697949846
00400001,10,17,0.7224271532792559,91,4.5,4095,0.015626907697949846
00400001,10,18,0.6001924770172522,91,2.7,4095,0.015626907697949846
00400001,10,19,0.7115338389699537,91,2.06,4095,0.015626907697949846
00400001,10,20,0.6425989297406958,91,3.2,4095,0.015626907697949846
00400001,10,21,0.5793859429396476,91,1.52,4095,0.015626907697949846
00400001,10,22,0.6428555667782947,91,3.31,4095,0.015626907697949846
00400001,10,23,0.6303339062779543,91,3.1500000000000004,4095,0.015626907697949846
00400001,10,24,0.6545453988157868,91,4.89,4095,0.015626907697949846
00400001,10,25,0.6597298821390097,91,2.23,4095,0.015626907697949846
00400001,10,26,0.7118247198518535,91,4.2,4095,0.015626907697949846
00400001,10,27,0.6641376740156012,91,2.77,4095,0.015626907697949846
00400001,10,28,0.680792979598539,91,2.47,4095,0.015626907697949846
00400001,10,29,0.5524201901103921,91,0.0,4095,0.015626907697949846
00370002,9,10,0.7091939697893657,116,4.54,6670,0.012244387999457521
00370002,9,11,0.6871802552647965,116,5.3100000000000005,6670,0.012244387999457521
00370002,9,12,0.6885209097497007,116,6.3100000000000005,6670,0.012244387999457521
00370002,9,13,0.6662588356968441,116,7.48,6670,0.012244387999457521
00370002,9,14,0.654187881762876,116,5.86,6670,0.012244387999457521
00370002,9,15,0.6591604598670294,116,7.08,6670,0.012244387999457521
00370002,9,16,0.7231421791005155,116,9.98,6670,0.012244387999457521
00370002,9,17,0.6759126894943599,116,9.05,6670,0.012244387999457521
00370002,9,18,0.7115362010970111,116,5.05,6670,0.012244387999457521
00370002,9,19,0.6586420512661006,116,4.4,6670,0.012244387999457521
00370002,9,20,0.6066154614685403,116,0.0,6670,0.012244387999457521
00320001,9,10,0.8005351012358869,87,3.29,3741,0.016349562879842853
00320001,9,11,0.8436547977720894,87,5.81,3741,0.016349562879842853
00320001,9,12,0.8655345964147313,87,5.63,3741,0.016349562879842853
