subject_id,age_from,age_to,age_midpoint,correlation,n_common_categories,hours_from,hours_to,hours_bin,n_rdm_pairs,cor_se
00400001,10,11,10.5,0.7931552241210332,91,6.95,8.34,7.645,4095,0.015626907697949846
00400001,11,12,11.5,0.8881092412386303,91,8.34,9.64,8.99,4095,0.015626907697949846
00400001,12,13,12.5,0.8893347460829503,91,9.64,11.07,10.355,4095,0.015626907697949846
00400001,13,14,13.5,0.8848473483318301,91,11.07,10.5,10.785,4095,0.015626907697949846
00400001,14,15,14.5,0.8633088866885179,91,10.5,3.94,7.22,4095,0.015626907697949846
00400001,15,16,15.5,0.7896111858392786,91,3.94,4.05,3.995,4095,0.015626907697949846
00400001,16,17,16.5,0.7383563090617311,91,4.05,4.5,4.275,4095,0.015626907697949846
00400001,17,18,17.5,0.7452022901435025,91,4.5,2.7,3.6,4095,0.015626907697949846
00400001,18,19,18.5,0.678941698552332,91,2.7,2.06,2.38,4095,0.015626907697949846
00400001,19,20,19.5,0.7331899618611277,91,2.06,3.2,2.63,4095,0.015626907697949846
00400001,20,21,20.5,0.7327685474586108,91,3.2,1.52,2.3600000000000003,4095,0.015626907697949846
00400001,21,22,21.5,0.6660473851120128,91,1.52,3.31,2.415,4095,0.015626907697949846
00400001,22,23,22.5,0.7652692894335861,91,3.31,3.1500000000000004,3.2300000000000004,4095,0.015626907697949846
00400001,23,24,23.5,0.7833259641540747,91,3.1500000000000004,4.89,4.02,4095,0.015626907697949846
00400001,24,25,24.5,0.7457481027498698,91,4.89,2.23,3.5599999999999996,4095,0.015626907697949846
00400001,25,26,25.5,0.7491081742372693,91,2.23,4.2,3.215,4095,0.015626907697949846
00400001,26,27,26.5,0.7746806828255097,91,4.2,2.77,3.4850000000000003,4095,0.015626907697949846
00400001,27,28,27.5,0.7404542882402058,91,2.77,2.47,2.62,4095,0.015626907697949846
00400001,28,29,28.5,0.5924407937563159,91,2.47,,1.235,4095,0.015626907697949846
00370002,9,10,9.5,0.7091939697893657,116,4.76,4.54,4.65,6670,0.012244387999457521
00370002,10,11,10.5,0.7723934802616638,116,4.54,5.3100000000000005,4.925000000000001,6670,0.012244387999457521
00370002,11,12,11.5,0.7908609025067601,116,5.3100000000000005,6.3100000000000005,5.8100000000000005,6670,0.012244387999457521
00370002,12,13,12.5,0.7607495092523785,116,6.3100000000000005,7.48,6.8950000000000005,6670,0.012244387999457521
00370002,13,14,13.5,0.8004955061122146,116,7.48,5.86,6.67,6670,0.012244387999457521
00370002,14,15,14.5,0.7587360415156111,116,5.86,7.08,6.470000000000001,6670,0.012244387999457521
00370002,15,16,15.5,0.7889868122062299,116,7.08,9.98,8.530000000000001,6670,0.012244387999457521
00370002,16,17,16.5,0.7984623504080405,116,9.98,9.05,9.515,6670,0.012244387999457521
00370002,17,18,17.5,0.748145075951628,116,9.05,5.05,7.050000000000001,6670,0.012244387999457521
00370002,18,19,18.5,0.720559187682024,116,5.05,4.4,4.725,6670,0.012244387999457521
00370002,19,20,19.5,0.6722799793981438,116,4.4,,2.2,6670,0.012244387999457521
00320001,9,10,9.5,0.8005351012358869,87,7.16,3.29,5.225,3741,0.016349562879842853
00320001,10,11,10.5,0.7998955561239286,87,3.29,5.81,4.55,3741,0.016349562879842853
00320001,11,12,11.5,0.8655367198058402,87,5.81,5.63,5.72,3741,0.016349562879842853
00320001,12,13,12.5,0.8890699629103171,87,5.63,8.21,6.92,3741,0.016349562879842853
00320001,13,14,13.5,0.8585556521191557,87,8.21,8.26,8.235,3741,0.016349562879842853
00320001,14,15,14.5,0.8747526697971906,87,8.26,5.1000000000000005,6.68,3741,0.016349562879842853
00320001,15,16,15.5,0.8353299480874501,87,5.1000000000000005,7.77,6.4350000000000005,3741,0.016349562879842853
00320001,16,17,16.5,0.8532003627559626,87,7.77,5.970000000000001,6.87,3741,0.016349562879842853
00320001,17,18,17.5,0.7887306594049035,87,5.970000000000001,6.84,6.405,3741,0.016349562879842853
00320001,18,19,18.5,0.7854777910154672,87,6.84,4.62,5.73,3741,0.016349562879842853
00320001,19,20,19.5,0.7627248983313073,87,4.62,5.93,5.275,3741,0.016349562879842853
00320001,20,21,20.5,0.5172241391192871,87,5.93,6.72,6.324999999999999,3741,0.016349562879842853
00500001,12,13,12.5,0.7388404974320747,88,6.33,1.73,4.03,3828,0.0161627045958809
00500001,13,14,13.5,0.7821645905096716,88,1.73,4.76,3.245,3828,0.0161627045958809
00500001,14,15,14.5,0.7122577103142504,88,4.76,5.89,5.324999999999999,3828,0.0161627045958809
00500001,15,16,15.5,0.8000458693169671,88,5.89,5.65,5.77,3828,0.0161627045958809
00500001,16,17,16.5,0.7577002801554747,88,5.65,0.43000000000000005,3.04,3828,0.0161627045958809
00500001,17,19,18.0,0.6158700843336196,88,0.43000000000000005,0.11,0.27,3828,0.0161627045958809
00500001,19,20,19.5,0.5647364171109298,88,0.11,0.93,0.52,3828,0.0161627045958809
00500001,20,21,20.5,0.49926769322533454,88,0.93,1.78,1.355,3828,0.0161627045958809
00500001,21,23,22.0,0.659877452593708,88,1.78,4.08,2.93,3828,0.0161627045958809
00500001,23,24,23.5,0.6391819469363994,88,4.08,0.63,2.355,3828,0.0161627045958809
00500001,24,25,24.5,0.5191222316942975,88,0.63,2.5,1.565,3828,0.0161627045958809
00500001,25,26,25.5,0.5561183064753163,88,2.5,0.09,1.295,3828,0.0161627045958809
00500001,26,27,26.5,0.5866051369617877,88,0.09,2.14,1.115,3828,0.0161627045958809
