,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,comb,cookie,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,firetruck,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,helicopter,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,mitten,mouth,nail,napkin,necklace,orange,oven,owl,pajamas,paper,pen,pencil,penguin,pickle,pig,pillow,pizza,plant,plate,pumpkin,purse,radio,refrigerator,rock,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window
alligator,0.0,1.1895386,1.3851523,0.47766382,1.1358892,1.1562186,0.74101615,1.2385687,0.67638344,0.6764127,1.2836877,0.52320594,0.52632946,1.3069817,0.67421925,0.72571176,1.1523589,1.4486775,1.3501992,0.819625,1.3383973,1.185032,1.3039963,1.429982,1.3519808,1.1779668,0.9232373,0.9077449,1.4588561,0.80715317,0.9743432,1.0159847,0.5705637,0.8433572,1.5258479,0.92762804,1.4773264,1.1414741,0.9358413,1.0350382,1.0411314,0.82119614,0.8111335,1.0838741,1.3110775,0.7069012,1.0532916,0.78685856,1.1679325,0.76769483,0.8524189,1.2777331,1.1032896,1.3496635,1.1360835,0.693071,1.4206609,1.084412,1.3922817,0.77644885,1.2331882,0.7742392,1.4398782,1.3859057,0.75416017,1.2735447,1.136284,0.59054184,1.031009,1.0844399,1.5010219,1.2169439,0.96816367,0.7507992,0.56372523,0.9472844,1.366688,1.0560789,1.2695954,1.3450793,0.8101375,0.797009,0.59597915,0.80529636,1.3367926,1.3812467,0.75066876,1.0074996,0.69941455,1.3599358,0.88885355,1.0996085,1.0283425,0.78829026,1.0060389,1.266706,0.72112167,0.6040277,1.0990616,0.88766503,1.0864434,0.57654166,0.99855614,0.9323083,0.94423294,0.8539868,0.71378934,0.73196054,1.4814107,0.9210123,1.1785425,1.0725442,1.2882342,1.1705147,1.235985,0.7443042,0.5816232,0.60030925,1.4164902,1.2692908,1.0919341,0.8519243,0.9928848,1.2737658,0.82829565,1.3048934,1.4190277,0.9903727
ankle,1.1895386,0.0,0.6332625,0.98720884,1.1260399,1.0101172,1.2482485,1.1815904,1.4148945,1.310162,0.37363434,1.2356462,1.2689745,1.0679514,1.2354493,1.3679034,1.1603546,0.78147435,0.97975636,1.4389911,0.534218,1.1281686,1.0223473,0.53480214,0.92852604,0.47592854,0.9299296,0.90567714,0.7555046,1.1382549,1.3023998,0.92159283,1.1422436,1.1668094,0.62124944,1.3203156,0.7693975,1.2074423,1.1375614,1.176482,1.0568147,1.08064,1.2133275,0.5934917,0.68310386,0.9592284,0.71167123,1.0029129,0.36549938,1.2165904,1.083797,0.90664345,0.8785677,0.742941,1.2181966,1.2448142,0.5095218,0.78597236,1.1279168,0.9595495,1.0518798,0.7406729,0.69986606,0.80398047,1.2363867,0.8750409,1.1843187,0.8882123,0.98586637,1.1859875,0.62466234,0.6021983,1.2786622,1.327767,1.1842636,0.8279591,0.45138705,0.9435538,0.518054,0.7461094,0.8407539,1.2067021,1.1420326,1.1735619,0.6768774,0.75201416,1.1581131,0.8408927,1.1733173,0.79505193,1.3010552,0.99581146,1.3516116,1.1587018,1.2854488,1.0094596,1.0813961,1.0567675,1.0794088,1.13288,1.2527142,0.9701587,1.1724391,0.6804276,1.1985259,1.1260357,1.3085582,1.3551314,0.5337008,1.1323512,0.77736855,0.8767211,0.95563245,0.9607378,1.0255239,1.2282815,1.0538495,1.380952,1.074477,0.3039477,0.5448502,1.0066082,1.0589402,1.2688808,1.4290664,0.93220216,0.46715528,0.96165323
apple,1.3851523,0.6332625,0.0,1.3065863,0.9435034,0.52786565,1.0726063,1.085977,1.4919605,1.5133412,0.587558,1.4993887,1.453607,0.8563999,1.4296691,1.3108702,1.0624266,0.5353905,0.80945504,1.4381319,0.4058541,1.0002301,0.82956225,0.6548279,0.7565756,0.5211177,1.0772767,1.2495174,0.4366666,1.3772604,1.2303189,0.9214074,1.3893982,1.2228584,0.4384066,1.4351788,0.53551114,0.98542225,1.1167946,1.0924058,1.2691802,1.2352643,1.296173,0.79606366,0.41161168,1.1647607,0.83029586,1.1700082,0.52785146,1.2388315,0.8289041,0.5534784,0.97645915,0.7009264,0.68052363,1.2425503,0.5253242,0.9037707,0.6676138,1.2248975,0.78555095,0.9631099,0.45276594,0.7087446,1.1663451,0.90525675,0.9531354,1.1955221,1.0144392,1.1970203,0.62591505,0.77954316,1.1153396,1.0969195,1.2787055,0.9704679,0.3886339,1.0311047,0.7388949,0.32828426,1.1431159,1.2073067,1.4520625,1.2506846,0.6832276,0.6745639,1.147816,0.79176915,1.1430503,0.7270171,1.1540787,0.6482264,1.1687789,1.1299653,1.1585635,0.95628744,1.3844253,1.3487022,0.9009641,1.225898,1.0222859,1.3507547,1.1030768,0.96551573,1.1964413,1.2146938,1.4239786,1.4079643,0.3385613,1.160405,0.7743356,1.1215205,0.68316954,1.1055818,0.70830935,1.3352594,1.3710248,1.4985087,0.61148155,0.45119894,0.665571,0.9924424,1.1354578,0.7765187,1.39015,1.0619127,0.5350498,1.1860946
arm,0.47766382,0.98720884,1.3065863,0.0,1.2198383,1.3088814,0.7965463,1.3563448,0.73185974,0.70926005,1.2126255,0.5887887,0.5516541,1.278861,0.7532116,0.79082763,1.0940558,1.4901087,1.4244866,0.84761643,1.2064785,1.3102622,1.2898557,1.4613466,1.4369957,0.98655397,0.96218294,1.0448724,1.4777412,0.87467176,0.9538508,0.95230913,0.66634285,0.84053534,1.471922,0.98345524,1.5290604,1.1400753,1.0646325,1.119841,1.0723978,0.9038059,0.8291264,0.91369045,1.3293234,0.70058525,0.91359353,0.68460494,0.93981797,0.8980474,0.86232704,1.3945651,0.9922722,1.2594059,1.245808,0.76856905,1.2903608,1.0297658,1.3696531,0.6670514,1.1506017,0.5600949,1.5274982,1.4181387,0.7166939,1.321471,1.2217759,0.5649998,0.9818173,1.112942,1.4820099,1.2160058,1.1369686,0.9058948,0.6286951,0.8430054,1.29693,1.1893742,1.2240467,1.2348485,0.8463514,0.73668015,0.5115027,0.7234781,1.2876248,1.2489889,0.7533409,1.0127226,0.8170406,1.4879303,0.88663805,1.1591434,1.028764,0.78618586,1.15962,1.2533878,0.7945069,0.719051,1.0717136,0.91979444,1.134734,0.46027416,1.1579361,0.8628118,0.8382637,0.9135006,0.8368061,0.714296,1.470938,1.05594,1.118398,0.97362703,1.2931756,1.1123117,1.3357911,0.85012585,0.49201286,0.55826527,1.4523857,1.062423,1.0462749,0.73682004,1.0750551,1.4096582,0.81266403,1.3779418,1.2321688,1.0322238
ball,1.1358892,1.1260399,0.9435034,1.2198383,0.0,0.49829245,0.94961363,0.8083006,1.0951431,1.0338167,1.2243264,1.2103674,1.0345721,0.78549945,1.0306808,0.9700127,1.0079911,0.90355957,0.9549935,0.96177244,1.150881,0.9217675,0.84660286,1.065229,0.9336995,1.2047491,1.1844947,1.1531214,0.8781321,1.098283,0.87303656,1.0275555,1.1434205,1.1691744,1.0208486,0.9075121,0.78388524,0.8298886,0.893189,0.78822243,0.99870545,1.2106769,1.0770477,1.2266695,0.66654634,1.1874274,1.172171,1.0823812,1.1471852,1.14792,0.97599,1.0480943,0.88258606,1.198911,0.69497156,1.1341187,1.0854309,0.97152275,0.7502116,1.1458528,0.9342392,1.2071028,0.8080208,0.9924461,1.0318748,1.0423113,0.69099826,1.2489331,1.0852512,1.0670139,0.9123863,1.0363976,0.96476036,0.71001065,1.0972781,1.142275,1.0541291,0.9725283,1.1340357,0.7302158,1.309825,1.0195291,1.1335886,1.1467477,1.1014382,1.0825481,1.1099151,1.1845223,0.87626076,0.80313313,0.9896623,0.9667144,0.733057,0.9386109,0.86817014,0.823141,1.2063668,1.124793,1.0130411,1.0940561,0.8219093,1.2321496,0.8567974,1.2839773,1.109951,1.0995458,1.1085988,1.0319391,1.0072094,1.0487376,1.0517917,0.86805975,0.9695856,0.8334218,0.66717565,1.0178312,1.1783662,1.0778096,0.65476876,1.1535072,1.2687001,1.1395352,1.0440116,0.54994893,0.85298526,0.83104444,0.97752446,1.1055989
balloon,1.1562186,1.0101172,0.52786565,1.3088814,0.49829245,0.0,0.7956214,0.90382195,1.2090403,1.2494792,1.0099026,1.3280332,1.2056315,0.89859116,1.2158424,1.0470027,1.077181,0.73084265,0.8179638,1.1295286,0.9651412,0.8107418,0.927683,0.9126122,0.88184166,0.9789692,1.1870285,1.2022626,0.74888057,1.2572914,0.9676432,1.0419916,1.2568382,1.1900998,0.7928357,1.1263448,0.63307,0.86411715,1.0599071,0.92112356,1.0850447,1.1696153,1.1633682,1.1254097,0.5688572,1.2508458,1.1130106,1.177498,1.0117824,1.1333181,0.8426001,0.89358443,0.9876285,1.0766392,0.50299895,1.2206036,0.98037,0.98796993,0.6697557,1.2243304,0.9403149,1.1976979,0.66464305,0.8424269,0.8315544,1.063076,0.7579644,1.3157245,1.0080886,1.0630044,0.8329083,0.9770005,0.95949966,0.4679489,1.0748568,1.1490307,0.8467095,1.0534369,1.0484487,0.53826106,1.2174716,1.0984464,1.3413881,1.2035952,0.9975386,0.9309596,1.1516639,0.90515065,0.9799952,0.828495,0.9239338,0.70068216,0.8948802,0.87900954,0.9390185,0.8530994,1.2792192,1.2226019,1.0071042,1.1427457,0.7746492,1.3474295,0.92071635,1.2629893,1.1115081,1.2021666,1.1561841,1.0568525,0.7753738,1.096762,0.94779474,1.0351919,0.7464446,1.0396931,0.6540953,1.1275681,1.2884884,1.2466719,0.58520764,1.0030034,1.1177396,0.8734249,1.0970788,0.45800912,1.0508767,0.9064764,0.9020167,1.1301104
banana,0.74101615,1.2482485,1.0726063,0.7965463,0.94961363,0.7956214,0.0,1.1085157,0.82601184,0.7333611,1.3068035,0.8062562,0.6752325,1.147482,0.6005673,0.79679507,1.1259313,1.2718015,1.115866,0.9111707,1.1740957,0.97758,1.1480317,1.3634799,1.2178727,1.0984135,1.0843486,1.0222096,1.2484426,0.92911786,1.0481416,0.89566964,0.7806651,0.80114543,1.3058813,0.84910315,1.2773077,1.0682331,0.9522865,0.838958,1.0267485,0.9129534,0.9384448,1.2020963,1.1193081,0.9341798,1.1851631,0.9796802,1.2494967,0.8962617,0.82272166,1.1887478,1.063556,1.1887901,0.8390397,0.87778735,1.3108346,1.0328501,1.1340731,1.0055456,1.1037365,1.0144899,1.1510862,1.155048,0.50370425,1.1449621,1.0546985,0.81312335,0.8471784,1.0238271,1.3173374,1.2127088,0.9504251,0.6130643,0.59585476,1.021897,1.318775,0.8625753,1.2737572,1.0114957,0.9973821,0.9437612,0.86984175,1.050755,1.3090959,1.2491821,0.88236755,0.8612022,0.92958945,1.0745193,0.9382053,1.0038542,0.95811194,0.64398223,0.90203863,1.158862,0.9859315,0.92612714,0.99744004,0.98377514,0.89363784,0.9210658,1.0003345,1.1065946,0.8587628,1.0790124,0.8040651,0.74912256,1.3293772,1.0575141,1.178697,0.9779966,0.98903173,1.1449351,1.1581092,0.86459965,0.8105108,0.8660236,1.0588263,1.3244691,1.25243,0.725512,0.7906022,0.9331968,0.90038013,1.1795125,1.3166649,1.0712192
basket,1.2385687,1.1815904,1.085977,1.3563448,0.8083006,0.90382195,1.1085157,0.0,0.869241,0.95607704,1.0636415,0.989426,1.1951159,0.8903564,1.0602846,1.066917,0.63261986,0.7382513,0.54249644,0.6294141,1.2148263,0.54681957,0.89779496,0.7115886,0.6658149,1.2827253,1.1723478,0.84384215,0.87869066,0.9823842,0.6540581,1.1491764,1.1425775,0.8546628,0.7921327,0.59037304,0.64662063,0.86148167,1.013398,0.9637066,0.87155855,0.72187173,1.157254,1.2903337,0.9329216,1.1652915,1.2779903,1.2853954,1.2963192,1.0180448,1.3758111,0.9879948,1.0828255,1.0199664,0.990601,0.9907061,1.1106925,1.0698085,0.6841984,1.3332515,1.0801384,1.3321365,0.7879234,0.80491,1.1613244,0.9870791,0.7805171,1.4504989,0.91176337,0.8158008,0.74777436,0.962164,0.91994953,0.92072713,1.2674258,1.3150516,1.0894127,0.8513854,1.0944993,1.0433292,1.0932385,0.98911035,1.2412062,0.9623828,0.8549904,0.89596575,1.316225,1.1501281,1.2253513,0.6704586,1.0162269,1.0781134,0.78610766,1.2478142,0.75218683,0.5375678,0.84105444,1.1009252,1.0669961,1.2393256,0.88427126,1.3949909,0.8335207,1.251514,0.8970386,1.0481979,0.83535886,1.0657972,0.911251,0.9469547,1.0421247,0.9117751,0.89433354,0.74468267,0.55004203,1.0930196,1.2843513,1.0294819,0.6004251,1.2628477,1.2116992,1.161619,0.88424253,0.68573433,0.8301012,0.4819435,0.9625103,0.9670611
bathtub,0.67638344,1.4148945,1.4919605,0.73185974,1.0951431,1.2090403,0.82601184,0.869241,0.0,0.48650396,1.503051,0.48497587,0.5599676,1.217907,0.6942308,0.44535547,0.97107875,1.4288213,0.7821234,0.1958288,1.5312078,0.6606573,1.2021998,1.4259487,1.2598153,1.4169759,1.0179566,0.98627424,1.4839969,0.71931976,0.7669122,1.0539148,0.6213498,0.80287325,1.5235056,0.59911084,1.2913913,0.98037726,0.993034,1.1115578,0.88960004,0.5507482,0.8120725,1.2982993,1.4370832,0.92308486,1.2029705,0.87497604,1.4679899,0.8043661,1.0645384,1.339175,1.2426709,1.3701923,1.2112223,0.6440222,1.5273895,1.369262,1.1484601,0.86878663,1.2220808,1.118144,1.5395384,1.3258334,0.77001244,1.25998,0.98991674,0.8563777,1.0791079,0.9329489,1.4262652,1.4226766,0.8666359,0.6818266,0.78543496,1.0639136,1.4939592,1.1732013,1.4778509,1.4142872,1.0047755,0.7982755,0.64594,0.6868896,1.3878051,1.3580458,0.90985185,1.1822646,0.8811951,1.4422959,0.6501854,1.2318223,0.44950372,0.8288996,0.8442004,1.1234648,0.5999535,0.76391727,1.280455,0.96799964,0.9405484,0.8099711,1.0035082,1.2344352,0.7275867,0.82084364,0.13235724,0.41053653,1.6056874,0.91964394,1.142211,1.1862625,1.249925,1.0784928,1.1568115,0.8503194,0.7050961,0.31112146,1.1676987,1.5280218,1.324441,0.9824015,0.98002124,1.0843406,0.23520654,1.2145991,1.5516334,0.9803492
bed,0.6764127,1.310162,1.5133412,0.70926005,1.0338167,1.2494792,0.7333611,0.95607704,0.48650396,0.0,1.4960145,0.36787498,0.5000244,1.1641853,0.32359612,0.6913594,1.0219227,1.3870938,1.1375173,0.5821848,1.4814243,1.0335052,1.180185,1.3337858,1.2501209,1.4248296,0.94875103,0.73310745,1.4318547,0.47014964,0.9301124,1.1264663,0.3843984,0.8744657,1.5511832,0.34974527,1.4318707,1.0769564,0.75714755,0.9086717,0.7291896,0.78441334,0.8563707,1.2864649,1.4289901,0.7675762,1.1652815,0.7599474,1.4611332,0.84811234,1.1185088,1.3361121,1.2004936,1.4873451,1.2440125,0.6703156,1.4716389,1.228101,1.3021846,0.783496,1.1436176,1.1593635,1.3901032,1.2306811,0.8517287,1.1625212,1.1361318,0.72993,1.2214637,0.79640996,1.3360013,1.3364521,0.89243037,0.8313465,0.76782453,1.0620856,1.4560561,1.0063722,1.4864103,1.3866148,0.9825743,0.78600657,0.4988889,0.803318,1.4566509,1.4909585,0.8364456,1.2686182,0.83750445,1.1406137,0.91909367,1.2188725,0.7943258,0.8495809,0.9281515,1.1417063,0.56949556,0.68601924,1.1844211,0.9980221,1.1806136,0.7096375,1.1224408,1.1489576,1.0105339,0.7982887,0.61964965,0.5619824,1.619493,0.862852,1.1017596,1.0007105,1.4271619,1.1151443,1.2755613,0.7788724,0.54266346,0.40720463,1.327268,1.4933189,1.3352522,1.1991049,0.81092256,1.1766026,0.5927048,1.0803652,1.5214916,0.79580975
