,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,comb,cookie,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,firetruck,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,helicopter,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,mitten,mouth,nail,napkin,necklace,orange,oven,owl,pajamas,paper,pen,pencil,penguin,pickle,pig,pillow,pizza,plant,plate,pumpkin,purse,radio,refrigerator,rock,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window
belt,1.2836877,0.37363434,0.587558,1.2126255,1.2243264,1.0099026,1.3068035,1.0636415,1.503051,1.4960145,0.0,1.3394785,1.4211428,1.0606278,1.3523191,1.3967053,0.99206924,0.6532663,0.834728,1.4510553,0.49465787,1.0427089,1.0213298,0.4363516,0.79150563,0.5100427,0.91859853,0.8687123,0.66486406,1.2613772,1.2609329,1.0500278,1.2698083,1.1789715,0.40507132,1.3801887,0.7432836,1.1761427,1.1575432,1.1287456,1.1468074,1.0881625,1.2174996,0.5732797,0.8153883,1.0656413,0.70971745,1.2102547,0.44957864,1.1873776,0.9814157,0.7229153,0.8748412,0.52907276,1.1370006,1.3509334,0.42195565,0.6728017,0.9522778,1.1348187,0.9819675,0.7989054,0.6022284,0.6915805,1.2668426,0.7710935,1.2038335,0.9629141,0.9213262,1.0413252,0.6307103,0.5010315,1.2137802,1.487608,1.1839874,0.8958915,0.46400166,0.9273902,0.36868942,0.8261051,0.76066303,1.228509,1.2957022,1.2478563,0.45479316,0.5942875,1.1217053,0.7707809,1.2444787,0.72940373,1.255929,0.87331194,1.3839523,1.2434155,1.137588,0.90111536,1.2463657,1.1656622,0.98539096,1.0871077,1.0467389,1.115751,0.9915678,0.64136976,1.1983579,1.1854241,1.3463815,1.4395192,0.28721285,1.1113392,0.7525169,0.9191079,0.6716808,0.96250606,0.9853073,1.2137413,1.2253264,1.5141131,0.99441254,0.40408373,0.38299543,0.8774764,0.99990106,1.1383066,1.4844968,0.92918926,0.3964092,1.0106103
bench,0.52320594,1.2356462,1.4993887,0.5887887,1.2103674,1.3280332,0.8062562,0.989426,0.48497587,0.36787498,1.3394785,0.0,0.6006795,1.3084266,0.54248613,0.6963844,1.1217169,1.5053012,1.1325276,0.61795855,1.3903286,1.0758283,1.3094457,1.3330001,1.2218604,1.2215534,0.84633297,0.5500549,1.5057361,0.63637424,0.9058505,1.1557893,0.17855835,0.7731447,1.5450686,0.64317614,1.5028313,1.1898298,0.8945954,1.2228808,0.90030366,0.5823457,0.8885948,1.1476841,1.4823813,0.5157614,1.0574868,0.82084334,1.363761,0.7333435,1.1032046,1.4188807,1.2637955,1.3503735,1.3680012,0.6260625,1.4653735,1.1797812,1.4793601,0.8149274,1.2531468,1.0805509,1.4923382,1.3538151,0.72384393,1.1761427,1.326751,0.45685208,1.0861928,0.8590184,1.5002865,1.2930019,0.86015975,0.86748534,0.7364182,1.0038606,1.410476,1.1166779,1.3905463,1.423697,0.65182567,0.72309375,0.60074025,0.7822553,1.3971796,1.4590042,0.7611953,1.1228834,0.9238005,1.3536642,1.0054667,1.2947338,0.91288286,0.7695654,0.97286326,1.1464002,0.45407712,0.5202715,1.2289146,0.9080126,1.1835427,0.609753,1.0888177,0.91018444,0.9186777,0.7494247,0.56459874,0.5920554,1.5249528,0.87436736,1.1577333,1.1162271,1.3256094,1.1236662,1.3272817,0.8819165,0.55996764,0.39601594,1.4507538,1.3876901,1.1484095,1.0452064,0.8832599,1.4094603,0.67706466,1.1685101,1.4394919,0.8962752
bib,0.52632946,1.2689745,1.453607,0.5516541,1.0345721,1.2056315,0.6752325,1.1951159,0.5599676,0.5000244,1.4211428,0.6006795,0.0,1.2697673,0.5497669,0.6603391,1.0629358,1.4940724,1.3476491,0.64381325,1.3892682,1.1581721,1.2864256,1.5948604,1.4420112,1.2853748,1.0559812,1.14572,1.4901657,0.7100339,0.97216004,0.999483,0.64963734,0.7531661,1.6572025,0.7378831,1.5585208,1.0903234,0.8478247,0.8871477,1.0988046,1.0439732,0.50973004,1.1532668,1.3314927,0.7538556,1.1216,0.5804143,1.3197861,0.9115349,0.851853,1.3324254,1.0378332,1.45449,1.1848291,0.6888592,1.4556735,1.0724319,1.3043036,0.60413367,1.1176647,0.926994,1.4608372,1.4005824,0.90062,1.2237221,1.0809988,0.5969773,1.1510054,1.057928,1.5747266,1.4090217,0.9508129,0.67099947,0.5199138,0.90715545,1.4496241,1.0847367,1.2774383,1.3523607,1.0259506,0.7285936,0.22725475,0.693611,1.5269417,1.5318338,0.79967713,1.1790569,0.69175607,1.3616133,0.85764897,1.2671555,0.7667157,0.7385277,0.6996751,1.2928705,0.9341164,0.6977781,1.1739297,0.6821029,1.1819923,0.42449844,0.9533286,0.9741198,0.9480493,0.9510306,0.7372847,0.58398336,1.5753973,0.95958364,1.213163,0.9731288,1.3947244,1.2840081,1.3072448,0.6901128,0.35935175,0.46498746,1.3478318,1.398234,1.2186967,1.106276,0.876742,1.1824577,0.590919,1.449442,1.4565866,1.0691545
bird,1.3069817,1.0679514,0.8563999,1.278861,0.78549945,0.89859116,1.147482,0.8903564,1.217907,1.1641853,1.0606278,1.3084266,1.2697673,0.0,1.2144706,1.074022,0.9954767,0.7525891,1.0122058,1.1899351,0.960005,1.1114407,0.09235793,0.92290515,0.74675953,1.0871216,1.0512171,1.1680619,0.7154479,1.148601,1.1532574,1.0204971,1.2747948,1.1796684,0.7455425,1.0788015,0.7940997,0.9417942,0.89055216,0.9261245,1.0355307,1.2579169,1.107902,1.1401172,0.8454882,1.1901371,1.1124535,1.1161531,1.0498698,1.0851849,1.1168219,0.7842271,0.99625397,0.84051305,0.44738716,1.1295526,0.85087717,0.9956537,0.83586836,1.1339037,0.9028748,1.2215191,0.7025231,0.75288224,1.1489354,0.9276608,0.8697624,1.3384986,1.0327244,1.0370262,0.68800354,0.9546665,1.0407572,1.0550383,1.3391633,1.1001196,0.8717042,0.99856824,0.98844135,0.8690685,1.2156454,1.0286998,1.2263286,1.1088382,0.8826036,0.820921,1.1504312,1.1154209,1.0468619,0.770488,1.1338555,0.81239104,0.9976049,1.1959788,0.9271525,0.88661796,1.1873538,1.1940206,0.9520788,1.0141423,0.8308445,1.2330827,1.0737963,1.2205641,1.0478727,1.0319549,1.2583822,1.1583707,0.8803634,0.9451289,0.9660777,0.976368,0.899052,0.7993971,0.7747649,1.1075487,1.239946,1.2188646,0.7903726,1.0173352,1.1129246,1.1803018,1.1428754,0.797439,1.1067784,0.8311564,0.82885903,1.0061121
blanket,0.67421925,1.2354493,1.4296691,0.7532116,1.0306808,1.2158424,0.6005673,1.0602846,0.6942308,0.32359612,1.3523191,0.54248613,0.5497669,1.2144706,0.0,0.86536074,1.1113191,1.3639334,1.1466231,0.8332069,1.3371633,0.996453,1.2513903,1.2810441,1.2583139,1.3023018,0.9391811,0.78754294,1.4224725,0.6713902,0.920977,1.0760729,0.4664085,0.7724123,1.4948078,0.66017056,1.3538512,1.2020584,0.8111242,0.8762234,0.8639148,0.786372,0.86587393,1.2309668,1.3045654,0.7809144,1.1491326,0.92697537,1.3209993,0.8586228,0.94937986,1.3704052,1.0781444,1.3103259,1.2629142,0.6039701,1.380239,1.0190899,1.2658905,0.93789196,1.1818919,1.0354327,1.3030963,1.2628552,0.85823065,0.98141253,1.083226,0.57728183,1.1280308,1.0664876,1.2997619,1.1940174,0.8662508,0.84884715,0.6065715,1.0347983,1.4226604,0.5580385,1.2680845,1.3367172,0.8934328,0.90840626,0.6387079,0.90679336,1.3955219,1.4176517,0.84472364,1.0330609,0.87435746,0.90776217,0.9353503,1.2140119,1.0674832,0.81922054,0.88929677,1.1128967,0.78113943,0.72516114,1.0329738,0.885637,1.2045654,0.697212,1.0240415,0.92083174,1.1082636,0.94339097,0.669542,0.89667845,1.4749823,0.8780071,1.1395515,0.83259994,1.3122568,1.0819142,1.2969611,0.8833695,0.56482494,0.76958525,1.3168178,1.3633518,1.2692057,1.0839536,0.3687241,1.2635125,0.8983244,1.0707599,1.3859463,0.92277384
boat,0.72571176,1.3679034,1.3108702,0.79082763,0.9700127,1.0470027,0.79679507,1.066917,0.44535547,0.6913594,1.3967053,0.6963844,0.6603391,1.074022,0.86536074,0.0,0.8824806,1.2419635,0.9600331,0.5067171,1.4704063,1.0157384,1.0822194,1.4748929,1.10601,1.3578317,1.1098226,1.180799,1.3274109,0.86452395,0.90420765,1.0375714,0.7983477,1.0037357,1.3592019,0.79346764,1.314598,0.9351686,0.9455222,0.8600811,1.0416304,0.9488808,0.8191662,1.2981986,1.3704705,0.93706083,1.1787534,0.85952556,1.3726745,0.8524463,0.9173915,1.0648618,1.1465955,1.413336,0.8838436,0.8255416,1.4064939,1.2249498,1.0858347,0.85078955,1.0882365,1.1478052,1.3200312,1.1842688,0.77294695,1.19192,0.9329825,0.8922047,1.07183,0.8945384,1.3971767,1.4459829,1.0033178,0.70189846,0.8671438,1.0675545,1.3436539,1.2797761,1.4606156,1.2626753,1.1059742,0.75709045,0.6806796,0.79468536,1.3133829,1.2957633,0.92904437,1.2223885,0.75585943,1.365441,0.72999454,1.1053061,0.5560297,0.6870243,0.82707536,1.0767257,0.96133804,0.80847347,1.1497272,0.8931905,0.86097527,0.8292171,0.89663297,1.2395298,0.9199315,0.92893773,0.60126793,0.38355047,1.4544259,0.9721011,1.1520259,1.1843284,1.2053713,1.1597865,1.1094146,0.83062243,0.7496036,0.52726597,1.1407696,1.4574671,1.2837595,0.95285964,1.1425036,0.84987795,0.4523461,1.2632244,1.3966314,1.0091306
book,1.1523589,1.1603546,1.0624266,1.0940558,1.0079911,1.077181,1.1259313,0.63261986,0.97107875,1.0219227,0.99206924,1.1217169,1.0629358,0.9954767,1.1113191,0.8824806,0.0,0.85302275,0.7904964,0.5873315,1.1438183,0.8399572,0.977211,0.9281597,0.8002013,1.1068386,1.233918,1.0461135,0.9745467,1.0088981,0.879326,1.135284,1.1987692,0.860604,0.7932627,0.8360653,0.9227417,0.6696342,1.037605,0.9305139,1.0071753,0.94299877,1.0366143,1.1658993,1.0830982,1.2465072,1.1463004,1.1850207,1.1714534,1.0751333,1.1517885,0.87277174,1.0135059,0.9805461,0.87019587,1.0901111,1.1131921,1.0620584,0.6056212,1.1474694,0.85908484,1.1008698,1.0334401,0.87441885,1.1334059,0.9527385,0.7844881,1.2834988,0.8034575,0.79898524,0.9490133,1.0836785,0.95363504,1.0812498,1.175073,1.2131099,1.1230701,1.0970844,1.0259519,1.050091,1.05001,1.0937799,1.0688614,0.5200093,0.56159234,0.8128687,1.1506375,1.0567387,1.1237589,0.9570336,0.95146173,0.9887502,0.7336902,1.0584589,0.8486063,0.6897739,1.0510317,1.2044395,0.860503,1.0714833,0.78592813,1.1867584,0.7365591,1.0635874,0.9221101,1.1722081,0.972766,1.01165,0.98031753,1.0203434,1.0458665,1.0688459,0.8295517,1.0222872,0.9392626,1.0010744,1.1266105,0.8478168,0.80407846,1.2055893,1.102704,0.9862193,1.0674171,0.6956546,0.80623215,0.8998868,1.1280515,0.9337921
bottle,1.4486775,0.78147435,0.5353905,1.4901087,0.90355957,0.73084265,1.2718015,0.7382513,1.4288213,1.3870938,0.6532663,1.5053012,1.4940724,0.7525891,1.3639334,1.2419635,0.85302275,0.0,0.7066475,1.3134372,0.76403105,0.8272965,0.7580294,0.3939135,0.41098273,0.9427511,1.0589992,1.051421,0.26851082,1.2366589,1.0613761,1.0478032,1.4241195,1.2506807,0.25950015,1.1901336,0.33969837,0.89287674,1.0454183,0.95321655,1.0578052,1.2290492,1.0848951,1.1057727,0.6089439,1.2696913,1.1234176,1.2842138,0.89867544,1.193036,1.1949658,0.37293386,1.0499566,0.8086499,0.80366004,1.2863934,0.56842566,0.94587785,0.5952865,1.2711431,0.86231774,1.2736294,0.27479994,0.39522934,1.2919736,0.7472018,0.7869492,1.4342017,1.0389937,1.0211269,0.37929595,0.74517727,1.1596187,1.1769944,1.4367793,1.2531201,0.41840112,0.91703635,0.7524308,0.62181485,1.2831984,1.2342598,1.4140286,1.3319111,0.57419485,0.5307647,1.3224828,1.0852648,1.24169,0.49020785,1.1241214,0.63744205,1.0969174,1.2772157,0.9065567,0.6821989,1.2340772,1.366616,0.974382,1.1596639,0.90181935,1.3996316,1.0377506,1.1646016,1.2370981,1.2093914,1.363715,1.3239961,0.43649554,1.0956877,0.55943143,1.0182549,0.6937773,0.8893993,0.67988586,1.2796552,1.3962821,1.4751477,0.53777164,0.7741592,0.9716313,1.1317735,1.076762,0.5852076,1.3015642,0.6111031,0.5331864,1.0222025
bowl,1.3501992,0.97975636,0.80945504,1.4244866,0.9549935,0.8179638,1.115866,0.54249644,0.7821234,1.1375173,0.834728,1.1325276,1.3476491,1.0122058,1.1466231,0.9600331,0.7904964,0.7066475,0.0,0.66719073,0.9629447,0.28635013,0.9746672,0.58336323,0.5767908,1.0976232,1.0609533,0.90944535,0.8131713,1.0881407,0.9431331,1.1390591,1.1165318,1.119429,0.6512096,0.92558694,0.44263357,0.89840055,0.9997629,1.015124,0.9797289,0.55931336,1.1751177,1.2390294,0.82778054,1.2204397,1.1878147,1.3048849,1.1483686,1.0536752,1.1382033,0.7705029,1.164439,0.9038794,0.9742895,0.9916738,0.98930854,1.1434798,0.7102628,1.2923498,1.0939884,1.3207363,0.773077,0.6540431,1.1614805,0.92648935,0.81018186,1.3522898,1.012095,0.93774986,0.62363136,0.91986114,0.96984035,1.0464925,1.304168,1.2761333,0.88258463,0.8402496,1.068816,0.8560984,1.0395784,1.1090064,1.3214471,1.0346559,0.7362166,0.8215097,1.2202829,1.0396508,1.2203094,0.6062442,0.9285466,0.9717613,0.6770104,1.1673827,1.0332245,0.73590714,0.9044611,1.1038171,1.1230865,1.211592,0.97207654,1.3902652,0.9175839,1.145704,1.0533229,1.125731,0.64845437,1.0625063,0.7538806,0.91453207,0.86724126,1.0862222,0.79167503,1.0094271,0.86945724,1.201166,1.309737,1.0688307,0.61836195,1.0796438,0.9847457,1.1042477,0.89409554,0.75299037,0.8143898,0.74245214,0.9901387,0.91094023
box,0.819625,1.4389911,1.4381319,0.84761643,0.96177244,1.1295286,0.9111707,0.6294141,0.1958288,0.5821848,1.4510553,0.61795855,0.64381325,1.1899351,0.8332069,0.5067171,0.5873315,1.3134372,0.66719073,0.0,1.5277251,0.608001,1.1849245,1.3336296,1.1603397,1.4048585,1.1700821,1.032673,1.4494697,0.77161545,0.6472673,1.0936588,0.7931218,0.77192485,1.390393,0.52991426,1.2180139,0.77608645,1.0679173,1.0333539,0.9302674,0.59629256,0.8295069,1.3228824,1.4007227,1.0595042,1.2333233,0.95943314,1.479983,0.80737925,1.1571255,1.2933729,1.1750197,1.4076927,1.1145833,0.75090516,1.5468473,1.3270059,0.90453243,0.97419065,1.1416268,1.1487304,1.4833962,1.2447627,0.8527484,1.2259516,0.86632997,1.0644406,1.016437,0.7568145,1.3887839,1.4121813,0.81792855,0.6941861,0.8708867,1.142791,1.4990227,1.2168274,1.4670916,1.3255031,1.0487324,0.887511,0.71895075,0.5574534,1.1929607,1.2604804,1.0306215,1.2218875,0.95493627,1.3810788,0.6492841,1.2661128,0.2634064,0.91116405,0.77444005,0.87925786,0.69253707,0.9389958,1.2208698,1.0203007,0.8718677,0.9784829,0.8243411,1.2325433,0.76835185,0.97116435,0.33519572,0.4467426,1.512841,0.98447543,1.1690687,1.1410348,1.200686,1.1028628,1.0817258,0.8525935,0.81547755,0.27986968,1.0472763,1.5516746,1.3278587,1.0042069,1.0663662,0.80416554,0.12826645,1.120978,1.501717,0.9741941
bread,1.3383973,0.534218,0.4058541,1.2064785,1.150881,0.9651412,1.1740957,1.2148263,1.5312078,1.4814243,0.49465787,1.3903286,1.3892682,0.960005,1.3371633,1.4704063,1.1438183,0.76403105,0.9629447,1.5277251,0.0,1.1496305,0.90289456,0.61098945,0.8554596,0.32316935,0.8829608,1.0491071,0.60520566,1.3296858,1.3714888,0.8413683,1.3021402,1.1839098,0.5387423,1.4335201,0.77757514,1.1159097,1.1542088,1.0875498,1.2324824,1.1580684,1.1963911,0.56642383,0.5190999,1.0493323,0.6768472,1.1179073,0.4004165,1.1999354,0.77601707,0.6205315,0.8062356,0.486535,0.952743,1.225453,0.46138537,0.7626772,1.0025927,1.1713555,0.81881464,0.79927045,0.6113211,0.7492624,1.2787426,0.83006114,1.181302,1.0289863,0.9234041,1.2140583,0.66825724,0.5563953,1.1596056,1.3481454,1.1941147,0.8330421,0.4532627,0.91746855,0.5328296,0.5514512,0.91903967,1.2507446,1.3564608,1.2283882,0.65886986,0.67976654,1.0685382,0.73964036,1.1708606,0.7120451,1.2156663,0.89623374,1.3369042,1.1886842,1.2889363,1.1398178,1.3089442,1.2476952,0.82313985,1.119928,1.1942333,1.208008,1.0929291,0.7138937,1.1030085,1.1597953,1.459548,1.5172887,0.35156274,1.076209,0.9107686,0.9387863,0.78171563,1.0005512,1.0123966,1.2329755,1.3040075,1.5114251,0.94007677,0.28763294,0.48931527,1.0437394,1.041804,1.1301985,1.5004513,1.0765841,0.49035954,1.0544151
bucket,1.185032,1.1281686,1.0002301,1.3102622,0.9217675,0.8107418,0.97758,0.54681957,0.6606573,1.0335052,1.0427089,1.0758283,1.1581721,1.1114407,0.996453,1.0157384,0.8399572,0.8272965,0.28635013,0.608001,1.1496305,0.0,1.094261,0.67558825,0.85082585,1.2159898,1.1019932,0.78804946,0.976559,0.94887745,0.795733,1.010723,1.1021767,0.9465414,0.9603392,0.6926546,0.43112528,0.84897023,1.0940484,0.9608156,0.88029504,0.539141,1.0412717,1.25054,0.8641641,1.23719,1.2676456,1.316371,1.2516161,1.0447783,1.1985986,1.004105,1.0937637,1.0156301,1.1680033,0.9325533,1.2009945,1.1074721,0.70474595,1.2847066,1.1847342,1.2358109,0.96024203,0.89406693,1.1084285,0.9516413,0.5983529,1.3152777,0.9904255,0.81414914,0.8046546,0.97193605,0.88449275,0.8744019,0.9837077,1.2674677,1.123123,0.7098454,1.1001498,0.96807104,1.0319487,1.1572696,1.2089442,0.9714274,0.99736834,0.97266924,1.2213808,0.94403565,1.2105451,0.76082605,0.83914506,1.0749532,0.74818385,1.034332,0.87551975,0.76971793,0.7898209,1.0925575,1.1224037,1.1238692,1.0448288,1.2826331,0.86451226,1.1168158,0.9067518,1.0806886,0.5379375,0.90985996,1.0061548,0.9674401,1.0268427,1.0426197,0.8104801,0.9643213,0.8958051,1.0633626,1.1870751,1.005286,0.56285495,1.2316718,1.2208512,1.0824642,0.79779583,0.76497734,0.8245549,0.69804764,1.1472739,0.93734145
butterfly,1.3039963,1.0223473,0.82956225,1.2898557,0.84660286,0.927683,1.1480317,0.89779496,1.2021998,1.180185,1.0213298,1.3094457,1.2864256,0.09235793,1.2513903,1.0822194,0.977211,0.7580294,0.9746672,1.1849245,0.90289456,1.094261,0.0,0.8575302,0.7273663,1.0436974,1.0455366,1.1309259,0.68991387,1.1359239,1.2079949,1.0525175,1.2633202,1.1928576,0.7227078,1.09044,0.7993195,0.9533355,0.87185824,0.94430137,0.9998999,1.2235035,1.1200727,1.1138816,0.8365664,1.2075107,1.0876113,1.0955777,1.0295916,1.0845484,1.124197,0.74589944,0.9986775,0.80865586,0.4373356,1.1240921,0.83501965,0.9874462,0.90071905,1.1168325,0.874809,1.207371,0.69341314,0.71126294,1.174339,0.9081672,0.90745604,1.3422774,1.021952,1.044112,0.65733355,0.91708624,1.0206164,1.123407,1.341361,1.1170946,0.86126953,1.0278733,0.9701203,0.8690163,1.14553,1.0864459,1.246399,1.0986911,0.83986783,0.8138755,1.1499579,1.1106703,1.085512,0.7643643,1.1483498,0.7790238,1.0156823,1.2278258,0.965085,0.9059122,1.1455665,1.2146604,0.96066236,1.0391951,0.85229474,1.2395898,1.0820494,1.2025056,1.0409105,1.0228649,1.231327,1.1842902,0.8582854,0.93289477,0.9688426,1.0107228,0.8943235,0.8196415,0.7923383,1.107978,1.2746186,1.2123982,0.8149487,0.9902009,1.0634215,1.1636927,1.1678073,0.83839905,1.1182083,0.83565044,0.8364415,0.9965551
can,1.429982,0.53480214,0.6548279,1.4613466,1.065229,0.9126122,1.3634799,0.7115886,1.4259487,1.3337858,0.4363516,1.3330001,1.5948604,0.92290515,1.2810441,1.4748929,0.9281597,0.3939135,0.58336323,1.3336296,0.61098945,0.67558825,0.8575302,0.0,0.5476509,0.7706109,0.8313302,0.5755248,0.50685835,1.0447987,1.195617,1.1357136,1.2657728,1.2548609,0.3516146,1.1170218,0.40581822,1.0951564,1.1160231,1.0889934,0.8136352,0.8447026,1.1875339,0.862036,0.68151736,1.1322477,0.9694563,1.3373108,0.78112555,1.219604,1.2872361,0.652175,1.0678726,0.6191117,1.124173,1.1988481,0.57077354,0.89876246,0.91695565,1.2852343,1.0280318,1.1833843,0.47186542,0.48501956,1.3379867,0.51118624,1.0043412,1.2500576,0.9781318,0.9046855,0.27640224,0.42623872,1.2219653,1.4038807,1.4689415,1.2282112,0.57542896,0.6988729,0.52040577,0.78847235,0.8115437,1.2884493,1.4521713,1.2293155,0.48330843,0.60344577,1.3037395,0.87708145,1.3385363,0.40713435,1.2656978,0.81882817,1.3246193,1.356576,1.1045178,0.69319296,0.8510189,1.2048197,1.0237572,1.1786096,1.1056222,1.3193048,1.1403965,0.808195,1.2690201,1.0868487,1.2350885,1.4626137,0.43664062,0.9945509,0.7265513,0.9861231,0.74024236,0.8098903,0.86686796,1.2629758,1.3879254,1.5260892,0.8012871,0.63515073,0.7529186,1.1073594,0.89445406,1.0062289,1.4718324,0.37574363,0.5419612,0.74604553
car,1.3519808,0.92852604,0.7565756,1.4369957,0.9336995,0.88184166,1.2178727,0.6658149,1.2598153,1.2501209,0.79150563,1.2218604,1.4420112,0.74675953,1.2583139,1.10601,0.8002013,0.41098273,0.5767908,1.1603397,0.8554596,0.85082585,0.7273663,0.5476509,0.0,1.111438,0.787638,0.9007045,0.45216572,1.1806931,1.1361778,1.2617502,1.2155302,1.3361422,0.44981742,1.0780655,0.5362532,1.0324541,0.8609669,1.0397245,0.99089307,0.9761232,1.2316427,1.2097712,0.7543554,1.0674717,1.1476309,1.1800964,1.1025822,1.1297328,1.1974375,0.51857543,1.1867592,0.7392843,0.7214099,1.1101948,0.69289464,1.0966324,0.810373,1.2157729,0.9305457,1.386395,0.4098122,0.36281425,1.2486476,0.7998756,0.9982098,1.3780568,1.0153257,1.0419875,0.42685562,0.81938386,1.1803175,1.1855278,1.5503173,1.3117735,0.66813815,0.86409026,0.9801671,0.8408304,1.1249791,1.0013351,1.3773525,1.1736184,0.6460123,0.70617956,1.216292,1.1337334,1.2191337,0.43790877,1.1766438,0.71026415,1.0020347,1.1471419,0.92361873,0.6788182,0.91646725,1.0599775,0.8933525,1.2257493,0.88928014,1.3320675,1.0386626,1.2405381,1.2496667,0.99962395,1.1744939,1.2876059,0.58496547,0.89535177,0.707584,1.072759,0.6754247,0.92993134,0.7474661,1.3239723,1.3847264,1.3275837,0.6658001,0.9893873,1.0159026,1.2378137,0.99703425,0.7513163,1.1964697,0.5886097,0.68982637,0.80518556
carrot,1.1779668,0.47592854,0.5211177,0.98655397,1.2047491,0.9789692,1.0984135,1.2827253,1.4169759,1.4248296,0.5100427,1.2215534,1.2853748,1.0871216,1.3023018,1.3578317,1.1068386,0.9427511,1.0976232,1.4048585,0.32316935,1.2159898,1.0436974,0.7706109,1.111438,0.0,1.0578939,1.0191097,0.8478055,1.260109,1.2641101,0.7418163,1.1868716,1.0727868,0.64497006,1.457219,0.95049214,1.114124,1.2951922,1.179735,1.189168,1.1372014,1.1583471,0.46652865,0.71232027,1.0366378,0.501636,1.051754,0.30093193,1.1142534,0.92661923,0.8683516,0.8060534,0.6467666,1.0865419,1.1793747,0.57907534,0.7687752,1.0784934,1.0813582,0.9220265,0.6405868,0.8912486,0.94945097,1.1127201,0.92927146,1.2013143,0.87089384,0.851075,1.1327872,0.92354125,0.65804917,1.1166421,1.2921342,1.0206543,0.7743271,0.5302508,1.1067214,0.56074965,0.5420479,0.7852057,1.253038,1.2509978,1.1124167,0.6310453,0.71023995,1.0910536,0.6598771,1.2012689,1.0225165,1.2283471,0.98724294,1.3319036,1.1614761,1.3079915,1.1155652,1.2582648,1.1536849,0.8765109,1.0009459,1.1263936,1.0904115,1.0899961,0.62265944,1.0394621,1.1904919,1.3309757,1.3057169,0.5158339,1.1876655,0.99000895,0.99011683,0.84955907,1.0279877,1.0882993,1.1627373,1.2003746,1.3554015,1.0314662,0.28956562,0.49909234,0.8615085,1.1252251,1.1857669,1.4040525,1.1829042,0.56751835,1.165498
cat,0.9232373,0.9299296,1.0772767,0.96218294,1.1844947,1.1870285,1.0843486,1.1723478,1.0179566,0.94875103,0.91859853,0.84633297,1.0559812,1.0512171,0.9391811,1.1098226,1.233918,1.0589992,1.0609533,1.1700821,0.8829608,1.1019932,1.0455366,0.8313302,0.787638,1.0578939,0.0,0.8298898,1.002408,0.98808855,1.1603131,1.1185415,0.85901177,1.111157,1.04356,1.0368657,1.09664,1.2496734,0.88264996,1.2001508,0.9481392,0.9101161,1.0441155,0.8924431,1.1075394,0.5489768,0.92503816,0.92518806,1.0300134,1.1043696,0.96555,0.9600769,1.2525935,0.84479874,1.1735594,0.9761867,0.8845758,1.1562572,1.253407,0.90466154,1.1366352,1.0328815,0.99536794,0.9520789,1.043307,0.8434873,1.3368522,0.8343537,1.1437252,1.0840061,0.87043786,0.71384275,1.2412366,1.1867974,1.1539084,1.1014384,0.9441928,0.9477401,0.87718,1.0879287,0.84925056,0.8351788,0.9870948,1.0569376,1.0651332,1.0468135,0.9074526,0.9745893,1.0177139,0.96068084,1.0982064,0.9262918,1.157984,0.944311,1.1365227,1.1624845,0.6835971,0.7217492,1.0539138,1.017868,1.1690463,0.7861831,1.2372749,0.98554015,1.2273725,0.5785947,1.0263762,1.0642715,1.021613,0.7497339,0.68909615,1.0474192,1.058551,1.0975474,1.2119722,1.1358548,0.9745053,1.0124104,1.2826086,0.95488995,0.89698595,1.0909811,0.9398731,1.3210609,1.1175071,0.99333185,0.98050696,0.73333895
