,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,blanket,book,bottle,bowl,box,bread,broom,bucket,can,car,carrot,cat,chair,chips,clock,coat,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,jacket,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,potato,pumpkin,purse,radio,refrigerator,rooster,sandwich,scarf,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,soap,sock,soup,spoon,stick,strawberry,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window
book,1.1769071,0.95535856,1.1352239,0.9103414,1.221734,1.0507067,1.1022975,1.0998633,0.46019554,0.77493376,1.0238779,0.8658159,0.8447299,0.94161224,0.96740335,0.0,0.78078365,0.8103156,0.3861074,0.9729485,0.89381605,0.6918987,0.80896753,0.71847165,1.0776976,1.2443353,0.7392912,0.9860818,0.9846854,1.2100289,1.0605923,1.0898795,1.0996969,0.93974733,0.69963056,0.9407156,0.95498174,0.82644075,0.81338143,0.95409226,1.1630466,1.1504825,0.8674386,0.69743526,1.1514583,1.2364161,1.1244175,1.0016736,1.1586472,1.2014633,1.1919832,0.9294231,0.9994063,0.8116156,0.9696529,1.1810439,1.1159449,1.1272383,0.7607653,1.2789123,1.0391997,1.1515316,1.031152,1.1903479,0.69527197,1.2389833,0.8126684,0.99817264,0.9492978,1.0509375,1.1056485,0.69444394,1.2192615,1.0963476,1.1597861,1.1271536,0.7924652,1.1041677,1.2137884,0.95454144,0.64831185,1.2364788,1.1714427,1.2245961,0.8762753,0.90637124,0.9289547,1.1547568,0.9789625,0.9668324,0.9300277,0.7660095,1.2394991,0.9735333,0.80950785,0.76002246,0.8586427,1.1672481,1.07027,1.2282826,0.7543683,1.2638202,0.9188365,1.1023474,0.9145225,0.7027009,1.1412076,0.96654797,0.9063716,1.054672,1.0125829,0.9721597,0.9525255,0.99090683,1.2211943,1.0159887,0.679031,1.2731835,1.0045924,0.9062863,0.822619,0.87651205,0.7045626,0.7893108,1.0395607,0.9118818
bottle,1.5619097,0.6436884,0.6608287,0.93733716,1.3923227,0.9586415,0.71185863,0.9685774,0.7815266,1.0495484,1.3351862,0.6015935,0.81855977,1.0899458,1.1628237,0.78078365,0.0,0.91260886,0.9272802,1.1475893,0.8684969,0.5973378,0.23955017,0.75467265,0.68895024,1.3790008,0.61597514,1.2864366,0.6642095,1.3481212,0.82748926,1.3231993,1.210518,0.97428524,0.42559814,1.3167386,0.60712016,1.3141767,0.21986294,1.2340412,1.2591058,1.1381173,0.3985387,0.9858639,0.80961335,1.0197667,0.70761585,1.2614005,1.1891558,1.0145798,1.4295402,0.73265696,1.0381255,0.78869104,1.1581292,1.1752806,0.8807032,1.009063,0.91535276,1.2893405,1.2988151,1.3049372,0.71668375,1.368801,0.74935186,1.3791518,0.88103706,1.0020165,0.92514765,1.3373849,1.0468705,0.65451974,1.3033595,1.2522597,1.2876959,0.8378607,0.78105724,0.7173277,0.90391195,0.77413344,0.5281722,1.3084525,1.4544172,1.3326371,0.60184836,0.6970468,0.7504825,0.90674114,1.0542054,1.3718284,0.6348214,0.5959244,0.9764847,1.0870328,0.99837965,0.55135477,0.42124915,1.1302502,1.3881087,1.3087277,0.9759533,1.3663669,1.0063362,1.0605208,0.87087667,0.62652934,1.4265935,0.6860244,0.7267707,1.0079492,1.0772325,0.8917066,0.64821714,0.67746997,1.3498304,1.3203101,0.69790494,0.9152134,0.8894742,0.9879912,0.45741713,1.0603504,1.2229197,0.4821248,0.6968632,1.0108339
bowl,1.1770387,0.7583178,1.0211596,0.8154822,1.164642,0.6152414,0.83597696,0.97723484,0.65025306,0.7345412,1.080894,1.0120533,0.8972642,1.3484681,1.1089801,0.8103156,0.91260886,0.0,0.8068576,0.703012,0.8596896,0.73904365,0.9405906,1.0673072,1.1551803,1.1654189,0.8108041,0.81295,1.059852,1.3105335,0.9621305,1.0133032,1.0367988,0.9420596,0.8716301,0.93574345,1.0495396,0.9840397,0.73512685,0.65110177,1.1143878,1.2038056,0.99582803,0.9458128,1.2742118,1.1307845,0.87023765,1.1496409,1.1932523,1.3045168,1.0541043,1.0477182,1.1209288,0.7790135,0.9408512,0.9018015,1.1982437,1.1442193,0.97629416,1.2796097,0.8320278,1.1631628,1.0929425,1.2638695,0.80142677,1.2776263,0.75140667,1.1923805,0.8320957,1.1164418,0.67727804,0.7953445,1.144216,0.9258588,0.97214526,1.193403,0.8726258,1.1760459,1.1702458,1.0692115,0.94851816,1.1959976,1.2465239,1.2756667,1.1693075,1.0225439,1.0056565,1.0316595,0.8429596,1.0235932,1.0662415,0.6372948,1.2828794,0.52780557,0.9550631,0.89736533,0.97271675,1.209018,1.0934831,1.3154553,0.84264547,1.3039746,1.0054479,1.1416278,0.42126036,0.5757018,1.04633,1.0686681,0.9123698,1.0721921,0.55245066,0.67065567,0.97215325,1.0807528,1.2580335,0.8947238,0.42636025,1.2977715,0.9506198,0.8764403,1.0291278,0.9567539,0.565561,0.84938955,1.1571254,0.99090064
box,0.91555804,1.1568047,1.2732744,1.0007616,1.0231737,1.0648676,1.2451702,1.233022,0.5059216,0.49302483,0.80967915,1.218704,0.97060525,0.9443254,1.0049164,0.3861074,0.9272802,0.8068576,0.0,0.94664204,0.9755998,0.42694694,1.0434654,0.99275136,1.288296,1.0404819,0.98446476,0.7088723,1.1830431,0.97351855,0.9919399,1.0276237,1.028308,1.1065369,1.0425165,0.81628114,1.302406,0.54623425,0.8128409,0.7730017,0.9867799,0.8794058,1.0164034,0.8699131,1.1259912,1.2271863,1.3053503,1.0319301,1.0227844,1.3764354,1.0070068,0.9569983,0.9886454,1.2385206,0.9669097,0.9301698,1.2885172,1.2512226,0.90513426,1.078128,0.8498597,1.1107049,1.2672095,0.9592988,0.3981942,1.0772953,1.1315051,0.98524976,0.9784844,0.9091505,0.9383751,0.40993643,1.0925124,0.8877288,0.9961076,1.3295876,1.1038404,1.3357052,1.369883,1.2052823,0.89701486,1.0756493,0.9286425,1.081097,1.1896122,1.3233685,1.2995396,1.1906878,1.0024503,0.9480962,1.0471245,1.1723206,1.3437142,0.77814204,0.7840885,1.0760492,0.9818734,0.9898467,0.93519616,1.0491508,0.9705143,1.0160142,0.8518285,1.1002845,0.84685534,1.0550939,0.92245555,1.2143459,1.1823002,1.0567847,0.9487622,1.1976988,1.1638839,1.1871604,0.94790167,0.6823782,0.8457292,1.4250953,1.2417431,1.0435538,1.2158608,0.73724174,0.61379486,0.79476964,1.2948723,0.8660522
bread,0.8057418,0.8722925,1.0891781,0.83760357,1.0614605,0.78948563,1.0467856,1.027016,0.8445834,1.0572451,1.2000446,1.2044826,1.1462157,1.1801171,1.0084956,0.9729485,1.1475893,0.703012,0.94664204,0.0,0.9640523,0.90899765,1.1623406,1.076143,1.1931691,1.0068756,1.2518277,0.4993431,1.0653154,1.2231449,1.054818,1.1227368,0.6768367,1.084104,1.1536548,0.64143986,1.1188837,1.1400926,0.9485726,0.9146567,1.0664107,1.1492598,1.1004295,1.1160111,1.2259275,1.0953996,0.8390856,1.0506035,1.1190466,1.2292435,0.6353688,1.0429877,0.98511857,0.9436353,0.9161942,0.9090338,1.177182,1.0082172,1.0164591,1.2324405,0.39626592,1.1574757,1.0962219,1.2582985,1.0288494,1.2398494,0.96441615,1.167068,1.0917418,0.77978003,0.7912279,0.8606966,0.97252995,0.9382151,0.29853737,1.0856023,0.6479985,1.1605568,1.0747833,0.8892914,1.1061019,1.1213368,1.2263567,1.2763338,1.0512719,1.1178654,1.0830767,1.1267855,0.33658373,0.7706785,1.0708252,0.9469288,1.1298311,0.3304,0.92726636,1.1276803,1.1115793,1.0836418,0.87620777,1.1409571,0.90501815,1.2885458,1.0861257,1.1703689,0.77701735,1.1140033,1.0565661,1.1553702,0.9865772,1.0518255,0.50591683,0.92697984,0.98318154,1.1124538,1.2582774,1.058093,0.82245886,1.1691577,0.9357501,1.0521108,0.92860293,1.0799427,1.0131005,1.0423396,1.2172263,1.0723886
broom,1.2174184,1.0270146,0.98375016,1.2129306,1.2010722,0.92483985,1.0591266,1.1565697,0.82238054,1.1122165,1.1398607,0.82294863,0.8641448,1.1765574,1.0561497,0.89381605,0.8684969,0.8596896,0.9755998,0.9640523,0.0,0.9174337,0.80009997,0.9148371,1.1138337,1.1046977,0.77841586,1.1551692,0.82845145,1.1887065,0.8677831,1.1985283,0.9190576,1.2315891,0.8183073,1.2521318,0.81706226,1.1284997,0.8134571,0.9913094,1.0738827,1.0383023,0.7193706,1.0072969,1.0354159,1.0242037,0.9562349,1.0504332,1.0891984,1.2096637,1.1038537,0.6802817,1.0283878,0.6396363,0.9646275,1.0987844,0.97618717,1.1510147,0.94498104,1.2352623,1.1386231,1.1745694,0.86713356,1.2337918,1.0856767,1.2598541,0.5507674,1.0873411,0.6347154,1.1315253,1.1025566,0.8990531,1.1726989,0.990049,1.1467303,0.9707286,0.8381921,0.9303376,1.0107828,0.98763597,0.78111225,1.1816758,1.2217257,1.2380822,1.0510253,0.7421236,0.7159181,1.1243085,0.88417774,1.1138082,0.651724,0.9697153,1.2193382,0.9716489,0.81506044,0.7770362,0.67891526,1.1612946,1.1952875,1.1976225,0.7027227,1.2396301,1.0808991,1.1178076,0.72590405,0.91757643,1.1935744,0.96227264,1.0708038,1.1167829,1.131721,0.814958,0.6396756,0.9756625,1.2727883,1.1199118,0.9487557,1.15716,0.8798848,0.7183944,0.82956773,0.9896577,0.94956666,0.65072274,0.87172246,0.79965895
bucket,1.0010263,0.98777837,1.1905997,1.201634,0.9869971,0.88074124,1.0259099,1.1940697,0.6921316,0.6145725,0.92702496,1.2063237,0.90513897,1.0711386,1.0718793,0.6918987,0.5973378,0.73904365,0.42694694,0.90899765,0.9174337,0.0,0.92566645,1.011693,1.3067055,1.121751,0.9248607,0.78899574,1.1538773,1.1096661,0.8273165,1.0690929,0.9570392,1.1692377,0.9967035,1.0719792,1.2598006,0.7838932,0.4697528,0.84638345,1.1042848,0.96825737,0.825842,0.967916,1.1687801,1.1884749,1.0737176,1.0946984,1.0599695,1.3564732,1.022323,0.9783906,1.0490682,1.1951694,1.0725625,0.806235,1.3163679,1.2482669,1.0356922,1.0684885,0.9580694,1.1160389,1.1901557,1.0537639,0.4164768,1.127814,1.0917814,0.9574292,0.933815,1.0139102,0.7703668,0.062479973,1.1492872,0.9298252,1.0220942,1.3012226,0.9759162,1.3170321,1.3295519,1.2086806,0.94491446,1.090682,1.0468392,1.1543763,0.9564456,1.3059381,1.2745979,1.1221913,0.9197361,1.1494207,1.0066315,1.1563698,1.3118562,0.668084,0.8055812,1.1059264,0.8340641,0.9517919,0.9664034,1.0423818,1.0223458,1.0927905,1.0081825,1.0502981,0.6744815,0.9844193,0.8725172,1.2868664,1.1051986,1.0204408,0.9991367,1.146731,1.0370615,1.1833491,1.0168831,0.72277445,0.71320784,1.3330151,1.2693276,1.0166104,1.063572,0.889534,0.7297077,0.53390217,1.266189,0.8786593
can,1.6686242,0.54560226,0.64928156,0.96606886,1.5116522,1.0032698,0.7037337,1.101544,0.8930146,1.1900513,1.3681823,0.29996765,0.68942773,0.9882252,1.0993497,0.80896753,0.23955017,0.9405906,1.0434654,1.1623406,0.80009997,0.92566645,0.0,0.6966706,0.5031091,1.352032,0.5452119,1.3746159,0.49122828,1.3347008,0.8636524,1.3307066,1.2431825,1.0645705,0.29968393,1.2988043,0.4399467,1.4508898,0.43683583,1.4185721,1.2709062,1.2070119,0.4064455,0.94616216,0.65352416,0.85953635,0.6628471,1.2287719,1.1780876,0.880676,1.5848681,0.7218481,1.1640972,0.61389554,1.2686346,1.4316401,0.59751076,0.9893355,1.0255083,1.249236,1.3538607,1.3447313,0.41638505,1.3918831,0.97592765,1.3348967,0.8293075,1.0657371,0.91412234,1.4474442,1.393452,0.94173485,1.3696212,1.2669208,1.3272423,0.56968284,0.7456248,0.3974259,0.73676324,0.6467407,0.44671494,1.2276196,1.4694076,1.2801486,0.67595375,0.44602752,0.5294526,1.029177,1.0985241,1.350417,0.5608945,0.4062748,0.9279755,1.226606,1.0818278,0.41225445,0.35022902,1.155856,1.5124103,1.3117148,1.0162069,1.3737984,1.0340316,0.9565197,1.0505466,0.50517094,1.5241681,0.4287066,0.847952,0.99955535,1.1531223,0.9070177,0.48723716,0.54827976,1.4162943,1.4723458,0.9037522,0.74581575,0.74269974,1.0814314,0.34167498,1.2267201,1.2692773,0.6454146,0.4286667,1.031176
car,1.1433437,0.8988107,1.0469604,1.0958496,1.1103007,1.0478531,1.0241035,1.1591842,0.8633821,1.0379069,1.074722,0.71148056,0.7802539,1.040894,0.88094616,0.71847165,0.75467265,1.0673072,0.99275136,1.076143,0.9148371,1.011693,0.6966706,0.0,0.990808,1.0057042,0.63248,1.2234856,0.88147736,1.1344087,0.9937196,1.0016086,1.1989384,0.89788306,0.55834734,1.1026671,0.9622121,1.0425768,0.7854142,1.0865505,0.9944252,1.0089207,0.6708383,0.724744,0.97279805,1.1372726,1.0351933,1.0208889,1.063999,1.1321232,1.0472567,0.853724,1.12005,0.88442373,1.174087,1.1159877,1.0088688,0.9952557,1.087347,1.0134827,1.1604812,1.1541572,0.9232802,1.1519101,1.1215663,0.9772814,1.0113344,0.6918531,1.0397654,1.1198494,1.1571608,0.94572866,1.10059,1.1826667,1.0457745,1.0050464,0.9519488,0.99938077,1.0418004,1.0020484,0.5371114,1.2358098,1.0545461,0.9951354,0.83766925,0.88746536,0.9722042,1.1812406,0.9320882,1.079803,0.79623866,0.83680916,1.084863,1.0889379,0.9400091,0.5198786,0.601877,1.0311043,0.9931469,1.1089907,1.0220543,1.0542455,1.1184038,0.80752957,1.216012,0.6741967,1.1978891,0.9393667,0.796118,1.060195,1.1854385,1.1447241,0.9432157,0.94125974,1.079142,1.169312,0.9462591,1.1035794,1.1315393,1.185322,0.81832236,1.1849911,1.0282876,0.81559396,0.97507584,0.9368864
carrot,1.5056064,0.7142073,0.39385265,0.75983095,1.4569027,1.0350969,0.752127,0.75626206,1.1879692,1.3572022,1.4210311,0.4833938,1.0835907,0.8270317,1.2685411,1.0776976,0.68895024,1.1551803,1.288296,1.1931691,1.1138337,1.3067055,0.5031091,0.990808,0.0,1.2938231,0.9986342,1.300153,0.44673514,1.2560694,1.1869715,1.1259441,1.1741571,0.8199507,0.7785444,0.995985,0.31510293,1.485698,1.0108825,1.3263327,1.2213769,1.2604091,0.93094426,1.1845165,0.70993555,0.70981294,0.5571401,1.2713189,1.0366615,0.49449933,1.4233847,0.97424537,1.0722107,0.68706334,1.0243976,1.4204571,0.29820752,0.7971794,0.78449655,1.1325936,1.2593544,1.1090919,0.38625062,1.3215204,1.1406026,1.3395981,0.92923796,1.126716,1.0898907,1.3359416,1.3021476,1.3514966,1.157304,1.1903762,1.1210344,0.29844373,0.83051836,0.2607997,0.51394564,0.32924056,0.92404115,1.1256208,1.4230366,1.2853906,0.81772304,0.388502,0.40744138,0.7333587,1.1735574,1.1813934,0.85410243,0.44655013,0.5459058,1.3444576,1.2802001,0.6736658,0.9653045,1.224083,1.4184892,1.3251989,1.013623,1.2946389,1.0002235,1.0959022,1.1510204,0.75838625,1.4282877,0.25561416,0.76385033,1.0671486,0.9877729,0.76743627,0.7793956,0.17822301,1.3559983,1.4801179,1.0627307,0.4103191,0.61719036,0.9645821,0.54671556,1.0684358,1.4548233,1.1891731,0.37544394,1.2032769
cat,0.41702008,1.1705585,1.2611127,1.1699132,0.67317,1.1124614,1.2164288,1.2077339,1.1925255,0.959013,0.6663964,1.2456632,1.0005728,0.9541529,0.7736398,1.2443353,1.3790008,1.1654189,1.0404819,1.0068756,1.1046977,1.121751,1.352032,1.0057042,1.2938231,0.0,1.1221823,1.0010642,1.2315571,0.7431975,0.979213,0.88078773,0.8443641,1.0581077,1.234548,1.0210844,1.3762879,0.828788,1.2230896,0.93207806,0.0999521,0.52246124,1.1778498,1.002687,0.99917305,1.0814369,1.2862777,0.7699622,0.8423869,1.2008476,0.45983255,1.0929248,0.9752062,1.3310727,0.9383763,0.87776655,1.1719376,0.93204194,1.2780135,0.72457236,0.9050592,0.970692,1.2372222,0.7520509,1.0643381,0.6180369,1.3300734,0.8431284,1.0946374,0.9279728,1.0262519,1.073795,0.7010163,0.9708825,0.88546276,1.2087595,1.2321575,1.2635531,1.1240473,1.2557089,1.1918961,0.6701221,0.6194464,0.725355,1.2498201,1.3592874,1.3438377,1.1939691,0.7742864,1.0060091,1.1444975,1.3991599,1.1405838,0.95846266,0.9608172,1.2296848,1.1284828,0.9582138,0.8224766,0.7544757,1.2152601,0.69061136,1.0086387,0.84490776,1.1517978,1.2754841,0.8569002,1.2729386,1.1718107,1.0509118,1.0859604,1.3014765,1.2385226,1.2860764,0.6944034,0.79485863,1.2439915,1.1778,1.2350649,1.2701031,1.3676555,0.99881464,0.97406995,1.0642393,1.2715437,0.99069184
chair,1.3036921,0.6579006,1.0811226,1.0264755,1.1087402,0.84721845,0.8838535,1.2546538,0.8672303,0.86712366,0.9818825,0.6423638,0.26932967,1.1671253,0.9103602,0.7392912,0.61597514,0.8108041,0.98446476,1.2518277,0.77841586,0.9248607,0.5452119,0.63248,0.9986342,1.1221823,0.0,1.298661,1.0202423,1.1494019,0.94846255,1.043598,1.3115102,0.95179814,0.32974535,1.2201581,0.9474857,1.0494409,0.676265,1.2002172,1.1035218,1.1228696,0.49862814,0.6066211,0.9487817,1.127408,1.0290041,0.91474086,1.2503026,1.126653,1.3188423,0.8312895,1.2560587,0.80248535,1.2485876,1.2824819,1.0552127,0.96424276,1.1982161,1.1365778,1.3774395,1.240118,0.94542253,1.1160609,1.0938568,0.84440243,0.8216338,0.83115244,0.8575463,1.283396,1.1099427,0.9390623,1.1406451,1.3083327,1.4185113,1.1130791,1.00726,0.9739181,0.9693794,1.0935539,0.56238055,1.1127813,1.1417239,0.8104085,0.8693818,0.8298542,0.91074634,1.2220268,1.1885021,1.2616668,0.78481835,0.7223691,1.2254401,1.1695846,0.8725511,0.5365535,0.45145804,1.0745412,1.1583267,1.1608965,0.9638747,1.1187869,1.0747584,0.7013428,1.0355604,0.40335155,1.0838193,0.9659863,0.9421849,0.9633528,1.2620137,1.0900513,0.7982908,0.9849466,1.092704,1.0213335,0.72587657,1.1291907,0.96586394,1.164282,0.84810525,1.1652734,0.76929617,0.47239143,0.8839423,0.8775427
chips,0.657924,1.2203736,1.2449222,0.9301627,0.8803203,0.9716207,1.1970406,1.0424786,0.84999454,0.8013398,0.89177024,1.3332219,1.1631067,1.0785621,1.0298791,0.9860818,1.2864366,0.81295,0.7088723,0.4993431,1.1551692,0.78899574,1.3746159,1.2234856,1.300153,1.0010642,1.298661,0.0,1.2447597,0.93732864,1.0836377,0.97472084,0.8359005,1.0470701,1.3109294,0.45782733,1.3230275,0.78608936,1.1592218,0.75183654,1.0585443,1.0644008,1.232016,1.07433,1.2222798,1.0941839,1.1700661,0.9461426,1.0201427,1.2522941,0.788027,1.1577305,1.1019977,1.2035115,0.95280194,0.81502706,1.2459438,1.2052484,1.0501964,0.96162343,0.6196766,1.0227576,1.2996175,0.90171736,0.8938427,0.95660895,1.1239538,1.0801426,1.0922773,0.6870232,0.7982297,0.7421618,0.9718286,0.7105308,0.599358,1.2605245,1.0235523,1.3375275,1.2786014,1.2117192,1.290766,0.8740427,0.9148397,0.9777801,1.2380931,1.3442901,1.2982173,1.0827781,0.8623495,0.678793,1.2452159,1.2072666,1.1477418,0.548675,0.9959608,1.3246744,1.2469163,0.86197793,0.74201566,0.9436657,0.9834786,0.9417728,1.1491293,1.078826,0.88618815,1.2153821,0.7535449,1.3557744,1.1363454,1.0946229,0.6600534,1.1052506,1.2035179,1.2495441,0.8752696,0.64476395,1.037349,1.3450602,1.1618946,0.9888724,1.2654004,0.9866712,0.74356425,1.1906079,1.431895,0.9914211
clock,1.3595544,0.9726657,0.4313699,0.96426743,1.4199188,0.9479115,0.8610356,1.0090035,0.9527232,1.3531051,1.3495104,0.47003996,1.2225933,0.86389035,1.2564628,0.9846854,0.6642095,1.059852,1.1830431,1.0653154,0.82845145,1.1538773,0.49122828,0.88147736,0.44673514,1.2315571,1.0202423,1.2447597,0.0,1.2154706,1.0488541,1.2547593,1.0081761,1.1173636,0.821252,1.1814127,0.30580688,1.387024,0.89679235,1.2413347,1.1428834,1.1283591,0.7889956,1.2461655,0.851668,0.9808966,0.61089426,1.2108825,1.0543158,0.96427536,1.289848,0.70244855,1.0177066,0.6293733,0.97125214,1.3543293,0.45129454,1.0669465,0.80090344,1.1768233,1.2090571,1.3448229,0.18770635,1.3139672,1.161463,1.4185164,0.8911646,1.1474745,0.8894956,1.3099875,1.3314476,1.157781,1.2770114,1.1864519,1.1386315,0.27079076,0.70231414,0.52877915,0.6835148,0.52909887,0.8536861,1.1337738,1.3699703,1.3845761,1.0065902,0.37344444,0.3628378,1.0147117,0.97099715,1.1880206,0.5755525,0.5570584,0.9088289,1.1407773,1.1033916,0.5173934,0.80679405,1.1441799,1.3578216,1.3636551,0.86970484,1.2914822,1.0838499,1.2473736,1.1308429,0.8341079,1.3839443,0.23974901,1.009826,1.2643874,1.0684546,0.8910606,0.77788806,0.30595422,1.3328685,1.3873005,1.041329,0.8226567,0.7295607,0.93744034,0.45366287,1.0010849,1.3891461,1.0725943,0.39334399,1.0289602
coat,0.635308,1.3000007,1.2821099,1.1576421,0.654178,1.1640568,1.2166965,1.2288649,1.2164736,0.86303824,0.57125515,1.2512885,1.0606791,0.7713884,0.74371314,1.2100289,1.3481212,1.3105335,0.97351855,1.2231449,1.1887065,1.1096661,1.3347008,1.1344087,1.2560694,0.7431975,1.1494019,0.93732864,1.2154706,0.0,1.0168965,0.9889685,1.0121981,1.2155447,1.2160457,1.0649468,1.3342208,0.73734426,1.2480656,1.0159191,0.82600915,0.7420795,1.1453304,0.9478012,0.8541876,1.1078498,1.3224957,0.6843186,0.6805958,1.0962145,0.90172,1.1341158,1.0430737,1.3857231,1.1625297,0.89344925,1.131214,1.1332277,1.3106937,0.6156128,1.0575644,0.9075099,1.2095857,0.17193055,1.0753508,0.5225333,1.3272537,0.88369226,1.0423973,0.81125987,1.1263963,1.0860531,0.90257984,0.97477394,1.1313641,1.1792743,1.3628838,1.2408785,1.1820168,1.3342463,1.2896985,0.62010133,0.30947578,0.5064571,1.194553,1.3382306,1.3215722,1.1773802,1.1759808,0.9122638,1.197712,1.399569,1.066897,1.1428599,0.96797955,1.2564678,1.147518,0.7958197,0.8074236,0.41374153,1.3014195,0.25319016,1.0979989,0.8405702,1.325551,1.279813,0.75050616,1.2814274,1.2684592,1.010627,1.227937,1.3822806,1.2414207,1.2431378,0.27405536,0.60653055,1.4006078,1.190583,1.318754,1.2452347,1.3705419,1.087288,0.85515934,1.1346322,1.2290568,0.99144524
coffee,1.0177635,1.0432439,1.130042,1.1791639,0.9887582,1.0133921,1.0599014,1.1899779,1.0459795,1.043195,1.0115622,1.0708407,0.90283805,0.98569983,0.9768175,1.0605923,0.82748926,0.9621305,0.9919399,1.054818,0.8677831,0.8273165,0.8636524,0.9937196,1.1869715,0.979213,0.94846255,1.0836377,1.0488541,1.0168965,0.0,1.1014216,1.0462024,1.1772829,0.920784,1.1437311,1.2045243,1.029308,0.681542,1.0143251,0.9349929,0.695725,0.84549564,1.00321,0.9014117,0.93147653,1.1549093,1.1397651,0.6904855,1.1487616,0.96681446,0.9065749,0.9794898,1.1917104,1.1249964,0.8922906,1.0702516,1.0780715,1.2310511,0.8513166,1.0103654,1.0538416,1.0275486,0.9442887,0.9409439,0.96803004,1.1420305,0.96361446,1.0098437,0.934398,0.99831325,0.8306947,0.9849784,0.9029049,1.1071603,1.1650375,1.1030184,1.0394619,1.0618619,1.2642233,0.869581,0.99359936,0.9457118,0.9689197,1.1074932,1.2405427,1.2276928,1.0810146,1.0112859,1.077934,0.9027671,1.1959965,1.0963855,0.9552684,0.8856015,1.0268486,0.75405234,0.84344923,1.015141,0.79970455,1.1227043,0.94592154,1.0390993,0.99940926,0.99407256,1.1226357,0.9852816,1.1850955,1.1478285,0.93075573,1.0638702,1.1620024,1.0222689,1.172479,0.95810974,1.0286394,1.0356178,1.0508367,1.1200697,1.1384667,1.1059873,1.0774674,1.0872384,0.6592784,1.0891563,0.92219675
comb,0.8685436,1.0380572,1.136739,1.0629616,0.7400852,0.9510671,1.0552393,1.0028158,1.043068,0.9644503,0.9095507,1.1983973,0.90045494,1.0067536,1.0457033,1.0898795,1.3231993,1.0133032,1.0276237,1.1227368,1.1985283,1.0690929,1.3307066,1.0016086,1.1259441,0.88078773,1.043598,0.97472084,1.2547593,0.9889685,1.1014216,0.0,0.99852055,0.83667076,1.2570384,0.77115035,1.2513398,0.84483683,1.289135,0.76855487,0.92130375,1.0128438,1.2554338,0.99996406,1.1511651,0.8848433,1.1972865,0.98664606,0.8735351,0.9110482,0.9329191,1.2218816,1.044321,1.2352858,1.0530225,0.89165515,1.0766381,1.0543238,1.086827,0.74923587,0.8819573,0.7155544,1.2002728,0.91725534,0.9912934,0.76067764,1.1733539,0.9748522,1.1111972,0.83802485,0.81302077,1.0559943,0.9296303,0.86459357,0.90777206,1.1697555,1.3394895,1.1756928,1.0481092,1.1554797,1.2065215,0.95241207,0.8143955,0.781711,1.156135,1.2092552,1.201737,0.95672786,1.2301209,0.850422,1.2521083,1.1328183,0.9970705,1.0916691,0.9550953,1.2036121,1.2709912,0.8170265,0.79885274,0.9210349,1.1468096,0.842572,0.8783037,0.7617841,1.1060234,1.099838,0.74888206,1.1573128,1.0261083,0.9444115,0.9736811,1.1689441,1.3627594,1.1779599,0.8798812,0.85143507,0.96906084,1.0137112,1.2085071,1.0976148,1.3613725,0.9867544,0.8669605,1.0868183,1.1270691,1.0488454
cookie,0.63290566,1.1429472,1.0690161,1.1901724,0.9062023,0.8708947,1.0120579,1.0533296,0.93159777,1.1752023,1.1012912,1.1899425,1.1672534,1.0722485,0.990763,1.0996969,1.210518,1.0367988,1.028308,0.6768367,0.9190576,0.9570392,1.2431825,1.1989384,1.1741571,0.8443641,1.3115102,0.8359005,1.0081761,1.0121981,1.0462024,0.99852055,0.0,1.1618062,1.2247639,1.0906048,1.1085813,0.98737514,1.1268576,0.9118914,0.96782815,0.9014626,1.1512336,1.2171773,1.1613991,0.9923125,0.88987726,1.0478582,1.07349,1.0812585,0.81196,0.9872105,0.86976236,1.0134958,0.800259,0.9063122,1.1633421,0.99907756,0.9307846,1.0151644,0.8230343,0.9548144,1.0005282,1.0892153,1.0101962,1.0987985,0.960429,1.1203865,0.9774244,0.95821744,0.89030826,0.92336637,0.8749781,0.97567797,0.67251915,1.0457549,0.79002273,1.1773862,0.9703483,0.99493235,1.1300656,0.92485976,1.0289271,1.1933488,1.0835735,1.0873362,1.0589547,1.0594862,0.6081926,0.92353314,0.99766845,1.1968989,1.1053503,0.7708597,0.9112847,1.1985457,1.1711323,1.0368596,0.84190893,0.9938167,0.9306755,1.1019633,0.8981786,1.0835915,0.885997,1.2720134,0.9781056,1.1347392,1.0920247,0.98855466,1.0172409,1.0346049,0.98129225,1.1263468,1.11166,1.0419186,1.0730776,1.0491017,1.1359407,0.92489016,1.0083319,0.88890123,1.0940747,1.0561239,1.1338966,0.9943668
