class_name,cdi_category,umap_x,umap_y,exemplar_count
alligator,animals,9.634242,8.71339,260
ankle,body_parts,10.364016,11.349135,199
apple,food_drink,8.932799,12.730483,265
applesauce,food_drink,6.8015924,12.281823,94
arm,body_parts,9.852264,6.8621907,256
ball,toys,8.620874,12.559521,266
balloon,toys,8.685574,12.502925,266
banana,food_drink,7.3404675,12.634153,260
basket,household,7.8674674,10.266836,266
bathtub,furniture_rooms,7.587107,7.807852,262
bear,animals,9.34023,7.9891176,102
bed,furniture_rooms,8.280526,7.4165683,266
belt,clothing,9.453783,11.766278,262
bench,furniture_rooms,7.5160537,8.130346,266
bib,clothing,9.49867,7.2028756,266
bird,animals,10.50434,9.6646,227
blanket,household,8.884537,7.230883,266
boat,vehicles,8.00847,8.685336,218
book,toys,7.848988,9.281827,266
bottle,household,8.809869,11.749022,266
bowl,household,7.669089,11.021211,266
box,household,7.669835,9.482675,266
bread,food_drink,6.793991,12.938452,257
broom,household,8.47206,10.462684,196
bucket,household,7.763766,10.705039,266
butterfly,animals,10.661107,9.572635,186
can,household,8.284716,11.111526,266
car,vehicles,7.9073696,10.027943,265
carrot,food_drink,10.163863,11.51753,235
cat,animals,10.028279,8.474274,265
chair,furniture_rooms,7.0045195,9.070888,266
chips,food_drink,6.3855267,12.8582945,84
clock,household,8.399114,11.582337,262
closet,furniture_rooms,6.987458,7.9648805,233
cloud,outside,9.41154,10.4186,13
coat,clothing,9.249733,6.6392293,130
coffee,food_drink,7.23346,10.294349,189
comb,household,8.699608,9.5133915,234
cookie,food_drink,6.645322,13.105886,177
corn,food_drink,7.1558228,12.79448,113
couch,furniture_rooms,8.260252,7.327674,266
cracker,food_drink,6.280543,12.736736,248
crayon,toys,9.327465,11.894223,266
crib,furniture_rooms,7.3499465,8.213424,265
cup,household,8.469148,11.6233225,266
deer,animals,10.698801,9.327283,83
dish,household,6.586363,11.769116,152
dog,animals,10.331028,8.813916,266
doll,toys,9.920192,9.623346,265
door,furniture_rooms,6.8726826,8.034015,265
drawer,furniture_rooms,6.73203,8.878671,262
dress,clothing,9.56645,6.637078,228
duck,animals,10.534409,9.529721,45
ear,body_parts,10.656603,11.811971,183
egg,food_drink,8.865147,12.835552,246
elephant,animals,9.439316,7.9431233,193
eye,body_parts,10.340288,12.141288,107
face,body_parts,9.48288,6.96773,248
finger,body_parts,10.545145,11.577164,263
firetruck,vehicles,7.4257984,8.8789425,86
fish,animals,9.430258,10.6568775,263
flower,outside,9.269362,10.101974,266
foot,body_parts,10.414982,11.108326,215
fork,household,8.635048,11.05254,253
frog,animals,10.330278,9.599254,265
game,toys,7.8524985,8.675109,32
giraffe,animals,9.697631,8.561359,53
glass,household,7.861384,9.492494,251
glasses,household,10.153005,11.951731,266
glove,clothing,9.921546,10.240743,265
grass,outside,9.00327,8.027219,149
gum,food_drink,9.534834,10.123226,265
hair,body_parts,9.482322,6.8317113,263
hamburger,food_drink,6.6028776,12.703702,176
hand,body_parts,10.002574,7.69919,266
hat,clothing,9.722438,12.004207,266
helicopter,vehicles,8.084048,8.93035,41
horse,animals,10.62203,9.025633,222
hose,outside,8.337579,9.074961,204
jacket,clothing,9.332629,6.584702,249
jar,household,7.4624853,10.459393,212
jeans,clothing,9.461418,6.615402,257
knife,household,8.658685,10.757524,264
ladder,outside,7.0206175,8.442276,259
lamp,household,8.461798,11.239682,266
leg,body_parts,10.297526,10.842353,117
meat,food_drink,6.125645,12.902438,154
melon,food_drink,7.202587,12.572746,232
milk,food_drink,7.385666,10.262791,185
mitten,clothing,9.816373,7.551067,264
mop,household,8.489557,10.416126,49
motorcycle,vehicles,7.3463893,9.066219,216
mouth,body_parts,10.707924,11.963941,150
muffin,food_drink,6.5681753,12.596881,209
nail,household,9.709689,12.267019,263
napkin,household,9.147636,10.887366,266
necklace,clothing,10.291942,11.789941,261
nose,body_parts,10.66411,11.944765,211
orange,food_drink,8.747675,12.882032,254
oven,furniture_rooms,6.697811,8.571343,260
owl,animals,10.024663,8.706791,221
pajamas,clothing,9.694792,6.7799835,262
pants,clothing,9.375094,6.4170165,256
paper,household,7.881798,9.050606,265
pasta,food_drink,6.325727,12.729504,11
pastry,food_drink,6.5525384,13.001919,54
pen,toys,9.187714,11.832457,265
pencil,toys,9.2626095,11.758348,265
penguin,animals,10.728476,9.580546,89
pickle,food_drink,7.3975425,12.74285,204
pig,animals,10.619247,9.031784,107
pillow,household,9.23011,10.823757,266
pizza,food_drink,6.3380747,12.659745,225
plant,household,8.824499,10.253098,263
plate,household,7.471382,11.150611,266
pony,animals,10.728447,9.113304,175
potato,food_drink,9.167621,12.901353,62
pumpkin,food_drink,8.551708,12.889084,238
purse,household,7.1566305,9.500917,266
radio,household,8.007189,10.887035,251
raisin,food_drink,9.674074,12.429456,111
refrigerator,furniture_rooms,6.792088,8.212813,264
rock,outside,9.258382,7.973678,108
rooster,animals,10.456831,9.470051,247
sandwich,food_drink,6.2151995,12.7934475,81
sauce,food_drink,6.5215545,12.074537,84
scarf,clothing,9.548699,6.9876804,202
scissors,household,8.638089,9.9210415,265
shirt,clothing,9.639706,6.4871335,266
shoe,clothing,9.9089575,10.432549,262
shorts,clothing,9.416472,6.3460546,232
shovel,outside,8.330081,10.506094,248
shower,furniture_rooms,7.11424,7.7882547,185
sink,furniture_rooms,6.961511,9.751649,266
slide,outside,7.9403677,7.932276,245
slipper,clothing,9.721025,11.900249,266
snow,outside,9.1348915,8.08096,183
soap,household,8.792031,12.073995,213
sock,clothing,10.042837,10.550257,250
soup,food_drink,6.4299407,12.13921,171
spoon,household,8.500745,10.921147,257
sprinkler,outside,8.37306,9.789329,216
stick,outside,8.614248,10.626942,79
strawberry,food_drink,9.039651,12.594456,201
stroller,vehicles,7.2333417,9.046159,243
sweater,clothing,9.61643,6.4034624,255
swing,outside,7.9046597,8.103205,55
table,furniture_rooms,7.835421,7.786828,266
tape,household,8.238457,11.779578,264
toast,food_drink,6.2010527,12.727088,9
toe,body_parts,10.471589,11.656938,264
tooth,body_parts,10.104237,12.027573,244
toothbrush,household,8.900628,9.945643,263
towel,household,9.092421,10.775378,266
toy,toys,9.545797,9.751674,266
tray,household,7.732184,9.408328,264
tree,outside,8.087418,8.274947,186
tricycle,vehicles,7.5066524,8.964138,53
truck,vehicles,7.4310594,9.26918,147
vacuum,household,8.252771,10.27177,265
watch,household,9.6786375,12.175308,264
window,furniture_rooms,6.9899755,7.872787,264
zebra,animals,9.765303,8.339223,49
