,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,bucket,can,car,cat,chair,clock,closet,coffee,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,duck,ear,elephant,face,finger,fish,flower,foot,fork,frog,game,giraffe,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jeans,knife,ladder,lamp,leg,meat,melon,mitten,mouth,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,sink,slipper,sock,spoon,sprinkler,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,truck,vacuum,watch,window
bed,0.8987975,1.203486,1.3877096,0.47310972,1.229905,1.3639936,0.7920948,1.3915367,0.80494314,0.8979979,0.0,1.382493,0.823783,0.76669985,0.9574664,0.149872,0.7722802,0.8789433,1.4001026,1.4131309,0.7252948,1.390204,1.4596548,1.4108717,1.2565706,0.58145547,0.8421838,1.3746634,0.45519453,1.305352,0.48334485,0.8575041,1.5268679,0.7838372,1.4600105,0.8707371,0.66536975,0.581408,0.9317106,0.41756976,0.9051545,1.3192737,0.68561876,0.7560464,1.196358,1.1281698,1.1580367,1.1820198,1.4004092,1.1121992,0.7891792,0.9801637,1.1626761,1.3972173,1.0517223,1.1972749,0.7341002,1.1936939,0.84923244,1.3259534,1.1060896,1.0267763,0.37621439,0.57430536,1.3117776,1.1626511,1.3092494,0.93784124,1.09382,0.9900556,0.5403328,1.2783164,1.3706598,1.3496563,1.1014012,1.4372387,1.4865597,1.0113851,0.95493925,0.26890993,0.64170235,0.7252253,1.493392,1.5066036,0.7068677,1.0775329,1.0060216,0.9960915,1.1097513,1.4635417,1.12987,1.2463664,0.6482094,0.96190566,1.1355728,0.9768135,0.68438244,1.0041219,0.4867137,1.426201,0.56866556,0.95850277,1.5036066,1.2431456,1.2245121,0.93091667,0.38773775,0.55540574,1.4548329,1.3836242,1.3312136,0.7818807,1.3425052,1.368737,1.0757607,1.1110811,1.0141071,1.4353766,1.016187
belt,1.3706111,0.95796007,0.57046646,1.3761504,1.0562103,0.53248763,1.2879448,0.7141323,0.74096996,1.2197335,1.382493,0.0,0.895143,1.3381159,1.2416267,1.4096022,1.3318361,1.1911597,0.45440626,0.38772798,1.045493,0.68512285,0.35843277,0.48154557,0.6131288,1.2049217,0.99588645,0.7490924,1.2201549,0.5961272,1.178386,1.3942628,0.20551324,1.0759763,0.32204527,1.3509485,1.424023,1.1649411,1.0366935,1.4183817,1.2185888,0.9725436,1.2914698,1.2062858,0.7795323,1.0319318,1.2089847,1.0875021,0.38417578,1.2018945,1.1756921,0.9551953,0.78589255,0.90015346,1.0959846,0.97602314,1.2366536,1.1303604,1.3112593,0.8230318,1.1757891,1.0535866,1.3375759,1.3251634,0.28729832,1.0028521,0.76485467,1.17582,1.1510499,1.3221991,1.4435232,0.44902062,0.29553437,0.66441834,0.8735978,0.7620431,0.5656717,0.98048615,1.1975174,1.4244792,1.2496897,1.2499031,0.3703822,0.35462928,1.2271326,1.2311052,0.4550224,1.1136262,1.048634,0.30895948,1.1572722,1.0295606,1.3996689,1.1613258,0.8152395,1.3141732,1.1809646,1.1593378,1.3651941,0.6348562,1.2480223,0.9239907,0.4204303,0.9654115,0.7626494,1.2303898,1.3306103,1.3575726,0.693731,0.8063253,0.3584361,1.339067,0.6930214,0.85408574,0.89765894,0.9390552,0.7889745,0.1903317,0.9224181
bench,1.1421769,0.9211923,1.1848426,0.9318938,1.194391,1.0348538,0.98317903,0.8490263,0.54811704,1.0972801,0.823783,0.895143,0.0,1.1567699,1.0892034,0.566651,1.0245495,0.9464696,1.1309944,0.99489504,0.54927355,1.0326978,1.0244884,0.8325365,0.79895943,1.0349941,0.39574337,1.1765484,1.0813118,1.0268127,0.37388897,1.1344403,0.9459505,0.5809989,1.0808325,1.1578481,1.1943058,0.91978866,0.8309464,1.0182205,1.0936694,1.2472199,1.1475729,1.2538693,0.9665464,0.9444256,1.2642133,1.0226706,0.8947282,1.1334627,1.0403098,0.93827564,1.1032372,1.135105,0.91306376,1.0704883,1.2418756,1.1791872,1.0191004,1.1455443,1.120038,0.9862417,1.040974,0.718556,0.9925803,0.7915925,1.1229312,1.0636526,1.1106985,0.9682361,1.0501715,0.9569667,1.1197424,0.8227803,1.0553453,1.2569683,1.1577489,0.66546446,1.1206684,0.94883204,0.774488,1.0239024,0.9730118,1.0736642,0.95642424,1.1558294,0.41198492,1.010965,0.98078203,0.96641535,1.0628254,1.0569175,0.8417506,1.0230101,0.96738183,1.152684,1.0973713,0.9194912,0.89847505,1.0414734,0.75919354,0.6799476,0.93147403,1.0316207,0.9547606,1.1145929,1.0330354,0.6615951,1.1345636,1.1257845,0.9516135,1.069501,0.8182888,1.0205874,0.9204243,0.899848,0.8240047,0.89132845,0.9164394
bib,0.87446624,0.98804736,1.2490516,0.69213355,1.1646394,1.4088609,0.74951756,1.3730319,1.1258209,0.99225473,0.76669985,1.3381159,1.1567699,0.0,0.9989646,0.782125,0.9696121,0.9587529,1.3989799,1.4537847,1.0548234,1.1665363,1.4918933,1.4663916,1.2999744,0.9609076,1.2206385,1.3902615,0.8098562,1.2342787,1.0328205,0.6411045,1.3873093,1.2577157,1.460619,0.9467115,0.6550931,0.99468935,0.96486074,0.57357854,0.97934204,0.77397954,0.98469144,0.55783683,1.0135071,0.9952585,0.9303926,0.8274511,1.1337569,0.9701209,0.91816556,0.9456448,0.6393674,1.1459728,0.99548334,0.9069717,0.6085519,0.9884141,0.61835366,0.981765,1.1468968,1.1144919,0.6851455,0.7830616,1.1159549,1.2831473,1.3667421,0.9241625,0.9806061,0.8263221,0.65995336,0.8823416,1.3548002,1.3431782,0.62463844,0.84753734,1.2537044,1.262239,0.91878,0.6138628,0.8220948,0.75039625,1.401571,1.3349043,0.6292496,1.0764906,1.2535558,0.8384131,1.249662,1.3381238,1.1434618,1.0118853,0.78880155,1.1383467,1.3959022,1.03545,0.647017,0.89833343,0.6857149,1.223176,0.6753335,1.0950549,1.2468555,1.0531225,1.1588529,0.88153344,0.69013995,0.9260843,1.2323613,0.88003165,1.4180875,0.7187621,1.3529015,1.1893618,1.1134058,1.0291729,1.2227247,1.1515185,1.1320143
bird,0.6252203,1.1587664,1.2618759,1.0679067,1.0343928,1.0906463,0.9312938,1.248276,1.2125527,0.6582488,0.9574664,1.2416267,1.0892034,0.9989646,0.0,0.92371553,0.84922,0.9285337,1.1743233,1.2499374,1.1341957,1.0497552,1.2576754,1.3106081,1.0860703,0.88029414,1.1928883,1.1107268,0.9553064,1.137042,1.0596246,1.0801528,1.2800459,1.105729,1.2482667,0.5990727,0.8768431,1.0910457,1.161958,0.9944614,0.07014692,1.1922674,0.80904007,0.93909866,1.1927539,0.71067613,1.0091479,1.0985359,1.2949524,0.7005847,0.93697137,1.1166975,1.0785376,1.1333687,0.9397892,1.1090989,0.94814914,0.95243394,1.0724071,1.1507868,0.81444746,0.9679862,0.9532939,0.9147664,1.2479458,1.1549757,1.1925287,1.0222306,0.8979178,0.9814378,0.9387967,1.2600105,1.1842016,1.2935655,1.2498856,1.2414706,1.0345898,1.1809002,0.65419185,1.0258731,0.99384445,0.86371255,1.2275046,1.2505698,1.1311826,0.8955391,1.271348,1.0398269,1.08306,1.1690638,0.8614017,1.0389842,0.95502174,0.9413837,1.1968548,0.10482371,0.9479755,0.9483388,0.9267651,1.2862757,0.9947785,1.075032,1.3258708,1.1381941,1.2305267,0.9433278,0.9942922,0.9602615,1.0890377,1.2821021,1.2445778,1.0054183,1.285669,1.051586,1.1450206,1.0427037,1.1015394,1.3083073,1.1208773
blanket,0.7703217,1.1868399,1.4525499,0.51627773,1.2307851,1.3387443,0.7947207,1.3785284,0.7491068,0.86596954,0.149872,1.4096022,0.566651,0.782125,0.92371553,0.0,0.7123811,0.868875,1.456177,1.4536061,0.7122181,1.355422,1.4952903,1.3917496,1.1714405,0.5599497,0.7487743,1.4047844,0.6289552,1.3074211,0.40619445,0.8605388,1.5411246,0.7396615,1.5109031,0.77107626,0.7880056,0.6970414,0.9413867,0.44916528,0.89457214,1.3946295,0.7419505,0.8819217,1.1959642,0.9947084,1.1080164,1.1511345,1.384294,1.0645039,0.7958633,0.86688566,1.183749,1.3637346,0.9277215,1.2006855,0.84643495,1.2349902,0.87972814,1.3645062,1.056013,1.0047233,0.4922337,0.4994198,1.347059,1.1411272,1.3867052,0.9952915,1.0280179,0.9115792,0.58143437,1.2781936,1.4161797,1.2556742,1.1377954,1.4864932,1.5166602,0.981985,0.87221605,0.30553424,0.5517409,0.75291884,1.5001929,1.5382969,0.7195139,1.037522,0.85573864,0.9634096,1.0836023,1.4519708,1.0569367,1.2339809,0.6235761,1.002453,1.2249478,0.92897266,0.7313281,0.98461646,0.4764049,1.4077649,0.44731134,0.9097376,1.4848737,1.2351888,1.2298536,1.0123192,0.49188793,0.53303057,1.4802902,1.4291518,1.3710926,0.8316106,1.2390444,1.3763525,1.0852945,1.0928118,1.0344965,1.4279258,1.0479777
boat,0.8102287,1.2007779,1.3030477,0.80696857,0.9403499,1.2007438,0.9610066,1.1638038,0.9770249,0.8968739,0.7722802,1.3318361,1.0245495,0.9696121,0.84922,0.7123811,0.0,0.964961,1.2360822,1.2815205,0.9297686,1.1764342,1.2583363,1.2699058,1.1958077,0.6511986,1.0592265,1.1403879,0.8097613,1.1974031,0.9008173,0.8695484,1.373882,0.8538023,1.2838075,0.79495245,0.8238685,0.85854554,0.994871,0.77474207,0.87081385,1.2787015,0.60432416,0.9496085,1.231555,1.0130279,0.96255106,1.165554,1.3007946,0.9281808,0.908525,0.9187036,1.216879,1.1160804,0.92384183,1.0062065,0.9222116,1.1078196,0.97335964,1.1986256,0.92010593,0.9672723,0.7495973,0.88503116,1.3359325,1.0974535,1.1765482,1.1204659,0.8231757,0.81148607,0.8032343,1.2852464,1.2065812,1.2123175,1.1943122,1.2893338,1.297223,1.0610226,0.8086684,0.6438061,0.8595152,0.93892634,1.35445,1.3515902,0.91302496,0.90605056,1.1821295,0.8680171,0.9402713,1.3174177,0.9755363,1.1331463,0.74775684,0.9271039,1.0984974,0.7822548,0.9149587,1.0024981,0.88047737,1.1890855,0.89198524,1.0264401,1.3272617,1.149595,1.2488172,1.0547967,0.7711656,0.7790373,1.1935979,1.3326887,1.1956736,0.9860143,1.2033938,1.1189505,1.0579462,1.0515426,1.0413779,1.3471498,1.0570732
book,0.74915785,1.235456,1.1350738,1.2276444,0.9276676,1.0666565,1.0782758,0.8635575,1.1791639,0.9392894,0.8789433,1.1911597,0.9464696,0.9587529,0.9285337,0.868875,0.964961,0.0,1.0744557,0.97937155,0.5025793,1.0116302,1.0035306,1.0986917,0.99379694,1.1968304,0.92865247,1.0024683,1.1428254,1.1150401,0.9592708,1.0718293,1.1131752,0.723006,1.0875312,0.84607494,0.71758896,1.1087844,0.97970366,1.1309601,0.9425193,1.186831,1.0713332,1.033049,1.1085795,0.90665615,0.98149204,1.1410228,1.2915757,0.7366747,0.69226635,1.1477757,1.1774505,1.2339327,1.1081506,0.6604356,1.0800443,0.758982,1.0775895,1.0260096,0.8050916,0.98238945,0.9869811,1.0390352,1.2172048,0.9311693,1.0448555,1.1793289,1.0513494,0.9783306,1.1419258,1.196651,1.1759882,1.1868936,1.3006288,1.1910654,1.0492743,0.8401946,0.95076376,1.0737815,1.1736962,0.3340205,1.0734897,1.0937222,1.1769257,0.792277,1.1803038,0.83379066,0.8962345,1.0225157,0.83306706,1.0751028,0.85432386,0.8871691,0.9632312,0.84017754,0.90321696,0.8520667,1.0731831,1.3201554,1.0881972,0.94929194,1.2836711,1.258458,1.2210975,1.0591159,1.0502499,0.57404953,0.97472745,1.2595826,1.0561459,1.0686281,1.1730552,0.70860666,0.7443862,0.83195746,0.8592793,1.3071283,1.0526416
bottle,1.3073127,0.99270993,0.5853197,1.4163806,0.8651185,0.44423056,1.2236577,0.6322968,1.0166538,1.1670431,1.4001026,0.45440626,1.1309944,1.3989799,1.1743233,1.456177,1.2360822,1.0744557,0.0,0.2751087,1.119459,0.66974765,0.21612668,0.36827856,0.9555303,1.267982,0.98406595,0.507446,1.1990594,0.66894346,1.2657474,1.3634071,0.3263592,1.0191326,0.087736845,1.2532132,1.3448803,1.1170881,1.150069,1.3860747,1.1760495,0.9791019,1.2486756,1.2424394,0.91723716,1.1437361,1.0899022,1.1214037,0.7976906,1.1536176,1.1625147,1.200973,1.0576133,0.8491026,1.1991264,0.98497224,1.2575287,1.019862,1.3961825,0.73769534,1.0164608,1.07799,1.3093562,1.3534971,0.6535711,0.7818066,0.5571369,1.0423175,1.1789631,1.2736878,1.419583,0.8671179,0.3232205,0.4917124,1.1287246,0.7639736,0.49959254,0.8876007,1.1728084,1.4161038,1.3580273,1.1739422,0.3912773,0.39744455,1.376313,1.0355169,0.8878436,1.2051382,0.8730218,0.3615582,1.0210009,1.0091431,1.3597429,0.9941408,0.4907596,1.2180451,1.2301787,1.2879813,1.3529587,0.6307819,1.4526939,1.012579,0.5870395,0.9622437,1.0088711,1.2058315,1.3160291,1.2905499,0.51926905,0.9159781,0.56390154,1.2849321,0.51308644,0.7014002,0.9226485,1.0312486,0.79453385,0.7320105,0.84006214
bowl,1.3990188,0.93470895,0.48103046,1.4965203,0.747202,0.5019869,1.3137859,0.5522993,0.88115007,1.2527086,1.4131309,0.38772798,0.99489504,1.4537847,1.2499374,1.4536061,1.2815205,0.97937155,0.2751087,0.0,0.91261274,0.68393826,0.08612764,0.26896524,0.7323053,1.3138263,0.90176964,0.45884955,1.2499491,0.6087524,1.2199011,1.442065,0.31981784,0.9048905,0.12645394,1.3593136,1.413984,1.1836913,1.0267787,1.5009956,1.221586,0.98043466,1.3007833,1.3391753,0.9561995,1.0746434,1.0660841,1.1101358,0.70542765,1.1817052,1.1856276,1.2245864,1.0762038,0.7528152,1.1965998,0.9128812,1.3417246,0.9579664,1.3998842,0.7784514,1.0638702,1.0606215,1.3740028,1.4346398,0.55561984,0.81481695,0.44885266,1.1316627,1.2103753,1.2439673,1.5388274,0.8630283,0.33998752,0.6613283,1.1404251,0.76247334,0.5153146,0.7852356,1.2243936,1.5187758,1.4362617,1.1669137,0.35416842,0.3663566,1.4018798,1.0966209,0.70759207,1.1237763,0.8979906,0.27355868,1.0678812,0.965018,1.3738191,0.94909173,0.5689991,1.3143417,1.235864,1.1573591,1.3983866,0.56792426,1.4974716,0.6818729,0.44748867,0.91351396,0.84410906,1.2170018,1.397343,1.1667769,0.44717908,0.8968595,0.40027946,1.2808384,0.677076,0.6832216,0.7579216,1.0285577,0.81634504,0.6345862,0.8315244
box,1.0729384,1.1756899,1.2046875,0.8552271,1.1734252,1.2240479,1.08866,0.7384397,0.6921791,1.1136334,0.7252948,1.045493,0.54927355,1.0548234,1.1341957,0.7122181,0.9297686,0.5025793,1.119459,0.91261274,0.0,1.1291692,0.9528954,0.8685911,1.0267532,1.04196,0.607753,1.2053293,0.9163729,1.1680244,0.67843306,0.99818015,1.0827389,0.44621134,1.0716704,1.0673535,0.9723574,0.71339965,0.5238589,0.967125,1.0969154,1.3490632,1.0743108,1.0865546,1.1743428,1.0761681,1.165245,1.2701478,1.0588679,1.106388,0.82733047,0.8824268,1.1938816,1.3008213,1.0430422,0.8560334,1.0646614,1.1197544,0.9980317,1.2439594,1.06804,1.0116849,0.849844,0.9499369,1.0712118,0.77326286,1.0456666,1.1665281,1.1051064,1.1600837,1.0416877,1.0802201,1.165928,1.1539541,1.0663676,1.2904458,1.2937664,0.5685039,1.0675046,0.8807054,0.97881943,0.69703317,1.0981469,1.1599236,0.9504433,1.0417638,0.7836888,0.9754675,0.936713,1.1210935,1.051826,1.2930762,0.5622547,0.8500759,0.78662634,1.1068861,1.0356233,0.86246413,0.9718877,1.2589483,0.9906054,0.71923715,1.1833929,1.2423916,0.9779828,0.98972327,0.88374406,0.4186319,1.174708,1.2478894,0.9170095,0.9005977,1.1549551,0.9691317,0.7392035,0.8253879,0.7289395,1.0670644,0.9615836
bread,1.1025515,0.6918301,0.67455214,1.2826135,0.72739816,0.6814869,1.0226841,0.67074406,1.1772519,1.1805656,1.390204,0.68512285,1.0326978,1.1665363,1.0497552,1.355422,1.1764342,1.0116302,0.66974765,0.68393826,1.1291692,0.0,0.65895694,0.78394634,0.95074856,1.440362,1.0247337,0.7822683,1.3517885,0.76320904,1.2257373,0.9145533,0.6233115,1.1733774,0.63366324,1.1952486,1.1565866,1.3496941,1.0909026,1.331245,1.1159048,0.8216668,1.2562376,1.3272843,0.6491582,0.82088315,0.76098573,0.8732854,0.774732,0.91735846,1.0682362,1.14416,0.95444894,0.69965875,1.1592581,1.0054965,1.3227143,0.6920813,1.0586544,0.7919483,1.0502753,1.1403674,1.4323695,1.263965,0.79120773,0.94050837,0.9238891,1.0346086,1.1374103,0.7539538,1.1806958,0.71631044,0.66257507,0.7993362,1.0333751,0.7745577,0.33817852,1.0594841,1.2043427,1.3900115,1.2859552,1.1833082,0.73636454,0.68029654,1.0465965,1.0389142,0.8804682,1.1280223,1.0383555,0.62729293,1.0001386,0.6352234,1.2408929,1.1564903,0.9322806,1.0868295,1.1558392,1.1773813,1.369414,0.67408067,1.2523723,1.1615858,0.6055966,0.6633124,1.0225272,1.1551507,1.4330666,1.3098722,0.682096,0.6361951,0.78444946,1.2176635,0.8230807,0.77919877,0.8876568,1.0336877,1.0362426,0.73737884,1.0923545
bucket,1.3886584,0.95121783,0.5071212,1.5158017,0.784543,0.50225544,1.3759022,0.5309496,0.86634827,1.2410643,1.4596548,0.35843277,1.0244884,1.4918933,1.2576754,1.4952903,1.2583363,1.0035306,0.21612668,0.08612764,0.9528954,0.65895694,0.0,0.23087549,0.8161139,1.2734424,0.8760228,0.46234936,1.2599976,0.66767794,1.2019337,1.4714837,0.33001113,0.89896536,0.11162782,1.3240535,1.3900309,1.1537195,1.0582799,1.4981828,1.2446232,0.9677673,1.2859695,1.3171496,0.9512138,1.1403208,1.0594018,1.1290743,0.70314384,1.1864067,1.1854594,1.1850307,1.0736039,0.78082407,1.1636616,0.92632616,1.3249648,0.94799906,1.4232976,0.75403076,1.0175639,1.0637928,1.3731016,1.4147,0.5891249,0.76887536,0.44593,1.1173846,1.1643597,1.2303966,1.5641227,0.88163066,0.30569327,0.58879113,1.1376276,0.7379015,0.49136418,0.7643394,1.2039742,1.5101913,1.4231441,1.1495887,0.37094587,0.39170736,1.446552,1.0378064,0.71688735,1.0869299,0.8656299,0.3049878,1.029298,0.98064417,1.3996319,0.99886996,0.505,1.2961358,1.2314451,1.2198287,1.3783514,0.6000667,1.5129206,0.86980456,0.49256027,0.9194294,0.89548284,1.2318504,1.3819587,1.18933,0.5305233,0.89404756,0.37097096,1.3401378,0.6054353,0.7075757,0.92783475,1.0280157,0.7841048,0.628402,0.79542094
can,1.4362514,0.89882755,0.5786249,1.3656422,0.84906626,0.6524279,1.419541,0.53040344,0.6842021,1.2440015,1.4108717,0.48154557,0.8325365,1.4663916,1.3106081,1.3917496,1.2699058,1.0986917,0.36827856,0.26896524,0.8685911,0.78394634,0.23087549,0.0,0.8165707,1.2379179,0.64336395,0.5699779,1.2296555,0.79816866,0.99345237,1.3608036,0.51132715,0.73521745,0.28049803,1.3629966,1.4065858,0.9221906,0.8387788,1.3728055,1.298368,0.95103663,1.3205115,1.3563743,0.86960757,1.197409,1.0403805,1.0367049,0.6628875,1.3120667,1.2381959,1.0991344,1.1206361,0.7816298,1.112799,1.0222235,1.3292637,1.0256057,1.343967,0.7868904,1.0710663,1.0375115,1.3357444,1.3100576,0.752264,0.6215931,0.41859996,1.012183,1.215239,1.1682721,1.4885141,0.8916414,0.52529246,0.518851,1.0769163,0.8272531,0.7065847,0.5415436,1.2729824,1.4079735,1.3154602,1.1714803,0.5577288,0.6068253,1.348167,1.0919366,0.69290555,1.1352443,0.803161,0.55633867,1.0788944,1.025118,1.2864071,0.9513414,0.3593583,1.3631504,1.2611841,1.2198039,1.3453408,0.58912647,1.418967,0.67401725,0.5051842,0.89372516,0.7884952,1.2047154,1.3255537,1.0819167,0.612831,0.8661643,0.44156933,1.2673447,0.537547,0.8082779,0.8440013,1.0791037,0.77458066,0.62358516,0.69292265
car,1.0314401,1.0110868,0.7005923,1.2977891,0.9622389,0.7138487,1.136009,0.8612517,0.915614,1.0603039,1.2565706,0.6131288,0.79895943,1.2999744,1.0860703,1.1714405,1.1958077,0.99379694,0.9555303,0.7323053,1.0267532,0.95074856,0.8161139,0.8165707,0.0,1.1503007,0.8879187,0.8837763,1.1990933,0.6211478,1.0040352,1.242871,0.6570765,0.8706636,0.824258,1.1181747,1.1759437,1.161693,1.0743582,1.3257442,1.0905647,1.0510126,1.1596748,1.2003821,0.8075923,0.6864585,1.0865206,1.096064,0.72180337,0.8415012,1.1124177,1.0032096,0.9896287,0.9714301,1.0346576,0.9181394,1.237714,1.0469192,1.1613767,0.93942297,1.0408396,0.9308304,1.2899879,1.2053314,0.7204752,1.0048478,0.8990707,1.1184447,1.0156451,1.1052283,1.3421736,0.7398324,0.88470316,0.86562634,1.1658925,1.0135478,0.88846,0.95440614,1.0704268,1.3322713,1.1812807,1.1598095,0.69876766,0.75094557,1.1807885,1.083575,0.7217696,1.0753893,0.8348468,0.62207097,1.0118471,0.9221514,1.2274058,0.99780035,0.9983606,1.0979772,1.1294186,0.9968157,1.307516,0.9155035,1.0812793,0.76383024,0.745189,1.0459589,0.678699,1.0722822,1.3137709,1.1893852,0.7929983,1.0260036,0.6348435,1.1853056,0.8479379,0.72958237,0.7960036,0.7988738,0.96237206,0.5961293,1.053352
cat,0.83830523,1.2379537,1.2623086,0.6600261,1.2354922,1.2687426,1.0087281,1.4479722,0.7110045,0.8015116,0.58145547,1.2049217,1.0349941,0.9609076,0.88029414,0.5599497,0.6511986,1.1968304,1.267982,1.3138263,1.04196,1.440362,1.2734424,1.2379179,1.1503007,0.0,1.1397669,1.2686929,0.5479326,1.2221599,0.8690515,0.97923595,1.4265016,0.8798701,1.3046582,0.5572213,0.8561101,0.6607524,1.032785,0.7046729,0.85508,1.220212,0.49800456,0.79488444,1.325032,1.0704126,1.0030736,1.2017585,1.313838,1.0768663,0.9999396,0.7644718,1.1310538,1.1805131,0.84398556,1.1803539,0.73999524,1.2474707,0.98623556,1.2941338,0.9754431,0.99917376,0.61218536,0.7142252,1.2139829,1.1606244,1.2231878,0.973187,0.79049563,1.0459225,0.76823324,1.2836071,1.1715828,1.2059184,1.0736051,1.3081236,1.4187605,1.1014525,0.6986164,0.5753856,0.66981685,0.9620849,1.3649263,1.3634136,0.9140284,0.8987648,1.0612439,0.8277675,1.1162509,1.3422757,0.9842704,1.2604928,0.8951043,0.9698665,1.0981694,0.8406857,0.8783111,0.9865745,0.60161734,1.2527652,0.7489578,0.9869028,1.3679209,1.2382537,1.1526316,1.0096705,0.5475946,0.7756697,1.4121876,1.3752403,1.2061572,0.9415689,1.2067139,1.4389272,1.2429681,1.2159606,1.0281732,1.2708796,1.0042198
chair,1.220129,0.8392016,1.0681348,0.9817941,1.0169268,1.0516076,1.0612649,0.64210474,0.6551509,1.2189885,0.8421838,0.99588645,0.39574337,1.2206385,1.1928883,0.7487743,1.0592265,0.92865247,0.98406595,0.90176964,0.607753,1.0247337,0.8760228,0.64336395,0.8879187,1.1397669,0.0,1.0738908,1.0308514,1.0438246,0.22920227,1.1116073,1.0148468,0.46904445,0.94930863,1.2122979,1.0390624,0.8303195,0.86420417,0.9863712,1.2007285,1.1612258,1.1268343,1.2399473,0.8839718,1.1066309,1.1747813,1.0133356,0.9485184,1.1698601,1.1025636,1.0093462,1.2134109,0.98151076,1.006863,1.1384943,1.2029426,1.1014061,1.0669484,1.0828892,1.1105042,1.1324915,1.021623,0.86896145,1.1153299,0.56924605,0.8214793,0.99462837,1.1216007,0.94138324,1.0538739,1.0878762,1.1004057,0.7974585,1.129814,1.1522045,1.1203787,0.4945987,1.1938473,0.9311281,0.93367624,1.0220128,1.0406154,1.0715272,1.0354854,1.0674547,0.6441835,1.1160152,0.75435066,1.0350999,1.0676732,1.031548,0.94099027,1.0365249,0.69240654,1.2330701,1.1235914,1.1552585,0.97211,0.9684486,1.019607,0.8048898,0.92371035,0.8513417,0.8988353,1.04451,1.0033647,0.6360091,1.1361051,1.0364645,0.90378964,1.0179164,0.80408716,0.926705,0.9487152,0.9477562,0.8940122,0.9705071,0.85936534
clock,1.2362697,0.96087116,0.52997714,1.4344184,0.44398916,0.4395212,1.2358449,0.6792544,1.1420711,1.1403722,1.3746634,0.7490924,1.1765484,1.3902615,1.1107268,1.4047844,1.1403879,1.0024683,0.507446,0.45884955,1.2053293,0.7822683,0.46234936,0.5699779,0.8837763,1.2686929,1.0738908,0.0,1.2047558,0.6986437,1.2883775,1.2106115,0.6738429,1.0268475,0.47166306,1.1461583,1.1850164,1.1637604,1.058403,1.3803043,1.129294,0.9508572,1.1767974,1.2154386,1.0169578,1.0643766,0.8021033,1.0936581,0.9037152,1.0544351,1.1192366,1.27845,1.1658556,0.7833528,1.1971838,0.90258163,1.2259185,0.82280326,1.3929685,0.81823206,0.9429521,0.82197225,1.234632,1.4000783,0.9932295,0.9023892,0.4974286,1.066109,1.2329311,1.0599267,1.3816701,1.123415,0.5920783,0.7251233,1.2702252,0.90960944,0.5822921,0.9584614,1.032731,1.3926914,1.425636,1.0718489,0.69010043,0.7101603,1.3521594,0.94596803,0.99581605,1.1832572,0.90853256,0.5421613,0.9828235,0.87131226,1.2374384,0.7681545,0.6373935,1.1476003,1.1664675,1.0733845,1.3439274,0.68098986,1.4652424,0.90706706,0.709954,0.9316671,0.98672396,1.1054543,1.2725141,1.2410315,0.45156264,1.0006411,0.6624264,1.2363092,0.72007143,0.7211833,0.88484895,1.0852604,0.9271086,0.9026086,0.86449397
closet,1.0617185,1.1920371,1.2519239,0.58702856,1.1759007,1.2277565,0.93472075,1.3541064,0.76915884,0.9776693,0.45519453,1.2201549,1.0813118,0.8098562,0.9553064,0.6289552,0.8097613,1.1428254,1.1990594,1.2499491,0.9163729,1.3517885,1.2599976,1.2296555,1.1990933,0.5479326,1.0308514,1.2047558,0.0,1.1615107,0.81877065,0.9535035,1.3805516,0.87785363,1.2466134,0.95740527,0.7573509,0.27559114,0.9481395,0.51759696,0.897365,1.1599574,0.6405198,0.51610684,1.3639597,1.1697595,1.2070833,1.2867641,1.2705032,1.1627018,1.0361863,1.0510706,1.036017,1.3722057,1.1513014,1.0999285,0.37185037,1.2621462,0.9838886,1.1714648,1.1147972,1.112953,0.40448225,0.7894373,1.1538323,1.1319497,1.2188094,0.9466448,1.0788083,1.1069347,0.7120366,1.155469,1.1967082,1.2594142,1.0457383,1.2651405,1.3030943,1.0221679,0.98997533,0.53381824,0.79571104,0.9319535,1.3957349,1.3782177,0.85866416,1.110127,1.1941425,0.9735214,1.0926192,1.2992347,1.1507542,1.2493463,0.76703745,0.9317097,0.99403864,0.99828875,0.7447144,1.1031471,0.56416386,1.3127674,0.88815117,0.9615672,1.3651932,1.2206208,1.2101052,0.8968967,0.42452317,0.76580256,1.296833,1.3317795,1.2104751,0.86844677,1.2656808,1.3102604,1.1621906,1.1238644,1.0556998,1.2792115,0.92294806
