,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,bucket,can,car,cat,chair,clock,closet,coffee,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,duck,ear,elephant,face,finger,fish,flower,foot,fork,frog,game,giraffe,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jeans,knife,ladder,lamp,leg,meat,melon,mitten,mouth,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,sink,slipper,sock,spoon,sprinkler,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,truck,vacuum,watch,window
alligator,0.0,1.293004,1.2397258,0.9604685,1.0801147,1.144325,0.6759253,1.2734108,1.1841155,0.67430454,0.8987975,1.3706111,1.1421769,0.87446624,0.6252203,0.7703217,0.8102287,0.74915785,1.3073127,1.3990188,1.0729384,1.1025515,1.3886584,1.4362514,1.0314401,0.83830523,1.220129,1.2362697,1.0617185,1.2193558,1.070777,0.79286826,1.3122222,1.1059389,1.3956198,0.5083367,0.7825217,1.1097243,1.1051457,0.91412073,0.6935441,1.2219639,0.79266965,0.9920269,1.1685381,0.5804267,0.7058382,1.0834585,1.2978671,0.35223722,0.8263533,0.94350874,1.0887268,1.1343104,0.82480115,0.9909077,1.0076385,0.9393125,0.93981665,1.2296668,0.73903894,0.82493806,0.94594014,0.89013875,1.2742915,1.1515081,1.2579241,1.1229591,0.741443,0.94049406,0.70550954,1.2228459,1.3619647,1.3185855,1.1972156,1.2378929,1.2325566,1.2408689,0.6347144,0.9142937,0.95359665,0.7625102,1.2334492,1.270577,0.9959798,0.86060315,1.3169937,0.89955544,0.91490334,1.2255769,0.7712656,1.0896667,0.85718924,0.991168,1.3048186,0.49899632,0.91745555,0.79393095,0.9249295,1.3670248,0.8349855,1.125065,1.4504533,1.2334597,1.1333227,0.9280699,0.9862171,0.9283915,1.1883934,1.2901872,1.3070841,0.8892149,1.2893453,1.0378293,1.1218623,1.0087166,1.0685506,1.349108,1.1710889
ankle,1.293004,0.0,0.8133275,0.98786026,0.8817022,0.90095025,1.0052537,0.8529027,1.142125,1.3408141,1.203486,0.95796007,0.9211923,0.98804736,1.1587664,1.1868399,1.2007779,1.235456,0.99270993,0.93470895,1.1756899,0.6918301,0.95121783,0.89882755,1.0110868,1.2379537,0.8392016,0.96087116,1.1920371,0.87954235,0.99598575,0.9471491,0.88816,1.2530396,0.91342014,1.242406,1.1042131,1.2546606,1.1550207,1.0330974,1.1907815,0.654185,1.1778475,1.1965806,0.6945714,1.0113463,1.023956,0.5172144,0.7828779,1.1016431,1.2124566,1.0909412,0.9078266,0.36598146,0.96681994,1.0277722,1.1638885,0.8797653,0.88917804,0.72163826,1.13506,1.2554085,1.2410996,1.049598,0.86201704,0.99574953,0.9375861,0.87813103,1.0765038,0.7231668,1.0003341,0.7810745,0.9866629,0.7602184,0.78110147,0.73886466,0.7058299,1.0806178,1.1958436,1.1544499,0.99691194,1.3147926,0.9336878,0.8687429,0.8889647,1.0811484,0.8096288,0.98338825,1.0372756,0.9417075,1.0762392,0.64155865,1.1559145,1.2445014,1.003037,1.2159688,1.1500155,1.1727196,1.0229902,0.503216,1.0595717,1.2098265,0.48185253,0.1546073,0.8934499,0.90198755,1.1971488,1.2666819,0.876642,0.3365445,1.0120965,0.99340045,0.7798773,1.0239415,1.0512998,1.104439,1.2371948,0.7644639,1.0818884
apple,1.2397258,0.8133275,0.0,1.3527753,0.65186787,0.57096183,1.2203617,0.7307584,1.1022327,1.2112557,1.3877096,0.57046646,1.1848426,1.2490516,1.2618759,1.4525499,1.3030477,1.1350738,0.5853197,0.48103046,1.2046875,0.67455214,0.5071212,0.5786249,0.7005923,1.2623086,1.0681348,0.52997714,1.2519239,0.60064846,1.3218659,1.0829939,0.5336807,1.1062977,0.4622764,1.2359123,1.2528584,1.1934426,0.9300763,1.3934965,1.2540302,0.7116724,1.2932007,1.2361081,0.8649508,0.8830582,0.8034894,0.99364495,0.67401886,0.96200854,1.1603229,1.1393495,0.977242,0.6893805,1.1763322,0.80751383,1.2631533,0.8579545,1.235076,0.8015008,1.0241401,1.1696396,1.3610189,1.524934,0.70126,0.9486866,0.5858363,1.016334,1.122285,1.0523665,1.3678174,0.76985836,0.49983585,0.7864126,1.0485353,0.6750276,0.45588124,1.0734056,1.2125945,1.4188182,1.4462619,1.2488444,0.66492766,0.6075188,1.2059985,1.00974,0.83924425,1.1671827,0.9453255,0.48182118,1.0165813,0.7530698,1.324628,1.0079525,0.9341859,1.2842603,1.2063696,1.1986915,1.4632571,0.6007064,1.4055569,1.0119674,0.5491782,0.8684932,0.7213613,1.0905683,1.3678356,1.4064255,0.45805115,0.72219694,0.40774643,1.1928339,0.7958009,0.7893623,0.82508904,1.1153986,1.1762455,0.6308308,0.9935242
arm,0.9604685,0.98786026,1.3527753,0.0,1.2779675,1.4364241,0.70462704,1.3999629,0.8347227,1.0110254,0.47310972,1.3761504,0.9318938,0.69213355,1.0679067,0.51627773,0.80696857,1.2276444,1.4163806,1.4965203,0.8552271,1.2826135,1.5158017,1.3656422,1.2977891,0.6600261,0.9817941,1.4344184,0.58702856,1.3401902,0.737973,0.5273163,1.4817977,0.97253925,1.4892819,1.0090916,0.7868798,0.61942047,0.8202163,0.40247107,1.0277215,1.0785766,0.7845806,0.75277376,1.0333647,1.2267365,1.0749907,0.91193044,1.1867921,1.2271703,0.92099917,0.81735384,1.1079406,1.190737,1.0637509,1.2612207,0.64692557,1.2600191,0.4485991,1.3533754,1.2427993,1.0251288,0.4899001,0.59941673,1.2530055,1.1578851,1.3676839,0.6723913,1.0180905,0.92343545,0.39432943,1.1339817,1.4009001,1.2522556,0.69341964,1.2268131,1.5142033,1.1192933,1.0647522,0.3433382,0.5652864,1.0563369,1.4558265,1.4521154,0.38832808,1.1311021,1.1136365,0.90493786,1.1743662,1.5697119,1.245338,1.187924,0.5803537,1.0024472,1.1557217,1.1198142,0.9223561,0.9923526,0.4959736,1.2108833,0.54801726,1.052776,1.3427311,1.0911204,0.9639384,0.74637413,0.43695188,0.81916267,1.5120358,1.0791581,1.3264195,0.45840573,1.2489405,1.5127858,1.2330245,1.1098919,1.0675427,1.2506031,1.0663602
ball,1.0801147,0.8817022,0.65186787,1.2779675,0.0,0.82505834,0.9861193,0.6305988,1.2534198,1.1385701,1.229905,1.0562103,1.194391,1.1646394,1.0343928,1.2307851,0.9403499,0.9276676,0.8651185,0.747202,1.1734252,0.72739816,0.784543,0.84906626,0.9622389,1.2354922,1.0169268,0.44398916,1.1759007,0.94373685,1.1776605,0.90365535,0.98885024,1.0259123,0.83464974,1.1086574,1.0500858,1.1891619,1.0117908,1.2019651,1.0614834,0.92036873,1.0845625,1.2006884,0.9523863,1.0322571,0.6832096,1.0103711,1.0437378,0.96321857,1.0046977,1.0746927,1.2317848,0.7820316,1.1174805,0.9013753,1.1714445,0.79894936,1.1566164,0.8676127,0.9540767,1.0334176,1.1303651,1.3027849,1.1993532,0.90995294,0.7213805,1.0874945,1.1056057,0.63680667,1.0490053,1.2302505,0.90305376,0.91347593,1.2773304,1.0211382,0.7152635,0.969486,1.0941284,1.1391332,1.2574208,1.0329813,0.96802926,0.98884714,1.0374401,0.8923199,1.1552447,1.046814,0.85499644,0.833493,0.9902046,0.6307926,1.130199,0.8829987,0.93353254,1.0729272,1.1524655,1.1790161,1.3039964,0.69432986,1.3033721,1.0096351,0.77080095,0.8146639,1.1410892,1.0389199,1.1564112,1.1337438,0.5949267,0.9722759,0.8725411,1.1809504,0.91341954,0.7793797,0.82329017,1.1171937,1.1738933,1.1068081,1.0258266
balloon,1.144325,0.90095025,0.57096183,1.4364241,0.82505834,0.0,1.2492082,0.77017856,1.0618948,1.157177,1.3639936,0.53248763,1.0348538,1.4088609,1.0906463,1.3387443,1.2007438,1.0666565,0.44423056,0.5019869,1.2240479,0.6814869,0.50225544,0.6524279,0.7138487,1.2687426,1.0516076,0.4395212,1.2277565,0.5581251,1.2085571,1.2752953,0.4462676,1.1276755,0.38058126,1.1652162,1.3132956,1.2010834,1.1982849,1.4031584,1.1030023,0.9649169,1.1989623,1.1763242,0.96994257,0.8270484,0.9762963,1.0780041,0.8196504,0.9635869,1.1572279,1.1940671,1.0336262,0.79910594,1.1291885,0.8564531,1.2181047,0.99013835,1.345053,0.7984212,1.0302469,1.1040463,1.2778866,1.3492373,0.72775334,0.9732341,0.6971116,1.091984,1.1082685,1.1538473,1.418719,0.86623263,0.49037224,0.6481529,1.1874617,0.85073584,0.47837675,0.9970806,1.065336,1.4003618,1.3193823,1.200699,0.5730183,0.5222676,1.331562,1.0476496,0.83592516,1.1693269,0.8694586,0.4042468,1.0397024,0.94271016,1.3007581,1.0502568,0.7015981,1.1470613,1.1657858,1.2075534,1.2971089,0.76225555,1.382649,1.0468277,0.69729155,0.87619597,0.94014627,1.2010685,1.3019651,1.3285495,0.4973135,0.95878196,0.6303074,1.2769184,0.6435306,0.78752506,0.9478759,1.050879,0.9388794,0.72636306,0.8927892
banana,0.6759253,1.0052537,1.2203617,0.70462704,0.9861193,1.2492082,0.0,1.1062235,1.1040763,0.98711276,0.7920948,1.2879448,0.98317903,0.74951756,0.9312938,0.7947207,0.9610066,1.0782758,1.2236577,1.3137859,1.08866,1.0226841,1.3759022,1.419541,1.136009,1.0087281,1.0612649,1.2358449,0.93472075,1.1504569,0.91792065,0.59545726,1.1574149,1.1414318,1.3014903,1.0026776,0.9512147,1.0914172,1.1491604,0.68522483,0.95022184,1.0652299,0.87996286,0.92669284,0.9318161,0.894195,0.94217044,0.9224489,1.1253253,0.81689405,0.8400887,0.9620193,0.9793332,1.063112,0.9527458,1.1188306,0.93044263,1.0937152,0.72036576,1.2138668,1.1389194,0.9312896,0.87077975,0.7542738,1.1079577,1.2180585,1.3348176,0.9598737,0.9970218,0.9111631,0.3170117,1.0579451,1.291341,1.2081363,0.8861538,1.1706989,1.1758615,1.2864641,0.95198625,0.7572045,0.7622328,1.0258248,1.1273252,1.1327168,0.550545,1.1512967,1.1155692,0.9609945,1.0966629,1.1365594,1.093416,0.9222684,0.8754169,1.0838087,1.3172598,0.9643458,0.9846841,0.8578439,0.8538049,1.0867254,0.6779387,1.051843,1.1634421,0.99471265,1.0770011,0.87203157,0.85412693,1.0363685,1.2039897,0.9834116,1.3073514,0.7814408,1.2152127,1.0895094,1.1105539,0.9909843,1.130204,1.1862717,1.1526006
basket,1.2734108,0.8529027,0.7307584,1.3999629,0.6305988,0.77017856,1.1062235,0.0,1.0069158,1.309742,1.3915367,0.7141323,0.8490263,1.3730319,1.248276,1.3785284,1.1638038,0.8635575,0.6322968,0.5522993,0.7384397,0.67074406,0.5309496,0.53040344,0.8612517,1.4479722,0.64210474,0.6792544,1.3541064,0.8031804,1.0395684,1.1163906,0.5813388,0.6650317,0.5583805,1.3208088,1.2704706,1.171666,0.93411714,1.4160528,1.2505251,0.9662139,1.3128716,1.3645476,0.84093714,1.0410172,0.9625746,1.064039,0.7201842,1.0564985,1.1476324,1.0389029,1.0661361,0.8145082,1.042387,0.7983823,1.382423,0.8764263,1.2944664,0.81512105,1.0496374,1.0698338,1.3858596,1.3003519,0.8566512,0.53276896,0.6672973,1.1359086,1.0657443,1.008306,1.3096464,0.90650284,0.7219953,0.61017835,1.147948,0.864828,0.6675749,0.60237706,1.1951548,1.3995552,1.2753831,1.1698589,0.63462067,0.61851496,1.1400951,1.0547173,0.7707765,1.0883123,0.8005162,0.6576729,1.0213553,0.76180255,1.1030272,0.981609,0.6727852,1.2368268,1.3280058,1.1519496,1.4436438,0.67906773,1.385183,0.98244274,0.606458,0.79935336,0.9477516,1.0741757,1.3851435,1.064354,0.627647,0.81643367,0.6144383,1.333391,0.61960155,0.597558,0.6819668,0.888458,0.94947284,0.70666367,0.83369434
bathtub,1.1841155,1.142125,1.1022327,0.8347227,1.2534198,1.0618948,1.1040763,1.0069158,0.0,1.0778295,0.80494314,0.74096996,0.54811704,1.1258209,1.2125527,0.7491068,0.9770249,1.1791639,1.0166538,0.88115007,0.6921791,1.1772519,0.86634827,0.6842021,0.915614,0.7110045,0.6551509,1.1420711,0.76915884,1.0442986,0.62317634,1.2197305,0.9248881,0.7194362,0.93582785,1.3006649,1.2894241,0.518095,0.6756707,0.8435799,1.1651216,1.2380762,1.0391399,1.1330874,1.0882405,1.1627532,1.234496,1.1517328,0.75920385,1.3063141,1.1218673,0.89190865,1.0453677,1.2242012,0.96011007,1.2339009,1.061176,1.3081108,1.1191648,1.1765394,1.2412757,0.8793464,0.92247105,0.7815883,0.896971,0.83886904,0.8892192,1.0417182,1.0806441,1.0901632,1.0607738,0.9487787,0.8851751,0.88970786,0.831513,1.1881695,1.1773508,0.7025735,1.153679,0.86724156,0.8176978,1.0477499,0.9779124,1.0090814,1.0122789,1.3468318,0.5372432,0.97872466,1.0120862,0.9720497,1.2452896,1.1922545,0.9740676,1.0098149,0.76999104,1.2989769,1.0020282,0.9121405,0.85164917,0.97305775,0.8869678,0.5953351,0.9219419,1.1738899,0.8209467,1.2031274,0.89130217,0.68337816,1.2132542,1.1724353,0.8019279,1.0087907,0.9094155,1.2298796,1.0576533,1.0473613,0.66149074,0.7640213,0.6184756
bear,0.67430454,1.3408141,1.2112557,1.0110254,1.1385701,1.157177,0.98711276,1.309742,1.0778295,0.0,0.8979979,1.2197335,1.0972801,0.99225473,0.6582488,0.86596954,0.8968739,0.9392894,1.1670431,1.2527086,1.1136334,1.1805656,1.2410643,1.2440015,1.0603039,0.8015116,1.2189885,1.1403722,0.9776693,1.1534998,1.0334728,1.0723099,1.2797154,1.0489099,1.2753924,0.60549587,0.9236615,1.0085038,1.0535843,0.8986177,0.6951741,1.1533978,0.80231696,0.9647566,1.1318601,0.96482956,0.9975212,1.1301839,1.2603165,0.91015565,0.87579584,0.93118757,1.1468608,1.3067828,0.92648107,1.1914089,0.98030174,1.0777261,1.044943,1.140457,0.5150999,0.8164838,0.9345549,0.9125793,1.2259177,1.1385908,1.1719517,0.9880305,0.77319324,1.0409365,0.91741,1.220944,1.2047223,1.2363186,1.1722208,1.1832514,1.1776003,1.1234763,0.87655175,0.9384433,0.9896597,0.8620722,1.2180042,1.2478081,1.0913899,0.7166169,1.2011045,1.0760314,0.99771595,1.1864359,0.60908055,1.1426673,1.0264263,0.98779124,1.17898,0.51500905,0.8899652,0.97290546,0.8941739,1.2634947,0.9066963,1.0217957,1.3389604,1.315087,1.1693132,0.9491971,0.9511943,0.92668056,1.1435609,1.3175561,1.1747636,1.0114,1.227792,1.1211845,1.0759319,0.95706797,0.9986602,1.3035015,1.166557
