,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coat,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,duck,ear,egg,elephant,eye,face,finger,fish,flower,foot,fork,frog,giraffe,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pastry,pen,pencil,pickle,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rock,rooster,sandwich,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window
corn,0.94430923,1.1787541,0.8357277,0.91898793,0.949927,1.0343246,0.838333,0.4655996,0.8310141,0.8217152,1.043251,0.9559616,1.2255926,0.8932454,0.98217785,1.0543971,0.9212171,0.92862743,1.193984,0.85283506,0.8302191,1.0159066,1.1644342,1.0872256,1.0535847,1.1519003,1.1149435,0.95248616,1.1511923,1.0728245,1.1560541,0.94332916,1.0812408,1.1850784,0.8732575,0.6212299,0.669117,0.0,1.0259595,0.4831686,1.1489949,1.0838459,1.1252071,1.0945562,0.73714316,1.0872264,1.2182115,1.1001801,1.0695409,1.1684034,0.89656126,1.1401716,1.0815914,1.0822272,1.165379,1.0615535,1.1966922,1.2064469,0.901534,0.9887998,0.9110876,0.9476467,1.0332289,1.039899,1.2575288,0.99854076,1.0313284,0.86352783,1.1362698,0.6259478,0.9890273,1.1498197,1.2525054,1.1059723,1.1476265,1.1149992,1.1657546,1.1662221,1.0598059,1.1094165,1.0982913,0.3817711,1.0194913,0.8582652,1.0536172,1.0513272,0.8192587,1.228826,0.76613224,1.140941,1.1561146,0.7830854,1.0678658,1.0587912,1.076357,1.1952655,0.9741848,0.9444255,1.0438694,1.0174698,0.7292157,1.0916626,0.8101672,1.0845569,0.7314167,1.1668413,0.97815007,1.0755138,1.0009848,1.1703743,1.0063652,1.0943854,1.1424494,0.7686446,1.1665992,0.8667939,1.1201234,1.0290343,1.1678503,1.2553825,0.9508515,0.85822314,0.85382617,1.2550715,1.0717235,1.056872,0.85629004,0.6818655,1.2422988,1.0869384,0.99079937,1.0033183,1.1417881,0.9461021,0.9328497,1.2331946,1.2053672,0.9406251,0.76690495,0.86161107,0.75712883,1.1545014,1.2706602,0.91524357
couch,0.80121386,1.1989063,1.3802001,1.1520509,0.87910116,1.2871256,1.072227,1.1330386,0.977332,0.84952354,1.0139207,0.34403932,0.91845536,0.14919215,0.79492736,1.0880337,0.49712527,0.9545598,1.2499865,1.0512741,0.67307115,1.273328,0.8760452,0.9631235,1.099408,0.9876883,0.8359462,1.17788,0.8718442,0.1616925,1.1309767,1.2320714,0.8375558,0.78409237,1.1277684,0.90122485,1.0930085,1.0259595,0.0,1.1891804,1.1957484,0.44761008,1.1935928,1.2065803,0.9602686,0.906038,0.9778828,0.8178112,0.8440383,1.0014958,1.1723652,1.2124281,1.3478664,0.9396924,0.8549074,1.0562809,1.2273946,1.1075406,1.1277224,0.99963915,1.1813109,1.2101681,1.0356643,0.9459242,1.1912718,0.90072995,1.0212277,1.2461116,1.0364261,1.11717,1.0457201,1.1948025,1.0572681,0.78199804,0.741681,1.208102,0.5786393,1.1808012,0.8325314,1.2037444,1.130297,1.0378141,1.0195862,0.8647941,0.90352577,1.170829,1.0469347,1.3945098,0.8700056,1.04767,1.1679734,1.2798269,0.683611,0.8707994,0.72263247,0.6073549,0.9700689,1.1993586,1.1180857,1.1648691,1.1538932,0.73734915,1.118129,1.0818346,1.1062249,1.1342014,1.1969112,0.7666987,0.9300087,1.3035154,0.6822715,0.8122157,1.1355231,1.017564,0.79267764,1.076953,0.8601668,1.0425104,0.9512359,1.2614595,0.9077617,0.83172286,0.60140646,1.1760539,0.9947592,1.1966399,0.98811644,1.1734201,1.309928,1.0388662,1.2926667,0.7212163,0.75805813,0.63422185,1.1437879,1.2824926,1.2325187,1.0127059,0.8067596,1.1057227,0.93030125,0.71690345,1.2875792,0.83244765
cracker,1.02141,0.8526863,0.9037813,0.9607478,1.0354077,1.1419293,1.1165143,0.5658407,0.70745987,1.0745851,1.154112,1.2215459,1.1939867,1.0310647,1.1212169,1.1174972,1.1785305,1.1194098,1.2193806,1.0466813,0.9136935,0.720114,1.0499492,1.1835394,1.010359,1.2705206,1.1476482,0.6425839,1.2098811,1.1580162,0.7768302,1.044309,1.3160858,1.2006761,0.97228837,0.6767621,0.55925775,0.4831686,1.1891804,0.0,1.0864216,1.2293694,1.1866169,0.81390464,0.8115641,1.1085069,0.94316643,1.183865,1.0900406,0.9403786,0.96641815,0.81825376,1.0116308,1.1161718,1.0579306,1.0830574,0.7942933,0.9869167,1.0083072,0.69293094,0.75854486,0.9037931,0.8544985,1.136229,1.1344857,0.8195476,1.1595175,0.7688848,1.0744145,0.7125981,0.83855706,1.1794571,0.9003551,1.1394184,1.258163,1.0788223,1.1889313,0.92622983,0.9700491,1.2205573,1.0979459,0.69920707,1.0300797,0.7577497,1.2581906,0.80552787,0.45316005,1.0121585,0.68209267,1.0285523,0.89053375,0.74517524,1.2756984,1.1665884,1.2187277,1.1096826,1.0518237,0.8026502,1.0632373,1.0695567,0.71146226,1.185918,0.7468053,1.2250557,1.0106406,1.0209386,0.9273409,1.1324567,1.0185802,1.029947,1.2383517,1.0080247,0.9521482,0.8585936,1.0382946,0.8997848,1.2147918,0.74096394,0.9704857,1.0057356,1.2210423,1.2067062,1.1548605,0.9967886,1.2003764,0.9633901,0.7847588,0.6942313,1.1902313,0.9773928,0.94705516,1.1299293,1.245097,1.1971872,1.0730518,0.83009017,0.9624755,0.93951726,0.8155191,0.9794424,1.0889275,1.2173988,0.8919,1.1528525
crayon,1.5545251,0.84109485,0.683335,1.0090318,1.5485184,0.71312326,0.89745545,1.2389356,0.8465421,1.2993071,1.0668504,1.4506897,0.24245769,1.1945047,1.6003036,1.0866114,1.5382723,0.73270583,0.23721528,0.6709845,1.1986476,0.8285758,0.67699593,0.89015156,1.1254404,0.33361858,0.9541065,0.57341385,1.2698885,1.1792308,0.6192071,0.7033534,1.4019372,1.4140801,0.91603774,1.247454,0.9632757,1.1489949,1.1957484,1.0864216,0.0,1.4463773,0.30760646,0.90303695,1.3292112,1.2573597,1.1075282,1.0216248,1.04369,1.032074,1.1132433,0.76327163,0.57966554,1.3448833,0.78154695,1.2767358,0.6701185,0.50567514,0.9843642,1.3143172,0.5644439,0.93252456,1.1288013,1.5438104,0.2663206,1.3428483,1.0203744,0.8414233,1.3061428,1.2686657,1.3985817,0.5877972,0.9215251,1.28734,1.4867159,0.58184904,1.4528999,0.6199802,0.9704061,0.46096903,0.34482348,1.306674,1.1613798,1.5487998,1.2386421,0.9098643,1.2919976,0.31200677,1.0234482,0.40499568,0.7510578,0.8207209,1.001749,1.3771667,1.5646195,1.3954614,1.2076784,0.5116531,0.20997399,0.15454984,0.69509643,0.36222446,1.1020763,0.71335185,0.85192406,1.0090446,0.795621,1.2044822,0.6100008,0.5771843,1.2052692,1.3838829,1.1445,1.4102478,1.4511652,0.98616046,1.4953175,1.1838937,0.8063386,0.53179985,1.3630551,1.3422792,1.3130366,0.3007052,1.1176007,0.22572654,1.2341224,0.7619501,0.19519222,1.1095638,0.50259817,1.405354,1.5128195,1.5016973,0.5178483,0.63607657,0.3049541,1.0576243,1.1074133,0.6531521,1.441489,1.2079908,0.4551257,1.1507568
crib,0.5755163,1.4426715,1.4560263,1.1842146,0.63901424,1.4399924,1.2438171,1.0954186,0.9037359,0.7465876,1.0029622,0.36016715,1.2634504,0.43956536,0.61237323,1.0223259,0.41167903,0.8048284,1.4032333,1.213974,0.49785936,1.361268,1.0267135,0.91230536,1.0701821,1.2050052,0.7484815,1.3932041,0.7636995,0.45289874,1.2983469,1.3118465,0.4320084,0.64433813,1.2514446,0.7861099,1.2093159,1.0838459,0.44761008,1.2293694,1.4463773,0.0,1.3237276,1.2837567,0.8735592,0.8680692,0.97786653,0.7331418,0.8569445,1.064132,1.0979435,1.2949901,1.5173196,0.8423502,1.0716727,0.9553675,1.4482518,1.2552212,0.9669182,1.0158545,1.3007966,1.2426609,1.0008532,0.67846143,1.3929186,1.0491475,1.0179164,1.2989501,0.9557782,0.9080478,0.95822984,1.3794898,1.076831,0.6904139,0.58865505,1.1915879,0.57272685,1.2760346,0.68227476,1.223632,1.3149557,1.0140508,0.9773933,0.83726716,0.7268226,1.2710439,0.9620829,1.5787431,0.93198824,1.2890286,1.3773655,1.3950295,0.6646357,0.64145297,0.56033516,0.6587813,0.8188542,1.4045358,1.3916612,1.3910893,1.3485394,1.2068907,1.0551373,1.1199937,1.1108699,1.0575113,1.2589862,0.72218513,1.0491081,1.4787073,0.5848588,0.68859327,1.0126901,0.75032187,0.64841366,0.95317936,0.6696628,1.0499259,1.0544145,1.3633163,0.6274268,0.651772,0.6281688,1.424948,0.77309203,1.4551793,1.0887295,1.3214142,1.4604535,0.9504784,1.4344025,0.5993693,0.6248827,0.31840253,1.3428235,1.5154771,1.4063249,0.92442584,0.79486287,1.1293904,0.63914716,0.6524729,1.5151496,0.7296213
cup,1.630418,0.94859326,0.67737263,0.9735505,1.5606116,0.5238357,0.7383747,1.1777148,0.7531836,1.2151963,1.1782408,1.4921799,0.51218957,1.2277563,1.578,1.1072946,1.5414914,0.799902,0.1503334,0.32722527,1.0003123,0.7465299,0.6964025,0.38543022,1.1838053,0.25327277,1.0904284,0.7443243,1.3437428,1.1162218,0.7641163,0.56728697,1.2832036,1.3992736,0.7780115,1.3062662,0.9528263,1.1252071,1.1935928,1.1866169,0.30760646,1.3237276,0.0,1.045486,1.019788,1.1186323,1.036068,0.8905807,0.9627063,1.0064645,1.0719807,0.8734453,0.49141264,1.3335924,0.97341245,1.2304065,0.9052641,0.90066236,1.0109353,1.3564126,0.73230195,1.0418068,1.2813699,1.1274419,0.52606106,1.2787807,1.1317023,0.81646657,1.286181,1.1560341,1.4275472,0.52891517,1.106647,1.3273292,1.4592528,0.3786239,1.5054924,0.74715424,0.8959194,0.39254975,0.47195566,1.3158393,0.9732248,1.5982637,1.1961151,1.0606484,1.261301,0.4661144,0.94602144,0.5950966,0.88342565,0.7346649,0.8929281,1.3845495,1.5035679,1.4277204,1.1505473,0.7071835,0.5438874,0.46979392,0.78649855,0.47598982,1.1399664,0.59204215,0.7654977,1.053298,0.8251194,1.0866684,0.5832927,0.67075306,0.96872663,1.2807386,1.243652,1.2945848,1.4754338,1.157541,1.456768,1.1589909,1.0092838,0.5563522,1.2342756,1.1496338,1.3828338,0.4612158,1.14338,0.33138812,1.1762049,0.7135367,0.25791144,1.0814936,0.60559326,1.3671634,1.4734831,1.4046397,0.34230745,0.80381227,0.62809217,1.1453905,0.9923281,0.5153866,1.2187644,1.1412785,0.67404866,1.124556
deer,1.1422819,0.7408834,1.0460172,1.0295556,1.0499591,1.0795805,1.1717293,1.0844487,0.9163006,1.2616992,1.0362282,1.3143873,0.9657679,1.1942784,1.1394382,1.0537225,1.2478617,1.1922747,0.9052862,1.1654683,1.2468979,0.9499329,0.8379634,1.1497766,1.0098441,0.9615776,1.1818329,0.852387,1.0528382,1.1465861,0.77756244,1.0026869,1.2637533,1.0048434,1.0736833,1.0113115,1.0258679,1.0945562,1.2065803,0.81390464,0.90303695,1.2837567,1.045486,0.0,1.1426618,1.0494888,0.949235,0.98153,0.9991632,0.72978157,1.064937,0.7285355,1.0113271,1.0760646,0.9664954,1.1198976,0.66399115,0.875327,1.0357311,0.89056414,0.7773708,0.94624853,0.8460923,1.2746811,0.9391134,0.890219,1.0348403,1.0994409,1.0198627,1.1373752,0.8871234,1.009422,0.81333995,0.9751198,1.1398503,0.7894315,1.0710263,0.869751,0.90550214,0.948291,0.84091914,1.0548617,0.97337663,0.9757831,1.1568131,0.9254543,0.91546947,0.8528113,0.85945845,0.837752,0.8808371,1.0709924,1.1015383,1.1173201,1.1794877,0.9725063,1.0328765,0.8781549,0.84398663,0.8737571,0.9501066,0.9444152,1.1255196,0.96369034,1.2659398,0.8992865,0.8454863,0.9660611,0.9966467,0.9368941,1.1559148,1.1338619,0.9708242,1.0586112,1.0249658,0.9623923,1.1450088,0.8668673,0.9515527,0.83223957,1.166819,1.2919998,1.1956431,0.83240575,1.1100484,0.86823463,0.8574063,0.9609965,0.8797823,0.9117175,0.8986997,1.1718318,1.133383,1.3085611,1.1719195,0.62716913,0.8971386,1.0956206,0.97199446,1.171855,1.288188,1.032285,0.75483966,1.1397085
dish,0.92442995,1.3294716,0.97527546,1.0033761,0.9522103,0.99655926,0.7174203,0.6960742,0.99494064,0.75791657,1.1976082,0.8888162,1.3805878,0.8752533,0.86336184,0.92538905,0.89075893,1.0147345,1.2825258,0.5986705,0.7067125,0.8627403,1.3204368,0.73977065,0.8480966,1.2648983,1.2614335,0.7635982,1.264576,0.9873822,1.2912095,0.9427683,0.8392793,1.055458,0.81549513,0.86668116,0.7911556,0.73714316,0.9602686,0.8115641,1.3292112,0.8735592,1.019788,1.1426618,0.0,1.0157003,1.0001482,1.1228274,1.0347297,1.225523,0.87665427,1.2017869,1.0366186,0.9178603,1.1295338,0.9833031,1.2960694,1.1846749,0.88465416,1.0178782,1.2054452,0.9155907,1.0678191,0.6807809,1.4446938,0.98905647,1.2089175,0.74833286,1.0856068,0.7051236,0.9354035,1.1844891,1.1965165,1.0094364,1.0154475,1.184808,1.0819157,1.2129841,1.0227048,1.1569048,1.3167971,0.6611691,0.887544,0.8457472,1.0144529,1.0925479,0.9028971,1.336631,0.9270651,1.3040577,1.2647566,0.7897816,1.08211,1.0782892,0.97337174,1.1266595,0.87463254,1.1567727,1.2982295,1.2941897,0.9674871,1.3214103,0.7327162,1.1875023,0.5545928,0.95418,0.98355544,0.9395755,1.2120519,1.2026103,0.9898141,0.91453975,0.88124764,0.68607724,1.0381942,0.8877241,1.0063608,1.0547265,1.3680378,1.2614202,0.8387642,0.4963817,0.7702017,1.4237771,1.0903821,1.3022058,0.9962183,0.91393775,1.3804362,0.9603163,1.1107057,0.86262864,0.9980166,0.78204787,0.8453813,1.3132813,1.3262706,0.89273685,0.837902,0.8352962,0.3999524,0.9286604,1.4478108,1.0820673
dog,0.88674104,1.1366893,1.0985322,1.0122488,0.98287493,0.94557184,1.1461129,1.1048853,1.0629572,1.001298,0.8582604,0.9906579,1.1942868,1.0303575,0.98545015,0.7201144,0.9997244,1.161405,1.0882307,1.0624279,1.0687343,0.99215364,1.120419,0.9885856,0.99588025,1.1092476,1.0712578,1.213727,0.7472762,1.0040871,1.0466982,0.95540786,0.95240074,0.96714365,1.0492177,1.1387517,1.1125392,1.0872264,0.906038,1.1085069,1.2573597,0.8680692,1.1186323,1.0494888,1.0157003,0.0,0.76247287,0.9712031,0.9389835,0.91876465,0.81762505,1.1742792,0.9881738,0.6554601,1.1537253,0.8963549,1.2679958,1.1029574,1.0116893,0.95871896,1.0698706,0.86474776,0.9796754,0.8989218,1.1914401,0.8745394,0.8836309,1.2052405,0.91565704,1.1029909,1.086716,1.0059105,0.93220836,1.0616763,0.97960836,0.9879164,1.0376334,1.1602786,0.96350414,0.985858,1.1461102,1.0266422,0.9179665,0.9911978,0.9373249,1.1600034,0.9672872,1.2072096,0.9991157,1.1487815,1.1480075,1.0909139,1.0471915,0.8467171,0.93242586,1.0072376,0.9876563,1.1814351,1.2081674,1.2019224,1.1389351,1.0667847,1.1043006,0.90196645,1.1360323,0.59780586,1.0586791,0.95296013,1.0532211,1.1888996,0.8105785,0.39545178,0.8284216,1.0588113,0.9001694,1.1388941,0.9416802,1.0089214,1.1126965,1.0879722,0.9569927,1.067102,1.0537645,1.1343939,0.97667557,1.1647782,1.0539527,1.0951273,1.0994532,0.9570495,1.1735356,0.9591316,0.9449105,0.9422456,1.0651461,1.1978407,1.2292011,1.1184796,1.0365751,1.0212206,1.0175095,1.0139915,1.1983131,1.0213643
doll,0.84016275,0.91107774,0.99149317,0.8464069,0.943666,0.818855,1.1898563,0.91320425,0.97507066,1.3355738,1.1306391,1.0693319,1.1126044,1.0524092,0.88199186,0.91403824,1.0334696,0.91928023,0.99645984,1.1098795,0.94036144,0.8567273,1.0054688,0.97963244,1.0326569,1.171641,0.9951206,0.81994516,1.0769594,0.9654248,0.71863437,1.1274673,1.1483643,0.91764224,1.1377895,1.2613896,0.95288324,1.2182115,0.9778828,0.94316643,1.1075282,0.97786653,1.036068,0.949235,1.0001482,0.76247287,0.0,1.1599877,1.0881332,0.8489369,0.8633784,0.9314243,0.87206423,0.9232045,1.1111416,0.9611964,0.8941211,0.98258835,0.9577772,0.8231837,1.060916,0.7494737,1.0121938,1.0075005,1.1773409,0.6029388,1.1315311,0.7890406,0.9588845,1.0969311,0.86821455,0.885605,0.9307664,1.1179287,0.98710614,0.9906475,0.9785939,0.9741085,1.0728438,1.1512252,1.1772716,1.1415305,0.9977266,0.7543917,1.1489004,1.0994374,0.9809068,1.0030652,1.0272685,1.174246,0.96050274,0.89377844,1.2241555,0.9564356,0.92394984,0.9800237,0.97972846,1.000171,1.2089294,1.2315191,0.94674337,1.0809134,0.9378637,1.0060853,1.222535,0.79841447,0.8678116,0.9451424,1.0883061,1.02486,1.176961,0.7725744,0.85759175,1.093153,0.85229355,1.0400898,1.0007643,0.8157748,0.99476224,0.8869281,1.0635273,1.1973691,1.0485774,0.9165687,1.2268124,1.0404683,0.96507245,1.0401376,1.0808072,1.0809922,1.1051548,0.72413814,0.9651934,1.076027,1.0411959,0.8825687,1.1794604,0.86049753,1.0201209,0.71242845,1.048523,1.1356254,0.97289765,1.2589625
door,1.2611089,1.1451471,1.247469,1.0596585,1.0927484,1.1989224,1.1488863,1.2960069,0.85687184,0.8701091,1.1518607,1.0428277,0.95335877,0.8837965,1.1630147,1.0909649,1.0693741,0.99340725,0.82719517,1.0133364,0.7915038,1.2786784,0.67986846,0.7332901,1.1524053,0.5519565,1.032479,1.1761646,0.9075799,0.7229637,1.0718694,0.8493247,0.7069576,0.98077,1.0456814,0.9520277,1.1744094,1.1001801,0.8178112,1.183865,1.0216248,0.7331418,0.8905807,0.98153,1.1228274,0.9712031,1.1599877,0.0,0.53107417,0.93490213,1.0543722,1.1007814,1.1806589,1.1268272,0.9869454,1.0874217,1.1921728,1.2550178,1.0144469,1.1374904,0.9522046,1.1961851,1.0785961,1.016426,1.0755541,1.2603836,1.1119077,1.2539151,1.0591812,1.1561102,1.1903594,0.94778776,1.021193,0.87256414,1.0199465,0.7383486,0.99756557,1.0004671,0.44916874,0.6996358,0.8532868,1.2280822,0.8360909,1.308223,0.92318463,1.17763,1.0771325,1.1982087,0.79730034,0.87692815,1.0782855,1.2124126,0.43416864,1.1378696,1.0555423,0.91108614,0.8167608,1.0970926,0.8961452,0.94733024,1.2211499,0.84092766,1.1666896,0.7795919,1.1277534,1.0855991,1.1771339,0.88474834,0.55702454,1.175814,0.32659173,1.1096709,1.0812072,1.0399252,0.9949807,1.0251744,1.0506841,1.1325903,1.0667999,1.0128142,0.8813019,0.9757111,1.2235135,1.0705659,0.9690705,0.94012535,1.0802526,1.1306369,0.8989515,0.895203,0.9729485,1.1004415,1.0279623,0.9145029,1.0728226,1.2132777,1.084811,1.073244,0.8394977,1.1213775,1.0773462,0.6546464,1.1824214,0.635632
drawer,1.2000151,1.0472053,1.1717671,0.9769754,1.1113759,1.0815817,1.0441254,1.1562645,0.9702981,0.84147274,1.0948213,1.0833853,0.9698513,0.9157097,1.1591814,0.9157091,1.1066908,0.93008226,1.0077432,0.9220032,0.66439915,1.0697906,1.0047969,0.7516358,0.9690877,0.77121526,0.99924535,1.1035807,1.1149883,0.8518936,1.0809437,0.78835005,0.7967003,1.1834983,0.9864561,0.94737655,1.1931466,1.0695409,0.8440383,1.0900406,1.04369,0.8569445,0.9627063,0.9991632,1.0347297,0.9389835,1.0881332,0.53107417,0.0,0.9864496,1.0391194,1.1840495,1.0897512,1.0696015,1.0811437,1.0949526,1.1138947,1.0810004,1.007778,1.0501614,0.7387086,0.97679543,1.1441972,1.0099747,1.0898008,1.0134678,1.0728642,1.0882998,1.1216356,1.0730288,1.1048014,0.916927,1.0427754,0.92644274,1.1592242,0.9770939,1.145223,0.8246601,0.68459237,0.7473605,1.0276024,1.129409,0.8717466,1.227225,1.0156301,1.0401788,1.1572151,1.1519673,0.86329657,0.91155714,1.0371186,1.1335629,0.5134531,1.0765427,1.1588937,1.1421155,0.80637515,1.1340646,0.7790916,0.8588433,1.1462272,0.88613117,1.1428732,0.8918285,0.9896092,0.94640464,1.1282641,0.89123356,0.5396673,1.0837038,0.6406075,1.0948983,0.97657967,0.9958212,1.1218848,0.8096154,1.1860807,0.9502804,1.1110129,0.92606956,1.0569717,0.8511991,1.1724699,1.036888,1.0968676,1.0842446,0.90705085,1.1086074,0.9764554,0.8349962,1.0873605,1.0885465,1.1537718,0.95204735,0.90761954,1.136945,1.1165845,1.1132945,0.8933231,0.97500056,0.96107435,0.8156835,1.0519907,0.8032391
dress,1.0751578,0.8006788,1.1464418,0.931432,1.058936,1.0332093,1.1954765,1.1849177,0.8462954,1.0886165,0.8894154,1.1678383,0.9830118,1.0106822,1.071934,0.8674607,1.0568954,1.152944,0.88482654,1.0768172,1.1287675,1.0208069,0.7419747,0.93318325,0.9946639,0.9685026,1.1505439,0.9832036,1.0006337,0.9639396,0.7549168,1.0040026,1.2976155,0.98864096,1.1188883,1.0168893,1.096937,1.1684034,1.0014958,0.9403786,1.032074,1.064132,1.0064645,0.72978157,1.225523,0.91876465,0.8489369,0.93490213,0.9864496,0.0,0.93936676,0.9303024,1.0249779,0.9919201,1.1214148,1.2263862,0.8799556,0.8713001,1.0161159,0.85887116,0.80916446,0.9757096,0.94930035,1.0937885,1.133749,0.7409501,0.8617523,1.0003514,1.1246921,1.1977887,1.0706135,0.92453915,0.7642281,1.1705172,1.0420691,0.77805555,0.93362266,0.8423896,0.8686599,1.066882,1.001693,1.2023792,0.87079525,0.98582387,1.1620771,1.1339229,0.87522084,1.0248175,0.69014347,0.9847389,1.0707505,1.107011,1.0357499,0.9276646,1.0260319,0.83478296,1.0398296,0.99429905,1.0029656,1.0462745,1.0282285,0.87680143,1.0553846,0.8913369,1.251988,0.9208383,1.0978736,0.92885214,0.94238317,1.0573477,1.0268742,0.94902205,1.0182586,1.1195055,0.8375489,1.2739406,1.0859752,0.8632869,0.7624177,0.7814155,1.1627631,1.2711977,1.2159859,0.9208986,0.9613514,0.91199255,0.79180247,1.0570502,0.9280081,1.0641866,1.1127217,1.1381583,1.0601926,1.2284504,1.1200972,0.8903921,1.0440117,1.1511475,0.7721806,1.1657151,1.2924123,1.1200259,0.9094777,1.0873033
duck,0.91946554,1.1676389,0.87485754,0.8954054,1.0521349,0.84634894,1.0731305,0.8998349,1.0810443,1.0044066,0.98867255,1.1544245,1.2216334,1.1571429,1.0630811,0.3875481,1.1455812,1.0002499,1.0437526,1.029029,1.0330007,0.9926905,1.2107344,1.0763307,0.9116422,1.1611111,1.1383483,1.0290544,1.0866983,1.279209,1.0440843,0.94060755,1.0397903,1.0884244,0.9502877,1.1117458,1.0005726,0.89656126,1.1723652,0.96641815,1.1132433,1.0979435,1.0719807,1.064937,0.87665427,0.81762505,0.8633784,1.0543722,1.0391194,0.93936676,0.0,1.0644381,0.84699696,0.8688514,1.135663,0.9350177,1.1503333,0.95850664,0.89666474,0.9613277,1.0816591,0.6740763,0.8324262,1.0807091,1.1535828,1.0495344,0.9565427,0.89890486,1.0104879,1.0282125,1.0983166,1.0368121,1.1122421,1.1524827,1.0613723,1.0044944,1.1955187,1.1585096,1.0240119,0.9888598,1.1282879,0.9175519,0.8791789,1.0137514,0.9126948,1.1067764,1.0241795,1.0837135,1.105644,1.2088349,1.1099296,0.8501947,1.2438477,1.0771114,1.0520902,1.2408096,0.9318061,1.0182172,1.0958626,1.072384,1.036985,1.1607198,0.9244259,0.96785295,0.989633,0.8160064,1.0375978,1.0836884,1.0373845,1.0518081,1.0340154,0.9195723,0.80552715,1.006848,1.1144289,1.0136632,1.0363306,1.0284759,1.2441704,1.1197233,0.93906987,1.0153635,1.1407939,1.1652223,1.0626866,1.0277717,1.0779263,0.9935362,1.1072816,1.0237083,1.0152155,1.008218,1.0557718,1.0509591,0.96867204,1.1233084,1.1428922,1.0496058,1.1025562,0.83854,0.92692184,1.1684369,1.2323714,1.077826
ear,1.1604377,0.55336654,0.8473388,0.9481258,1.1376351,0.9253439,1.0861056,1.046753,0.9926404,1.2495459,1.1141926,1.2744327,0.94219995,1.2162644,1.1229922,1.2030014,1.2500062,1.0705869,0.777734,1.1512998,1.1776702,0.89661545,0.91076803,1.1259534,1.1210909,0.9415508,1.1285452,0.7855422,1.159082,1.210582,0.66991836,1.1403823,1.21547,1.0940702,1.0405374,1.2067411,0.99816334,1.1401716,1.2124281,0.81825376,0.76327163,1.2949901,0.8734453,0.7285355,1.2017869,1.1742792,0.9314243,1.1007814,1.1840495,0.9303024,1.0644381,0.0,0.79041636,1.1076351,0.9192967,0.8513371,0.4149419,0.9244552,1.1581991,0.90493435,1.000426,1.1405389,0.85031986,1.2078906,0.60491,0.9902116,1.1142145,0.80604565,0.75705266,1.1838579,0.9057423,0.93714565,0.912808,1.1844397,1.0849277,0.8319229,1.0826371,0.9025614,1.1203274,1.0503709,0.72814405,1.1810895,1.1658645,1.006584,1.0914552,0.6410732,0.95674455,0.45983136,1.0769397,1.0187067,0.51843107,0.90756536,1.1845187,1.190975,1.1480699,0.9705979,1.1650423,0.8188826,0.998279,0.9732359,0.96441936,1.024571,1.0183638,1.1287011,1.233495,1.0128136,0.9522163,1.1683728,1.0857756,0.5726962,1.2087263,1.1203347,1.016778,1.1882074,1.0311543,1.2404929,1.0516675,0.9503459,0.88078135,0.8161517,1.2338628,1.3105723,1.2024442,0.75058955,1.239386,0.730988,0.9983578,1.0306497,0.78342074,1.0346615,0.7475493,1.1345112,1.0828671,1.3211536,1.0731189,0.351444,0.6733115,0.9159013,1.1530758,1.0816174,1.3029783,1.1750376,0.49949783,1.1073108
