,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,comb,cookie,couch,cracker,crayon,crib,cup,deer,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rock,rooster,sandwich,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,swing,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,tricycle,truck,vacuum,watch,window
alligator,0.0,1.3918598,1.1663167,0.8455439,0.76162076,1.1849494,1.158243,0.85409755,1.2278612,0.78237534,0.7131106,1.3938107,1.1003176,0.74852437,0.4222343,0.6999525,0.7563081,0.67533875,1.384485,1.4242594,0.85761744,1.0846555,1.3583117,1.4140232,0.7704525,1.5170362,1.2725322,1.281456,0.5057846,1.2328751,1.2982116,0.9418164,1.1900098,1.0731212,0.96978605,0.6126151,1.4031996,0.8741101,1.4901109,0.6672673,0.5904538,0.7015679,1.2021329,1.2231,0.9001974,1.3663414,1.228852,1.0744469,1.2706649,0.91757125,1.3615797,1.044728,1.0474802,1.1407108,1.0018406,0.34412926,0.81550074,1.4655018,1.0004385,0.9844712,0.86473376,1.0325788,0.94879526,0.8374782,1.3142728,0.69737834,0.94211364,0.6057049,1.189687,0.8593223,0.79824877,1.1458513,1.4581132,1.1736953,0.5885211,0.6075798,1.0437846,0.6072973,0.9629749,1.1283505,0.58410513,1.466388,1.409916,1.3544719,1.3312201,1.218826,1.0897803,0.4386059,0.7652265,0.94905305,0.74310493,1.2734723,1.1965034,1.0821894,0.68560237,1.0640574,1.3379496,0.32923067,0.9719832,1.2222545,0.6564716,1.2504052,0.9216105,1.253834,1.3810104,0.9835459,0.92482316,0.40006793,0.64935327,0.6601624,0.8944317,0.79471976,0.8675991,1.0514799,1.17187,0.9657764,1.2107301,0.7632456,1.3860592,0.9713531,1.3790009,1.2721277,0.6989915,0.94082415,1.0524904,0.8862527,1.028818,0.69401526,0.9437385,0.7066932,1.3149021,1.4473077,1.3312974,1.1494375,1.3810495,1.1585457,0.6533501,0.9788882,1.0280608,1.160688,1.4259353,1.4502708,1.218493
ankle,1.3918598,0.0,0.7196716,1.3078572,1.1212282,0.97869015,1.0170355,0.9790159,0.93716556,1.4353666,1.4326375,0.7364666,1.1521205,1.1284674,1.2691268,1.3608779,1.4634775,1.224546,0.7826254,0.95650584,1.4141876,0.39787483,0.78635,0.94436264,1.0724406,0.7630656,0.9291284,0.48405576,1.1212628,0.9777926,0.9771298,1.2170072,0.93221045,1.0326576,1.2505711,0.9433525,0.6293753,1.351781,0.7482222,1.1986599,1.0984102,1.137598,1.1187911,0.9116418,1.0989343,0.333556,0.8249281,1.0060251,0.61631507,1.1458172,0.25801146,0.68603194,1.0441346,0.47247124,0.87197065,1.1992029,1.2441375,0.35474777,0.9536684,1.2322426,0.80747616,0.8216896,0.7644434,0.9239014,0.70126826,1.1721729,1.1697272,1.347322,0.67560005,1.1435636,1.1578933,0.9990093,0.68808156,0.5680528,1.2562196,1.1240021,1.3058919,1.1558919,1.362222,0.6843373,1.074496,0.39608598,0.72258526,0.58586365,0.36362362,0.76466084,1.1824106,1.2778211,1.1831999,1.0820096,1.3442867,0.7132123,0.7440514,0.8137317,1.074344,0.7767883,0.75654536,1.3526461,1.052476,1.0951871,1.1663561,0.66351706,1.1106164,0.8991105,0.49763042,1.2935183,1.1565918,1.1620669,1.2323736,1.2312826,1.3842266,1.2398304,1.0159354,0.8702155,0.8268938,1.2649212,1.1520972,1.393954,0.4872532,1.1601764,0.68967575,0.9313423,1.3836566,1.0862188,1.1922112,0.9093977,1.14764,1.3026326,1.1502059,1.4701362,0.9586363,0.19566822,0.42284918,0.8372296,0.76843,0.99943584,1.4798225,1.2177703,1.2279952,1.1180947,0.89549094,0.37323362,0.98222166
apple,1.1663167,0.7196716,0.0,1.0884396,1.2049677,0.40340924,0.6459547,0.57071185,0.8994197,1.2163527,1.3506399,1.0274435,1.188141,1.1695776,1.0919315,1.3694048,1.233642,0.9948109,0.74385095,0.8335538,1.217526,0.6586058,1.0076433,0.97794,0.9231591,0.965325,0.9112937,0.8258181,1.1570363,1.1878827,0.8758039,1.2383798,1.0959556,0.9659961,1.3533467,0.91768146,0.69123113,1.3341194,0.75118,1.0771029,1.0847051,1.0802412,1.2603025,1.0113217,1.1449447,0.67769367,0.60669667,1.1120423,0.7127007,1.0598474,0.58761936,0.6582267,0.9501724,0.88190067,0.9878971,0.8846241,1.0679541,0.75772774,1.0159956,1.2508308,0.53680944,1.0797995,0.7707037,0.95276326,0.87425464,1.035947,1.1392869,1.2184839,0.983191,1.2847242,1.0906763,1.1501092,0.86437047,0.99240845,1.0935147,0.76286405,1.1819654,0.95182276,1.255012,0.8194096,0.8024891,0.5766374,0.9844909,0.88310266,0.7930224,0.32779694,1.2388439,1.123045,1.2491485,1.2608685,1.2400589,0.8086091,0.8041167,0.8306512,0.87620234,0.87837726,1.0062855,1.1137685,1.0385606,0.80360186,0.9914171,0.52259845,1.1388892,0.9373767,0.8474706,1.3506079,1.1845672,0.964234,1.108375,1.0812566,1.1976805,1.2365582,1.0495639,1.1513064,1.0210828,1.3294965,1.0830142,1.2943102,0.82496536,1.2546188,0.7101283,0.9110135,1.1342076,1.0731398,1.1794943,0.7035273,1.2272078,1.2868705,1.173856,1.3508925,0.83111155,0.6328276,0.7754185,0.8763169,1.0405324,0.5879676,1.150802,1.0846435,1.1985711,1.0865148,1.1059427,0.72828263,1.1800028
applesauce,0.8455439,1.3078572,1.0884396,0.0,0.86947715,1.0020105,0.9283318,1.102194,1.1916683,0.15470219,0.7332541,1.2535553,1.124674,0.8622039,0.88269114,0.83170485,0.2218672,0.9093792,1.2384862,0.9190067,0.42986858,1.184355,1.3201458,1.1819094,0.99183136,1.3192935,1.165294,1.2394835,1.0327882,1.2878448,1.127157,0.9538638,1.2061955,1.028105,1.0470363,1.1804142,1.2099643,0.97951245,1.2236031,1.0779763,1.0748587,0.9269782,1.2207026,1.1485255,1.0476484,1.2344368,1.0612161,0.96094394,1.1810129,0.95181257,1.222862,1.1194075,1.1207061,1.1786853,1.0646372,0.965098,0.8949152,1.2491621,1.1802778,0.9418104,1.1126536,1.0688912,1.2186419,0.89643073,1.1582862,1.0508327,0.8496266,0.7009879,1.246347,0.9458333,0.7460803,1.1268246,1.3148708,1.217574,0.8743907,0.88250977,0.871059,0.9645489,0.85979116,1.0443029,0.92885435,1.2249817,1.364455,1.1744608,1.1513705,1.1509695,0.99509925,0.81159234,0.9151473,1.1207789,0.8215796,1.2189252,1.202548,1.2311504,1.079627,1.195422,1.3300579,0.91166294,1.1857044,0.7507063,1.0514559,1.2543523,1.0969039,1.250162,1.3036671,1.0190878,0.8616985,1.0366479,0.8310109,0.852406,0.7741112,0.8885092,1.1376231,1.1530834,0.9194735,0.9092251,0.74441516,0.6727164,1.2154953,0.9435435,1.2992976,1.0314827,0.3607484,0.6314328,1.0000601,1.0825701,1.1808966,0.78080225,0.8747719,0.5845016,1.0504537,1.2711303,1.2766576,0.96005297,1.3539898,1.0557295,0.2521261,1.0062969,0.9681664,1.0676904,1.3077164,1.2843121,1.1846405
arm,0.76162076,1.1212282,1.2049677,0.86947715,0.0,1.2867587,1.1488671,1.1111362,1.4503112,0.7667975,0.42663294,1.1842772,1.0408818,0.3315407,0.9592637,0.43503124,0.786156,1.0951396,1.456428,1.4833161,0.96169746,0.9896057,1.4216386,1.3821957,1.1266142,1.4343694,1.3710964,1.2449741,0.9044905,1.1212277,1.4648718,0.56106484,1.1862602,1.1975536,0.76570654,0.9044281,1.4857019,0.96207845,1.5269481,1.014668,1.0679499,0.95956683,0.9280195,1.2666532,0.50007045,1.2092642,1.3486624,0.67362416,1.3048602,0.8425931,0.9413209,1.3265364,1.3801401,0.67874044,0.92237747,1.2132415,0.8940323,1.3260732,0.73679125,0.91049707,1.2429394,0.8530433,1.1076978,0.28017247,1.283298,1.0705154,0.7407804,0.64892757,1.2306905,0.39560348,0.8415593,1.2016953,1.5123742,0.81719476,0.861977,0.71063805,0.94321334,0.60879916,0.8984824,0.9771858,0.91687584,1.2654879,1.3583922,1.1666528,1.0395795,1.4099101,0.9689666,0.8411889,0.31067795,0.57618934,0.7415095,1.4532354,1.3854636,1.3683734,0.7989737,0.8981886,1.2414935,0.8453946,1.2264761,1.4210746,1.1258532,1.3933761,0.7394641,1.3612847,1.3175935,0.6482471,0.95214087,1.0471743,0.73597014,0.8104943,0.9752764,0.35587782,0.81653154,0.65846837,1.1250247,0.6757407,1.1925124,0.68401754,1.1724935,0.84132725,1.4820852,1.0701588,0.92975914,0.92151374,1.004607,1.1528519,1.1798255,0.3478437,0.8403784,0.64624953,1.4618833,1.0980437,1.1560766,0.9319936,1.3155065,1.59897,0.84090406,1.023681,1.0807546,1.2127256,1.2595874,1.3598453,1.0838397
ball,1.1849494,0.97869015,0.40340924,1.0020105,1.2867587,0.0,0.21237564,0.84840775,0.9481324,1.0764036,1.194287,1.1157851,1.0850525,1.1496252,1.0253327,1.2295084,1.0743157,0.9669105,0.77585125,0.7404597,1.0706933,1.0135347,1.0656488,0.90420824,0.85347795,0.95297575,0.8696275,1.0923709,1.1467391,1.1796507,0.7358438,1.1587452,1.0643812,0.6870515,1.2258468,1.106178,0.85797936,1.1687834,0.7221129,1.092062,1.09312,1.097787,1.1710447,0.9755281,1.1206123,0.9592585,0.55652153,1.0688297,0.89849985,1.0272431,0.9859291,0.8685167,0.8246579,1.1881021,1.1547459,0.95742315,1.0410591,0.94055057,1.0571909,1.0678195,0.7349748,1.104941,0.9359964,1.1636791,0.759792,1.076175,1.0387961,1.0718886,1.0312749,1.2712817,1.1454031,1.1462251,0.868621,1.190841,1.031733,0.8524699,0.9782526,0.9967255,0.9941458,1.0443345,0.8953246,0.71322536,1.0106515,1.0312426,1.0207598,0.53911155,1.145484,1.0928911,1.2529827,1.2518194,1.1201551,0.89803785,0.96333456,0.93702805,0.9685201,1.0238284,1.0038153,1.0597762,0.97065836,0.7041713,1.044299,0.76884776,1.1658218,1.039466,1.0122063,1.2283,1.0556155,1.0283536,1.053493,1.0879548,0.98104596,1.234698,1.0938911,1.2070558,1.1026073,1.2256353,1.0439202,1.116904,1.0526832,1.0987526,0.8424885,0.7271033,1.111895,1.0474373,0.93101275,0.9604009,1.093153,1.2417552,0.99517906,1.1866096,0.6953912,0.98334193,1.0043347,0.9966378,1.0409244,0.56398916,1.0496932,0.93800384,0.9671892,1.0162119,1.1210432,0.9603669,1.0761678
balloon,1.158243,1.0170355,0.6459547,0.9283318,1.1488671,0.21237564,0.0,0.99566156,1.0890205,0.99466425,1.0836197,1.001015,0.94235194,0.9809705,1.0477161,1.0228665,1.0109411,0.9949679,0.97980976,0.8180305,1.0257667,1.0805843,1.0965552,0.88294375,0.90671223,0.9732763,1.017575,1.1238848,1.134147,1.0623935,0.8215021,1.0803549,1.0316759,0.7861639,1.0743024,1.237391,1.0006993,1.1241629,0.87112737,1.1453736,1.1367348,1.1018972,1.1000897,1.0206872,1.0771102,1.0478284,0.6002021,1.0571897,0.9709047,1.0488911,1.0189297,1.0119274,0.96206474,1.1538126,1.0094455,1.0301591,0.9859145,1.029157,0.9279547,1.0503342,0.8508117,1.0983932,1.1472738,1.0452186,0.7821884,1.1327561,0.9364987,0.99718016,1.0930156,1.0638179,1.0265751,1.1391861,0.9908995,1.1164143,1.0187329,0.87948877,0.92456436,0.9307019,0.96083564,1.0150476,0.97753805,0.9059282,0.99948955,0.999036,1.030504,0.62729144,1.0788939,1.1110731,1.0644884,1.1273452,1.0256954,0.99063843,1.0205421,0.9532604,0.9577683,1.0617986,0.9865931,1.1059606,1.063527,0.7332916,1.0953391,0.80863714,1.0347683,1.1214445,0.97926533,1.1072683,1.0588303,1.0551678,1.0450206,1.0329328,0.90659755,1.1023723,1.0655594,1.0469408,0.95583844,1.1879795,0.9748633,0.9519829,1.1055404,0.98505896,0.98897624,0.61852187,1.0788188,0.9310446,0.9224174,0.9720199,1.1477492,1.1204997,0.9961323,1.0623226,0.7916347,1.0694749,1.1151967,0.98802125,1.0004268,0.76472914,0.9843176,1.0139456,1.0127891,1.0580277,1.09296,1.0664651,1.0088093
banana,0.85409755,0.9790159,0.57071185,1.102194,1.1111362,0.84840775,0.99566156,0.0,0.84095347,1.1497176,1.2779007,1.0053294,1.0566891,1.1316756,0.94155526,1.2582921,1.193991,0.9558473,1.0026888,1.0002836,1.0850378,0.7546547,1.0559621,1.0091864,0.8610493,1.0407873,1.1349381,0.9302076,1.0462991,1.0388321,0.9097446,1.1737318,0.9719252,0.8068006,1.1928004,0.6609244,0.8311101,1.1311094,0.98116696,1.0611327,1.0178739,1.0694406,1.1380335,0.9175129,1.1796575,0.8965176,0.8991318,1.1890415,0.8668665,1.0685737,0.872282,0.67833686,0.9025054,0.95190406,0.8307938,0.7268212,1.0589631,0.99883777,1.055411,1.2168505,0.74331194,1.1001145,0.8242575,0.976115,1.071079,1.0593215,0.94342023,1.1877482,1.1290159,1.2109797,0.86941385,1.002167,0.9822143,0.92089784,1.0000308,0.5795888,1.1058116,0.9397894,1.2398168,0.93670815,0.8640726,0.9936653,0.9169868,0.8917668,1.0001413,0.78538615,1.1280627,0.9582976,1.2223644,1.15397,1.0702323,0.8056276,0.7886747,0.77992904,0.6373333,0.8798205,0.97552454,0.90876734,0.89546007,0.881323,0.9721736,0.85858965,0.9421971,0.8785575,0.9461684,1.1847886,1.2209587,0.8404045,0.91944236,1.0361629,1.0547575,1.2217417,0.8477394,1.1482841,0.9852594,1.2300026,1.051827,1.1791654,0.89139205,1.2166431,0.933501,1.0625575,1.0548671,0.86362964,1.1089574,0.7882378,1.2018491,1.2242573,1.0607266,1.2215807,0.8134936,0.9086972,0.911002,0.81726015,0.9746773,0.7931114,1.0965309,1.0418248,1.172559,1.1374238,0.992574,0.8964958,1.0788281
basket,1.2278612,0.93716556,0.8994197,1.1916683,1.4503112,0.9481324,1.0890205,0.84095347,0.0,1.2152765,1.3532201,0.7452484,0.6952511,1.4470638,1.1525475,1.3058143,1.2191586,0.827354,0.61478037,0.61330664,0.9061869,1.028106,0.63175666,0.6003752,0.9827006,0.5337366,0.8263477,0.62956524,1.1502124,0.54960287,0.7548124,1.3151901,0.7115127,0.82747686,0.99179345,0.9134945,0.5459299,0.6528673,0.6004759,1.1190938,1.0344349,1.0714219,0.9085431,0.66946715,1.2866896,0.9257278,0.96074134,1.2937775,0.9431692,1.2543044,1.0377038,0.76081425,0.7450125,1.163673,0.96286595,0.99463856,1.1098018,0.80263644,1.1487873,1.1703808,0.8746655,1.2437514,0.8682518,1.4172695,0.9333815,1.1025717,1.3363223,1.340507,0.7653337,1.3098977,0.9685015,0.5941258,0.59065354,0.94152355,1.0763423,1.2371377,1.0585005,1.2669404,1.3553168,1.1685606,1.1370299,0.8698547,0.5443314,0.76081604,1.0842494,0.77433795,0.82066655,1.2340908,1.3668169,1.1724455,1.1848254,0.6118054,0.5950318,0.8144121,1.1304857,0.8069036,0.7063372,1.0660396,0.8196876,0.6743959,1.0602429,0.6723795,0.98394996,0.57042944,0.767781,1.1195682,1.2051427,1.1008372,1.1153463,1.1690072,1.2215897,1.4274004,1.1446347,1.1475321,0.6948148,1.1681048,0.7917617,1.338407,0.77587414,1.1456662,0.5789927,0.9765565,1.0132765,0.95916575,1.2311786,0.89839494,0.86451054,1.4067911,1.254946,1.165015,0.6709052,0.8792667,0.77089274,0.97885656,0.59012437,0.6278612,1.1203249,1.0714566,1.1196339,0.95333683,0.6748152,0.6267917,0.83624315
bathtub,0.78237534,1.4353666,1.2163527,0.15470219,0.7667975,1.0764036,0.99466425,1.1497176,1.2152765,0.0,0.59410465,1.3383374,1.0271713,0.80095667,0.91742545,0.71890545,0.10359919,0.83173704,1.3065579,0.944476,0.28792614,1.2881892,1.3398769,1.1799008,1.0081981,1.3588214,1.2377734,1.3761683,1.0487497,1.2015828,1.1840215,0.8577306,1.2592237,1.0039008,0.94867355,1.1480622,1.3291473,0.83235323,1.3154231,1.0345613,1.1051998,0.88428974,1.0790632,1.0824063,0.9660499,1.3606949,1.1717355,0.9069685,1.2760563,0.95302266,1.3408103,1.2521565,1.1588211,1.2343304,1.0669401,1.0024532,0.85444796,1.4020524,1.1453788,0.89076644,1.1840013,1.1327188,1.2466743,0.87902385,1.2353039,1.0375767,0.78972995,0.631059,1.3363364,0.89580905,0.6771875,1.0334437,1.3777167,1.2706692,0.9205345,0.9057034,0.7494733,0.9264219,0.75101036,1.1024802,0.9515191,1.3624566,1.4201117,1.2610565,1.2773957,1.233318,0.8975082,0.8552212,0.8372117,1.0459481,0.7175875,1.310334,1.2827317,1.2696513,1.0428355,1.2063999,1.3907261,0.8387662,1.196715,0.7630577,1.0752392,1.3169204,0.97255087,1.209456,1.4170097,0.84448946,0.7882682,1.079557,0.79484224,0.85267556,0.69475645,0.8466792,1.0897394,1.1754749,0.9471103,0.7286304,0.6950458,0.52182984,1.3353463,0.9012151,1.3872373,1.0908747,0.25661898,0.6151431,0.97228104,1.118633,1.0841708,0.7135811,0.9060675,0.41263282,1.0346392,1.4171423,1.4025953,0.9656701,1.3933198,1.0958483,0.13784432,0.9989747,0.9481683,1.077976,1.2783433,1.4148941,1.1341246
