,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,comb,cookie,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,ear,egg,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,hose,jacket,jeans,knife,ladder,lamp,melon,milk,mitten,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,soap,sock,soup,spoon,stick,strawberry,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window
alligator,0.0,1.3200808,1.2115209,1.0474623,1.2444743,1.34131,0.82376015,1.3135793,0.7769445,0.56015056,0.86261547,1.2932984,1.0477732,0.7617048,0.86529946,0.7495148,0.40710878,1.3184922,1.3341914,0.88053507,1.0316875,1.1853178,1.2118218,0.7965349,1.4023983,0.992204,1.301255,0.46402758,1.2726463,1.2177114,1.1916935,0.9867757,1.1337012,1.3051153,1.3092585,1.0276651,1.3390981,0.3716616,0.908519,1.254949,0.9919427,1.0647396,0.99229336,1.2350645,0.8173721,1.2783325,0.81779945,1.1405818,1.1955942,1.2707928,0.23273629,0.80645216,1.1892571,1.2719928,1.2144374,0.989623,1.2244391,0.92847824,1.2365153,1.0734481,0.91589516,0.41590166,0.8726536,1.1637595,1.1983343,1.1901066,1.0031145,1.0323085,1.2025833,1.1052796,1.0030324,1.342943,1.3405935,1.1450381,1.2269461,1.2703847,1.1645222,0.61254954,0.8668251,0.9826944,0.6417408,1.2177733,1.2610649,1.0501406,0.42948496,1.2784997,0.5414937,1.0855188,1.0820198,0.744246,0.9529232,1.0479411,1.2247987,0.99854946,1.0498091,0.80117685,1.2120037,1.0896678,1.077633,0.9505948,0.8099663,1.3921621,1.2463833,1.3262931,0.76075166,1.134992,0.8564058,1.2176911,0.91988623,0.7529564,1.0893399,1.3613446,1.2301447,0.8576999,1.3012006,1.1340204,0.7569104,1.2030088,1.3760453,1.1288322
ankle,1.3200808,0.0,1.1359918,0.771628,1.0020827,0.8084553,1.2228941,1.0481089,1.2287664,1.1502041,1.0527407,0.68786824,0.9320042,1.0607586,1.2446694,1.1131123,1.3757141,0.9678809,1.0763159,1.2110889,0.9712545,0.75302863,1.142638,1.2366666,0.84624285,0.9642669,0.6811591,1.1612023,0.8836385,1.2087911,0.59929967,1.0567958,0.8965819,0.61993146,0.81962186,0.9414601,0.9868831,1.2200727,1.178403,0.9881569,0.9911866,0.7856436,0.86727,0.98232156,1.0806515,0.48256117,0.754642,1.1884675,0.58213943,0.81563026,1.357553,1.253352,0.496458,0.8276,0.94260573,0.8382501,1.0178988,0.8917626,0.7334093,1.0886832,1.0733708,1.2560735,1.0096073,0.82130563,1.0646274,1.1017209,1.0738764,1.1809446,0.62772226,0.64103585,1.1403579,0.6365953,0.883441,0.8175055,0.31239069,0.9597548,1.1030798,1.1391885,1.0129899,0.86204743,1.2903126,0.9062257,0.84953284,1.0798243,1.2170314,0.7840632,1.2915471,1.0872624,1.1500629,1.232344,1.1790327,1.14656,0.6301117,1.0786942,1.0499986,1.0768478,0.9766334,0.7567333,1.0210472,1.1935418,1.190806,0.48678958,1.0665727,0.7368982,1.2276143,0.87019014,1.1205354,0.98767227,0.9982492,1.271487,1.1078012,0.424017,0.7235969,1.2212758,0.9352594,1.2043139,1.3368437,0.9431264,0.68508184,0.88582927
apple,1.2115209,1.1359918,0.0,1.3122472,0.5903844,0.6326984,1.0344405,0.93429905,1.1952764,1.0923655,1.37976,1.0781677,1.2676278,1.2943826,0.987586,1.3755183,1.0750049,0.875935,0.7634447,1.0747057,0.774917,1.0024086,0.75781405,0.9021854,0.93778497,1.3387078,0.81484693,1.2157589,1.2325505,0.6805526,1.1929374,1.0860217,1.2247204,0.8740754,0.87042964,1.4519889,0.7728112,1.0802954,0.9041217,1.0388144,1.3612388,1.0312532,1.0481695,0.5691437,1.141694,0.9792248,1.1813531,0.6573812,1.1027423,1.0163722,0.9586513,1.0785558,1.0438595,0.91466075,0.5231786,1.2574235,0.7578958,1.1964357,0.9179636,0.8223154,1.1251379,1.1696072,1.357064,1.1467446,1.0643831,0.8655473,0.84129757,1.0640734,1.050521,0.9114606,0.80901563,0.8050703,1.0049735,0.89516246,1.033354,0.18994272,1.2179233,1.1255623,1.2691253,1.3503737,1.1238961,0.9402462,0.91940004,0.97360283,1.1112571,0.9930017,1.0998554,0.84474826,0.80508083,0.8900001,0.6133748,0.92479014,1.0823202,1.3859863,0.9978584,1.2262968,0.90206003,1.2899675,1.0251267,1.1007991,1.0332109,1.0262053,0.59885097,0.9690898,1.1414919,1.0849482,0.99197096,0.31421602,1.2469339,1.3133308,0.82457626,0.94953895,0.9184729,1.1097289,0.9926353,0.63699526,1.0822929,1.19837,0.9657396,1.2052774
arm,1.0474623,0.771628,1.3122472,0.0,1.3184024,1.384639,0.7922603,1.3152423,0.8757608,1.0457622,0.8483073,1.1923913,0.91065013,0.5986812,1.1463128,0.67763925,1.0567088,1.3647281,1.3472657,1.1508745,1.1057054,0.9362734,1.2844996,1.1747785,1.2108985,0.68275625,0.949231,0.9310012,0.93369496,1.3049631,0.6908102,0.9913702,1.0540541,1.0144227,1.2634997,0.75255364,1.3902609,1.0857264,1.1530662,0.9862052,0.81177616,0.87373394,0.897653,1.354156,0.8717044,0.66557884,0.99915147,1.2869573,1.0234966,0.99483204,1.2350854,0.956613,1.096785,1.0314785,1.0697943,0.7076561,1.2429595,0.3744973,1.3116729,1.2507365,0.8189268,0.99485415,0.47378087,0.9207179,1.0709314,1.301198,0.7902264,0.97509664,0.69803804,0.8774005,1.0457177,1.1010717,1.1715279,0.9784685,0.8415783,1.2120261,0.96487504,1.054162,0.4931994,0.5202059,0.89459515,1.258997,1.247217,1.1726613,0.9972706,1.2485657,0.9638016,1.1843112,1.3815916,1.2873468,1.1062243,1.1819803,1.1731251,0.7033729,1.1571364,0.6721888,0.95365274,0.69163746,0.86385775,1.0742004,0.97810096,1.0642871,1.4066744,0.72480184,0.9646033,0.9047861,1.0065743,1.2355846,0.79279506,0.78516597,1.2465894,0.7576361,1.0780655,0.80823106,1.188618,1.4640801,1.018956,1.0612804,1.0791559,0.87835205
ball,1.2444743,1.0020827,0.5903844,1.3184024,0.0,0.3850044,1.2982316,0.6374939,1.1617628,1.137846,1.3166649,0.83103406,1.2039824,1.3660386,1.0948945,1.3420948,1.1805103,0.5265983,0.5089218,1.0684829,0.8497318,1.064806,0.7426623,1.1435181,0.67709875,1.3371667,0.8621677,1.2052406,1.1183636,0.44950902,1.2471519,1.2089316,1.1007606,0.88818103,0.6091011,1.3837825,0.54649913,1.1682284,1.0992901,0.92052156,1.3373023,1.1815312,1.2094587,0.29523218,1.2323885,1.0644119,1.097234,0.49913722,1.133672,0.892535,1.0478715,1.1570508,0.8858444,0.6689769,0.8456953,1.268158,0.7687818,1.3627362,0.6843234,0.7406515,1.2791564,1.2505493,1.3905351,1.1102939,1.0485718,0.58965147,0.9355179,1.0888573,1.1250584,1.1215184,1.0434877,0.6388739,0.7274395,0.86742496,1.0423089,0.63817555,1.08467,1.1803046,1.3620708,1.3659675,1.2042534,0.67197686,0.6515288,0.8804638,1.2072421,0.66438913,1.1595188,0.6846758,0.6747829,0.9937035,1.0326604,0.96725196,0.8890479,1.4006717,0.99698746,1.3388425,0.59425783,1.2645531,1.1418326,1.1371214,1.0466809,0.71333313,0.36699486,0.92134166,1.1004049,0.95016944,0.99149954,0.57170725,1.2018963,1.3562703,0.8424097,0.8922508,0.8540014,1.2608248,0.7161843,0.6850164,1.1272447,0.9860393,0.6670414,1.1006055
balloon,1.34131,0.8084553,0.6326984,1.384639,0.3850044,0.0,1.4964777,0.7191323,1.3470037,1.1472247,1.3493674,0.5770301,1.1731112,1.4957234,1.0487067,1.4971505,1.3858215,0.39781332,0.559366,1.1385518,0.8275208,0.97737545,0.8320162,1.0490975,0.61517584,1.3068187,0.60809577,1.3085275,1.0644159,0.6163797,1.2086588,1.0898691,0.9482395,0.7397478,0.38097668,1.4033194,0.46334058,1.2415059,1.0437511,0.96334034,1.3445634,1.0720987,1.0621818,0.37616456,1.1959901,0.95041984,0.8709366,0.710788,0.82118666,0.8228455,1.1183751,1.2484891,0.6132829,0.7348129,0.9048266,1.1990764,0.6115819,1.4806347,0.38372362,0.7190038,1.3102183,1.3473792,1.4724572,1.0294112,1.0278329,0.5544522,1.1935273,1.1681898,1.0734727,0.97823465,1.075693,0.44216597,0.6730554,0.91961634,0.8311571,0.57218134,1.1910186,1.1677462,1.4786985,1.3526475,1.4368763,0.50462055,0.45733213,0.8953557,1.2701344,0.4384328,1.3138083,0.80083895,0.6466776,0.8957102,1.1016859,1.0005277,0.72512746,1.4146821,0.8975483,1.3843678,0.82834136,1.1835234,1.1796536,1.1629354,1.2387654,0.47693616,0.33874637,1.0265899,1.3011892,0.9367386,1.077762,0.6435565,1.1853143,1.5268524,0.6520545,0.72670054,0.6430696,1.4083016,0.69059354,0.64531165,1.3400145,0.79141366,0.5532774,1.028357
banana,0.82376015,1.2228941,1.0344405,0.7922603,1.2982316,1.4964777,0.0,1.2473752,0.6650379,1.0132582,0.90638036,1.3446224,1.0420074,0.6063152,1.0940275,0.6732491,0.7000601,1.3992286,1.2674799,0.99327284,1.0652976,0.9514927,1.1287347,0.95612735,1.4573298,0.9100613,1.0761765,0.9712476,1.2057918,1.1931531,1.0886445,0.93690526,1.1931082,1.1843277,1.3625784,0.97337216,1.3926259,0.9693467,0.95854926,1.1996071,0.9194791,0.8824825,1.0205704,1.3205647,1.0025253,1.0602922,1.2391632,1.2480237,1.1776752,1.0118542,0.8123492,0.77523065,1.3202531,1.2015575,0.72748417,1.0066632,1.2728535,0.5454807,1.4288113,1.30789,0.8480986,0.816111,0.60642225,0.9068904,1.132735,1.3889871,0.7421455,0.78576076,0.87631476,1.0810335,0.9160419,1.344696,1.3073931,0.91659695,1.2284799,1.0619744,1.0599989,1.0584434,0.581871,0.82631516,0.6918324,1.346055,1.3382359,1.0724221,0.87789196,1.4168901,0.7832558,1.2892102,1.0787597,1.1760393,0.83732903,1.0122519,1.3061209,0.843519,0.7702629,0.7232158,1.0787905,0.9752888,0.736187,0.79464865,0.7169285,1.3738139,1.3822887,0.9685204,0.72612464,0.92582524,0.8490135,1.105385,0.8182218,0.5986123,1.2054715,1.2302523,1.1271733,0.25411725,1.3369772,1.0741094,0.5493425,1.2080812,1.3862281,1.1542016
basket,1.3135793,1.0481089,0.93429905,1.3152423,0.6374939,0.7191323,1.2473752,0.0,1.1345868,1.2712069,0.926561,0.69740486,0.77338535,1.4109807,0.95765865,1.1781727,1.1741937,0.6149097,0.48123282,0.7334575,1.0702804,0.94200534,0.569841,1.1359591,0.5074808,1.1425714,0.993671,1.2788653,0.6863684,0.7161825,1.0774142,1.0379527,0.6124909,0.9424879,0.6914876,0.9364019,0.5308511,1.3038374,0.9657667,0.8198327,0.9867569,1.1245625,1.2647339,0.77639145,1.3258452,1.1426684,1.1133797,0.71836174,0.9992082,0.7525665,1.1166013,1.0629332,0.93475133,0.73321396,1.058385,1.2961199,0.70176756,1.4243574,0.83755875,0.73066807,1.2980404,1.34457,1.3309467,0.83667254,0.63376325,0.6718422,1.2066811,1.0241355,1.0886192,1.1410075,1.124903,0.98961306,0.46423125,0.8963344,1.1834077,1.0010872,0.6485928,1.2833356,1.3599875,1.2298499,1.1377755,0.6621875,0.74092853,0.95440346,1.3987609,0.6282186,1.306095,0.6942296,0.6531629,0.9612324,1.1143227,0.7621753,0.7616985,1.1631227,0.8012669,1.3458631,0.69880104,0.9879113,0.9711594,0.9503557,1.0702643,0.84395695,0.71527207,1.0149976,1.1070292,0.8833114,0.99844605,0.879516,1.1591454,1.1720914,0.9855576,1.0779277,1.0086147,1.121028,0.4788518,0.72623146,1.1173775,0.9033511,0.8279386,0.8775463
bathtub,0.7769445,1.2287664,1.1952764,0.8757608,1.1617628,1.3470037,0.6650379,1.1345868,0.0,0.9157333,0.7107081,1.3663678,0.8707799,0.73889065,1.0281768,0.7391564,0.7297634,1.3026552,0.9384897,0.5472221,1.0406498,1.2039181,1.1012751,1.058813,1.296613,0.7170101,1.3152573,0.8805665,1.1558467,1.0922818,1.1379921,0.9344446,1.1023835,1.3304079,1.3672534,0.79586875,1.3179109,1.0001018,1.0611627,1.0769609,0.6070265,1.15029,1.0531477,1.2661822,0.89374095,1.2653157,1.2723266,1.1918969,1.3114666,1.2763946,0.9407788,0.7959465,1.3842896,1.4243436,1.084029,0.9366528,1.307401,0.80904543,1.4192985,1.2849321,0.67829967,0.7389738,0.67393184,1.0532573,0.98809165,1.2751985,0.8136369,0.8328786,1.0676967,1.1553777,1.0813447,1.3101473,1.3485943,1.144514,1.3117814,1.2490698,0.9557449,0.99804986,0.65430987,0.9122071,0.69597006,1.3485553,1.2959802,1.1587086,0.88594157,1.3702374,0.7581768,1.2696803,0.8733654,1.1946527,0.9673742,1.070368,1.3693671,0.6435903,1.0940175,0.76198244,1.2474695,1.1502541,0.85086966,0.44155812,0.49797404,1.4302316,1.2615876,1.149751,0.3163764,1.0450788,1.0555863,1.1760017,0.8748504,0.396878,1.1497977,1.4058534,1.1805532,0.61983323,1.3323203,1.2059952,0.15552235,1.1096117,1.3757795,0.9339032
bear,0.56015056,1.1502041,1.0923655,1.0457622,1.137846,1.1472247,1.0132582,1.2712069,0.9157333,0.0,0.9501045,1.267678,1.0413096,0.9544009,0.8911518,0.9035645,0.77464634,1.224908,1.307786,1.0868919,1.1240853,1.1768053,1.2353693,0.86652744,1.2289429,0.95734924,1.2792664,0.2903484,1.2406253,1.0930508,1.1813037,1.079037,1.1413667,1.2360895,1.2425905,1.0618913,1.2568638,0.31014174,0.99511886,1.2260015,1.0901201,1.1518745,0.9760795,1.1220002,0.78057647,1.2237465,1.028576,1.0660712,1.2363476,1.3096284,0.7870536,0.9545056,1.2514256,1.1533253,1.2467797,0.9734693,1.1108338,1.0367953,1.1579026,1.0103824,0.9245233,0.4628725,0.9715508,1.2946147,1.1896684,1.1596911,1.1048262,1.00534,1.0676296,1.0922025,0.99606335,1.1889871,1.2710017,1.2814887,1.1609967,1.1158279,1.1901443,0.28097856,0.96935964,1.01491,0.9848737,1.2090433,1.2457631,1.0769801,0.2138784,1.2284225,0.51507306,1.1107373,1.1072738,0.80754995,0.8828671,1.0495261,1.29835,0.9957594,1.2909825,0.91277754,1.1288927,1.1128491,1.1667025,1.0574273,0.8970767,1.2560549,1.1455429,1.1979396,0.95462227,1.2262663,1.0166334,1.1548238,0.8823625,0.9209571,1.0950981,1.2296417,1.1804631,1.0380073,1.2335839,1.1417708,0.90831625,1.1381475,1.271,1.0749624
