,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,can,car,carrot,cat,chair,clock,closet,coat,comb,cookie,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,mop,motorcycle,muffin,nail,napkin,necklace,orange,oven,pajamas,pants,paper,pen,pencil,penguin,pickle,pillow,pizza,plant,plate,pumpkin,purse,radio,refrigerator,rock,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,sock,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toast,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
bed,0.78253007,1.2546779,1.5363865,1.4311019,0.7066489,1.4242649,1.3423284,1.4836676,1.0792898,0.53749704,0.0,1.2685255,0.47762948,0.73645085,1.2684976,0.208938,1.1324605,0.94467604,1.4322642,1.3406557,0.84556365,1.3572881,1.2457196,1.2528746,1.1349995,1.053069,1.3264554,0.58213186,0.7052404,1.4581943,0.41865063,0.6954502,0.8131999,1.1978412,0.2425586,1.3351924,1.394125,0.42143536,1.3654364,1.1486104,0.639786,1.1077907,0.5717439,0.9530399,0.9177083,0.84552,1.4013009,0.92467105,1.439935,1.3574026,1.2833395,1.1818078,1.4403899,1.2277199,0.6700568,1.441136,1.0808916,0.7951731,1.3813925,0.831138,1.0270841,1.5505537,0.9091806,0.6986457,0.5518719,1.298255,0.5484154,1.4163904,0.40371478,1.5042075,0.9952162,0.85188764,1.0556344,1.1121165,0.84391993,1.0619648,1.1527743,1.259805,1.4981716,1.0874933,1.4921539,1.5034863,0.8063733,0.42263138,0.57636315,0.675943,1.4452907,1.4582541,1.2838304,1.0580071,0.8523241,1.1756216,1.328661,1.2276113,1.186216,0.92061245,1.2504439,0.5351266,0.7313466,1.1702051,0.3412677,1.0706662,0.51767397,0.9839214,0.8001648,1.2250047,1.0364697,0.7095195,0.7221279,1.5410161,0.7273355,1.0215068,1.5251093,1.118266,0.8464952,0.8759528,0.5277804,0.26234657,1.4587436,1.354743,1.5085351,1.418478,0.99552995,1.005429,1.2877333,0.68234724,0.7269223,1.2152832,1.0340773,1.510906,0.44247693
belt,1.2385736,1.0597473,0.644655,0.73241687,1.2499287,0.7450451,0.9875636,0.93168914,1.1636105,1.1634697,1.2685255,0.0,1.3414754,1.1084541,0.8981534,1.2420042,1.2604032,1.1489003,0.75429296,0.8450669,1.2636826,0.9597058,0.9381129,0.93429136,0.82004607,0.8759564,1.0877887,1.1364572,1.0582627,0.60667926,1.3066422,1.1104395,1.2133652,1.0095245,1.2113626,0.9790276,0.18403268,1.2509975,0.92230886,1.0506392,1.1918987,1.2995872,1.1309798,1.0932221,1.1747262,0.98849404,0.89154434,1.0134526,0.78429204,0.5714873,0.84019655,0.85237765,0.24610019,1.0777951,1.2134881,0.71027464,1.2134948,1.1013429,0.89698267,1.0977168,1.2273626,0.6837752,1.1023003,1.1704798,1.1314727,0.9345647,1.173387,0.5476688,1.3186301,0.62815005,0.9628404,1.1881063,1.2030454,1.120554,1.3543218,1.0040065,1.0068761,1.0026938,0.30085826,1.054743,0.57049507,0.7154503,1.0080342,1.2969661,1.185871,1.1472408,0.30162525,0.23730338,0.9445652,1.1120453,1.0915279,1.0588104,0.8303324,0.78343236,1.1663057,1.2364005,0.8964965,1.1015263,1.0338213,0.9548638,1.1820449,1.1330808,1.2704372,1.3068552,1.1778357,0.6868535,0.83742106,1.0976461,1.13135,0.59336174,1.0117065,1.1941817,0.564687,0.86135435,1.1666465,1.1163207,1.1974127,1.2749817,0.7687119,0.67702067,0.5823239,0.8445432,1.221394,1.0691555,1.0612513,1.2461096,1.0772958,1.0476733,0.9262973,0.45958483,1.1096988
bench,0.7691392,1.1139197,1.410058,1.2753068,0.8013309,1.3837199,1.3049567,1.2940049,1.0722982,0.3546427,0.47762948,1.3414754,0.0,0.87445784,1.2007432,0.64076495,0.99860233,0.8733155,1.3847182,1.3221602,0.72605455,1.3262637,1.0574582,1.134463,0.9996757,0.84983754,1.2060395,0.78971803,0.55559075,1.3781905,0.39137757,0.8150161,0.6464251,1.1039667,0.46121913,1.1816261,1.4174122,0.5091941,1.2773199,1.1565402,0.8125936,1.0563952,0.5712137,0.6831445,0.9598487,0.7135149,1.3551612,0.9429073,1.3564265,1.3052958,1.1934651,1.1588671,1.3750212,1.1127609,0.8421589,1.4199817,1.1261287,0.88788694,1.1837764,0.90915036,0.9761879,1.5077155,1.0010376,0.7503191,0.8602097,1.2770522,0.7359205,1.2492958,0.31786257,1.3992858,0.9868565,1.0111556,0.97287244,1.149699,0.89700955,0.980499,1.0102856,1.2880056,1.5186616,1.1643475,1.4682964,1.4286515,0.6746378,0.7065042,0.7500056,0.7733853,1.3598677,1.3689911,1.1916611,0.9641979,1.036851,1.1788028,1.31237,1.154272,1.1706994,0.9233488,1.0463952,0.55583644,0.9639097,1.0973232,0.7996744,0.8648141,0.6742555,0.889802,0.8552034,1.0145173,1.1029655,0.7212938,0.61890006,1.4718289,0.783672,0.94115776,1.3903725,0.94971365,0.8743589,0.95985293,0.7980352,0.63546824,1.3204166,1.3023914,1.4672393,1.3358083,0.8806905,1.1161798,1.113251,0.7084429,0.7215502,1.1755707,0.85487294,1.4600608,0.5631241
bib,0.63872075,1.1002576,1.1768715,1.0766758,0.83157694,1.1304259,1.2212974,1.0898575,1.0339643,0.852975,0.73645085,1.1084541,0.87445784,0.0,1.001327,0.6525624,1.1089447,0.7232528,1.3443961,1.2132924,0.84555984,1.2787211,1.2624376,1.1806455,1.2374024,1.1488285,1.2423137,0.88124055,1.050512,1.2203144,0.95567435,0.9163853,0.72756636,1.0156602,0.83852303,1.1654665,1.1570524,0.73038834,1.2139752,1.0990472,0.89858866,0.9137481,1.0775189,1.0859227,0.84327364,0.9954929,1.2166766,0.8223178,1.1538169,1.1792858,1.0715638,1.1037393,1.2508161,0.72163165,0.91881454,1.1872833,0.99932945,0.79369855,0.9236274,0.97749543,0.9031493,1.1706779,0.9693613,0.9280889,0.84928405,1.1885711,0.80194604,1.3418019,0.93013114,1.2551348,1.0095842,0.84766114,0.7249391,1.0988493,0.7494714,1.1396323,1.075901,1.1564543,1.2449706,1.0663031,1.0715322,1.1084193,1.0495068,0.6455351,0.7868108,0.64339256,1.2520764,1.2531188,1.0828336,0.78423524,0.9258425,1.111443,1.2343802,1.2093564,1.1621501,0.91033775,1.1509186,0.96988046,0.8045503,0.9508551,0.7936486,0.70385104,0.659329,1.0510104,0.8552853,1.3415983,1.0774266,0.85193276,0.5963829,1.3280127,0.93483555,0.96924376,1.3451941,1.1281779,0.95811373,0.9623208,0.7213348,0.67585504,1.1417437,1.3270912,1.2770786,1.0756104,0.82291424,1.0432998,0.8541277,0.79003334,0.96068716,1.1890242,1.1025985,1.2295761,0.93349123
bird,0.87599957,1.133385,1.0089462,1.0364218,1.1869056,0.9437657,0.9112573,0.8835587,0.8910764,1.2048978,1.2684976,0.8981534,1.2007432,1.001327,0.0,1.3254683,1.0204161,0.85299593,0.8037955,0.86873937,1.0395651,0.8792565,0.9179362,0.88023317,0.98353,0.9981693,0.85657,1.0772702,1.0305606,0.7925428,1.2592859,1.1089822,1.1618453,1.0931171,1.307351,0.9600568,0.8843245,1.1086086,0.82709384,0.9481812,1.07879,1.0320671,1.1278679,1.0205876,1.2558343,1.244447,0.88581014,1.1492112,1.0538077,0.8165756,0.7771646,1.1605783,0.8381665,0.6123754,1.0944053,0.88405436,1.0683926,1.0471689,0.9778878,1.2080573,1.2449054,0.8053376,1.1618525,1.0487628,1.2008064,0.9421264,1.2466878,0.8929228,1.1252924,0.6183859,1.2030022,1.0178217,1.1359361,0.9064213,1.2428613,0.9930764,0.90239376,0.93157697,0.89925706,0.8653093,0.7694988,0.8769712,1.1283501,1.3184226,1.2535546,0.9825889,0.8508089,0.86184144,0.81847197,1.149357,1.0463471,0.9849617,0.7156234,0.98000807,0.8834723,0.9275718,0.8849865,1.1848481,1.0643444,0.16923606,1.2205937,0.6662822,1.2349374,1.0428249,1.1868948,0.9544264,0.9698277,1.149992,1.0248584,0.90019953,0.97347015,1.1771055,0.8021598,1.0472277,1.0407801,0.96735334,1.2364403,1.2118764,0.7809447,0.943865,1.0030593,1.0350231,1.001713,0.91667724,0.8288564,1.2081751,1.0733027,0.97398275,0.8621465,0.9425367,1.0867002
blanket,0.7673148,0.97774255,1.4163461,1.2383704,0.66946316,1.3732994,1.3664116,1.4560013,1.2708766,0.62585825,0.208938,1.2420042,0.64076495,0.6525624,1.3254683,0.0,1.081976,1.081819,1.4870647,1.4831547,1.0162555,1.4768047,1.3043606,1.3452761,1.1141008,1.1247467,1.4110086,0.7250383,0.8168466,1.4571224,0.6199589,0.7633999,0.77915645,1.0288947,0.3230983,1.346314,1.3775381,0.65851367,1.4564024,1.2122365,0.79209894,1.0525898,0.7241887,1.0344614,0.6580271,0.7253585,1.4491788,0.8494325,1.1896868,1.1831983,1.3474758,0.9463818,1.369316,1.1835144,0.7955801,1.2750266,0.95244277,0.90742064,1.2913265,0.71010447,0.88866067,1.375903,0.7199157,0.8922085,0.59904754,1.3019981,0.38136178,1.3987467,0.6435259,1.5446355,0.8131428,0.88577014,0.9725795,1.1889434,0.61483705,1.0271909,1.1944683,1.38009,1.3878767,1.1433797,1.2546065,1.4547119,0.82834375,0.2582268,0.37974328,0.73228675,1.3747221,1.4096808,1.1669037,0.8694911,0.6938914,1.3469474,1.413543,1.3210986,1.2547886,0.9464055,1.2715461,0.6677414,0.684669,1.2066032,0.30877066,1.1215903,0.4423297,0.8896454,0.56141806,1.2355751,0.99807847,0.79850715,0.80550355,1.3382231,0.93085027,0.7149472,1.5294617,0.9911292,0.8246319,0.9886839,0.59306246,0.4928676,1.4985561,1.3240211,1.2861971,1.2116659,0.9634582,1.02686,1.3446889,0.75908756,0.82222277,1.1222807,1.0901453,1.3350685,0.7110969
boat,0.92483383,0.9389233,1.0639324,1.0239576,0.9351099,1.059389,0.92435664,0.93506104,0.9449253,1.0192603,1.1324605,1.2604032,0.99860233,1.1089447,1.0204161,1.081976,0.0,0.96822536,1.0329409,1.0409297,1.0268782,0.94244015,0.97188175,1.0481898,1.0810907,1.1350051,0.785655,1.1223494,0.9917619,1.0846906,1.0256838,1.1663003,0.95287335,1.0063479,1.0905417,0.96130276,1.172597,1.1894926,1.0432965,1.1009862,1.0638965,0.7873065,1.0826659,0.84712625,1.0635421,0.9716167,1.0102478,1.006768,0.96285623,0.94319,1.1232401,0.9945107,1.1316249,0.88804436,1.0102729,1.0213541,0.7678467,1.0148095,0.94594973,1.2366103,0.8373561,1.1028143,1.0561097,1.034812,1.0980034,0.997423,1.1224048,1.0125878,1.0546527,1.0868134,1.0760573,0.86381304,0.9323369,1.0037318,0.81181085,0.82142127,1.004228,1.0216969,1.1995876,0.86473083,1.0360284,1.0580807,1.1200405,0.9747032,1.1188048,1.0316008,1.0438441,1.1511636,0.99531776,0.96951914,0.89718103,0.9804009,1.0880108,1.0296007,0.8202164,0.8566916,1.0344115,1.1326754,0.9678266,0.99637246,0.99930626,0.8464649,1.1032794,0.75691164,1.0497555,0.9736311,1.0732367,1.0049324,1.0997527,1.0074551,1.1124657,0.8394251,1.0097468,0.931455,1.0126736,0.93134236,1.1161175,1.0674868,0.99111724,1.0365188,1.0471843,0.958384,0.64054507,0.8462665,0.884907,0.9213509,1.099525,0.8584212,0.99177307,0.9908546,1.2234223
book,0.86025894,1.2096742,1.2213874,1.137887,1.1522262,1.1726851,1.052786,1.0488702,0.70304155,1.0776088,0.94467604,1.1489003,0.8733155,0.7232528,0.85299593,1.081819,0.96822536,0.0,0.9477949,0.8866811,0.29266477,0.9185838,0.94772696,0.8498289,1.1214429,0.87087953,0.87453866,1.1023109,1.0061495,1.0161033,1.091176,1.0311865,0.9002735,1.2616758,1.1346514,0.87493926,1.0983735,0.8307122,0.8401065,0.75864226,1.055185,0.84814966,1.1380697,0.8145244,1.1487887,1.2017508,1.0002174,1.051935,1.2456876,1.2375599,0.8752484,1.2012005,1.1181576,0.68459016,0.9765948,1.2074902,1.1180325,0.9328497,0.75190985,1.2256808,1.0961955,1.2153196,1.2626424,0.979807,1.2364037,0.82988656,1.2624625,1.0310351,0.90349644,1.0758258,1.3223823,0.8882083,0.8918025,0.7632682,1.0241146,1.0079381,0.82366514,0.8996313,1.2873917,0.8754426,1.0844002,1.0596224,1.0438273,1.1347016,1.3093884,0.43923098,1.0476661,1.060601,1.0794315,1.0824227,1.0695475,0.858246,0.9974867,0.8904782,0.88443565,0.7404759,0.7531431,1.1564251,1.013385,0.76531976,1.1371065,0.7035502,1.1638606,0.9653555,1.1859726,1.070511,1.2397789,1.0935017,0.70860356,1.2842908,0.79133564,1.1823518,1.0440639,1.1669766,1.0275207,0.8198576,1.1022794,0.6941887,0.8822254,1.2306734,1.3237193,1.2839851,0.8187054,0.9182038,0.61590976,0.81864625,1.0076667,1.0859087,1.0225006,1.2691798,1.0095816
bottle,1.427352,1.1740072,0.80848604,0.9564949,1.3443835,0.7959394,0.69904786,0.79924977,0.6320679,1.3777182,1.4322642,0.75429296,1.3847182,1.3443961,0.8037955,1.4870647,1.0329409,0.9477949,0.0,0.4782365,0.9011081,0.7119071,0.5542908,0.40450656,0.51890266,0.8916804,0.82271034,1.3184115,0.9485674,0.49221593,1.2937992,1.1243162,1.3232696,1.1326313,1.4641211,0.893677,0.5546962,1.2736015,0.29607618,0.84652853,1.2766305,1.0753791,1.0829463,0.9972608,1.2296528,1.440963,0.70769215,1.272701,1.0493151,0.96066576,0.6923275,1.1729159,0.60771465,1.1043043,1.1343076,0.8577179,1.2440524,1.243391,0.82724905,1.3186668,1.3552073,0.7177936,1.2045839,1.2721971,1.2275847,0.4077413,1.3918371,0.49868977,1.1975743,0.38020098,1.1966218,1.2884054,1.1635275,0.5511757,1.4826156,0.9063739,0.8744566,0.74019575,0.6856351,0.9391562,0.6959667,0.80298686,1.0415214,1.5050035,1.4016768,1.2739888,0.62025374,0.5653984,0.7954289,1.2571524,1.1030008,0.80019283,0.5485179,0.8842229,0.9734172,0.9152063,0.56400454,1.1154792,1.2401905,0.8876288,1.3448489,1.0657048,1.4420811,1.2018505,1.2195216,0.71523726,0.8519357,1.3228042,1.2396258,0.7020471,1.0149063,1.2219621,0.43862188,1.0432909,1.1119255,0.8831044,1.3552437,1.3826034,0.6158094,0.67007524,0.8332521,0.9896098,1.1147895,1.0364764,0.8154812,1.430291,1.1826167,0.6470331,0.7902116,0.7055814,1.1990461
bowl,1.4662971,1.1832435,0.7538475,0.89253545,1.4241395,0.75512415,0.72127485,0.67257,0.34507823,1.3662324,1.3406557,0.8450669,1.3221602,1.2132924,0.86873937,1.4831547,1.0409297,0.8866811,0.4782365,0.0,0.9134748,0.35933125,0.8531517,0.46130776,0.76571393,0.9419414,0.5677116,1.3206682,0.9316345,0.55391484,1.3292851,1.2376308,1.1677539,1.1950889,1.4395645,0.6558964,0.6967142,1.2232645,0.3023523,0.65929204,1.259623,1.0955184,1.34322,1.0078802,1.3253567,1.3734043,0.544819,1.270738,1.0820817,1.0574551,0.756316,1.1759043,0.6933564,1.0545243,1.0598118,0.9126432,1.0728843,1.205869,0.88693297,1.4028432,1.3553767,0.67433774,1.237399,1.1331747,1.290834,0.6149132,1.4894538,0.566412,1.2572564,0.5125187,1.31177,1.1236184,1.0372257,0.7693224,1.4389081,1.1422012,0.9758493,0.41170412,0.75693905,0.7551709,0.8756736,0.5676331,1.192804,1.523362,1.4954281,1.2799639,0.7332587,0.6670123,1.0292208,1.2543775,0.9987499,0.50931656,0.6497718,0.49311453,0.65152115,0.794906,0.649161,1.3284583,1.1793437,1.0027682,1.264888,0.91619396,1.4843674,1.1283288,1.379111,0.72938144,1.0735068,1.0144978,1.1556962,0.72266126,1.037963,1.3709905,0.37363487,1.2105062,1.1493247,0.8843081,1.3723704,1.2114216,0.32469893,0.69924784,0.98817575,0.9100735,1.2291842,0.87961215,0.65439117,1.106913,1.256816,0.959015,0.9266257,0.8100589,1.30626
box,0.961492,1.2118894,1.280736,1.219442,1.0381051,1.2142029,1.0158242,1.1913307,0.62759393,0.8969119,0.84556365,1.2636826,0.72605455,0.84555984,1.0395651,1.0162555,1.0268782,0.29266477,0.9011081,0.9134748,0.0,1.018014,0.9639435,0.6252899,0.9057175,0.90920216,1.023615,1.0268903,0.92121434,1.0682639,0.8396587,0.92047125,0.9228808,1.2871814,0.95737743,1.0038234,1.2084128,0.7290919,0.7256013,0.7089174,0.99653673,0.90030766,0.9033876,0.70864,1.1234115,1.1613828,1.0268836,1.0805265,1.330255,1.4141595,0.9270453,1.2684653,1.2939708,0.9217712,0.8635233,1.2758371,1.2015035,0.9098903,0.80116034,1.1081488,1.0540779,1.301543,1.2162726,0.9771504,1.1011486,0.7358799,1.1345564,1.1834288,0.7198968,1.1451958,1.2256185,0.98872775,0.9190207,0.60502934,1.0518551,1.0362041,0.9420132,0.93940336,1.3750708,0.9925525,1.2929447,1.189903,0.81523585,1.0624068,1.1759961,0.55442995,1.2039758,1.2013905,1.1957217,1.093741,1.1356736,0.9361983,1.0983542,1.0937256,0.96708876,0.6283853,0.7590371,0.9104906,1.0977445,0.9364552,1.0650859,0.8551246,1.0124427,0.95762223,1.0662276,1.191804,1.219145,1.0668601,0.7082622,1.4015703,0.7696609,1.1732445,1.2113051,1.122339,0.96443045,0.79831254,0.99811375,0.7064936,0.9394518,1.2742927,1.3680134,1.3127599,0.86764735,1.0341291,0.682499,0.86470044,0.91636765,1.0748132,1.0285354,1.3469312,0.87312037
bread,1.3578904,1.1580033,0.80211306,0.9276191,1.3036611,0.86997104,0.8549669,0.5486906,0.6260169,1.3976991,1.3572881,0.9597058,1.3262637,1.2787211,0.8792565,1.4768047,0.94244015,0.9185838,0.7119071,0.35933125,1.018014,0.0,0.9202105,0.82683194,1.0705442,1.0672596,0.21972704,1.2718813,1.1171885,0.7460224,1.2791172,1.1825823,1.1150335,1.0342948,1.4561273,0.2622763,0.8153052,1.256957,0.6020334,0.72111964,1.2026265,1.0288829,1.3185241,1.1059262,1.3938463,1.2649393,0.6154068,1.2953429,1.0193473,1.0728518,0.7726387,1.187751,0.8573406,0.99491453,1.1128027,0.89322543,0.82402104,1.1226771,1.017893,1.3335961,1.2397598,0.8079704,1.2088228,1.1644233,1.2755576,0.87875915,1.4493347,0.721017,1.2964082,0.685642,1.2873285,0.84350294,0.9895519,0.85190785,1.259758,1.1951958,0.956357,0.16839945,0.84270024,0.5412209,0.97989017,0.39866197,1.2535508,1.4278077,1.4657736,1.2707429,0.87243366,0.82188255,1.1063532,1.1721832,1.050818,0.4264177,0.72802114,0.41527367,0.28853834,0.9150698,0.86986464,1.3602532,1.104624,0.99102604,1.2393754,0.9612205,1.437135,1.1095612,1.3481941,0.8662257,1.0968354,1.0946472,1.18765,0.8478676,1.0621121,1.3062065,0.527562,1.2599403,1.0875912,1.0003344,1.3215843,1.1552614,0.5498151,0.5726072,0.9902566,0.9696681,1.1998408,0.60061586,0.7786912,0.9201418,1.2260936,1.0519735,1.0530903,0.9330281,1.3257608
broom,1.3136439,1.1208782,1.0311502,1.0378885,1.2295622,0.962956,0.86693984,0.9601091,0.8782519,1.0871577,1.2457196,0.9381129,1.0574582,1.2624376,0.9179362,1.3043606,0.97188175,0.94772696,0.5542908,0.8531517,0.9639435,0.9202105,0.0,0.68494856,0.5976293,0.7628011,0.86831653,1.1997728,0.86243784,0.804255,1.1407858,1.0731856,1.0265132,1.1302189,1.2798309,0.9800205,0.8352483,1.1471444,0.7122785,0.96391094,1.1540356,1.1172606,0.87948257,0.8943322,1.018208,1.3209075,0.91759557,1.1714109,1.0641752,0.968507,0.8427235,1.0223956,0.77074176,1.1017338,1.1792706,0.96436536,1.1753782,1.2315124,0.99437475,1.2157352,1.2736237,0.9343276,1.147348,1.1013057,1.1142277,0.7897639,1.2537992,0.70013416,0.9471507,0.69871426,1.1328777,1.2407991,1.1623027,0.8072556,1.4158319,0.47894597,0.9239353,0.95130754,0.9421406,0.9872644,0.9249085,0.932248,0.96791714,1.3499275,1.2368779,1.1704246,0.7343408,0.70947933,0.84508324,1.2261226,1.0119753,0.9198903,0.7197036,0.9804335,1.0086142,0.8809252,0.7727152,0.9796466,1.242622,0.92152923,1.2337697,0.95618236,1.2996066,1.1629115,1.098181,0.7851242,0.7595162,1.2582047,1.0597075,0.94472,1.009196,1.1512046,0.6864834,0.96470356,1.1167953,0.95754683,1.1909484,1.2501547,0.8867767,0.817398,0.95989007,1.0814463,1.0260375,1.0343845,0.92712784,1.3007735,0.9728355,0.6523001,0.57595307,1.019202,0.9651167
bucket,1.3354799,1.1340479,0.9372004,0.97934383,1.3537266,0.87057537,0.7116128,0.92434454,0.52961624,1.1083614,1.2528746,0.93429136,1.134463,1.1806455,0.88023317,1.3452761,1.0481898,0.8498289,0.40450656,0.46130776,0.6252899,0.82683194,0.68494856,0.0,0.29212725,0.78674877,0.9234861,1.3354355,0.8406309,0.64829296,1.2158931,1.1078874,1.1719615,1.2894056,1.2721908,1.0491563,0.84750247,1.1055995,0.276439,0.7266564,1.2834975,1.0743897,1.0999913,0.87119097,1.2191021,1.3776325,0.7042074,1.3239238,1.1791246,1.0747405,0.7894308,1.2284908,0.82763505,1.0837885,0.9142937,1.046392,1.138996,1.170878,0.7934812,1.3623654,1.3139973,0.7763492,1.2844496,1.1576346,1.2173587,0.49369174,1.3176328,0.7776263,1.1088775,0.5636657,1.2687352,1.2069889,1.0463175,0.57855827,1.3697344,0.9826797,0.9097878,0.8517473,0.93569404,0.81974816,0.9383419,0.8754904,0.91876,1.3940127,1.3454807,1.0923227,0.8516283,0.7693719,0.90419173,1.1802931,0.946673,0.83163965,0.7785158,0.8499201,0.8846096,0.6040211,0.6413242,1.0479506,1.2728189,0.99308455,1.309783,0.93301857,1.3473897,1.0384623,1.1618655,0.88772047,0.9750468,1.0983502,0.993013,0.85589623,0.97531855,1.1493565,0.653669,1.1028,1.0558075,0.7399093,1.2834585,1.1944585,0.46197724,0.9117697,1.0451711,1.0758964,1.188725,0.95517766,0.62466747,1.2291381,1.1604495,0.85223067,0.81124705,0.9602455,1.1304126
can,1.3821838,0.9933915,1.0795802,0.95142114,1.2656059,1.0839114,0.93951494,1.10664,0.89255506,0.8491421,1.1349995,0.82004607,0.9996757,1.2374024,0.98353,1.1141008,1.0810907,1.1214429,0.51890266,0.76571393,0.9057175,1.0705442,0.5976293,0.29212725,0.0,0.7010131,1.1191257,1.2701536,0.55807346,0.7470241,1.0732548,1.1195245,1.1927094,1.1734133,1.009361,1.197923,0.87031794,1.1060095,0.58885694,0.9256754,1.2838287,1.2220376,0.7825529,0.77963793,1.067591,1.1755968,1.0400335,1.1772312,1.0597076,0.93169594,1.063588,1.0032912,0.6939101,1.2746261,1.0340239,0.98599374,1.1820978,1.289516,1.0811551,1.2123522,1.3144422,0.812746,1.1135603,1.2134279,1.0861577,0.6046897,1.0004848,0.66820145,0.9605807,0.6840389,1.0565708,1.336674,1.2669398,0.7803825,1.3571689,0.83097166,0.95756185,1.1004866,0.90961504,0.9889807,0.8493495,1.0078565,0.641644,1.2545929,0.99993515,1.2489468,0.7261636,0.6532294,0.80949914,1.239338,0.7768781,1.132302,0.87439114,0.9349123,1.1189798,0.70265764,0.61155206,0.7120519,1.2424408,1.0316043,1.2029165,1.1730986,1.1811693,1.1470418,0.8698082,0.68879277,0.64210063,1.0212295,1.1146303,0.7929622,0.99258506,0.9757835,0.65437996,0.8720605,1.1969303,0.8331417,1.2312546,1.299601,0.7471272,0.7979064,0.9220669,1.0418144,1.2108067,1.0637416,1.0577992,1.2600955,1.095493,0.7164655,0.59367263,0.9049034,0.99267906
car,1.0988022,1.0277416,1.041489,1.0213181,1.19065,1.0651217,1.0495379,1.0319929,0.9787,0.8225188,1.053069,0.8759564,0.84983754,1.1488285,0.9981693,1.1247467,1.1350051,0.87087953,0.8916804,0.9419414,0.90920216,1.0672596,0.7628011,0.78674877,0.7010131,0.0,1.1405865,1.0716281,0.86149275,0.9028057,0.9909048,1.1270907,1.1878152,1.1628284,0.9999272,1.103836,0.93918204,0.9510143,0.9344741,0.99356866,1.0392258,0.9978912,0.92368186,0.84183407,1.0532231,0.8072695,1.1417654,0.9735342,1.1428627,0.84635675,0.78190225,1.0736704,0.75151944,1.0450853,1.0356865,1.0073118,1.0607331,1.1282461,0.93245804,1.0428232,1.2186029,0.94392794,1.1213896,1.0029457,1.078963,0.8836127,1.1585972,0.9142935,0.870535,0.8489791,1.1156385,1.19365,1.1608099,1.015379,1.2194645,1.0311303,0.40674174,1.0883815,0.9979946,1.0065091,1.0771387,1.1078334,0.78981864,1.2256775,1.19343,1.0845393,0.81137663,0.7973085,0.7224702,1.2422646,0.95842654,0.9443452,0.78532535,0.9039772,1.1475608,0.9224498,0.69540286,0.8588369,1.1220888,0.96974516,1.2504685,1.1242235,1.0976604,1.0892084,1.0563015,0.83857584,0.8707802,1.0375456,0.9969392,1.002817,0.93041766,1.1511886,0.8445994,0.8227015,1.057301,0.82045114,1.1752223,1.1373272,0.93755823,0.9235182,1.094269,1.1980822,1.1405058,1.0914769,0.96497965,1.2104455,0.8952438,0.72952545,0.7838396,1.0340167,0.8224416
carrot,1.239535,1.0042288,0.90159786,0.9135976,1.1683398,0.981694,0.86811453,0.60301375,0.68164206,1.3586287,1.3264554,1.0877887,1.2060395,1.2423137,0.85657,1.4110086,0.785655,0.87453866,0.82271034,0.5677116,1.023615,0.21972704,0.86831653,0.9234861,1.1191257,1.1405865,0.0,1.2817333,1.0590972,0.8956431,1.2507141,1.2183465,0.9683807,1.0148791,1.4215343,0.40538913,0.95295584,1.2610569,0.7540741,0.78564703,1.226496,0.94816417,1.2873188,1.0687606,1.2975068,1.2594167,0.7066551,1.2200923,0.92315376,1.011803,0.9495216,1.0913769,0.9637483,0.9471842,1.1991973,0.9461564,0.7553206,1.1060678,1.0040393,1.3873794,1.1157441,0.8657769,1.1259935,1.1423395,1.2880459,1.0180835,1.3763212,0.7374493,1.2564431,0.8292087,1.1895669,0.8062149,0.98897094,0.8731334,1.1561604,1.1022838,1.0030084,0.5163316,0.9656698,0.56253195,1.0005349,0.41208297,1.2815182,1.3317692,1.3785844,1.1988895,0.9359584,0.91742903,1.0893319,1.1083646,0.97834903,0.604727,0.8916122,0.5288478,0.26856434,0.8963959,0.92235404,1.3658307,1.058162,0.95665824,1.2159675,0.81563556,1.3996286,0.93932366,1.2878097,0.8047458,1.0355948,1.1058224,1.022694,0.84802324,1.0464852,1.0953946,0.6270796,1.2647464,1.1439312,1.0147909,1.3012841,1.152678,0.60781115,0.72560245,0.95630175,0.9417458,0.9312816,0.60236275,0.777519,0.8988039,1.2672602,1.0059571,1.0387368,0.9666893,1.336302
