,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,corn,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,firetruck,fish,flower,foot,fork,frog,giraffe,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,mop,motorcycle,muffin,nail,napkin,necklace,nose,orange,oven,pajamas,pants,paper,pen,pencil,pickle,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rooster,sandwich,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,sock,soup,spoon,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window
corn,1.0959308,0.72048855,0.5665992,0.86479926,1.2186466,0.781425,0.93720114,0.64868987,1.0740538,1.2155436,0.9391676,1.3426701,0.8217894,1.211307,0.9291228,1.1881438,1.3071342,0.9423473,1.147882,0.857035,0.8971783,1.2207612,0.6591779,1.0446159,1.1351273,0.8063167,1.04214,1.0081397,1.2107962,0.9916067,1.0377297,1.2444847,1.0147529,1.0626869,0.8741952,0.0,1.2669911,0.9292684,0.83391625,1.2549294,0.8132193,1.1376982,1.1619473,1.1475258,1.164952,1.0805088,0.9041753,0.60926664,0.6191888,0.97926134,1.0591737,0.7281847,1.1086471,1.0066155,1.1111465,1.0227774,0.6028143,1.0236267,1.1320782,1.0260239,0.7079985,0.9827706,1.0945758,0.97991437,1.0479653,1.1559405,0.9927206,0.70671326,1.052272,0.7814051,1.1905894,1.1013314,1.1812913,0.699082,1.1522045,0.78292483,1.0749557,0.74894565,0.9410831,1.0628613,1.1280617,1.1657416,0.9770712,0.7715277,1.0096022,0.94274426,0.8614377,0.6115775,1.1229329,1.2007148,1.0621858,1.2360663,0.92253745,0.8506683,0.4822287,1.155195,0.98007274,1.0340049,1.0889071,0.8813667,1.136637,0.8963711,1.2770528,1.1868864,0.73414576,1.2405982,1.0663023,1.1396537,1.1375198,1.0466952,0.77859986,1.2115979,1.1406687,1.0994365,0.69822395,1.127306,0.96714735,1.1851364,0.73313564,1.0434653,1.0307176,0.68930525,0.97025204,1.138953,1.1584897,1.2451307,0.62180394,0.63052875,0.5232082,1.0460341,1.0145137,1.1158925,1.1865774,1.0428045,0.84296197,1.1716137
couch,0.98877454,1.2312598,1.6159803,0.9776881,0.60087764,1.3859864,1.4095695,1.4023635,1.2380999,0.59757745,0.81958425,0.11946404,1.4116259,0.5940372,0.83791816,0.6659614,0.26318347,1.0754268,1.0072114,1.4768314,1.3741641,0.67816794,1.4176223,1.1067623,0.94905466,1.2921963,0.63910836,1.2950838,0.59227383,0.68833387,1.3064268,0.80168283,0.7882173,1.2374684,1.151655,1.2669911,0.0,1.1234914,1.5300577,0.5901114,1.5213392,1.002063,0.6740031,0.78353596,0.5032918,1.1004028,0.8595131,1.1122532,1.5745124,0.831549,0.71179485,1.3742868,0.8928731,0.9629991,1.220898,0.9639962,1.5171362,1.2647005,0.9801842,1.1582003,1.3583217,1.0482379,0.833482,1.324295,0.6255579,0.9634567,0.86376524,1.2965617,1.0183796,1.0866269,0.429182,0.9943431,0.3549456,1.4741251,0.64584863,1.4847426,0.8372634,0.9047204,1.1679018,0.88329005,1.077931,0.5693965,0.89917666,1.4791014,1.0566673,1.2353927,1.0453585,1.5649248,0.66725177,0.42982638,0.40547955,0.7544902,1.5167243,1.492685,1.006641,0.93288636,0.67319965,1.0495691,1.223731,1.4109635,1.1364669,1.3717465,0.62531364,1.0054388,1.3773975,0.55106896,1.0296155,0.87275636,1.3342345,0.64648956,1.3602562,0.39576882,0.9996934,0.6587348,1.4154891,0.8423222,0.91488075,0.62491345,1.3642075,1.0898783,1.3159075,1.4172583,1.3495836,0.8545145,0.27990615,0.42504513,1.4753067,1.4824979,1.3162181,0.8315753,1.2483793,1.2931281,0.9763835,1.1032077,1.5279101,0.5373323
cracker,0.95054615,0.8653738,0.968518,0.8357048,0.93520206,0.9006503,1.1171497,0.87711596,1.2186493,1.2875884,1.1259471,1.1087458,1.0311925,1.0808194,0.8241467,1.0746719,1.0267669,1.1804762,0.8786263,1.1158094,1.156465,0.945327,0.8174564,1.0483894,0.9422086,1.1894302,1.0625345,1.1481458,1.0976673,1.059988,0.9571594,1.1244173,0.9018511,1.1000811,0.9462782,0.9292684,1.1234914,0.0,1.0792094,1.1487168,1.1290524,0.99454176,1.0488105,1.0236166,1.0920664,0.9460727,0.6312214,0.85476637,1.0215962,1.0557476,0.97446257,0.9396804,0.9387244,0.8478233,1.1062902,0.8869064,1.0241628,0.8333992,0.9857471,1.0800679,1.1115689,0.81814504,1.0727568,0.71708316,0.966811,0.91753227,0.864294,1.0962398,1.0792966,1.0796595,1.1489527,1.0877857,0.97101694,1.0005485,0.99589723,1.1227356,0.96502286,0.82440907,0.8962663,0.7491694,1.1146088,1.1396525,0.7627312,1.0785428,1.0879666,1.1570028,0.9467763,0.9950484,1.0306566,1.1281803,0.9922582,0.845824,1.102005,1.0719888,0.79707956,1.0697879,0.9493183,0.7077629,1.1277735,1.0021391,1.1284716,1.1663871,1.0724051,1.1144505,0.9453729,1.0902784,0.9744911,0.8734729,1.0421259,0.94715834,0.921424,1.0735373,0.9967084,0.99863625,1.0590407,1.011064,1.1708972,1.1428782,0.979611,0.84122646,1.0319865,0.9750928,1.1325591,0.8347106,1.1537024,0.96109027,0.90330875,0.91753346,0.90493673,0.83806425,1.132421,0.85958445,0.961535,1.1663321,1.1111245,1.1237714
crayon,1.0343444,0.82455754,0.3612373,1.2349879,1.4160193,0.80925703,0.67702675,0.7854419,0.74663585,1.3286247,1.0171814,1.5556931,0.23693049,1.4014142,1.2303455,1.3266611,1.5131886,0.4987834,1.0381967,0.25221562,0.7694349,1.3544881,0.6932472,1.1007079,1.1347238,0.26492655,1.0814425,0.2500807,1.2972925,1.1352721,0.7356766,1.3247159,1.2145345,1.0208905,0.7946113,0.83391625,1.5300577,1.0792094,0.0,1.3224701,0.3147561,1.2034163,1.3154445,1.3674486,1.336099,0.9871559,1.2695639,0.84416544,0.42710292,1.1099538,1.3038069,0.6938126,1.1795466,1.1398189,0.77864695,1.0787188,0.32897896,0.9398321,1.1439806,1.049296,0.50052065,1.0328289,1.0977824,0.8996107,1.3251846,1.3513294,1.3120875,0.37945944,1.0737498,0.94295025,1.3590654,1.2236351,1.4347563,0.56286013,1.2843258,0.52913904,1.1800581,1.0783334,1.0590842,1.2577991,0.94696116,1.3271532,1.3587604,0.19684446,0.9106403,0.69609267,1.0827914,0.41906285,1.1969937,1.457731,1.3643904,1.281521,0.22385299,0.20745218,1.0840429,1.1213535,1.0767455,1.2172879,0.6898989,0.7731712,1.0507121,0.6800568,1.4030808,0.99655163,0.54523367,1.4004834,1.111236,1.3577836,0.9897186,1.3215286,0.5406196,1.4395698,1.197486,1.268447,0.3128845,1.1874001,1.1501362,1.2828877,0.4983129,1.0600497,1.0584587,0.68857855,0.24019462,1.1626335,1.406667,1.5015328,0.33661795,0.38779908,0.41024935,1.3492739,0.6268593,0.95880836,1.1874567,0.7599298,0.31210697,1.2984002
crib,0.9479815,1.2439237,1.398577,1.1135447,0.90300566,1.3097932,1.1788533,1.2041712,0.8050921,0.79875493,0.956383,0.61232185,1.34942,0.44846404,0.9076076,0.89334893,0.64949,1.1672485,0.91152525,1.2494948,1.1359836,0.7515347,1.3068951,0.9611,0.8071415,1.1626937,0.87108827,1.1233747,0.8103286,0.6272378,1.1836954,0.56546795,1.0077822,1.073958,0.9871616,1.2549294,0.5901114,1.1487168,1.3224701,0.0,1.2653314,0.93613327,0.8218322,0.87296754,0.64917314,1.0897825,0.8387105,1.1796141,1.4090987,0.9614438,0.8985349,1.336319,0.80676484,1.021833,1.0875015,0.95473754,1.3814311,1.0472975,0.8451126,1.0737936,1.3082373,1.1276891,0.7918577,1.1586038,0.9043008,0.96879715,1.039547,1.3297622,1.0282179,1.1524054,0.8042518,0.8593565,0.8059006,1.3577335,0.46500605,1.3071698,1.0467514,0.9841892,1.1027364,1.01372,1.015781,0.74769485,0.9919351,1.3763173,1.1167822,1.1579015,1.0706335,1.3721403,0.7947484,0.7944509,0.8201398,0.845221,1.289813,1.3062238,1.0448776,0.99625367,0.93199766,0.93877685,1.1010275,1.2781698,1.0149736,1.1741002,0.71791184,0.9960777,1.2786008,0.68403935,0.93805027,0.9517738,1.1100303,0.9790588,1.2374947,0.80593336,0.98485357,0.866611,1.3231409,0.8829861,1.0539899,0.7395668,1.3027954,1.0942454,1.142739,1.363037,1.171053,0.62174064,0.7961453,0.6816354,1.3442073,1.4161779,1.319039,0.9672242,1.1423712,0.8834822,0.9291241,0.8960432,1.3299723,0.7140107
cup,1.2593553,0.7818943,0.29748368,1.1922516,1.4790902,0.7744349,0.5615607,0.7799124,0.6134945,1.248896,1.2035999,1.5615467,0.38870674,1.3642075,1.4175048,1.350043,1.5791438,0.74691594,1.1310107,0.110134125,0.48235297,1.3532974,0.6044275,0.6386861,1.2765524,0.3265488,1.152873,0.4565524,1.29585,0.9443223,0.74041677,1.2403121,1.3138567,0.8067157,0.86388576,0.8132193,1.5213392,1.1290524,0.3147561,1.2653314,0.0,1.1839648,1.2578973,1.2809675,1.2774633,1.00011,1.1099911,0.93985045,0.35365665,1.0408264,1.3124561,0.8619954,1.2165883,1.2505735,0.7044533,0.97145444,0.4537344,1.074836,1.2300334,0.78776073,0.6367599,1.0685344,1.1418756,0.8971744,1.3520594,1.3371816,1.3737754,0.48397183,0.9909977,0.89249027,1.3874007,0.90646154,1.544165,0.6217027,1.2524205,0.40020204,1.1904472,1.0803927,0.85951775,1.3025866,1.0221077,1.2557868,1.2505155,0.40080112,0.8807497,0.78618795,1.1023698,0.31609476,1.0778173,1.4657354,1.3852834,1.4408638,0.44092458,0.4638387,1.097653,1.138853,0.9858384,1.3002794,0.66771924,0.65709627,0.9316582,0.38909984,1.2625003,0.89691246,0.45509756,1.2693231,1.1890289,1.3682599,0.8315905,1.3822331,0.7738868,1.4930739,1.1477333,1.3430679,0.32623857,1.1914096,1.0369962,1.4064834,0.5365121,1.0486577,0.8359502,0.69698966,0.4503703,1.1712263,1.4267901,1.5376048,0.4347934,0.55518395,0.6364818,1.420019,0.6361543,0.9533634,1.1810324,0.7236188,0.4169153,1.2555771
dish,0.9494614,1.1481051,1.1332278,1.0596354,0.9732138,0.90032333,0.9761841,1.0123048,1.0433136,0.8845257,1.0270696,0.90730906,1.2078573,0.8604346,0.79712325,0.9888189,0.8683377,1.0944843,0.8766921,1.251772,0.92215794,0.7750829,1.1802292,0.99854195,0.9008425,1.1896846,1.1096432,1.0900984,1.0262691,1.1738155,1.025904,0.8694322,1.0697603,0.86140823,1.0353271,1.1376982,1.002063,0.99454176,1.2034163,0.93613327,1.1839648,0.0,1.0852587,1.023977,1.082352,1.0247935,0.9696918,1.1609143,1.0618013,1.0285242,1.0214633,1.1804218,0.9712255,0.9707345,1.001144,1.155961,1.1970246,0.89252687,0.86052394,1.0275049,1.2313156,1.0373023,0.8497755,0.87596613,1.1127357,0.94123596,1.0252686,1.2822788,1.1569587,1.0630602,1.0294148,1.0545939,1.0375729,1.1755213,1.0620061,1.0370711,0.97800535,1.0579885,1.0784309,0.9211976,1.0304934,1.0033,1.0357307,1.206591,1.0861838,1.1534154,1.1018538,1.1142173,1.0750122,1.0596477,1.087303,0.74181706,1.2291927,1.2508218,1.1150273,1.0050372,1.2173257,0.8062928,1.0692184,0.82211846,1.1065196,0.992433,1.0229325,1.0408521,1.1938242,1.0295553,0.97748363,0.8746531,0.5978974,1.0792391,1.2088069,1.0156633,1.0418065,1.0830034,1.3492386,1.0192976,0.87597746,0.9516363,1.2771192,0.9284813,0.71872485,1.0456895,1.155231,1.1243806,1.0119046,0.71170866,1.2388816,1.220921,1.1800964,0.9334952,1.0852747,0.72757024,0.14775556,1.2024927,1.1573393,0.99381155
dog,0.6531606,1.1971,1.3222433,0.96762383,0.89320034,1.1462996,1.209253,1.190096,1.1159565,0.86247444,0.97274417,0.5799912,1.277617,0.89531904,0.9868336,0.794166,0.679433,1.0661801,1.0151241,1.223881,1.1559325,0.89654386,1.1409769,1.0527391,0.9129941,1.2653614,0.9737773,1.2286868,0.08556008,0.95772624,1.1691505,0.98626196,1.0045488,1.0862813,1.1727035,1.1619473,0.6740031,1.0488105,1.3154445,0.8218322,1.2578973,1.0852587,0.0,0.6666317,0.9190499,1.0945395,0.9377867,1.1029987,1.3097781,1.0909375,0.8099598,1.234875,0.9397205,0.75272894,1.0333887,0.9661199,1.2934957,0.89899576,0.96459275,0.9424862,1.1646351,0.8744597,0.8793771,1.0913631,0.81093776,0.9178809,0.9712511,1.1600794,0.59024173,1.0604539,0.8976257,1.0233384,0.9114687,1.2538399,0.8658897,1.2042191,0.9660126,1.0307697,0.96477205,0.8424397,1.1179024,0.8527756,0.8432392,1.2705526,0.7079562,1.1525395,1.0547597,1.3219169,1.0218644,0.8001704,0.92019945,0.9561539,1.2827497,1.2867317,1.0478655,0.75714767,0.8050864,0.86670804,1.0655015,1.2121726,0.5808825,1.2105615,0.8832643,0.9933633,1.1122136,0.9437297,0.73402333,0.9793762,1.1461232,0.9680102,1.190496,0.89263725,0.907599,0.9440964,1.1913189,1.0421416,1.1197768,0.9962551,1.148822,0.9853219,1.1352565,1.2081376,1.2218007,0.9518419,0.8408048,0.7951206,1.2101429,1.2975314,1.2513511,0.95715684,0.96898925,1.0669837,1.0817118,1.1195918,1.1890608,0.817737
doll,0.83298326,1.1382741,1.2983109,0.80507535,0.96671724,1.0541911,1.0831001,1.0057243,1.1674052,1.1086584,1.1771746,0.7823837,1.323794,0.9370729,0.9171048,0.8887137,0.7990149,1.2535338,0.8446357,1.2328622,1.2020935,0.7764939,1.1654723,0.9983544,0.8784876,1.3591098,1.1150463,1.2740164,0.7822658,0.983485,1.0898231,1.001079,0.9665879,1.0245562,1.2359816,1.1475258,0.78353596,1.0236166,1.3674486,0.87296754,1.2809675,1.023977,0.6666317,0.0,1.0220512,1.0605407,0.8622985,1.0787157,1.2845262,1.1122994,0.76391345,1.1387887,0.80530876,1.0262212,0.9386004,0.9645723,1.3233473,0.8860252,0.8245627,0.8306832,1.148823,0.80648464,1.012833,0.82367885,0.7846991,0.91779536,0.81903404,1.111929,0.93569523,1.0114211,0.8805834,0.9166305,0.9698482,1.1629927,0.88624185,1.1720515,0.9201647,1.1012181,0.8517393,0.71323514,1.1365838,0.79084015,0.8401557,1.314289,0.9577905,1.0755353,0.92915773,1.2879245,1.1373925,0.82827014,0.9779348,0.92154974,1.3196166,1.3217151,1.0538995,0.7486267,0.9420475,0.88933855,1.0123006,1.1451598,0.7811153,1.1314521,0.7735999,0.9996725,1.1975464,1.0705307,0.79659784,0.90565205,1.0003209,0.9815851,1.0032125,0.90052843,0.88765275,1.0220232,1.2919145,1.1599737,1.1372412,1.0485276,1.2103529,0.90551007,1.0279335,1.1136979,1.2352377,0.78988147,0.8463545,0.7508831,1.2411253,1.2328719,1.3555199,0.7396051,1.0474125,0.68399155,0.89337337,1.0989571,1.2386159,0.9853008
door,1.1516275,1.2176176,1.4309922,1.0234749,0.7804867,1.29198,1.321951,1.3191105,1.0333086,0.57707334,0.7651286,0.5844399,1.3226848,0.6509317,1.0808207,0.6132109,0.69010544,1.008805,1.1828711,1.2216107,1.2325267,0.8503493,1.3198826,0.9820808,1.0171161,1.0584031,0.78798425,1.1030319,0.8313363,0.56660265,1.1614248,0.6400291,0.88233554,1.1749527,1.0500469,1.164952,0.5032918,1.0920664,1.336099,0.64917314,1.2774633,1.082352,0.9190499,1.0220512,0.0,0.82287407,0.88870907,1.0570706,1.4095482,0.8969701,0.7929338,1.2695802,0.9405245,1.095582,1.2120209,0.99190843,1.3632704,1.2702291,0.99585086,1.0707178,1.2106512,1.2518181,0.846375,1.3413033,0.72591406,0.9683462,0.9716344,1.2507331,1.076835,1.1003313,0.71037304,0.7952405,0.68084705,1.3343538,0.53709114,1.2394865,1.1140499,0.9653751,1.0731702,1.1183335,0.81679946,0.71740687,0.954016,1.3067706,1.207467,1.1664824,1.0263033,1.39472,0.44328558,0.7389631,0.6218307,0.9689899,1.3231416,1.3136098,0.9796996,1.1082152,0.92991203,1.1174762,1.1730412,1.2863727,1.1751556,1.2801831,0.86971796,0.9601477,1.2345904,0.29252958,1.0812875,0.97866505,1.2318839,0.819585,1.2948883,0.6881485,1.1270158,0.7536564,1.0818124,0.6934414,0.7726782,0.73995256,1.3551364,1.2126718,1.2227769,1.3486633,1.235779,0.9445087,0.69437885,0.7936003,1.3296769,1.3748888,1.2035608,0.9326494,1.2857509,1.3275425,1.1065044,0.8615475,1.365675,0.2630139
drawer,1.1097313,0.8951981,1.0588231,1.1058078,1.1334554,1.0842105,0.9890487,1.0878407,0.70142466,0.7900306,0.96073633,1.0840722,0.9272239,0.87736326,1.2026609,1.0208027,1.1366098,1.0673953,0.86289287,0.9818024,0.90433085,0.9589956,1.137598,0.78240925,1.1964258,0.9433016,0.9440839,1.0555977,1.1063638,0.7625494,0.73617494,0.8871225,1.0482738,0.92609286,0.8593056,1.0805088,1.1004028,0.9460727,0.9871559,1.0897825,1.00011,1.0247935,1.0945395,1.0605407,0.82287407,0.0,1.0035491,1.0372945,1.0907857,1.1047826,1.1710576,0.90378714,1.0024079,1.142962,1.0294075,0.9750529,0.9589782,1.108635,1.1808007,0.9283815,1.0509164,1.1144596,1.1557474,0.9376192,1.1295884,1.0303495,1.0300095,1.0229423,1.00553,0.9994891,1.1634783,0.8737016,1.073958,0.7720508,0.87077385,1.0232863,1.0856584,1.1007088,0.7964145,1.1365145,0.71347356,0.9707914,1.0735276,1.1017386,1.0095669,0.9057623,1.1273259,1.0592663,0.65425265,1.1783994,1.113923,1.1089281,0.7846482,0.8081078,1.0248543,1.0954912,0.9384356,1.2195554,1.0160118,0.9310451,1.0306491,1.1305541,0.94005704,0.47581494,0.908907,0.8119382,1.1202495,1.0101436,0.9919153,1.0750996,0.871914,1.1932973,0.9428454,1.1352694,0.91883415,0.9599008,0.8584832,1.0378678,0.9393171,1.0895125,0.9512494,0.9256939,1.1355684,0.8725834,1.2361594,1.1356483,1.0348861,1.0812893,1.0365112,0.99891484,0.99892044,0.94636285,1.0194548,0.6657162,0.9042585,0.9147941
dress,1.037571,0.9048468,1.16855,0.9306319,0.98483455,1.1731209,1.1833782,1.0370743,1.1390022,1.0568864,1.0475814,0.81136715,1.1647432,0.8994401,0.9256368,0.9853013,0.77717125,1.2067127,0.95001507,1.1014869,1.1283476,0.85977876,1.1075333,0.8587359,0.8539654,1.242896,0.8996108,1.2278826,0.9748335,0.8119707,1.0808493,0.946468,0.96637017,1.086315,1.0435091,0.9041753,0.8595131,0.6312214,1.2695639,0.8387105,1.1099911,0.9696918,0.9377867,0.8622985,0.88870907,1.0035491,0.0,1.0215473,1.2086182,0.9378626,0.94400555,1.2643857,0.8933022,0.9085823,1.0924462,0.7706658,1.255134,0.9665469,1.0387739,0.9028833,1.3011401,0.9661325,1.0768957,0.90708846,0.98030627,1.0001727,1.0288337,1.2978404,1.0425965,1.1104434,0.91456413,0.9028692,0.89127433,1.2044278,0.7936584,1.1719344,0.9457963,0.96861756,0.74853206,0.8539895,1.0612364,1.0184857,0.82039917,1.2941191,1.1478039,1.1581008,1.0931153,1.154455,0.94597363,0.937419,0.90047634,0.9952482,1.2678527,1.2604146,0.8720318,1.0937263,0.84363794,0.8177495,1.1205175,1.1333439,1.0802004,1.0434266,0.7923058,1.0858324,1.0512401,0.949029,0.96642125,0.8979388,1.0848831,1.0334486,1.0739889,0.9208762,0.88454425,1.0615219,1.2435457,0.91356665,1.0116453,1.0074397,1.1091038,0.95696497,1.0376347,1.2059426,1.2619138,0.72898597,0.9163656,0.7801447,1.176806,1.2583215,1.1768754,0.8688864,1.1164192,0.9055839,0.9525936,1.0330552,1.218239,0.96270347
ear,1.0659317,0.7420832,0.8549964,0.7930256,1.0759488,0.9319986,0.98836964,0.9481154,1.1885633,1.2807571,1.0291096,1.2012948,0.81715417,1.1961143,0.8757882,1.1522264,1.2123449,1.0045865,1.1839044,0.92006344,1.1683447,1.1833014,0.83790445,1.1300666,1.1051327,0.7953839,0.88711816,1.0673612,1.1504456,0.9776852,1.0781268,1.2180892,0.89504194,1.1628549,0.9720015,0.60926664,1.1122532,0.85476637,0.84416544,1.1796141,0.93985045,1.1609143,1.1029987,1.0787157,1.0570706,1.0372945,1.0215473,0.0,0.9466797,1.086397,0.7800857,0.6461699,1.0456318,1.0711261,1.2091587,1.0669487,0.7771821,1.0630428,1.1354369,1.0856183,0.45538884,0.90254784,1.1472291,1.0788265,0.6907129,1.1503296,0.7869241,0.5516399,1.0764948,0.6170933,0.9889272,1.1022791,0.9514896,0.9442045,1.0839012,1.1531203,1.076988,0.90328836,1.0923064,0.980887,1.1539087,1.2288269,1.0637264,0.656916,1.1103987,0.93761134,0.5706611,0.9628033,1.0434403,1.0209917,0.8655273,1.1143469,0.92990965,0.82992774,0.7282776,1.0927023,0.9914451,1.0564258,1.1440438,1.1939571,1.2341496,1.2000084,1.2572685,1.1454511,0.92911273,1.1559745,1.0532491,1.0909512,1.1898144,0.88067484,0.738528,0.9581737,1.0838674,0.88637495,0.7098634,1.1314982,1.191811,1.0393958,0.6747199,1.0871627,1.2131,0.9460012,0.92124206,0.94715333,0.9244116,1.2220631,0.59265614,0.5239898,0.41532415,0.9333626,1.144029,1.1525693,1.2095261,1.0467508,0.90645635,1.1382315
egg,1.2419457,0.77034366,0.072016,1.0916207,1.3447114,0.5116027,0.5904871,0.52604175,0.8104158,1.301869,1.1503915,1.5754976,0.47807562,1.3967092,1.1674283,1.3533139,1.5793824,0.781019,1.1465025,0.44498682,0.5327302,1.4069045,0.26326555,0.9859966,1.2945235,0.56541294,1.2343574,0.624241,1.341935,1.2061293,0.72110975,1.2933875,1.2541845,0.8924876,0.78755623,0.6191888,1.5745124,1.0215962,0.42710292,1.4090987,0.35365665,1.0618013,1.3097781,1.2845262,1.4095482,1.0907857,1.2086182,0.9466797,0.0,1.0939363,1.3382014,0.7106166,1.2173772,1.1181659,0.8740023,1.1429586,0.30419773,1.0712966,1.2069802,0.9075233,0.69168943,1.0547017,1.1705681,0.85673046,1.3848267,1.1411434,1.2567724,0.532336,1.0968232,0.9724444,1.4036148,1.1247025,1.4965186,0.42086095,1.4523791,0.34676623,1.0839744,0.881706,0.9562671,1.2399485,1.1038959,1.3055763,1.1815453,0.38839573,0.81627846,0.91527027,1.0780787,0.038465083,1.2658063,1.4554182,1.4068033,1.3754447,0.55114985,0.534994,0.90864766,1.1174117,1.1433964,1.1973683,0.86420727,0.41035473,1.027391,0.4486239,1.3989058,1.085358,0.5452898,1.4454954,1.1542331,1.217238,0.814216,1.1968855,0.7756034,1.4525223,1.229472,1.29073,0.47752166,1.1627324,0.9388143,1.3009118,0.5934277,1.0388488,0.8184223,0.3941219,0.55400294,1.2842888,1.4084833,1.4604653,0.39426363,0.39868462,0.5084755,1.3520232,0.6902104,0.9072491,1.063413,1.0260338,0.47856343,1.3731636
elephant,1.2204943,1.0266807,1.1163816,1.0399835,0.87157404,1.1175089,1.1434963,1.1750691,1.1246955,0.82823646,0.88829404,0.79120255,1.04907,0.9684134,1.1264702,1.0046772,0.8356133,0.946671,1.2500951,1.0302161,1.1100979,1.0772612,1.1747656,1.0972415,1.2069039,0.97105306,0.9170823,0.984207,0.9711818,0.9294167,1.1839734,0.98430383,0.76448303,0.98390055,1.0817975,0.97926134,0.831549,1.0557476,1.1099538,0.9614438,1.0408264,1.0285242,1.0909375,1.1122994,0.8969701,1.1047826,0.9378626,1.086397,1.0939363,0.0,0.97829944,1.0003666,1.0902761,1.135247,1.0851296,0.7119273,1.1355073,1.2600883,1.0659733,1.1444783,1.1276376,0.98517156,0.8308815,1.3130602,1.0224594,1.1077557,0.9879045,1.0330846,1.012037,1.0285143,0.6903428,0.93267363,0.6771744,1.1655984,1.0019903,1.0111747,1.0105052,1.108664,1.1543146,0.9528657,0.8613018,0.8678504,1.0816644,1.0335664,1.0561624,0.9365692,1.062002,1.1034887,0.79586476,0.81302375,0.54625845,1.0979129,1.0970004,1.109537,1.0388463,0.98174083,0.9516926,1.2508887,1.064471,1.1626412,1.1067102,1.017338,0.9397867,1.0755883,1.0608463,0.8462644,1.1598649,1.0945035,1.1306278,0.8984655,1.2200357,0.75353926,0.8711888,0.90966713,1.0544515,0.7541884,0.90200746,0.95864946,0.99290556,0.92355615,1.027424,1.138667,1.0647081,1.0903772,0.7056808,1.0213826,1.1794695,1.0587826,1.0634965,1.0746225,0.93857163,1.2872677,1.1359074,0.9638326,1.1603702,0.9248224
face,1.0124305,1.1469218,1.3235345,0.6261476,0.71843165,1.1606162,1.2434415,1.2002821,1.3461161,0.936851,1.0976777,0.7188888,1.2585087,0.9205653,0.79756284,0.81903076,0.7712244,1.1010773,1.0323027,1.2850547,1.3570406,0.8148879,1.2061231,1.2462821,0.9814167,1.244268,0.8350998,1.1645617,0.80754364,1.055627,1.1702503,0.90254617,0.67166877,1.223732,1.1240863,1.0591737,0.71179485,0.97446257,1.3038069,0.8985349,1.3124561,1.0214633,0.8099598,0.76391345,0.7929338,1.1710576,0.94400555,0.7800857,1.3382014,0.97829944,0.0,1.0913817,0.87237513,0.99245703,1.1248107,1.1229807,1.3400816,1.0662613,0.85668766,1.1088406,0.84042776,1.0717729,0.92977184,1.0930272,0.42739844,0.8654982,0.72904336,1.0224466,1.0527056,1.0330172,0.6267695,1.0042123,0.7667752,1.4224102,0.98631465,1.263316,0.95727575,1.0214272,1.1557108,0.9138714,1.1548126,0.95483214,0.9178376,1.1232376,1.2787349,1.1275707,0.68436146,1.3422332,0.9565211,0.66359013,0.79011023,0.82151103,1.3097786,1.2996969,1.0013336,0.97762954,1.1684192,0.93073016,1.1119682,1.2803018,1.1023626,1.1965234,0.98322016,1.1301179,1.2349992,0.938257,0.90474063,0.8605013,1.1350931,0.7956397,1.211626,0.5879103,1.0606166,0.888748,1.2369184,1.0328047,1.0296775,0.83283967,1.2986977,1.1366293,1.1103075,1.3417091,1.1515855,1.0542119,0.59381354,0.767241,1.1069417,1.1418794,1.0924381,0.8284126,1.3740093,1.2131579,1.013655,1.3365993,1.2855244,0.8307367
