,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,can,car,carrot,cat,chair,clock,closet,coffee,comb,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,eye,face,finger,fish,flower,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,jacket,jar,jeans,knife,ladder,lamp,leg,melon,mitten,mop,motorcycle,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pig,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,refrigerator,rock,rooster,sandwich,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,snow,sock,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window
bear,1.0152054,1.1593097,1.1690787,0.9792706,0.9240197,1.0965503,1.2150005,1.1024299,1.3100052,0.78321755,0.0,0.82749856,1.1315513,0.8761853,1.022769,0.8393738,1.0062197,1.3114835,1.3007729,1.2524683,1.1905992,1.0398649,0.9957475,1.0817312,0.9784694,0.8537264,0.8807684,0.7712649,0.79319334,1.2356775,1.0151466,1.1677712,0.6925436,0.76572645,0.92910266,1.1535934,0.8372184,1.2954186,1.16932,0.9418647,1.1877451,0.7781627,1.11772,1.2063978,0.89922357,0.9807631,0.97718966,0.9539398,0.9612813,0.9933223,1.2309461,1.249424,1.0081841,1.0691803,0.92945105,1.0857408,1.3175126,0.77802575,1.2261415,0.98544484,1.141439,1.0191525,0.7818235,1.2281864,0.59837276,1.2170068,1.0520406,1.0704503,0.66450804,0.9228562,1.0683641,1.0534003,1.1132219,1.0816045,1.0038298,1.2443038,0.794343,0.8817829,1.084397,0.99023753,1.0460645,0.7916658,0.60987747,1.2874182,1.1494411,1.0771787,0.8705865,0.98656344,1.2911935,1.0124668,1.3129199,1.0479672,0.90995365,1.1895771,1.1784837,1.0559882,0.73419875,0.757887,0.90454406,1.0955917,1.3113858,0.6767058,0.9937667,0.6872135,1.0418813,0.7050036,1.0301775,0.9572396,0.8719372,0.8804974,1.2634103,1.0647522,1.0697511,0.8644023,0.5451879,1.0131181,1.2738588,0.9581865,1.0391166,1.1396074,1.1469289,1.3855453,1.0905216,1.0659599,1.1348463,0.86371183
bed,0.8181533,1.2439622,1.5394738,1.1068639,0.57011676,1.3857529,1.1570734,1.2078065,1.2978077,0.4698366,0.82749856,0.0,1.4404484,0.3453052,0.79036736,0.15061247,0.4256066,0.89732194,1.3092101,1.4836733,0.98055226,1.5389249,1.2196915,1.1176946,1.279973,1.2851176,1.4358083,0.64982617,0.48424262,1.3728826,0.72992253,0.95246047,0.5477949,0.25757033,1.1496496,1.5621619,0.2228247,1.4711068,1.15698,0.72287166,0.9314788,0.5394882,0.9768202,1.1176207,1.3455172,1.377182,1.1531063,0.7219695,1.3513455,1.1881546,1.2619767,1.4472377,1.1844395,0.8987144,1.4178239,0.8902169,1.1292788,0.83318114,1.1485317,0.93490404,1.2851901,1.2584002,0.7524079,1.2756671,0.47839957,1.3558122,0.9743665,1.4133546,1.1632382,1.2672697,0.6734963,1.2796098,1.1748952,0.8975769,1.4718792,1.107675,1.3393728,1.2230089,1.3358723,0.9355757,0.9168271,0.41119665,0.5721145,1.0663047,1.5087459,1.484732,1.2702668,0.74933124,1.2787178,0.869133,1.366876,1.2641189,1.4017651,1.482892,0.89304143,1.3546813,0.49933827,0.33793163,0.7001942,0.90525085,1.3230555,0.52634615,0.9552922,0.73149,1.2327955,0.49109972,0.6101361,1.5151676,0.6627777,0.775545,1.4122177,1.0712858,1.4884568,0.70576143,0.6176796,0.31483108,1.3549312,1.3662118,1.0387552,0.95424455,1.1468009,1.4616855,0.6986221,1.0952659,1.4387236,0.44160968
belt,1.3075995,0.92936593,0.42516708,1.0927279,1.4053942,0.5830415,1.0087469,1.145591,0.6424701,1.280235,1.1315513,1.4404484,0.0,1.4199183,1.2508755,1.4395427,1.2186253,1.1117594,0.7512765,0.44513595,1.0171194,0.524519,0.7017086,0.9865321,0.5163272,0.6340358,0.8308227,1.3490044,1.1980653,0.5913753,1.0848567,1.0876571,1.3009591,1.4262066,1.1851065,0.24111044,1.3769414,0.53659976,1.0835814,1.3419983,1.2044889,1.2388388,0.9962041,1.0781529,0.684204,0.5544319,1.0200373,1.3456683,0.8684485,0.5035282,0.9725234,0.51766336,1.0261085,1.2437034,0.582596,1.1443732,1.0380566,1.2411537,1.0546345,1.3422225,0.85843086,0.87105423,1.2920232,0.7643884,1.4587976,0.5934999,0.8663838,0.6891066,0.92704314,0.8353311,1.4788656,0.7011253,0.9470577,1.298701,0.45523763,0.83718234,0.8093768,0.9408091,0.39136642,0.9017566,1.1166515,1.4516735,1.4071085,0.9378723,0.23626882,0.3052342,0.73335916,1.1089847,0.87459546,1.0420436,0.68629044,0.85077727,0.64820623,0.77404684,1.2044126,0.636222,1.3122432,1.2971898,1.3163955,1.3186984,0.7637609,1.4518251,1.2180579,1.3613788,0.839095,1.3100692,1.2441882,0.4148277,1.2390229,1.3938388,0.5725024,1.0792105,0.5059083,1.3286575,1.2177745,1.3854167,0.6594831,0.7906135,0.9950663,1.2758193,0.75292945,0.64492846,1.3906436,0.78029174,0.25502115,1.1965722
bench,0.83854103,1.2439996,1.5056496,0.9437486,0.6676194,1.3963928,1.1285951,0.99912524,1.2498093,0.52387255,0.8761853,0.3453052,1.4199183,0.0,0.84942687,0.41427243,0.7320248,1.0107945,1.3623912,1.4818932,1.0211921,1.5050557,1.1109849,1.1162332,1.2245806,1.3139675,1.3141515,0.72739136,0.5603543,1.3473057,0.54439175,0.99530834,0.5465417,0.39158773,0.96558285,1.5636014,0.26881486,1.4828691,1.0782149,0.7692647,0.9815767,0.50590926,0.87607026,1.1427789,1.322255,1.4028566,1.1067302,0.724809,1.260309,1.2741153,1.2222077,1.4785337,1.1006738,0.90400386,1.4116634,0.9602343,1.1812909,0.87954605,1.0941343,0.89565027,1.3613725,1.1978037,0.72935236,1.3407631,0.43144774,1.3642243,0.9412315,1.2970684,1.1674099,1.1543051,0.6972084,1.1616616,1.1663522,0.8409912,1.422593,1.2123251,1.2992392,1.212811,1.3636508,0.81196547,0.9379221,0.56323963,0.4859932,1.1601596,1.5204208,1.4839987,1.2163649,0.7717892,1.2550472,0.9752815,1.4061424,1.2184677,1.3706006,1.5207132,0.93295044,1.184947,0.49810463,0.5714609,0.87692475,0.8488486,1.4119295,0.6334097,0.8537722,0.64923954,1.2489805,0.6084354,0.44646072,1.4421208,0.6483326,0.7892438,1.4404885,0.95077425,1.455967,0.6761278,0.66455925,0.636167,1.3245174,1.3232592,0.9865322,0.9039068,1.2064949,1.397063,0.747519,1.0030208,1.4811391,0.6134138
bib,0.8160049,1.1137468,1.2826198,0.79284716,0.93477106,1.1768503,0.95617574,0.8417696,1.0872407,0.8890649,1.022769,0.79036736,1.2508755,0.84942687,0.0,0.64390707,0.8665389,0.6586381,1.0068191,1.240215,0.93950504,1.3415439,1.2463211,0.98130804,1.3631792,1.1505222,1.2974514,0.92109746,0.9847505,1.1299976,1.0284096,0.9882903,0.9544469,0.8142854,0.97532594,1.3202006,0.9118538,1.1273263,1.0094615,0.94370186,0.949086,1.0497434,0.9972499,0.8506286,1.2612578,1.3190713,1.1735411,0.9129761,1.3412404,1.1402624,0.76030046,1.223427,0.7730893,0.85359776,1.2962829,0.81356776,0.80836433,1.0308883,0.8683392,1.0039737,0.67451864,1.0220443,0.759497,1.0607662,0.88513196,1.2108412,1.0900654,1.2001925,1.2063881,1.2016847,0.5384313,1.2324121,0.9883259,0.7499316,1.3628547,0.807258,1.3375754,1.2893543,1.3098664,1.0528052,0.97073776,0.7396622,0.925549,0.6420234,1.2997348,1.3140149,1.2576919,0.88811374,1.0678477,1.0307289,1.1151386,0.994853,1.3337852,1.1025887,0.6705003,1.1015239,0.99448407,0.78398156,0.98493457,0.70606023,0.929179,0.59440434,0.8338774,0.89543676,1.1632522,0.8283233,0.94998765,1.2334387,0.9047713,0.9402442,1.179474,0.84238786,1.2336329,0.9280624,0.9569247,0.84132934,1.073267,1.3808328,1.0008146,0.94711125,0.9094175,0.92641723,0.8525374,1.2047027,1.2652113,1.0118227
blanket,0.7321303,1.22795,1.558384,1.0515215,0.60212564,1.4243197,1.1425172,1.1039727,1.3960865,0.50608325,0.8393738,0.15061247,1.4395427,0.41427243,0.64390707,0.0,0.631191,0.91011107,1.329121,1.5219568,1.0680106,1.5428596,1.2222283,1.1278462,1.3770694,1.3139722,1.3940179,0.63994455,0.63598627,1.4720883,0.86490786,1.0973961,0.6267331,0.26672196,1.0718105,1.5565598,0.41370296,1.5089879,1.1942747,0.6948155,0.8988939,0.667143,0.9967758,0.9969243,1.3343508,1.3485907,1.0980792,0.71529996,1.277595,1.1393995,1.1539142,1.4568753,1.1053348,0.90082765,1.3883328,0.88510793,1.1171591,0.82238305,1.0963786,0.82052624,1.1874706,1.2576188,0.68247455,1.3379099,0.3990835,1.3696692,1.0924482,1.4528399,1.143028,1.2624116,0.56019807,1.2615926,1.1937032,0.8601235,1.459092,0.99973744,1.3196045,1.1943572,1.398423,1.0011251,0.93677294,0.2519107,0.5362133,0.9683958,1.5080593,1.5006373,1.2638024,0.71091056,1.3024222,1.011938,1.4073237,1.2690241,1.4260602,1.5016438,0.8618638,1.3611501,0.5814555,0.38388872,0.73453593,0.8414846,1.2998055,0.4536891,0.865189,0.6028986,1.2491798,0.51571774,0.6702226,1.4487331,0.63259494,0.6258458,1.3917906,1.0048797,1.4842992,0.7120427,0.65140134,0.4589703,1.3594875,1.310894,0.96872854,0.8888958,0.99055904,1.416675,0.7714559,1.1412518,1.4513755,0.58982027
boat,1.0473711,1.1297803,1.2346926,1.0736845,0.7275444,1.1097469,1.0557854,1.1220073,1.1171757,0.7909235,1.0062197,0.4256066,1.2186253,0.7320248,0.8665389,0.631191,0.0,0.8209062,1.0910474,1.2348521,0.8099389,1.3291032,1.0948299,1.0476027,1.1865596,1.1830642,1.2696388,0.95559597,0.84345937,1.1808215,0.8869615,0.8781246,0.8310873,0.6371312,1.0973946,1.3096507,0.6735994,1.1876433,1.0438744,0.9430163,1.0682237,0.7852636,1.0059366,1.01161,1.247727,1.1692647,1.0942909,0.8923071,1.2578233,1.1264783,1.1287465,1.3011936,1.1612544,0.87194705,1.2604554,1.005645,0.9459032,0.9918474,1.0571803,1.1088264,1.1985444,1.1745864,0.8388574,1.0609616,0.809922,1.2569553,1.0454664,1.279516,1.209837,1.1682606,0.8465367,1.1168256,1.1118925,0.8705393,1.2087721,1.128781,1.250218,1.2070637,1.1058542,1.0176709,0.9149822,0.754412,0.8359816,0.9867933,1.2963551,1.2734854,1.1353612,1.03279,1.1134101,1.0089941,1.1790086,1.171546,1.2393439,1.2106552,0.86613,1.2524531,0.74611485,0.63819015,0.9399238,0.89259076,1.1362716,0.7348075,1.0473267,1.0108341,1.1823257,0.7790398,0.7736116,1.2992592,0.8953006,0.93106854,1.3221009,1.0369637,1.2716408,0.8040556,0.78252923,0.3959176,1.2313282,1.222115,1.097288,1.0150405,1.1463338,1.1879263,0.7904073,1.0370317,1.1872969,0.5931911
book,0.9679131,1.0305647,1.1894027,1.0008131,1.0834091,1.2408736,0.82216805,1.0156684,0.7656013,1.0482898,1.3114835,0.89732194,1.1117594,1.0107945,0.6586381,0.91011107,0.8209062,0.0,0.630543,1.0014062,0.590948,1.269177,0.9925265,0.58158034,0.9918588,0.93842894,1.3141214,1.0645723,1.0116194,1.0838822,0.90199256,0.65358555,1.1506557,0.96197575,1.1400189,1.1510327,0.9968528,0.83398145,0.7910963,1.0099429,0.820962,1.1148951,0.90291667,0.8647994,1.250546,1.3471143,1.2456312,1.0611087,1.3491989,1.13698,0.8229945,0.9731369,1.1621177,0.76614,1.339058,0.7528854,0.3736409,1.154773,0.955497,1.124565,0.73117495,1.071154,1.0653684,0.7990768,1.2073781,0.967678,0.8899977,1.1456305,1.2415388,1.2215986,0.80690956,0.98127186,0.8782909,0.91654044,1.3816712,0.61572623,1.4012473,1.3820274,1.1644527,0.92700773,1.123078,1.0671026,1.2168186,0.5163541,1.123477,1.168448,1.2398553,0.8737981,0.7968515,0.828809,0.7844113,1.0398303,1.3378074,1.0273978,0.53995854,1.0441821,1.0620121,0.95521694,0.906699,0.89650714,0.7088702,1.030219,0.95871323,1.1610671,1.0302417,1.1122899,0.9033105,1.2985926,1.0705354,1.1087773,0.99701047,0.95617235,1.1872145,0.94399184,1.2499865,0.8005006,0.9839904,1.3680983,1.1299571,0.88530517,0.79220176,0.92114186,0.73027813,0.8972211,1.1515429,0.90601385
bottle,1.1909882,0.989948,0.7384333,1.0498521,1.2001641,0.8425967,0.78105724,1.0593592,0.5119574,1.2856123,1.3007729,1.3092101,0.7512765,1.3623912,1.0068191,1.329121,1.0910474,0.630543,0.0,0.61957645,0.78911126,0.861596,0.83107907,0.38353276,0.72128284,0.81355524,1.0812883,1.2780463,1.1810658,0.80027777,1.0565981,0.5819221,1.3408637,1.3009571,1.2558653,0.6427552,1.340552,0.19350529,0.9158335,1.2091957,1.006656,1.2672229,1.0819064,0.951142,1.0886,0.9799257,1.1801221,1.2549217,1.1647615,0.9792932,0.9459018,0.6646753,1.2243626,0.71247256,1.0270237,0.9644745,0.5764111,1.2325957,0.96611196,1.24797,0.72757053,1.0017643,1.2495425,0.23873508,1.4271567,0.63346803,0.8436729,0.92085373,1.1495916,1.1288366,1.2297981,0.8239008,0.79381347,1.1127684,0.9673742,0.70030314,1.1623437,1.2290695,0.7969026,0.95692587,1.1135471,1.3573941,1.3957686,0.92014366,0.66570294,0.7214474,1.0799845,1.1412047,0.7124324,0.91055596,0.68015766,0.94365704,1.0147973,0.7247536,0.8403057,0.93793684,1.2116274,1.2465476,1.1043949,1.0975778,0.49695706,1.3385777,1.1888855,1.3370672,0.74191755,1.2795838,1.2399852,0.97901,1.2933669,1.2562029,0.66971624,1.0279285,0.76701367,1.1467223,1.2648978,1.0490146,0.65816003,1.1371771,1.1452806,0.93404675,0.82132083,0.7809297,1.0052681,0.89226764,0.70615065,1.1039338
bowl,1.2737505,0.8881041,0.4713602,0.9855041,1.3890359,0.6427587,0.8330766,1.0256498,0.39216244,1.2344875,1.2524683,1.4836733,0.44513595,1.4818932,1.240215,1.5219568,1.2348521,1.0014062,0.61957645,0.0,0.86736083,0.35489798,0.8924383,0.8067929,0.5429733,0.64313745,0.8752532,1.3712695,1.1312561,0.5296444,1.187811,0.9085654,1.3644298,1.4591722,1.1431211,0.35690093,1.488955,0.2559334,0.8429626,1.320249,1.139799,1.4287353,1.0172887,1.0182384,0.87267697,0.58381224,1.0845282,1.4395516,0.9786637,0.78427696,0.95775914,0.3173061,1.0975285,1.1122471,0.7647377,1.0765256,0.9320187,1.388455,0.93613774,1.3615909,0.7209974,0.92685014,1.3824581,0.61373335,1.5865312,0.46557558,0.9188944,0.5292622,1.0732863,0.8645607,1.4557049,0.8804179,0.86174655,1.2731056,0.64982146,0.65003794,0.91758955,0.99487036,0.6050068,0.96524394,1.2228551,1.513746,1.5477743,0.9498997,0.36445928,0.47157073,0.89901567,1.1711825,0.6187806,1.0124084,0.3104359,0.8784248,0.5455598,0.34300512,0.9297997,0.67136186,1.404583,1.3629923,1.2315928,1.2970202,0.5650929,1.5496173,1.2145215,1.4235828,0.637187,1.1705667,1.2991792,0.5867245,1.3165148,1.3023713,0.3846048,1.1735356,0.50518185,1.3800111,1.3914254,1.2628851,0.32848424,0.9593445,1.0937679,1.2607088,0.6817559,0.6636032,1.0770205,0.95895845,0.41309094,1.335507
box,1.101637,1.0700439,0.9296831,1.0910174,1.1437175,1.0501496,0.9429103,1.0043516,0.7128396,1.0941952,1.1905992,0.98055226,1.0171194,1.0211921,0.93950504,1.0680106,0.8099389,0.590948,0.78911126,0.86736083,0.0,1.0455986,1.0116694,0.7583862,0.81839645,0.7973566,1.1037964,1.0779532,1.0144593,0.9174448,0.8585874,0.7484208,1.1118057,0.9496179,1.0947871,1.0306476,0.9782858,0.79244363,0.9192441,1.0637434,0.97898656,0.9905176,1.0464696,0.9159366,1.0845388,1.1148937,1.095134,1.0844028,1.2096152,1.0938324,0.8786248,1.0075023,1.078675,0.90870136,1.0833334,0.9895775,0.7722739,1.128877,1.011843,1.2368581,0.9058154,0.9611697,1.1194397,0.8190839,1.1972016,0.9867105,0.9073447,1.0182779,1.1061963,1.0504613,1.0198292,1.0377281,0.92858404,1.0524358,1.0503627,0.8984438,1.1588899,1.1717166,0.9471421,0.94406444,1.000832,1.0941976,1.1742351,0.8076099,1.0247675,1.0290622,1.1162074,0.9178379,0.9381407,0.8143386,0.9326185,0.9582696,1.1231816,0.9416536,0.5194607,0.9323897,0.96995896,1.0568401,0.97434986,1.0417237,0.860646,1.0885255,1.0679853,1.1678346,0.98528945,1.1413916,0.97621524,1.1002016,1.2008122,1.1321466,1.0263072,1.0789073,1.0365069,0.90568835,1.1788727,0.95236725,0.9433763,1.1669605,1.1216199,1.0923676,0.96024805,0.9305293,0.99802643,0.9617641,0.99133694,0.88074905
bread,1.1385882,0.94789886,0.3306778,1.014556,1.3259783,0.45262218,1.0638515,0.73471534,0.66560423,1.4487524,1.0398649,1.5389249,0.524519,1.5050557,1.3415439,1.5428596,1.3291032,1.269177,0.861596,0.35489798,1.0455986,0.0,0.99553335,1.1392413,0.693363,0.7079243,0.5536078,1.2112455,1.197716,0.5624877,1.2919319,1.1993756,1.3093503,1.5050654,0.86460584,0.36089253,1.4762166,0.55071187,0.9338193,1.1553538,1.0737952,1.4500573,1.3240643,1.0297587,0.69257617,0.41962188,1.012101,1.3708963,0.7975595,0.6832137,0.8361594,0.45959562,0.8444227,1.3022932,0.5939008,1.1162869,1.1183071,1.2376547,0.7388816,1.2485927,0.84405583,0.8429539,1.2305254,0.7583922,1.4787607,0.7040168,1.0793723,0.5814208,0.8837065,0.63363475,1.4193219,0.9691283,0.9918556,1.228797,0.39604008,0.844995,0.6984939,0.7190341,0.46433645,1.2322668,1.0005252,1.4379997,1.4356408,1.1249936,0.4094845,0.41378808,0.74015415,1.1658158,0.69826734,1.137048,0.5330931,0.8220275,0.15976477,0.3398453,1.1726068,0.7535236,1.5053433,1.4103296,1.1657314,1.2226754,0.75271416,1.4805355,1.2673042,1.3665347,0.8095219,1.3155164,1.3789878,0.5001787,1.3231801,1.164512,0.6086348,1.1820431,0.36975682,1.3633001,1.2867229,1.3626059,0.64393127,0.7268869,1.0718454,1.338151,0.7898597,0.5696887,1.2950662,1.1130961,0.39382786,1.4119008
broom,1.2329448,0.9826469,0.97147876,1.0614777,1.2311914,0.9738536,0.96465933,1.1461802,0.79384875,1.1651706,0.9957475,1.2196915,0.7017086,1.1109849,1.2463211,1.2222283,1.0948299,0.9925265,0.83107907,0.8924383,1.0116694,0.99553335,0.0,0.7463317,0.5331806,0.8775079,0.96228045,1.2419858,1.0733316,0.82931924,0.9084537,0.94782764,1.1293215,1.1505749,1.171721,0.68428266,1.1354182,0.8134799,1.0752285,1.215536,1.1445968,0.9443348,0.87711036,0.97831064,1.0001472,1.08774,1.0795432,1.2223686,1.0744671,1.0450082,1.1635659,0.84157586,1.1748754,1.0477711,1.0104839,1.1034244,0.98971117,1.2010404,1.2271494,1.2365685,1.0246166,1.0112443,1.179069,0.80989254,1.1444273,0.6154419,0.6795798,0.8672137,0.9883205,1.063283,1.2843969,0.039976716,0.8475947,1.205015,0.985467,0.9445739,1.0147951,1.1341085,0.89924,0.8120937,1.1800691,1.227526,1.0883439,1.0428542,0.7259801,0.77894866,0.8433257,1.1187979,1.014699,0.88972265,0.97803646,1.0136468,1.0280278,1.0415626,1.0037653,0.7641079,0.99945533,1.2530199,1.0942556,1.224105,0.89709,1.2727487,1.0465285,1.1009116,0.57782304,1.2273301,0.868778,0.80822885,1.2041974,1.180956,0.7865964,0.9371385,0.9080877,0.9358624,1.1310768,1.1876848,0.89822173,1.0436233,1.0567688,1.0119557,0.83268976,0.9299027,1.2465076,0.11506736,0.88911384,0.9928533
bucket,1.0899327,1.0024083,1.1208835,1.0583464,1.0809458,1.2142193,0.7912762,1.1736612,0.6590738,1.0299091,1.0817312,1.1176946,0.9865321,1.1162332,0.98130804,1.1278462,1.0476027,0.58158034,0.38353276,0.8067929,0.7583862,1.1392413,0.7463317,0.0,0.53332704,0.83311194,1.1413054,1.1371382,0.9445456,0.95859516,0.8791296,0.38845873,1.236981,1.0363443,1.2852594,1.0400985,1.1205931,0.5049195,0.85272986,1.1312821,0.9748411,0.9833836,0.92063737,0.90255123,1.133624,1.2133827,1.2235903,1.2159256,1.2018014,1.1007761,1.0184963,0.97049135,1.2701778,0.7230816,1.2055228,0.8810818,0.7416307,1.1954936,1.2001355,1.1623182,0.76697534,0.9771107,1.1638887,0.6630519,1.1694181,0.89599645,0.82879454,0.8951948,1.0405982,1.1800873,1.0260181,0.77237016,0.860784,1.1385964,1.2355402,0.73987055,1.1790156,1.2476585,1.0925922,0.7486974,1.176554,1.154401,1.1615901,0.85731137,1.0281924,1.073412,1.0704927,0.90932643,0.94763565,0.7389064,0.87935734,0.949311,1.1679239,0.9835807,0.6765679,0.9236625,0.864309,1.1757282,0.97537816,1.1475868,0.8144592,1.1216598,1.0812197,1.014353,0.8120933,1.1086197,1.0715712,1.1257651,1.2673815,1.1175234,0.9610352,1.0265393,1.0918565,0.9328481,1.1118765,1.0194851,0.8757033,1.1934652,1.1146126,0.99924076,0.83431387,1.1191213,0.9033502,0.7570593,1.0348002,0.9107208
can,1.3591156,0.99341345,0.7638663,1.1408365,1.2900375,0.9098703,1.0080212,1.1980524,0.6100779,1.1327851,0.9784694,1.279973,0.5163272,1.2245806,1.3631792,1.3770694,1.1865596,0.9918588,0.72128284,0.5429733,0.81839645,0.693363,0.5331806,0.53332704,0.0,0.5167948,0.79481226,1.309994,0.8818501,0.6393354,0.8491963,0.7794752,1.1956891,1.1861411,1.2149022,0.5493173,1.1360741,0.5570481,1.0561113,1.3531696,1.2562702,0.8884405,0.9935956,1.1464106,0.76364136,0.8730664,1.130295,1.3735111,0.9386348,0.80450475,1.1249152,0.69952476,1.2564003,1.167097,0.808059,1.17468,1.0837795,1.176081,1.2496381,1.2895113,0.94343793,0.93977135,1.3151761,0.7472355,1.292454,0.6690186,0.7396343,0.6127523,0.8214503,0.8566368,1.4274449,0.5969014,0.9310651,1.3525827,0.7482278,0.8501314,0.77049744,0.9646686,0.64236236,0.6674485,1.227725,1.3792529,1.2154856,0.97457486,0.54910207,0.59775484,0.7408991,0.84444267,1.0559199,0.7462195,0.84637004,0.9704728,0.7307557,0.8711577,0.9773105,0.6604657,0.93978685,1.2895832,1.1284102,1.4087802,0.8933856,1.3565547,1.1848507,1.0832609,0.6540138,1.2598333,1.1170137,0.6256604,1.3111372,1.3299186,0.7144356,1.2298917,0.7429017,1.1378716,1.13461,1.3191619,0.78907484,0.86767924,1.0869412,1.2457207,0.8417691,1.0429482,1.3306948,0.57147974,0.595482,0.9139554
car,1.3214374,1.0866791,0.72602415,1.0450552,1.2771596,0.807907,1.1438289,1.1124456,0.75435734,1.1526846,0.8537264,1.2851176,0.6340358,1.3139675,1.1505222,1.3139722,1.1830642,0.93842894,0.81355524,0.64313745,0.7973566,0.7079243,0.8775079,0.83311194,0.5167948,0.0,0.7675562,1.2291808,0.9891565,0.6835984,1.1110258,0.94208527,1.1045903,1.2665807,1.0259734,0.5446845,1.2412575,0.6823536,1.18216,1.2850456,1.2740896,1.1271503,1.042696,1.1234229,0.6725298,0.8265017,1.0162604,1.2767426,0.862109,0.75444853,1.0935739,0.6788621,0.91513544,1.2745981,0.6751071,1.1706269,1.0211374,1.1061414,1.1603119,1.26367,0.96358806,0.7010266,1.2786255,0.8228065,1.3207837,0.7201793,0.87025476,0.6743883,0.76592076,0.7164523,1.3735461,0.9155203,0.9029989,1.3135879,0.682325,0.9093722,0.7630585,0.92297506,0.7098175,0.93658435,1.0729113,1.338169,1.2849944,0.9677235,0.51572394,0.53877187,0.68658566,0.8256974,0.9965544,0.9374608,0.8423718,0.7627756,0.774884,0.8148351,0.9580145,0.69715035,1.1348104,1.1414766,1.145663,1.3373598,0.7921121,1.2610795,1.130539,1.1747284,0.7985964,1.11728,1.268304,0.5911743,1.229372,1.3231062,0.7063457,1.1637913,0.69063854,1.1710212,1.1116287,1.3059301,0.8145131,0.8653536,0.98241276,1.2362907,0.89992166,0.9451444,1.3369491,0.9101,0.61194044,0.98386765
carrot,1.2689685,0.9185128,0.6545977,0.92650545,1.0505269,0.69327176,1.1851152,0.6173081,1.1276565,1.3416747,0.8807684,1.4358083,0.8308227,1.3141515,1.2974514,1.3940179,1.2696388,1.3141214,1.0812883,0.8752532,1.1037964,0.5536078,0.96228045,1.1413054,0.79481226,0.7675562,0.0,1.2903252,1.2820375,0.9204636,1.3736291,1.2015522,1.0496811,1.3555889,0.42305934,0.70119953,1.319643,0.98632234,1.0932913,1.2773736,1.2958031,1.2586987,1.1934857,1.1298898,0.39840138,0.54698044,0.7232556,1.1970278,0.30070668,0.79043394,0.91401094,0.9420716,0.8367871,1.2493384,0.5700437,1.3964198,1.1225042,1.059508,0.94874996,0.8065803,1.1534634,0.86450154,1.1634078,1.0114964,1.1211587,1.0149561,1.2952881,0.73755354,0.54530966,0.44697136,1.2525227,0.9055125,1.1553068,1.0391169,0.4599073,1.1665403,0.41712725,0.45259255,0.7456144,1.2225623,1.0203028,1.2829562,1.1075858,1.0937334,0.7870909,0.7394545,0.5764571,0.92154145,1.0559515,1.2449933,1.037015,0.9392331,0.5669202,0.7317587,1.179054,0.83015704,1.239519,1.2634196,1.2385403,1.0561079,1.1052881,1.2098373,1.098526,0.95112455,0.887583,1.2900949,1.3292868,0.5525599,1.2224756,1.0649377,0.94378465,1.0261191,0.72357714,1.2384274,1.0711786,1.3250954,0.99193686,0.32194334,0.8771197,1.0565816,1.137218,0.8751051,1.3024085,1.0710359,0.7623881,1.2923375
cat,0.32819676,1.0894438,1.3524284,1.0661528,0.86446536,1.2294345,1.0940795,1.1353225,1.2680882,0.7252742,0.7712649,0.64982617,1.3490044,0.72739136,0.92109746,0.63994455,0.95559597,1.0645723,1.2780463,1.3712695,1.0779532,1.2112455,1.2419858,1.1371382,1.309994,1.2291808,1.2903252,0.0,0.8548671,1.3042909,0.89089704,1.0504214,0.71203256,0.71423966,1.0755724,1.4199548,0.6620332,1.3590236,1.1165212,0.11579871,0.7394735,0.70849013,1.0300635,0.9709022,1.2347779,1.2914839,1.0850365,0.7752023,1.2584405,1.0404384,1.0721923,1.3293431,0.9018376,1.0105873,1.2432092,0.709962,1.2091707,0.7353033,1.0634176,0.95841473,1.1730316,0.9035335,0.7438543,1.2233263,0.70134294,1.3061469,1.0286936,1.317012,1.0898013,1.1639702,0.7970239,1.2677761,1.1060326,0.9392587,1.3235698,1.1625367,1.2509198,1.0680776,1.2321315,0.95439446,0.50390565,0.66865003,0.78451586,1.0979418,1.4018153,1.3547149,1.1465274,0.9322269,1.1237252,0.96326596,1.2777286,0.89580584,1.0617704,1.2653092,1.1133678,1.2250128,0.7303169,0.78594065,0.54491687,0.9066374,1.3081409,0.7370044,0.94830006,0.8665154,1.2959859,0.8144745,0.7946763,1.3493491,0.8116565,0.7452415,1.3541036,1.0738342,1.2815173,0.7922207,0.8227105,0.838755,1.3223826,1.2403487,1.0479794,1.0792056,1.0969379,1.2869897,0.9635134,1.1518029,1.3262745,0.8494653
