,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,can,car,carrot,cat,chair,chips,clock,closet,coffee,comb,cookie,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,firetruck,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hand,hat,horse,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,mitten,mop,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pig,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,refrigerator,rooster,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
alligator,0.0,1.0975089,1.3806493,1.1604891,0.8529821,1.2637907,1.212819,1.0006734,1.0419632,0.764644,0.66364187,1.4062041,0.89191926,0.7204649,0.9060093,0.7316567,0.92735076,0.8089919,1.4096297,1.2773595,0.84964824,1.2824577,1.237821,1.1681341,1.4194553,1.1738399,0.8675163,0.7873167,1.1515169,0.727549,1.3136047,0.87400615,1.3254147,0.9518105,0.9765419,0.7294833,0.9641483,1.3340039,0.7530378,1.3037639,0.66368234,0.9021462,0.85808504,0.97068834,0.8190514,1.3370116,1.2968074,1.0535504,0.9459579,0.71328163,1.1990803,0.9363711,0.99152154,0.9314449,1.2077273,1.3236458,0.41282916,0.8086417,1.3017704,0.93654275,0.954998,1.1012843,0.75744617,0.98250407,1.330265,0.8036227,0.8483825,1.1929829,0.7973254,1.4342988,0.8886888,1.3570544,1.115467,0.40537298,0.751408,0.7067247,1.1694272,0.8950548,0.93075866,1.0211347,1.3756732,1.3282685,1.4082689,1.0417064,1.0021294,0.9512884,1.0436602,0.82300025,0.87471324,0.55378985,1.3487847,1.4202399,0.9479535,0.5914333,1.2586293,1.1550041,1.1515476,1.1656723,0.7853434,1.0587842,0.79581213,1.0504737,1.1497008,0.68279165,0.6786571,1.0682435,1.2248143,0.96805024,0.7499584,1.1511118,0.97547734,1.431317,1.0349303,0.8455477,0.7466948,1.4342642,0.85173994,1.135372,0.9842638,1.4304229,1.0923342,1.2474438,0.9342802,0.7605013,0.718583,1.2286767,1.2999648,1.2771753,1.0772933,1.1650511,0.93760526,0.71082777,0.8207335,1.342983,1.33799,0.87419933
ankle,1.0975089,0.0,1.083411,0.9930681,0.7860347,1.0919288,1.122146,1.2382605,1.0628359,1.1395596,0.9686943,1.055746,1.1102676,0.9457332,0.9803594,0.9234488,1.0915996,1.1201478,1.1248665,1.144912,1.0759804,1.145462,0.9701682,1.0646744,0.8830899,0.97645557,1.0487901,0.77441025,0.9051245,0.9514743,1.0419813,1.035559,1.0900321,1.0576276,0.8713981,0.8577253,1.1658487,1.1864682,1.0639443,1.1105771,0.9586757,0.8513813,0.99769944,1.0191584,0.8351697,0.95639527,1.1780473,0.89215297,1.0065628,0.9063077,0.99640656,1.0274868,1.0883198,0.9480024,0.9617118,1.1710603,1.0521019,0.8608998,0.9381974,0.77128625,0.98201466,1.0900126,0.7589435,0.8954903,0.83104765,1.0467759,0.92031926,1.0852392,0.9101591,1.1146204,0.9820727,1.085583,1.0466683,1.0750763,1.1773293,0.85849905,0.95269436,0.81351924,0.9382742,1.0947214,1.1126058,0.9328841,0.8750428,0.8182627,1.17348,0.9678527,1.0319589,0.86905044,0.8852808,1.149037,1.14765,1.0812018,1.172137,1.0653328,0.63697946,1.12329,1.0517389,1.1503797,1.0392392,0.8738995,1.0076278,0.8970124,0.97256184,1.0923561,0.97324175,1.119421,0.90061593,1.0211936,0.871069,0.852504,0.84201694,1.0771916,1.0689594,1.0813853,1.1789888,0.85859704,0.9818462,0.88482845,1.1820755,1.1119802,0.99572915,1.1255423,0.7209884,0.9416019,1.0316547,1.1506065,0.87477565,1.0127923,1.0124334,0.8967521,1.1052985,1.1779627,1.1042709,1.009529,0.96560687,0.9955902
apple,1.3806493,1.083411,0.0,0.7366816,1.4634008,0.59540796,0.811333,0.7413385,1.1097445,1.5143299,1.6033912,0.33795333,1.3428011,1.3030998,1.0716194,1.5717254,1.2547349,1.1245701,0.42687237,0.7112192,1.3615505,0.62864244,0.9700546,1.038362,0.8280367,0.8565891,0.7989819,1.3228266,1.163978,1.0403239,0.5874572,1.4054959,0.7665938,1.2702861,1.1499474,1.5528944,0.6562628,0.29551703,1.472769,0.582249,1.4171891,1.1495514,1.4772371,1.3872926,1.3827984,0.48367321,0.26379597,1.0740796,0.92440367,1.2570634,0.59734076,1.1331725,0.7113044,0.96276057,0.5215458,0.61727804,0.9336337,1.3616685,0.5117759,1.2643989,1.1912172,0.4996757,1.2953011,1.1862414,0.4153127,0.94683164,1.3487968,0.89893335,1.4997069,0.4115916,1.4941409,0.43606704,0.6188562,1.29455,0.9686954,1.3831193,1.1074282,1.3477032,1.0252331,1.1189296,0.13535827,0.688253,0.54124403,0.9616215,0.68721163,1.3937228,0.8834087,1.4719927,1.3572111,1.3898981,0.3903116,0.39192802,0.7715093,1.2612605,1.0737867,0.9217049,0.6158671,0.90508497,0.90534467,0.73411,1.1072986,1.2153951,0.9815537,1.5300679,0.82213974,0.86883867,0.8510809,1.0579733,1.4216111,1.1015365,1.2930789,0.5658186,1.1751863,1.3707025,1.3901724,0.37584317,1.36942,0.8070278,0.8918527,0.42777294,0.861292,0.26971936,1.3677646,1.3494234,1.3889931,0.786101,0.5765964,0.44572163,1.0806036,0.97468686,0.76324326,1.4517589,1.2466972,0.81904066,0.32888198,1.3366617
applesauce,1.1604891,0.9930681,0.7366816,0.0,1.1683381,1.0153445,1.1149535,0.9508431,1.1588122,1.2568905,1.3026743,0.94555384,1.2872214,1.1094854,0.98701084,1.2292172,1.1353976,1.1708461,0.9456232,0.94065905,1.2186011,0.79633975,1.0873388,1.0952301,1.1101315,1.1851939,0.8245022,1.2034221,1.2114328,0.94590175,0.9275275,1.1393921,0.98266906,1.0242988,0.9573159,1.2639958,0.60412735,0.84661585,1.2743692,0.9393109,1.2102764,1.1780558,1.216647,1.0916226,1.1714836,0.7021027,0.8250848,1.1788288,0.83193254,0.8540164,0.6588179,1.0653667,0.9473787,1.0952094,0.79634476,0.9555221,0.9469313,0.90843517,0.44451493,1.0485884,1.0850751,0.56991494,0.91721845,0.86405003,0.85359883,1.06417,1.128797,1.0384508,1.1363568,0.9645493,1.2701899,0.9410354,0.8476663,1.1151978,1.0022782,1.1654584,1.0793196,1.2593489,0.5524446,1.0280247,0.76661,1.0337554,0.57981384,0.6230471,1.0295515,1.2394443,1.0321469,1.1871886,1.0658833,1.22029,0.89410555,0.70784974,0.9694839,1.1602091,1.1630757,0.8874502,0.98486656,0.92129517,1.1114813,0.8022344,1.0383507,1.2355362,1.1151245,1.2497699,1.0027727,1.0127008,1.0302765,0.9781207,1.0823758,0.94749296,0.9898469,1.0185486,1.0447985,1.1032691,1.2118272,0.70923537,1.1533307,0.8981023,0.9458628,0.87614316,0.9487403,0.7963848,1.2159251,1.0237324,1.1495404,0.94824654,0.6017981,0.64242595,0.86037236,1.1490021,0.9869748,1.1082929,1.2188816,1.1609871,0.72235215,1.2761401
arm,0.8529821,0.7860347,1.4634008,1.1683381,0.0,1.1763675,1.1429343,1.0342103,1.1481028,0.74970186,0.49115628,1.4524837,0.9971934,0.88418657,1.1671071,0.5142887,0.90408266,1.1105472,1.3554487,1.3106015,0.9727195,1.3335603,1.14182,1.179305,1.22025,1.2143707,1.1302752,0.75768363,0.89592254,1.009164,1.3796012,0.7818608,1.2527454,0.8222317,0.9146131,0.46327502,1.2002978,1.4024584,0.7976955,1.3608633,0.72973084,1.0217777,0.70860183,0.89810604,0.5845521,1.2549974,1.4177988,0.8502883,0.99150324,0.6101437,0.95906836,0.9262812,1.2689972,1.0231991,1.2469616,1.4041423,1.2100565,0.51249015,1.2435852,0.6898087,0.88006294,1.1752701,0.6031207,0.45843118,1.277643,1.2261025,0.6624793,1.1270242,0.54063016,1.3829564,0.7191601,1.403737,1.2583096,0.8834917,0.96728903,0.43344438,1.0699989,0.7794775,0.89938486,0.7679067,1.4516604,1.3529198,1.1044236,0.8183559,1.1807636,0.8143085,1.2695053,0.51050305,0.59586966,0.8390827,1.3845851,1.3072541,1.0795605,0.9456285,0.779497,1.1790292,1.3747092,1.2155284,1.2727969,1.1717521,1.0100979,0.9775061,1.1540557,0.60440767,1.339375,1.1732442,1.1172031,1.1680937,0.47891366,0.99527675,0.64845836,1.3324655,1.0423932,0.75390506,0.88396466,1.3026173,0.8566787,0.9758062,1.2540381,1.4587662,1.1434095,1.3654183,0.7164781,0.5422728,0.67558974,1.284096,0.99401194,1.2617921,0.80304575,1.226529,1.3046417,0.6306331,0.8697326,1.2030128,1.3783567,0.86904186
ball,1.2637907,1.0919288,0.59540796,1.0153445,1.1763675,0.0,0.27179164,0.90198123,0.98703164,1.246391,1.2936199,0.8733628,1.2694435,1.2149566,1.0530565,1.3079226,1.145713,1.0397058,0.7744291,0.75165796,1.0950087,0.9033873,1.0009414,0.9066154,1.004567,0.97906125,0.94887316,1.1364131,1.1831721,1.1928124,0.582215,1.2817535,0.77011263,1.1358589,0.92051184,1.245534,0.93435043,0.7948781,1.2918563,0.8116913,1.1400337,0.947948,1.2570411,1.1407945,1.2582383,0.9152723,0.3608938,1.0407085,1.0088441,1.1292996,0.8961486,1.1543754,0.96663946,0.97743994,0.8796766,0.94791776,1.0699109,1.0732757,0.9623485,1.1082389,0.95921564,0.8099282,1.2297943,1.0755513,0.82979447,1.0132978,1.3429843,0.8035629,1.3209177,0.9471756,1.3228526,0.7195572,0.9175328,1.183162,0.84018064,1.1427814,1.0732177,1.1242982,1.0983996,0.9098043,0.62134737,0.94029367,0.971579,0.8986781,0.6583797,1.2593869,1.0150989,1.297069,1.2995846,1.0237532,0.86254215,0.8654539,0.8743373,1.1554978,1.0302497,0.9543237,0.8483511,0.8790958,0.88839495,0.9365439,1.0075393,1.1844527,0.98246264,1.3199215,0.948676,0.6860392,0.98003036,1.1792892,1.3141563,0.9736675,1.1913627,0.9032868,1.0751394,1.0184518,1.210538,0.8320644,1.0695568,0.86683464,0.6981108,0.9052938,0.84292847,0.8733666,1.2087725,1.2491372,1.1787037,0.76611817,0.86766565,0.8406936,1.1432779,1.0289546,0.73750734,1.0537441,0.9880434,1.0219948,0.83216035,1.1467527
balloon,1.212819,1.122146,0.811333,1.1149535,1.1429343,0.27179164,0.0,0.90539753,0.72850263,1.0927268,1.2076367,1.0482016,1.1895466,1.232535,1.1238708,1.3208945,1.0883378,0.94029826,0.76617014,0.58627486,0.8363502,0.8979206,0.95155746,0.6308861,0.9184933,1.0098321,1.0723014,1.2270004,1.0460943,1.199225,0.7280868,1.1970232,0.6404545,1.1199236,0.91110533,1.2127491,1.1621253,0.94895107,1.1441808,0.704354,1.1265643,0.8460526,1.1487275,1.0743032,1.192823,1.066998,0.5699168,1.0757345,1.1979709,1.1454856,1.0795914,1.1874225,1.1020737,1.0180373,1.1249821,0.8635516,1.1452527,1.027994,1.0516073,1.1214144,1.1169266,1.0795135,1.2506363,1.1163298,0.93546367,1.0419964,1.3456306,0.6733525,1.3559551,0.9627445,1.1861421,0.6513091,1.1269187,1.1301105,0.80152524,1.1217511,1.0456953,1.134225,1.1778167,0.8116181,0.86781454,0.8128474,1.0658923,1.0329357,0.74232554,1.1716182,1.0547855,1.2943382,1.3206675,0.89214003,1.0117035,1.022888,0.89431787,1.1869045,1.0169104,0.8774073,0.8796602,0.74841636,0.89070094,1.1014936,0.8511346,1.0080055,0.79674536,1.1694825,0.93909,0.57947266,0.9588831,1.0667869,1.2869493,0.9169164,1.272939,0.81456983,0.93707335,0.95289946,1.0839945,0.9925386,1.1274486,1.0167396,0.5812485,0.89138335,0.95017695,1.0462506,1.203642,1.2582397,1.0850924,0.6686145,1.0290695,1.058207,1.2038687,0.89269793,0.7074137,0.95735824,1.0039885,0.9703272,1.0350757,1.0812947
banana,1.0006734,1.2382605,0.7413385,0.9508431,1.0342103,0.90198123,0.90539753,0.0,0.97665167,1.0920658,1.2012802,0.8661561,1.0123268,1.2661866,1.1744902,1.2793541,1.0140173,0.9717014,0.7863337,0.69841135,1.1677077,0.60675806,0.9967708,0.972626,1.1051121,1.0133845,0.9035917,1.3011258,1.1457113,0.94531757,0.9633175,1.2243426,1.0009884,1.0065775,1.1193514,1.2555146,0.51065755,0.72827923,1.156565,0.77197665,1.1564275,1.0598009,1.2972965,1.1473044,1.2373607,1.0965211,0.6377976,1.0966874,1.025961,1.1673092,0.8828836,1.061715,0.8389039,0.947613,0.9709942,0.71725225,1.0073923,1.1184187,1.0708753,1.0675642,1.162208,0.8077837,1.2504971,1.015795,0.9620453,1.1491983,1.29088,0.9273952,1.281023,0.714904,1.2097412,0.8202218,1.0675608,1.1255634,0.5673643,1.0036843,1.0445893,1.2732272,1.09302,0.8338478,0.8688077,0.7617887,1.0319028,1.1413391,0.82413435,1.2222369,1.0997039,1.2685628,1.2786353,1.0321246,0.81810856,0.7776017,0.41876388,1.1200311,1.0615653,0.70934623,0.8412119,0.64106977,1.0735161,0.9155433,0.8888127,1.1442392,1.0267184,1.1889526,0.9930713,0.85783637,1.0048606,0.80529565,1.2655575,1.0643921,1.2526569,0.725995,1.162194,1.0030186,0.98573005,0.9065351,1.1742939,0.9836198,0.71175295,0.6708326,1.023277,0.7522476,1.1871507,1.1895294,1.0062786,0.65563226,0.98037565,0.921582,0.90853906,0.8836142,0.71987593,0.91909957,1.114394,1.0191989,0.92179596,1.1651418
basket,1.0419632,1.0628359,1.1097445,1.1588122,1.1481028,0.98703164,0.72850263,0.97665167,0.0,1.0902311,1.1136881,1.0432161,0.94296885,0.9925492,1.1274672,1.2529352,0.9535174,0.7475713,0.78081155,0.42930412,0.45618194,0.77458537,1.0191677,0.30532515,0.86821765,0.92215997,1.2151365,1.2310232,0.9230913,1.1867127,1.0169597,1.0728277,0.65618277,1.0827414,1.0932146,1.1740621,1.2728866,1.1121839,0.66263247,0.4243986,1.0254813,0.774714,1.1292326,1.0295644,1.0790243,1.2224864,1.1130332,1.0967009,1.3916688,1.1987737,1.2834848,1.0795504,1.1682452,0.93728924,1.2688766,0.7634935,1.1242179,1.0188359,1.2144332,0.99664545,1.2110387,1.253573,1.2882178,1.1099173,1.3032734,0.98538554,1.2971426,0.59147036,1.3327479,0.95979047,0.868374,0.94163775,1.2212284,1.0291401,0.8013894,1.132078,1.0500603,0.95052594,1.290301,0.70824945,1.1829323,0.78043383,1.2514067,1.28436,0.98414606,1.0079528,0.85098696,1.1757444,1.3234361,0.91027707,1.1541617,1.1719692,0.985335,1.10853,1.0336816,0.6724011,0.80392456,0.68660754,0.9036182,1.3663119,0.82999504,0.7596605,0.674,1.056181,0.97423184,0.6599256,0.8462685,0.867787,1.2843132,0.9137959,1.2482253,0.8793307,0.7991846,1.0340824,0.9754937,1.2136443,1.1110251,1.1896974,0.6436978,0.92638195,1.1859177,1.1266408,1.0392586,1.2527118,0.863579,0.6471305,1.2410797,1.2913637,1.276215,0.6889437,0.689041,0.9345014,0.9845303,0.96348524,1.2311347,1.0034609
bathtub,0.764644,1.1395596,1.5143299,1.2568905,0.74970186,1.246391,1.0927268,1.0920658,1.0902311,0.0,0.46246862,1.3369347,0.51049006,0.98906,1.0209614,0.5660807,0.6501827,1.1357648,1.4087925,1.1994463,0.89215577,1.3323681,1.0794196,1.0746142,1.084065,0.87890434,1.1055533,0.6984635,0.73773634,1.0812901,1.2962326,0.3756132,1.2102381,0.75392675,0.9727648,0.5919043,1.3024617,1.3409264,0.62837774,1.4000077,0.8355136,1.2255385,0.30657285,0.5750839,0.84818554,1.3613887,1.3940697,0.8606091,0.98877335,0.876277,1.3182981,0.8803612,1.1857815,1.1562942,1.286578,1.2557523,1.2057776,0.7723366,1.3965291,1.2241824,0.6102325,1.446156,0.8836784,1.0682201,1.3861823,1.2507939,0.6789588,1.1990533,0.60893255,1.3186882,0.67332375,1.3422841,1.1984891,0.9246685,0.9346012,0.82932216,0.9662692,0.78189945,1.0543556,1.0699384,1.4377549,1.3941569,1.4257784,1.1849477,1.0417078,0.40232122,1.261289,0.74401605,0.6601517,0.8790952,1.2559944,1.4307852,1.0244339,0.9132566,1.1779765,1.1836632,1.4388462,0.9898092,1.215141,1.1641363,1.0566752,1.1106005,1.0799023,0.36615908,1.3069999,1.07937,1.2792603,1.0354468,0.6805656,1.2398162,0.86627823,1.3377341,0.5490023,0.37057936,0.4464783,1.5679318,0.6264904,1.1609174,1.0752265,1.3497003,1.0490462,1.451943,0.88204527,0.7713451,0.6886194,1.1589037,1.4142148,1.2547581,1.0508403,1.2722871,1.3048017,0.4735173,0.7218397,1.092501,1.4200616,0.6022433
