,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,can,car,carrot,cat,chair,clock,closet,comb,couch,cracker,crayon,crib,cup,deer,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,firetruck,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,helicopter,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pillow,plant,plate,pony,pumpkin,purse,radio,refrigerator,rooster,sauce,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tricycle,vacuum,watch,window
bed,0.86141336,1.3295534,1.4298996,0.6127953,1.1162099,1.1934891,1.4617337,1.1292813,0.44890255,0.67369795,0.0,1.4732697,0.27911174,0.8270749,0.23133957,0.84882045,1.4430381,1.4660938,1.1630423,1.1276268,1.4065468,0.87357485,1.3685255,1.3715599,0.6413272,1.2788446,0.5543755,0.75622636,1.2767463,0.4291492,0.91451293,0.25016248,1.0332288,1.5216002,0.40888053,1.5535803,1.2608063,0.5551672,1.2207751,0.6474631,0.7444229,0.7232859,1.3949165,1.4880761,0.60410774,1.1670886,0.77735007,1.3289844,0.582139,0.86816496,1.0076445,1.1639487,1.6075075,0.79690015,1.0541285,1.4441307,1.1833994,1.5588603,0.84788406,1.1629256,0.93744445,1.3380942,1.0251309,0.70162386,0.8478548,1.1460401,0.57950985,1.4885876,0.5794221,0.9847487,1.0423344,0.8074473,0.7239987,0.94376594,0.9126573,0.53826517,1.3746549,0.9969075,1.4477165,1.3391647,1.3919137,1.1388421,1.3920074,0.6895452,1.0436451,0.52865696,0.5870737,0.80478597,1.3827052,1.4403807,1.2411804,1.2122746,1.4857216,1.2424841,1.4490726,1.1477201,1.314415,0.5610434,1.0232302,1.3342807,0.85303855,0.5164353,0.8987659,0.8929037,0.9406479,0.8799676,0.536531,1.5629553,0.35738796,1.4052706,1.2208906,1.1788102,1.5866437,1.2078922,0.68508554,0.48470533,0.27850127,1.468009,1.4549258,1.4145362,1.0467851,1.4265206,1.1360476,1.1450642,1.0716008,1.2891668,1.5880651,0.6031034
belt,1.1324836,0.8192252,0.5319408,1.4152396,0.99563307,0.9689802,0.6597566,0.82487535,1.3834419,1.1563982,1.4732697,0.0,1.3509858,1.3995849,1.4650862,0.9889594,0.42759103,0.6488202,0.92390054,0.85065055,0.82247424,1.1916999,0.6725373,0.47015983,1.0271904,0.9422406,1.1229566,1.0406936,0.7593796,1.2605988,1.0916148,1.3251408,1.0882025,0.23107028,1.3628725,0.4682098,0.86598575,1.3273735,1.0536001,1.1776483,1.0853882,1.3521285,0.8229537,0.66258305,1.1673276,0.94360596,1.2871174,0.90015316,1.3454065,1.0627072,1.0662025,1.1026558,0.45508868,1.3542655,0.9958537,0.6503706,1.1262636,0.63935786,1.2846466,1.0205235,1.3453721,0.8289261,1.1101027,1.3123295,1.2241411,1.0329607,1.3202626,0.40236014,1.2402123,0.9501156,1.2228336,1.3623083,1.4551806,1.0888045,1.3399433,1.3294449,0.40698004,1.3625472,0.4998318,0.69922346,0.7182021,1.1739722,0.6652443,1.2042722,1.1139445,1.4290665,1.3242722,1.0502515,0.30981869,0.28497863,0.45579362,0.7817448,0.5219846,0.92718357,0.6142775,1.080592,0.42103946,1.231135,1.0892662,0.30676234,1.2299093,1.3894306,1.2213826,1.2007912,1.1635357,0.8484496,1.3531507,0.26062346,1.3273339,0.48535752,0.84224796,0.94130516,0.3935864,0.91092354,1.3488412,1.3968703,1.492051,0.4480163,0.827954,0.6012466,1.2197952,0.5908735,0.97677237,0.8767319,1.0584155,0.69039804,0.39211363,1.1121278
bench,0.9683201,1.2127751,1.5003797,0.69013304,1.2873768,1.2973653,1.4737337,0.8919544,0.37897158,0.85271484,0.27911174,1.3509858,0.0,0.9557344,0.5607632,0.7896877,1.2433736,1.398139,1.1062151,0.85252905,1.3280487,0.8438385,1.3012657,1.0950923,0.6763449,1.2525489,0.63874793,0.34660256,1.1793691,0.50323474,0.88272727,0.2514931,1.055671,1.4720293,0.28950983,1.4385865,1.2852527,0.6829993,1.197121,0.4719739,0.44647735,0.8097836,1.2078738,1.4596777,0.8158819,1.1820941,0.93706274,1.2953479,0.48206383,1.047837,1.00106,1.1489966,1.4729301,1.079653,1.0318455,1.4140911,1.1559001,1.6274242,0.9200256,1.2086228,1.0054634,1.3465278,0.94613767,0.8258244,0.9301761,1.0937908,0.6088325,1.2663348,0.47698092,0.9692905,1.0079614,0.9610814,0.9274489,1.0690327,1.0521196,0.6307471,1.1844358,1.0092608,1.4753022,1.2296982,1.3545337,1.1169975,1.4520078,0.6024156,0.9455974,0.7093067,0.590132,0.708289,1.3809836,1.4022064,1.135582,1.1068649,1.384663,1.2663726,1.4172678,1.1208413,1.0601721,0.4370917,1.0131527,1.3337634,0.9852572,0.6585738,0.87262446,0.81490374,0.9515556,0.6462883,0.7492213,1.4891031,0.5386989,1.3907743,1.1209143,1.159978,1.4250057,0.9421161,0.73516893,0.7221803,0.35685736,1.446629,1.4239142,1.383718,0.9661849,1.3429178,1.2989037,0.92463064,1.1599158,1.1321408,1.4989448,0.523423
bib,0.9214148,0.918649,1.3152603,0.7202144,1.0066248,1.0477171,1.0914623,1.2591295,0.7853854,1.0972592,0.8270749,1.3995849,0.9557344,0.0,0.5560154,1.0502181,1.2847496,1.3247693,1.1312462,1.1770517,1.1006037,0.8873169,1.2708328,1.4196681,1.0925442,1.0404222,0.99275845,1.0688521,1.3062806,1.0479779,0.81301403,0.93549657,0.95441264,1.4069545,0.9286771,1.4466456,1.239661,0.8641076,0.7516843,1.0703794,1.089876,0.4012524,1.0566541,1.1965967,1.0789921,0.9946981,0.9261837,0.9621947,0.9501301,0.8850556,1.0281688,0.8632295,1.3102508,0.7377202,1.1808463,1.1632173,0.7792034,1.1247252,0.7951396,0.92059404,0.6315406,0.922488,1.0925715,0.81497353,0.8464242,1.0488219,0.6478116,1.2675596,0.85760474,1.1860595,0.73778915,0.58431363,0.6422362,1.0746808,0.62095237,0.9249349,1.2643512,0.87508154,1.3062432,0.9969449,0.855932,0.91059226,1.067542,0.93535876,0.95560825,0.3394485,0.6870526,0.86475825,1.3815639,1.382427,1.1630447,1.2328548,1.1829596,1.1511014,1.0324773,0.85907584,1.37622,0.99621594,1.1886926,1.3330615,0.87039036,0.53625536,0.9488597,0.54893935,0.9740317,1.2265677,0.90536094,1.4042368,1.0350028,1.2586327,0.93621135,0.9457451,1.2982075,1.1582406,0.82670546,0.5600591,0.78797007,1.3448045,1.0473365,1.2455151,0.8214289,1.0843394,1.0020387,1.1302768,1.0319556,1.4271457,1.3800229,1.0133458
blanket,0.8069916,1.1748253,1.3131511,0.6533272,0.85837144,1.0200477,1.3375063,1.2380517,0.5284249,0.7027359,0.23133957,1.4650862,0.5607632,0.5560154,0.0,0.83293504,1.3904284,1.4444826,1.1466162,1.1944003,1.2933517,0.8772396,1.3106554,1.4436443,0.6934906,1.1781015,0.70457464,0.98040825,1.3237576,0.6950178,0.76995564,0.51676667,1.0142673,1.4907045,0.684492,1.5723777,1.2964306,0.7746002,1.2360864,0.915973,0.8787737,0.75800025,1.3311787,1.3739399,0.62715536,1.0957482,0.8607819,1.2463644,0.7889447,0.6144923,1.0623727,1.164689,1.5623758,0.618764,1.1023729,1.3923023,0.9294435,1.3519123,0.8454349,1.0527978,0.86255795,1.1656846,1.108701,0.63395077,0.801129,1.1201445,0.565398,1.4383518,0.7308876,1.0542433,0.95382285,0.7436414,0.52270544,0.9964149,0.6191612,0.61396176,1.3943846,0.9405904,1.4382136,1.1842073,1.2339747,1.1196122,1.1585988,0.81736827,1.0055449,0.5827958,0.5765885,0.73343164,1.4098791,1.4434272,1.199562,1.3145382,1.406761,1.2433045,1.2563066,1.1226732,1.3870412,0.7526022,1.1356381,1.3487915,0.80292857,0.5193604,0.8472264,0.7519573,0.9898593,1.003818,0.5029785,1.5440788,0.5485768,1.3873161,1.0423218,1.1445395,1.5165275,1.2640312,0.72002614,0.59084874,0.519105,1.3883095,1.4065611,1.3691492,0.98857963,1.3084431,0.9601826,1.1409322,1.1286505,1.4215457,1.5596043,0.84287125
boat,0.9126931,1.0196923,1.1340475,0.97452915,1.0598136,1.1360986,1.062759,1.0890284,0.8309287,0.89337736,0.84882045,0.9889594,0.7896877,1.0502181,0.83293504,0.0,0.8587882,1.1447189,1.0665379,0.9390309,1.0487558,0.9679076,1.1429057,1.0818865,0.6799785,0.98084176,0.8771916,1.0127292,1.1211662,0.8988044,1.0637529,0.9269562,1.0656716,1.0378104,0.9714207,1.1860085,1.155165,0.9704799,1.2610651,0.9424161,0.5638619,1.0898004,1.0358053,1.176773,0.8894146,1.0499312,1.0103924,1.034794,1.035754,0.8102042,1.0483171,1.1110523,1.0881405,0.8728345,1.070956,1.1210953,1.0619745,1.0610851,1.0112484,0.9589853,1.0262944,1.1936039,0.9956488,0.91809297,1.1242944,1.0747101,0.9742248,0.9492464,0.9094338,0.9319689,1.0633463,1.0125685,1.0298644,1.0428882,0.97158015,0.87637526,0.8272501,1.0565912,1.1992195,1.0516057,1.0772741,1.0095786,1.0168464,0.9715013,1.0018678,1.0518515,1.0062299,0.879676,1.0509514,1.0423295,1.0748076,1.0194767,0.9127413,1.1699467,0.9865427,1.1877104,0.90409756,0.9000555,1.015222,1.0193887,0.90412134,0.9987258,0.9679906,1.0084763,1.0505413,0.8365955,0.75337815,1.1210848,0.8163496,1.1466892,1.0882072,0.9884409,1.0496725,1.1053228,0.99234885,1.0245223,0.9765581,1.0779351,1.1527321,0.9912073,0.99719995,1.0816692,1.0323427,0.72592723,1.1415554,1.0889599,1.185399,0.9752334
book,0.9943978,0.8316604,0.6635656,1.5132282,0.90266556,0.8927898,0.61174226,0.62230456,1.3650117,1.2376672,1.4430381,0.42759103,1.2433736,1.2847496,1.3904284,0.8587882,0.0,0.5910806,0.7441386,0.50199074,0.76597303,1.0631721,0.66798794,0.60592675,1.0857904,1.0080761,1.3438411,0.94797516,0.6680948,1.3540351,1.1171463,1.3704424,0.96924335,0.44089615,1.2906208,0.49015808,0.85335267,1.2975827,0.8858561,1.2807478,0.8487836,1.3318868,1.0157945,0.7446575,1.2431638,1.0691887,1.3442005,0.9830627,1.377274,1.1108295,1.010082,1.1169877,0.45999205,1.1635537,1.0131159,0.8966576,0.98253536,0.6218005,1.3844892,0.91832364,1.31436,0.90166986,1.087033,1.2730054,1.313192,0.8549312,1.4265428,0.4090578,1.2736895,0.98170733,1.3606896,1.2485011,1.3503131,1.0441607,1.2512531,1.35093,0.562968,1.1883929,0.70050466,0.48534465,0.86702764,1.2466928,0.7849425,1.152199,1.1144999,1.4537786,1.4566817,0.73402727,0.510407,0.4371627,0.5672581,0.8493153,0.28345525,0.92520785,0.73862576,0.90073764,0.41896963,1.3455201,1.042511,0.54099524,1.1394548,1.4751031,1.080076,1.2677885,1.0395826,0.8244397,1.3444693,0.49278998,1.3100421,0.6310505,0.80230594,0.80420923,0.4026686,0.96309245,1.2372916,1.3950174,1.397075,0.4720422,0.9557992,0.63202167,1.049516,0.4368117,0.7935045,0.3559183,0.98596954,0.754087,0.5898708,1.2966654
bottle,1.0060282,0.9598674,0.53823733,1.4102918,0.7747722,0.6680343,0.7276836,0.757493,1.468812,1.1573082,1.4660938,0.6488202,1.398139,1.3247693,1.4444826,1.1447189,0.5910806,0.0,0.8085827,0.81376255,0.93032455,1.0862346,0.30686367,0.54510975,1.24815,1.0635005,1.32858,1.0238723,0.51629424,1.264221,1.2364726,1.3594847,1.0151936,0.5242384,1.2478843,0.11859894,0.8253521,1.2393926,0.7309276,1.1273006,1.276629,1.0953561,0.9798228,0.8135992,1.2248857,1.1291463,1.2965932,1.1632073,1.2409494,1.2716798,0.89911926,1.1801615,0.64873195,1.2162322,0.69870263,0.95611346,1.0430133,0.6844862,1.3246608,1.0759838,1.4039237,0.8903534,1.0798732,1.1359484,1.1870905,0.3030988,1.3513865,0.7904482,1.3374944,0.96267897,1.262497,1.1992645,1.2640425,0.7838496,1.2717052,1.3265517,0.75557387,1.2010373,0.6865789,0.7847257,0.94367844,1.2244811,0.7779539,1.2115086,1.1560825,1.2818611,1.4135065,1.2171477,0.6474697,0.6152694,0.7845606,0.76500237,0.6858316,0.841306,0.81912225,0.8011489,0.7781489,1.2250607,0.9632675,0.68976414,1.0490254,1.4331892,1.2211291,1.2578039,1.1718199,1.1421403,1.2428873,0.60085905,1.3131714,0.6745954,0.96721107,0.9935023,0.6504528,0.8507987,1.1516075,1.3226197,1.3318341,0.48825932,0.9983723,0.8806807,1.151919,0.6549812,0.62766707,0.8734691,0.6808113,0.6461016,0.61740124,1.2505846
bowl,0.86338484,1.2219101,0.92388237,1.2997099,0.7337449,0.77763176,0.895914,0.8614661,1.059604,1.0508258,1.1630423,0.92390054,1.1062151,1.1312462,1.1466162,1.0665379,0.7441386,0.8085827,0.0,0.8657109,0.93011457,1.1983517,0.6368089,0.9067242,1.1766386,1.1798505,1.1956546,1.0558804,0.8244802,1.1207688,1.1960466,1.1349798,0.99943864,0.9317324,1.0404261,0.6852232,0.9420074,1.096122,0.89455676,1.2232718,1.0530907,1.1319927,1.1826357,1.0239745,1.0513798,1.0395141,1.1682044,1.1371642,1.2262741,0.99561316,0.8902354,1.0920426,0.8469002,0.853323,1.0579706,1.1636876,1.1005732,0.8443391,1.2442995,0.95297736,1.1577816,0.99866647,0.9260615,1.057544,1.1014998,0.78054583,1.3763678,1.0415715,1.1588407,0.8627198,1.2407881,1.0634936,0.9420801,0.7688782,1.0704439,1.3073915,1.0568593,0.938383,1.0194901,0.700143,1.1752024,1.1650312,0.97259206,0.9532946,1.207303,1.1674778,1.348663,0.944126,0.92614233,0.9171421,0.88873667,0.89930624,0.6682966,0.8919009,1.0019345,0.9399056,0.91442174,1.1684322,0.91304326,0.904356,0.9712332,1.2750151,0.9438479,1.270385,0.84782225,0.71175945,1.0903122,0.95557207,1.1394219,0.9693017,1.0034324,0.50319505,0.76375836,0.949174,1.1316198,1.1647187,0.97089845,0.47919875,1.1184065,0.919567,1.1159652,0.8117636,0.76676184,0.70231485,0.7650479,0.9257779,1.00545,1.2002606
box,0.94345754,1.0227859,1.0561516,1.2653408,0.98724675,0.92574173,0.91854763,0.5275614,1.0184569,1.1992182,1.1276268,0.85065055,0.85252905,1.1770517,1.1944003,0.9390309,0.50199074,0.81376255,0.8657109,0.0,0.9587679,0.90836024,0.70616174,0.59046966,1.0140052,1.15168,1.2239666,0.6338866,0.77587616,0.92765874,1.1207205,0.9871699,0.96216583,0.94207287,0.77041936,0.75259614,0.92033374,1.1588255,0.8814304,0.8106721,0.6249901,1.1411163,1.0244737,1.1147697,1.1708057,1.1457778,1.1683768,1.1301104,0.99941075,1.2196906,0.883812,1.1403227,1.0146676,1.1616703,1.0206645,1.1982542,1.1126934,1.0797367,1.2270935,1.0013101,1.2217929,1.0764477,0.9958749,1.1613646,1.1858935,0.8122823,1.2041142,0.9124613,1.0326846,0.95986855,1.2546437,1.0551417,1.2041112,0.986083,1.207144,1.0408512,0.83722275,1.055254,1.0987686,0.69627917,1.1903832,1.1793661,1.0878841,0.8108977,1.0311624,1.2074995,1.2101008,0.5672476,0.96893364,0.9035448,0.83618057,0.87030816,0.8335601,0.9924567,1.0704132,0.788229,0.6512032,0.9154029,0.95701313,0.92589456,1.1578081,1.2158319,1.0065815,1.0781457,0.9846233,0.7545357,1.2033197,0.98576814,1.1473649,0.9120364,0.9554966,0.882991,0.91433537,0.8256633,0.94212097,1.194663,1.0964534,0.89961934,1.1801138,1.0153652,1.0461953,0.8173972,0.9457751,0.63906217,0.98625237,0.8823686,0.99496984,0.94839895
bread,1.2240257,0.7855079,0.8163711,1.1464534,0.9986685,1.0730251,0.7261348,0.9189959,1.2303222,1.1093528,1.4065468,0.82247424,1.3280487,1.1006037,1.2933517,1.0487558,0.76597303,0.93032455,0.93011457,0.9587679,0.0,0.9903849,0.9592698,0.9773945,1.237874,0.7239611,1.1193027,1.2930263,0.8722135,1.2721274,1.0093348,1.3626549,0.52208525,0.8071013,1.4401667,0.8664016,0.9601857,1.1310557,1.010438,1.1951337,1.0958303,1.2877567,0.7821888,0.49680054,1.1255043,0.96850276,1.0820653,0.6716175,1.1662697,0.9744541,1.170568,0.89033425,0.7074475,1.0314021,1.0932618,0.75921166,0.95452166,0.5557144,1.0286579,0.5580301,0.93788946,0.8468425,1.219416,1.2190994,1.1167679,1.0889329,1.2879779,0.6388693,1.2750967,1.20839,0.95268834,0.86571217,1.124877,1.1452729,1.0665674,1.3456061,0.83482885,0.412274,0.66518945,0.7608185,0.7843702,0.92165864,0.6415525,1.2218487,0.84219265,1.3373839,1.2622434,0.9234468,0.84545004,0.8256034,0.81536406,1.017971,0.5014173,0.8974466,0.64971066,1.1328373,0.8669418,1.3336227,1.0842813,0.683574,1.3359685,1.3230288,1.1889427,1.1455271,1.0321256,1.0545167,1.315147,0.7074499,1.1343107,0.7026033,0.9155636,0.7091435,0.6881876,1.0068526,1.4360831,1.3251903,1.3288227,0.839194,0.6674218,0.5937231,1.0116644,0.7211912,1.1653316,0.7923652,1.3059192,1.1037993,0.7880508,1.2086592
broom,1.0924253,0.9733521,1.1926621,0.98472536,1.0683136,1.0975353,1.0315278,0.86177206,0.9635468,1.1851991,0.87357485,1.1916999,0.8438385,0.8873169,0.8772396,0.9679076,1.0631721,1.0862346,1.1983517,0.90836024,0.9903849,0.0,1.042486,1.1081487,0.9756334,0.9928192,1.0830964,0.90705055,1.0660536,0.9556237,1.0220162,0.91120905,0.9356179,1.2128111,0.8295671,1.1527163,1.0169346,0.9701771,0.9837675,0.8560634,0.900422,0.9443622,0.99913216,1.1278147,1.1474173,1.0864075,0.99449104,1.0764493,0.8237286,1.0595987,1.0089073,1.0619693,1.1977414,0.80954254,1.0982573,1.1031579,0.8861367,1.0333308,0.97215205,0.9942188,1.0446341,1.053184,1.0075846,0.9724281,0.8849535,1.0307391,0.8876433,1.1138314,0.9067565,1.0957149,1.1168404,0.96190995,0.946278,1.0982206,0.913533,0.8431282,1.0349845,0.8425915,1.1622804,1.0249332,1.0630803,1.0331603,1.1541259,0.969263,0.7599808,0.92441666,0.8824446,0.9264072,1.1904339,1.1730634,1.1657109,0.8889122,1.0604001,1.1268567,1.119548,0.88742626,1.0478942,0.98060036,0.94248635,1.0819649,1.0275992,0.927981,0.921334,0.9078037,1.0185612,1.1257081,0.93941826,1.1901579,0.9204768,1.0998718,0.96525437,1.0281422,1.1211531,1.0238771,0.8125615,0.9330046,0.8876786,1.2062213,1.131628,1.0042617,0.91180146,1.0433137,0.99450517,0.92800707,1.1170459,1.1096938,1.198411,0.94107985
bucket,0.9946596,1.0929265,0.62156594,1.4241873,0.61827564,0.6287224,0.7808006,0.7410378,1.2845719,1.1534531,1.3685255,0.6725373,1.3012657,1.2708328,1.3106554,1.1429057,0.66798794,0.30686367,0.6368089,0.70616174,0.9592698,1.042486,0.0,0.49911517,1.1217039,1.1209687,1.3142527,0.9472158,0.6711293,1.1657025,1.2072685,1.2429781,1.1186917,0.6875142,1.0918669,0.24088645,0.8721069,1.2582502,0.755909,1.101832,1.1754793,1.179331,1.0962256,0.80150104,1.1944207,1.1181817,1.3165543,1.229466,1.2329841,1.1230569,0.8683935,1.2673323,0.80713576,1.0701077,0.7945069,1.0605177,1.003557,0.7293533,1.3391769,1.1095076,1.4301819,0.80691344,1.0742745,1.0870538,1.209271,0.44034684,1.4064145,0.94516855,1.2512925,0.9319764,1.3606789,1.1538897,1.1332816,0.74373925,1.1626053,1.2066294,0.8710089,1.1994638,0.7785741,0.6566597,1.0951815,1.2743056,0.7840936,1.0367095,1.1226296,1.3050752,1.451609,1.05358,0.805805,0.768236,0.6389563,0.7680664,0.76421994,0.8763894,0.8773075,0.79387265,0.79071224,1.1321882,0.98206145,0.80629796,1.0401782,1.450299,1.1321055,1.3192508,1.0711486,0.899733,1.142455,0.6960333,1.3183217,0.68644834,0.93186814,0.94977456,0.7922839,0.8335171,1.0878547,1.2912791,1.2556046,0.4746396,1.1089033,0.9429816,1.2085072,0.6633464,0.543536,0.86075413,0.6551775,0.7224947,0.7743814,1.1712757
can,1.1209375,0.9758267,0.7658203,1.3511393,1.1015848,0.9453011,0.8151895,0.57413447,1.1253372,1.1632497,1.3715599,0.47015983,1.0950923,1.4196681,1.4436443,1.0818865,0.60592675,0.54510975,0.9067242,0.59046966,0.9773945,1.1081487,0.49911517,0.0,1.0905242,1.1170077,1.1241238,0.6710002,0.6080023,0.99191016,1.034003,1.1445179,1.1135204,0.5315945,0.91851103,0.4297849,0.8827854,1.2930963,0.9341317,0.7218366,0.9881315,1.1919599,0.8062083,0.856776,1.1779919,1.1154172,1.3476597,1.093596,1.1388184,1.2761109,0.90132844,1.1969028,0.60169864,1.5336509,0.8439661,0.9096036,1.1676605,1.0007756,1.2929648,1.1891329,1.4250367,0.98464024,0.9553054,1.256092,1.2270236,0.77916855,1.2474751,0.5668762,1.0329441,0.84472066,1.1456678,1.3500283,1.4318852,1.0171657,1.4369173,1.3244224,0.5444987,1.3156322,0.79192924,0.6915119,0.9265037,1.166955,0.93369246,0.9216211,1.1228992,1.3325791,1.2376871,0.90444833,0.6756194,0.62749827,0.521048,0.670749,0.8160362,0.9521341,0.9314701,0.87251365,0.52628183,0.7563225,1.0222565,0.71784866,1.2219459,1.395474,1.2393489,1.1175246,1.1018343,0.68248665,1.2922769,0.6187174,1.243351,0.73667586,0.8471234,1.0725734,0.57881296,0.53942925,1.2402542,1.4053624,1.3621821,0.7815529,1.0100394,0.95380884,1.0528533,0.7079504,1.1009177,0.93574494,0.96844333,0.3978957,0.58601797,0.8938622
car,0.9252064,1.2375236,0.991809,0.97238004,0.9904889,1.0499882,1.0261842,1.0584948,0.79730284,0.7888621,0.6413272,1.0271904,0.6763449,1.0925442,0.6934906,0.6799785,1.0857904,1.24815,1.1766386,1.0140052,1.237874,0.9756334,1.1217039,1.0905242,0.0,1.1889538,0.68922615,0.8612784,1.1721117,0.6389735,1.034053,0.6909262,1.0709362,1.1078228,0.7372827,1.2021263,1.1015342,0.96553224,1.1778643,0.8179225,0.76294553,1.0223019,1.337501,1.2655369,0.7523618,1.1291457,0.8897686,1.3380611,0.7742809,0.8343828,0.9375923,1.3437648,1.2549759,0.78772795,0.8438169,1.3096161,1.0903397,1.2001643,1.1096034,1.0029056,1.220324,1.1967835,0.99797994,0.8249891,0.8385947,1.215389,0.834494,1.1215564,0.755082,0.9927069,1.2130642,1.0898637,0.7794236,1.1053612,0.9454254,0.5085732,1.0963359,1.1300268,1.2350446,1.1870779,1.3566933,1.228955,0.9908649,0.83920544,1.0392978,0.9614753,0.85978365,1.039279,1.0485398,1.0759228,0.9447429,1.0899823,1.1427493,1.1330302,1.0875384,1.1704601,0.92027617,0.7366573,1.0642325,1.0059993,0.8824166,0.84338874,1.0310404,1.059357,1.0430964,0.8547259,0.50480556,1.1933025,0.615596,0.98649997,1.256681,1.2311598,1.2036711,1.1389879,0.7231233,0.8836736,0.8788409,1.1474854,1.4426428,1.1145667,1.1223012,1.1937315,0.92459005,0.9863694,1.0153295,1.1012399,1.2885271,0.7736038
carrot,1.3160958,0.64169717,0.88422877,0.9107847,0.969271,1.084404,0.9601367,1.1827002,1.2325644,1.0674498,1.2788446,0.9422406,1.2525489,1.0404222,1.1781015,0.98084176,1.0080761,1.0635005,1.1798505,1.15168,0.7239611,0.9928192,1.1209687,1.1170077,1.1889538,0.0,1.1682687,1.2788203,1.0517604,1.2505436,1.024431,1.2033228,1.0396805,0.8832147,1.3717861,1.0536431,0.92337024,1.113887,1.234045,1.2351534,1.085941,1.2168391,0.6824471,0.59300745,1.1059185,0.88269377,1.0299668,0.46802527,1.1998698,0.876207,1.2695389,0.7073024,0.8430524,1.0561683,1.1887012,0.65588534,0.7380929,0.7303475,0.979689,0.95187545,0.7294122,0.8813095,1.137151,1.0334938,0.9196412,1.1819385,0.9403554,0.8101143,1.2830106,1.2189345,0.77973557,1.0367987,0.9282396,1.1969888,0.7962796,0.97658896,0.82739353,0.94614726,0.72033966,1.0310726,0.6953445,0.6868733,0.7251361,1.2053937,0.9252007,1.2179283,0.9204348,1.0985781,0.9570117,0.931174,1.116639,1.158535,0.9289036,0.9011471,0.6203547,1.1099457,1.0372384,1.2758521,1.1044468,0.88139784,1.1232333,1.02745,1.0309705,0.89456415,1.1061513,1.2684529,1.116439,0.7761613,1.1845188,0.8698955,0.7757486,1.0300711,0.83651423,1.2182224,1.1815313,1.1079048,1.2127347,0.9849055,0.4789303,0.786457,0.98155963,0.9652609,1.0901259,1.0015535,1.206707,1.1434429,0.73359203,1.3387651
cat,0.94738454,1.144852,1.2553891,0.7575326,1.2360034,1.2399309,1.2154901,1.1274163,0.7075101,0.708238,0.5543755,1.1229566,0.63874793,0.99275845,0.70457464,0.8771916,1.3438411,1.32858,1.1956546,1.2239666,1.1193027,1.0830964,1.3142527,1.1241238,0.68922615,1.1682687,0.0,0.9228024,1.1863674,0.62527573,0.8354981,0.6390849,1.0209614,1.2656858,0.7561457,1.34906,1.1303885,0.43226838,1.1264687,0.75119174,0.90750384,0.88341033,1.0462587,1.2082618,0.66012055,1.0028918,0.8925718,1.1939877,0.7797721,0.80206406,1.0227305,1.0541261,1.2792296,1.001338,0.99328315,1.1606045,1.1145499,1.3557024,0.8310907,1.1093585,1.026521,1.1321086,1.0216479,0.9741912,0.87243235,1.1805075,0.68770957,1.1632117,0.73107445,1.0214028,0.8878964,0.9205092,1.0577158,1.0838926,0.9834089,0.8147208,1.141821,0.9907023,1.2427545,1.3107398,1.2211113,1.0415211,1.173175,0.8694401,0.957999,0.79523486,0.6868086,1.012929,1.2051871,1.2549195,0.96523327,1.03968,1.3062803,0.9886684,1.2243831,1.1510262,1.0901235,0.6944675,1.0616403,1.1006787,1.1042516,0.7269589,0.95730543,0.9014093,1.0982411,0.92788607,0.7952446,1.2406621,0.5592445,1.1888518,1.0748812,1.1620715,1.2892368,0.98852867,0.96841085,0.78152543,0.8013671,1.3372295,1.2397931,1.2510338,1.0907692,1.2356952,1.3327651,1.2232195,1.1670678,1.1128503,1.2722573,0.69908
