,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,comb,cookie,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,melon,milk,mitten,motorcycle,muffin,nail,napkin,necklace,nose,orange,oven,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pumpkin,purse,radio,refrigerator,rooster,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window,zebra
fork,0.6958945,0.8726164,0.71872926,1.3352093,1.0789145,1.0530069,0.6382495,0.73476505,1.3631737,1.5017557,0.5247097,1.481057,1.6148059,0.3871553,1.5713354,0.95818937,0.61476433,0.5026072,0.979072,1.4355277,0.5635946,1.0549985,1.0149655,0.89390373,0.5919782,1.1656978,0.74394894,1.392515,1.1477188,0.51937056,1.2699523,1.2792825,0.80053717,1.574676,1.1294887,0.21016419,1.4722449,0.81533957,1.3815957,1.2591379,0.960618,0.93429065,1.2419937,1.1395221,0.51399124,1.1150976,1.3764199,0.9024511,0.39455843,0.7005484,0.91730416,0.0,0.9299873,1.4726405,0.45235497,0.8609115,0.91039443,1.4835978,1.335733,0.61718744,1.0220022,1.2508616,0.9188228,0.9894587,1.4373318,0.4267543,1.2878356,0.77384764,0.7953383,1.0342803,1.5341544,1.1866169,1.1838982,0.5478131,0.33684874,0.5134708,0.92695886,0.7079706,1.3198597,1.6083883,1.4428763,1.5107867,0.21795988,0.21999156,0.9729772,0.77797073,0.89275587,0.856275,0.84694535,0.4846788,1.08235,0.7209748,1.217016,0.70865786,0.9675025,1.4627266,1.3318764,1.601523,0.9020366,1.3902636,1.4179611,1.0646856,1.2803671,1.319875,0.3826728,1.3875558,0.4132818,0.6997218,0.11239731,1.1435274,0.4593376,1.1877979,1.5862296,1.4989057,0.50454986,0.85650253,0.8854406,1.1762906,0.39529622,1.2226533,1.3191078,1.0316415,0.45073187,1.4294965,0.929378
frog,0.90637004,0.9776807,0.6601154,1.1526,0.70193994,0.7615258,0.5318999,0.96603584,1.1708426,1.3340023,1.1151273,1.3558911,0.9091698,0.7717501,1.2242146,0.86468196,1.0397005,0.979548,0.9110739,1.0120273,1.0003179,0.7720948,1.1385291,0.6802375,1.2989914,1.1341779,1.2086086,1.1677418,1.3212005,0.8997555,1.1153929,1.2414755,0.7539754,1.331711,1.1048725,1.0574126,1.2739384,0.9766985,0.99931926,0.61107886,1.2817032,1.1295459,0.9289534,0.92963046,1.0156832,1.1192017,0.9858899,0.99249756,0.8964761,0.6353415,0.9889318,0.9299873,0.0,0.87880164,1.09664,0.7235632,0.44111085,1.1733403,0.974323,0.99629295,0.8065427,1.1702385,1.2955699,0.98821586,1.2590501,1.1782784,1.0695142,1.0099703,0.76989424,0.88179195,0.9041245,0.9157379,0.9545835,1.075772,1.0313702,1.2240275,1.014562,0.9121846,1.293184,1.225701,1.283586,1.103079,1.1156096,1.0848616,0.79235905,1.1310232,1.1006682,0.7563977,0.85576326,0.9881965,0.81274664,0.8390298,1.3941858,0.6748241,0.8790562,1.1218567,0.84981763,1.2941663,0.8461841,1.3224505,0.98000014,1.1540766,1.0422238,0.9742109,1.010592,1.2009492,0.86752015,0.9148708,0.9327879,0.9071514,1.0617877,0.9838461,1.2821413,1.1588609,0.857816,0.9880039,1.0572525,0.9592675,1.0946792,0.59477746,0.9666104,1.2338963,1.0720668,1.122951,1.1748095
glass,1.0418756,1.2478545,1.1093547,0.84616613,0.92603225,0.98576677,1.0970112,1.1788282,0.79594123,0.6307438,1.3162204,0.76873314,0.6373998,1.2871116,0.59009254,1.0678957,1.1808455,1.3856094,0.97882336,0.69105834,1.2369763,1.0434172,1.0291662,1.0399022,1.3859334,0.68380964,1.2622716,0.7507969,1.0500373,1.272673,0.92126024,0.7067958,1.081117,0.77505267,0.759537,1.4373329,0.7101114,1.1276796,0.8169182,0.8612577,1.1207836,1.1059487,0.80202585,1.0532088,1.2425172,0.6740073,0.7505529,1.230603,1.2021557,0.9864864,1.2607718,1.4726405,0.87880164,0.0,1.3070658,1.2556884,1.0017316,0.75245893,0.9296586,1.2997286,0.87972313,0.89402664,1.0887089,1.0742863,0.9178,1.2635459,0.82830936,1.0056803,1.1453286,1.1263498,0.7147175,0.8259499,0.80355346,1.3195775,1.4209746,1.2946866,1.1431379,1.0946362,0.9527606,0.69910216,0.88525945,0.6119142,1.415307,1.4129134,1.1067463,1.187657,0.94557595,1.0225766,0.971068,1.2568725,0.98838073,1.1526603,0.98775476,1.0917579,0.97844386,0.7669734,0.70587236,0.70972466,1.1031775,1.0062757,0.827185,0.97701144,0.7962527,0.743363,1.3769505,0.6354263,1.2885851,1.3446435,1.472943,0.9346381,1.2320457,0.91031796,0.7629689,0.69142026,1.3141326,1.2937696,1.259952,0.8733701,1.4037765,0.86394393,0.74642724,1.1393211,1.4195044,0.705114,0.96250194
glasses,0.8114428,0.6583884,0.5226921,1.3919212,1.0109786,0.9162551,0.8198621,1.115036,1.4294605,1.3962002,0.38712192,1.4980597,1.4520272,0.5146916,1.4227618,0.98411924,0.9086702,0.5682888,1.1788894,1.5515747,0.71105546,1.1340127,1.1884739,0.933487,0.79706496,1.0391061,0.68552446,1.2209585,1.3986223,0.7900897,1.3219942,1.26671,1.02257,1.4412769,1.0721602,0.19574785,1.4787942,0.9673503,1.2964058,1.290251,1.1293334,1.0940232,1.2552997,0.81021583,0.27178144,1.0824742,1.0804285,0.6765226,0.5762689,0.9148774,0.8593181,0.45235497,1.09664,1.3070658,0.0,0.9240734,0.96888924,1.1897595,1.2078581,0.3093803,1.0113628,1.1905991,0.87417674,1.0878956,1.3433878,0.78483087,1.3772855,1.0296733,0.8388624,1.0614548,1.5082339,1.1335932,1.2058406,0.19430667,0.4937954,0.3025514,0.61094487,0.6077036,1.3683653,1.4630313,1.3332051,1.5287179,0.19910228,0.22183782,1.0480083,0.7784815,0.7304213,0.9963824,1.073163,0.35347348,1.3190851,0.8374709,1.3500447,0.8598492,1.1027625,1.4162922,1.4514887,1.4314531,0.9673256,1.2719951,1.4767323,1.1221337,1.3543309,1.2941859,0.18096817,1.2488291,0.6339079,0.83747244,0.43061984,1.2633609,0.2736625,1.2724104,1.4257605,1.5301273,0.6531923,0.6851863,0.7373818,1.2586153,0.55038583,1.2921488,1.4441249,1.1800114,0.19500494,1.3516488,1.0092076
glove,0.8812285,0.58937776,0.94660103,0.9312964,1.0629693,0.91824716,0.7100305,1.0429913,1.4367609,1.4007493,0.91194797,1.3346651,1.022598,0.8059829,1.184883,0.7378176,0.9597839,0.7561467,1.2287902,1.3581662,0.94712955,0.8431053,1.2076777,0.9674966,1.0980034,1.0534246,0.9345266,1.0873997,1.2054046,1.0061529,1.1047827,1.1487403,0.9874338,1.254779,0.96394813,0.84447277,1.4228644,1.1446736,0.93053746,0.62642545,1.2018713,1.1804816,1.016415,0.89198834,0.98572004,1.2609041,1.1619279,0.6276907,0.8509741,0.874889,0.5395107,0.8609115,0.7235632,1.2556884,0.9240734,0.0,0.60482717,1.1139568,0.7258034,0.6848985,0.9459703,1.1732974,0.95283383,0.89233667,0.90670145,0.99450517,1.2220944,1.1662021,0.76168776,0.86081177,0.71026,0.90725476,1.0815265,0.82357883,0.8306379,1.0607708,0.8782167,1.0461595,1.267048,1.1035725,1.0332441,1.2090104,0.8873137,0.89552194,0.9287985,0.64637494,1.1786853,0.8997798,1.2197047,0.9275398,0.793709,0.95490277,1.3611592,0.8547303,1.017565,1.0581157,1.2217578,1.1496931,0.57373786,0.9805203,0.9422923,1.3182176,1.3957723,1.2489849,0.70102286,1.2258402,0.87158054,0.46328634,0.73688346,0.87152874,1.0929961,0.9538681,1.1419708,1.4072204,0.77953947,0.59974265,0.6735107,0.92779636,0.85671866,0.90317327,1.3630958,1.1663959,0.7583037,1.2943131,1.0322549
gum,1.0874698,0.6163775,0.68905085,1.1518184,0.730692,0.693204,0.6678291,1.0927631,1.2033361,1.4706485,1.0990136,1.4215215,0.92209977,0.9173192,1.3479444,0.7604178,0.870905,0.8337941,0.996875,1.0829946,0.8414997,0.94337106,1.2205845,0.8984385,1.2604959,1.1833545,1.0530528,1.3413434,1.3948714,0.9160397,1.3140259,1.1759986,0.6354878,1.4220922,0.9765032,0.89424336,1.4507487,0.9897425,1.1554157,0.8323664,1.2898844,1.1324728,0.98515064,0.77216095,0.8720721,1.2177708,1.0872413,0.6519575,0.92214495,0.8722438,0.5998154,0.91039443,0.44111085,1.0017316,0.96888924,0.60482717,0.0,1.1134367,0.85161066,0.9125277,1.164513,1.2628586,1.2701724,0.8950417,1.2782226,1.1060834,1.1182302,1.1382473,0.8075721,0.82779396,0.9780907,0.93399787,1.0007803,0.7249444,0.8826494,1.1648917,0.76717496,0.81219596,1.3305699,1.3335501,1.2876241,0.993243,0.9993624,0.9858528,0.81616294,0.95423245,1.131249,0.9965886,0.9083502,0.95028883,1.012634,0.8152285,1.4441206,0.8965422,0.75980294,1.1517231,1.0199468,1.2998426,0.7527852,1.2533647,0.91406685,1.3021252,1.0390393,1.0870531,0.8028296,1.2294074,0.65247947,0.6895266,0.8501521,0.9409282,1.0368787,1.1711863,1.2934301,1.2484826,0.72471035,0.71270424,0.6272893,0.8047639,0.95042515,0.8048666,1.0190297,1.3600793,0.9700568,1.2488258,1.1856543
hair,1.1860166,0.9723216,1.2485646,0.746279,1.1559657,1.1154301,1.2482316,1.2611177,0.81813586,0.72957605,1.2542789,0.71175236,0.69417477,1.3386785,0.70672923,1.0831752,1.3443832,1.3954644,1.1258589,0.87014884,1.331236,1.112361,1.0760692,1.223469,1.2473466,0.8883368,1.0826056,0.6298579,0.9368272,1.3825665,0.9198094,0.74965096,1.1777627,0.6685138,0.8361674,1.4042417,0.77606857,1.2647926,0.66330546,0.88282615,1.0245416,1.0843446,0.8307274,0.6948215,1.2443616,0.9427394,0.6513814,0.86989737,1.355381,1.2040135,0.9320195,1.4835978,1.1733403,0.75245893,1.1897595,1.1139568,1.1134367,0.0,0.6237234,1.0448136,1.0123781,0.8334365,0.9186235,1.1051468,0.7057206,1.1879315,0.90534735,1.1670163,1.0379752,1.0623331,0.62336516,0.8878472,0.9443344,1.1877284,1.4220115,1.1799651,0.88007075,1.2445848,0.8544032,0.55276954,0.6748419,0.75221634,1.3713995,1.3822072,1.0872157,1.1657481,1.0831411,1.0989202,1.1760232,1.3136333,1.1452544,1.2488712,0.87626296,1.266439,1.1262872,0.70879185,0.8612467,0.48259026,1.1298839,0.7264706,0.8099284,1.0149463,0.901195,0.80850285,1.373545,0.81810653,1.3712101,1.3031936,1.4806976,0.9478338,1.2492332,0.9889596,0.5018498,0.76090735,1.4861441,0.94007504,0.892366,0.77081835,1.4034796,1.1448578,0.9044428,0.9738423,1.3136778,0.72732353,0.74899924
hand,1.2781346,0.62561667,1.1780224,0.47186226,1.1220922,1.0085315,1.0974307,1.3248821,0.8690134,0.93030447,1.2249179,0.8846109,0.6280108,1.3037357,0.8929831,1.0794352,1.2285646,1.3502676,1.0730087,0.8907301,1.3051101,1.0585581,1.091222,1.1582024,1.3380705,1.1449609,1.0300304,0.8931144,1.008425,1.3627248,1.1265812,0.814767,1.1154304,0.8680582,0.7276757,1.3178791,1.0278169,1.1872879,0.8942829,0.9398811,1.206861,1.0692916,1.0589817,0.634944,1.3365542,1.2333847,0.8134717,0.37386966,1.3736553,1.2716568,0.41825902,1.335733,0.974323,0.9296586,1.2078581,0.7258034,0.85161066,0.6237234,0.0,1.169871,1.2051638,0.73237896,1.0405993,1.0232817,0.76411796,1.0694051,0.99964654,1.213298,1.2138046,1.0062916,0.5035384,1.0805117,1.0626853,1.0841823,1.3690492,1.2784919,0.7592647,1.1553754,1.0103294,0.69474924,0.8535096,0.7007543,1.2518203,1.2803577,1.0761672,1.1557482,1.1044618,1.2160449,1.1342057,1.360109,1.0555631,1.2887634,1.1074125,1.2912316,1.0037928,0.82390535,0.80624145,0.6833681,0.78400755,0.80486953,0.5785021,1.0220741,0.83876914,0.9097801,1.1957603,0.9646903,1.324162,1.0446404,1.3074276,0.7892612,1.2814837,1.1282389,0.7808563,0.8486115,1.3396925,0.4320724,0.51841897,0.4014187,1.395206,1.081703,0.8733288,1.1083537,1.2203392,0.96676415,0.878855
hat,0.85894126,0.5956373,0.6002462,1.3601891,0.95588356,0.8439162,0.67458975,1.1538204,1.5310824,1.5019981,0.53833187,1.5682496,1.2720481,0.62225735,1.435907,0.9411471,0.99172026,0.49843884,1.2116497,1.5850816,0.7124746,1.0593227,1.2624137,0.97178984,0.96588606,1.1811208,0.8057716,1.2335131,1.3937496,0.8030971,1.3371611,1.4372036,0.9701185,1.4299715,1.230721,0.4148538,1.5696573,1.0368046,1.1690646,0.9733504,1.1795901,1.2269825,1.0557253,0.7803841,0.3067472,1.2225363,0.9863916,0.67434096,0.7160097,0.91248053,0.8326316,0.61718744,0.99629295,1.2997286,0.3093803,0.6848985,0.9125277,1.0448136,1.169871,0.0,0.99578327,1.2349122,0.76019704,0.9143502,1.2518191,1.0338943,1.4409069,1.1216086,0.5215003,0.96150273,1.2955906,1.1390902,1.1038126,0.32460898,0.598572,0.4906025,0.68443316,0.6476282,1.4171706,1.3819785,1.2361901,1.5808934,0.46309787,0.45635307,0.98256236,0.76125526,0.90657765,0.9737977,1.0632906,0.3120439,1.1393899,0.85881174,1.4579563,0.72813344,1.047982,1.2238237,1.4486213,1.339225,0.9158522,1.1283225,1.3639528,1.2471404,1.4298275,1.2443951,0.31035233,1.2811918,0.6102018,0.71486807,0.5100784,1.2055179,0.5298255,1.1288617,1.2616158,1.556335,0.6913651,0.62290907,0.765287,1.320698,0.6341781,1.1423112,1.4265157,1.1969762,0.29937208,1.3893995,1.0341657
horse,0.62056947,1.2256527,0.96038395,1.1877657,0.93428993,1.0242758,0.80419,0.90835965,1.0884537,0.9675288,1.051837,1.0592237,1.1733305,0.7351924,1.0013843,1.0624541,1.1801021,1.0591481,1.0098895,1.0695516,1.1950738,0.95463717,1.0248023,0.7403073,1.045964,0.7947629,1.2743648,0.6080766,1.0424427,0.9625471,0.85529,1.0231333,0.9740421,0.9999728,1.1318697,1.0629718,0.96350944,1.038909,0.52299315,0.80632687,0.9791114,1.1531633,0.95095617,1.1613798,1.0510793,0.83653355,0.91560054,1.3320932,0.8093271,0.6105467,1.3130369,1.0220022,0.8065427,0.87972313,1.0113628,0.9459703,1.164513,1.0123781,1.2051638,0.99578327,0.0,0.99085927,1.0467582,1.1087133,1.0560777,1.161109,1.0190897,0.84614146,0.9142807,1.0212281,0.98267186,0.861987,1.0801588,1.1852127,1.1461695,0.9944802,1.1869469,1.1392255,1.0513849,1.0921738,1.0915179,1.1320142,1.075954,1.062598,1.1194662,1.0570257,1.1066405,0.60553384,1.0268924,0.93084383,0.8599514,1.0119616,1.0038279,0.66631275,1.0750747,1.0550439,0.99483186,1.0594374,1.0614785,1.2111651,1.0926784,1.0021048,1.1088113,0.94555116,1.0990098,1.027391,1.0564797,1.0697107,1.0183692,0.94960344,1.0296403,0.7951398,1.0229257,1.0192977,1.0256038,1.2304556,1.3665583,1.1274418,1.1604187,0.8479993,1.0989515,0.9319252,1.0339257,0.8414945,0.95419836
hose,1.2130058,1.0780941,1.1910205,0.7092679,1.0328015,1.0811421,1.2140832,1.1396713,0.7392909,0.60030067,1.2360042,0.74466115,0.79350567,1.2478313,0.74679494,1.177349,1.1651363,1.3186626,0.990918,0.7515781,1.3180823,1.0371526,1.0192043,1.0290381,1.198695,1.0657483,1.2423999,0.88450474,0.94396293,1.2116935,0.8859231,0.7682411,1.1389036,0.7465792,0.99461204,1.2818336,0.7615167,1.1360855,0.9021431,1.0451863,1.1638563,1.0990165,1.039015,0.99652755,1.2179947,1.0318291,0.88413817,1.0772043,1.1938784,1.2186711,1.0091734,1.2508616,1.1702385,0.89402664,1.1905991,1.1732974,1.2628586,0.8334365,0.73237896,1.2349122,0.99085927,0.0,1.1293483,1.1615021,0.9080038,1.1057243,0.86856556,1.0071357,1.1929312,1.0303619,0.8358046,1.0902878,1.0661697,1.2127088,1.3574162,1.1629897,1.1333355,1.1811782,0.9533739,0.6962597,0.9069376,0.7424462,1.202208,1.2389493,1.1371926,1.2887803,1.042803,1.2273259,1.0127329,1.2446142,1.0162159,1.2280887,0.944663,1.1832043,1.1613171,0.91399205,0.5667846,0.80144703,1.0192724,0.9884871,0.65328616,0.89601433,0.7584682,0.65391386,1.232888,0.7307822,1.3265479,1.1205267,1.2665884,0.88058156,1.1413434,0.9983746,0.8269409,0.6395902,1.2400804,0.9839714,1.0654869,0.63082993,1.3762736,0.9011973,0.7875249,0.9940841,1.1190624,0.967223,0.8538802
jacket,0.83770627,0.89229536,1.115942,1.0377846,1.2282189,1.1486913,0.9764068,1.1486497,1.1769986,1.10045,0.7091104,1.104426,1.1360474,0.87245524,1.0696061,1.0175128,1.1262434,0.80428416,1.1881071,1.3361901,0.89613897,1.1563663,0.9180473,1.120065,0.7196316,0.93297464,0.74686754,0.88016814,0.9816881,0.93848354,1.029269,1.0784739,1.1541766,1.0058546,0.9755757,0.85626906,1.1582639,1.0367701,1.0465991,1.1582211,0.8369497,1.0907577,0.8946804,1.0131416,0.95914704,0.9335581,1.1341825,0.8512578,0.8874989,1.0876312,0.8675604,0.9188228,1.2955699,1.0887089,0.87417674,0.95283383,1.2701724,0.9186235,1.0405993,0.76019704,1.0467582,1.1293483,0.0,0.8558418,0.71512425,0.8980293,1.1248832,1.0881051,0.9451393,1.0213464,1.0583019,1.1407394,1.0677052,0.878585,0.8710221,0.7155111,0.83835804,1.0237492,0.95948684,1.044442,0.716866,1.2978382,0.8607618,0.8727468,0.9689277,0.83703744,0.91515565,1.0454007,1.2009909,0.85959256,1.0251848,1.0768218,0.89206076,0.9398142,1.1365825,1.0175469,1.2531643,0.8962139,0.9370682,0.6508966,1.2316234,1.0837699,1.2364602,1.1377072,0.84102154,0.96858436,0.9569222,0.87456465,0.9148578,1.0972981,0.99629664,1.0267766,0.8629237,1.2120457,1.0296384,0.8615065,0.8039627,1.184882,0.82136846,1.3138572,1.254451,0.9479532,0.8567098,1.1220698,0.9160044
jar,1.0644252,0.8753195,1.1348543,0.963643,1.1051855,1.1203215,1.0143214,0.9615126,1.1503122,1.2339967,1.1329713,1.1394651,1.0010818,0.9935346,1.1924309,0.9162657,1.0238386,0.5854862,1.0276309,1.1002548,0.91543806,0.9821951,0.8566443,1.1260495,0.931599,1.2643591,0.8569586,1.1497337,0.91162074,0.8151896,1.0535718,1.2597134,1.0065988,1.101778,1.0194482,1.0318893,1.1625552,0.851733,1.0917875,0.79409254,0.7415659,1.0279664,0.7818223,1.0142885,0.9890667,1.0890723,1.1173356,0.9163375,1.1835663,1.0302848,0.8615184,0.9894587,0.98821586,1.0742863,1.0878956,0.89233667,0.8950417,1.1051468,1.0232817,0.9143502,1.1087133,1.1615021,0.8558418,0.0,1.015065,1.109043,1.1495442,1.0960133,1.059231,0.86529,1.0268519,1.0132053,0.83803916,1.0049988,0.9436182,1.0802239,0.9645811,1.0755438,1.0770398,0.9492146,0.77962655,1.1496421,1.1158041,1.0879699,1.0906829,0.9810369,0.99242014,1.0163832,1.0812409,0.968117,0.8170103,0.91935885,1.0132021,0.77385473,0.8779337,1.0074875,1.1320381,0.9363078,1.0475069,0.7755891,1.1311855,1.0303395,1.1628278,1.1124673,1.0256618,1.148272,0.949219,0.8434878,0.97730523,0.995148,1.0676583,0.9612306,0.99056333,1.1012199,0.9786641,0.8403989,0.9226479,1.1457901,0.87878144,0.94978714,1.0896064,0.89813733,0.984291,1.094225,1.1484517
jeans,0.9574087,1.0755935,1.3639021,0.66470164,1.2704948,1.1368467,1.2539647,1.2860297,0.90673304,0.670837,1.0347852,0.6143386,0.6149714,1.3097721,0.5419093,0.90448385,1.1617032,1.3706295,1.1965834,0.96323127,1.2671171,1.0734788,0.98849654,1.2098985,1.0535069,0.8905539,0.8810709,0.6204751,0.78179145,1.3687546,0.79778457,0.84933406,1.3675232,0.54335755,0.8072063,1.3883474,0.8030478,1.2813439,0.7124258,0.89320564,0.9478665,0.9250334,0.7644825,0.9334098,1.432872,1.0280333,0.9658191,0.95982426,1.1475949,1.2999058,0.90714073,1.4373318,1.2590501,0.9178,1.3433878,0.90670145,1.2782226,0.7057206,0.76411796,1.2518191,1.0560777,0.9080038,0.71512425,1.015065,0.0,0.9407042,0.9003328,1.1817781,1.1494823,1.0522394,0.56724846,0.93136746,0.9751849,1.3141882,1.2187482,1.1753876,1.0574942,1.293802,0.7092656,0.41985106,0.26107752,0.7936741,1.3114624,1.3309684,0.8739965,0.8907318,1.0644608,1.1691912,1.2998095,1.4063423,0.93672466,1.3420668,0.81459415,1.3069305,1.0891179,0.60836583,1.0001967,0.3896622,0.88326365,0.24655718,0.79327065,1.0689441,1.0684117,1.0020316,1.2949511,0.6744507,1.4043105,1.0394199,1.4190259,1.0259023,1.416903,0.8757785,0.40385354,0.83665633,1.348045,1.0379684,0.8747275,0.9312334,1.1864083,1.1785984,1.0521092,0.8974141,1.3442023,0.83909166,0.91542023
knife,0.7381012,1.06236,1.0556371,1.0097026,1.2503086,1.1250921,1.0674685,0.91049755,1.0894893,1.0527978,0.63863313,0.8975554,1.325517,0.8089415,1.126865,1.0344255,0.60737467,0.9663009,1.2075475,1.1134205,0.86683404,1.1245553,0.96708477,1.1034577,0.67491853,0.98882216,0.6615305,1.0249608,0.8559634,0.84468246,1.0588976,0.89529866,1.0690688,1.1052408,0.85026205,0.6014331,1.1142085,1.1158987,1.1168234,1.3292255,0.8534262,0.6534599,1.2631288,1.0627553,1.0338813,1.04476,1.2476523,0.8870076,0.6405623,1.015261,0.8738102,0.4267543,1.1782784,1.2635459,0.78483087,0.99450517,1.1060834,1.1879315,1.0694051,1.0338943,1.161109,1.1057243,0.8980293,1.109043,0.9407042,0.0,0.9937064,0.88301665,1.1360782,1.1894151,1.1353686,1.0952123,1.1024047,0.8975431,0.64831674,0.75463676,0.9495752,0.9237666,0.9946169,1.1752461,1.0753505,1.0675159,0.4371094,0.46215665,0.96853894,0.8461217,1.0121578,1.0406296,1.1453506,0.9899834,1.0873845,0.9402079,0.95197994,1.0689727,0.9567521,1.1368948,1.0962058,1.1914768,0.84344506,1.0164164,1.0411522,1.0521212,1.1789668,1.224189,0.7669797,1.0879822,0.81484985,0.97489333,0.56863815,1.0367156,0.8509734,1.174173,1.2015417,1.2626201,0.87654567,0.98934656,0.8110284,0.86466795,0.7066481,1.2973922,1.1834425,0.80920994,0.8286597,1.1194035,0.69101083
ladder,1.1701217,1.3130044,1.3768241,0.8727398,1.1369476,1.2203892,1.2687237,0.7651891,0.6974064,0.6238964,1.339308,0.49177223,0.9368578,1.387537,0.7451088,1.0576141,1.0625798,1.3066757,0.9352526,0.56249726,1.271321,0.72959423,0.9568168,1.1248105,1.0557427,0.8231946,1.2909659,0.8110361,0.53182423,1.2035413,0.5663207,0.7333635,1.1982682,0.6371942,1.1026855,1.401499,0.4222939,1.0422579,0.7915324,0.9705139,0.7867284,0.86803186,1.0200211,1.0568488,1.4182284,0.8701922,0.8747524,1.2729077,1.3102016,1.0949444,1.2984239,1.2878356,1.0695142,0.82830936,1.3772855,1.2220944,1.1182302,0.90534735,0.99964654,1.4409069,1.0190897,0.86856556,1.1248832,1.1495442,0.9003328,0.9937064,0.0,0.92005014,1.2526522,1.0577687,0.7608829,0.8205611,1.0538154,1.4561191,1.3582649,1.3498569,1.2429478,1.34256,0.59116244,0.7614058,0.8600489,0.68547994,1.3190219,1.348135,1.0210668,1.2457799,1.1495563,0.99972564,1.0495718,1.384964,0.8056576,1.0560675,0.59881306,1.2312886,0.9884593,0.6817723,0.61272526,0.77753395,1.1492211,0.9444748,0.703188,0.9776609,0.7878815,0.7047296,1.4537857,0.7845192,1.298723,1.3570769,1.3427248,0.84863627,1.3157713,0.749884,0.7373314,0.56458986,1.2877424,1.3565477,1.2375035,0.8586911,1.3571167,0.7977612,0.7480072,0.61447644,1.4172951,0.62877977,0.977447
lamp,0.8309505,1.2391055,1.0405836,1.0655264,0.92397755,1.04656,1.0399373,0.700017,0.90191185,1.0135378,1.0634367,0.98917836,1.1658612,0.7712891,1.1004064,1.0986028,0.9753769,1.0808,0.86612535,1.0040411,1.1295785,1.0072607,0.9077119,0.83191884,0.804582,0.96620184,1.1439176,1.0603291,0.79841244,0.80306953,0.87429065,0.956639,0.89241135,1.1113677,1.0973355,0.93801814,0.84508973,0.91692555,1.0942223,1.1056361,0.7560095,0.85362625,1.1141622,1.189341,1.0668895,0.86587256,1.0903264,1.2676919,0.8945478,0.6927581,1.2427999,0.77384764,1.0099703,1.0056803,1.0296733,1.1662021,1.1382473,1.1670163,1.213298,1.1216086,0.84614146,1.0071357,1.0881051,1.0960133,1.1817781,0.88301665,0.92005014,0.0,1.0855471,1.0457342,1.2325951,1.0509403,1.0891867,1.1186085,1.071075,0.9960982,1.2213978,1.075446,0.9441608,1.1824125,1.1924084,1.0354017,0.9562896,0.938633,1.1991949,1.0579721,1.0565561,0.7078955,0.9106784,1.026689,0.9725742,0.92230105,0.7978747,0.8006432,0.98589456,1.0450363,0.9905478,1.1187559,1.1451141,1.1805127,1.1606798,0.7444,0.93997395,1.0978215,1.1617428,1.093358,0.8870609,1.0332091,0.8962385,0.91794205,0.94313437,0.9007232,1.139189,0.9733349,0.9123505,1.2104993,1.2559868,1.0197792,1.0667553,1.0661591,1.0123832,0.7216983,1.0505564,0.7302202,1.0126846
melon,0.9592736,0.87363726,0.58538055,1.3182597,0.752653,0.6858891,0.5255612,1.0256851,1.2938783,1.2923756,0.82920355,1.3956819,1.0898143,0.8891267,1.2077794,0.9083562,0.98281467,0.82351834,1.0344902,1.3264444,0.782741,0.99675775,1.0704337,0.87532824,1.1606213,1.1176652,1.0131577,1.1387162,1.358756,0.9065451,1.1856084,1.3233447,0.741506,1.3291204,1.090487,0.82326066,1.3661683,1.0164233,1.0623336,0.8592725,1.2949219,1.2569404,0.93986887,1.0149453,0.6130375,1.0812057,1.0794022,0.9818897,0.7296473,0.79030216,0.98311466,0.7953383,0.76989424,1.1453286,0.8388624,0.76168776,0.8075721,1.0379752,1.2138046,0.5215003,0.9142807,1.1929312,0.9451393,1.059231,1.1494823,1.1360782,1.2526522,1.0855471,0.0,0.8517902,1.1532588,1.0612389,0.9307597,0.80218554,0.7262969,0.8677535,0.99037033,0.72734094,1.3017306,1.2988429,1.2270933,1.4073987,0.87790924,0.85077834,0.813577,0.8913267,0.9315845,0.8970311,0.7830713,0.6567528,1.0254972,0.9999396,1.3571327,0.7039797,0.89916414,1.192869,1.2470047,1.3076711,0.8540662,1.1955885,1.2401714,1.2400787,1.2090105,1.1283062,0.7121099,1.1301827,0.6186818,0.74431705,0.64022255,1.1071355,0.8729325,1.0403322,1.2158902,1.3007815,0.6585854,0.95883876,1.0109985,1.2500207,0.7748129,0.9297065,1.1835088,1.3095832,0.7866218,1.3441752,1.0513687
