,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,bucket,butterfly,can,car,carrot,cat,chair,clock,cloud,comb,corn,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,egg,face,finger,fish,flower,fork,frog,glass,glasses,glove,grass,gum,hair,hand,hat,helicopter,horse,jacket,jeans,knife,ladder,lamp,melon,mitten,motorcycle,muffin,nail,napkin,necklace,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pumpkin,purse,radio,refrigerator,rock,rooster,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,sock,soup,spoon,sprinkler,stick,strawberry,stroller,sweater,swing,table,tape,toe,toothbrush,towel,toy,tray,tree,tricycle,truck,vacuum,watch,window
alligator,0.0,1.1245172,1.134727,0.92097026,0.97916055,0.9991256,1.2570469,1.1290067,0.95956504,0.7417183,1.3365905,1.3086163,0.836825,1.1963918,0.6518816,0.9877455,0.81296617,1.1057254,1.1504669,0.8609799,1.316541,1.3749397,0.7823591,1.3975197,1.2835059,0.8330194,0.9508493,1.0625117,1.1333312,1.3404571,1.165434,1.1567286,0.81296855,1.062537,1.3797255,0.8173321,1.0563958,0.92089695,0.71959555,1.0980352,1.0439091,0.9474297,1.1149095,0.83691347,1.072379,1.1758362,1.1200618,1.3866224,0.2569512,0.74752223,1.2217729,0.8177027,1.0017283,0.85562646,0.9276544,0.73006904,1.2675139,0.8888752,1.0315733,0.8406814,0.7145819,1.331975,0.7675523,1.3020359,1.1304262,0.48818314,1.0388829,1.299778,1.308492,1.1726913,1.3359637,1.0447342,0.8116549,1.166789,0.6839693,0.81259465,0.5928379,1.3585742,1.3458118,1.255392,1.204134,1.3197649,0.94399023,1.1434977,1.0501453,0.7601203,1.3269861,0.8009559,0.87008715,1.0708109,0.6574494,0.68405306,0.94340026,1.0082966,0.893522,1.1161314,0.86910176,1.2512988,0.99389285,0.82078964,1.3803287,0.8338311,1.1531054,1.2336857,1.0343639,0.5445727,0.9505808,0.7530539,1.1596222,1.1508555,1.1417955,1.3520594,0.72768867,1.148806,0.95019346,1.1064824,1.2057027,1.0115525,1.3370298,0.9473712
ankle,1.1245172,0.0,0.8815256,0.9950098,0.9642871,1.01316,0.928026,1.0753987,1.1583593,1.2431159,0.9013926,1.1238462,0.8427638,1.0166095,1.1080168,1.1696464,1.0371039,0.96986914,1.1815962,1.1818814,1.0339488,0.93633646,1.054737,1.0629371,1.088837,0.9415629,1.0066673,1.0310646,1.0717098,0.9239569,0.91934985,1.0145772,1.2390076,1.0702277,0.91457534,1.2113067,0.9828347,0.9332163,0.77318484,1.1653291,0.99757195,0.88223565,0.8552988,0.9585527,0.49379754,1.0061789,1.0585376,0.95769787,1.0733361,1.0277834,0.7448336,0.6579998,1.2127945,1.0208468,0.7485496,0.66455656,0.71467423,1.1967392,1.1496373,1.1521147,0.93334115,0.95934254,1.1828024,1.0198715,1.0347658,0.9026797,1.1386765,1.0342011,0.96478605,0.9965,0.6756564,0.87053585,1.187567,1.0854447,0.98935753,0.89955586,1.120417,0.7518235,0.76786005,1.0116504,0.8441634,1.0079226,1.094344,1.1901331,0.9298738,1.051275,1.0460833,1.1687721,1.1122319,1.0582865,1.0118074,1.0825279,0.4990219,0.85080725,1.0018183,1.172531,1.1292267,0.42655903,0.6289504,1.1929611,0.8710463,1.2200674,0.9890721,1.004356,1.0581096,1.1313531,1.1188719,1.2937392,0.9939127,0.45184833,0.7617167,0.85664505,1.0528338,1.0218331,1.275293,0.970794,1.1402196,1.1130582,0.67954105,1.2053132
apple,1.134727,0.8815256,0.0,1.1540196,0.35065645,0.3603735,0.6156484,1.2128565,1.2868268,1.307661,0.76724106,0.92876613,1.197467,0.9974875,1.1616491,0.97629464,1.2027943,0.9701939,0.7250283,1.2631729,0.75772893,0.8350575,1.1723458,0.82228774,0.9929909,0.64873594,0.99072087,1.1827338,1.0435094,0.8021474,1.0553648,1.0187932,1.2639742,1.051616,0.6214057,1.3379309,1.0061798,0.80738616,1.0181512,1.1943879,1.0566365,1.293884,0.27772874,1.0201604,0.60508394,0.76477265,0.90567863,0.89665866,1.0703895,0.99493724,0.6818037,1.0338509,1.2556217,0.6230782,1.0623226,0.8703952,0.82400966,1.2755831,1.0890175,1.2295425,1.0122117,0.900305,1.2241466,1.004512,0.99423945,0.929301,1.2554061,0.7869973,0.586081,1.1743733,0.79030514,0.16480482,1.3038008,1.0362749,1.2199099,0.9671569,1.2529583,0.647252,0.6346649,0.82490265,0.9020839,0.7050096,1.139655,0.9725471,0.3810923,1.1743848,0.7526701,1.3070725,1.2347839,1.0691879,1.2258568,1.1243887,1.2331784,1.0988355,1.2196212,1.1004207,1.3307517,0.9148141,0.92275006,0.9404308,0.7072046,1.2500062,1.0127225,0.5967735,1.3165694,1.1357446,1.2346121,1.3290155,0.61548764,0.52748495,0.87240016,0.88813573,0.8522047,0.9411982,1.2129097,1.1147532,1.1774914,1.2265264,0.65831584,1.2926128
arm,0.92097026,0.9950098,1.1540196,0.0,1.0762802,1.0775522,1.0490414,1.1596051,0.98687804,0.87077236,1.2545033,1.2621918,0.83870435,1.2024717,0.8856535,1.0379089,0.98487294,1.1774759,1.1300342,1.0211686,1.1703304,1.1956067,1.1201771,1.210144,1.200762,0.9412545,1.0617936,1.1234223,1.2262443,1.1937103,1.0851471,0.9248062,0.8529335,0.8926927,1.2598085,0.9051044,1.0977428,1.0772916,1.0473396,1.0016795,0.83456403,0.8298353,1.0942473,0.82111466,0.98995376,1.2781236,1.2296746,1.2769964,1.0435112,0.8872041,1.1835339,0.9756205,0.85813814,0.9996264,0.86227524,0.7779481,1.1876824,0.8546868,1.0904206,0.8020866,0.81055963,1.2526658,0.9509641,1.2313473,0.9316273,0.9548286,0.9928255,1.171387,1.2112662,1.0967522,1.2591884,1.0740399,0.90230244,1.0201166,0.780977,0.93607086,0.8521495,1.2418046,1.2326943,1.033047,1.2405474,1.1551065,1.09022,1.0670316,1.0769299,0.94379765,1.2335552,0.91826254,0.86347306,1.2215424,0.96009266,0.76711047,0.9176619,1.042199,0.8739429,1.1159046,0.69589996,1.1593428,0.9760603,0.9457639,1.3377609,0.79261976,1.0377585,1.2538002,1.0242606,0.9475554,0.73375434,0.8201661,1.2335471,1.1088152,0.97666776,1.2378753,1.0242488,1.2859781,0.78014964,1.024832,1.1274729,1.091076,1.2002938,0.90416384
ball,0.97916055,0.9642871,0.35065645,1.0762802,0.0,0.0769124,0.8879758,1.1125041,1.0792279,1.1152343,1.1205173,1.1737309,1.157189,1.0749989,1.0498391,0.96961653,1.0582135,0.97434086,0.86674494,1.0946362,0.9329009,0.94322014,1.01069,1.0311519,1.026729,0.8073312,0.8884884,1.2357254,0.9422001,1.0370373,1.0930831,0.9618216,1.1341034,0.99097115,1.0462645,1.2094902,0.96538836,0.9083805,1.005453,1.1478841,0.9449999,1.1798679,0.3817364,1.0290984,0.92657137,0.87211025,1.0365415,1.1106014,0.8767939,0.81132114,1.0245374,0.9415656,1.1737857,0.7301921,1.1482782,0.997468,0.92370117,1.0984001,0.9307612,1.0966511,0.8522567,1.1114916,1.1097703,1.034947,0.95916116,0.82105553,1.1165631,0.83297265,0.9903555,1.1190693,1.1048326,0.4038911,1.160637,0.9503076,1.0875353,0.9909096,1.0945315,1.0435178,1.0330266,0.9593994,1.0777477,0.95150226,1.0965528,0.99601203,0.6103978,1.0011855,1.0853312,1.2101786,1.1208311,0.97074974,1.0876197,1.0501803,0.97399443,1.1325973,0.9698703,1.0776894,1.2070144,1.0457025,0.9660009,0.9759832,1.0476387,1.0366074,1.0695724,0.98067045,1.2060366,1.0173576,1.1256891,1.165993,0.71216476,0.91747004,1.025808,1.1230913,0.5663895,1.0154012,1.106181,1.01677,1.0967629,1.1269605,1.0425199,1.2009697
balloon,0.9991256,1.01316,0.3603735,1.0775522,0.0769124,0.0,0.88616526,1.0902395,1.0497384,1.1296684,1.100513,1.159799,1.1608827,1.1030873,1.0670509,0.9648304,1.0487854,0.9440051,0.8535292,1.0456152,0.94478816,0.8961272,0.9964228,1.0043471,1.0378727,0.7918611,0.93033314,1.1792849,0.98905504,1.0156804,1.0710819,0.9695817,1.1329457,0.99968415,1.0028236,1.1895682,0.93783474,0.96518844,1.0441153,1.1060942,0.991312,1.1813836,0.3443368,1.0588415,0.9217209,0.8777607,1.0246153,1.0985168,0.9092587,0.76156723,1.0249302,0.9875707,1.1659058,0.69000936,1.1199644,0.9846491,0.97287446,1.1198668,0.99010974,1.0984615,0.83303463,1.0831974,1.1027256,1.028776,0.9596959,0.783469,1.1309118,0.8778014,0.9553024,1.0871688,1.1021276,0.4307822,1.1502577,0.9968125,1.0784854,1.0079638,1.0807794,1.0039675,1.0076736,0.9723441,1.0562289,0.9650203,1.1037146,0.9977337,0.6434832,0.94939506,1.0640597,1.1811292,1.1225532,1.028673,1.1004425,1.0580745,1.0653393,1.125037,0.9895855,1.0328729,1.179002,1.068497,0.9589991,0.9558376,1.0316541,1.0107107,1.1191248,0.98275995,1.1863757,1.0282604,1.1119095,1.1513643,0.8091312,0.91952544,0.9724289,1.0690804,0.5654206,0.9695192,1.0967677,1.0152161,1.1234186,1.0839962,1.0314008,1.1680237
banana,1.2570469,0.928026,0.6156484,1.0490414,0.8879758,0.88616526,0.0,1.1286149,1.3991425,1.405509,0.8571297,0.95481235,1.205117,0.79544187,1.3126354,1.165226,1.1928923,0.849988,0.55507207,1.4148707,0.24264032,0.9072961,1.0982884,0.8302882,0.9565341,0.8288592,1.2031137,1.2141811,1.0005252,0.8054006,0.9603671,0.59219474,1.3210063,0.6293286,0.65650916,1.4222125,1.0418067,0.7347416,1.0839233,1.2443526,1.2629273,1.1966424,0.7875876,1.2230451,0.7482948,0.7507841,0.75154895,0.71675605,1.1468468,1.1464995,0.7748753,0.858881,1.3665711,0.61178094,1.0886753,0.9838788,0.90194494,1.2955393,0.9252393,1.2916359,1.244135,0.7619113,1.3751464,0.95049226,0.57405686,1.0877385,1.2093401,0.38454753,0.7921177,0.9685882,0.7205243,0.6159297,1.3285428,0.89642084,1.287014,1.2139295,1.297718,0.62184525,0.65461576,0.4410534,1.0046748,0.13013828,1.0297507,0.6159673,0.8394252,1.2695091,0.8974222,1.3420622,1.2080233,0.93108743,1.1810651,1.3464537,1.0994219,1.179731,1.09559,1.1400583,1.2538366,0.80262053,1.0274177,0.9413998,0.60903573,1.3620398,0.9876738,0.51114994,1.2085401,1.2276291,1.2320429,1.3234379,0.7274385,0.71871996,0.6379101,0.7810559,1.0236932,1.0752982,1.3150403,0.9076711,1.1128011,1.1617179,0.6941179,1.365677
basket,1.1290067,1.0753987,1.2128565,1.1596051,1.1125041,1.0902395,1.1286149,0.0,0.7605953,0.8428566,1.146773,0.88209593,1.0822262,0.96139,1.0537591,1.072252,0.7956867,0.8263272,1.0007228,0.62641025,1.0947496,0.641683,0.83264416,0.9219942,0.93186265,1.128221,1.0319589,0.6850325,0.87075365,1.0455726,0.9012541,1.0563779,0.8652248,1.0777247,1.1967986,0.61910164,0.72266454,1.220938,0.9585946,0.98851436,1.0588602,0.9923708,1.0351808,1.1856283,1.2695165,1.0771172,0.967858,0.90643936,1.05924,1.0702031,1.174121,0.9595712,1.1017739,1.3301426,1.1250923,1.2489125,0.94471043,1.0928286,0.90730566,1.073005,1.2463804,0.9094407,0.7432684,0.8407869,1.0546938,1.0882943,0.9055542,1.0015497,1.2355483,0.8709533,1.0980432,1.2402961,0.922959,0.82300615,1.118277,1.2313676,1.054077,1.1857069,1.1466299,1.0681416,0.76693654,1.0738182,0.7917962,0.8511994,1.1559612,0.6331203,1.0899415,0.92078686,1.1065956,0.914046,0.95316714,1.2166817,0.92247367,1.0244606,0.9521566,0.78337705,1.0128027,0.94186187,1.0052933,1.0091143,1.029653,1.0434495,0.9406323,1.1256658,0.7376198,1.1293125,0.9995353,1.0847969,1.0694299,1.2779615,1.1761011,0.90604913,0.9654681,0.8130014,1.037632,0.7208737,0.84417725,0.67856526,1.1881752,1.0933547
bathtub,0.95956504,1.1583593,1.2868268,0.98687804,1.0792279,1.0497384,1.3991425,0.7605953,0.0,0.62682426,1.1852067,1.0885512,1.0248097,1.1644983,0.91855574,1.0141284,0.8957449,1.0934421,1.1200533,0.28320438,1.2872854,0.9809317,0.9672514,1.1132474,1.1080906,1.0317107,0.91880363,0.8502619,1.0738466,1.1707897,1.1106422,1.0265832,0.6463329,1.0067124,1.2879541,0.640094,0.9613996,1.2620103,1.1618645,0.7690494,0.7074065,0.9075207,1.1067461,0.8702775,1.2023485,1.2641973,1.293994,1.1883975,1.0622635,0.9287466,1.2384871,1.1250273,0.8390535,1.2034438,0.95964,1.05575,1.1192235,0.83861667,1.1049185,0.8372535,0.92073953,1.1045985,0.7798859,1.0174146,1.0385184,0.99642164,0.9443666,1.2367151,1.2051091,0.91239196,1.3108032,1.2557635,0.7109418,1.0744578,0.98604226,0.9814409,0.83982944,1.3264508,1.3277128,1.1587234,1.0202411,1.398496,1.0804982,1.0422493,1.1672921,0.8409275,1.1411129,0.6148866,0.8861727,1.1581404,0.940281,0.8736059,0.9442281,0.9414569,0.9190514,0.58315015,0.8388158,1.1987642,1.0852085,1.0128514,1.2901237,0.7762059,1.1372458,1.3230139,0.9101771,0.9697409,0.89905846,0.7881913,1.2551552,1.2331444,1.1378814,1.0952863,1.0190364,0.99296147,0.8525197,1.0419202,0.99954146,0.87411106,1.297909,0.8399753
bed,0.7417183,1.2431159,1.307661,0.87077236,1.1152343,1.1296684,1.405509,0.8428566,0.62682426,0.0,1.257484,1.1081709,0.744944,1.3595799,0.33275175,0.92184013,0.8942691,1.3072687,1.196585,0.50545424,1.444088,1.1750921,1.2397374,1.3010154,1.2652608,1.0268911,0.99259984,0.7647792,1.3006755,1.2952859,1.0179406,1.1712983,0.21854615,1.1064757,1.4166689,0.30816358,1.0911416,1.3562577,1.014643,0.89789337,0.763429,0.83721966,1.2445047,0.7685343,1.2370219,1.3142583,1.3930237,1.3494233,1.0262731,0.80904627,1.2536376,1.1611452,0.77852666,1.163502,0.88814205,0.9170074,1.1768475,0.792922,1.2093636,0.60180193,0.6518976,1.2729731,0.3780278,1.3280852,1.169133,0.7319474,1.0858982,1.3944433,1.309268,0.8141264,1.3846109,1.1812022,0.59575856,1.2190409,0.5297144,0.6634345,0.7006901,1.4558687,1.4736824,1.2987721,0.8986524,1.4905684,1.0753405,1.1590205,0.9786846,0.6596734,1.2677324,0.50447714,0.8770717,1.361012,1.0107255,0.54950786,1.0869126,0.894329,0.9495387,0.7654434,0.7715913,1.4526844,0.9894004,0.9700973,1.4761261,0.6676757,1.212495,1.4658768,0.9453554,0.8364482,0.89956105,0.50216794,1.2757552,1.305345,1.215777,1.0735189,1.0423411,1.1114764,0.8667778,1.1881328,1.1282927,0.916122,1.4311548,0.74707544
