,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,can,car,carrot,cat,chair,clock,closet,coffee,comb,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,egg,elephant,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hand,hat,horse,hose,jacket,jeans,knife,ladder,lamp,meat,melon,mitten,motorcycle,mouth,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pillow,pizza,plant,plate,pony,purse,radio,refrigerator,rooster,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,sock,spoon,sprinkler,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window,zebra
door,1.0727713,1.205124,1.390807,0.7733934,1.3063965,1.3191302,1.3114207,0.94938225,0.90680254,0.676965,1.2079824,0.6097561,0.9074546,1.318018,0.81043124,0.62732613,1.0565885,1.2026894,1.1617457,0.81186956,1.2253819,0.9890994,1.0120347,0.854738,1.1400945,0.9798801,0.87713414,0.40930325,1.0116681,0.66477036,0.54518,0.9174199,0.6398713,1.052313,1.3587406,0.5604563,1.1771507,1.0250149,0.96513313,0.8875574,1.0758944,0.0,0.74464345,0.8368529,1.2395177,0.98081535,0.9125081,1.2203137,1.2652853,0.9367147,1.231275,1.1644886,1.3096359,0.9169149,1.2005984,1.2326834,0.8547771,1.3694358,0.8621726,1.0227833,1.375093,1.22926,0.91645265,0.98854226,0.746758,0.76745284,0.35173416,1.0320657,0.9086805,1.1456839,1.1524409,1.0610217,1.0371033,1.254076,1.123088,1.0949423,1.2194195,0.90494984,0.5557612,1.2729998,0.8408196,0.76615715,0.89507425,1.325001,1.0545584,1.0683168,1.1707408,1.070415,1.1483653,1.2003896,1.0460747,1.1865224,0.2218535,1.271766,1.1226286,0.84225714,1.2215917,0.8727733,0.962944,0.50386095,1.0630145,0.8185133,1.4604179,0.67367715,1.2962065,1.1182313,1.0892897,0.9390394,0.8335506,0.7749644,1.2948885,1.2950561,1.1866751,1.1982903,1.1414821,1.3046696,1.0402087,0.7606038,0.7896817,1.3445268,0.358688,1.1602247
drawer,1.123593,0.982973,0.99863476,1.2955782,0.9855633,0.95800376,1.0375142,0.8034494,1.0063001,1.0528414,0.6890111,0.7516663,1.1699053,1.0974246,1.1723523,0.8325199,1.1252172,0.9646847,0.6841666,0.9465315,0.95583653,0.7893894,1.0052307,0.5679643,0.8157062,1.0598575,1.2050083,0.6688099,0.7612492,1.0780437,0.78910375,0.93296003,1.0195624,1.142723,0.84246874,0.98103434,0.881889,0.8224808,0.8966444,1.2073379,1.1532581,0.74464345,0.0,1.1440258,0.84391767,1.2518682,1.1688282,0.8806764,0.92875123,0.9369575,1.0725224,0.7602697,1.0353497,1.2742513,0.8786842,1.111427,1.1587,1.1784592,1.1974647,1.181967,0.9992503,1.0819186,1.1337365,1.0573208,1.1007553,0.9789843,0.73070955,0.6908316,1.0609593,1.0307589,1.1775861,1.3045802,1.1543331,0.9914356,0.7006922,0.7656392,0.86401975,0.9774569,0.7571411,1.1920915,1.298893,1.0297177,1.202221,0.8160418,1.128317,0.6881558,0.9479322,0.8819188,0.9234627,1.0535005,0.9220854,0.69414824,0.9492638,1.0448976,0.86049676,1.3055811,1.0986639,1.0115322,0.91573185,1.0951053,0.65494114,1.202475,0.91255015,1.1272784,1.0473641,0.7093819,1.0446544,1.1471848,1.1644039,1.1380122,0.8998972,0.89375204,1.032265,1.1654793,0.8996752,1.1109844,0.8819207,0.9565971,0.84864855,0.8761168,0.9426832,1.091954
dress,1.014884,0.8640698,1.2831919,0.6176988,1.2931466,1.1912682,1.2377821,1.1279434,1.0437064,0.747006,1.3955672,0.80071294,0.16242665,1.2800456,0.6515872,0.94870335,0.97424173,1.3285009,1.4140773,0.9269032,1.0330634,1.218369,1.1839025,1.2082714,1.2577558,0.7100043,0.97294915,0.99699765,1.2687421,0.77389455,0.86689585,1.0924044,0.722855,0.8819174,1.3942919,0.8995873,1.3696973,1.1601386,1.0858022,0.9263056,0.75131387,0.8368529,1.1440258,0.0,1.0482389,1.0421858,0.8969579,1.0029424,1.1615037,1.1452367,0.8502748,1.2632818,1.1770715,1.0103914,1.1029427,0.7127921,1.0417364,1.0007745,0.747705,0.80371475,1.2946693,1.1767857,1.0341854,0.9440325,0.5155659,1.0224309,0.9567379,1.4170487,0.65082693,1.0903584,0.72307515,1.0542543,0.9505176,1.2563441,1.1983887,0.9173331,1.2360365,0.97108114,0.9595247,1.0814049,0.3952278,0.70038533,0.87482417,1.3233428,1.0265895,1.0962924,1.1226507,1.2225188,1.2039467,1.1227114,0.91369206,1.3320408,0.7791545,1.1918715,1.3155229,0.43510795,0.9343275,0.49129915,1.1064624,0.8625502,1.4057776,0.80460835,1.1680459,0.91652626,0.8037787,1.3017356,1.0729718,0.86733305,0.6352583,0.8336027,1.2863795,1.0199748,0.9108088,1.0163022,0.8167891,1.170392,1.1957879,0.9808995,1.1317573,1.2706696,0.9708353,1.0960008
egg,1.1521747,0.6628741,0.54043907,1.1541294,0.702675,0.57762563,0.70440316,1.1296537,1.23232,1.3318999,0.8786995,1.1787839,1.0363859,0.95210165,1.2732636,1.2066793,1.2042613,0.9074656,0.88653296,1.2535324,0.62517685,0.9146988,1.047625,0.9300972,1.0394206,0.83688164,1.2259448,1.1814806,0.8492854,1.0942246,1.1344994,1.2899374,1.187986,1.1158472,0.8158841,1.3850213,0.87617505,0.9234415,0.85323936,1.0668072,0.8770428,1.2395177,0.84391767,1.0482389,0.0,1.2599142,1.03457,0.5634427,0.8470502,1.0910269,0.88247204,0.9616658,0.9851026,1.2899396,0.78999734,0.8096389,1.149161,0.86832166,1.0376607,0.9598298,0.82480854,1.0156078,1.2572987,1.1788921,1.0752195,1.1557257,1.2375059,0.9466119,1.1511924,0.9053899,0.91894335,1.2010608,1.1196675,0.74898565,0.99273884,0.7182425,0.7716409,0.7807871,1.205168,0.92070806,1.1783082,1.0525951,1.3033527,0.8710439,1.0330273,1.0544282,0.7951391,1.0112761,0.9604284,1.006389,1.1038895,0.8595177,1.2715548,0.8861826,1.1212267,1.0982648,0.93329114,0.9307786,0.9514492,1.2869533,0.9274572,1.3112668,0.5912751,1.1916362,0.7537201,0.8335894,1.0232954,1.2111003,1.2200434,1.2433065,0.7209963,0.5468534,0.65390646,0.96331227,1.0448376,0.844717,1.0542039,1.105442,1.1047685,0.78534895,1.2650867,1.0869613
elephant,1.0099366,1.1474166,1.0058845,0.96456206,1.0545578,1.0794951,1.0044087,1.1238894,1.0516154,0.8084527,0.98457414,1.0855407,1.0770925,1.0237975,0.82747257,0.9108723,1.0490596,1.061886,1.0628957,1.0639123,1.1315732,1.143321,1.0900663,1.1395981,0.97154915,0.96124065,0.53366876,1.1416547,1.0361371,0.9928512,1.1164303,0.7371582,0.9890871,1.0292703,1.034252,0.9796887,1.0401286,0.93393135,1.0925798,0.9748594,1.1618333,0.98081535,1.2518682,1.0421858,1.2599142,0.0,1.062998,1.1805747,0.9585535,1.0476277,1.0160497,0.98463124,1.0287493,0.6872058,1.1006895,1.107584,0.66923976,1.0704231,0.9476302,1.1154996,1.0315425,1.0746198,0.861738,0.5192785,0.96841365,1.0729145,1.0524778,1.0043553,0.9969365,1.0028232,0.98279816,0.709592,1.1047586,1.0593897,1.0620534,1.2023376,1.0567243,1.1137682,1.0185688,0.99747276,1.0098636,0.8891578,0.8826498,1.0183678,1.0941995,0.90395665,1.1127683,1.0173607,1.0699514,1.0706375,0.9577571,1.0496057,1.0063701,1.0892081,0.8150784,0.9632601,1.105735,1.1238631,1.0487856,0.86665416,1.0113802,0.83099365,1.1169516,0.8760839,1.1423739,1.0519035,1.1106884,1.0177486,0.69505405,0.97900444,1.1664762,1.228756,1.1654851,1.1365588,1.1152287,1.1053574,1.154602,1.0098693,1.0700479,1.1506605,0.8642812,1.0528734
face,0.95419234,1.1431868,1.1203958,0.7742231,1.1051553,1.0795988,1.1506244,1.1090503,1.0536494,0.9725359,1.2818753,1.0600972,0.8606336,1.1400834,0.8592981,0.94508934,0.92907125,1.1681572,1.2626756,0.9463719,0.9263116,1.1350988,1.1798241,1.2907274,1.0992187,0.78698754,0.9018888,1.0790374,1.1759281,0.8445929,0.97293484,1.1070604,0.959046,0.9116753,1.239737,0.9588915,1.1764941,1.2012784,1.0528076,0.85046875,0.85222393,0.9125081,1.1688282,0.8969579,1.03457,1.062998,0.0,0.9239432,1.0941066,1.0120691,1.061677,1.1428285,0.98409146,0.80859196,0.9127971,1.161778,0.9550687,1.0935037,0.54862756,0.81750417,1.0960197,0.89836144,0.96690124,1.166904,0.92330444,1.0673057,0.99912256,1.2285485,0.9892382,1.0923555,0.9450553,0.92209995,0.73069745,1.0045083,1.2738991,0.97791564,1.0435711,0.96538925,1.0824265,0.99236745,0.78555334,1.0385276,0.93036085,1.275782,1.1038507,1.2581879,1.0338135,1.1150135,1.2010498,0.92563856,1.2758837,1.1773915,0.8984179,0.9853039,1.2619798,0.6958232,1.0868385,0.9127596,1.1499857,0.91975504,1.2468033,0.91041654,1.1195395,0.95733535,1.2097397,1.2486832,1.0242076,0.962611,0.8474245,0.86152923,1.2321676,0.9029955,1.0360593,1.0905919,1.1815715,1.0614718,1.0851799,0.87831134,1.1227648,1.2285384,0.8507,1.0241541
finger,1.2675804,0.54882646,0.6506314,1.0720022,0.9250373,0.7877381,0.907006,1.2690495,1.3238465,1.3075492,0.72771615,1.1763337,1.0750546,1.1223831,1.3204219,1.1527308,1.2271352,0.8486694,0.9447006,1.4077568,0.50477767,1.1134639,1.3138071,0.9414019,1.1240702,0.76806515,1.2003611,1.2838259,1.0590036,1.2304994,1.2282523,1.1691352,1.1664269,1.0283449,0.6167227,1.4454095,0.8222907,0.89474154,1.0745788,1.2990332,1.1710384,1.2203137,0.8806764,1.0029424,0.5634427,1.1805747,0.9239432,0.0,0.94055533,1.156826,0.60248333,0.7376036,1.1488162,1.1793852,0.41239345,0.6907396,1.1596433,0.77411056,0.8480058,0.53453386,0.83544195,1.1626041,1.2491969,0.9996687,0.9661359,1.0044537,1.3174689,0.9033068,1.101502,1.0894747,0.8065883,1.2554011,0.85063654,0.5467105,1.0004399,0.4035315,0.61178595,0.79118127,1.1692867,1.1037369,1.1456492,0.95120656,1.2011733,0.5272391,0.9539662,1.0447506,0.9537504,1.0341508,1.239739,1.1121573,1.2686989,0.9868228,1.2375973,1.1008431,1.0119627,1.0515935,0.8927382,0.8089917,0.9890179,1.2784773,0.9554925,1.2359048,0.3831644,1.3038793,0.6369459,0.87108505,0.9452966,1.3353492,1.0968281,1.274575,1.0987073,0.081451654,0.59018946,0.7730531,0.99299234,1.1832268,1.194347,1.1574352,1.0956571,0.58752984,1.242292,1.0816735
fish,0.6012542,0.9489344,0.819548,1.2567091,0.81611896,1.0220864,0.81822896,1.1473068,1.2246648,1.1817921,0.8041266,1.1100812,1.1359165,0.5927307,1.1684338,1.1462123,1.1983752,0.9584421,0.9515238,1.2878871,0.76366854,1.0950545,1.163353,1.073686,0.83425874,1.0352905,0.8461226,1.3314886,0.95928603,1.0659349,1.0638374,0.99977833,1.163635,0.83652973,0.75818956,1.3198905,0.971675,0.88975906,0.824312,0.8637469,1.1215433,1.2652853,0.92875123,1.1615037,0.8470502,0.9585535,1.0941066,0.94055533,0.0,0.98180693,0.80242836,0.67598236,0.60909843,1.0052717,0.90317976,0.9918102,1.0188354,0.8875519,1.1164882,1.1355929,0.745951,0.948985,1.1305119,1.016404,1.1684444,1.2016597,1.3537312,0.874624,1.0520812,0.8374175,0.9593431,1.0823729,1.0802174,0.9006876,0.8968468,0.92509896,0.86978716,1.1179127,1.2087641,0.87324387,1.2722914,1.0691472,1.1710931,0.8470756,1.1005551,0.9827965,0.7337292,0.93984383,0.9807597,0.9742495,1.1332501,0.90391386,1.3257228,0.73766947,0.78309846,1.2429235,0.9710506,1.0667586,0.9885522,1.3149089,0.89555496,1.2420529,0.7453815,1.0473537,1.0083504,0.80156326,1.0528609,1.2242608,1.1799115,1.2529478,0.9835151,0.89429945,1.0125794,0.99566317,1.0344738,0.9952157,1.1524293,1.0344139,1.0888655,0.96183413,1.1580012,0.8999567
flower,0.9701749,1.174738,0.86833405,1.2424009,0.8648769,0.93248683,0.7309587,0.91048944,1.0173585,1.2814558,0.8716552,1.2758528,1.2405844,0.7983191,1.3062011,1.0274028,1.0238156,0.7457149,0.7283545,1.1893101,1.1204634,0.772377,0.90622,0.7705826,0.78291786,1.2344893,1.2073041,0.8268609,0.7011554,0.99757314,1.0550344,0.9999829,1.2825203,1.1049885,0.87156856,1.1194232,0.7713486,0.7534777,0.902935,1.0675455,0.8698835,0.9367147,0.9369575,1.1452367,1.0910269,1.0476277,1.0120691,1.156826,0.98180693,0.0,1.1632524,0.98338115,0.8710296,1.149771,1.1209462,1.3081329,0.86841214,1.0721543,1.1825745,1.2421616,0.8750891,0.94668293,1.1036019,1.1596748,1.3193148,1.10443,0.98968613,0.6362251,1.1273315,0.87518,1.2718432,1.1591085,1.1067203,0.9977707,0.8447774,1.126193,0.9137099,1.014274,1.1161723,0.8339333,1.2490786,1.2245147,1.2290599,0.9688183,1.1311847,0.7647345,0.9957369,0.19500822,0.7744267,0.89654326,0.857168,0.80171436,1.0602443,0.8113862,0.8266351,1.2762086,1.2216463,1.2154578,0.9641866,1.12096,0.8281032,1.3373123,1.0523927,1.1070925,1.2541718,0.84348774,1.0854485,0.96931666,1.209032,1.1533839,0.8964344,1.1166445,1.0372975,1.1777487,1.0782628,0.9387843,1.0125016,0.62960124,0.7167739,0.96254265,0.7827892,0.9753212
foot,1.0621102,0.57424355,0.991637,0.9039527,1.1402345,1.0221264,1.0238944,1.1454048,1.158322,1.0490823,0.99039537,0.948595,0.82096386,1.108906,1.0141205,1.111125,1.290664,1.1083674,1.1787667,1.2086469,0.75849867,1.1776673,1.220091,1.0690559,1.1903954,0.69490415,0.8873211,1.2692034,1.1934366,1.0840983,1.1583868,1.0130597,0.9081476,0.89504826,1.0288167,1.2471297,1.1345878,0.9068883,1.0866778,1.0228356,1.0602686,1.231275,1.0725224,0.8502748,0.88247204,1.0160497,1.061677,0.60248333,0.80242836,1.1632524,0.0,0.884265,1.1254185,1.0172001,0.8490056,0.40483904,1.2067972,0.9121264,0.9555222,0.71110636,1.1198587,1.215686,1.1381719,0.8463128,0.67989355,1.1947265,1.2743912,1.132422,0.74817884,1.0894783,0.26467383,1.0200135,0.9608505,0.99477416,0.9297724,0.76874936,0.9292951,0.92449844,1.0471745,1.1545268,0.97574514,0.624521,0.9356285,0.9365649,1.093152,1.0352257,1.0266645,1.0967777,1.2399656,1.0877914,1.0075877,1.093309,1.1684496,1.2120264,0.9726229,0.9330344,0.5460498,0.6712029,1.0116584,1.186385,1.1421316,1.0661579,0.5611932,1.1776098,0.45414597,0.99212253,0.9156233,1.1417946,0.95187616,1.2814674,1.1924763,0.5045351,0.86896574,0.9375913,0.67200875,1.2417035,1.1617957,1.1431892,1.1717049,0.9418538,1.3185558,1.0683004
fork,0.969709,0.93593204,0.8310913,1.3672124,0.8863001,0.88884836,0.8238953,0.90582186,1.0932219,1.3492274,0.65959007,1.1750356,1.2647685,0.8682549,1.3732952,1.0818837,1.2108315,0.8723239,0.8357628,1.2498081,0.70914525,0.9829067,1.0668807,0.73617053,0.8306197,0.96563387,1.070041,1.1102616,0.8177264,1.2874625,1.2810338,0.6087067,1.3051993,1.0704238,0.63417685,1.2638638,0.8311862,0.7751662,1.0560507,1.2160827,1.2222183,1.1644886,0.7602697,1.2632818,0.9616658,0.98463124,1.1428285,0.7376036,0.67598236,0.98338115,0.884265,0.0,0.9031337,0.92874885,0.7217444,0.98733354,1.0863905,0.83221716,1.0553371,1.0358034,0.77725476,1.0376793,1.1842451,0.8619389,1.2236615,1.0246935,1.1719648,0.7032223,1.1407899,0.8876613,1.1149695,1.250447,1.099669,0.8348844,0.69251776,0.6692054,0.66806644,1.0865928,1.0345222,1.0982063,1.3559093,1.0104129,1.2057097,0.60452926,0.9632514,0.71737206,0.92565995,0.834723,0.8791663,0.99592304,1.0304893,0.7853856,1.2415116,0.932595,0.66444933,1.2789216,1.0445698,1.0465531,0.85908985,1.2944461,0.8011439,1.3754828,0.7295067,1.2814156,0.9254514,0.7081298,0.9636764,1.2802413,1.1212956,1.4073089,0.9350909,0.740466,0.9461475,0.8837473,0.9055329,1.095934,1.0791692,1.0187085,1.0202255,0.74485326,1.159914,0.89541566
frog,0.35422093,1.1337011,0.84969974,1.3369675,0.838073,0.9817873,0.8122666,1.0247744,1.0425906,1.2021143,1.0466971,1.2792823,1.1994778,0.4248258,1.2014152,1.2459892,0.71913415,1.0373235,1.0598038,0.9807166,0.95967644,1.0225216,1.0440211,1.1392661,0.74944186,1.246663,1.0198495,1.2705095,0.89063424,1.1223187,1.2127402,1.0787752,1.2924519,0.89530635,0.9311613,1.1791861,1.0716201,0.991383,0.9243923,0.7464745,0.8754251,1.3096359,1.0353497,1.1770715,0.9851026,1.0287493,0.98409146,1.1488162,0.60909843,0.8710296,1.1254185,0.9031337,0.0,1.0372713,1.0616351,1.1781204,1.0344565,0.9384834,1.214573,1.1216177,0.7367652,0.22123402,1.0589623,1.1239648,1.3989556,1.1243316,1.2396142,1.0101842,1.2181196,0.821956,1.1715167,1.0743084,1.0851421,1.0714169,1.109672,1.2070252,0.9809586,1.1183077,1.2153996,0.61413443,1.2404797,1.3158069,1.1717612,1.045084,1.139741,1.0306242,0.69906783,0.83870035,0.78793883,0.3810916,0.9984646,0.95517206,1.3561571,0.3281039,0.8214086,1.2775509,1.039273,1.2516637,1.1607612,1.2529876,1.1118673,1.1725421,1.0700908,1.0205466,1.1411434,0.95738673,1.048697,0.9608134,1.1886116,1.0577453,0.906083,1.1256254,1.2227688,1.02399,1.1486161,0.5799983,1.0534135,1.0335258,1.0945913,1.0444742,1.2018619,0.70629597
glass,0.79680777,1.1990111,1.2156762,0.6784698,1.237761,1.1851933,1.185175,1.0161608,0.99440706,0.68993986,1.2400427,0.9417781,0.89934665,1.1346807,0.7511013,0.8751861,0.8778063,1.2482572,1.2820339,0.8676952,1.0903705,1.1755846,1.1109289,1.3456247,1.0945023,0.88818586,0.6517507,1.1439103,1.1503105,1.0062782,0.9561297,0.7416568,0.9075719,0.9049717,1.2646388,0.8592662,1.2608993,1.2624726,1.1763538,0.8422257,1.123925,0.9169149,1.2742513,1.0103914,1.2899396,0.6872058,0.80859196,1.1793852,1.0052717,1.149771,1.0172001,0.92874885,1.0372713,0.0,1.0638355,1.0557659,0.8950024,0.89654934,0.69564617,0.769286,1.1963311,1.0148762,0.86292315,0.8152505,0.77365994,0.84299874,1.0270966,1.2343781,0.92803556,0.95970476,0.94188344,0.6780419,0.92348164,1.1841941,1.2456992,1.0884602,1.2271813,1.1511805,0.9752372,1.1436409,0.78747773,0.74635726,0.6200444,1.1673896,0.92763865,1.1944264,1.1597031,1.2007438,1.1566318,1.0286297,1.0801663,1.1585511,0.83537674,1.1463041,0.9696071,0.67648834,0.9594147,0.90175015,1.0721344,0.9406486,1.1848043,0.67259663,1.3241494,0.76277137,1.1784446,1.274683,1.0490547,1.0987422,0.7025616,0.80668956,1.227351,1.2403672,1.1577314,0.9250819,1.1964788,1.1467708,1.058986,0.9934596,1.2594824,1.2555113,0.91745657,1.0081514
glasses,1.2753906,0.7179275,0.5607532,1.2024368,0.8893831,0.68946207,0.83843386,1.1901429,1.3113266,1.3105893,0.61452687,1.2358913,1.1470989,0.98789716,1.3922491,1.1444416,1.2385964,0.7850221,0.8353682,1.4221568,0.5575271,1.0695055,1.2517438,0.9010038,1.0365329,0.91220486,1.1974893,1.2951522,0.94293666,1.254133,1.2375278,1.0810606,1.2707338,1.0454477,0.514852,1.4193676,0.77341616,0.937817,1.060481,1.2837352,1.2263807,1.2005984,0.8786842,1.1029427,0.78999734,1.1006895,0.9127971,0.41239345,0.90317976,1.1209462,0.8490056,0.7217444,1.0616351,1.0638355,0.0,0.8703539,1.1537036,0.8572481,0.82116604,0.87953216,0.6954165,1.0903943,1.1846732,0.9516087,1.1176064,0.99115634,1.2754474,0.7760538,1.1944509,1.028506,1.03243,1.1863339,0.8801077,0.5139821,0.9527418,0.39654338,0.5904901,1.0059516,1.1774787,1.0575447,1.2220327,0.9784774,1.229182,0.46928668,0.9172626,1.030117,0.9059479,1.0015196,1.1008836,1.0579536,1.1232524,0.81569016,1.2409842,0.9989389,0.8390887,1.1240441,0.9964862,0.8417705,0.87670565,1.3416007,0.89615685,1.2774243,0.45590293,1.3253376,0.8382371,0.7776557,1.0028859,1.2935501,1.1454418,1.3099842,1.0162761,0.4177183,0.68147695,0.7357531,1.0232899,1.1452372,1.0855769,1.1660336,1.0356634,0.49334085,1.1739429,1.1030724
glove,1.1586678,0.29898643,0.9970582,0.72923386,1.1284928,0.9884618,1.1380203,1.1273187,1.1202812,0.96772873,1.1231614,0.8488021,0.61926955,1.1693639,0.8781507,1.1359969,1.17343,1.2079941,1.2454913,1.0500726,0.90001154,1.1662974,1.1282933,1.1065627,1.2507689,0.798229,1.0280087,1.1757184,1.290398,1.0980393,1.1579161,1.0840659,0.761684,0.9035903,1.1061283,1.1400551,1.2160273,1.1443937,1.0795904,1.09655,0.8782303,1.2326834,1.111427,0.7127921,0.8096389,1.107584,1.161778,0.6907396,0.9918102,1.3081329,0.40483904,0.98733354,1.1781204,1.0557659,0.8703539,0.0,1.2693677,0.7528315,0.96676254,0.6169314,1.1547489,1.2465628,1.0871052,0.8712352,0.55024844,0.9891359,1.1670892,1.312403,0.694556,1.0019696,0.24356365,1.0232726,1.0011169,1.1458297,1.0795766,0.82309693,1.0986247,1.0622733,0.95965534,1.1908519,0.75944054,0.63288635,0.9090725,0.9477131,0.86609906,1.0276555,1.1156158,1.2794222,1.2031142,1.1667216,0.95279926,1.1960816,1.084191,1.2482507,1.1149448,0.6796049,0.5384875,0.5305688,0.910473,1.1201898,1.2810777,0.9322954,0.66341347,1.1507924,0.11606312,1.083519,0.894947,1.0832465,0.91488516,1.1660533,1.082946,0.6847945,0.7310347,0.7190314,0.7048802,1.0808077,1.0839703,1.2162299,1.1947215,0.9734642,1.2952507,1.1315114
grass,0.991066,1.234656,1.0602179,0.96668893,0.9810494,1.0908941,1.0916554,1.1440134,1.086957,0.82519233,0.974442,1.0044327,1.0819706,1.0596006,0.8590432,0.5485545,1.0478004,1.0593526,1.0299115,1.0708896,1.1767035,1.0678046,1.1215593,1.0561792,0.81539345,1.0649763,0.70105296,1.015293,1.0475924,0.957896,0.89011335,0.91106874,0.92810404,1.0969536,1.0589988,1.0100944,1.0030583,1.0400057,0.9458004,0.90206707,1.1592784,0.8547771,1.1587,1.0417364,1.149161,0.66923976,0.9550687,1.1596433,1.0188354,0.86841214,1.2067972,1.0863905,1.0344565,0.8950024,1.1537036,1.2693677,0.0,1.2437671,0.9619213,1.1656384,1.0550476,1.0167409,0.8959004,0.7923727,0.9833731,1.0794373,1.0080996,0.9540914,1.1142533,1.0799141,1.1629246,0.864609,1.0252042,1.0005099,1.1117442,1.1626174,1.062934,0.99633276,0.9943053,1.0547785,0.997372,0.9822123,0.98516124,1.1038259,1.141541,1.0080302,1.0648077,0.9598223,1.0632083,1.038727,1.1566558,1.0136771,0.9136111,1.0656794,1.0061227,0.982243,1.1975843,1.0913099,1.1453242,0.8518406,0.90777135,0.92443526,1.1919073,0.74177563,1.2718298,1.0593574,1.1897396,0.9879491,0.7820394,0.8636397,1.1604979,1.2000124,1.2055963,1.2806952,1.1845869,1.1042588,1.1810668,0.504632,1.0124829,1.1397868,0.54335016,1.0703328
gum,0.92002815,0.8067196,0.78425384,1.0215642,0.89321405,0.8843813,0.99133396,0.9653204,0.98863906,1.2126088,1.1010274,1.2273626,0.93277633,0.9305046,1.1747787,1.1934063,0.75090086,0.925813,1.0736401,0.9719805,0.75481725,0.9386925,0.92199403,1.2202268,1.102135,0.9991392,1.2972993,1.3157318,1.0684034,1.3164623,1.1517117,0.96269894,1.2824365,0.7365447,0.84984446,1.2044309,0.9810572,1.1980623,1.1166234,1.2339622,0.8860028,1.3694358,1.1784592,1.0007745,0.86832166,1.0704231,1.0935037,0.77411056,0.8875519,1.0721543,0.9121264,0.83221716,0.9384834,0.89654934,0.8572481,0.7528315,1.2437671,0.0,1.0289366,0.6395316,0.93224746,1.06988,1.1073549,1.2495944,1.1136225,0.7805644,1.3107803,1.1584278,0.88711894,0.7802013,0.93815047,1.0870354,0.9233389,0.8895416,1.003386,0.83239293,0.9697838,0.98551786,1.2781246,0.9889525,0.9867747,1.2712507,0.8005621,0.7575543,0.6763549,1.0198786,0.90766937,1.108329,0.85209674,1.0769191,1.1202098,1.0586478,1.318886,0.9731961,1.0267369,1.0450311,0.7003912,1.0962447,0.95136195,1.2466202,1.101093,1.0311017,0.7840477,1.2317051,0.76685977,1.005668,0.8781795,1.2056518,1.267576,1.0274667,0.81061965,0.8345549,0.6285912,0.4272371,0.9344387,0.74157673,0.9520311,1.1390198,1.232588,0.7861508,1.3503708,0.8891662
hair,1.0100187,0.9521458,1.2195785,0.6147133,1.2842149,1.2081709,1.185632,1.1624918,1.1123164,0.7869076,1.2963198,0.8694912,0.68477577,1.3421677,0.7452146,0.8533435,0.9663673,1.2841458,1.4060146,0.9459575,0.80065054,1.3351679,1.2642915,1.3612909,1.2442527,0.5350538,0.7439296,1.0925617,1.3664641,0.943643,0.8959255,0.95812696,0.74445856,0.9287986,1.311631,0.9222472,1.278978,1.2674258,1.1477109,0.8309001,0.9601937,0.8621726,1.1974647,0.747705,1.0376607,0.9476302,0.54862756,0.8480058,1.1164882,1.1825745,0.9555222,1.0553371,1.214573,0.69564617,0.82116604,0.96676254,0.9619213,1.0289366,0.0,0.669513,1.1941533,1.1267403,0.92800605,0.9491513,0.6405753,0.8963509,1.0103141,1.3513635,0.9238027,1.0939403,0.8466864,0.91866636,0.80754125,1.0745033,1.3783231,0.6932448,1.122197,1.0073127,0.99867916,1.1789514,0.54021007,0.719095,0.7996856,1.2379379,1.0079029,1.3077006,1.0957217,1.2689279,1.392908,1.0946492,1.2637243,1.3388128,0.7255237,1.2460005,1.2671968,0.47885936,0.99770236,0.7006488,1.0994375,0.8593732,1.3346397,0.7304904,1.1694416,0.8896085,1.0869763,1.2822353,1.0878594,1.0062466,0.6648308,0.72672147,1.4264004,0.88399065,1.0650334,0.9756876,1.1949058,1.236975,1.1693099,0.9104867,1.2107015,1.2716917,0.8931583,1.0886729
