,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,comb,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,egg,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,jacket,jeans,knife,ladder,lamp,meat,melon,mitten,motorcycle,muffin,nail,napkin,necklace,nose,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pony,purse,radio,refrigerator,rock,rooster,sandwich,sauce,scarf,scissors,shirt,shoe,shorts,shovel,sink,slipper,snow,soap,sock,spoon,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
couch,1.1163235,1.2158778,1.3823643,0.6884589,1.0331042,1.2303159,0.99960244,1.1728977,0.23787564,0.19105661,1.0661567,0.33776534,0.7230774,1.2082454,0.43107355,0.93499875,0.9477718,1.327197,1.3173641,0.8071143,1.2073069,0.95817804,1.0415671,1.1445572,1.1742411,1.2190543,0.76611346,0.3763262,0.97474957,1.3215802,0.8414302,1.0681059,0.0,1.1488001,1.4409972,0.7332554,1.3368478,0.8980354,1.0012053,0.7714958,1.0243803,0.83163214,1.3839281,0.9165229,1.130811,1.3739432,1.2827687,0.989154,1.423219,1.3477582,1.081982,1.2441506,0.71330196,1.2447668,0.7279277,1.048336,0.85867953,0.88533986,1.2240932,0.44824904,0.64444476,1.3494753,0.7064929,1.3627025,1.1216362,0.84655285,0.7919163,0.60934794,1.1765904,1.326543,1.2084522,1.0144511,1.0891396,1.0143223,1.2715567,0.61641836,0.5911988,0.8170899,1.4194888,1.3995309,0.8977773,0.8925294,1.2033534,1.0663456,1.3270257,1.1880848,0.8086407,1.2955182,0.80402195,0.7646019,1.2076008,1.0086753,1.0963558,0.8778323,1.3395312,0.53980386,1.018334,0.77149904,0.9267554,0.93754804,1.2596028,0.83450085,1.1403878,1.1634514,1.4286745,0.77109957,0.569836,0.59329855,1.2532684,1.0668283,1.0185635,0.9793969,1.142933,1.1490215,1.0427016,0.9315235,1.2076845,0.8932556,1.368459,0.7188413
cracker,1.0013971,1.0583341,1.119745,0.99985176,1.0983869,1.1782966,0.8720718,1.2632402,1.1102252,1.1182543,1.1643856,1.0560452,0.9702216,1.0213253,1.0866944,1.0200181,1.0528727,1.2922292,0.8716136,0.97654605,0.22767055,1.2479362,0.9978383,1.3455288,1.0983957,0.9594421,1.2056757,1.147509,0.86144626,1.2011795,1.0897096,0.9395048,1.1488001,0.0,1.248135,1.0995544,1.2848186,1.0394878,1.0818152,1.1518061,1.0519463,1.0587496,1.0552806,0.96691686,1.0235277,1.068486,1.1642683,0.9933195,1.2237678,0.9873729,1.2700688,1.0812476,1.0854876,1.0032988,0.92751074,0.22379267,0.84788257,1.24254,1.0872176,1.0801632,1.0799357,1.2202958,1.0662827,1.1507882,0.2061292,0.9973721,0.89583963,1.1196754,0.27341127,1.1410377,1.252883,1.056267,0.96957785,1.2676042,1.1865342,1.0587502,1.02518,0.9227807,1.2210724,1.2221556,0.9751913,1.0514826,0.052595258,1.0630021,0.472991,1.0796295,1.1883788,1.2223128,1.1949751,1.2091309,1.1136308,0.23825777,0.25293744,1.1264727,1.0800408,1.0547408,1.1098584,1.0504557,1.1368089,1.2749878,1.2808543,1.0104945,1.1286384,1.2468132,1.2133617,1.0736163,1.0065161,0.8113625,1.1603596,1.1224012,1.0477161,1.0202402,1.3140538,1.1571176,0.9173633,0.95060176,1.1159526,1.2060071,1.2284709,1.076436
crayon,1.1424749,0.91992164,0.4730093,1.3376598,1.0872146,0.75754607,1.1332458,0.7499631,1.4502115,1.5265664,0.62033296,1.4954666,1.5326235,1.0260524,1.5053895,1.225109,1.074611,0.33648992,0.5082066,1.3079894,1.0176597,0.8453704,1.1873336,0.5699066,1.0345141,0.5296569,1.0677136,1.3898387,1.237144,0.65686876,1.2313423,0.90476733,1.4409972,1.248135,0.0,1.4166168,0.2717464,1.2582331,1.1104736,1.2444407,1.0318776,1.3411286,0.39146388,1.2376337,0.61827075,0.34757507,0.6237118,0.9678877,0.34927332,0.9141533,0.7786681,0.49722242,1.2875017,0.5871192,1.3717437,1.4014289,1.1462904,0.7631322,0.9843986,1.4035966,1.3376906,0.41438347,1.4048162,0.60000426,1.3393846,1.2991008,1.3905146,1.3360415,1.1813056,0.2550856,0.35203922,0.76620346,0.76546544,0.64297545,0.8244541,1.4749458,1.373008,1.3827345,0.21104026,0.2368133,1.1952162,1.0141797,1.226703,1.0278612,0.75125206,0.9915016,1.252378,0.6578653,1.1442606,1.0510573,0.77127963,1.4056673,1.3592483,1.0862969,0.5501409,1.4901258,1.0064818,1.1011169,0.9589499,0.77950054,0.3124956,1.231333,0.5788728,0.42329907,0.36019278,1.4285094,1.4899243,1.5500593,0.6042484,0.61925733,0.7218938,0.9482808,0.41004765,0.9295039,1.1402673,1.2547882,0.99968874,1.0583814,0.38407266,1.3778722
crib,0.8946158,1.1960233,1.2619919,0.8903964,1.0743984,1.1531658,0.9313427,0.7609105,0.71146953,0.54334366,1.1901386,0.56349224,0.6833738,1.0331179,0.6233417,0.54546094,0.7909902,1.2509842,1.2529852,0.6418247,1.2203041,1.1640551,0.96191394,1.0870471,1.0146288,1.4277594,1.0290263,0.5373211,0.71351975,1.1957312,0.49617976,1.0686278,0.7332554,1.0995544,1.4166168,0.0,1.3133,1.0417268,0.87008196,0.78252494,0.9671546,0.8303602,1.3931715,0.98640466,1.4274042,1.343959,1.1880744,1.1465256,1.4000118,1.0883594,1.0929122,1.3879516,1.0945098,1.2108777,0.91893023,0.8397652,1.0990708,1.2822688,1.1030585,0.7243353,0.9475303,1.3724505,0.33379233,1.2452989,0.92029405,0.787385,0.79813135,0.7690331,1.0939702,1.4186527,1.4164546,1.3671517,1.2945416,1.1693246,1.1565703,0.6409089,0.95836264,0.72718185,1.4334756,1.4222137,1.0449433,1.0929623,1.0705742,0.99957806,1.1936123,1.0851076,0.79074013,1.2741606,0.8341243,0.919451,1.2647007,0.8452712,0.8662773,1.0184672,1.209024,0.8242502,1.1860532,1.0442207,0.89578354,1.1720974,1.5533608,0.67533267,1.1492776,1.4338137,1.403976,0.38636494,0.74343944,0.46713364,1.3106308,1.4673463,1.1544626,0.98724705,1.3843801,0.5319204,0.68236095,0.8812015,1.043925,0.77057266,1.4513087,0.70893055
cup,1.1876122,0.94412726,0.6584967,1.273351,0.99387157,0.6422404,1.3734345,0.6272699,1.3423939,1.4777188,0.8227907,1.4525051,1.4902923,0.9718986,1.4644281,1.2373086,1.0588907,0.11482906,0.43690926,1.1847559,1.1769441,0.5711429,1.1789864,0.31517613,0.9032868,0.87765956,1.0478026,1.2422286,1.2552358,0.46707135,1.2215889,1.0641891,1.3368478,1.2848186,0.2717464,1.3133,0.0,1.2266086,1.1880925,1.0316014,0.9644741,1.2537241,0.38734615,1.22626,0.9181036,0.48855412,0.47411668,1.1027204,0.3223709,1.0538425,0.5857067,0.7513609,1.2797803,0.77129155,1.356591,1.3755717,1.335968,0.7737005,1.0220318,1.4225523,1.3105688,0.5525241,1.2412483,0.440701,1.303529,1.2701888,1.4565493,1.3179762,1.2290906,0.42590964,0.36106628,0.9862496,0.95671386,0.4885465,0.8025434,1.3984594,1.4045781,1.3833084,0.3644117,0.37011832,1.2007916,0.8879613,1.2450174,0.89928794,0.74263054,0.9872101,1.0614882,0.6461827,0.8723535,1.1233844,0.77687323,1.3767855,1.2871387,1.0928737,0.7464328,1.4577892,1.0193672,1.1647581,1.0082498,0.68870366,0.509779,1.1962216,0.57977897,0.3581487,0.32799304,1.3316364,1.4533395,1.4841096,0.7494069,0.7816052,0.9488744,1.0248126,0.32213998,0.99345523,1.1265826,1.1010662,0.86699677,1.0170242,0.51928574,1.2516327
dog,0.6411996,0.9643883,1.1313777,0.88167,0.95641357,1.1320076,1.114494,1.0916464,1.0098128,0.9398045,1.1879519,0.86310494,0.9085083,0.7617763,0.9427465,1.0037935,0.9585612,1.2284422,1.1917014,0.98341024,1.0531318,0.9916331,0.78594124,1.132527,0.9152543,1.1259536,0.85795164,0.93842113,1.112884,1.0845987,1.0810483,1.0956148,0.8980354,1.0394878,1.2582331,1.0417268,1.2266086,0.0,0.88788205,0.9518791,0.8936887,1.0143936,1.174253,0.99616575,1.0845199,1.1327574,1.0686468,1.0341129,1.1356878,0.6723012,1.1669943,1.1687882,0.9485253,1.1935692,0.9462116,0.9779552,1.0108393,1.0900662,0.35291076,0.89712256,0.9421943,1.1628244,0.9651048,1.1348757,0.9533003,1.053719,0.95965827,0.97717977,0.9656508,1.2180475,1.1953341,1.0349113,1.0791469,1.154505,1.0214081,0.9275856,1.0065348,0.9157948,1.2444452,1.2414361,0.93617195,0.8367169,0.99005,0.9264186,1.1913232,0.32281172,0.98747265,0.9902993,0.9540778,1.0553632,0.8393831,0.94587153,1.0290737,1.0086939,1.0200516,0.9027488,1.0120556,1.1400907,1.0586386,0.9333525,1.2180517,1.0004752,1.1125468,1.1990695,1.1291454,0.9908357,0.9292183,0.96614975,1.1929598,1.0625124,1.1354972,1.1697851,1.1423008,1.0628856,0.96315,0.8914757,0.9430529,1.067921,1.2502435,0.9145292
doll,0.92635244,0.9633831,0.891893,0.9762592,0.98120886,1.0202405,0.86177987,1.0939034,0.9971276,1.1125283,1.0675372,1.0738864,0.86129713,1.1146411,1.1807338,0.9472746,0.8773958,1.134061,1.3012477,1.0090526,1.025108,0.9575861,1.0821842,1.1370924,1.0501606,0.8964162,1.2185549,0.8945628,1.025026,1.1112018,0.9319519,1.0099305,1.0012053,1.0818152,1.1104736,0.87008196,1.1880925,0.88788205,0.0,1.0692725,1.0547678,0.9066039,1.1717427,0.9985215,0.9084497,1.2261808,1.113652,0.9065348,1.1467814,0.7598325,0.92757624,1.047298,0.66056085,0.8337506,0.90904516,0.99062306,0.7562067,1.0641297,0.90623814,0.9763175,0.9106561,1.0123817,0.9195209,1.1837786,1.0027379,1.0048854,0.67433906,1.0186677,1.0094147,1.1717482,1.1588571,0.9786418,1.0207369,1.1327994,0.9208152,0.9618114,1.0058463,1.0549914,1.1412506,1.1004283,0.97562724,0.92507267,1.0393558,1.090854,1.1743976,0.9110439,0.9195002,1.1046884,1.1022823,1.159834,1.0096191,0.9694457,1.0850407,0.92818034,0.8696318,1.0391765,0.9649017,0.97705525,0.8274556,1.043311,0.97839606,1.0548109,1.2443776,1.1539994,1.1434436,0.88175243,1.0395124,1.0999483,0.8259692,0.8719034,0.8442787,0.73926723,1.1525435,0.48444158,0.7356581,1.0421807,1.0151935,0.91306585,1.038209,1.1275567
door,1.1858366,1.0968232,1.3498912,0.6945102,1.197976,1.1364801,1.2741348,0.80745804,0.8693073,0.82814634,0.82030797,0.5819707,1.0727593,1.092292,0.8321469,1.0096272,0.93187445,1.0201455,1.0515966,0.86444104,1.304532,0.72870165,1.0407085,0.65473044,0.93298835,1.362503,0.8545109,0.6016185,1.1506644,0.8398979,0.9708819,1.048998,0.7714958,1.1518061,1.2444407,0.78252494,1.0316014,0.9518791,1.0692725,0.0,0.74501294,0.9141796,1.2483338,0.9750438,1.1765466,1.3169869,1.0462375,1.1811466,1.0614007,1.2555965,0.8451986,1.1757728,1.0666342,1.3095849,0.8678805,1.1501887,1.0840129,1.1062138,1.0433688,0.71756566,0.8482846,0.9802881,0.3856209,0.9412295,1.1476299,1.0716444,1.1442318,1.0580012,1.1547253,1.239447,1.0335273,0.91689855,1.1207876,0.56211877,1.177453,0.91225195,0.8832859,0.9973686,1.1457732,1.1498809,0.8841493,0.881403,1.1651099,0.853099,1.2347301,1.0595614,0.76554376,0.9759272,0.21537256,0.8990834,0.98044467,1.0795711,1.1312021,0.7160902,1.2075809,0.80679435,1.1697878,1.0338944,0.92448056,0.89147663,1.2737701,0.9423756,1.1030169,1.1017048,1.0191665,0.8921791,0.80353737,0.80576354,1.2619088,1.1634104,1.251375,1.1370014,0.9222677,1.2300855,0.97565395,0.80107087,0.9819303,0.68762094,1.1881019,0.49183458
drawer,0.92941165,0.88176465,1.1422651,1.1773328,0.9213893,0.93398005,1.1236961,0.7800591,1.087698,1.054999,0.88029665,0.87982255,1.1958172,0.8051529,1.0170461,1.0559978,0.7620733,1.0188166,0.84001863,0.6116242,1.0974541,0.7552912,1.0177996,0.7583287,0.8626118,1.1895041,1.1190845,0.97796947,1.0757875,0.79950166,1.0919242,0.996943,1.0243803,1.0519463,1.0318776,0.9671546,0.9644741,0.8936887,1.0547678,0.74501294,0.0,1.2123841,1.0448514,1.2025506,1.0450789,1.1169446,0.9650835,1.0888271,0.9934356,0.85537326,0.84960836,1.1487237,1.1805147,1.0544727,1.2792597,1.1201694,1.1139073,1.0988458,0.83059114,1.2077456,1.13979,0.881778,0.79013586,0.82834506,1.0485262,1.1285943,1.2177726,1.1826985,1.0760008,1.1491117,1.0994862,1.04572,1.138161,0.896597,1.0720294,1.2312876,1.2424284,0.8627496,0.9488205,1.0038122,0.9109019,0.7066902,1.030836,0.94033504,0.8919798,0.90393454,0.8496693,0.68712085,0.70371777,1.0633363,0.9466649,1.0982739,1.0748926,0.95726776,0.8855026,1.2752097,0.89208585,1.1713407,0.84500897,0.53448784,1.0377868,1.0283511,1.0405917,1.0838342,0.9454528,1.0640252,1.2186993,1.0411191,0.86672115,1.0933132,1.1528714,1.099217,0.8339554,0.9743517,0.7360632,0.9730609,0.88367444,0.8811183,0.9413714,0.927723
dress,1.0405073,0.91568696,1.2446386,0.73490393,1.0352734,1.0551875,1.0474182,1.1558242,0.76915014,0.7330719,1.1430213,0.8422382,0.6077657,1.0747839,0.6538675,0.91332865,1.1272012,1.1991811,1.2826082,0.9597502,1.125576,1.0059037,1.0288632,1.1575316,1.034615,1.1845702,0.88429654,0.94404525,0.93659616,1.1559714,0.7698832,1.1905427,0.83163214,1.0587496,1.3411286,0.8303602,1.2537241,1.0143936,0.9066039,0.9141796,1.2123841,0.0,1.2453196,0.85258216,1.1501274,1.209464,1.1921829,0.99892205,1.2456034,1.1782504,1.1944866,1.2104686,0.66587144,1.2012955,0.6821924,0.9110991,0.9617508,1.0813469,1.1610717,0.719632,0.6036888,1.29741,0.9164656,1.192297,1.0154078,0.97632605,0.72050655,0.8965187,1.1057812,1.2261437,1.1785679,0.96315306,1.0896184,1.1226805,1.1008614,0.36991745,0.63403404,0.88182163,1.3172945,1.2666509,1.0263424,1.1567572,1.0675344,1.0764574,1.2081332,1.0867932,0.8928504,1.3028231,0.9806892,0.98959965,1.2224188,0.92639834,0.9531128,0.72504026,1.184893,0.5182944,1.0234004,0.87823516,1.12272,1.2157078,1.2156781,0.89683324,1.1586866,1.1833112,1.2571805,0.8669528,0.6567629,0.75920093,1.1972566,1.0821964,1.0740256,1.0642601,1.1697003,1.078509,1.0447084,0.9970385,1.0280043,1.0779614,1.2144258,0.83804667
egg,1.1067206,0.8951094,0.42601871,1.2505697,0.8748551,0.6213745,1.1313871,0.848986,1.3899008,1.4464538,1.015128,1.4671631,1.415024,1.0081948,1.456016,1.2715509,1.1931956,0.52015513,0.55735725,1.2554594,0.8495294,0.8886141,1.1435387,0.73788685,0.9660787,0.60013586,1.1156371,1.3465203,1.1122675,0.6280758,1.2912147,1.0419495,1.3839281,1.0552806,0.39146388,1.3931715,0.38734615,1.174253,1.1717427,1.2483338,1.0448514,1.2453196,0.0,1.1049542,0.8086506,0.3847115,0.6332641,1.022375,0.44769442,0.9385122,0.870715,0.7112698,1.2351172,0.7655176,1.2902775,1.1511438,1.2074735,0.8955116,0.9824433,1.3959861,1.3982878,0.74547124,1.3349664,0.4852649,1.1155044,1.2056155,1.2951994,1.1975898,1.0028472,0.4081993,0.57107764,1.0153928,0.8624284,0.79903495,0.6639639,1.3897054,1.3645884,1.3572793,0.50836027,0.5175727,1.200202,1.0661608,1.0104825,1.0622994,0.64262116,1.009635,1.2687477,0.802233,1.1905167,1.108399,0.8821365,1.1847982,1.1015013,1.1771698,0.74068594,1.3963667,1.0724039,1.1865203,1.0873941,0.90037715,0.539448,1.1863225,0.6870787,0.59859544,0.46594608,1.3202124,1.4173477,1.419548,0.6855353,0.6982131,0.89968175,1.132079,0.5782685,0.98008615,1.1273959,1.2301981,0.92979085,1.2079084,0.62488115,1.2986157
face,0.9796171,1.1201257,0.8731737,0.77471083,1.0366242,1.1377504,1.0435491,1.2400949,0.9270671,0.88002974,1.1571392,0.92279327,0.81035554,1.1178787,0.9145026,0.8565505,1.1649342,1.2227744,1.2433032,1.0741981,1.0751723,1.2199205,0.978863,1.2267914,1.0184493,0.94380623,0.89124167,0.98580354,0.9897672,1.1479526,0.9762816,1.0345742,0.9165229,0.96691686,1.2376337,0.98640466,1.22626,0.99616575,0.9985215,0.9750438,1.2025506,0.85258216,1.1049542,0.0,0.9615686,1.1441286,1.1926394,0.87116456,1.1810002,1.0651762,1.1812648,0.70394003,0.9306602,1.1183119,0.34787917,0.9879365,0.8198039,1.1288522,1.1177782,0.8332024,0.9301157,1.2520139,1.0259078,1.1547716,0.9971193,0.90401846,0.9180089,0.86654013,0.9960413,1.026539,1.0709262,1.0189365,0.72627217,1.1749693,0.73768866,0.74022084,0.83934426,0.99208426,1.1754336,1.1654898,0.98637366,1.1754584,1.0249809,1.0928742,1.1569998,1.1431057,1.2132279,1.0760982,1.1152124,1.0042967,1.1703851,0.96033794,0.9839953,1.0840753,1.1853789,0.6538797,1.0821338,1.0119009,1.2266015,1.1880181,1.1320081,0.9118344,1.1282456,1.1995761,1.224502,0.96932966,0.666829,0.9267093,1.1284025,0.8960233,1.0894343,1.0700009,1.2024395,1.1303858,1.1615775,0.9603191,1.0704879,1.1656792,1.1558139,0.844932
finger,1.2832931,0.92631,0.8322325,0.8868721,1.1475405,0.97205466,0.95853317,1.2732172,1.116904,1.2412757,0.64736944,1.2548819,1.2221009,1.1886847,1.3071907,1.2325608,1.1660376,0.9869105,0.9453891,1.2674007,0.8919489,0.97788686,1.1207937,1.0630918,1.1438483,0.2878579,1.012917,1.2739824,1.1912007,1.1045699,1.1870933,1.050905,1.130811,1.0235277,0.61827075,1.4274042,0.9181036,1.0845199,0.9084497,1.1765466,1.0450789,1.1501274,0.8086506,0.9615686,0.0,0.891723,1.1374811,0.6456568,0.8830959,1.1552163,1.0248123,0.42660356,0.8840311,0.68510145,0.9948154,1.1921601,0.3228134,0.85716176,1.0303595,1.1182555,0.9977399,0.63045776,1.299728,1.0821911,1.2503234,1.2237757,1.0070479,1.1047039,1.047415,0.53565824,0.6652518,0.4662261,0.38102937,0.93666005,1.0117809,1.2382566,0.985167,1.1704073,0.5191966,0.48615223,0.9210249,1.1084213,1.1084697,1.1934193,1.0238895,1.1137837,1.3362137,0.9560877,1.234486,1.0345057,1.0038085,1.1584785,1.2508339,1.0259211,0.91320395,1.0464258,0.94876313,0.9160286,1.1065781,1.024434,0.4094208,1.2331486,0.99250925,0.6587708,0.885011,1.3680133,1.0847045,1.3514259,0.77997065,0.22390401,0.8432252,0.86366755,0.81260896,1.2647445,1.2664104,1.2026365,1.1230545,1.1990316,0.4626857,1.2091141
fish,0.9665453,0.90588117,0.57572246,1.2900312,0.9719036,0.79248923,0.99913526,0.8593037,1.3300467,1.3552792,0.92947614,1.4244133,1.2519939,0.9417516,1.2540201,1.1913065,1.1728548,0.508527,0.7396189,1.2340907,0.8405129,1.0242363,1.0429441,0.85030013,0.9972428,0.6511973,0.94928336,1.4209111,1.0576364,0.7639475,1.1995856,0.9392705,1.3739432,1.068486,0.34757507,1.343959,0.48855412,1.1327574,1.2261808,1.3169869,1.1169446,1.209464,0.3847115,1.1441286,0.891723,0.0,0.6254414,1.0915492,0.46081883,0.8456693,0.9810512,0.7070095,1.2353321,0.5682181,1.2155302,1.1838868,1.2328515,0.8510227,0.94829595,1.3009815,1.3026135,0.7802277,1.4195464,0.5896096,1.1611023,1.025291,1.2261529,1.2772797,0.9747967,0.3843149,0.63989305,0.9645739,0.8856681,0.9564012,0.86692226,1.299952,1.2936618,1.2476468,0.57166076,0.5797267,1.1732788,1.0530365,1.0404265,0.98375726,0.78167915,0.96684545,1.2452116,0.8472165,1.2760355,1.124523,0.82109386,1.2317498,1.1355405,1.1468091,0.7632469,1.3707615,1.0127175,1.0924323,1.131304,0.9406284,0.58970344,1.1049547,0.5894467,0.65679824,0.49354464,1.3467162,1.3504171,1.3681529,0.790848,0.86251056,0.89556134,1.1193252,0.6750287,1.0193563,1.0235753,1.1539234,0.99078006,1.2692803,0.72389066,1.2316412
flower,0.98739773,0.921173,0.74743986,1.2228804,1.006984,0.69914734,1.2520163,0.6430702,1.3220752,1.4010458,1.0412413,1.4151258,1.2507284,0.80666274,1.3851357,1.1751369,1.1042978,0.5122727,0.7126187,1.2906722,1.1776061,0.8141302,1.0549964,0.704697,0.81182534,1.0504175,1.0880214,1.1943094,1.1723886,0.63559276,1.2116276,0.9607714,1.2827687,1.1642683,0.6237118,1.1880744,0.47411668,1.0686468,1.113652,1.0462375,0.9650835,1.1921829,0.6332641,1.1926394,1.1374811,0.6254414,0.0,1.0809915,0.46351576,0.74115187,0.7147331,0.97893304,1.1576794,0.9808725,1.2317137,1.2243874,1.365491,1.0155386,0.83124816,1.358502,1.2964568,0.8109372,1.1135474,0.36401582,1.1556778,1.2448486,1.3308355,1.280554,1.1562045,0.7980826,0.61613613,1.1101198,1.1234432,0.9091211,0.7816888,1.3192546,1.2647283,1.2896035,0.6878942,0.68790543,1.2205228,0.86373687,1.1263111,0.306077,0.91374755,0.9351432,0.99523455,0.7855674,1.0140356,1.154417,0.65210116,1.2389345,1.1668586,1.0961027,0.80878806,1.3406738,0.9192828,1.1235143,1.0021124,0.83332,0.80526036,1.0745922,0.80443215,0.6926873,0.4839114,1.1106945,1.303083,1.3604106,0.8441077,0.94119936,1.1066304,1.0992402,0.5873077,0.9228385,1.1053771,0.65610456,0.7902282,0.95615095,0.79855245,1.0565214
foot,1.0552999,0.9426005,0.92969805,0.9093737,1.1277502,1.0110152,0.9652426,1.185295,1.0366516,0.99879503,1.060417,1.1379962,0.98134124,1.1306782,1.1401684,1.0536696,1.0826839,1.1055764,1.1209626,1.1577535,0.9719329,1.1338955,1.124821,1.1225736,0.97403115,0.749192,1.1500797,1.0985436,1.068826,1.095868,1.0203732,1.057267,0.989154,0.9933195,0.9678877,1.1465256,1.1027204,1.0341129,0.9065348,1.1811466,1.0888271,0.99892205,1.022375,0.87116456,0.6456568,1.0915492,1.0809915,0.0,1.0605807,1.0450411,0.9983941,0.8123491,0.96094656,0.96762264,0.9579773,1.0246174,0.6976734,1.1393269,1.0435108,1.0138988,1.0476841,1.0039715,1.1842151,1.1246324,1.006435,1.1310018,0.8893544,0.8900461,1.0225296,0.95013934,1.0224543,0.95004594,0.78514594,1.0873874,0.96778953,1.016323,0.9110258,1.0890223,0.9180838,0.8997124,1.0574504,1.0673224,1.0219792,1.0617626,1.0550219,1.056699,1.1528513,1.0622517,1.1680598,1.0781652,1.1381264,1.0398117,1.021334,1.0985631,0.9883412,0.9435833,0.6390883,0.89140844,1.1383109,1.1547503,0.7875407,0.9911215,1.0900966,1.0015544,1.0838856,1.0263906,1.0059772,1.1016786,0.86460733,0.6725459,1.0111876,0.96748143,1.0732652,1.0389528,1.0721788,1.0817075,0.98423135,1.095027,0.8228559,1.1427926
fork,1.161443,0.8711324,0.5936922,1.2939534,1.0872815,0.7629952,1.2379646,0.7342992,1.4077296,1.5455425,0.82265687,1.4649615,1.4656271,0.915269,1.5073197,1.3216047,1.2537091,0.34857118,0.5395408,1.3928201,1.0884805,0.7890191,1.111392,0.6178291,0.9210099,0.7638346,1.0227629,1.314501,1.2769587,0.4869749,1.2739382,0.9777247,1.423219,1.2237678,0.34927332,1.4000118,0.3223709,1.1356878,1.1467814,1.0614007,0.9934356,1.2456034,0.44769442,1.1810002,0.8830959,0.46081883,0.46351576,1.0605807,0.0,0.8813275,0.74686575,0.7009285,1.1962912,0.8768738,1.2976741,1.363358,1.2555351,0.90067834,0.9311825,1.3890243,1.2559018,0.47490805,1.3084272,0.43911135,1.2534859,1.2320341,1.4232695,1.3231348,1.1142431,0.48203546,0.3938979,0.8299625,0.9265237,0.6643569,0.6780443,1.3771285,1.2820009,1.4920603,0.411537,0.43022758,1.1844456,0.9402824,1.1802198,0.89546764,0.74409384,0.9871612,1.0659807,0.652727,1.0057731,1.1044943,0.62760234,1.3450247,1.2916704,1.0395056,0.73255587,1.4098235,0.94832724,1.1321843,0.9609796,0.78456235,0.5040443,1.2245545,0.7631365,0.46868253,0.023644209,1.2735925,1.4179664,1.5041224,0.67969024,0.75121367,1.0176376,1.0991299,0.4233259,1.0444648,1.1583894,1.1407307,0.8922998,0.9895951,0.5559975,1.2903037
frog,0.27528465,0.91682637,0.69612503,1.2876165,0.91595834,1.0010235,0.8602271,0.93097794,1.3093579,1.348336,1.2311805,1.3263683,0.9434339,0.40397024,1.2990968,0.9558743,0.85608023,0.9918304,1.1231413,1.0312525,0.94898814,1.1136674,0.7309239,1.1232451,0.95565546,1.0356066,1.2789466,1.2151542,0.9445673,0.8809568,1.1010991,0.8132136,1.3477582,0.9873729,0.9141533,1.0883594,1.0538425,0.6723012,0.7598325,1.2555965,0.85537326,1.1782504,0.9385122,1.0651762,1.1552163,0.8456693,0.74115187,1.0450411,0.8813275,0.0,1.0091621,1.0905216,1.1514893,0.82606703,1.2143334,1.0197291,1.1977584,1.1352715,0.4583031,1.3130897,1.2626095,1.0423554,1.1549382,0.9309386,0.90056795,1.0152688,0.9905974,1.2399278,0.877642,1.1402041,1.1361365,1.1351786,1.1547279,1.2102716,0.7837111,1.2138784,1.2752917,0.96001554,1.0572951,1.0825083,1.0371455,0.9090736,0.8953188,0.77722573,0.9747332,0.52346253,1.0492026,0.87447906,1.2728372,1.2426171,0.6936629,1.0427616,1.0156317,1.0969002,0.71689534,1.3093495,0.9185284,1.2328881,0.9285053,0.99089766,1.0819561,1.1021013,1.1156806,1.1423566,0.89206624,1.0492861,1.274835,1.1916734,0.8356405,1.2003623,0.9767443,0.97936857,1.1013883,0.6160183,0.77860343,0.908108,0.93041813,1.053422,1.0882448,1.187796
glass,1.11343,0.9556824,0.91099125,1.1852393,0.9524797,0.67676604,1.1448212,0.59808743,1.0649273,1.2441485,0.802141,1.1883262,1.2667462,0.98705685,1.2636229,1.1714424,0.82481897,0.5784314,0.66902685,1.1031728,1.2638972,0.5847065,1.1179249,0.57476646,0.9273756,1.0107423,1.190222,0.8610872,1.3029932,0.734444,1.021304,0.9503344,1.081982,1.2700688,0.7786681,1.0929122,0.5857067,1.1669943,0.92757624,0.8451986,0.84960836,1.1944866,0.870715,1.1812648,1.0248123,0.9810512,0.7147331,0.9983941,0.74686575,1.0091621,0.0,1.0088158,1.0842814,0.85867834,1.2451781,1.3232069,1.1354302,0.8556073,1.03287,1.1684746,1.0949538,0.64797103,1.0166872,0.7308283,1.2520686,1.1007968,1.2325797,1.2077311,1.2694273,1.0466777,0.73686016,0.9922098,1.1095362,0.5858342,0.91829455,1.2673533,1.1668824,1.1843581,0.80098915,0.8178586,1.0123967,0.6786332,1.2336853,0.8047504,0.9738815,1.0105883,0.84401375,0.7398299,0.6694042,1.0902262,0.7736998,1.310452,1.2534186,1.0042824,0.90991974,1.2181655,0.8681164,0.9845604,0.78550583,0.8631684,0.744068,1.1055274,1.0733236,0.7353323,0.73183274,1.0239717,1.2014645,1.1997905,0.72188973,0.84822327,1.0904441,1.0392413,0.7026596,0.87194884,0.90844375,1.0736992,0.8663629,0.7598127,0.7533247,1.1681988
