,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,cookie,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,egg,elephant,eye,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pastry,pen,pencil,pickle,pillow,pizza,plant,plate,purse,radio,raisin,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stick,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
alligator,0.0,0.93437254,1.4437823,0.8250369,0.43693107,1.1753578,1.3664945,1.2925005,1.0864801,0.8073169,0.6852352,1.4302058,0.7869421,0.5824237,1.1770616,0.6023679,0.74179435,1.0283661,1.440276,1.4190367,0.7921648,1.2407832,1.2592924,1.2554405,0.9274671,1.5263302,1.0491103,0.8321054,0.71515846,1.123214,1.3380812,1.1139494,0.8335186,1.0056331,0.65831625,1.3890266,0.8237901,1.1720651,1.4446787,0.8464848,1.5117899,0.9654342,0.510568,0.8106535,0.99563414,1.0478425,0.84035957,1.4797974,0.89764905,0.9518218,0.74868417,0.96798646,0.88605624,1.2178352,0.95493245,1.1604445,0.7873727,0.88580835,1.3938799,0.74438596,1.1030347,0.6954154,1.2515043,0.53098285,1.4701278,1.0452296,0.91603774,0.8261933,1.1620617,0.71767104,1.2465906,0.86289895,1.1014153,0.6259376,1.1289316,1.0113531,0.8775728,0.5555235,0.8727815,0.76112807,0.72166514,1.4001932,1.2972806,1.0483376,0.91487986,0.9541577,0.897964,0.96607184,0.6022517,0.7847509,0.60899687,0.9818201,1.3747113,1.246211,1.2935339,1.2236636,1.1914659,1.0510634,1.1983018,0.9196522,1.1950123,1.2315052,0.99393284,1.1674805,1.2304176,0.7891226,0.63789815,1.1442174,0.86723983,0.8153273,1.0595112,0.88648826,0.6488566,1.4302943,0.85357815,1.3583692,0.99476403,1.0747033,1.3130332,1.1587535,1.1962883,1.4213407,0.88620406,0.6299783,0.65025544,1.4431953,1.0462214,1.1579491,0.7081472,1.3183231,1.0818498,0.7737868,0.960004,1.1295233,1.4588568,0.88140225
ankle,0.93437254,0.0,0.88861305,1.0786588,0.83012366,1.0763171,0.9358386,0.96013266,1.3075913,1.287448,1.3370756,0.86572665,1.2826793,0.95822525,1.0246153,1.295574,1.2709235,1.1175821,0.93275887,1.14665,1.3776256,0.8452166,0.99601763,1.0279689,0.88534343,0.9468364,1.2980862,0.66755927,1.1746923,1.1126791,1.0440011,1.1032755,1.2329185,1.0630277,1.0411754,0.9797179,1.2228358,0.97004735,0.79330724,1.351659,1.0065031,1.1698169,1.0503639,0.7402575,1.1344608,1.1572983,0.97942126,0.8957309,1.1102571,0.9413187,0.936081,0.4797331,0.8931211,1.0616698,0.5996987,0.9125809,0.93232656,1.1817193,0.83923787,0.632421,0.868407,0.92572105,0.87627906,0.69512075,0.82245237,1.0564306,1.0735029,1.2633622,1.0764941,1.0217656,0.8868267,1.1312134,1.1225226,0.75978667,0.9967763,1.0770751,1.0492669,0.8448546,1.2577806,0.9684527,1.1431816,0.8035501,0.62080526,0.8149787,0.68524194,0.79630375,1.2742687,1.0628223,0.96558607,1.0432035,1.1821375,1.067939,0.8035838,0.7261286,1.0080197,1.0710474,0.88706493,1.0364176,1.2157513,0.99489117,1.1550307,0.83545434,1.2108399,0.99153197,0.9624373,1.056995,1.1004751,0.814065,0.8654895,0.950648,1.0582602,1.2999964,1.1861492,0.75721025,1.2702366,1.0438479,0.55776906,0.90888375,0.9470193,0.8963589,0.8833693,0.84389246,1.1767707,1.113633,1.2500604,1.0003412,0.4501186,0.83984125,0.8957951,0.77740777,1.0131307,1.2907455,1.0983883,1.039629,0.8333558,1.1455013
apple,1.4437823,0.88861305,0.0,1.1649677,1.4057143,0.55890024,0.57537204,0.41617203,1.2639122,1.4931285,1.5073752,0.58017296,1.5572234,1.4101365,0.89250284,1.4599948,1.3209668,0.79410446,0.48586524,0.70896035,1.5298542,0.4580003,0.9906399,0.8546938,0.9258186,0.74971426,1.1471307,0.8715617,1.2771425,1.280139,0.69181794,1.2443291,1.2696497,1.0937742,1.463147,0.45195985,1.4309886,0.61158735,0.24257243,1.5580248,0.49850637,1.1496955,1.3501009,1.1987963,1.3601661,1.253449,1.3172054,0.2849965,1.2454987,0.99529505,1.1675369,0.8216352,0.5520433,0.8383975,0.8653242,0.83768046,0.89900565,1.2985699,0.40862596,1.1717557,0.47898567,1.2626581,0.5209892,1.2862347,0.3084938,1.0518944,1.2338775,1.350332,1.0265052,1.3851975,0.73042685,1.4193778,1.0345268,1.2744168,0.9186598,0.8019583,1.2732546,1.4046559,1.3062541,1.0908761,1.1672536,0.18443799,0.7058348,0.9520287,0.9210658,0.5269358,1.4806337,1.0332866,1.4618785,1.3686485,1.4524992,1.0690321,0.4686278,0.57743245,0.34866214,0.87322354,0.56336063,0.99787784,0.80158293,1.2779057,1.0948833,0.5451261,1.4284698,0.927074,0.8919422,1.3245037,1.4113818,0.7630888,1.2190406,1.2356865,1.1722757,1.4224061,1.442287,0.2551595,1.2940855,0.38818747,0.85511434,0.8661765,0.5919212,0.66618776,0.8933558,0.19414437,1.3220271,1.4109623,1.4802995,0.31524932,0.6669122,0.60551506,1.2037011,0.61791587,0.7579417,1.3804786,1.0464481,1.1271801,0.49461704,1.3415028
applesauce,0.8250369,1.0786588,1.1649677,0.0,0.7962622,0.9516625,1.2579354,1.0728204,1.0907385,0.5704471,0.724934,1.4542401,0.8863206,0.801103,1.2498103,0.7783587,0.8454924,1.0164989,1.2964321,1.0416007,0.5586374,1.062077,1.2593646,1.2031039,1.0711393,1.416136,1.0596688,0.965888,0.9883601,1.1456312,1.190286,1.2296469,0.9918679,1.0046617,0.91719365,1.1174419,0.89688,1.0242889,1.333548,0.8787642,1.3047925,0.7598508,0.8579103,1.0146791,1.053324,1.1463814,0.8841179,1.1853877,1.0290364,1.0392847,0.83420134,1.1015655,1.107199,1.1958222,1.2300919,1.0700461,0.9697153,0.8540547,1.3464456,1.1014806,0.9656351,0.8429041,1.1415288,0.782143,1.4140335,1.0310556,1.070559,0.94274527,0.9876558,0.9823801,1.2891076,1.0191498,1.1473888,1.0620064,0.8666638,0.8786213,0.9205493,0.8746836,0.86429167,0.9029501,0.8746614,1.1871146,1.4162719,1.1596047,0.996246,1.035621,0.8725741,1.1643109,0.8216121,0.9822018,0.6466187,0.8645015,1.3787322,1.3250848,0.9580091,1.3046768,1.015598,1.1902403,0.7100652,1.1495702,1.1100326,1.1950899,0.98323417,1.293359,1.1303715,0.9317352,0.81685483,1.3164177,1.1521893,0.79308945,0.9521516,0.48569357,0.77309084,1.3908591,0.8854023,1.2057275,1.2174437,1.0315585,1.1969923,1.209007,1.2334499,1.2309967,0.9222905,0.89060545,0.45078772,1.1980834,1.1296241,1.0648307,0.83178234,1.3495114,0.9703987,0.29515266,1.0197192,1.2155707,1.3047802,0.9273442
arm,0.43693107,0.83012366,1.4057143,0.7962622,0.0,1.2412667,1.4692199,1.4162419,1.174475,0.6720658,0.6487961,1.3278779,0.6734464,0.49316722,1.2742947,0.70430046,0.8289754,1.2807748,1.4669199,1.4296107,0.78136575,1.3448757,1.2046186,1.3280951,1.1275502,1.3944428,1.0331731,0.73707277,0.8734765,0.99721056,1.2823771,1.0782765,0.76040196,0.9851668,0.7215557,1.396107,0.68720424,1.2795172,1.3882148,0.8079549,1.503121,0.97380686,0.726848,0.8812363,0.8897843,1.0491084,0.7004885,1.3944461,0.8987376,0.97582555,0.7888251,0.76750344,1.1097825,1.3300854,0.73087776,1.2425652,1.2718134,0.89553356,1.3647759,0.7083895,1.2469248,0.69492525,1.3046411,0.36293662,1.4844642,1.0363765,1.0025293,0.8058357,1.2026966,0.52762055,1.2706673,0.80381215,1.1820482,0.524055,1.2513641,1.149968,0.96991444,0.61549777,0.84034455,0.8605268,0.8710563,1.2764617,1.1752883,0.984716,0.9057884,0.82083285,0.75976187,1.2729201,0.4319896,0.5587343,0.676058,1.0859596,1.3310126,1.1968868,1.2489734,1.2938378,1.3568485,1.2511555,1.3364272,1.0090206,1.1255043,1.1660475,0.8254712,1.3362887,1.28389,0.90949047,0.41017175,1.2508342,0.63211,0.87007236,0.99557877,0.7692935,0.65456444,1.3956498,0.86727375,1.3340329,0.78827655,1.0557985,1.39976,1.0970392,1.2332286,1.3594999,0.96328956,0.49698526,0.5393374,1.5357206,0.8794875,1.1160883,0.7347394,1.2432741,1.2894273,0.77007663,1.0302789,1.0620614,1.3047776,0.813354
ball,1.1753578,1.0763171,0.55890024,0.9516625,1.2412667,0.0,0.44191325,0.79035246,1.1090341,1.1631621,1.1158525,1.0714405,1.2459497,1.1693151,1.1723647,1.0488664,0.84666085,0.9088496,0.7825639,0.6990268,1.111563,0.9079573,1.1591156,0.5990375,1.0337006,1.0765948,1.0826104,0.9694834,1.1209576,1.2758669,0.8314672,1.2988987,1.1237863,0.84671676,1.1870106,0.97036546,1.2221345,0.971436,0.89828503,1.2396729,0.6403475,0.74248177,1.0988053,0.97572106,1.2882075,1.2004257,1.1661882,0.5981889,1.1137682,1.0857669,1.1305735,1.069177,0.9018822,0.92158055,1.2417785,0.94948745,0.773793,0.8977932,1.0974448,1.0015728,0.4622357,1.2403804,1.0151068,1.1203988,0.6811712,1.1022427,1.0162706,1.103262,0.8501278,1.2248561,1.0680407,1.3613677,0.93811095,1.3251681,0.84202254,0.65394664,0.9874225,1.0306084,1.1352159,1.1178366,0.9110505,0.80910563,1.156251,1.0390275,1.1169326,0.85027695,1.2962099,0.93332976,1.2374663,1.2421601,1.0699751,0.8669173,1.0242419,1.0129733,0.7866694,0.9492518,0.9745986,1.0666691,0.79208934,1.1478283,0.99645525,0.7887523,1.3417139,1.0130094,0.9623648,0.93304914,1.2021009,0.9040331,1.248255,1.007454,1.0991554,1.0771333,1.0795459,0.909329,0.9974073,0.9494515,1.0173016,0.9579338,0.9253804,1.0019218,0.9881394,0.88311636,1.1050824,1.2520893,1.1134692,0.4131477,1.0258746,1.0002222,0.87026554,1.1637411,0.40356255,0.99211204,0.938497,1.0900962,0.79213566,1.2394296
balloon,1.3664945,0.9358386,0.57537204,1.2579354,1.4692199,0.44191325,0.0,0.6633181,0.9204933,1.4239645,1.3817241,0.7404686,1.355619,1.3889242,0.96758384,1.2799304,1.0218011,0.94144255,0.3819269,0.67560303,1.3429706,0.8121573,0.98077637,0.41537374,0.990129,0.6591214,1.0763938,1.0930839,1.1714177,0.99867207,0.62747926,1.0212927,1.179451,1.0431576,1.2336006,0.7704786,1.3185391,0.91236657,0.6628731,1.2729158,0.33163452,0.99549156,1.2437277,0.9198065,1.1627306,1.1299092,1.1566607,0.606056,1.128793,1.1389977,1.2693244,1.1174761,0.9271564,0.6540754,1.2033277,0.79156923,0.79782367,0.98577446,0.86252046,0.9187761,0.6695734,1.3380947,0.910652,1.3709846,0.37278926,1.0244312,0.93350416,1.1171647,0.68170327,1.3063697,0.757496,1.3024657,0.8483958,1.3505934,0.8678258,0.93961614,0.98288244,1.1515864,1.2315425,1.2573166,1.1352855,0.7912012,0.82959056,1.006381,1.2091004,1.0526328,1.2796755,0.8245329,1.3810463,1.3466321,1.383573,0.9363951,0.7628049,0.82604885,0.9136146,0.75705725,0.8312503,0.85518605,0.8806108,0.9592069,0.8397517,0.8688132,1.2197988,0.6566454,0.7239614,0.9460453,1.3987789,0.60529804,1.1997383,1.1498792,1.1233534,1.3264103,1.3054798,0.6433277,1.1842334,0.88094896,1.0094159,1.0304801,0.69466436,0.929746,0.7852789,0.70597446,1.0645946,1.403329,1.4072142,0.34813464,0.99655515,1.0339144,1.0118178,0.93001485,0.5151209,1.3166986,1.004447,0.9154349,0.5624881,1.2796059
banana,1.2925005,0.96013266,0.41617203,1.0728204,1.4162419,0.79035246,0.6633181,0.0,1.011,1.4711527,1.5212234,0.6270829,1.5361074,1.3150828,0.7435526,1.3896976,1.2569449,0.7774802,0.5599464,0.5845106,1.3729869,0.34961247,1.016011,0.8660792,0.80113286,0.79226834,1.134771,0.9345552,1.2607679,1.1940073,0.7804942,1.2404019,1.254579,1.1555438,1.3541464,0.39617836,1.4445128,0.42033422,0.43459487,1.4453212,0.6203196,1.1453831,1.3237016,1.0624323,1.3931887,1.160761,1.3532932,0.54218626,1.2648182,1.0907283,1.2859771,0.9631084,0.54713416,0.70021844,0.98430246,0.56590474,0.5421584,1.3431393,0.6878425,1.0542098,0.52934855,1.3468094,0.45554197,1.3149654,0.5989335,1.0962876,1.1774124,1.3091191,0.85349035,1.3911031,0.5706344,1.4460356,1.0302436,1.2655023,0.66021705,0.65845156,1.2318689,1.3072523,1.2827032,1.1801765,1.1316402,0.71218395,0.6744714,0.98038405,1.1030153,0.711696,1.4049723,0.8781401,1.472979,1.4049642,1.3851807,0.9338151,0.57312715,0.6197704,0.43811297,0.77281666,0.41475093,0.8378023,0.48218024,1.1236737,0.95974296,0.82717955,1.4057986,0.7945653,0.8434847,1.1392989,1.4513645,0.7080647,1.2371123,1.0355879,1.2534176,1.3381373,1.4739335,0.50560254,1.3531731,0.455486,0.9021565,0.75409424,0.4072528,0.85730755,0.8982723,0.6047175,1.1812688,1.4599931,1.4319336,0.41866833,0.8837375,0.8599733,1.1962092,0.65066004,0.7187446,1.2105036,1.0697434,1.1685591,0.7181679,1.392808
basket,1.0864801,1.3075913,1.2639122,1.0907385,1.174475,1.1090341,0.9204933,1.011,0.0,0.93816984,0.8082355,1.097945,0.706468,1.1094807,0.92760503,0.78416324,0.8905477,0.88092434,0.8974722,0.8426019,0.6343627,1.1565583,0.9212231,0.78460205,1.1474668,0.7646554,0.8711066,1.2276155,0.9484965,0.60356766,0.9455091,0.677107,1.0233295,1.0923914,0.69164467,1.1011308,0.80236465,1.1130844,1.1953022,0.37446868,0.8493381,1.0260773,1.0101373,0.8322362,0.7957258,0.73540676,0.92861736,1.1668053,0.91868407,1.210897,1.234481,1.3784527,1.2072948,0.7580788,1.3899397,1.023974,1.0219096,0.8644026,1.2437644,0.96450573,1.2536483,1.1819466,1.1803876,1.2738062,1.1298648,1.0097631,0.9019489,0.926319,0.66542304,1.093515,1.0360941,0.7175247,0.7922151,1.1365749,0.9287712,1.0826057,0.8234207,0.930757,0.75302184,1.2299353,1.0379375,1.3596156,0.92685896,1.169651,1.3950977,1.3902602,0.70432884,0.8560967,1.074496,1.1118177,0.9021692,0.8822551,1.1018692,1.159283,1.3239086,0.72520536,1.0754555,0.8147359,0.90217984,0.661982,0.68651706,1.2628286,0.7493843,0.80792874,0.9483113,0.9241929,1.1250961,1.0355109,1.1314329,0.9232687,0.9594213,0.9544376,0.9938541,1.214877,0.8900101,1.1132002,1.1947589,1.1631539,1.0574071,1.1716824,0.93751854,1.1596243,0.54349077,1.1224779,0.9617159,1.0392337,1.4018439,1.3330709,1.0821555,0.8877375,0.88987166,0.8993791,0.94247454,0.840893,1.0904454,0.90769076
bathtub,0.8073169,1.287448,1.4931285,0.5704471,0.6720658,1.1631621,1.4239645,1.4711527,0.93816984,0.0,0.389071,1.4607687,0.36782396,0.709114,1.2158445,0.5875674,0.5564738,1.1318704,1.5159693,1.0555077,0.30577612,1.411087,1.0933263,1.1593759,1.1992201,1.3161676,0.65857935,1.036803,0.8167032,0.82024986,1.3753134,0.9818773,0.77546555,0.85438895,0.7438559,1.369441,0.58895296,1.3331113,1.5190814,0.4827497,1.4316442,0.79584545,0.85114807,1.1117162,0.7409056,0.7711842,0.84233934,1.3894743,0.74372435,1.0935807,0.8829091,1.2173486,1.2910166,1.297927,1.2197952,1.1831061,1.2602255,0.7701094,1.4924707,1.1926253,1.3093133,0.860466,1.378609,0.7926996,1.5779314,0.9718137,0.9413956,0.7174092,1.1113374,0.6738556,1.3118982,0.70638245,1.0795782,0.86407316,1.0577672,1.044541,0.8752489,0.8402115,0.7140025,0.9631694,0.858001,1.3916261,1.4617718,1.2202401,1.1361036,1.1488465,0.5276736,1.2336868,0.71318084,0.6604905,0.5312321,1.0134383,1.4405719,1.397011,1.2514886,1.258795,1.3790022,1.2262897,0.90944815,1.0967623,1.0019974,1.2768967,0.52401125,1.3826987,1.261239,0.8387989,0.6452689,1.4146808,0.99303836,0.8503225,0.75470006,0.12565356,0.39603746,1.5605061,0.6004051,1.3201944,1.2727652,1.1977998,1.3311284,1.2530079,1.2659285,1.4448353,0.8886906,0.6591334,0.32373416,1.3909205,1.3280618,1.2073517,0.8300525,1.4012697,1.1745176,0.299268,1.0796638,1.0860863,1.4214103,0.7114415
