,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,bucket,can,car,carrot,cat,chair,clock,closet,coat,cookie,corn,couch,cracker,crayon,crib,cup,deer,dog,doll,door,drawer,dress,duck,egg,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,melon,mitten,motorcycle,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pillow,plant,plate,potato,pumpkin,purse,radio,refrigerator,rooster,sauce,scissors,shirt,shoe,shorts,shower,sink,slipper,snow,sock,spoon,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
alligator,0.0,1.1932272,1.0599355,0.8007012,0.9243634,1.2961228,1.0733666,1.0093251,0.79421574,0.7655309,1.4315697,0.94860864,0.6429224,1.2450218,1.0734836,1.1480168,1.1931657,1.2911123,1.0779753,0.84747106,1.1107683,1.065439,1.1692762,1.1336682,1.2593629,0.7889507,1.0670053,1.2815453,0.8645922,0.7661722,1.1287783,0.9698568,0.7214221,0.9741737,1.3472083,0.7813048,1.3721645,0.99877876,0.5997468,1.3047614,0.81858695,1.115733,0.7246083,1.0458457,1.1391846,0.8894997,1.0233884,1.2946949,1.1802388,1.0779561,1.2234495,0.52970904,0.89256585,1.2152932,0.68035984,1.1817163,0.7869318,0.77038133,1.3819475,1.0770594,0.84194434,0.70183736,1.0517086,0.62381893,0.82232964,0.85468805,1.3006383,0.8787566,0.66390955,1.0698615,1.3692019,1.2620933,1.2785854,1.1783543,1.2366593,0.8100339,0.78867966,0.6588163,0.67045414,0.8122096,1.3375261,1.2779257,1.0944308,0.99374557,1.1968381,1.1219037,1.0764436,1.0532428,1.3603913,1.0406936,1.3875303,0.8609972,0.99877876,0.79611707,1.143486,0.7253572,1.1191618,0.84300166,0.9867127,1.2447116,1.3049982,0.85878646,1.0258253,1.1547009,1.33806,0.90908974,0.6642199,0.7249845,1.0299467,1.1808414,1.1028503,0.88057524,1.1586365,1.1980983,0.72705036,0.85347766,1.267427,1.3791078,0.80977064
ankle,1.1932272,0.0,0.93652165,1.0694047,0.91267866,0.7969347,0.7069702,1.2642956,1.2164836,1.2623849,0.75447154,0.9284691,1.0289756,0.92264605,1.2011944,1.079614,1.1095685,0.9722598,1.2982764,1.3227619,0.9515516,0.998967,1.0058845,1.1716975,0.58809984,1.1641681,1.127161,0.8719529,1.1994503,1.1862314,1.0213993,0.9701004,1.1944479,0.884635,0.8466035,1.2308433,0.96981084,0.95995915,1.2201551,0.9318707,1.1840751,0.8993229,0.9957875,0.8774789,0.85372114,1.0896007,0.50066936,0.94337165,1.0518332,0.27145636,0.8975399,1.2065994,1.1264416,0.66937417,0.74083114,0.66715074,0.99673915,0.86484075,0.78732216,1.1461914,1.2793148,1.2383778,1.0776005,0.99761313,1.0768068,1.3110574,0.7072749,1.0223671,0.8856747,1.1979879,0.7647302,0.92122835,0.6324446,0.73921067,0.8682902,1.2827967,1.2571399,1.1502618,0.9040931,1.0698543,1.034562,0.7674912,0.8547363,0.822207,0.7228396,1.0575246,1.2131653,0.7069994,0.9645365,0.981031,1.0031301,1.0706079,0.95995915,1.3034697,0.9585358,1.139648,0.83422226,0.9404426,1.0774546,0.86998296,0.43559873,1.2962673,0.18429077,0.8834916,0.65711,1.140489,1.1992285,1.421843,0.93767494,0.19314396,0.8315108,1.1789176,0.9757394,1.1393592,1.3856878,1.305115,0.8344799,0.59336746,1.1677966
apple,1.0599355,0.93652165,0.0,1.3132342,0.39317632,0.40247953,0.7420343,0.93570817,1.4023445,1.2726948,1.014677,1.2683747,1.3093861,0.9281833,1.1270965,0.9675164,0.9513985,0.9101151,0.7390739,0.75735223,0.544066,0.9956916,1.2126601,0.9978514,0.6316271,1.3154068,1.1914684,0.9391699,1.2996914,1.3640227,0.64023614,0.5667114,1.4073949,0.97186506,0.8121557,1.20633,0.86086357,0.9687684,1.2753389,0.908338,1.3825035,1.0348113,1.2786834,0.9198592,0.22825027,1.1295974,0.89976484,0.8803457,0.8533778,0.9803057,1.1070503,0.8376771,1.0175183,0.9428609,1.0835655,0.71027416,1.1899031,1.1181121,0.7905837,0.9716047,1.3197184,1.3485391,1.051259,1.3097899,1.2870058,1.1867936,0.9888419,0.4937026,1.0835024,0.96915185,0.7665345,1.0771673,0.9836118,0.8075484,0.37759298,1.3277438,1.1677654,1.3493567,1.3584061,1.2294776,0.9398398,0.90261567,0.92487645,0.4396631,1.0496092,0.887434,0.7889527,0.5576303,0.7027362,1.0232631,0.92816347,1.3582509,0.9687684,0.8344543,0.9320507,1.3264542,1.110791,1.2631466,1.1718369,1.0382432,0.96263427,1.172313,1.0469474,0.8763021,0.67970073,1.0286015,1.3626719,1.220928,0.8535044,0.9219446,0.9714174,1.1757023,1.1429417,0.8117709,0.995746,1.1375797,1.0432005,0.8663943,1.2837082
arm,0.8007012,1.0694047,1.3132342,0.0,0.9423431,1.3281108,1.238261,1.0845236,0.6165585,0.84553206,1.350606,0.9763716,0.4851383,1.3638675,0.95937824,1.221624,1.2464114,1.1852285,1.0785536,0.9103188,1.2189056,1.1308151,1.0632238,1.1556195,1.3687606,0.74629295,1.0301983,1.2478359,0.74862355,0.6759121,1.1694069,1.25349,0.6947345,1.160075,1.4551294,0.9276481,1.3189974,1.1692553,0.72450197,1.2524899,0.67628956,1.310139,0.49366683,1.3020401,1.2698582,0.78668714,0.9608582,1.3848858,1.1517875,0.9524527,1.1689925,0.9063146,1.0231478,1.2473017,0.73593175,1.2144746,0.6535519,0.52991515,1.4270866,1.05023,0.6948323,0.59155697,1.0486153,0.52012825,0.67980254,0.68095964,1.3193295,0.9222683,0.60259736,1.1063117,1.2656468,1.245847,1.3652921,1.1931472,1.3762825,0.6442964,0.7117451,0.5124506,0.59001625,0.66338444,1.3566298,1.2705657,1.2995428,1.2276169,1.2798569,1.144623,1.0536094,1.0902444,1.3485721,1.190457,1.2557855,0.70368034,1.1692553,0.9321582,1.1001463,0.4511994,0.9947414,0.7151141,0.86523914,1.225237,1.2428496,0.90301514,1.025459,1.3119761,1.3864762,1.0819652,0.48471177,0.6181653,1.2073815,1.023296,1.1953847,0.6538377,1.1949351,1.2127781,0.8812741,0.7770481,1.3378502,1.306217,0.77044606
ball,0.9243634,0.91267866,0.39317632,0.9423431,0.0,0.5025896,0.9886059,0.99811125,1.0980746,1.0263098,1.2551793,1.1054745,0.986518,1.2049885,1.1813463,1.1139816,1.1523354,1.0756906,0.94630235,0.78176886,0.6057112,0.96114004,1.1894764,1.0694377,0.8952827,1.136129,1.1907235,1.1052442,1.134746,1.0841782,0.7229634,0.83409154,1.141186,1.046761,1.1857243,1.0094924,1.136038,1.0997119,1.0235947,1.2147251,1.0919868,1.1498895,0.9904261,1.187778,0.39464962,0.97465897,0.74050003,1.2307072,1.0524564,0.9473198,1.225404,0.86660856,0.95390296,1.1058005,0.6846236,0.81361234,0.9118565,0.69384843,1.1126304,1.065995,1.0523303,1.0806657,1.0337648,0.9674785,1.0037234,0.95998764,1.1766613,0.46840388,0.63794786,1.09724,1.0439856,1.2816594,1.2293472,0.80385447,0.6623748,1.132565,1.0751886,0.9522235,1.0353999,0.94882727,1.2602525,1.0504217,1.1675258,0.7428439,1.1965189,1.0555838,0.7999749,0.5835829,1.0056696,1.1935707,1.2154554,1.0955886,1.0997119,0.8586545,1.1203847,1.0199286,1.1253638,0.97671664,1.0698315,1.1136405,1.1015909,1.1293536,0.9103361,1.072835,0.9641585,1.0342201,1.0565135,1.0353221,0.8739979,0.93345416,0.98694503,1.019983,1.2476243,1.015693,0.9548401,1.0391397,1.2825027,1.1312774,1.076384
balloon,1.2961228,0.7969347,0.40247953,1.3281108,0.5025896,0.0,0.90297,1.1238031,1.4326575,1.3396868,0.7301576,1.2331015,1.3552625,0.836367,1.0775292,1.01942,0.9373856,0.5306165,0.87945807,1.1067193,0.75789404,0.80370426,0.9091533,0.95858306,0.57568276,1.3512989,1.1121359,0.79372084,1.3259883,1.3808202,0.7081771,0.82160556,1.4490302,1.0571314,0.57416767,1.2973754,0.49980104,0.96398956,1.4050457,0.6304905,1.3515937,1.0864425,1.2940719,0.9760812,0.4066186,1.1760857,0.85163456,0.72788477,0.7764436,1.0065417,1.0326915,1.0647702,1.07833,0.8174668,0.9926415,0.65377,1.256573,1.1749134,0.43916047,0.9496262,1.3179533,1.4496615,0.9975269,1.4527687,1.2831193,1.2610852,0.7972655,0.7790711,1.0645378,1.0078385,0.45497823,0.886169,0.76928073,0.7149345,0.4045245,1.3725064,1.2716671,1.405072,1.4437165,1.286395,0.7588334,0.67585176,0.9579838,0.83134145,0.8917932,0.849928,0.90454024,0.69434726,0.37919265,0.9661039,0.7204645,1.2473148,0.96398956,1.0985827,0.80929965,1.4239028,1.002115,1.2048082,1.1846893,1.0017436,0.6974544,1.2879176,0.9172517,0.8640988,0.44413126,1.0536737,1.4839227,1.3697985,0.8421109,0.85919505,0.9424327,1.2806563,0.99312174,0.73456156,1.2635447,1.2407247,0.77759326,0.6357489,1.2617214
banana,1.0733666,0.7069702,0.7420343,1.238261,0.9886059,0.90297,0.0,1.1966717,1.348628,1.3692815,0.79352176,1.0062348,1.1249452,0.8051076,1.1388512,0.8512287,1.0327929,1.0896517,1.1323565,1.1685637,0.7555032,1.0360553,1.0307993,1.1603148,0.43587017,1.1702394,1.2174034,1.0264287,1.2737513,1.2086519,0.9503267,0.40802473,1.3360558,0.45481914,0.6532338,1.3180791,1.0204353,0.8742164,1.2778692,0.9964426,1.3563724,0.8572503,1.1397184,0.7555111,0.6141905,1.3104963,0.72375375,0.8848902,1.0250866,0.78642046,0.8189314,1.1170608,1.0748606,0.7425431,0.94484204,0.74176645,1.2033826,1.0303421,0.81953365,1.234898,1.3455224,1.2299361,1.0775646,1.2122844,1.278523,1.2690406,0.82497364,0.6533271,1.0622658,1.1174221,0.91016763,0.854738,0.67015433,0.8677416,0.576187,1.3014023,1.0890223,1.206517,1.1750956,1.0287938,0.81363267,0.72524667,0.8418932,0.28997803,0.7954005,1.0666963,1.0381635,0.5942181,0.86476326,1.0290489,1.1211611,1.1949902,0.8742164,1.1022935,1.1086966,1.1073382,1.1188135,0.90867335,1.2795221,0.86998236,0.79739517,1.180135,0.68605477,0.5183774,0.6486287,1.1256193,1.2413254,1.415566,0.8863548,0.8033663,0.77070296,1.0960175,0.9164989,1.1212677,1.1739211,1.265758,0.8971946,0.7426613,1.3274438
basket,1.0093251,1.2642956,0.93570817,1.0845236,0.99811125,1.1238031,1.1966717,0.0,0.73995364,0.7629846,1.1056321,0.98351777,1.1028521,1.1459752,0.9491324,1.0942644,0.92189837,1.0477475,0.4705059,0.342772,1.0688808,0.72701234,0.9856488,1.0254685,1.23254,1.0287926,0.749799,0.8910329,0.97689676,1.0096749,0.90394336,0.84547544,1.013112,1.1519843,1.2930748,0.67873263,1.0996791,1.045488,0.92059875,1.1112229,0.9689875,0.8195499,1.1163458,1.1291807,1.0247098,1.0872655,1.358875,1.1473856,0.86845976,1.2500145,0.9435073,0.99982274,1.1009328,1.2797866,1.2087375,1.1873754,1.1618569,1.2112682,1.2321863,1.0201882,0.7762487,1.1058189,0.8805215,1.158524,1.0084265,0.7670617,1.0640477,1.0292952,1.1329958,0.8918143,1.1862698,1.0057483,1.329626,0.9879101,1.1720545,0.79820657,0.99605715,1.1405679,1.1563482,1.0478222,1.1761122,1.2494254,1.1536877,0.96501976,1.0929216,0.866678,0.8148758,1.0752126,1.1652817,0.5970079,0.84648603,0.94186753,1.045488,0.56449896,1.1065487,1.1955813,1.0620071,1.3031368,0.97594947,0.8917617,1.3374476,0.9816227,1.2613921,1.1719346,1.2268864,0.65922993,1.1085606,0.6844272,0.9015029,1.2848942,1.2696466,0.90429795,0.9057672,0.90390193,0.5041429,1.00026,0.95956993,1.2488166,0.990307
bathtub,0.79421574,1.2164836,1.4023445,0.6165585,1.0980746,1.4326575,1.348628,0.73995364,0.0,0.52183497,1.2792912,0.6404817,0.7323483,1.3223575,1.0223322,1.247705,1.2078732,1.3031609,1.003797,0.819605,1.2228365,1.083805,0.7456526,1.0701823,1.4643929,0.63395685,0.681588,1.2301952,0.4993496,0.6961367,1.2321997,1.2971387,0.4413811,1.1675819,1.5238671,0.5777755,1.3637769,1.1378853,0.69075227,1.3332925,0.3216306,0.9029833,0.78306156,1.2172068,1.4220514,0.8765143,1.2149924,1.3249824,1.174064,1.2637298,0.9468777,0.97701925,0.95770425,1.3603314,0.96966666,1.3843739,0.8096931,0.8663031,1.5066278,1.1186757,0.6627288,0.71686083,1.0630325,0.64610296,0.60314596,0.54446965,1.1453985,1.1097348,0.87053216,1.176786,1.4091146,1.1706167,1.4054117,1.1661394,1.4982839,0.38382173,0.9006554,0.6503876,0.62825614,0.72628045,1.275775,1.446646,1.2120574,1.2956588,1.1702354,1.0898277,0.9866913,1.2667277,1.4333644,1.0668687,1.1907603,0.3400632,1.1378853,0.929053,1.2134624,0.72689474,1.0552565,0.72732353,0.5569355,0.70873296,1.4177141,0.8840003,1.0404233,1.3221633,1.5121994,0.9400258,0.6253605,0.41598773,1.2689571,1.324153,1.2234975,0.7751932,0.995473,1.2935214,0.8192078,0.82451534,1.1459656,1.5035098,0.49177766
bed,0.7655309,1.2623849,1.2726948,0.84553206,1.0263098,1.3396868,1.3692815,0.7629846,0.52183497,0.0,1.4123528,0.44035447,0.7784398,1.3088934,0.9405488,1.0290141,0.94475406,1.2413664,0.99289227,0.73558617,1.0680078,0.94862485,1.0339853,1.0233194,1.4854552,0.8893293,0.52758944,1.2043633,0.6990297,0.81081814,1.0413884,1.1842896,0.25918198,1.1197411,1.498692,0.05332303,1.2995193,1.1613499,0.7344695,1.3080487,0.68368953,0.96743315,0.8151463,1.2995552,1.2922685,0.8623131,1.2555841,1.4087871,1.1039196,1.2292945,1.2051991,0.94317555,0.9826306,1.3851616,1.0021888,1.3606578,0.92914444,0.97627896,1.3945732,1.0580764,0.6452899,0.7770578,0.9640101,0.6928085,0.7534878,0.6661812,1.3877311,1.093037,0.887738,0.91855836,1.3618546,1.1385068,1.436869,1.2358705,1.3828,0.65243864,0.9839535,0.7147429,0.7498429,0.841902,1.2835114,1.3948604,1.3103518,1.2477626,0.99812204,1.041231,0.90968543,1.2352988,1.3412893,1.0020082,1.1621742,0.7386871,1.1613499,0.8719013,1.1339142,0.83910835,0.94133174,0.84263754,0.79360753,0.90921503,1.3402468,0.9355171,1.1813842,1.347592,1.4639618,0.77590436,0.7272545,0.54147923,1.0609547,1.2856836,1.34179,0.86797166,1.015208,1.0136446,0.6976039,0.89615154,1.2473835,1.4748931,0.7001278
