"","target","min_distance","cleaned_target","object","source","log_prop","in_cdi","num_direct_children","direct_parent","path_1","path_2","path_3","path_4","path_5","path_6"
"40","barrel.n.02",3,"barrel","barrel","vqa",-10.903770107131,FALSE,1,"container.n.01","object","container","barrel",NA,NA,NA
"41","barrow.n.03",4,"barrow","wheelbarrow","vqa",-8.76370394363476,FALSE,0,"handcart.n.01","object","container","handcart","barrow",NA,NA
"42","baseball.n.01",2,"baseball","baseball","vqa",-10.903770107131,FALSE,0,"game.n.01","game","baseball",NA,NA,NA,NA
"43","baseball_bat.n.01",4,"baseball bat","baseball bat","vqa",-9.1990220148926,FALSE,0,"bat.n.05","object","stick","bat","baseball bat",NA,NA
"44","baseball_glove.n.01",3,"baseball glove","baseball glove","vqa",-10.903770107131,FALSE,0,"sports_equipment.n.01","object","sports equipment","baseball glove",NA,NA,NA
"45","baseball_glove.n.01",3,"baseball glove","glove","vqa_yoloe",-6.92501871518575,FALSE,0,"sports_equipment.n.01","object","sports equipment","baseball glove",NA,NA,NA
"46","basement.n.01",3,"basement","basement","yoloe",-3.66007716207893,TRUE,0,"floor.n.02","object","floor","basement",NA,NA,NA
"47","basket.n.01",3,"basket","basket","vqa_yoloe",-3.66494507277708,TRUE,2,"container.n.01","object","container","basket",NA,NA,NA
"48","basket.n.03",3,"basket","basketball hoop","vqa",-7.45378256129944,FALSE,0,"goal.n.03","object","goal","basket",NA,NA,NA
"49","basket.n.03",3,"basket","hoop","vqa",-9.80515781846292,FALSE,0,"goal.n.03","object","goal","basket",NA,NA,NA
"50","basketball.n.02",3,"basketball","basketball","vqa",-7.98599937504675,FALSE,0,"sports_equipment.n.01","object","sports equipment","basketball",NA,NA,NA
"51","bat.n.05",3,"bat","bat","vqa_yoloe",-7.37779307452354,TRUE,1,"stick.n.01","object","stick","bat",NA,NA,NA
"52","bathtub.n.01",3,"bathtub","bathtub","vqa_yoloe",-5.56259695964855,TRUE,0,"container.n.01","object","container","bathtub",NA,NA,NA
"53","bathtub.n.01",3,"bathtub","tub","vqa",-10.903770107131,FALSE,0,"container.n.01","object","container","bathtub",NA,NA,NA
"54","beach_ball.n.01",3,"beach ball","beach ball","vqa",-8.70654552979481,FALSE,0,"plaything.n.01","object","plaything","beach ball",NA,NA,NA
"55","bead.n.01",3,"bead","bead","vqa_yoloe",-7.06698306958019,FALSE,0,"decoration.n.01","object","decoration","bead",NA,NA,NA
