category,mean_correlation,std_correlation,min_correlation,max_correlation,n_subject_pairs
dress,0.6153516491205234,0.15331174647354748,0.18803861737251282,0.8980765342712402,812
basket,0.611549544702935,0.20092216654933512,-0.12728802859783173,0.9214053153991699,930
pillow,0.6113253538687062,0.14909869763487268,0.014878513291478157,0.8956263661384583,930
elephant,0.6049396817882856,0.16181074387626282,0.02270587533712387,0.8630700707435608,702
car,0.594155504850931,0.21521716799008256,-0.0926024317741394,0.9370079040527344,930
dog,0.5933232928055429,0.212936094901083,-0.07933464646339417,0.9319217205047607,930
milk,0.5890388985080693,0.16887688922463331,0.17167861759662628,0.9180488586425781,756
toothbrush,0.5850909759044305,0.20075427003817967,-0.03947517275810242,0.895964503288269,870
cookie,0.5779428297807688,0.15819969134799303,0.13494032621383667,0.8989654779434204,702
sink,0.5745287243397005,0.22137036181499276,-0.35573455691337585,0.9168422222137451,930
knife,0.5734248913914686,0.24478023599003823,-0.11119857430458069,0.9149514436721802,930
shoe,0.5718308820579482,0.2364982769697869,-0.15653452277183533,0.937977135181427,930
soup,0.5678461787792353,0.18279678852303832,0.014053992927074432,0.8726657629013062,650
cloud,0.5642770539437022,0.14762709262364754,0.3548416793346405,0.8761608600616455,56
stroller,0.5619570051972893,0.16349653882650203,0.0740496814250946,0.8887808322906494,870
foot,0.5593482861524732,0.23874666495734267,-0.04474768415093422,0.936165452003479,812
pickle,0.5590927590125153,0.18409958864247936,-0.0692978948354721,0.9026538133621216,812
melon,0.5491289915287583,0.18585898435253356,0.017211761325597763,0.8935969471931458,812
comb,0.5482716426210499,0.20024703646580616,-0.03451604023575783,0.9000483751296997,870
glass,0.5461369856831527,0.2057927414525616,-0.007663246244192123,0.9325105547904968,930
hose,0.5430626564082646,0.13958462080368575,0.16457587480545044,0.8583794832229614,756
butterfly,0.5402895818863597,0.15919532590307847,0.11329944431781769,0.8481072187423706,756
grass,0.53698372905669,0.1632120354086353,0.15570347011089325,0.9193407893180847,552
raisin,0.5369614228147727,0.20369999631820424,0.003102146089076996,0.9132609367370605,650
jar,0.5291474879456636,0.2631869501452763,-0.2405175268650055,0.9072353839874268,702
pumpkin,0.5286534205057669,0.246313693305765,-0.12672382593154907,0.9221546053886414,870
cracker,0.5268761151259945,0.19792179940296523,-0.04590928927063942,0.8913647532463074,930
scissors,0.5208080070634042,0.24054731901807425,-0.32984018325805664,0.8808711767196655,930
fish,0.5168008475474293,0.2543619120117791,-0.10161413997411728,0.9306325912475586,930
bear,0.5104986725470765,0.16165959773596367,0.05622020363807678,0.8664729595184326,506
muffin,0.5092219432857199,0.22118904073529494,-0.1177113726735115,0.8984853029251099,812
alligator,0.508156455628654,0.2616226580648849,-0.2382373958826065,0.8949600458145142,930
broom,0.5077574270849045,0.18212434043951617,-0.02682849019765854,0.860826849937439,650
pony,0.507503873296082,0.28135733401492463,-0.217994824051857,0.9137011170387268,600
dish,0.5028448577454457,0.16252999299990176,0.003004692494869232,0.8526182770729065,650
chips,0.49807825995794625,0.1855346508434998,0.03349200263619423,0.844931960105896,462
motorcycle,0.489055964701208,0.18620733374584902,-0.04298903048038483,0.8608306646347046,812
rock,0.4828744442919969,0.16957554256743906,0.06487636268138885,0.8045021891593933,506
coat,0.47434170524088237,0.19077952934059897,0.023260435089468956,0.8092080354690552,650
meat,0.4486118521140172,0.15555153570311536,0.05271897464990616,0.8014066815376282,650
scarf,0.4455943460244386,0.19872168271344318,-0.12635207176208496,0.7904052138328552,870
sauce,0.4234375689766909,0.15298200818295907,0.06709711998701096,0.7599969506263733,380
boat,0.4178324310118195,0.18829074219126676,-0.1827980875968933,0.7654687762260437,812
shovel,0.4161432697067177,0.2492936110396163,-0.29819628596305847,0.8813402652740479,930
potato,0.4085875475474181,0.27620509747737093,-0.21136634051799774,0.8966361284255981,342
truck,0.40565492074793347,0.195725869298632,-0.09497280418872833,0.857516348361969,650
rooster,0.39936818433825366,0.2172077750441441,-0.23185572028160095,0.8470773696899414,930
bird,0.39370350764486295,0.2293601404518846,-0.1843920201063156,0.82068932056427,812
sandwich,0.38368670156836626,0.2506550689588898,-0.36355888843536377,0.7347804307937622,506
game,0.38345752148837836,0.1220496138518889,0.12840619683265686,0.7148486375808716,182
swing,0.3816099342154829,0.14056578820766943,0.09829235076904297,0.7386817336082458,380
owl,0.38033943025331046,0.19521903169532845,-0.21189916133880615,0.7680294513702393,870
hamburger,0.3684355670639753,0.21183181185690123,-0.25498807430267334,0.7643197774887085,870
leg,0.364823358476373,0.21579262870117324,-0.20181205868721008,0.8759818077087402,812
pizza,0.36350302420836944,0.2483495458338661,-0.29898595809936523,0.8524588346481323,930
horse,0.3569313000232257,0.24113275415454807,-0.1885613650083542,0.9261431694030762,756
firetruck,0.35189150582628076,0.19513611516750423,-0.09803559631109238,0.7237051725387573,462
stick,0.34991341383884783,0.13917377361481062,-0.10427960753440857,0.7098886966705322,506
zebra,0.3474059911976968,0.1991878667451093,-0.07699190080165863,0.8771140575408936,420
pig,0.3431696562379923,0.23514784157858284,-0.1446646749973297,0.8315844535827637,552
coffee,0.3361664087540786,0.1966754357714313,-0.08470235764980316,0.7514092922210693,702
mop,0.33161300506729346,0.20138381248835296,-0.07217466831207275,0.7042596340179443,182
sprinkler,0.33158219354846535,0.18131431982599336,-0.15021981298923492,0.7626879811286926,812
corn,0.32504893819591896,0.18744011626729085,-0.21839037537574768,0.7670484781265259,702
pastry,0.31776971435174345,0.17361536753921897,-0.14812707901000977,0.6485645174980164,380
applesauce,0.3013863279423737,0.1779708238698324,-0.20081409811973572,0.695327639579773,462
tricycle,0.2974758737486357,0.210864727408797,-0.22681131958961487,0.7270303964614868,342
deer,0.29045703422632957,0.1824383292858002,-0.20478925108909607,0.723444402217865,420
giraffe,0.27645870609805473,0.22786609681255443,-0.024322088807821274,0.896809458732605,306
penguin,0.2743209240359387,0.21899529776014498,-0.249015212059021,0.714523434638977,420
toast,0.24398015439510345,0.20043011977302114,-0.08802296966314316,0.6778541803359985,56
pasta,0.23306399754559,0.24587376144823161,-0.09058937430381775,0.6794622540473938,72
duck,0.17528298874598702,0.1869933812619717,-0.24969494342803955,0.703166663646698,306
helicopter,0.13272782292192667,0.18866628625201262,-0.33375316858291626,0.6233028173446655,306
