,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coat,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,firetruck,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,mop,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pasta,pastry,pen,pencil,penguin,pickle,pig,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,raisin,refrigerator,rock,rooster,sandwich,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stick,strawberry,stroller,sweater,swing,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,tricycle,truck,vacuum,watch,window,zebra
corn,1.1908792,1.0286717,0.7641737,1.2323165,1.3134372,0.7017385,0.9137704,0.41511202,0.84209764,1.3321161,0.84387445,1.3704052,0.7341229,1.3477712,1.385921,0.8015652,1.2986902,1.0288149,1.0235018,0.6259743,0.75033545,1.12438,0.7519488,0.8284086,0.7858097,0.7070854,0.83988297,1.1023501,0.8755616,1.0543725,1.307406,0.7107055,0.7696686,1.2392256,1.1182634,0.8140727,1.1718476,0.54646724,0.0,1.3746243,0.7407136,0.679483,1.4150226,0.6347756,1.0031441,0.7721764,1.2211415,1.016287,1.144362,1.1280856,1.1992524,1.2381208,0.6955491,1.1158979,0.9930835,1.3417727,1.0519722,1.1115288,0.8226579,0.7776383,1.1035374,0.69712764,0.80610657,1.2108251,1.0699835,0.9633787,1.2013323,0.82458985,1.2805481,0.844998,1.2326546,0.8547402,1.007713,1.2324038,1.4125997,0.93899274,1.4219546,0.7508742,1.2455939,0.6861556,1.2349708,1.1027951,0.89931536,0.8270608,1.288491,1.140395,1.1845781,1.0424021,0.8608831,0.8463023,0.73214394,0.91389394,0.91053504,0.6537263,1.2746923,1.0398926,1.366287,1.4370142,1.226079,0.7436998,1.1403493,0.6677009,0.69163465,1.0420978,0.75855607,0.8605455,0.79570055,0.94490266,0.7063135,0.62122184,1.1023045,0.79514414,0.95176494,1.0512894,0.70222205,0.9211026,1.1860657,1.0895766,0.8687922,1.0342187,0.7310404,1.2482579,0.9526811,1.3997922,0.92320395,1.2728341,0.8200835,1.3547752,1.010942,1.2506323,0.7919289,0.95264184,0.6418992,1.1022084,1.0029889,0.6310252,0.9159622,1.0053192,0.6615624,1.2668136,1.3500779,1.1405182,1.3788104,0.53311414,0.9976062,0.90262544,0.86333174,0.73681855,0.8331972,1.2175208,1.0029559,1.267159,1.2820272,0.8872766,0.8069776,1.136111,0.9667829
couch,0.60794646,1.1513085,1.4557405,0.6989261,0.61509794,1.3274469,1.1490767,1.3665433,1.0370644,0.51223737,0.9490323,0.063984215,1.4209034,0.50538313,0.5147339,1.157495,0.20376062,0.8552956,0.896258,1.4330897,1.2662057,0.7637137,1.2147083,1.2821121,1.2406282,1.3758224,1.3059809,1.0483147,1.4348792,0.8045226,0.5632129,1.3393888,1.3372008,0.6799264,0.8735478,1.2077664,0.7992041,1.4008216,1.3746243,0.0,1.2676703,1.528091,0.39154363,1.4410598,1.0749054,1.0658282,0.7821827,0.76299715,0.7850683,0.9158099,0.64259064,0.9638864,1.4504567,0.6598315,1.2748669,0.7728733,1.2654325,1.0011872,1.1288669,1.0624974,1.1977626,1.5257257,1.2333494,0.8073964,1.254033,1.0087284,0.518707,1.3057957,0.7931741,0.70760274,0.9261444,1.3041041,1.0381601,0.53218853,0.47695875,1.1029998,0.52551836,1.4570373,0.6529489,1.2964076,0.88266575,0.93144095,0.87326163,1.069163,0.66760796,0.98478204,0.9332336,1.2695347,1.1830363,1.4408988,1.054566,1.360394,1.4001576,1.4560572,0.78882504,0.95149994,0.40121853,0.54306734,0.7202104,1.397857,0.9786255,1.5127165,1.4850328,1.0741844,1.3466439,1.1924226,0.68006617,0.99590164,1.2335503,1.37983,0.9881096,1.4314408,1.0916349,0.9240804,1.3144592,1.4057186,0.75556713,0.71272933,1.0992045,0.7866041,1.389493,0.79051393,1.2123203,0.5434634,1.1877694,0.8066347,1.1759744,0.6248658,1.0108266,0.54307294,1.476191,0.7842922,1.4554706,0.8449719,1.0107323,1.4981389,1.0720316,0.85397905,1.3936379,0.66159993,0.5467967,0.710574,0.44872105,1.5698347,1.2892382,1.4127412,1.3066301,1.036673,1.1627185,0.7721678,0.91527426,0.68409854,0.8196603,1.1192288,1.4580653,0.6844356,0.9139769
cracker,1.0136998,1.1161623,0.9336995,0.9381012,1.1384116,0.94475496,1.1296648,0.66267717,0.8808646,1.2197897,1.2200488,1.2618048,1.1226343,1.169007,1.0978001,0.8804722,1.2099743,1.1538289,0.93552506,0.94786435,0.8112693,0.9217026,0.22248149,1.0784465,0.9431854,0.9728367,1.1181924,1.1802835,0.9319884,1.3137832,1.2088232,0.60038227,0.9517733,1.1863282,1.0958093,0.92255825,0.9450099,0.5210061,0.7407136,1.2676703,0.0,0.9741332,1.226919,0.92245203,1.0527697,0.7327747,1.0768423,1.0735493,1.1756723,1.0131263,1.1687835,1.1436877,0.85799146,1.303765,1.0671009,1.1021206,1.0563766,1.1471999,0.874846,0.88158363,1.0919884,0.82081497,0.8284292,1.0332451,1.1007589,1.1178279,1.1841803,0.65263903,1.2072166,0.80146515,1.0098857,1.146938,1.0602844,1.0609646,1.2970978,0.91509986,1.2442536,0.8575522,1.1404679,0.9967877,1.0239943,0.8546053,0.9402658,0.9696365,1.0905454,1.1619282,1.148335,0.99396896,0.41082692,1.0417154,0.8880818,1.0291144,1.0546603,0.75660515,1.1276543,1.0626525,1.2514167,1.2850201,0.95873094,0.6029072,0.74154377,1.017115,0.9776061,1.0425158,0.8479371,0.8788365,1.0565817,0.53180337,1.0588032,0.6749135,0.979676,0.8410808,0.79091185,1.0032823,0.8854994,0.9663757,1.1525842,1.224054,0.80632883,0.89405996,0.95887715,1.201092,0.9589534,1.2851834,0.92284447,1.2730345,0.8144504,1.1349146,1.0357149,1.2265342,1.0521601,1.2487764,1.0108573,1.1734188,0.64640105,0.78722817,1.030799,0.946702,0.83124954,1.1212196,1.2262231,1.0806129,1.0791168,0.75600505,1.0494447,0.89505637,0.87374836,1.0026288,0.87016165,0.92940587,1.048545,1.15906,1.1221102,1.1114417,1.040648,1.1856658,1.2074926
crayon,1.5175918,0.7692765,0.48816,1.4234145,1.4047832,0.7849642,0.8744548,0.7080394,1.0369463,1.4398893,1.1177973,1.5173516,0.18044508,1.3056335,1.5903513,1.029688,1.4485096,1.1357526,1.0855582,0.2839269,0.85990065,1.2952994,1.0811156,0.4151007,0.8144235,0.61501545,0.3964231,0.86263716,0.4183936,1.1349839,1.2020216,0.788284,0.63183975,1.2461122,1.0181111,0.9296105,1.3203328,0.82569355,0.679483,1.528091,0.9741332,0.0,1.5740223,0.36128986,1.0541707,1.134064,1.3252168,1.2310178,1.1740429,0.90860575,1.3905287,1.144185,0.5328723,1.311235,0.63722205,1.3220497,0.61620486,1.0168678,0.950477,1.0754473,0.5860495,0.35641575,0.8764535,1.4845915,0.58646536,0.88036835,1.3922007,0.7785044,1.2204018,1.4224355,1.2175683,0.50122297,1.0857364,1.3550282,1.3979578,1.1629633,1.4319682,0.37798083,1.3273966,0.49677825,1.1298707,1.1579027,1.1340113,1.0253,1.5082316,0.96011317,1.1689817,0.8020146,1.2058178,0.18096316,0.77867234,0.4530164,0.47689348,0.58583605,1.2682093,1.1636235,1.5308577,1.4081962,1.3501978,0.64980835,1.3439811,0.07551259,0.1573751,1.0540798,0.5203736,0.91383517,0.8823198,1.3122969,0.77921164,0.7525378,1.1425865,0.39387095,1.2099212,1.1245797,0.6447902,0.4606908,1.2799232,1.161794,1.1840237,1.3095411,0.49528027,1.3647671,0.76022995,1.4686077,0.9769622,1.1291316,0.7942722,1.43734,1.0210112,1.4535676,0.18489027,1.176443,0.30322397,0.9711104,1.2775587,0.41254807,0.8936983,1.0501184,0.7641797,1.322151,1.4520261,1.2914281,1.5266178,0.42479026,0.55301297,0.38009703,0.5915115,0.6585541,0.8793819,1.4808946,1.132221,1.4572817,1.245013,0.7253815,0.16299337,1.2580534,1.1627858
crib,0.64923984,1.3258685,1.5332836,0.6400314,0.8144032,1.3186231,1.1301433,1.3884313,0.73611623,0.48158753,1.0697683,0.3791725,1.4598498,0.51219684,0.6222997,1.1256449,0.51498806,0.7711187,0.82549083,1.4230574,1.0763781,0.5490515,1.2480605,1.2911255,1.0265228,1.3236227,1.2004795,0.8045105,1.5584557,0.9217216,0.47472656,1.3482559,1.2541717,0.5955855,0.8574447,1.0293119,0.7119773,1.4053259,1.4150226,0.39154363,1.226919,1.5740223,0.0,1.3867948,1.0821908,1.0361465,0.7653587,0.84681535,0.77360237,0.7919482,0.7771958,1.0554093,1.4934188,0.75033903,1.3398097,0.89341104,1.4540465,0.91024816,1.1247547,0.9040487,1.3641857,1.4444554,1.1584275,0.59313786,1.4004483,1.0754912,0.5933758,1.2389691,0.9484673,0.7275518,1.079987,1.412503,0.9631272,0.5635313,0.53334403,0.8583356,0.61903816,1.3982878,0.5124978,1.3090496,1.0241458,0.9108342,0.9862091,0.9952349,0.71319604,0.8149075,0.63073635,1.3773572,1.1554933,1.5262724,1.1318166,1.49704,1.4868207,1.4648433,0.5766552,0.90790755,0.6060389,0.6774834,0.7562492,1.3915676,0.9354897,1.5368953,1.5211769,1.0985956,1.4064283,1.158701,0.9853848,0.92222977,1.1345252,1.2584798,0.90372884,1.4984334,1.1378415,0.7816744,1.1224198,1.398319,0.5868162,0.87364125,1.0117742,0.7317631,1.3694457,0.8387716,1.0316463,0.71771854,1.033774,0.93776697,1.0493022,0.5643795,0.8212396,0.4614488,1.5596353,0.9313647,1.4609728,0.9848268,0.92863053,1.3717527,1.0455165,0.9539411,1.419831,0.33474123,0.71040684,0.84279424,0.44171774,1.4660239,1.4757638,1.5109041,1.3034776,1.2156948,0.97303766,0.48126078,0.8958262,0.50327575,0.61486447,0.99061954,1.545355,0.7489016,0.9759033
cup,1.5527859,0.9790741,0.63147074,1.2874249,1.4293392,0.6502836,0.7847862,0.78165555,0.70146185,1.323306,1.1769414,1.4734646,0.40619367,1.3338583,1.5365906,1.062792,1.4711943,1.249901,1.0285754,0.11896086,0.50630164,1.0128967,1.010484,0.49871206,0.23529834,0.70122075,0.29581654,0.93735373,0.7291149,1.235536,1.0523462,0.8849218,0.5339582,1.1326362,0.920877,0.4188097,1.16994,0.7117982,0.6347756,1.4410598,0.92245203,0.36128986,1.3867948,0.0,1.0402832,0.76986825,1.3283865,1.1321611,1.070977,0.9676652,1.3087003,1.2811884,0.63589966,1.3218783,0.8129488,1.3178151,0.9318663,1.0905229,1.1451054,0.9002573,0.96311986,0.6099308,0.9709275,1.257091,0.8730449,0.9318629,1.416962,0.75400823,1.3023384,1.2442762,1.3116629,0.6138867,1.1085593,1.300497,1.4912964,0.61950415,1.5789288,0.6610465,1.1608162,0.39135075,1.2911824,1.3056252,1.1456409,0.58564043,1.4450018,0.9930395,1.117426,1.0207503,1.0960125,0.42637205,0.65926385,0.7768073,0.5840461,0.6930762,1.1312808,1.3043048,1.5177677,1.5113754,1.305898,0.86734974,1.2783391,0.38888013,0.45507097,0.9799462,0.8459163,0.95158625,0.81852776,1.2749965,0.82511413,0.53043175,1.1059871,0.71541446,1.1806748,0.94598573,0.4413094,0.60371375,1.0648303,1.2562845,1.1148775,1.2149401,0.48394954,1.41001,0.95762235,1.4845221,0.9155529,1.3122393,0.8480607,1.33683,0.73011726,1.4008361,0.49637043,1.2344785,0.27869868,1.1754087,1.0721657,0.5279609,0.91861695,1.2994862,0.686173,1.1793935,1.4135336,1.2585125,1.3900189,0.35772258,0.82096374,0.704058,0.7826845,0.64365363,0.688107,1.2455264,1.1066158,1.3715556,1.2745064,0.658364,0.43045253,1.1863186,1.1772856
deer,0.76069164,1.1069071,1.0449347,1.0858063,1.1341448,1.0023947,0.8847734,1.0139209,1.0094959,1.1344724,1.0527933,1.0871819,1.030983,1.1165713,1.1000065,0.7871289,1.0789138,1.1337515,0.7850662,1.0971274,0.9891958,0.8515104,1.0058744,1.0343896,0.9924765,0.86930215,1.1240882,1.0932366,1.0145584,1.0437372,1.0628008,0.9185876,0.9945557,1.0865401,1.0952874,0.97080237,1.1539456,1.0220197,1.0031441,1.0749054,1.0527697,1.0541707,1.0821908,1.0402832,0.0,0.9760627,0.85278904,0.8414705,1.1185033,1.0479281,1.0716407,1.0218683,1.0463928,1.113156,1.1150824,1.0418297,1.0767472,0.9099504,1.0036539,0.8035316,1.1363782,0.97870266,0.618183,1.1067412,1.098768,1.1244559,1.0445229,1.0237738,1.0801374,1.1299702,1.0764531,1.0654835,0.6908783,1.0084423,1.1240766,1.0002204,1.1685518,1.0696552,0.9964982,1.0595357,1.0250877,1.0084151,1.1538496,1.0364189,1.0827448,1.088176,1.0954133,1.0776684,0.92167044,1.1187162,1.0935597,1.0573024,1.0760354,0.98976207,1.1228962,0.94810975,1.1246582,1.1244078,0.9426731,0.8757591,0.96563065,1.0205624,1.0122218,0.24753028,1.1093287,0.6216867,1.0586334,1.0073181,1.0573528,1.0128868,0.7744843,1.0405453,0.9184023,0.94895315,1.0398182,1.0116012,1.1402878,1.0970608,0.6597857,1.1779515,0.9795603,1.0572088,0.9698232,1.1211917,1.0146197,1.0759767,1.0266403,1.140489,1.0773674,1.055362,1.0704284,1.0711149,1.104229,1.0480546,0.92775404,1.0184789,0.99947286,1.0740447,0.96304935,1.0530851,1.119642,0.89238304,1.0599891,1.0265393,1.077917,1.1293153,1.1295549,1.0979283,0.8008764,1.0253251,1.0774139,1.0921407,1.0786583,1.089536,1.1276808,1.0867583,1.0350835
dish,1.1404462,1.2105399,1.03097,0.7928849,1.1402583,0.8080766,0.9605169,0.9481798,0.6425733,1.0094963,0.91860574,1.0746062,1.1677294,1.1651987,1.0761901,1.0331266,1.1105701,1.1490612,0.9087425,0.8887244,0.54262894,0.7355398,0.62660277,1.0902292,0.67148024,1.1111424,1.070898,1.2156236,1.162595,1.1541805,1.1360353,0.95418197,0.8983836,1.0663705,1.0787573,0.69121385,0.89794093,0.6642454,0.7721764,1.0658282,0.7327747,1.134064,1.0361465,0.76986825,0.9760627,0.0,1.1120076,0.9476362,1.0672705,1.0708365,1.0619519,1.2101271,0.96616066,1.1352242,1.2355248,1.0851343,1.2052959,1.1441879,1.1414772,0.81184375,1.2760819,1.0073702,1.0784092,0.8659999,1.2516005,1.171227,1.0970912,0.82497686,1.098182,0.71818125,1.1113071,1.0849216,1.1061141,1.0231104,1.2562811,0.66973174,1.2709671,1.0673687,1.0247128,0.89275753,1.1305846,1.0803202,0.9982037,0.6498428,1.1140115,1.1995637,1.151386,1.152567,0.69741887,1.1177177,0.76164556,1.2363238,1.0709567,1.0286674,1.0858507,1.1573681,1.1627553,1.2786415,0.9533508,1.0365127,0.9843979,1.0920445,1.0475281,0.94162995,1.0936173,0.9574786,0.90921295,0.7668923,1.0982784,0.5345776,1.0648417,1.1379461,1.0130526,0.88805723,0.82925284,1.0487188,0.98430574,1.1060312,0.8867265,0.7851394,0.9730536,1.1769383,1.1249588,1.1499242,0.9974368,1.2996073,0.9451985,1.0380565,0.7701616,1.0894579,1.2087674,0.9773392,1.0354934,1.3115349,0.6637313,0.8861803,1.0251242,1.071708,0.81480503,1.061982,1.0785558,1.0525,0.9814408,0.9036997,1.1731708,1.1111057,1.0328798,0.90583163,0.85793114,0.7186544,0.93054533,1.0628365,1.1496407,1.0552342,1.1609931,1.0171465,1.077772
dog,0.5773018,1.1381965,1.2721553,0.93631846,0.9821447,1.154747,1.1076497,1.2027776,1.1754131,1.0212812,0.981192,0.7722204,1.2496393,0.977966,0.76352733,0.779702,0.7698382,1.0265145,0.94023097,1.2644831,1.3017098,1.0022511,1.0292945,1.2018797,1.2673018,1.0743434,1.2808044,0.96575385,1.2937988,0.68716824,0.9663705,1.1333241,1.1910818,0.9175983,0.9534492,1.139605,1.0434786,1.1565843,1.2211415,0.7821827,1.0768423,1.3252168,0.7653587,1.3283865,0.85278904,1.1120076,0.0,0.63007534,1.122607,1.1516662,0.8315813,0.95912135,1.2862351,0.8391596,1.1412394,0.7845682,1.2177899,0.99536306,0.8359865,0.95046365,1.1170683,1.2842106,0.74582696,0.9538264,1.1302016,0.84144855,0.8277284,1.1627399,0.83677983,0.9302213,1.0432714,1.1819994,0.33451283,0.8683547,0.8574718,1.0411332,0.79066736,1.2970121,0.9228787,1.3168201,0.802261,0.9323232,1.0026174,1.1621778,0.740921,1.0723892,0.91023195,1.1627759,1.0270171,1.2900302,1.1994097,1.1811043,1.2035034,1.2382077,1.0797207,0.5890237,0.7731712,0.79532504,0.93790406,1.119942,0.95657766,1.3181056,1.3139923,0.7864124,1.2299812,0.8300449,1.0634587,0.92002106,0.9769029,1.3480409,0.27199936,1.1971924,1.0216902,0.8995664,1.1971005,1.1655252,1.1069201,0.8781602,0.6505475,0.92617786,1.1163973,0.845287,1.0750949,0.85507154,0.97581935,0.9119017,1.0818157,1.0179884,1.2533016,0.9413022,1.2223829,1.038447,1.2169354,0.8893252,0.9848449,1.3096958,1.112452,1.0005411,1.2179796,0.7587607,0.84877443,0.830735,0.8784544,1.3120894,1.168346,1.2261038,1.2149214,1.1752467,1.0566512,1.0345399,1.0314806,0.79906845,0.83680606,1.1500915,1.2450085,1.04907,1.0512881
doll,0.79561937,0.8865936,1.0521384,0.965198,0.9587946,0.93221617,0.86461556,0.9831896,0.9288993,1.2907618,1.2223125,0.84095633,1.2682637,1.0735363,0.7280907,0.91270363,0.7558345,1.0586567,0.7834542,1.1253712,1.1134131,0.8091868,1.0055224,1.1337405,0.98495597,1.1022879,1.2572016,1.1455384,1.025342,1.1678042,0.87118036,1.1264822,1.1134182,0.98613083,0.90412956,1.0635456,1.1907228,1.0648125,1.016287,0.76299715,1.0735493,1.2310178,0.84681535,1.1321611,0.8414705,0.9476362,0.63007534,0.0,1.2617408,1.1589649,0.7156926,0.9768497,1.0651786,1.1476066,1.1455538,0.9799127,0.98488605,1.0635502,0.9172815,0.63794684,1.0272272,1.1664197,0.72022367,1.092843,1.1048654,0.59439594,0.9080628,0.7941301,0.9211267,0.9337551,0.79853195,1.0123047,0.93634045,0.93266416,1.0569547,0.8846351,0.9301144,1.2601302,0.92239624,1.2695159,0.8679324,0.93937445,0.89024127,1.0690866,0.58027804,1.1418648,1.1347809,1.127871,0.9988866,1.2337755,1.0127057,1.0701096,1.2031864,1.0878034,1.3197374,0.9300824,0.6720982,0.95486605,1.0117478,1.0315034,1.1305026,1.2428216,1.1553441,0.8053943,1.074153,0.80013484,0.74370813,0.9815435,0.95088744,1.1990486,0.87067187,1.196912,0.83871573,0.87550217,1.1019635,1.0572888,1.3116876,0.9984342,0.78374344,0.90618753,1.1583585,0.74655473,1.0946982,0.9212396,0.87919706,0.83114576,0.94510514,1.243608,1.281466,0.91102606,1.1477888,1.2897553,1.0808324,0.7525752,1.0248208,1.120487,1.1482325,1.0072443,0.9913415,0.83147615,0.8907672,0.7068083,0.99523604,1.1684085,1.0048895,1.1056485,0.9618004,1.0129472,0.6214285,0.9700175,1.1617628,0.8858191,1.0547516,1.1654445,1.2053576,1.1683095,1.129663
door,1.1042701,1.1237177,1.3674762,1.0231439,0.8310673,1.2973953,1.1686344,1.3201326,0.8946881,0.43514717,0.95939654,0.7960034,1.0551813,0.53638524,1.0372908,1.1357354,0.91529787,0.95732945,1.146504,1.015472,1.1385801,1.0264038,1.2419263,0.79413843,1.0032579,1.1616958,0.7057375,0.93465126,1.2646837,0.7034176,0.59278786,1.1555525,1.091754,0.4674648,0.8631499,0.9534728,0.7642559,1.2125313,1.144362,0.7850683,1.1756723,1.1740429,0.77360237,1.070977,1.1185033,1.0672705,1.122607,1.2617408,0.0,0.6192408,0.9070268,1.0800723,1.3560679,0.7215841,1.1504953,0.9853391,1.2018449,1.0772302,1.266065,1.1511257,1.1715174,1.1631236,1.3385402,0.9816477,1.1102492,1.2019165,1.0187669,1.4293191,0.93606883,0.9996786,1.0938082,1.098241,1.1012415,0.761755,0.8818971,1.010369,0.91055894,0.9413131,0.54388267,0.58976746,1.1661745,1.0537838,1.1515787,0.64576256,1.1494783,0.60382795,0.77418935,1.1163508,1.1875246,1.1902986,0.8085016,1.152546,1.0511315,1.3590875,0.32718146,1.1004335,0.91671276,0.78078187,1.0310413,1.3108623,1.0998514,1.067735,1.1014766,1.1683198,1.2809644,1.2025714,0.87204397,1.1890539,0.9271372,1.1555499,1.1136903,1.2538373,1.261669,0.98292077,0.9485903,1.2960336,0.21929038,0.8831607,1.1503993,1.0519522,1.0911276,0.8626541,1.1365653,0.8234855,1.2110109,0.9675239,1.0134368,0.46059966,0.6455374,0.9510962,1.2327554,0.69442034,0.93908143,1.1745507,1.1176198,1.2057012,0.9211625,1.0582383,1.28806,0.7612209,0.8526377,1.0755882,0.8623058,1.2932527,1.1969461,1.222681,1.0886524,0.76703024,1.3437555,1.0102134,0.77833843,0.834708,0.91859,0.44671834,1.1573803,0.44539267,0.89735836
drawer,1.159842,0.9041281,1.1864378,1.1850963,0.96981823,1.2390875,1.0796653,1.1803132,0.7408448,0.79234743,1.1734643,0.9478531,0.8437089,0.32800567,1.1396642,1.1345007,0.9301673,0.7762217,0.9522553,1.0122671,0.90465426,0.755725,1.1333687,0.6313235,0.9205878,1.0661931,0.5940842,0.9282844,1.0224649,0.96970975,0.5066073,0.97778505,1.0489625,0.69905365,0.7940577,0.90678775,0.87718,1.2455572,1.1280856,0.9158099,1.0131263,0.90860575,0.7919482,0.9676652,1.0479281,1.0708365,1.1516662,1.1589649,0.6192408,0.0,1.0876282,1.0474881,1.1892264,1.1220993,1.1359086,1.2149184,1.0715191,1.1810259,1.0850192,1.1673508,0.9319679,0.849722,1.2555085,1.2186466,1.0629184,1.0202836,1.1266692,1.1641978,1.1459014,1.1642247,1.0637008,1.0024552,1.1513075,0.91292465,1.0339723,1.0157278,0.93080294,0.651241,0.6990708,0.7663394,1.0419493,0.8394141,1.105294,0.873513,1.110528,0.61460626,0.8909644,1.0057701,1.1844528,1.0917836,0.7240584,0.9491287,0.9725168,1.1980822,0.42596066,1.1369934,1.0560896,0.9053355,1.055883,1.0040156,1.1665151,0.83258426,0.8490982,1.1114606,0.98048097,1.1254848,0.75471795,1.1528754,1.1236432,1.0413884,1.1166228,1.0618359,1.146678,0.90187055,0.68689066,1.0464289,0.57085985,1.098472,1.1851082,1.1721711,0.85264045,1.0331463,0.94595057,1.0902746,0.9987302,0.907711,0.7969006,0.9547832,0.695323,1.0783495,0.9714111,1.0167865,0.94163597,0.96341276,1.1286707,0.90855765,0.9302932,0.979265,1.2079995,0.8745066,1.0791986,1.1778668,0.9680558,1.0124317,1.0891042,1.0002445,0.96432424,0.732665,1.1559072,0.95864785,0.9859015,1.0787351,0.98006415,0.57392764,1.0273927,0.8304669,1.0847054
dress,0.7728337,0.9893997,1.3474673,0.87741727,0.7039437,1.2452428,1.1142763,1.2434773,1.0559413,0.8699541,1.033947,0.66744846,1.3245275,0.8516165,0.35339415,1.0449653,0.5844885,1.0174685,0.9250929,1.2509179,1.2469611,0.87998676,1.1605738,1.157913,1.1714002,1.1658735,1.2918887,1.1423557,1.2986467,0.98190737,0.8807622,1.2046174,1.1540222,0.8407382,0.85011035,1.1754867,0.8962706,1.2648935,1.1992524,0.64259064,1.1687835,1.3905287,0.7771958,1.3087003,1.0716407,1.0619519,0.8315813,0.7156926,0.9070268,1.0876282,0.0,0.9515864,1.3602602,0.7328231,1.1593198,0.81849015,1.1882666,0.99092096,1.1644572,0.91002625,1.1153064,1.3388007,1.136261,0.86510384,1.1390775,1.0248619,0.7897558,1.2169282,0.774661,0.8547327,0.94091856,1.1899261,1.0333056,0.91393644,0.6442709,0.99596184,0.5952372,1.3466372,0.8451635,1.3046885,1.025151,1.0179753,1.0784781,1.0552735,0.7688205,1.0557144,0.9871182,1.1248369,1.1121607,1.3432782,1.1138442,1.1264182,1.2688848,1.332908,0.9374178,0.9745153,0.17607129,0.55839974,0.85188615,1.226024,0.99305606,1.3839259,1.3630216,1.0576897,1.2626808,1.0799621,0.99732405,0.9492906,1.102951,1.2695973,0.9619117,1.3130505,1.0503744,0.8153038,1.2127142,1.2583477,0.87596196,0.75660706,1.0291475,0.914492,1.3846886,0.4494248,1.1569777,0.39358878,1.0528018,0.6003274,1.2001579,0.8729892,1.2033554,0.74365914,1.3743751,0.9586492,1.2003379,0.98630303,0.9839273,1.373785,1.1963153,0.911537,1.2055862,0.8737581,0.3991865,0.8506179,0.7403036,1.3898959,1.1932687,1.2899805,1.2160872,1.0251832,1.0795863,0.87912965,0.8671731,0.78038204,0.90151596,1.1043814,1.302629,0.854584,0.8236599
ear,1.0400349,0.5443914,0.8550114,0.9747808,0.6582595,1.1369524,1.0512279,1.0710449,1.3386619,1.0951844,1.0671017,1.0552607,1.0811442,0.95863813,0.7736658,1.1059676,1.0090368,0.8908494,1.218484,1.2480222,1.2904626,1.2331438,1.0184319,1.0739543,1.2788043,1.2240894,1.1270685,1.1091199,0.6984795,1.0610485,0.96312267,1.1488644,1.2453831,0.9866037,0.9178111,1.2634903,1.0769289,1.135511,1.2381208,0.9638864,1.1436877,1.144185,1.0554093,1.2811884,1.0218683,1.2101271,0.95912135,0.9768497,1.0800723,1.0474881,0.9515864,0.0,0.9363394,1.0119171,0.8894441,0.7461642,0.46456248,1.1163633,0.9413123,1.2157553,0.53415394,1.1269532,1.196304,1.0748595,0.67967504,0.76036274,1.1234577,1.0057788,0.67484903,1.2278966,0.46859318,0.79603225,1.1010588,1.0996007,0.8817729,1.0889697,0.7383474,1.132977,1.1070848,1.284179,0.52173007,0.7664218,0.93266743,1.2326511,0.6462685,0.954411,1.0587932,0.6970398,1.0053113,0.96025336,1.1182678,0.72051984,0.84617496,0.96889365,0.9877123,1.0271637,0.8540186,0.6872807,1.0611837,0.9718811,0.9698832,1.1993796,1.1620762,0.9899166,0.88730204,1.1003745,1.1541946,1.0405577,1.1855465,1.3242732,1.0486581,0.83141947,0.7201742,1.163315,1.3335909,0.9239541,1.1450014,0.9306396,1.1272833,1.0253499,1.1603271,0.76803386,1.2171009,0.7954947,0.97656685,0.62675756,1.1718485,0.9925654,1.2295368,1.099443,0.88473547,1.1156983,1.1482403,0.78792185,1.0984923,1.2417932,1.0224563,1.0347773,1.0718791,1.0607864,0.903859,1.0017716,1.1239893,1.1975645,0.5351366,0.7862026,1.019917,1.0882742,1.2320966,1.1628432,1.1131744,1.0789765,0.9475251,1.1635953,0.9541646,1.1310854,1.052916
