,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,corn,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,firetruck,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rock,rooster,sandwich,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,tricycle,truck,vacuum,watch,window,zebra
coat,1.253354,0.7478692,1.0367116,0.925721,1.0403368,1.2247822,1.1200548,1.2153789,1.0789995,1.2672331,1.099394,0.7704991,0.9606414,0.85582983,0.9419587,1.0499747,1.0732365,1.1781249,1.1283501,1.1951865,1.1797737,1.0605328,0.62126756,1.1119537,1.118238,0.8580731,1.1756203,0.7210049,0.95723784,0.86455953,1.2684302,0.867201,0.0,1.1537303,0.8826894,0.8402114,1.0514715,0.80961597,0.9994233,1.0232278,1.1768376,1.1312367,1.0093606,1.2156261,1.0156806,0.75011945,1.0373399,0.6422205,0.97663057,1.1749324,0.9920516,0.6409684,1.1648651,0.8807726,1.1940693,1.0013582,0.95413077,1.0988756,1.080711,0.7525043,0.817434,1.136133,1.0116873,0.8551998,1.1041777,0.80045205,0.9113156,1.1163781,0.8779971,0.9481211,1.0590268,0.87685764,1.187152,0.9780346,1.2059119,0.9895072,1.2099397,1.0966549,0.8375293,0.9186707,0.6989422,0.7281129,0.9921776,1.0987345,0.688216,0.7106608,1.0680287,0.9602085,0.97488874,0.9742835,0.68144816,1.0770378,1.0513074,1.0455633,0.76540154,1.0150012,0.7198945,0.9051405,1.2111261,1.1538424,0.94187105,0.98863715,1.2387149,0.7951494,1.1167201,1.1814989,1.3237947,1.0372607,0.955443,1.123514,0.8990607,0.99611694,0.5728555,1.240453,1.0573239,1.1846564,0.98807144,0.8166589,1.1272762,1.1155744,0.82867646,1.043833,1.1085211,1.1342088,1.0619661,0.9314988,1.0436003,1.161521,0.72185653,0.6921674,1.0722415,1.0967882,1.2067913,1.1425717,1.203613,0.97509533,1.2114248,0.89437467,0.8841109,1.1599879,0.9315129
coffee,1.3316976,1.0102457,0.769776,1.2636702,0.81483257,0.6334372,0.91146004,0.93182904,1.2916541,1.1306778,1.3557993,0.82828075,1.332825,1.3687115,1.0680448,1.3634136,1.1529273,0.989268,0.42242384,0.61550033,1.089132,0.99737144,0.87193215,0.49150628,0.9163718,0.56692433,0.85908175,1.1368715,1.1708432,0.92618734,0.71672565,1.1511024,1.1537303,0.0,1.1925213,0.9962341,1.3521453,1.0730404,0.6781407,1.2083127,0.37050533,1.1177866,1.2622309,0.7562953,1.0031326,1.0167236,1.0898213,1.0494003,0.80090547,1.2011275,1.1448975,0.98637205,1.0528395,1.0623856,0.8866003,1.0119493,0.865078,0.9731266,1.0789843,0.9572822,0.9325043,1.3474357,0.84451735,1.2110779,1.2153381,1.2370217,0.6712889,1.1249028,1.2148744,1.2934507,0.59956443,1.3476179,0.84173226,1.0785068,0.58300614,1.2256634,1.0598023,0.75431335,1.2095071,1.0443282,1.126798,1.1901159,0.7282213,0.71961224,0.8298351,1.1289247,0.8500581,0.9321331,1.1085033,1.3401297,1.2565199,1.2184215,0.68583053,0.6859027,1.0781192,1.1631517,1.2932824,0.8712551,0.63857,1.1582689,1.2543384,1.0324942,0.4630406,0.9147239,0.9423042,1.1024898,0.81339836,1.1327131,1.1064274,0.7241209,1.2986054,1.0572417,1.1859907,0.79277295,1.2686236,0.985596,1.1762152,0.72033596,1.2575948,0.47637737,1.0179478,0.64868104,0.7293385,0.6269627,0.8461144,1.2495852,1.2412261,0.7018486,0.89839655,1.0052798,0.71438265,0.66558325,0.8770345,1.1447263,1.0565112,1.2726766,0.7609688,0.6445637,0.76654625,1.1604277,1.2422864
comb,1.0216188,1.1402171,1.263047,0.96693647,1.2194529,1.2990997,1.1255057,0.8229548,0.7849425,0.827731,1.0140709,0.94467926,0.8454538,1.0286314,0.89952874,0.9610968,0.9701055,1.0403028,1.2148725,1.1683484,0.95126486,1.0523678,0.93235964,1.1796471,1.0712262,1.0382773,1.0167189,1.069947,0.78414214,1.0176378,1.0401102,0.8847948,0.8826894,1.1925213,0.0,0.89266574,1.0106409,0.6590343,1.1498456,0.9201671,1.1844044,0.95698327,1.0204492,1.3092773,0.92230844,0.8777801,1.0228238,1.0951387,1.2310777,0.9557882,1.0269707,1.1373045,0.95726573,1.06634,1.0586362,1.1301281,0.785532,1.1703581,0.8919037,1.1763592,1.1195049,0.88842505,1.0631195,0.988813,1.0498153,1.0076263,1.2220296,0.9036664,0.7555258,1.0149733,1.0972502,0.9564351,0.80762094,0.92585635,1.0770427,0.8974587,1.0612532,1.0454441,0.921197,0.9493937,1.0101504,0.97595984,1.2489678,1.0302796,1.1221514,1.1477754,1.1227701,0.8199573,0.9692803,1.0012614,0.93626446,0.9067397,1.0196867,1.0740547,0.91492724,1.0779165,0.9956104,0.9923019,1.1547222,0.931369,1.0216552,1.0023675,1.126934,0.9318705,0.91847795,0.87044555,1.1214643,1.16187,1.0287728,1.074549,0.96176684,0.8992518,1.0058498,0.7973732,0.79921436,0.9043128,0.87511957,1.1635615,0.85226595,1.2161193,1.1017554,1.0147308,1.0924007,1.2303679,1.0311228,1.0059204,0.92364115,1.0665727,1.2109344,1.0532296,1.0503844,1.0417188,1.1916384,0.95016444,0.90750897,0.92876,1.0099361,1.0142992,1.2221537,0.8218708,0.7353345
corn,1.0076166,0.88863015,1.0070736,1.053182,1.0877061,1.0319746,0.9600684,0.98165,1.1208714,1.0494995,0.94500834,0.955613,0.9011687,0.991764,0.94234276,0.8482411,1.1973548,1.1638031,1.0400329,1.0201902,1.0971453,0.82890326,0.9362637,0.95059896,1.1030539,0.8811209,1.0639532,0.9246656,0.94157445,0.991467,1.1020277,0.9773226,0.8402114,0.9962341,0.89266574,0.0,0.91551054,0.729775,1.0472821,1.0186256,1.024818,0.9632063,0.958639,0.9650264,0.9639896,0.9681799,0.947598,0.97226244,0.9657769,0.88534164,1.0553994,0.9825779,1.0374362,0.90421945,1.0776817,1.0628738,1.0327529,1.0626849,1.0666976,0.97150606,0.95786464,1.0732524,1.1099325,1.0591667,0.856214,1.0688885,1.0273069,1.0452253,1.010506,0.9662728,0.9441039,1.0218749,1.1986034,1.0333757,1.06813,0.8851123,0.9685451,1.0245537,1.0213026,1.1111788,1.0525879,0.8789857,1.0339227,0.90084416,0.99345607,0.96072626,0.9380223,1.0759339,1.0220449,0.9505681,0.98336667,1.1775789,1.0888448,1.0928017,0.91270185,0.6999693,1.0861738,0.9874961,1.0084318,1.0588926,0.93594825,1.0657771,1.064962,1.0052751,0.989209,0.9553737,1.0787646,0.9094855,1.12886,1.168448,1.0072868,1.0657471,0.95868474,1.1570016,1.041417,1.184469,1.0649445,1.0095525,1.0429498,1.0073434,0.9225215,1.109777,1.0407282,1.040237,1.0424525,1.0008973,1.0771656,1.0833654,0.9633798,1.007645,1.0863321,0.91150117,1.1181238,1.0839443,0.97604907,1.0266666,0.98919934,1.0135385,1.0306323,1.00124,0.8597158
couch,0.3546024,1.2911756,1.4574666,0.48942727,1.2608818,1.3873692,1.3397022,0.89591855,0.5413077,0.9883384,0.063171625,1.5171764,0.2871647,0.50819576,1.078505,0.23067075,0.92912716,0.97275215,1.4893427,1.5490288,0.75449663,1.0873797,1.3816515,1.5288273,1.1699048,1.4903498,1.1636292,1.0065167,1.0168647,0.8268411,1.1211867,0.74918383,1.0514715,1.3521453,1.0106409,0.91551054,0.0,1.1808352,1.5810976,0.46362448,1.5349381,0.8325499,0.5352393,1.0781795,0.9534978,1.2190895,0.6852151,1.2959803,1.3872607,0.677425,0.6909833,1.384999,1.012518,1.3554949,1.3939927,1.0891114,1.4662282,1.3298168,0.8079037,1.3214719,1.2394586,0.40603852,1.3991948,0.7419238,0.68972474,0.90000737,1.43223,0.8669801,0.7772337,0.542413,1.2565422,0.38900965,1.2753713,0.62934464,1.465599,0.8130056,0.9620783,1.0384417,0.8135047,0.77067333,1.1020188,0.9851605,1.4375725,1.3189745,1.5516486,1.1523224,1.4161701,0.98593056,0.9577069,0.2910539,0.67846686,0.66462666,1.57815,1.5443114,1.2874322,0.59922934,0.9252844,1.3166714,1.5050524,0.65414464,0.69278145,0.9212276,1.3399789,1.3243263,0.8048464,0.8807969,1.2028989,0.69862413,0.7532248,1.4858937,0.47906208,0.97211045,1.0533235,1.2234693,0.65391135,0.9070451,0.6763112,1.5706377,0.75751334,1.4319906,1.0785604,1.6005955,1.4570072,1.3717629,0.9287744,0.47519732,0.39447218,1.262101,1.3861157,1.3810778,1.3837119,1.3418875,1.1154873,0.7789848,0.9448871,0.7819092,0.9979965,1.2124411,1.5065303,0.76314586,0.7701613
cracker,1.0962873,1.0173789,1.0001575,1.096326,0.97455585,1.0278612,0.7724557,0.9297506,1.1544532,1.14529,1.2073886,0.8654209,1.0293733,1.0767802,1.0692564,1.103867,1.0188735,0.826404,1.070682,0.8801439,0.889969,0.6766441,0.83660936,0.9387612,0.9814432,0.9698183,1.0892036,0.967746,1.0721751,1.0219771,0.9588603,1.0801787,0.80961597,1.0730404,0.6590343,0.729775,1.1808352,0.0,0.9386616,1.1821077,0.99681723,0.92275345,1.1082752,1.0626441,1.1372199,0.71670437,1.1128241,0.9461661,0.9064072,1.1961632,1.0711263,0.8691485,1.1336353,0.8411931,0.9236051,1.0489,0.8620053,0.82841516,1.0171785,0.9951544,0.9558272,1.1107098,0.7394963,1.1383684,0.9884317,0.9475447,1.1249232,1.1362338,0.84515965,1.1699747,0.8814835,1.1316615,0.8829724,1.0752076,1.0546997,0.8734355,0.85524815,1.0405551,0.8747538,1.0790598,0.8845935,0.61923766,1.0794733,0.9394575,0.96333367,0.938041,0.8980082,1.0275435,1.0199615,1.188913,1.0519588,0.90826684,0.9189993,0.93126583,0.7650802,1.0120331,0.86767364,0.9292229,0.83461714,1.2133743,0.9590591,0.96539855,1.0624322,0.8135959,1.0936221,1.062804,1.00491,1.1904296,1.0836066,0.8910094,1.2007327,0.9967208,0.9974389,0.9574017,1.1114146,1.0729365,1.0339203,0.9409773,1.0950323,0.95823604,1.0075895,0.9146508,1.0098348,1.0895914,1.1337278,1.2136782,1.0705361,0.8394552,0.9662872,0.8850485,1.0244349,0.9484637,0.8938816,0.8789481,1.0205839,1.0299332,1.1708109,1.0606737,1.0198554,1.1287081,1.1486945
crayon,1.5210052,0.5964445,0.21611667,1.4590658,0.65678036,0.61220765,0.71513605,1.1962309,1.4756598,1.0545586,1.5801804,0.31539118,1.5593357,1.5938417,0.7099553,1.5603555,1.1077678,0.8642914,0.22576922,0.32409334,1.2742903,1.0512847,0.5978,0.44687527,0.92506045,0.46478927,0.8169988,1.0347147,1.055743,1.1508479,0.91221446,1.3486482,0.9994233,0.6781407,1.1498456,1.0472821,1.5810976,0.9386616,0.0,1.5701059,0.31850457,1.3430855,1.4660952,1.0003783,1.1771545,0.82651865,1.4344462,0.8571449,0.65362227,1.1959835,1.341529,0.57072246,1.0588996,0.5055288,0.6606645,1.0037351,0.6052426,0.70027786,1.4507635,0.6071871,0.83822554,1.4208109,0.49325526,1.3218945,1.3554844,1.2574143,0.47116876,1.162852,1.3861133,1.4325056,0.9803936,1.523207,0.7987314,1.3800626,0.48764253,1.3072871,1.2689846,1.1857045,1.3835317,1.3555396,0.9879722,1.189867,0.22758114,0.6866121,0.52231216,0.9978547,0.48806143,1.2090099,1.2309134,1.6044571,1.4029537,1.254911,0.13977098,0.09002495,0.61709297,1.204893,1.2072697,0.8484049,0.4057094,1.2682481,1.2740896,1.2430158,0.7075432,0.76433456,1.3420011,1.1349839,1.0225022,1.1110892,1.3193784,0.51685464,1.5665803,1.1961775,1.0105286,0.9180244,1.3811724,1.1868914,1.300322,0.17272496,1.2814178,0.5192266,1.0140177,0.36554283,0.4172927,0.34262818,1.2262752,1.4994155,1.5761843,0.8160652,0.52624255,0.38305366,0.3162856,0.5586057,0.77815926,1.2718543,1.1336828,1.2699828,1.0425792,0.81985736,0.19706655,1.2778424,1.2659776
crib,0.5974469,1.3536727,1.4997016,0.740795,1.3281415,1.2945194,1.3144428,0.57911444,0.6130284,1.055083,0.47645944,1.4542346,0.44981062,0.67602134,1.176958,0.5752009,0.79587436,0.8875759,1.4104996,1.4139044,0.53485096,1.1878959,1.2356853,1.3424871,1.098366,1.2471521,0.8960155,1.1232712,1.0871211,0.56232345,1.0732553,0.63111776,1.0232278,1.2083127,0.9201671,1.0186256,0.46362448,1.1821077,1.5701059,0.0,1.3556768,0.68847734,0.7518302,1.0342106,0.9141613,0.94679993,0.79430276,1.3362966,1.3824735,0.95948917,0.8075198,1.4768252,0.9234349,1.3672539,1.2224302,1.2460866,1.3187275,1.2637116,0.6110709,1.3585898,1.264507,0.6521679,1.3281474,0.8873116,0.8900057,1.0224289,1.4104385,0.94837254,0.6053307,0.61064374,1.0180327,0.65945685,1.1186533,0.44120437,1.3328652,0.77067006,0.8897911,0.90109205,0.8484256,0.49156547,1.182543,0.9719896,1.4948701,1.228288,1.5413046,1.2354633,1.4228218,0.666584,1.082317,0.6310322,0.77058923,0.70393884,1.5313632,1.5227067,1.2887404,0.922462,0.8228939,1.166275,1.3332031,0.9243201,0.72738224,0.5732161,1.0737841,1.3171055,0.5838699,1.051683,1.1035926,1.0680726,0.84433806,1.2481588,0.69560254,0.8516293,1.0835851,1.013761,0.7629641,0.8147963,0.6983339,1.5447506,0.76467115,1.3483332,1.2359533,1.4424759,1.4111886,1.3895613,0.52754855,0.7095434,0.3532533,1.1554998,1.5245433,1.4595401,1.3302581,1.2670836,1.0064667,0.6211638,0.9767664,0.7833781,0.7386361,0.9165539,1.5478061,0.80827755,0.89611703
cup,1.5081754,0.78776515,0.41251588,1.4825319,0.64459383,0.55280435,0.7954056,0.8923405,1.3836682,1.1340865,1.5547822,0.5430676,1.4923036,1.6076431,0.97026026,1.5678487,1.1404634,0.8366672,0.13250995,0.18499458,1.0443248,1.0197806,0.7094703,0.20063102,0.99490607,0.28763175,0.72415507,1.2206291,1.1997206,0.9421877,0.7202122,1.2528024,1.1768376,0.37050533,1.1844044,1.024818,1.5349381,0.99681723,0.31850457,1.3556768,0.0,1.1532627,1.5056797,0.83429,1.0226377,0.86440647,1.3652307,1.0180993,0.56032896,1.2651048,1.3355527,0.8426651,1.0445874,0.8287064,0.66066986,1.1011933,0.74216735,0.8888223,1.2488462,0.8570396,0.9311559,1.4815938,0.5370761,1.3880944,1.3311712,1.3409724,0.5620966,1.2107049,1.3723706,1.4759681,0.6024221,1.5867332,0.8287348,1.209949,0.38026273,1.3441339,1.0014027,0.73778063,1.3884557,1.2597789,1.1366982,1.1748064,0.4139589,0.46735823,0.7501203,1.163597,0.5871482,0.9614932,1.271868,1.6187257,1.5013993,1.1933885,0.38367832,0.36351418,0.8816662,1.15396,1.3361202,0.854637,0.26294422,1.3364141,1.3312644,1.1111372,0.39959413,0.8527914,1.0178132,1.1686544,0.87096006,1.1692524,1.2862128,0.6211786,1.5911067,1.1889989,1.2219043,0.7736167,1.3504093,0.8905275,1.3221508,0.4243548,1.3291671,0.2943778,1.0005052,0.39844,0.39576644,0.3711337,1.0044981,1.5124228,1.4067822,0.5920193,0.75946087,0.7054928,0.45914686,0.40554118,0.7754586,1.1811966,1.0922647,1.347678,0.8055014,0.67786527,0.4910707,1.2013074,1.4094746
dish,0.68542933,1.2529771,1.183317,1.0461065,1.0715624,1.0630982,1.0488516,0.8140892,0.7079501,0.98940086,0.79465556,1.2285076,0.80461395,0.8897257,0.9795514,0.76721805,0.90535235,1.1064591,1.2547299,0.99259776,0.898708,0.95837325,1.2603356,1.130368,1.0023932,1.2691908,0.85200155,1.1001866,1.0182883,1.0435146,0.90245104,0.8567706,1.1312367,1.1177866,0.95698327,0.9632063,0.8325499,0.92275345,1.3430855,0.68847734,1.1532627,0.0,0.8551003,1.1418239,1.0116695,1.0388335,1.0256267,1.2541505,1.0031921,0.8922471,0.98351616,1.3669736,1.0787929,1.0034697,0.95648867,1.1840596,1.1479793,1.0496725,0.69733816,1.3296196,1.1842304,0.8422942,1.1374162,1.0754458,0.81603575,1.1419675,1.3442612,1.0378909,0.80041385,0.92184544,0.989289,0.87536675,1.0517995,0.93035305,1.1411998,0.73220235,0.7885773,0.8701525,0.95167077,0.8531965,1.138403,0.8999667,1.2529203,1.0375898,1.3337834,1.1944437,1.1375902,0.9441137,1.0095338,0.9092761,0.9310055,0.8882864,1.2911353,1.3101394,1.1227994,0.8582837,0.8720388,1.0568895,0.92543685,0.9887693,0.8936671,0.8897586,1.1489707,1.0186063,0.8435681,0.9676342,0.9218131,0.9817926,1.0216825,1.1609251,0.95128804,0.9791865,1.1375327,0.99257034,0.8136966,0.73802316,0.8871501,1.311548,0.70099694,1.1194271,1.1603668,1.1505312,1.1734658,1.2376004,0.9682395,0.95375985,0.7799456,1.0005101,1.3230875,1.1544375,1.2777351,1.1101242,1.0866799,0.842532,0.9280023,0.83538103,0.97185016,1.2375169,1.3525571,0.92165244,0.83762026
dog,0.5091114,1.2048684,1.3329002,0.73769724,1.1654006,1.2223243,1.1923419,1.1245582,0.8810586,0.7270731,0.48606765,1.2581335,0.63023335,0.6476476,0.9877669,0.4628967,1.088971,1.2355223,1.4850547,1.4590929,1.0734133,0.92562175,1.2102089,1.4946102,1.0516491,1.3742263,1.1203151,0.9509391,0.6907733,1.0097077,1.257438,0.9379981,1.0093606,1.2622309,1.0204492,0.958639,0.5352393,1.1082752,1.4660952,0.7518302,1.5056797,0.8551003,0.0,0.74841535,1.1109163,1.153645,0.80115163,1.1165,1.2887046,0.7191236,0.9264072,1.1819208,1.0561299,0.994843,1.2054746,0.89245737,1.2799748,0.9913542,0.9623157,1.1714847,0.82377565,0.57625026,1.3848166,0.8017155,0.64786816,0.82519424,1.1604059,0.7148969,0.818635,0.65661126,1.2725387,0.56256056,1.2693572,0.90828216,1.4538603,0.8034486,0.98714745,1.184104,0.6798005,0.7817223,1.1274747,0.84215444,1.3158004,1.2793427,1.1912789,0.94141155,1.2270641,1.135107,0.80246484,0.5833858,0.6222452,1.00691,1.4551253,1.4857655,1.2219822,0.6597346,0.81959784,0.9919183,1.4607168,0.5430984,0.81234634,0.87997675,1.3268332,1.0867953,1.1102448,0.9172471,0.9573036,0.74572337,0.8982551,1.3069615,0.67419267,0.899461,0.83776563,1.2077394,0.9191646,1.0982664,0.9065045,1.2388239,0.77199787,1.3738306,0.9439108,1.3507608,1.3624214,1.2752237,0.88334566,0.70647883,0.7792996,1.3220365,1.1603626,1.2436339,1.4010878,1.3315587,1.1593707,1.0179172,1.0646157,0.81351197,1.1779512,1.179781,1.2893658,1.0246245,0.77820086
doll,0.9725667,1.055925,1.0285461,1.2018281,0.8372209,0.5752415,0.8724768,0.85917485,1.3967309,1.1196668,1.0612613,1.1596674,1.1498942,1.0049587,1.2453749,1.0176127,1.0929072,0.81653583,0.87835515,0.95896924,0.88345695,0.96784776,1.0294287,0.7670495,0.7259539,0.9609374,0.9508611,1.0893651,1.2825384,0.79536563,0.959586,1.091548,1.2156261,0.7562953,1.3092773,0.9650264,1.0781795,1.0626441,1.0003783,1.0342106,0.83429,1.1418239,0.74841535,0.0,1.1161959,1.1288037,0.82410854,1.0764557,0.8360102,1.2400004,1.0921178,1.0081396,0.95053077,0.8976779,0.65822166,0.90767217,1.0149364,0.56293005,1.1411357,1.0326011,0.7066731,1.0966164,0.82090807,1.0854295,0.98719853,1.0421357,0.7861278,1.0046997,1.1134988,1.0640093,0.7492827,1.1990141,1.0142976,0.88536394,0.9655261,1.0540123,0.8900429,0.8749918,0.92971075,0.97741336,1.1322763,1.047439,0.9959989,0.7806666,0.90350026,0.9815508,1.0494074,1.161021,0.82940114,1.0525765,1.202363,1.1197531,1.0488551,1.0522327,1.2688597,0.811799,0.9523312,0.7396432,0.8804974,0.9660324,1.0501953,0.83317333,0.75213957,1.1711513,1.0071489,1.2935119,0.47036207,0.9613104,0.9420089,0.7246387,1.1741518,0.8561596,1.10284,0.986207,1.3340528,1.2265183,1.1152798,0.941496,1.283632,0.75725603,0.79724634,0.995204,0.95161194,0.9067416,0.684243,1.1597595,1.070045,0.805409,0.9579467,1.1709118,1.0159832,0.8125111,0.62293553,0.9477697,1.139855,1.0930406,1.015535,0.7920804,1.0215688,1.2053874,1.2927219
door,1.159242,1.0906987,1.19083,1.0608376,1.222437,1.2075238,1.2578752,1.0437534,0.60118806,1.0888398,0.9435225,1.0338825,0.7230275,1.187999,1.0261511,1.0107354,1.0229638,1.1743246,1.0013789,1.1230358,1.1032894,1.1088649,0.79390657,1.0590329,1.2521272,0.7100246,0.93578225,1.0992268,0.7985865,0.71672404,0.9903513,0.3512792,1.0156806,1.0031326,0.92230844,0.9639896,0.9534978,1.1372199,1.1771545,0.9141613,1.0226377,1.0116695,1.1109163,1.1161959,0.0,0.78187305,0.9196245,1.1306425,1.2743891,0.9140526,1.0226606,1.2227358,0.6933503,1.3052948,1.2036543,1.1424478,1.1020981,1.3688918,0.98698795,1.1738341,1.3706086,1.0350213,1.3703573,1.0174398,1.1406212,1.1479344,1.1492906,0.8883991,0.9858262,1.0409404,1.0533658,0.9759092,0.88664967,0.5439986,0.6086517,1.0972776,1.136223,0.71004015,1.3259854,0.81900024,1.1744187,1.1678,1.1786504,0.9191329,1.1944423,1.1107377,1.2303774,0.46066618,1.0600833,1.087948,0.9345422,1.0123032,1.033213,1.0761555,1.0144132,0.939099,1.1288522,1.0853508,1.130155,1.0631255,1.092541,1.0888116,0.97027355,1.0086517,0.41790807,0.9510321,1.0006797,1.0385957,1.0316763,1.2019647,0.9747201,1.2436945,1.2245893,0.89327604,0.5845832,0.7097899,0.96545756,1.2183058,0.9001417,1.0306197,1.1440574,1.0602579,0.8602721,1.0506182,0.7069291,0.97000635,0.7618866,1.2098234,1.2042047,1.1986057,1.0361001,0.97267294,1.3049135,1.158171,0.87256277,0.9803892,0.7168639,0.52383626,1.2660204,0.54442537,0.98121524
drawer,1.3287008,0.917344,0.99291784,1.1272802,1.1583457,1.1275178,1.0262407,0.86688954,1.0555246,1.2234049,1.2418485,0.5250031,0.8187711,1.2621443,1.0117848,1.1666031,0.84288645,0.8276044,0.9800217,0.75437546,0.846212,0.84893954,0.50385255,0.84835964,1.0887291,0.53702754,0.79775023,0.9376706,0.960694,0.6470265,1.1008044,0.8537084,0.75011945,1.0167236,0.8777801,0.9681799,1.2190895,0.71670437,0.82651865,0.94679993,0.86440647,1.0388335,1.153645,1.1288037,0.78187305,0.0,1.1797724,1.0762848,1.1101824,1.2057456,1.2995224,0.9086187,1.0626371,0.88001835,1.1069309,1.0815923,0.77655876,1.0025132,1.1353754,1.0072122,1.0649415,1.1751919,0.9572912,1.2569596,1.2377754,1.1202948,1.0188209,1.1035893,0.9403845,1.1773343,0.9298414,1.099135,0.74242663,0.83235145,0.7385829,0.8803786,1.1203319,1.0279332,1.2017877,1.0330133,1.1102588,0.868916,1.0298901,0.8158784,0.9090942,1.0671831,1.0664254,0.52596635,1.1494087,1.3109801,0.9761434,0.9676442,0.6616236,0.7421664,0.6552102,0.93839735,0.86078095,0.8950781,0.8068477,1.2687845,1.0715942,0.8698779,0.84740704,0.79627067,0.787978,1.1289836,1.1822057,1.1048887,1.2226444,0.9534072,1.2556493,1.1752467,0.8761161,0.9612391,1.1263764,0.90282613,1.118931,0.74895763,1.0475603,0.97458506,1.0531853,0.79574186,0.7893269,0.9895652,0.92109925,1.2603936,0.9374311,1.012057,0.9818438,0.8642578,1.0003232,0.82661515,1.1179609,0.99969244,1.0613201,1.1286526,0.93574244,0.67757744,0.9877418,1.0156482,1.1306484
dress,0.7976377,1.1738276,1.3545125,0.71120256,1.2206612,1.1754072,1.2057083,0.986042,0.96795034,1.0654042,0.6927036,1.3697063,0.7409851,0.3827359,1.0635663,0.66338056,1.1165558,1.0887914,1.2867095,1.4485735,0.9340996,1.0275785,1.149811,1.3397346,1.0456617,1.2646921,1.0965788,0.78708345,1.0508373,0.8957057,1.1209757,0.77896446,1.0373399,1.0898213,1.0228238,0.947598,0.6852151,1.1128241,1.4344462,0.79430276,1.3652307,1.0256267,0.80115163,0.82410854,0.9196245,1.1797724,0.0,1.1223884,1.260054,1.0454816,0.8285332,1.22892,0.93424594,1.2230128,1.092079,0.9015413,1.2963666,1.2164155,0.81172204,1.2232835,1.016018,0.7324855,1.2427984,0.76914656,0.90602183,0.9161891,1.2364911,0.920339,0.85113186,0.6359378,0.9614251,0.55409974,1.1925921,0.77984774,1.3372235,0.86392176,0.9224733,0.9503794,0.82588124,0.82612085,1.0526334,0.9564519,1.3568803,1.160168,1.2354629,1.0803609,1.3115988,1.0458779,0.736547,0.37398726,0.59119177,0.9853764,1.4477332,1.4398267,1.1991779,0.9164636,0.88414866,1.012141,1.3939846,0.8605227,0.9843042,0.8655309,1.2092679,1.1967438,0.8885024,1.057358,0.85205144,0.79297566,0.56483376,1.3053225,0.40905625,0.8810792,0.7327118,1.2047756,0.989723,1.1477153,0.8433197,1.4302638,0.90272784,1.175079,0.8341757,1.4486068,1.301288,1.3293741,0.8573974,0.50678205,0.7039816,1.237651,1.235537,1.3329293,1.2677822,1.189296,1.0984304,0.9209389,0.95681405,0.8977137,1.0985098,1.0330639,1.3150722,0.9064863,0.8176663
ear,1.3584993,0.5067595,0.881392,1.0365292,0.94546586,1.0322269,0.9789809,1.3390801,1.2788259,1.0861121,1.3396432,0.88271636,1.3340211,1.0248617,0.99958396,1.2979774,1.098844,1.2069136,1.0155472,1.064254,1.3344136,1.0227522,0.8335824,0.97780967,1.0708942,0.9363978,1.1981426,0.7404322,1.0120239,1.1424563,1.077292,1.1635647,0.6422205,1.0494003,1.0951387,0.97226244,1.2959803,0.9461661,0.8571449,1.3362966,1.0180993,1.2541505,1.1165,1.0764557,1.1306425,1.0762848,1.1223884,0.0,0.7567042,1.0638148,0.9623775,0.3545583,1.1173142,0.8822047,1.0286738,0.740926,0.80255413,0.9883693,1.1377722,0.36974752,0.6849431,1.329284,0.97666353,0.7296287,1.0979795,0.6117449,0.54018706,1.0210067,1.1050631,1.1165754,1.144347,1.1353197,1.0699209,1.2616823,1.0128038,1.2457883,1.1995006,1.1804453,0.90217066,1.2350109,0.48965788,0.95062613,0.6917701,0.9718152,0.3926369,0.28760195,0.8741902,1.1939093,0.84260654,1.1215872,0.95928794,1.1879139,0.902614,0.8823595,0.9757835,1.2128814,1.005718,0.9820968,1.068001,1.1169044,1.1153259,1.1553804,1.1076006,0.75270975,1.3341305,1.0410464,1.0839815,1.0057064,0.9721395,0.9069412,0.98048574,0.95611894,0.67568374,1.1221197,1.1784126,1.2429695,1.1909127,0.68347734,1.2224909,1.059306,0.76940346,0.87909245,0.935908,0.9510827,1.2229929,1.0147084,1.3608422,1.1048082,0.3838848,0.6245707,0.94954586,0.977105,1.1362398,1.2413926,1.1205393,1.1520392,1.2417057,1.0630448,0.6208165,1.1758072,1.0351764
