,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,corn,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,firetruck,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rock,rooster,sandwich,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,tricycle,truck,vacuum,watch,window,zebra
alligator,0.0,1.4659953,1.4550027,0.7024272,1.1671114,1.1545913,1.1357979,0.8515922,0.53180707,0.83667076,0.30047107,1.5363959,0.57919425,0.57610786,1.0691065,0.3349967,0.85881704,0.91084284,1.4744124,1.4229769,0.68985194,0.9726009,1.4738939,1.411244,0.8954089,1.6133921,1.1425582,1.0320956,1.0244263,1.0990674,1.0142281,0.9284653,1.253354,1.3316976,1.0216188,1.0076166,0.3546024,1.0962873,1.5210052,0.5974469,1.5081754,0.68542933,0.5091114,0.9725667,1.159242,1.3287008,0.7976377,1.3584993,1.3507369,0.6797809,0.77142656,1.5076231,1.0223725,1.1158041,1.0862364,1.1116112,1.4059238,0.8785281,0.7602248,1.4195344,1.1589948,0.4230355,1.2535784,0.92779255,0.59376013,1.0190713,1.5140349,0.8536347,0.6623148,0.6013428,1.156621,0.5613993,1.1615508,0.8444201,1.4798338,0.6974586,0.73694193,1.0142813,0.7334398,0.7930952,1.169087,0.9447029,1.5021762,1.3217943,1.5465915,1.2575245,1.3329579,1.1252667,0.94015133,0.48153108,0.82451165,0.7055142,1.5356793,1.5339556,1.2915165,0.68513167,0.8471813,1.1219983,1.3352995,0.739235,0.6384173,0.83779967,1.3404044,1.2933999,0.94856775,0.8365255,1.008946,0.8344616,0.9177797,1.1924002,0.69406605,0.83572114,1.1154513,1.0238824,0.6591415,0.7763152,0.64803386,1.5829045,0.6589941,1.3711967,1.1671576,1.4560273,1.4475895,1.411794,1.0074809,0.71501434,0.5699518,1.1257697,1.5100403,1.4550819,1.3410403,1.3364885,0.88385993,0.6506367,0.9209712,0.68732,1.045521,1.3582659,1.4868846,0.8760633,0.778429
ankle,1.4659953,0.0,0.5875588,1.1131878,0.8307718,0.94054735,0.960966,1.330614,1.3535032,1.1295133,1.3305116,0.64002264,1.3309405,1.1473247,0.8593172,1.3293054,1.1384754,1.1576188,0.76660126,0.79215723,1.3394818,0.9489683,0.7548739,0.8008348,1.1047374,0.732319,1.0886902,0.70891476,0.9998424,1.1151935,1.1434124,1.2006576,0.7478692,1.0102457,1.1402171,0.88863015,1.2911756,1.0173789,0.5964445,1.3536727,0.78776515,1.2529771,1.2048684,1.055925,1.0906987,0.917344,1.1738276,0.5067595,0.6088733,1.1227866,1.1776106,0.40218222,1.0809358,0.7297338,0.99408025,0.85818505,0.75180626,1.0017135,1.3049486,0.5204219,0.70330614,1.2844309,0.8413622,0.9545903,1.2747229,0.87559485,0.50073946,1.1315196,1.3283966,1.195337,1.1229897,1.1908312,1.0312178,1.2955577,0.85684025,1.2274756,1.1808474,1.1628189,1.0869404,1.308771,0.790588,1.0232217,0.4639963,0.82053554,0.46335578,0.5577068,0.6266679,1.2437642,0.93102473,1.2015703,1.0607244,1.2498564,0.6476258,0.6166484,0.7894629,0.9931439,1.1128668,0.96761715,0.86384964,1.1272867,1.1569382,1.2687273,1.0485747,0.7790163,1.3030273,1.0875412,1.0954962,0.87618273,1.1850927,0.9605076,1.1334659,1.1449231,0.72078145,1.1792576,1.2529974,1.3014649,1.226535,0.51398563,1.2869607,0.86341584,0.6990053,0.75504386,0.7106353,0.6749257,1.2232904,1.1367116,1.4201372,1.0658177,0.3265115,0.4779445,0.78962374,0.77994543,1.1205561,1.3324795,1.20261,1.1770054,1.2253927,1.0325766,0.4898104,1.2186068,1.0337429
apple,1.4550027,0.5875588,0.0,1.3914557,0.58116966,0.5947705,0.6216289,1.3047693,1.4202394,0.9998104,1.441743,0.50673425,1.5153472,1.4295354,0.653459,1.4524525,1.1826748,1.0427561,0.33063865,0.33493495,1.3720438,1.0386984,0.7889568,0.5597891,0.9567306,0.6536116,0.849947,1.0869007,0.973417,1.2560148,0.998511,1.3233707,1.0367116,0.769776,1.263047,1.0070736,1.4574666,1.0001575,0.21611667,1.4997016,0.41251588,1.183317,1.3329002,1.0285461,1.19083,0.99291784,1.3545125,0.881392,0.538161,1.1164885,1.2482502,0.65522796,1.053137,0.58100325,0.6658337,1.0584929,0.88076454,0.7665341,1.3335934,0.6179484,0.92327553,1.3004464,0.6625288,1.2015014,1.1970484,1.2440418,0.4791081,1.1163598,1.4076049,1.3737042,1.0251313,1.4637814,1.092268,1.4241433,0.6545592,1.2000155,1.1171007,1.2148541,1.3522389,1.3248612,0.9843568,1.0900381,0.15533602,0.8483085,0.64608115,0.9006431,0.26833308,1.2619429,1.1364607,1.4839305,1.3387392,1.3181303,0.42115116,0.3498298,0.7166332,1.1914922,1.157741,0.8466331,0.5168952,1.1628036,1.1813861,1.3330306,0.81334895,0.76786697,1.3489017,1.0834545,0.9857344,1.0390946,1.2286433,0.7713729,1.4219241,1.2949121,1.0601189,1.1370139,1.3194801,1.1974931,1.3799522,0.27744865,1.1617689,0.54204315,1.0823548,0.56528294,0.5134738,0.33323395,1.2966621,1.3705208,1.5250969,0.88912046,0.52263045,0.38324893,0.5394162,0.74977106,0.8832454,1.336534,1.0751991,1.1157695,1.0854325,1.0369692,0.25652438,1.2254678,1.2022655
arm,0.7024272,1.1131878,1.3914557,0.0,1.2598811,1.4354107,1.2058451,1.0680789,0.68151325,1.0604554,0.56577736,1.3552121,0.62558913,0.46329105,1.148587,0.64103884,0.9695348,1.0454029,1.4661324,1.4777652,0.92916214,0.87300634,1.2685657,1.4539211,1.133705,1.3847575,1.2836897,0.75465035,0.98448956,0.99342155,1.0512911,0.9434548,0.925721,1.2636702,0.96693647,1.053182,0.48942727,1.096326,1.4590658,0.740795,1.4825319,1.0461065,0.73769724,1.2018281,1.0608376,1.1272802,0.71120256,1.0365292,1.2516598,0.9099288,0.7507615,0.97622806,1.2020619,1.3259525,1.4282231,0.6833777,1.117209,1.3136442,0.7723235,1.1447515,0.8574532,0.7882572,1.2957041,0.7615931,0.85086274,0.40218508,1.3190252,0.90898275,0.7339936,0.66636306,1.1557593,0.48897803,1.0401073,0.8815145,1.3963108,0.8390832,0.9853601,1.0995601,0.49460948,0.92617697,0.94646937,0.83803284,1.3601229,1.27058,1.238822,0.9465365,1.2668983,0.9690483,0.90320355,0.4142229,0.587769,0.66926646,1.3827171,1.3537712,1.2030635,0.85981137,0.951003,1.2651212,1.4695278,0.7566428,0.77440256,0.9749961,1.2735792,1.208851,0.9436993,0.93977237,1.1838758,0.93082917,0.81791043,1.3597126,0.39595735,0.95383865,0.7291956,1.0779372,0.7633629,0.9561093,0.65135527,1.4116521,0.9612544,1.4253793,0.726177,1.419271,1.3829381,1.380121,1.0813271,0.48131317,0.64978343,1.2497168,1.0276505,1.2542245,1.1505033,1.302896,1.265022,0.9025701,1.0255253,0.8876184,1.2074859,1.2436917,1.3058532,0.9334467,0.8615305
ball,1.1671114,0.8307718,0.58116966,1.2598811,0.0,0.35778236,0.8105818,1.0859982,1.3351524,1.0038756,1.2678671,0.86326253,1.3095645,1.260263,0.9443184,1.2511473,1.0955566,0.99721676,0.69165885,0.6287726,1.0570863,0.9754627,0.9969588,0.5862514,0.98983777,0.8527578,1.0052834,1.0936531,1.1582568,1.139221,0.8339579,1.2750186,1.0403368,0.81483257,1.2194529,1.0877061,1.2608818,0.97455585,0.65678036,1.3281415,0.64459383,1.0715624,1.1654006,0.8372209,1.222437,1.1583457,1.2206612,0.94546586,0.36456007,1.2111986,1.1380847,0.81964594,1.0735294,0.77670264,0.65157866,1.0376186,1.046676,0.7699472,1.2514703,0.9430126,0.743092,1.1026677,0.6008761,1.1693995,1.1282374,1.1165847,0.69970113,1.2054408,1.1475708,1.2251664,0.95079905,1.2726309,1.1555473,1.2939827,0.88230944,1.2083595,0.82991046,1.0920185,0.94063365,1.1668347,0.95741844,0.9585804,0.62965715,0.8857452,0.901704,0.9758145,0.53823674,1.2494605,1.0939533,1.2906386,1.2673309,1.189013,0.8332517,0.77963316,0.8956425,1.054403,1.1269702,0.8470476,0.6609992,1.0730289,1.0799071,1.0412145,0.82534194,0.80573726,1.298841,1.1250504,0.83471745,1.1301992,1.1592034,0.8401253,1.321327,1.083701,1.1156644,1.0274504,1.2684643,1.112673,1.0743204,0.69245195,1.2128042,0.67922,0.867739,0.7194909,0.77497494,0.66836363,1.1648164,1.2636178,1.3152447,0.6286108,0.75912094,0.82594657,0.8921694,0.834988,0.51459646,1.0372036,1.1424283,1.068471,1.1318853,1.07489,0.62036145,1.2660714,1.2115015
balloon,1.1545913,0.94054735,0.5947705,1.4354107,0.35778236,0.0,0.6494912,0.97883415,1.3950379,1.0293452,1.3709992,0.883667,1.4420805,1.3400326,0.9794646,1.3538092,1.092899,0.8570533,0.6092414,0.58073866,1.0442741,1.0040911,0.97195137,0.43115115,0.70876193,0.81491184,0.8626454,1.123625,1.2211597,1.0986735,0.8112152,1.2423551,1.2247822,0.6334372,1.2990997,1.0319746,1.3873692,1.0278612,0.61220765,1.2945194,0.55280435,1.0630982,1.2223243,0.5752415,1.2075238,1.1275178,1.1754072,1.0322269,0.49424517,1.2550514,1.1691277,0.9617084,1.0101734,0.5831096,0.5049386,1.0544422,0.9020477,0.47010362,1.155033,0.91571534,0.83319783,1.2356478,0.5790726,1.2409077,1.1434436,1.2712965,0.6537026,1.1733333,1.2260411,1.2650514,0.7299601,1.4239632,1.0568877,1.2492355,0.7582415,1.1475517,0.77991056,1.0047759,1.1662582,1.1757362,1.0950944,1.0838277,0.7035992,0.7937182,0.85136867,1.0740083,0.5944389,1.2603825,1.0572414,1.4064071,1.3621397,1.214228,0.7642573,0.74901825,0.87488097,1.0981264,1.1021318,0.6998526,0.59228945,1.1706027,1.1052941,0.9749124,0.7418684,0.94963056,1.2347751,1.1772345,0.48491353,1.1410037,1.1829293,0.5831584,1.4310226,1.0379581,1.1626604,0.92074776,1.3299974,1.1844078,1.1972384,0.7138113,1.1784666,0.5581109,0.99290913,0.70531297,0.75238806,0.73036623,1.0117235,1.3709593,1.381499,0.5712191,0.88589656,0.94559604,0.86122394,0.75943434,0.50808847,1.0616734,1.1233131,1.0775001,0.9616612,0.9550091,0.7118125,1.2457924,1.2676061
banana,1.1357979,0.960966,0.6216289,1.2058451,0.8105818,0.6494912,0.0,1.0055764,1.3323064,1.0050699,1.3600134,0.8706669,1.3246889,1.1981447,1.0092123,1.2770976,1.0731208,0.8948341,0.8407129,0.6581186,1.0102531,0.79646134,0.9632482,0.6453496,0.78672016,0.9343037,1.0414996,0.9907809,1.215737,1.188281,0.9792489,1.2445867,1.1200548,0.91146004,1.1255057,0.9600684,1.3397022,0.7724557,0.71513605,1.3144428,0.7954056,1.0488516,1.1923419,0.8724768,1.2578752,1.0262407,1.2057083,0.9789809,0.7119424,1.1633228,1.1639626,0.8861772,1.0613837,0.7383143,0.7261894,0.98573613,0.8503777,0.567717,1.1793959,0.9347154,0.86069155,1.242046,0.6642585,1.2011435,0.84290516,1.0758375,0.88623726,1.1969954,1.0177293,1.1637928,0.74957067,1.2673848,0.9087392,1.2718563,0.89203715,1.0010641,0.6206308,1.016678,0.97578186,1.200958,0.9475249,0.94104725,0.87922883,0.86471623,0.8629752,0.99440867,0.599949,1.1944053,1.0647135,1.304222,1.201393,1.1407986,0.7986057,0.802855,0.75167185,1.1011583,0.98869103,0.81256247,0.69637936,1.1056769,1.0005404,0.99321806,0.8353258,0.99408436,1.1974337,1.075285,0.78796303,1.0840672,1.1761037,0.6354599,1.3020811,1.0037128,1.0568832,0.99161774,1.3103042,1.1477556,1.0305015,0.81371003,1.2193089,0.818022,0.97730964,0.7686968,0.9173408,0.9083899,1.1103413,1.2951859,1.3157723,0.68150187,0.8823489,0.87781954,0.8553604,0.8659224,0.68921685,0.92040193,1.0607753,1.0624498,1.0799087,1.0645877,0.8508959,1.2250608,1.1898829
basket,0.8515922,1.330614,1.3047693,1.0680789,1.0859982,0.97883415,1.0055764,0.0,0.8926609,1.1434263,0.8817993,1.2747123,0.8382826,1.0034953,1.2491333,0.817495,0.8039611,0.59355545,1.0127242,0.88357234,0.22342783,1.0672374,1.1736244,0.82890075,1.0258371,1.0024186,0.93945473,1.2806582,1.2859757,0.77126735,0.8629489,0.8784224,1.2153789,0.93182904,0.8229548,0.98165,0.89591855,0.9297506,1.1962309,0.57911444,0.8923405,0.8140892,1.1245582,0.85917485,1.0437534,0.86688954,0.986042,1.3390801,1.1229038,1.1225469,1.0686201,1.3570656,0.9262173,1.2165884,0.8962725,1.1851047,1.0466105,1.0613616,0.6565584,1.3848166,1.109995,0.86208224,0.7358059,1.2206165,0.92993414,1.1433154,1.3410295,1.1528612,0.8243857,0.9217825,0.6232037,1.1144954,0.9256506,0.7587799,1.0189245,0.8107154,0.69338065,0.5735049,0.89241004,0.9440457,1.172714,1.0389626,1.348727,0.8241765,1.3459351,1.3407923,1.2840074,0.8141352,1.2155216,0.9999859,1.2439698,0.72888434,1.1943102,1.1845667,1.1539096,0.93324685,0.96627164,1.1006204,0.79190505,1.1071206,0.9024674,0.58191717,0.7406289,1.2333562,0.68094915,1.1772293,0.8577547,1.1532296,0.98597074,0.87669986,1.1483839,0.8105514,1.2754302,0.80889565,1.0174766,0.6935392,0.9008354,1.3141937,1.1240019,0.8825686,1.0830623,1.085019,1.0750083,1.132428,0.7884277,1.1308075,0.66352254,0.7019328,1.4417573,1.3606906,1.0031621,0.82917315,0.6679586,0.39643502,0.95175004,1.1286353,0.70834416,0.9313557,1.3365157,0.9734626,1.2162397
bathtub,0.53180707,1.3535032,1.4202394,0.68151325,1.3351524,1.3950379,1.3323064,0.8926609,0.0,0.9289366,0.5196035,1.365442,0.50890005,0.8426479,1.0263166,0.64570415,0.8710435,1.1335164,1.3704706,1.3309546,0.8576434,1.1740578,1.2673048,1.3902665,1.1606531,1.3527279,1.0888464,1.1063814,0.8487912,0.94769233,1.0359668,0.6102557,1.0789995,1.2916541,0.7849425,1.1208714,0.5413077,1.1544532,1.4756598,0.6130284,1.3836682,0.7079501,0.8810586,1.3967309,0.60118806,1.0555246,0.96795034,1.2788259,1.3418037,0.6706993,0.7975632,1.4104474,0.97614014,1.3741436,1.3341494,1.1502098,1.2453544,1.3654327,0.69982576,1.317647,1.397777,0.63729453,1.4093581,0.8582374,0.8851162,0.97573364,1.4679363,0.8466402,0.75243163,0.8022226,1.178101,0.67308146,0.987024,0.6714207,1.1286931,0.8911842,1.019107,0.84772855,0.9576735,0.79915124,1.1019664,1.0281397,1.3997236,1.2886791,1.504343,1.1833329,1.3417174,0.629442,1.0704067,0.7295507,0.7933668,0.71804523,1.358479,1.3679993,1.2172251,0.97770023,0.9938641,1.3163731,1.3278613,0.86193806,0.7591667,1.0471536,1.2882075,1.1848644,0.6234099,0.75552344,1.2653279,1.0049692,0.99211293,1.332644,0.7094369,1.0725807,1.1717318,0.82278067,0.13891864,0.3206154,0.71480227,1.5290368,0.61118793,1.3187602,1.299449,1.2985104,1.2922794,1.3685668,1.0352353,0.7256319,0.48619652,1.2033294,1.4093205,1.2876332,1.1880739,1.3447888,1.2718223,0.81800914,0.8497378,0.770233,0.82238406,1.1248949,1.4656327,0.6331686,0.7851244
bear,0.83667076,1.1295133,0.9998104,1.0604554,1.0038756,1.0293452,1.0050699,1.1434263,0.9289366,0.0,0.9509751,1.042088,1.0464346,1.0365045,0.8514921,0.9331585,1.0256636,1.1294655,1.1275154,1.076469,1.1536592,0.9390083,1.2236236,1.1888547,0.9544406,1.2319515,0.9254265,1.0958357,0.56621665,1.3057541,1.0265715,1.1870651,1.2672331,1.1306778,0.827731,1.0494995,0.9883384,1.14529,1.0545586,1.055083,1.1340865,0.98940086,0.7270731,1.1196668,1.0888398,1.2234049,1.0654042,1.0861121,1.0851799,0.5823809,1.0261576,1.1853147,0.9514636,0.92286456,0.95806825,1.072933,1.0062119,1.0065174,0.95027864,1.1131665,1.1634614,0.7795123,1.1149178,0.9875536,0.84997344,1.1101089,1.069146,0.6742058,1.1211843,1.0143719,1.2438171,0.9948899,1.05457,1.227473,1.1049361,0.88895667,1.1324868,1.1874954,1.1019572,1.0545954,1.0924041,1.115539,1.0032352,1.1640879,1.1164556,1.0835747,0.8930548,1.1158392,0.8593229,0.9782706,1.0385821,1.0663048,1.03901,1.0627644,1.0642772,1.1144309,1.0559528,1.0581324,1.1202339,0.7343998,1.0411648,1.1224535,1.0580633,0.9394454,1.1350002,0.5605293,1.0056438,0.85211456,1.0670533,1.0752282,0.9773896,1.0554667,1.1022971,0.97859937,0.8786507,1.041824,1.0935777,1.0954616,0.6947053,1.1816285,1.1875169,1.0472498,1.0840064,1.0626254,1.1503808,0.98692095,1.1192545,1.0853628,1.1674862,1.0503001,1.1256043,1.1668838,1.1113443,1.1479871,0.8542092,0.9356134,0.9494417,1.276523,1.0542258,0.9265733,0.61038077
